[12:44:12]	Bigdaddy has connected.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:19]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:24]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:24]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:24]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:25]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:25]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:25]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:26]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:26]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:26]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:27]	[ME] Private IN-5515: sweeps leg
[16:56:27]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:27]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:27]	R2-Z7 has spawned 'models/props_junk/watermelon01.mdl'.
[16:56:44]	R2-Z7 has taken 50 damage from prop_physics.
[16:56:46]	R2-Z7 has taken 10 damage from prop_physics.
[16:56:49]	[ME] Sergeant LS-7979: attempts to jump over his leg.
[16:56:54]	R2-Z7 has spawned 'models/props_lab/blastdoor001a.mdl'.
[16:57:12]	R2-Z7 has spawned 'models/props_junk/TrafficCone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:15]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:24]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:46]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:57:52]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:02]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:09]	R2-Z7 has taken 5 damage from prop_physics.
[16:58:10]	R2-Z7 has taken 20 damage from prop_physics.
[16:58:10]	R2-Z7 has taken 5 damage from prop_physics.
[16:58:11]	R2-Z7 has taken 5 damage from prop_physics.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:38]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:58:47]	[ME] Sergeant LS-7979: throws a right uppercut to the head.
[16:59:07]	[ME] Private IN-5515: takes it like a chad 
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:22]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:26]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:28]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:30]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:33]	R2-Z7 has spawned 'models/props_junk/trafficcone001a.mdl'.
[16:59:39]	[ME] Private IN-5515: punches in jaw
[16:59:52]	[ME] Sergeant LS-7979: attempts to dodge the attack.
[17:00:07]	[ME] Sergeant LS-7979: throws a right reverse punch to the face.
[17:01:18]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:26]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
