[10:02:08]	LightRinger has connected.
[10:42:07]	Agent Zeak Rold has taken 25 damage from Lieutenant Shunk Tump.
[10:42:07]	Agent Zeak Rold has taken 25 damage from Lieutenant Shunk Tump.
[10:42:07]	Agent Zeak Rold has taken 25 damage from Lieutenant Shunk Tump.
[10:42:07]	Agent Zeak Rold has taken 25 damage from Lieutenant Shunk Tump.
[10:42:07]	Lieutenant Shunk Tump has killed Agent Zeak Rold with weapon_lightsaber.
[10:42:18]	Trooper Third Class Rex Barkow ran 'EquipUn' on item 'E-11 Stun Blaster' (#1615)
[10:42:19]	Trooper Third Class Rex Barkow ran 'Equip' on item 'E-11 Blaster' (#2415)
[10:42:25]	Trooper Third Class Rex Barkow ran 'EquipUn' on item 'E-11 Blaster' (#2415)
[10:42:25]	Trooper Third Class Rex Barkow ran 'Equip' on item 'E-11 Stun Blaster' (#2403)
[10:42:27]	Agent Zeak Rold has taken 1 damage from Lieutenant Shunk Tump.
[10:42:28]	Private TK-3822 has taken 17 damage from worldspawn.
[10:42:30]	Lieutenant Shunk Tump used command '/ToggleRaise'.
[10:42:35]	Lieutenant Shunk Tump used command '/ToggleRaise'.
[10:42:37]	Agent Zeak Rold has taken 3 damage from Lieutenant Shunk Tump.
[10:42:38]	Agent Zeak Rold has taken 3 damage from Lieutenant Shunk Tump.
[10:42:38]	Agent Zeak Rold has taken 3 damage from Lieutenant Shunk Tump.
[10:42:38]	Agent Zeak Rold has taken 3 damage from Lieutenant Shunk Tump.
[10:42:39]	Agent Zeak Rold has taken 3 damage from Lieutenant Shunk Tump.
[10:42:40]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:42:40]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:42:40]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:42:40]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:42:40]	Private TK-3822 has killed Trooper Third Class Rex Barkow with weapon_lightsaber.
[10:42:41]	Agent Zeak Rold has taken 5 damage from Lieutenant Shunk Tump.
[10:42:44]	Agent Zeak Rold has taken 9 damage from Lieutenant Shunk Tump.
[10:42:54]	[OOC] Private TK-3822: fuck Iam stuck too
[10:42:54]	Agent Zeak Rold has taken 172 damage from worldspawn.
[10:42:54]	worldspawn has killed Agent Zeak Rold.
[10:42:57]	Trooper Third Class Rex Barkow ran 'Equip' on item 'E-11 Stun Blaster' (#1615)
[10:43:09]	[OOC] Private TK-3822: agh
[10:43:09]	Lieutenant Shunk Tump has taken 47 damage from worldspawn.
[10:43:11]	Private TK-3822 used command '/CharFallOver'.
[10:43:11]	Private TK-3822 has taken 100 damage from worldspawn.
[10:43:11]	worldspawn has killed Private TK-3822.
[10:43:12]	Lieutenant Shunk Tump has taken 35 damage from worldspawn.
[10:43:17]	Lieutenant Shunk Tump has taken 54 damage from worldspawn.
[10:43:18]	worldspawn has killed Lieutenant Shunk Tump.
[10:43:36]	Private TK-3822 has taken 2 damage from Trooper Third Class Rex Barkow.
[10:43:48]	Lieutenant Shunk Tump used command '/ToggleRaise'.
[10:43:51]	[Y] Trooper Third Class Rex Barkow: Fight!
[10:44:11]	Agent Zeak Rold has taken 2 damage from Private TK-3822.
[10:44:11]	Trooper Third Class Rex Barkow has taken 2 damage from Private TK-3822.
[10:44:11]	Agent Zeak Rold has taken 2 damage from Private TK-3822.
[10:44:11]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:11]	Agent Zeak Rold has taken 2 damage from Private TK-3822.
[10:44:11]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:11]	Agent Zeak Rold has taken 2 damage from Private TK-3822.
[10:44:11]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:11]	Agent Zeak Rold has taken 2 damage from Private TK-3822.
[10:44:11]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:12]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:12]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:12]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:12]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:12]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:12]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:12]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:12]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:12]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:12]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:12]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:12]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:12]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:12]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:12]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:13]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:13]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:13]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:14]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:14]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:14]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:14]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:14]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:14]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:14]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:14]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:14]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:14]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:14]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:14]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:14]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:14]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:15]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:15]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:15]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:15]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:15]	Agent Zeak Rold has taken 1 damage from Private TK-3822.
[10:44:15]	Trooper Third Class Rex Barkow has taken 1 damage from Private TK-3822.
[10:44:16]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:44:17]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:44:17]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:44:17]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:44:17]	Private TK-3822 has killed Lieutenant Shunk Tump with weapon_lightsaber.
[10:44:26]	Lieutenant Shunk Tump used command '/ToggleRaise'.
[10:44:33]	Private TK-3822 has taken 25 damage from Lieutenant Shunk Tump.
[10:44:33]	Private TK-3822 has taken 25 damage from Lieutenant Shunk Tump.
[10:44:33]	Private TK-3822 has taken 25 damage from Lieutenant Shunk Tump.
[10:44:33]	Private TK-3822 has taken 25 damage from Lieutenant Shunk Tump.
[10:44:33]	Lieutenant Shunk Tump has killed Private TK-3822 with weapon_lightsaber.
[10:44:44]	Trooper Third Class Rex Barkow ran 'EquipUn' on item 'E-11 Stun Blaster' (#1615)
[10:44:45]	Trooper Third Class Rex Barkow ran 'Equip' on item 'DH-17a Blaster' (#2414)
[10:44:54]	Lieutenant Shunk Tump ran 'drop' on item 'Tibanna Cartridge' (#2366)
[10:44:54]	Lieutenant Shunk Tump has lost a 'Tibanna Cartridge' #2366.
[10:44:59]	Trooper Third Class Rex Barkow ran 'take' on item 'Tibanna Cartridge' (#2366)
[10:44:59]	Trooper Third Class Rex Barkow has gained a 'Tibanna Cartridge' #2366.
[10:45:01]	Trooper Third Class Rex Barkow ran 'use' on item 'Tibanna Cartridge' (#2366)
[10:45:17]	Lieutenant Shunk Tump has taken 60 damage from Trooper Third Class Rex Barkow.
[10:45:18]	Lieutenant Shunk Tump has taken 184 damage from Trooper Third Class Rex Barkow.
[10:45:18]	Trooper Third Class Rex Barkow has killed Lieutenant Shunk Tump with rw_sw_dh17a.
[10:45:26]	Trooper Third Class Rex Barkow ran 'Equip' on item 'E-11 Blaster' (#2415)
[10:45:27]	Trooper Third Class Rex Barkow has taken 25 damage from Lieutenant Shunk Tump.
[10:45:27]	Trooper Third Class Rex Barkow has taken 25 damage from Lieutenant Shunk Tump.
[10:45:27]	Trooper Third Class Rex Barkow has taken 25 damage from Lieutenant Shunk Tump.
[10:45:27]	Trooper Third Class Rex Barkow has taken 25 damage from Lieutenant Shunk Tump.
[10:45:27]	Lieutenant Shunk Tump has killed Trooper Third Class Rex Barkow with gmod_tool.
[10:45:41]	Lieutenant Shunk Tump used command '/ToggleRaise'.
[10:45:48]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:45:48]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:45:48]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:45:48]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:45:48]	Private TK-3822 has killed Trooper Third Class Rex Barkow with weapon_lightsaber.
[10:45:53]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:45:53]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:45:59]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:45:59]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:45:59]	Private TK-3822 has killed Lieutenant Shunk Tump with weapon_lightsaber.
[10:46:02]	Trooper Third Class Rex Barkow ran 'Equip' on item 'E-11 Stun Blaster' (#1615)
[10:46:04]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:46:04]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:46:04]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:46:04]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:46:04]	Private TK-3822 has killed Trooper Third Class Rex Barkow with weapon_lightsaber.
[10:46:06]	Agent Zeak Rold has taken 25 damage from Private TK-3822.
[10:46:06]	Agent Zeak Rold has taken 25 damage from Private TK-3822.
[10:46:07]	Agent Zeak Rold has taken 25 damage from Private TK-3822.
