[00:59:56]	Doughnut has connected.
[01:06:05]	Doughnut has taken 1 damage from worldspawn.
[01:06:06]	Doughnut has taken 1 damage from worldspawn.
[01:06:06]	Doughnut has taken 1 damage from worldspawn.
[01:06:07]	Doughnut has taken 1 damage from worldspawn.
[01:06:08]	Doughnut has taken 1 damage from worldspawn.
[01:06:09]	Doughnut has taken 1 damage from worldspawn.
[01:06:09]	Doughnut has taken 1 damage from worldspawn.
[01:06:10]	Doughnut has taken 1 damage from worldspawn.
[01:06:11]	Doughnut has taken 1 damage from worldspawn.
[01:06:12]	Doughnut has taken 1 damage from worldspawn.
[01:06:12]	Doughnut has taken 1 damage from worldspawn.
[01:06:13]	Doughnut has taken 1 damage from worldspawn.
[01:06:14]	Doughnut has taken 1 damage from worldspawn.
[01:06:15]	Doughnut has taken 1 damage from worldspawn.
[01:06:15]	Doughnut has taken 1 damage from worldspawn.
[01:06:16]	Doughnut has taken 1 damage from worldspawn.
[01:06:17]	Doughnut has taken 1 damage from worldspawn.
[01:06:18]	Doughnut has taken 1 damage from worldspawn.
[01:06:18]	Doughnut has taken 1 damage from worldspawn.
[01:06:19]	Doughnut has taken 1 damage from worldspawn.
[01:06:20]	Doughnut has taken 1 damage from worldspawn.
[01:06:21]	Doughnut has taken 1 damage from worldspawn.
[01:06:21]	Doughnut has taken 1 damage from worldspawn.
[01:06:22]	Doughnut has taken 1 damage from worldspawn.
[01:06:23]	Doughnut has taken 1 damage from worldspawn.
[01:06:24]	Doughnut has taken 1 damage from worldspawn.
[01:06:24]	Doughnut has taken 1 damage from worldspawn.
[01:06:25]	Doughnut has taken 1 damage from worldspawn.
[01:06:26]	Doughnut has taken 1 damage from worldspawn.
[01:06:27]	Doughnut has taken 1 damage from worldspawn.
[01:06:27]	Doughnut has taken 1 damage from worldspawn.
[01:06:28]	Doughnut has taken 1 damage from worldspawn.
[01:06:29]	Doughnut has taken 1 damage from worldspawn.
[01:06:30]	Doughnut has taken 1 damage from worldspawn.
[01:06:31]	Doughnut has taken 1 damage from worldspawn.
[01:06:31]	Doughnut has taken 1 damage from worldspawn.
[01:06:32]	Doughnut has taken 1 damage from worldspawn.
[01:06:33]	Doughnut has taken 1 damage from worldspawn.
[01:06:34]	Doughnut has taken 1 damage from worldspawn.
[01:06:34]	Doughnut has taken 1 damage from worldspawn.
[01:06:35]	Doughnut has taken 1 damage from worldspawn.
[01:06:36]	Doughnut has taken 1 damage from worldspawn.
[01:06:37]	Doughnut has taken 1 damage from worldspawn.
[01:06:37]	Doughnut has taken 1 damage from worldspawn.
[01:06:38]	Doughnut has taken 1 damage from worldspawn.
[01:06:39]	Doughnut has taken 1 damage from worldspawn.
[01:06:40]	Doughnut has taken 1 damage from worldspawn.
[01:06:40]	Doughnut has taken 1 damage from worldspawn.
[01:06:40]	worldspawn has killed Doughnut.
[01:07:41]	Doughnut has taken 1 damage from worldspawn.
[01:07:42]	Doughnut has taken 1 damage from worldspawn.
[01:07:43]	Doughnut has taken 1 damage from worldspawn.
[01:07:43]	Doughnut has taken 1 damage from worldspawn.
[01:07:44]	Doughnut has taken 1 damage from worldspawn.
[01:07:45]	Doughnut has taken 1 damage from worldspawn.
[01:07:46]	Doughnut has taken 1 damage from worldspawn.
[01:07:46]	Doughnut has taken 1 damage from worldspawn.
[01:07:47]	Doughnut has taken 1 damage from worldspawn.
[01:07:48]	Doughnut has taken 1 damage from worldspawn.
[01:07:49]	Doughnut has taken 1 damage from worldspawn.
[01:07:49]	Doughnut has taken 1 damage from worldspawn.
[01:07:50]	Doughnut has taken 1 damage from worldspawn.
[01:07:51]	Doughnut has taken 1 damage from worldspawn.
[01:07:52]	Doughnut has taken 1 damage from worldspawn.
[01:07:52]	Doughnut has taken 1 damage from worldspawn.
[01:07:53]	Doughnut has taken 1 damage from worldspawn.
[01:07:54]	Doughnut has taken 1 damage from worldspawn.
[01:07:55]	Doughnut has taken 1 damage from worldspawn.
[01:07:56]	Doughnut has taken 1 damage from worldspawn.
[01:07:56]	Doughnut has taken 1 damage from worldspawn.
[01:07:57]	Doughnut has taken 1 damage from worldspawn.
[01:07:58]	Doughnut has taken 1 damage from worldspawn.
[01:07:59]	Doughnut has taken 1 damage from worldspawn.
[01:07:59]	Doughnut has taken 1 damage from worldspawn.
[01:08:00]	Doughnut has taken 1 damage from worldspawn.
[01:08:01]	Doughnut has taken 1 damage from worldspawn.
[01:08:02]	Doughnut has taken 1 damage from worldspawn.
[01:08:02]	Doughnut has taken 1 damage from worldspawn.
[01:08:03]	Doughnut has taken 1 damage from worldspawn.
[01:08:04]	Doughnut has taken 1 damage from worldspawn.
[01:08:05]	Doughnut has taken 1 damage from worldspawn.
[01:08:05]	Doughnut has taken 1 damage from worldspawn.
[01:08:06]	Doughnut has taken 1 damage from worldspawn.
[01:08:07]	Doughnut has taken 1 damage from worldspawn.
[01:08:08]	Doughnut has taken 1 damage from worldspawn.
[01:08:08]	Doughnut has taken 1 damage from worldspawn.
[01:08:09]	Doughnut has taken 1 damage from worldspawn.
[01:08:10]	Doughnut has taken 1 damage from worldspawn.
[01:08:11]	Doughnut has taken 1 damage from worldspawn.
[01:08:11]	Doughnut has taken 1 damage from worldspawn.
[01:08:12]	Doughnut has taken 1 damage from worldspawn.
[01:08:13]	Doughnut has taken 1 damage from worldspawn.
[01:08:14]	Doughnut has taken 1 damage from worldspawn.
[01:08:14]	Doughnut has taken 1 damage from worldspawn.
[01:08:15]	Doughnut has taken 1 damage from worldspawn.
[01:08:16]	Doughnut has taken 1 damage from worldspawn.
[01:08:17]	Doughnut has taken 1 damage from worldspawn.
[01:08:17]	Doughnut has taken 1 damage from worldspawn.
[01:08:18]	Doughnut has taken 1 damage from worldspawn.
[01:08:19]	Doughnut has taken 1 damage from worldspawn.
[01:08:20]	Doughnut has taken 1 damage from worldspawn.
[01:08:20]	Doughnut entered observer.
[01:08:49]	Doughnut has gained a 'Conscript Hazmat Armor' #23.
[01:08:49]	Doughnut used command '/CharGiveItem doughnut hazmat'.
[01:08:52]	Doughnut ran 'Equip' on item 'Conscript Hazmat Armor' (#23)
[01:08:59]	Doughnut has gained a 'CCA Filter' #24.
[01:08:59]	Doughnut used command '/CharGiveItem doughnut cca filter'.
[01:09:01]	Doughnut ran 'equip' on item 'CCA Filter' (#24)
[01:09:12]	Doughnut used command '/CharGiveItem doughnut flashlight'.
[01:09:33]	Doughnut used command '/CharGiveFlag doughnut pet'.
[01:09:36]	Doughnut used command '/CharGiveFlag doughnut petc'.
[01:13:16]	Doughnut has spawned 'models/props_junk/trashcluster01a.mdl'.
[01:14:09]	Doughnut has spawned 'models/props_wasteland/kitchen_stove001a.mdl'.
[01:14:36]	Doughnut has spawned 'models/props_urban/bench001.mdl'.
[01:16:54]	Doughnut has spawned 'models/props_urban/bench001.mdl'.
[01:17:41]	Doughnut has spawned 'models/props_c17/BriefCase001a.mdl'.
[01:18:29]	Doughnut has spawned 'models/props_trainstation/trashcan_indoor001b.mdl'.
[01:18:37]	Doughnut has spawned 'models/props_trainstation/trashcan_indoor001b.mdl'.
[01:19:06]	Doughnut has spawned 'models/props_junk/trashcluster01a_corner.mdl'.
[01:19:15]	Doughnut has spawned 'models/props_junk/trashcluster01a.mdl'.
[01:19:18]	Doughnut has spawned 'models/props_junk/trashcluster01a.mdl'.
[01:19:48]	Doughnut has spawned 'models/props_lab/partsbin01.mdl'.
[01:20:09]	Doughnut has spawned 'models/props_wasteland/controlroom_filecabinet002a.mdl'.
[01:20:20]	Doughnut has spawned 'models/props_wasteland/controlroom_filecabinet002a.mdl'.
[01:20:27]	Doughnut has spawned 'models/props_wasteland/controlroom_filecabinet001a.mdl'.
[01:20:33]	Doughnut has spawned 'models/props_wasteland/controlroom_filecabinet001a.mdl'.
[01:21:00]	Doughnut has spawned 'models/props_wasteland/kitchen_stove002a.mdl'.
[01:21:08]	Doughnut has spawned 'models/props_wasteland/kitchen_stove001a.mdl'.
[01:21:37]	Doughnut has spawned 'models/props_interiors/Radiator01a.mdl'.
[01:21:48]	Doughnut has spawned 'models/props_wasteland/kitchen_stove001a.mdl'.
[01:22:14]	Doughnut has spawned 'models/props_wasteland/kitchen_fridge001a.mdl'.
[01:22:28]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001c.mdl'.
[01:22:38]	Doughnut used command '/ToggleRaise'.
[01:22:51]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001a.mdl'.
[01:23:13]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:23:37]	Doughnut has spawned 'models/props_downtown/booth01.mdl'.
[01:23:50]	Doughnut has spawned 'models/props_interiors/chair01.mdl'.
[01:23:55]	Doughnut has spawned 'models/props_interiors/dining_table_round.mdl'.
[01:24:10]	Doughnut has spawned 'models/props_interiors/dining_table_round.mdl'.
[01:24:16]	Doughnut has spawned 'models/props_c17/furnituretable003a.mdl'.
[01:24:19]	Doughnut has spawned 'models/props_c17/furnituretable002a.mdl'.
[01:24:24]	Doughnut has spawned 'models/props/cs_militia/wood_table.mdl'.
[01:24:26]	Doughnut has spawned 'models/props/cs_office/table_coffee.mdl'.
[01:24:30]	Doughnut has spawned 'models/props/cs_italy/it_mkt_table2.mdl'.
[01:24:36]	Doughnut has spawned 'models/props_c17/furnituretable003a.mdl'.
[01:24:41]	Doughnut has spawned 'models/props_c17/furnituretable002a.mdl'.
[01:25:02]	Doughnut has spawned 'models/props_interiors/chair01.mdl'.
[01:30:09]	Doughnut has spawned 'models/props_industrial/warehouse_shelf001.mdl'.
[01:30:20]	Doughnut has spawned 'models/props_industrial/warehouse_shelf002.mdl'.
[01:31:08]	Doughnut has spawned 'models/props_industrial/warehouse_shelf004.mdl'.
[01:31:38]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:32:38]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:32:42]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:32:43]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:33:46]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:33:50]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:33:51]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:34:09]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:34:10]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:34:10]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:34:33]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:34:35]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:34:36]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:34:46]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:35:15]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:35:18]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:35:19]	Doughnut has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[01:36:07]	Doughnut has spawned 'models/props_wasteland/horizontalcoolingtank04.mdl'.
[01:36:12]	Doughnut has spawned 'models/props_wasteland/horizontalcoolingtank04.mdl'.
[01:36:16]	Doughnut has spawned 'models/props_wasteland/laundry_washer001a.mdl'.
[01:36:32]	Doughnut has spawned 'models/props_wasteland/laundry_washer003.mdl'.
[01:41:22]	Doughnut exited observer at their location.
[01:42:21]	Doughnut entered observer.
[01:43:04]	Doughnut has spawned a 'Entity [591][ix_vendingmachine]'.
[01:43:20]	Doughnut has spawned a 'Entity [641][ix_vendingmachine]'.
[01:43:35]	Doughnut has spawned a 'Entity [641][ix_vendingmachine]'.
[01:43:58]	Doughnut has spawned a 'Entity [641][ix_vendingmachine]'.
[01:44:11]	Doughnut has spawned a 'Entity [641][ix_vendingmachine]'.
[01:44:27]	Doughnut has spawned a 'Entity [641][ix_vendingmachine]'.
[01:44:44]	Doughnut has spawned a 'Entity [641][ix_vendingmachine]'.
[01:45:00]	Doughnut has spawned a 'Entity [641][ix_vendingmachine]'.
[01:45:18]	Doughnut has spawned a 'Entity [641][ix_vendingmachine]'.
[01:45:25]	Doughnut has spawned a 'Entity [591][ix_vendingmachine]'.
[02:07:42]	Doughnut used command '/CharGiveItem doughnut union lock'.
[02:07:46]	Doughnut has gained a 'Cinderblock' #24.
[02:07:46]	Doughnut used command '/CharGiveItem doughnut lock'.
[02:07:50]	Doughnut ran 'drop' on item 'Cinderblock' (#24)
[02:07:50]	Doughnut has lost a 'Cinderblock' #24.
[02:07:59]	Doughnut has gained a 'Combine Lock' #24.
[02:07:59]	Doughnut used command '/CharGiveItem doughnut combine lock'.
