[19:21:16]	Doughnut has connected.
[19:26:59]	Petty Officer Second Class Arnold Jackson entered observer.
[19:27:17]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:27:21]	Petty Officer Second Class Arnold Jackson entered observer.
[19:27:22]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:27:26]	Petty Officer Second Class Arnold Jackson entered observer.
[19:27:28]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:27:30]	Petty Officer Second Class Arnold Jackson entered observer.
[19:27:46]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:27:47]	Petty Officer Second Class Arnold Jackson entered observer.
[19:27:48]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:27:52]	Petty Officer Second Class Arnold Jackson entered observer.
[19:28:11]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:28:14]	Petty Officer Second Class Arnold Jackson entered observer.
[19:28:15]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:28:17]	Petty Officer Second Class Arnold Jackson entered observer.
[19:29:53]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:29:55]	Petty Officer Second Class Arnold Jackson entered observer.
[19:30:08]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:30:10]	Petty Officer Second Class Arnold Jackson entered observer.
[19:30:39]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:30:42]	Petty Officer Second Class Arnold Jackson entered observer.
[19:30:43]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:30:44]	Petty Officer Second Class Arnold Jackson entered observer.
[19:30:44]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:30:45]	Petty Officer Second Class Arnold Jackson entered observer.
[19:30:45]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:30:45]	Petty Officer Second Class Arnold Jackson entered observer.
[19:31:59]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:32:12]	Petty Officer Second Class Arnold Jackson entered observer.
[19:35:43]	DRD has connected.
[19:37:21]	DRD loaded the character 'Petty Officer Third Class Karissa Novar'
[19:37:28]	Petty Officer Third Class Karissa Novar entered observer.
[19:37:35]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:37:36]	Petty Officer Third Class Karissa Novar entered observer.
[19:37:36]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:37:44]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:37:58]	Petty Officer Third Class Karissa Novar used command '/CharSetBodygroup novar rig'.
[19:38:06]	Petty Officer Third Class Karissa Novar used command '/CharSetBodygroup novar keycard'.
[19:38:08]	Petty Officer Third Class Karissa Novar used command '/CharSetBodygroup novar keycar1'.
[19:38:16]	Petty Officer Third Class Karissa Novar used command '/CharSetBodygroup novar body'.
[19:38:21]	Petty Officer Third Class Karissa Novar used command '/CharSetBodygroup novar torso'.
[19:39:08]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/cermedicalarm01.mdl'.
[19:39:20]	Petty Officer Second Class Arnold Jackson has spawned 'models/props_borealis/mooring_cleat01.mdl'.
[19:39:22]	Petty Officer Third Class Karissa Novar entered observer.
[19:39:22]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:39:25]	Petty Officer Third Class Karissa Novar has spawned 'models/bunny/2-1bmedical/2-1bmedicaldroid_arms.mdl'.
[19:39:30]	Petty Officer Second Class Arnold Jackson entered observer.
[19:39:33]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:39:59]	Petty Officer Third Class Karissa Novar has spawned 'models/props/starwars/medical/ammo_pickup.mdl'.
[19:40:30]	Petty Officer Third Class Karissa Novar used command '/CharSetBodygroup novar base_uniform 0'.
[19:40:51]	Petty Officer Third Class Karissa Novar used command '/CharSetBodygroup novar mask 1'.
[19:40:54]	Petty Officer Third Class Karissa Novar used command '/CharSetBodygroup novar mask 0'.
[19:42:22]	Petty Officer Third Class Karissa Novar used command '/CharSetBodygroup novar code_cylinders_1 1'.
[19:42:27]	Petty Officer Third Class Karissa Novar used command '/CharSetBodygroup novar code_cylinder_1 1'.
[19:42:51]	Petty Officer Third Class Karissa Novar used command '/CharSetBodygroup novar code cylinders 1 1'.
[19:43:05]	Doughnut loaded the character 'Agent Carson Photin'
[19:43:06]	Agent Carson Photin entered observer.
[19:43:09]	Agent Carson Photin exited observer at their location.
[19:43:23]	Agent Carson Photin used command '/ToggleRaise'.
[19:43:25]	Agent Carson Photin used command '/ToggleRaise'.
[19:44:44]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/pictureframe02.mdl'.
[19:44:53]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/pictureframe03.mdl'.
[19:45:37]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props2/geth_tower_01.mdl'.
[19:45:42]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props3/biog_apl_kro_statue.mdl'.
[19:46:28]	Agent Carson Photin entered observer.
[19:46:28]	Agent Carson Photin exited observer at their location.
[19:46:59]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props3/biggethturret.mdl'.
[19:47:02]	Agent Carson Photin has gained a 'Flashlight' #1477.
[19:47:02]	Agent Carson Photin used command '/CharGiveItem carson flashlight'.
[19:47:03]	Agent Carson Photin entered observer.
[19:47:05]	Agent Carson Photin exited observer at their location.
[19:47:09]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props3/biggethturret.mdl'.
[19:47:16]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props2/containerkitchen03.mdl'.
[19:47:23]	Agent Carson Photin entered observer.
[19:47:40]	Agent Carson Photin exited observer at their location.
[19:47:52]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/gethpile_01.mdl'.
[19:47:58]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/escapepod03.mdl'.
[19:48:03]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/chairtorture01.mdl'.
[19:48:13]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/chairtorture01.mdl'.
[19:48:33]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/disc_grenade.mdl'.
[19:48:36]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/cermedicalarm01.mdl'.
[19:48:38]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/bioapl_ind_crane01_end.mdl'.
[19:48:40]	FB|| light ROOM has connected.
[19:48:47]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/pictureframe01.mdl'.
[19:48:52]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props4/pictureframe03.mdl'.
[19:49:10]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props/miningvehiclenowheel.mdl'.
[19:49:12]	Petty Officer Third Class Karissa Novar entered observer.
[19:49:12]	FB|| light ROOM loaded the character 'Corporal TK-7886'
[19:49:16]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:49:19]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props/farmplownowheel.mdl'.
[19:49:20]	Petty Officer Third Class Karissa Novar entered observer.
[19:49:23]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props/farmplow.mdl'.
[19:49:25]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:49:29]	Agent Carson Photin entered observer.
[19:49:30]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props/dumpster.mdl'.
[19:49:32]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/liq/n7_tubing_03.mdl'.
[19:49:33]	Agent Carson Photin exited observer at their location.
[19:49:34]	Agent Carson Photin entered observer.
[19:49:36]	Agent Carson Photin exited observer at their location.
[19:49:37]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props/snipertower.mdl'.
[19:49:39]	Agent Carson Photin entered observer.
[19:49:41]	Agent Carson Photin exited observer at their location.
[19:49:42]	Agent Carson Photin entered observer.
[19:49:44]	Agent Carson Photin exited observer at their location.
[19:49:44]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props/datapad.mdl'.
[19:49:45]	Agent Carson Photin entered observer.
[19:49:45]	Agent Carson Photin exited observer at their location.
[19:49:59]	Petty Officer Third Class Karissa Novar entered observer.
[19:50:01]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:50:16]	Petty Officer Third Class Karissa Novar entered observer.
[19:50:27]	Agent Carson Photin entered observer.
[19:50:36]	Petty Officer Third Class Karissa Novar entered observer.
[19:50:38]	Agent Carson Photin exited observer at their location.
[19:50:41]	Agent Carson Photin entered observer.
[19:50:44]	Agent Carson Photin exited observer at their location.
[19:50:54]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:50:58]	FB|| light ROOM loaded the character 'Sergeant RT-9824 ''Bulwark'''
[19:51:31]	Petty Officer Third Class Karissa Novar has gained a 'Datapad' #1478.
[19:51:31]	Petty Officer Third Class Karissa Novar used command '/CreateCustomItem Datapad models/cire992/props/datapad.mdl It's literally a mass effect datapad, writted in Turian. Someone broke the space-time continuum.'.
[19:51:35]	Petty Officer Third Class Karissa Novar ran 'drop' on item 'Datapad' (#1478)
[19:51:35]	Petty Officer Third Class Karissa Novar has lost a 'Datapad' #1478.
[19:51:45]	Agent Carson Photin ran 'take' on item 'Datapad' (#1478)
[19:51:45]	Agent Carson Photin has gained a 'Datapad' #1478.
[19:51:55]	Agent Carson Photin ran 'drop' on item 'Datapad' (#1478)
[19:51:55]	Agent Carson Photin has lost a 'Datapad' #1478.
[19:52:01]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props/thermos.mdl'.
[19:52:11]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props/terminal.mdl'.
[19:52:13]	Petty Officer Third Class Karissa Novar has spawned 'models/cire992/props/terminal.mdl'.
[19:52:15]	Sergeant RT-9824 ''Bulwark'' has taken 500 damage from prop_physics.
[19:52:15]	prop_physics has killed Sergeant RT-9824 ''Bulwark''.
[19:52:35]	Petty Officer Third Class Karissa Novar has spawned 'models/props_junk/TrashDumpster01a.mdl'.
[19:52:36]	Petty Officer Third Class Karissa Novar has spawned 'models/props_junk/TrashDumpster02.mdl'.
[19:52:38]	Agent Carson Photin has taken 500 damage from prop_physics.
[19:52:38]	prop_physics has killed Agent Carson Photin.
[19:52:38]	Sergeant RT-9824 ''Bulwark'' has taken 500 damage from prop_physics.
[19:52:38]	prop_physics has killed Sergeant RT-9824 ''Bulwark''.
[19:52:38]	Petty Officer Third Class Karissa Novar has taken 50 damage from prop_physics.
[19:52:38]	Petty Officer Third Class Karissa Novar has taken 100 damage from prop_physics.
[19:52:38]	prop_physics has killed Petty Officer Third Class Karissa Novar.
[19:52:45]	Petty Officer Third Class Karissa Novar entered observer.
[19:52:45]	Agent Carson Photin entered observer.
[19:52:50]	Agent Carson Photin exited observer at their location.
[19:52:55]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:52:56]	Petty Officer Third Class Karissa Novar entered observer.
[19:52:57]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:52:57]	Petty Officer Third Class Karissa Novar entered observer.
[19:53:08]	Petty Officer Third Class Karissa Novar has spawned a 'NPC [201][npc_citizen]'.
[19:53:12]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:53:18]	Petty Officer Third Class Karissa Novar has spawned a 'NPC [201][npc_combine]'.
[19:53:18]	Agent Carson Photin has spawned a 'NPC [212][npc_combine_s]'.
[19:53:21]	Sergeant RT-9824 ''Bulwark'' has taken 10 damage from npc_combine_s.
[19:53:21]	Sergeant RT-9824 ''Bulwark'' has taken 10 damage from npc_combine_s.
[19:53:26]	Agent Carson Photin has spawned a 'NPC [201][npc_combine_s]'.
[19:53:30]	Petty Officer Third Class Karissa Novar entered observer.
[19:53:33]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:53:34]	Petty Officer Third Class Karissa Novar entered observer.
[19:53:34]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:53:36]	Petty Officer Third Class Karissa Novar has spawned a 'NPC [201][npc_combine]'.
[19:53:50]	Agent Carson Photin used command '/CharGiveFlag carson petcCrRpP'.
[19:53:52]	Agent Carson Photin has spawned 'models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_02.mdl'.
[19:53:58]	Agent Carson Photin entered observer.
[19:53:59]	Agent Carson Photin exited observer at their location.
[19:54:07]	Agent Carson Photin has spawned 'models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_01.mdl'.
[19:54:09]	Agent Carson Photin has spawned 'models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_04.mdl'.
[19:54:11]	Agent Carson Photin entered observer.
[19:54:11]	Agent Carson Photin exited observer at their location.
[19:54:12]	Agent Carson Photin entered observer.
[19:54:13]	Agent Carson Photin exited observer at their location.
[19:54:25]	Agent Carson Photin used command '/CharSetModel rt models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_04.mdl'.
[19:54:44]	FB|| light ROOM loaded the character 'TNK Private First Class Mitchell Lazarus'
[19:54:46]	Petty Officer Third Class Karissa Novar has spawned a 'NPC [201][npc_vjks_blackholeheavyf]'.
[19:54:52]	Petty Officer Third Class Karissa Novar has spawned a 'NPC [201][npc_vjks_impoff_moff]'.
[19:55:12]	Petty Officer Third Class Karissa Novar has spawned a 'NPC [201][npc_vjks_amedic2f]'.
[19:55:13]	FB|| light ROOM loaded the character 'Corporal TK-7886'
[19:55:17]	Corporal TK-7886 has taken 48 damage from worldspawn.
[19:55:22]	Petty Officer Third Class Karissa Novar has spawned 'models/props_c17/shelfunit01a.mdl'.
[19:55:58]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[19:56:00]	Corporal TK-7886 has taken 30 damage from Petty Officer Third Class Karissa Novar.
[19:56:01]	Corporal TK-7886 has taken 29 damage from Petty Officer Third Class Karissa Novar.
[19:56:01]	Petty Officer Third Class Karissa Novar has killed Corporal TK-7886 with rw_sw_umb1.
[19:56:02]	Agent Carson Photin has taken 3 damage from Petty Officer Third Class Karissa Novar.
[19:56:21]	Agent Carson Photin used command '/ToggleRaise'.
[19:56:22]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[19:56:24]	Petty Officer Third Class Karissa Novar has taken 3 damage from Agent Carson Photin.
[19:56:24]	Petty Officer Third Class Karissa Novar has taken 28 damage from Agent Carson Photin.
[19:56:24]	Petty Officer Third Class Karissa Novar has taken 4 damage from Agent Carson Photin.
[19:56:25]	Petty Officer Third Class Karissa Novar has taken 35 damage from Agent Carson Photin.
[19:56:25]	Petty Officer Third Class Karissa Novar has taken 29 damage from Agent Carson Photin.
[19:56:25]	Petty Officer Third Class Karissa Novar has taken 33 damage from Agent Carson Photin.
[19:56:25]	Agent Carson Photin has killed Petty Officer Third Class Karissa Novar with rw_sw_z6i.
[19:56:41]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[19:56:43]	Agent Carson Photin entered observer.
[19:56:45]	Corporal TK-7886 has taken 85 damage from Petty Officer Third Class Karissa Novar.
[19:56:46]	Agent Carson Photin exited observer at their location.
[19:56:47]	Agent Carson Photin entered observer.
[19:56:49]	Agent Carson Photin exited observer at their location.
[19:56:52]	Petty Officer Third Class Karissa Novar has taken 35 damage from Agent Carson Photin.
[19:56:52]	Petty Officer Third Class Karissa Novar has taken 27 damage from Agent Carson Photin.
[19:56:53]	Petty Officer Third Class Karissa Novar entered observer.
[19:57:00]	Petty Officer Third Class Karissa Novar has spawned a 'Entity [212][pfx5_03]'.
[19:57:00]	Petty Officer Third Class Karissa Novar has spawned a 'Entity [228][pfx5_03]'.
[19:57:00]	Petty Officer Third Class Karissa Novar has spawned a 'Entity [229][pfx5_03]'.
[19:57:01]	Petty Officer Third Class Karissa Novar has spawned a 'Entity [230][pfx5_03]'.
[19:57:01]	Petty Officer Third Class Karissa Novar has spawned a 'Entity [231][pfx5_03]'.
[19:57:01]	Petty Officer Third Class Karissa Novar has spawned a 'Entity [232][pfx5_03]'.
[19:57:01]	Petty Officer Third Class Karissa Novar has spawned a 'Entity [406][pfx5_03]'.
[19:57:02]	Petty Officer Third Class Karissa Novar has spawned a 'Entity [435][pfx5_03]'.
[19:57:05]	Petty Officer Third Class Karissa Novar has spawned a 'Entity [436][pfx5_00_alt_s]'.
[19:57:06]	Petty Officer Third Class Karissa Novar has spawned a 'Entity [437][pfx5_03]'.
[19:57:23]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:57:28]	Petty Officer Third Class Karissa Novar has spawned a 'Entity [437][pfx9_00]'.
[19:57:43]	Petty Officer Third Class Karissa Novar entered observer.
[19:57:43]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:57:53]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [437][rw_sw_umb1]'.
[19:57:55]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [436][rw_sw_umb1]'.
[19:57:58]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[19:58:00]	Corporal TK-7886 has taken 29 damage from Petty Officer Third Class Karissa Novar.
[19:58:00]	Petty Officer Third Class Karissa Novar has killed Corporal TK-7886 with rw_sw_umb1.
[19:58:11]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[19:58:14]	Corporal TK-7886 has taken 45 damage from Petty Officer Third Class Karissa Novar.
[19:58:18]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [226][rw_sw_umb1]'.
[19:58:18]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [438][rw_sw_umb1]'.
[19:58:19]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [440][rw_sw_umb1]'.
[19:58:19]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [441][rw_sw_umb1]'.
[19:58:19]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [442][rw_sw_umb1]'.
[19:58:19]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [443][rw_sw_umb1]'.
[19:58:20]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [444][rw_sw_umb1]'.
[19:58:20]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [445][rw_sw_umb1]'.
[19:58:20]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [446][rw_sw_umb1]'.
[19:58:20]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [447][rw_sw_umb1]'.
[19:58:21]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [448][rw_sw_umb1]'.
[19:58:21]	Petty Officer Third Class Karissa Novar has spawned a 'Weapon [449][rw_sw_umb1]'.
[19:58:25]	Agent Carson Photin entered observer.
[19:58:25]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[19:58:29]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[19:58:31]	Petty Officer Third Class Karissa Novar has taken 3 damage from Corporal TK-7886.
[19:58:31]	Petty Officer Third Class Karissa Novar has taken 30 damage from Corporal TK-7886.
[19:58:32]	Petty Officer Third Class Karissa Novar has taken 30 damage from Corporal TK-7886.
[19:58:32]	Corporal TK-7886 has killed Petty Officer Third Class Karissa Novar with rw_sw_umb1.
[19:58:46]	Agent Carson Photin has killed Agent Carson Photin.
[19:58:54]	Agent Carson Photin entered observer.
[19:58:54]	Petty Officer Third Class Karissa Novar entered observer.
[19:58:58]	Agent Carson Photin exited observer at their location.
[19:59:08]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:59:19]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[19:59:29]	Petty Officer Third Class Karissa Novar has taken 23 damage from Corporal TK-7886.
[19:59:29]	Petty Officer Third Class Karissa Novar has taken 25 damage from Corporal TK-7886.
[19:59:29]	Petty Officer Third Class Karissa Novar entered observer.
[19:59:34]	Agent Carson Photin used command '/ToggleRaise'.
[19:59:35]	Petty Officer Third Class Karissa Novar exited observer at their location.
[19:59:37]	Petty Officer Third Class Karissa Novar has taken 24 damage from Corporal TK-7886.
[19:59:38]	Petty Officer Third Class Karissa Novar has taken 4 damage from Corporal TK-7886.
[19:59:38]	Petty Officer Third Class Karissa Novar has taken 23 damage from Corporal TK-7886.
[19:59:38]	Petty Officer Third Class Karissa Novar has taken 3 damage from Corporal TK-7886.
[19:59:38]	Corporal TK-7886 has killed Petty Officer Third Class Karissa Novar with rw_sw_umb1.
[19:59:38]	Petty Officer Third Class Karissa Novar entered observer.
[19:59:53]	Petty Officer Third Class Karissa Novar has taken 1409 damage from Agent Carson Photin.
[19:59:53]	Agent Carson Photin has killed Petty Officer Third Class Karissa Novar with rw_sw_nt242c.
[20:00:01]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:00:03]	Petty Officer Third Class Karissa Novar has taken 3 damage from Corporal TK-7886.
[20:00:04]	Petty Officer Third Class Karissa Novar has taken 4 damage from Corporal TK-7886.
[20:00:04]	Petty Officer Third Class Karissa Novar has taken 4 damage from Corporal TK-7886.
[20:00:04]	Corporal TK-7886 has taken 110 damage from Petty Officer Third Class Karissa Novar.
[20:00:04]	Petty Officer Third Class Karissa Novar has killed Corporal TK-7886 with rw_sw_royal_guard_staff.
[20:00:08]	Petty Officer Third Class Karissa Novar has taken 25 damage from Agent Carson Photin.
[20:00:08]	Agent Carson Photin has taken 110 damage from Petty Officer Third Class Karissa Novar.
[20:00:08]	Petty Officer Third Class Karissa Novar has killed Agent Carson Photin with rw_sw_royal_guard_staff.
[20:00:11]	Corporal TK-7886 has taken 1 damage from Petty Officer Third Class Karissa Novar.
[20:00:12]	Corporal TK-7886 ran 'Equip' on item 'E-22 Blaster' (#1151)
[20:00:13]	Corporal TK-7886 ran 'EquipUn' on item 'E-22 Blaster' (#1151)
[20:00:13]	Corporal TK-7886 ran 'Equip' on item 'E-22 Blaster' (#1151)
[20:00:14]	Agent Carson Photin has taken 1 damage from Petty Officer Third Class Karissa Novar.
[20:00:16]	Petty Officer Third Class Karissa Novar entered observer.
[20:00:16]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:00:23]	Agent Carson Photin used command '/ToggleRaise'.
[20:00:26]	Petty Officer Third Class Karissa Novar has taken 2 damage from Agent Carson Photin.
[20:00:28]	Petty Officer Third Class Karissa Novar has taken 16 damage from Agent Carson Photin.
[20:00:30]	Petty Officer Third Class Karissa Novar has taken 21 damage from Agent Carson Photin.
[20:00:30]	Petty Officer Third Class Karissa Novar has taken 125 damage from Agent Carson Photin.
[20:00:30]	Agent Carson Photin has killed Petty Officer Third Class Karissa Novar with rw_sw_huntershotgun.
[20:00:38]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:00:44]	Agent Carson Photin has taken 44 damage from Petty Officer Third Class Karissa Novar.
[20:00:45]	Petty Officer Third Class Karissa Novar has taken 2 damage from Agent Carson Photin.
[20:00:45]	Petty Officer Third Class Karissa Novar has taken 124 damage from Agent Carson Photin.
[20:00:45]	Agent Carson Photin has killed Petty Officer Third Class Karissa Novar with rw_sw_huntershotgun.
[20:00:55]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:00:57]	Corporal TK-7886 has taken 35 damage from Petty Officer Third Class Karissa Novar.
[20:00:57]	Corporal TK-7886 has taken 36 damage from Petty Officer Third Class Karissa Novar.
[20:00:58]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:00:58]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:00:59]	Petty Officer Third Class Karissa Novar has taken 2 damage from Agent Carson Photin.
[20:01:00]	Petty Officer Third Class Karissa Novar has taken 16 damage from Agent Carson Photin.
[20:01:00]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:01:00]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:01:00]	Agent Carson Photin has taken 5 damage from Petty Officer Third Class Karissa Novar.
[20:01:01]	Petty Officer Third Class Karissa Novar has taken 16 damage from Agent Carson Photin.
[20:01:01]	Petty Officer Third Class Karissa Novar has taken 2 damage from Agent Carson Photin.
[20:01:01]	Petty Officer Third Class Karissa Novar has taken 20 damage from Agent Carson Photin.
[20:01:01]	Petty Officer Third Class Karissa Novar has taken 2 damage from Agent Carson Photin.
[20:01:01]	Agent Carson Photin has taken 28 damage from Petty Officer Third Class Karissa Novar.
[20:01:01]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:01:01]	Agent Carson Photin has taken 3 damage from Petty Officer Third Class Karissa Novar.
[20:01:01]	Petty Officer Third Class Karissa Novar has killed Agent Carson Photin with rw_sw_z2.
[20:01:08]	Petty Officer Third Class Karissa Novar has taken 10 damage from Corporal TK-7886.
[20:01:08]	Agent Carson Photin used command '/ToggleRaise'.
[20:01:09]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:01:11]	Agent Carson Photin entered observer.
[20:01:13]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:01:13]	Agent Carson Photin exited observer at their location.
[20:01:16]	Petty Officer Third Class Karissa Novar has taken 6 damage from Agent Carson Photin.
[20:01:16]	Petty Officer Third Class Karissa Novar has taken 50 damage from Agent Carson Photin.
