[00:00:00]	[OOC] Unknown: rejoin*
[00:02:33]	Petty Officer Second Class Arnold Jackson entered observer.
[00:02:33]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[00:02:33]	Petty Officer Second Class Arnold Jackson entered observer.
[00:02:34]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[00:02:34]	Petty Officer Second Class Arnold Jackson entered observer.
[00:02:34]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[00:02:34]	Petty Officer Second Class Arnold Jackson entered observer.
[00:02:35]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[00:02:35]	Petty Officer Second Class Arnold Jackson entered observer.
[00:02:35]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[00:02:35]	Petty Officer Second Class Arnold Jackson entered observer.
[00:02:36]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[00:02:36]	Petty Officer Second Class Arnold Jackson entered observer.
[00:02:36]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[00:02:38]	Petty Officer Second Class Arnold Jackson entered observer.
[00:02:41]	Doughnut (STEAM_0:1:127409364) has disconnected.
[00:02:42]	[OOC] Crewman Third Class Red Giddeon: oh boy
[00:02:43]	Corporal IN-3331 entered observer.
[00:02:43]	Corporal IN-3331 exited observer at their location.
[00:02:51]	[OOC] Crewman Third Class Jul Magne: I am gonna get on tomorrow thank you guys for helping me
[00:02:55]	Magne (STEAM_0:0:200443144) has disconnected.
[00:03:00]	[OOC] Lieutenant Colonel Benjamin Riley: thanks for be-
[00:03:02]	[OOC] Lieutenant Colonel Benjamin Riley: ing on
[00:03:03]	[OOC] Private First Class TX-7062: F
[00:03:13]	Lieutenant Colonel Benjamin Riley entered observer.
[00:03:15]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:03:16]	Lieutenant Colonel Benjamin Riley entered observer.
[00:03:16]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:03:17]	[OOC] Crewman Third Class Red Giddeon: your not a hallogram
[00:03:20]	[OOC] Lieutenant Colonel Benjamin Riley: i know
[00:03:21]	[OOC] Lieutenant Colonel Benjamin Riley: i'm here in person
[00:03:27]	[OOC] Crewman Third Class Red Giddeon: OH
[00:03:31]	[OOC] Crewman Third Class Red Giddeon: mind blown
[00:03:33]	[OOC] Lieutenant Colonel Benjamin Riley: lmao
[00:03:38]	Lieutenant Colonel Benjamin Riley entered observer.
[00:03:38]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:03:42]	Lieutenant Colonel Benjamin Riley used command '/c Krogour.'.
[00:03:43]	[ME] Private First Class TX-7062: Salutes
[00:03:59]	Flight Sub-Lieutenant Erik Crogour used command '/comm Sir?'.
[00:04:09]	Lieutenant Colonel Benjamin Riley used command '/c Debrief.'.
[00:04:11]	Lieutenant Colonel Benjamin Riley used command '/c Get to the debrief room.'.
[00:04:20]	Flight Sub-Lieutenant Erik Crogour used command '/comm Oh sorry sir, my commlink was off'.
[00:04:20]	[OOC] Corporal IN-3331: Do you know where it is?
[00:04:31]	Lieutenant Colonel Benjamin Riley entered observer.
[00:04:36]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:04:36]	Lieutenant Colonel Benjamin Riley entered observer.
[00:04:36]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:04:47]	Corporal IN-3331 entered observer.
[00:04:53]	[OOC] Flight Sub-Lieutenant Erik Crogour: Where is it
[00:05:04]	Corporal IN-3331 exited observer at their location.
[00:05:05]	Corporal IN-3331 entered observer.
[00:05:05]	Corporal IN-3331 exited observer at their location.
[00:05:07]	[OOC] Lieutenant Colonel Benjamin Riley: there
[00:08:24]	[W] Flight Sub-Lieutenant Erik Crogour: Get fucked.
[00:08:45]	[W] Crewman Third Class Red Giddeon: Yeah felt like it.
[00:09:28]	[ME] Crewman Third Class Red Giddeon: nods'
[00:09:48]	[Y] Lieutenant Colonel Benjamin Riley: GIDDEON!
[00:09:53]	[Y] Lieutenant Colonel Benjamin Riley: Is verbal communication not enough for you?
[00:09:54]	Lieutenant Colonel Benjamin Riley used command '/DoorSetHidden true'.
[00:10:01]	[Y] Lieutenant Colonel Benjamin Riley: Are you too special for it?
[00:10:02]	[OOC] Corporal IN-3331: I'ma get off for tonight
[00:10:06]	Ollie Garner (STEAM_0:1:52892973) has disconnected.
[00:10:11]	[Y] Lieutenant Colonel Benjamin Riley: That's right!
[00:10:18]	[Y] Lieutenant Colonel Benjamin Riley: Dismissed!
[00:10:36]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[00:10:53]	Lieutenant Colonel Benjamin Riley entered observer.
[00:10:57]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:11:07]	[OOC] Lieutenant Colonel Benjamin Riley: today was a good day
[00:11:08]	[OOC] Flight Sub-Lieutenant Erik Crogour: Q
[00:11:08]	[OOC] Lieutenant Colonel Benjamin Riley: other than
[00:11:14]	[OOC] Lieutenant Colonel Benjamin Riley: being told they hope my family gets in a car crash
[00:11:14]	[OOC] Lieutenant Colonel Benjamin Riley: yes
[00:11:27]	[OOC] Flight Sub-Lieutenant Erik Crogour: How do I make a droid
[00:11:36]	[OOC] Flight Sub-Lieutenant Erik Crogour: I'm considering getting supporter
[00:11:37]	[OOC] Lieutenant Colonel Benjamin Riley: you need to be a $5 donator
[00:11:38]	Lieutenant Colonel Benjamin Riley entered observer.
[00:11:39]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:11:43]	[OOC] Lieutenant Colonel Benjamin Riley: it helps support the serve,r we appreciate it ;-;
[00:11:44]	Lieutenant Colonel Benjamin Riley entered observer.
[00:11:45]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:12:03]	Lieutenant Colonel Benjamin Riley entered observer.
[00:12:04]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:12:05]	[OOC] Crewman Third Class Red Giddeon: and they just follow you around
[00:12:09]	[OOC] Lieutenant Colonel Benjamin Riley: also i've said before
[00:12:10]	[OOC] Flight Sub-Lieutenant Erik Crogour: Oh
[00:12:11]	[OOC] Lieutenant Colonel Benjamin Riley: i'll say it agian
[00:12:13]	[OOC] Lieutenant Colonel Benjamin Riley: we're nonprofit
[00:12:19]	[OOC] Lieutenant Colonel Benjamin Riley: we make zero profit off of donations
[00:12:19]	Lieutenant Colonel Benjamin Riley entered observer.
[00:12:20]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:12:22]	[OOC] Lieutenant Colonel Benjamin Riley: or any other income
[00:12:22]	Lieutenant Colonel Benjamin Riley entered observer.
[00:12:23]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:12:23]	Lieutenant Colonel Benjamin Riley entered observer.
[00:12:25]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:12:28]	[OOC] Lieutenant Colonel Benjamin Riley: it all goes to server funds
[00:12:41]	[OOC] Flight Sub-Lieutenant Erik Crogour: Q is there a way I can just venmo you $5 paypal won't let me buy
[00:12:46]	Lieutenant Colonel Benjamin Riley entered observer.
[00:12:47]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:13:04]	[OOC] Lieutenant Colonel Benjamin Riley: are you using the prometheus link?
[00:13:04]	Lieutenant Colonel Benjamin Riley entered observer.
[00:13:09]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:13:11]	[OOC] Flight Sub-Lieutenant Erik Crogour: Yeah
[00:13:17]	matt saton loaded the character 'R5-B7'
[00:13:18]	R5-B7 entered observer.
[00:13:31]	[OOC] R5-B7: vvould paying by card make it work out? have you tried that?
[00:13:35]	[OOC] R5-B7: we don't get your info, it goes thorugh stripe
[00:13:37]	R5-B7 exited observer at their location.
[00:13:59]	R5-B7 used command '/dr Greetings!'.
[00:14:22]	R5-B7 used command '/dr We're everywhere.'.
[00:14:26]	R5-B7 used command '/dr Hey!'.
[00:14:38]	[ME] R5-B7: gives a light zap with his arm to Erik's leg.
[00:14:54]	[ME] Flight Sub-Lieutenant Erik Crogour: unholsters blaster as the droid zaps me
[00:14:58]	R5-B7 used command '/dr Woah!'.
[00:15:00]	R5-B7 used command '/dr Cool it!\'.
[00:15:09]	R5-B7 used command '/dr Neither was you insulting me.'.
[00:15:25]	[OOC] R5-B7: tfw droid is a language
[00:15:37]	[OOC] Flight Sub-Lieutenant Erik Crogour: I don't have it
[00:15:38]	[OOC] Flight Sub-Lieutenant Erik Crogour: L
[00:15:40]	[OOC] R5-B7: L:
[00:15:41]	[OOC] R5-B7: L*
[00:15:49]	[OOC] R5-B7: technicians and pilots get it
[00:16:12]	[OOC] Flight Sub-Lieutenant Erik Crogour: I bought it
[00:16:21]	[ME] R5-B7: shakes its... headpiece?
[00:16:27]	[IT] R5-B7: Shakes it no.
[00:16:42]	[OOC] Flight Sub-Lieutenant Erik Crogour: Can I get the droid lang?
[00:16:48]	[OOC] Flight Sub-Lieutenant Erik Crogour: Because I'm a pilot
[00:16:53]	[OOC] R5-B7: oH YOU ASRE A A PILOT
[00:16:57]	R5-B7 used command '/CharGiveFlag erik D'.
[00:17:04]	R5-B7 used command '/dr I'm not defective, you just insulted me.'.
[00:17:06]	[OOC] Flight Sub-Lieutenant Erik Crogour: IM LEGIT IN A PILOT UNIFORM
[00:17:07]	R5-B7 used command '/dr I take personal offense.'.
[00:17:13]	[OOC] R5-B7: YOU'RE ALL IN BLACK I FORGET
[00:17:18]	[OOC] R5-B7: YOU ALL LOOK ALIKE WHEN YOU'RE ALL IN THE SAME BLACK SHIT
[00:17:27]	[OOC] R5-B7: ALL YOU BLACKS LOOK ALIKE
[00:17:28]	[OOC] R5-B7: wait no
[00:17:32]	R5-B7 used command '/dr I'm not defective!'.
[00:17:36]	R5-B7 used command '/dr You insulted me, I didn't appreciate it.'.
[00:17:49]	R5-B7 used command '/dr come on, you hardly felt it, surely.'.
[00:17:53]	R5-B7 used command '/dr That's not true.'.
[00:18:03]	R5-B7 used command '/dr I'm proof.'.
[00:18:28]	R5-B7 used command '/dr I'm not defective!'.
[00:18:34]	R5-B7 used command '/dr I'm not a security droid, I'm an astromech!'.
[00:19:15]	R5-B7 used command '/dr I really don't need to go to the shop.'.
[00:19:19]	R5-B7 used command '/dr Why are you being so mean?'.
[00:19:24]	R5-B7 used command '/dr We can't all be R2 units.'.
[00:19:25]	R5-B7 used command '/DoorSetHidden true'.
[00:19:26]	[OOC] Flight Sub-Lieutenant Erik Crogour: *series
[00:19:28]	[LOOC] R5-B7: void jumop
[00:19:41]	R5-B7 used command '/dr I was just built this way, it's not even up to me!'.
[00:19:43]	[LOOC] Flight Sub-Lieutenant Erik Crogour: I bought the supporter btw
[00:19:48]	[OOC] R5-B7: hol up
[00:20:08]	[OOC] R5-B7: alright, you have the rank
[00:20:14]	[OOC] R5-B7: thank you very much!
[00:20:15]	[OOC] Flight Sub-Lieutenant Erik Crogour: Baller
[00:20:16]	[OOC] R5-B7: we appreciate it a lot!
[00:20:23]	R5-B7 used command '/PlyWhitelist erik droid'.
[00:20:36]	R5-B7 used command '/CharGiveFlag erik pet'.
[00:20:55]	R5-B7 used command '/dr You are!'.
[00:21:01]	R5-B7 used command '/dr I'm just trying to go about my business.'.
[00:21:03]	[ME] Flight Sub-Lieutenant Erik Crogour: kicks R5 unit
[00:21:07]	Flight Sub-Lieutenant Erik Crogour rolled 12 out of 100.
[00:21:07]	Flight Sub-Lieutenant Erik Crogour used command '/Roll'.
[00:21:14]	[LOOC] Flight Sub-Lieutenant Erik Crogour: Do I need to roll
[00:21:30]	R5-B7 used command '/dr I would say ow, but I don't feel pain!'.
[00:21:34]	[LOOC] R5-B7: nah i'm not gonna resist
[00:21:41]	R5-B7 used command '/dr That's rude! Fine, I'll go away.'.
[00:21:57]	R5-B7 used command '/dr I don't have a nervous system!'.
[00:22:02]	R5-B7 used command '/dr You'll hear from my technician.'.
[00:22:15]	R5-B7 entered observer.
[00:22:49]	[LOOC] Flight Sub-Lieutenant Erik Crogour: LMaoo
[00:22:52]	[ME] Crewman Third Class Red Giddeon: chuckles
[00:22:58]	[ME] Flight Sub-Lieutenant Erik Crogour: chuckles as well
[00:23:54]	R5-B7 exited observer at their location.
[00:23:54]	R5-B7 entered observer.
[00:23:57]	R5-B7 exited observer at their location.
[00:24:02]	matt saton loaded the character 'Petty Officer First Class Cynthia Pritchett'
[00:24:05]	Petty Officer First Class Cynthia Pritchett used command '/c My gosh.'.
[00:24:07]	Petty Officer First Class Cynthia Pritchett used command '/c Second time in two days.'.
[00:24:13]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:24:16]	Crewman Third Class Red Giddeon used command '/c whats that?'.
[00:24:18]	Petty Officer First Class Cynthia Pritchett used command '/c Stop. Kicking. Droids.'.
[00:24:23]	Petty Officer First Class Cynthia Pritchett used command '/c I'll talk to you later, crogour.'.
[00:24:31]	Flight Sub-Lieutenant Erik Crogour used command '/comm I don't know what you're talking about First Class'.
[00:24:40]	Petty Officer First Class Cynthia Pritchett used command '/c I've got you on camera.'.
[00:24:45]	Petty Officer First Class Cynthia Pritchett used command '/c Like the droid.'.
[00:24:49]	Petty Officer First Class Cynthia Pritchett used command '/c The droid saw it.'.
[00:24:54]	Petty Officer First Class Cynthia Pritchett used command '/c It told me what happened.'.
[00:24:56]	Flight Sub-Lieutenant Erik Crogour used command '/comm You got the wrong guy'.
[00:24:59]	Petty Officer First Class Cynthia Pritchett used command '/c I checked it's memory banks.'.
[00:25:11]	Flight Sub-Lieutenant Erik Crogour used command '/comm It's a faulty droid.'.
[00:25:21]	Petty Officer First Class Cynthia Pritchett used command '/c We'll talk about it tomorrow.'.
[00:25:32]	Crewman Third Class Red Giddeon used command '/c didnt the little bastard say he can't feel pain, whats wrong with a little rough housing every now and then?'.
[00:25:57]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:25:58]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:02]	Flight Sub-Lieutenant Erik Crogour used command '/comm Exactly'.
[00:26:14]	Petty Officer First Class Cynthia Pritchett used command '/c You're hitting empire equipment.'.
[00:26:17]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:17]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:20]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:21]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:22]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:22]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:23]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:32]	Flight Sub-Lieutenant Erik Crogour used command '/comm Well he zapped me'.
[00:26:34]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:34]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:35]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:35]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:35]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:36]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:36]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:37]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:37]	Petty Officer First Class Cynthia Pritchett has taken 0 damage from rp_kaktusownia_swrp_v1.
[00:26:39]	Petty Officer First Class Cynthia Pritchett used command '/c You insulted him.'.
[00:26:40]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:40]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:45]	Petty Officer First Class Cynthia Pritchett used command '/c They've got personalities.'.
[00:26:47]	Crewman Third Class Red Giddeon used command '/c useless junk that doesent work isnt equipment'.
[00:26:48]	Petty Officer First Class Cynthia Pritchett used command '/c He took offense.'.
[00:26:49]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:50]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:50]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:50]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:51]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:51]	Flight Sub-Lieutenant Erik Crogour used command '/comm It's a droid.'.
[00:26:52]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:52]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:26:53]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:26:57]	Petty Officer First Class Cynthia Pritchett used command '/c It still has feelings.'.
[00:27:09]	Flight Sub-Lieutenant Erik Crogour used command '/comm It's a computer for crying out loud'.
[00:27:17]	Flight Sub-Lieutenant Erik Crogour used command '/comm They aren't living things.'.
[00:27:30]	Petty Officer First Class Cynthia Pritchett used command '/c Still has feelings.'.
[00:27:31]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:27:31]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:27:31]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:27:31]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:27:36]	Petty Officer First Class Cynthia Pritchett used command '/c How'd you offend it otherwise?'.
[00:27:40]	Crewman Third Class Red Giddeon used command '/c remove their harddrive or something like that. should clear up the issue'.
[00:27:46]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:27:47]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:27:48]	Flight Sub-Lieutenant Erik Crogour used command '/comm By saying it's a bad model'.
[00:27:51]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:27:51]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:27:51]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:27:52]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:27:52]	Petty Officer First Class Cynthia Pritchett has taken 4 damage from rp_kaktusownia_swrp_v1.
[00:27:53]	Petty Officer First Class Cynthia Pritchett used command '/c Yes.'.
[00:27:59]	Petty Officer First Class Cynthia Pritchett used command '/c You offended it. It has feelings.'.
[00:27:59]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:27:59]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:28:07]	[OOC] Flight Sub-Lieutenant Erik Crogour: Oh
[00:28:12]	Crewman Third Class Red Giddeon used command '/c personally, i liked the model. but i dont like it when IT DOESENT WORK'.
[00:28:15]	[OOC] Flight Sub-Lieutenant Erik Crogour: I thought you said how did you offend it
[00:28:22]	[OOC] Petty Officer First Class Cynthia Pritchett: all good
[00:28:26]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:28:27]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:28:28]	Petty Officer First Class Cynthia Pritchett used command '/c It works.'.
[00:28:32]	Petty Officer First Class Cynthia Pritchett used command '/c It has impeccable navigation.'.
[00:28:45]	Crewman Third Class Red Giddeon used command '/c impeccable annoyance more like it'.
[00:28:48]	Flight Sub-Lieutenant Erik Crogour used command '/comm It doesn't need a personality to do that'.
[00:29:22]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:29:22]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:29:23]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:29:24]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:29:27]	Petty Officer First Class Cynthia Pritchett used command '/c Correct, it doesn't.'.
[00:29:31]	Petty Officer First Class Cynthia Pritchett used command '/c But it's not hurting anything.'.
[00:29:40]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:29:41]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:29:42]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:29:45]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:29:45]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:29:47]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:29:49]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:29:50]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:29:51]	Crewman Third Class Red Giddeon used command '/c it shocked eric because he called it ugly! thats a problem!'.
[00:29:53]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:29:55]	Flight Sub-Lieutenant Erik Crogour used command '/comm Are you even Imperial?'.
[00:29:56]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:29:57]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:29:58]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:29:58]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:30:10]	Petty Officer First Class Cynthia Pritchett used command '/c Try calling someone ugly to their face and see what they do.'.
[00:30:18]	Petty Officer First Class Cynthia Pritchett used command '/c Of course I'm imperial. I've been here for two yeras.'.
[00:30:20]	[OOC] Petty Officer First Class Cynthia Pritchett: yeras.*
[00:30:22]	Flight Sub-Lieutenant Erik Crogour used command '/comm You sound like you came from one of those rebel planets.'.
[00:30:24]	[OOC] Petty Officer First Class Cynthia Pritchett: ewfew*
[00:30:43]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:30:43]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:30:46]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:30:54]	Petty Officer First Class Cynthia Pritchett used command '/c I hope you're not implying what I think you are.'.
[00:31:01]	Crewman Third Class Red Giddeon used command '/c yes but that only reinforces my main point; its a useless pile of annoying junk'.
[00:31:09]	Petty Officer First Class Cynthia Pritchett used command '/c It does its job fine.'.
[00:31:24]	[OOC] Petty Officer First Class Cynthia Pritchett: i want some pziza
[00:31:25]	[OOC] Petty Officer First Class Cynthia Pritchett: fuck
[00:31:33]	[OOC] Petty Officer First Class Cynthia Pritchett: greasy tasty pizza
[00:31:35]	[OOC] Crewman Third Class Red Giddeon: i want some fuck
[00:31:38]	[OOC] Petty Officer First Class Cynthia Pritchett: garlic parmesan
[00:31:40]	[OOC] Crewman Third Class Red Giddeon: pizza
[00:31:45]	[OOC] Flight Sub-Lieutenant Erik Crogour: You can get pizza after we jump you and beat you up for being a rebel
[00:31:53]	[OOC] Petty Officer First Class Cynthia Pritchett: nah all good lmao i won't get any unitl like
[00:31:54]	[OOC] Crewman Third Class Red Giddeon: oooo
[00:31:54]	[OOC] Petty Officer First Class Cynthia Pritchett: beditme
[00:31:56]	[OOC] Petty Officer First Class Cynthia Pritchett: if not after
[00:31:58]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:31:58]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:32:01]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:32:02]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:32:02]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:32:02]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:32:03]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:32:04]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:32:11]	Petty Officer First Class Cynthia Pritchett used command '/c I hope you're not implying what I think you are, Krogour.'.
[00:32:11]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:32:13]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:32:21]	Petty Officer First Class Cynthia Pritchett used command '/c Sorry, Crogour, excuse my mispronunciation.'.
[00:32:23]	Flight Sub-Lieutenant Erik Crogour used command '/comm I don't know Petty Officer, am I.'.
[00:32:38]	[OOC] Flight Sub-Lieutenant Erik Crogour: *?
[00:32:41]	Petty Officer First Class Cynthia Pritchett used command '/c Don't be coy with me. You kicked a droid, and I'm displeased with you.'.
[00:32:50]	Petty Officer First Class Cynthia Pritchett used command '/c If you're gonna make that kind of accusation, be a man about it.'.
[00:32:50]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:32:54]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:32:55]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:32:56]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:32:56]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:32:56]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:32:58]	Petty Officer First Class Cynthia Pritchett entered observer.
[00:32:58]	Petty Officer First Class Cynthia Pritchett exited observer at their location.
[00:33:06]	Crewman Third Class Red Giddeon used command '/c it didnt hurt it, im sure it couldnt get any dumber than what it is'.
[00:33:23]	Petty Officer First Class Cynthia Pritchett used command '/c He still hit imperial property.'.
[00:33:36]	Crewman Third Class Red Giddeon used command '/c more like imperial scrap'.
[00:33:39]	[OOC] Petty Officer First Class Cynthia Pritchett: i know that i'm on the wrong side of the argument but this is my charater
[00:33:44]	[OOC] Petty Officer First Class Cynthia Pritchett: very pro droid and shit
[00:33:49]	Flight Sub-Lieutenant Erik Crogour used command '/comm Your droid attacked an Imperial pilot.'.
[00:33:54]	Petty Officer First Class Cynthia Pritchett used command '/c He zapped you once.'.
[00:34:06]	Flight Sub-Lieutenant Erik Crogour used command '/comm Still attacked me'.
[00:34:07]	Petty Officer First Class Cynthia Pritchett used command '/c It's not like he had the capability to hurt you.'.
[00:34:13]	Petty Officer First Class Cynthia Pritchett used command '/c He didn't attack you.'.
[00:34:16]	Crewman Third Class Red Giddeon used command '/c im sure it did hurt'.
[00:34:39]	Petty Officer First Class Cynthia Pritchett used command '/c If I give you one of those gag styluses, the kind that shock you when you click it, is that an attack?'.
[00:34:43]	Petty Officer First Class Cynthia Pritchett used command '/c No, it's just a little zap.'.
