[00:00:04]	[OOC] Sergeant PT-9823: crungle
[00:11:20]	Sergeant RT-9824 used the 'Armory' vendor.
[00:11:34]	Recruit TK-1248 used the 'Armory' vendor.
[00:11:36]	Recruit TK-1248 has gained 0 credits.
[00:11:36]	Recruit TK-1248 has gained a 'Comlink' #1392.
[00:11:40]	Recruit TK-1248 has gained 0 credits.
[00:11:40]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1393.
[00:11:41]	Recruit TK-1248 has gained 0 credits.
[00:11:41]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1394.
[00:11:41]	Recruit TK-1248 has gained 0 credits.
[00:11:41]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1395.
[00:11:42]	Recruit TK-1248 has gained 0 credits.
[00:11:42]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1396.
[00:11:49]	Recruit TK-1248 has gained 0 credits.
[00:11:49]	Recruit TK-1248 has gained a 'Flashlight' #1397.
[00:11:53]	TNK Private Humphry Stanton used command '/CharSetBodygroup humph helmet 0'.
[00:11:55]	Sergeant RT-9824 used the 'Armory' vendor.
[00:11:59]	Recruit TK-1248 has gained 0 credits.
[00:11:59]	Recruit TK-1248 has gained a 'E-11 Blaster' #1398.
[00:12:04]	TNK Private Humphry Stanton used command '/CharSetBodygroup humph hat 0'.
[00:12:04]	Recruit TK-1248 has gained 0 credits.
[00:12:04]	Recruit TK-1248 has gained a 'E-11 Blaster' #1399.
[00:12:05]	Recruit TK-1248 has gained 0 credits.
[00:12:05]	Recruit TK-1248 has gained a 'E-10 Blaster' #1400.
[00:12:08]	TNK Private Humphry Stanton used command '/CharSetBodygroup humph headgear 0'.
[00:12:12]	TNK Private Humphry Stanton used command '/CharSetBodygroup humph mask 0'.
[00:12:13]	Recruit TK-1248 ran 'Equip' on item 'E-10 Blaster' (#1400)
[00:12:20]	Recruit TK-1248 ran 'EquipUn' on item 'E-10 Blaster' (#1400)
[00:12:21]	Recruit TK-1248 ran 'Equip' on item 'E-11 Blaster' (#1398)
[00:12:27]	Recruit TK-1248 ran 'EquipUn' on item 'E-11 Blaster' (#1398)
[00:12:27]	TNK Private Humphry Stanton has spawned 'models/kriegsyntax/imperial/stormtroopers/tanktroopers/playermodel_male_01.mdl'.
[00:12:27]	Recruit TK-1248 ran 'Equip' on item 'E-11 Blaster' (#1399)
[00:12:36]	Recruit TK-1248 ran 'EquipUn' on item 'E-11 Blaster' (#1399)
[00:12:36]	Recruit TK-1248 ran 'Equip' on item 'E-11 Blaster' (#1398)
[00:12:43]	Recruit TK-1248 used the 'Armory' vendor.
[00:12:44]	Sergeant RT-9824 used the 'Armory' vendor.
[00:12:46]	Petty Officer Third Class Karissa Novar used command '/c I got a notification of someone new transferring on, since they don't have a medical record yet. Can you have them come to the sickbay as soon as possible?'.
[00:12:46]	TNK Private Humphry Stanton used command '/CharSetBodygroup humph Helmet - hat 4'.
[00:12:49]	Recruit TK-1248 used the 'Armory' vendor.
[00:12:51]	TNK Private Humphry Stanton has spawned 'models/kriegsyntax/imperial/stormtroopers/tanktroopers/officers/playermodel_male_01.mdl'.
[00:12:52]	Recruit TK-1248 has gained 0 credits.
[00:12:54]	Recruit TK-1248 has gained 0 credits.
[00:13:02]	Recruit TK-1248 ran 'Power' on item 'Comlink' (#1392)
[00:13:04]	TNK Private Humphry Stanton used command '/CharSetBodygroup humph Helmet - Hat 4'.
[00:13:06]	Sergeant RT-9824 used command '/c Copy, he'll be on his way in a moment.'.
[00:13:08]	TNK Private Humphry Stanton used command '/CharSetBodygroup humph Helmet 4'.
[00:13:12]	Sergeant RT-9824 used command '/c Just getting him his equipment.'.
[00:13:14]	Petty Officer Third Class Karissa Novar opened the '' #82 container.
[00:13:19]	Petty Officer Third Class Karissa Novar closed the '' #82 container.
[00:13:25]	Recruit TK-1248 used the 'Armory' vendor.
[00:13:27]	TNK Private Humphry Stanton used command '/CharSetBodygroup humphry Helmet 4'.
[00:13:28]	Recruit TK-1248 has gained 0 credits.
[00:13:28]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1399.
[00:13:29]	Recruit TK-1248 has gained 0 credits.
[00:13:29]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1400.
[00:13:29]	Recruit TK-1248 has gained 0 credits.
[00:13:29]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1401.
[00:13:30]	Recruit TK-1248 has gained 0 credits.
[00:13:30]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1402.
[00:13:30]	Recruit TK-1248 has gained 0 credits.
[00:13:30]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1403.
[00:13:31]	Recruit TK-1248 has gained 0 credits.
[00:13:31]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1404.
[00:13:31]	TNK Private Humphry Stanton used command '/CharSetBodygroup humphry Helmet - hat 4'.
[00:13:33]	TNK Private Humphry Stanton used command '/CharSetBodygroup humphry Helmet-hat 4'.
[00:13:35]	Recruit TK-1248 ran 'use' on item 'Tibanna Cartridge' (#1402)
[00:13:37]	Recruit TK-1248 used the 'Armory' vendor.
[00:13:40]	Sergeant RT-9824 used the 'Armory' vendor.
[00:13:42]	Sergeant RT-9824 has gained 0 credits.
[00:13:42]	Sergeant RT-9824 has gained a 'Tibanna Cartridge' #1405.
[00:13:42]	Sergeant RT-9824 has gained 0 credits.
[00:13:42]	Sergeant RT-9824 has gained a 'Tibanna Cartridge' #1406.
[00:13:43]	Sergeant RT-9824 has gained 0 credits.
[00:13:43]	Sergeant RT-9824 has gained a 'Tibanna Cartridge' #1407.
[00:13:43]	Sergeant RT-9824 has gained 0 credits.
[00:13:43]	Sergeant RT-9824 has gained a 'Tibanna Cartridge' #1408.
[00:13:44]	Recruit TK-1248 used the 'Armory' vendor.
[00:13:46]	Sergeant RT-9824 ran 'use' on item 'Tibanna Cartridge' (#1407)
[00:13:46]	TNK Private Humphry Stanton has spawned a 'NPC [980][npc_vjks_ttrooperf]'.
[00:13:46]	Sergeant RT-9824 ran 'use' on item 'Tibanna Cartridge' (#1408)
[00:13:46]	Recruit TK-1248 has gained 0 credits.
[00:13:46]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1407.
[00:13:47]	Sergeant RT-9824 ran 'use' on item 'Tibanna Cartridge' (#1406)
[00:13:47]	Sergeant RT-9824 ran 'use' on item 'Tibanna Cartridge' (#1405)
[00:13:47]	Recruit TK-1248 has gained 0 credits.
[00:13:47]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1408.
[00:13:48]	Recruit TK-1248 has gained 0 credits.
[00:13:48]	Recruit TK-1248 has gained a 'Tibanna Cartridge' #1409.
[00:13:57]	Recruit TK-1248 ran 'drop' on item 'E-11 Blaster' (#1398)
[00:13:57]	Recruit TK-1248 has lost a 'E-11 Blaster' #1398.
[00:14:08]	Recruit TK-1248 ran 'take' on item 'E-11 Blaster' (#1398)
[00:14:08]	Recruit TK-1248 has gained a 'E-11 Blaster' #1398.
[00:14:16]	Recruit TK-1248 ran 'Equip' on item 'E-11 Blaster' (#1398)
[00:14:19]	TNK Private Humphry Stanton entered observer.
[00:14:54]	TNK Private Humphry Stanton exited observer at their location.
[00:16:34]	[ME] Petty Officer Third Class Karissa Novar: closes over the curtains
[00:16:41]	TNK Private Humphry Stanton entered observer.
[00:16:45]	Petty Officer Third Class Karissa Novar opened the '' #82 container.
[00:16:49]	Petty Officer Third Class Karissa Novar has gained a 'Trooper plushie' #1252.
[00:16:50]	Petty Officer Third Class Karissa Novar closed the '' #82 container.
[00:17:10]	[ME] Petty Officer Third Class Karissa Novar: opens up the cabinet, taking out a butterfly needle and some tubes
[00:17:19]	Petty Officer Third Class Karissa Novar ran 'drop' on item 'Trooper plushie' (#1252)
[00:17:19]	Petty Officer Third Class Karissa Novar has lost a 'Trooper plushie' #1252.
[00:17:38]	[ME] Recruit TK-1248: take the plushie from the officer a bit confused
[00:17:41]	TNK Private Humphry Stanton exited observer at their location.
[00:17:41]	Recruit TK-1248 ran 'take' on item 'Trooper plushie' (#1252)
[00:17:41]	Recruit TK-1248 has gained a 'Trooper plushie' #1252.
[00:18:05]	[ME] Recruit TK-1248: holsters the plushie in the utility belt before taking off a armor plate from her right arm
[00:18:23]	[LOOC] TNK Private Humphry Stanton: dat was a missclick nerd
[00:18:33]	[ME] Recruit TK-1248: looks at the Tank Trooper inspecting his armor
[00:19:02]	[LOOC] TNK Private Humphry Stanton: cause you told me to ooc
[00:19:04]	[ME] Sergeant RT-9824: Chuckles
[00:19:10]	[LOOC] TNK Private Humphry Stanton: so i'm voiding it
[00:19:10]	[LOOC] Petty Officer Third Class Karissa Novar: FAIR ENOUGH
[00:19:21]	[LOOC] Petty Officer Third Class Karissa Novar: I DIDNT SAY DONT SAY YOU CANT READ
[00:19:30]	[LOOC] Petty Officer Third Class Karissa Novar: caps
[00:19:39]	[LOOC] TNK Private Humphry Stanton: I'M SAYING VOID IT OR ELSE
[00:19:45]	[LOOC] TNK Private Humphry Stanton: I WILL EAT YOU
[00:19:48]	[OOC] Petty Officer Third Class Karissa Novar: VORE
[00:20:09]	[ME] Recruit TK-1248: looks down waiting patiently
[00:20:20]	[ME] Recruit TK-1248: spots the officer walk by, giving her right arm
[00:20:32]	[ME] Petty Officer Third Class Karissa Novar: puts the butterfly needle into the troopers arm, we don't have the budget for the rubber bands
[00:21:53]	[IT] TNK Private Humphry Stanton: You miss the vein just barely
[00:22:10]	[ME] Petty Officer Third Class Karissa Novar: takes the needle out, retrying
[00:22:22]	[LOOC] Recruit TK-1248: extacly -> exactly
[00:22:29]	[IT] TNK Private Humphry Stanton: Congrats
[00:22:51]	TNK Private Humphry Stanton used command '/CharSetName recruit Private TK-1248'.
[00:23:16]	[LOOC] Private TK-1248: s
[00:23:17]	[ME] Petty Officer Third Class Karissa Novar: pulls the needle out from the troopers arm
[00:23:33]	[LOOC] Sergeant RT-9824: gruaegneruoignar
[00:23:42]	Private TK-1248 used command '/PM TNK Private TK-1248 Jenny'.
[00:23:53]	Private TK-1248 used command '/PM TNK 'Jenny''.
[00:24:05]	TNK Private Humphry Stanton used command '/CharSetName sergeant Sergeant RT-9824 Warkbull'.
[00:24:22]	TNK Private Humphry Stanton used command '/CharSetName sergeant Sergeant RT-9824 ''Warkbull'''.
[00:24:39]	TNK Private Humphry Stanton used command '/CharSetName sergeant Sergeant RT-9824 ''Wark''.
[00:24:45]	TNK Private Humphry Stanton used command '/CharSetName sergeant Sergeant RT-9824 ''Wark'''.
[00:24:57]	TNK Private Humphry Stanton used command '/CharSetName sergeant Sergeant RT-9824 ''Warkwark'''.
[00:25:03]	[LOOC] Sergeant RT-9824 ''Warkwark'': BULLWARK
[00:25:04]	[ME] Private TK-1248: puts her armor plate back on
[00:25:08]	TNK Private Humphry Stanton used command '/CharSetName sergeant Sergeant RT-9824 ''GALUNGA'''.
[00:25:17]	TNK Private Humphry Stanton used command '/CharSetName sergeant Sergeant RT-9824 ''Bulwark'''.
[00:25:18]	[LOOC] Sergeant RT-9824 ''Bulwark'': Bulwark
[00:25:47]	TNK Private Humphry Stanton entered observer.
[00:26:11]	TNK Private Humphry Stanton exited observer at their location.
[00:26:11]	TNK Private Humphry Stanton entered observer.
[00:26:12]	TNK Private Humphry Stanton exited observer at their location.
[00:26:46]	TNK Private Humphry Stanton ran 'Equip' on item 'SE-14C Blaster' (#274)
[00:26:48]	TNK Private Humphry Stanton ran 'EquipUn' on item 'E-10 Blaster' (#565)
[00:26:49]	TNK Private Humphry Stanton ran 'Equip' on item 'SE-14C Blaster' (#274)
[00:26:50]	TNK Private Humphry Stanton ran 'Equip' on item 'E-10 Blaster' (#565)
[00:26:51]	TNK Private Humphry Stanton ran 'EquipUn' on item 'E-10 Blaster' (#565)
[00:26:51]	TNK Private Humphry Stanton ran 'Equip' on item 'SE-14C Blaster' (#274)
[00:26:52]	TNK Private Humphry Stanton ran 'Equip' on item 'SE-14C Blaster' (#274)
[00:26:54]	TNK Private Humphry Stanton ran 'Equip' on item 'SE-14C Blaster' (#274)
[00:26:54]	TNK Private Humphry Stanton ran 'Equip' on item 'SE-14C Blaster' (#274)
[00:26:55]	TNK Private Humphry Stanton ran 'Equip' on item 'SE-14C Blaster' (#274)
[00:26:57]	TNK Private Humphry Stanton entered observer.
[00:26:57]	TNK Private Humphry Stanton exited observer at their location.
[00:27:20]	[LOOC] Private TK-1248: no doll*
[00:27:32]	Petty Officer Third Class Karissa Novar rolled 27 out of 100.
[00:27:32]	Petty Officer Third Class Karissa Novar used command '/Roll'.
[00:27:33]	Private TK-1248 rolled 76 out of 100.
[00:27:33]	Private TK-1248 used command '/Roll stm'.
[00:27:36]	TNK Private Humphry Stanton entered observer.
[00:27:39]	TNK Private Humphry Stanton exited observer at their location.
[00:27:40]	[ME] Private TK-1248: chuckles
[00:28:14]	[ME] Private TK-1248: stand, checking her equipment one more time
[00:28:25]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:27]	Sergeant RT-9824 ''Bulwark'' used command '/c Gonna go to the Sparring Ring, anybody want to train?'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:35]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[00:28:50]	Petty Officer Third Class Karissa Novar opened the '' #161 container.
[00:28:50]	Petty Officer Third Class Karissa Novar closed the '' #161 container.
[00:28:51]	Petty Officer Third Class Karissa Novar opened the '' #82 container.
[00:28:57]	Petty Officer Third Class Karissa Novar closed the '' #82 container.
[00:29:13]	[ME] Private TK-1248: spots the Tank Trooper leaving, approaching him and trying to speak to him
[00:29:29]	DRD loaded the character 'R4-K5'
[00:29:52]	Private TK-1248 ran 'drop' on item 'Trooper plushie' (#1252)
[00:29:52]	Private TK-1248 has lost a 'Trooper plushie' #1252.
[00:30:05]	[ME] Private TK-1248: shows him a storm trooper blushie 
[00:30:17]	Private TK-1248 ran 'take' on item 'Trooper plushie' (#1252)
[00:30:17]	Private TK-1248 has gained a 'Trooper plushie' #1252.
[00:30:41]	R4-K5 used command '/dr Hello.'.
[00:30:52]	TNK Private Humphry Stanton entered observer.
[00:32:06]	DRD loaded the character 'Private First Class HA-1617'
[00:32:17]	TNK Private Humphry Stanton exited observer at their location.
[00:32:30]	TNK Private Humphry Stanton used command '/CharSetModel private models/player/ven/tk_updatedjump_01/tk_jumptrooper_new.mdl'.
[00:32:33]	DRD loaded the character 'Crewman Second Class Crell Moset'
[00:32:46]	TNK Private Humphry Stanton used command '/CharSetModel private models/kriegsyntax/imperial/stormtroopers/tanktroopers/playermodel_male_01.mdl'.
[00:33:04]	DRD loaded the character 'R4-K5'
[00:33:06]	TNK Private Humphry Stanton used command '/CharSetModel 1248 models/player/ven/tk_updatedjump_01/tk_jumptrooper_new.mdl'.
[00:33:29]	TNK Private Humphry Stanton used command '/CharSetName 1248 Private HA-1248'.
[00:33:47]	TNK Private Humphry Stanton used command '/CharSetModel humphry models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_01.mdl'.
[00:33:50]	DRD loaded the character 'Private First Class HA-1617'
[00:34:13]	TNK Private Humphry Stanton used command '/CharSetModel humphry models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_02.mdl'.
[00:34:20]	TNK Private Humphry Stanton entered observer.
[00:34:26]	TNK Private Humphry Stanton exited observer at their location.
[00:34:31]	TNK Private Humphry Stanton has spawned 'models/player/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_01.mdl'.
[00:34:37]	TNK Private Humphry Stanton has spawned 'models/kriegsyntax/imperial/stormtroopers/tanktroopers/npc_male_01.mdl'.
[00:34:40]	TNK Private Humphry Stanton has spawned 'models/kriegsyntax/imperial/stormtroopers/tanktroopers/officers/npc_male_01.mdl'.
[00:34:42]	TNK Private Humphry Stanton has spawned 'models/kriegsyntax/imperial/stormtroopers/tanktroopers/officers/playermodel_male_01.mdl'.
[00:34:50]	TNK Private Humphry Stanton used command '/CharSetModel humph models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_01.mdl'.
[00:34:51]	TNK Private Humphry Stanton entered observer.
[00:34:57]	TNK Private Humphry Stanton exited observer at their location.
[00:35:14]	TNK Private Humphry Stanton used command '/PlyWhitelist 1248 droid'.
[00:35:30]	Private First Class HA-1617 ran 'drop' on item 'Jetpack' (#760)
[00:35:30]	Private First Class HA-1617 has lost a 'Jetpack' #760.
[00:35:33]	Private First Class HA-1617 ran 'take' on item 'Jetpack' (#760)
[00:35:33]	Private First Class HA-1617 has gained a 'Jetpack' #760.
[00:35:47]	Private First Class HA-1617 ran 'Equip' on item 'Jetpack' (#760)
[00:35:49]	Private First Class HA-1617 ran 'drop' on item 'Jetpack' (#760)
[00:35:49]	Private First Class HA-1617 has lost a 'Jetpack' #760.
[00:35:53]	Private First Class HA-1617 ran 'take' on item 'Jetpack' (#760)
[00:35:53]	Private First Class HA-1617 has gained a 'Jetpack' #760.
[00:36:01]	TNK Private Humphry Stanton used command '/CharSetName 1248 Private HA-1248 ''Jenny'''.
[00:36:05]	TNK Private Humphry Stanton entered observer.
[00:36:07]	TNK Private Humphry Stanton exited observer at their location.
[00:36:08]	TNK Private Humphry Stanton entered observer.
[00:36:08]	TNK Private Humphry Stanton exited observer at their location.
[00:36:09]	TNK Private Humphry Stanton entered observer.
[00:36:11]	TNK Private Humphry Stanton exited observer at their location.
[00:36:19]	Private First Class HA-1617 has taken 1 damage from door35.
[00:36:23]	TNK Private Humphry Stanton used command '/CharSetSkin humph 1'.
[00:36:23]	Private First Class HA-1617 has taken 1 damage from door35.
[00:36:24]	TNK Private Humphry Stanton used command '/CharSetSkin humph 2'.
[00:36:27]	Private First Class HA-1617 has taken 1 damage from door35.
[00:36:28]	TNK Private Humphry Stanton used command '/CharSetSkin humph 3'.
[00:36:32]	Private First Class HA-1617 has taken 1 damage from door35.
[00:36:48]	Private HA-1248 ''Jenny'' used command '/CharDesc'.
[00:37:01]	TNK Private Humphry Stanton has spawned 'models/kriegsyntax/imperial/stormtroopers/tanktroopers/npc_male_01.mdl'.
[00:37:11]	TNK Private Humphry Stanton used command '/CharSetModel humph models/kriegsyntax/imperial/stormtroopers/tanktroopers/npc_male_01.mdl'.
[00:37:22]	Private HA-1248 ''Jenny'' used command '/CharDesc'.
[00:37:25]	Private HA-1248 ''Jenny'' used command '/CharDesc 6’1 // Black Hair // Hazel Eyes // Slight Coreillian Accent // Feminiene Figure // Their most distinctive feature of the figure is the little red hinge on the hip’s armor plate, it would be 3cm in height and 1cm in width  at the bottom of the plate indicating some past history, the trooper would also be mostly slim and a feminine shape as well as wearing a newly produced skytrooper stormtrooper helmet, under it is just black suit, the armor would rather be cleaned (unless in battle, the armor would have slight/mostly dirt on it)'.
[00:37:43]	[OOC] Private HA-1248 ''Jenny'': C
[00:37:52]	[OOC] Private First Class HA-1617: gbl ujrtfgeqlghikuugfrewpohiugedfpoiuhweg;opil/qrh
[00:37:53]	[OOC] Sergeant RT-9824 ''Bulwark'': Imagine 
[00:38:09]	TNK Private Humphry Stanton used command '/CharAddAttribute Class strength 5'.
[00:38:19]	TNK Private Humphry Stanton used command '/CharAddAttribute Class constit 3'.
[00:38:30]	TNK Private Humphry Stanton used command '/CharAddAttribute Class agility 2'.
[00:38:52]	TNK Private Humphry Stanton used command '/CharSetModel humph models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_01.mdl'.
[00:39:03]	TNK Private Humphry Stanton has spawned 'models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_02.mdl'.
[00:39:06]	TNK Private Humphry Stanton has spawned 'models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_03.mdl'.
[00:39:12]	TNK Private Humphry Stanton has spawned 'models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_04.mdl'.
[00:39:19]	TNK Private Humphry Stanton used command '/CharSetModel humph models/npc/markus/swbf2/characters/imperial/imperial_tanktrooper/imperial_tanktrooper_04.mdl'.
[00:39:27]	DRD loaded the character 'R4-K5'
[00:39:38]	[ME] Private HA-1248 ''Jenny'': sits down
[00:39:49]	[Y] TNK Private Humphry Stanton: Army!!!!
[00:39:54]	[ME] Private HA-1248 ''Jenny'': places the plushie on the table
[00:39:57]	TNK Private Humphry Stanton entered observer.
[00:39:57]	Private HA-1248 ''Jenny'' ran 'drop' on item 'Trooper plushie' (#1252)
[00:39:57]	Private HA-1248 ''Jenny'' has lost a 'Trooper plushie' #1252.
[00:40:27]	[ME] Private HA-1248 ''Jenny'': inspects the plushie while humming the imperial theme
[00:41:33]	[ME] Private HA-1248 ''Jenny'': turns around around answering to the officer 'Its a moral boost sir'
[00:42:03]	R4-K5 ran 'take' on item 'Trooper plushie' (#1252)
