[14:10:37]	Nums has connected.
[23:08:58]	[OOC] CCA.C17-GRID.i3.10945: i don't know if i gave trialmods the ability to use it
[23:09:02]	[OOC] CCA.C17-GRID.i3.10945: but you might be using the admin spawn menu
[23:09:07]	[OOC] CCA.C17-GRID.i3.10945: the command for that is /adminspawnmenu
[23:09:18]	[OOC] CCA.C17-GRID.i3.10945: i'd prefer you try to avoid spawning items whenever possible but sometimes you need to and that's fine
[23:09:20]	[OOC] Alex Palovichov: Nope, doesn't work
[23:09:29]	[OOC] CCA.C17-GRID.i3.10945: alright i'll need to grant you permission for that
[23:09:43]	[OOC] CCA.C17-GRID.i3.10945: but when you're using it, it's organized by categories
[23:09:46]	[OOC] Alex Palovichov: So, would I only spawn items in like a GM situation?
[23:09:50]	[OOC] CCA.C17-GRID.i3.10945: exactly
[23:10:01]	[OOC] Alex Palovichov: Yeah, makes sense
[23:10:08]	[OOC] CCA.C17-GRID.i3.10945: i like to hide loot around usually but i'd prefer if you clear loot spawning with us while you're in trialmod
[23:10:30]	[OOC] CCA.C17-GRID.i3.10945: until we know you've got your amounts and jhudgement down
[23:10:30]	[OOC] Alex Palovichov: Alright
[23:10:37]	[OOC] Alex Palovichov: Yeah, makes sense
[23:10:53]	[OOC] CCA.C17-GRID.i3.10945: i trust you personally but some of it is just making sure we're on the same wavelength
[23:11:05]	[OOC] Alex Palovichov: And by clear loot spawning, does tha tmean...go around the map and "BZZZZZ" all the loose items?
[23:11:21]	[OOC] CCA.C17-GRID.i3.10945: yeah, we use...
[23:11:31]	[OOC] CCA.C17-GRID.i3.10945: so go into your weapons in your spawn menu, go into the HL2 RP category
[23:11:47]	CCA.C17-GRID.i3.10945 used command '/CharSetThirst grid 100'.
[23:11:55]	[OOC] CCA.C17-GRID.i3.10945: it's something called "plasma immolator"
[23:11:55]	[OOC] Alex Palovichov: The handcannon?
[23:11:59]	[OOC] Alex Palovichov: Oh
[23:12:04]	[OOC] CCA.C17-GRID.i3.10945: it's not something we normally give
[23:12:07]	[OOC] CCA.C17-GRID.i3.10945: i set it up on the fly
[23:12:17]	[OOC] CCA.C17-GRID.i3.10945: but it's a rework and reskin of the gluon gun 
[23:12:21]	[OOC] CCA.C17-GRID.i3.10945: it doesn't run out of ammo
[23:12:30]	[OOC] CCA.C17-GRID.i3.10945: you just BRRRRR on loose trash and as long as you get a direct hit
[23:12:32]	[OOC] Alex Palovichov: Ah alr
[23:12:36]	[OOC] CCA.C17-GRID.i3.10945: then it'll destroy the item
[23:12:40]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[23:12:42]	[OOC] Alex Palovichov: Wait in Hl2rp catagory?
[23:12:50]	[OOC] CCA.C17-GRID.i3.10945: oh sorry it's not in that category
[23:12:54]	[OOC] Alex Palovichov: Ah
[23:13:01]	[OOC] Alex Palovichov: Beta Swep?
[23:13:07]	[OOC] CCA.C17-GRID.i3.10945: it's in the "SLVbase - half-life renaissance sweps" category
[23:13:12]	[OOC] CCA.C17-GRID.i3.10945: plasma immolator
[23:13:15]	[OOC] Alex Palovichov: Ah I see it
[23:13:18]	[OOC] CCA.C17-GRID.i3.10945: kinda yeah
[23:13:25]	[OOC] CCA.C17-GRID.i3.10945: i assembled it in a hurry
[23:13:34]	[OOC] CCA.C17-GRID.i3.10945: we don't give it to players normally unless it's pain wanting to clear out trash
[23:13:43]	[OOC] CCA.C17-GRID.i3.10945: but i would prefer if you cleared out trash when not much is going on
[23:13:50]	[OOC] CCA.C17-GRID.i3.10945: just try to be mindful of what looks like a player stash and what doesn't
[23:13:50]	[OOC] Alex Palovichov: Yeah alr
[23:13:54]	[OOC] CCA.C17-GRID.i3.10945: idk if item ESP is default
[23:14:04]	[OOC] CCA.C17-GRID.i3.10945: first off is your admin ESP on by defualt
[23:14:08]	[OOC] CCA.C17-GRID.i3.10945: can you see my name
[23:14:11]	[OOC] Alex Palovichov: Yeah
[23:14:13]	[OOC] CCA.C17-GRID.i3.10945: awesome
[23:14:16]	[OOC] CCA.C17-GRID.i3.10945: is it telling you where items are?
[23:14:28]	[OOC] Alex Palovichov: Uhh, I don't see any currently...might have to turn it off and on
[23:14:40]	[OOC] CCA.C17-GRID.i3.10945: no, you go to your helix settings and turn on optItemESP
[23:14:45]	[OOC] Alex Palovichov: Yeah ik
[23:14:47]	[OOC] CCA.C17-GRID.i3.10945: i don't keep that oin at all times
[23:14:48]	[OOC] Alex Palovichov: It is on
[23:14:49]	[OOC] CCA.C17-GRID.i3.10945: gotcha gotcha
[23:14:55]	[OOC] Alex Palovichov: Still doesn't show tho...
[23:15:01]	Alex Palovichov exited observer at their location.
[23:15:01]	Alex Palovichov entered observer.
[23:15:01]	[OOC] CCA.C17-GRID.i3.10945: it might be because of your rank?
[23:15:06]	[OOC] Alex Palovichov: Maybe
[23:15:11]	[OOC] CCA.C17-GRID.i3.10945: what about now
[23:15:12]	[OOC] Alex Palovichov: OHH
[23:15:14]	[OOC] Alex Palovichov: YEAH
[23:15:14]	[OOC] CCA.C17-GRID.i3.10945: eah
[23:15:25]	[OOC] CCA.C17-GRID.i3.10945: i'll have to fix that in the rank stuff
[23:15:32]	[OOC] CCA.C17-GRID.i3.10945: idon't keep it on all the time
[23:15:42]	[OOC] CCA.C17-GRID.i3.10945: let's see, what else
[23:15:44]	[OOC] CCA.C17-GRID.i3.10945: do you have any questions for me
[23:15:49]	The Free Mann has connected.
[23:16:05]	[OOC] Alex Palovichov: Yeah...When someone makes a @ where would it show? Like in chat?
[23:16:32]	[OOC] Alex Palovichov: Cause last time I modded was on...Axions HL2RP...and a DarkRP...But I hate talking bout that one
[23:16:42]	[OOC] CCA.C17-GRID.i3.10945: oh yes! it shows in chat
[23:16:46]	[OOC] Alex Palovichov: Ah alrighty
[23:16:52]	[OOC] Alex Palovichov: Coolio
[23:17:03]	[OOC] Alex Palovichov: And when I need to TP, I use ULX...and their name? Or Steam ID?
[23:17:08]	[OOC] CCA.C17-GRID.i3.10945: ttheir name
[23:17:11]	[OOC] Alex Palovichov: Ah okay
[23:17:17]	[OOC] CCA.C17-GRID.i3.10945: in console it's "ulx tp [name]"
[23:17:40]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[23:17:56]	[OOC] Alex Palovichov: Could I quickly try it out?
[23:18:10]	[OOC] CCA.C17-GRID.i3.10945: for sure
[23:18:14]	[OOC] CCA.C17-GRID.i3.10945: try out anything
[23:18:35]	[OOC] Alex Palovichov: So Ulx tp... name
[23:18:44]	[OOC] Alex Palovichov: Is it "teleport" or "tp"
[23:18:57]	[OOC] Alex Palovichov: Cause I see teleport...not tp
[23:19:08]	[OOC] CCA.C17-GRID.i3.10945: sorry, my bad it is teleport
[23:19:15]	[OOC] Alex Palovichov: Ah oki
[23:19:15]	[OOC] CCA.C17-GRID.i3.10945: i'm used to using muscle memory in all honesty
[23:19:21]	[OOC] Alex Palovichov: I think I got it
[23:19:42]	[OOC] CCA.C17-GRID.i3.10945: uhh so let's see, basic IC information
[23:19:46]	[OOC] CCA.C17-GRID.i3.10945: the current year is 2006, the war was in 2003
[23:19:57]	[OOC] CCA.C17-GRID.i3.10945: we have the suppression feld
[23:20:04]	[OOC] Alex Palovichov: Of course...
[23:20:05]	Oliver Jones has gained a 'Cyclopic Citizen Suit' #30748.
[23:20:05]	Oliver Jones has gained a 'Citizen Filter' #30749.
[23:20:05]	The Free Mann created the character 'Oliver Jones'
[23:20:05]	Oliver Jones has gained a 'Suitcase' #30750.
[23:20:05]	Oliver Jones has gained a 'Relocation Coupon' #30751.
[23:20:05]	The Free Mann loaded the character 'Oliver Jones'
[23:20:06]	[OOC] CCA.C17-GRID.i3.10945: children were not killed, though, they were taken to work camps
[23:20:10]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:11]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:12]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:13]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:14]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:15]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:15]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:16]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:17]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:18]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:18]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:19]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:20]	Oliver Jones has taken 1 damage from worldspawn.
[23:20:30]	[OOC] CCA.C17-GRID.i3.10945: the IC propaganda version of the story is they were taken to living facilities that were safe for children
[23:20:30]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[23:20:32]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[23:20:36]	[OOC] CCA.C17-GRID.i3.10945: welcome, oliver!
[23:20:40]	[OOC] Oliver Jones: Hello
[23:20:43]	[OOC] Alex Palovichov: Welcome!
[23:20:44]	[OOC] CCA.C17-GRID.i3.10945: i'll be right over to process you
[23:20:45]	CCA.C17-GRID.i3.10945 exited observer at their location.
[23:20:52]	[OOC] CCA.C17-GRID.i3.10945: huh, the trialmod icon isn't shovving up
[23:20:55]	[OOC] CCA.C17-GRID.i3.10945: i'll look into that
[23:20:56]	[OOC] Oliver Jones: Please refill my hp the damn gas removed some of it.
[23:20:58]	[OOC] Alex Palovichov: It was...
[23:21:01]	Alex Palovichov exited observer at their location.
[23:21:48]	[ME] Oliver Jones: takes out his transfer card from his pocket, "Here is my card, officer."
[23:21:57]	Oliver Jones ran 'drop' on item 'Relocation Coupon' (#30751)
[23:21:57]	Oliver Jones has lost a 'Relocation Coupon' #30751.
[23:22:00]	[OOC] Alex Palovichov: Ah I see, console makes everything easier...
[23:22:21]	[ME] CCA.C17-GRID.i3.10945: takes the coupon and looks it over in the light, checking to make sure it's not counterfeit.
[23:22:24]	CCA.C17-GRID.i3.10945 ran 'take' on item 'Relocation Coupon' (#30751)
[23:22:24]	CCA.C17-GRID.i3.10945 has gained a 'Relocation Coupon' #30751.
[23:22:33]	Alex Palovichov entered observer.
[23:22:37]	[ME] CCA.C17-GRID.i3.10945: inserts the coupon into the machine on the wall.
[23:22:40]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[23:22:48]	CCA.C17-GRID.i3.10945 used command '/CharGiveFlag alex ncrC'.
[23:22:52]	CCA.C17-GRID.i3.10945 opened the 'File Cabinet' #2585 container.
[23:22:55]	CCA.C17-GRID.i3.10945 closed the 'File Cabinet' #2585 container.
[23:22:55]	CCA.C17-GRID.i3.10945 opened the 'File Cabinet' #2584 container.
[23:22:58]	CCA.C17-GRID.i3.10945 closed the 'File Cabinet' #2584 container.
[23:23:01]	CCA.C17-GRID.i3.10945 ran 'take' on item 'Citizen ID' (#30752)
[23:23:01]	CCA.C17-GRID.i3.10945 has gained a 'Citizen ID' #30752.
[23:23:12]	[OOC] Oliver Jones: How do I get guns?
[23:23:41]	Oliver Jones ran 'Equip' on item 'Cyclopic Citizen Suit' (#30748)
[23:23:44]	[OOC] CCA.C17-GRID.i3.10945: steal them from a CP or get attention from a black market dealer and they'll be willing to deal with you
[23:23:45]	Oliver Jones ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#30748)
[23:23:50]	[ME] CCA.C17-GRID.i3.10945: takes out his PDA as he speaks.
[23:23:54]	[OOC] Alex Palovichov: Mmmm...BMD...
[23:24:00]	[LOOC] CCA.C17-GRID.i3.10945: current year is 2006, war was in 2003
[23:24:05]	[LOOC] CCA.C17-GRID.i3.10945: so the minimum year to be born is 1985
[23:25:05]	CCA.C17-GRID.i3.10945 used command '/ViewData oliver'.
[23:25:34]	CCA.C17-GRID.i3.10945 used command '/ViewData oliver'.
[23:26:23]	CCA.C17-GRID.i3.10945 used command '/ViewData oliver'.
[23:27:40]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[23:27:41]	CCA.C17-GRID.i3.10945 used command '/ViewData oliver'.
[23:28:08]	Oliver Jones ran 'Equip' on item 'Cyclopic Citizen Suit' (#30748)
[23:28:10]	Oliver Jones ran 'equip' on item 'Citizen Filter' (#30749)
[23:28:12]	Oliver Jones ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#30748)
[23:28:35]	Alex Palovichov exited observer at their location.
[23:28:45]	Alex Palovichov ran 'View' on item 'Paper' (#28726)
[23:29:11]	Alex Palovichov entered observer.
[23:29:11]	[LOOC] CCA.C17-GRID.i3.10945: you know whetehr or not if it's one for sure by directly looking at it
[23:29:16]	[LOOC] CCA.C17-GRID.i3.10945: they have tooltips if they're functioning
[23:29:38]	[ME] CCA.C17-GRID.i3.10945: holds out the man's CID for him to take.
[23:29:42]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Citizen ID' (#30752)
[23:29:42]	CCA.C17-GRID.i3.10945 has lost a 'Citizen ID' #30752.
[23:30:06]	Oliver Jones ran 'take' on item 'Citizen ID' (#30752)
[23:30:06]	Oliver Jones has gained a 'Citizen ID' #30752.
[23:30:07]	[LOOC] CCA.C17-GRID.i3.10945: If you have any questions feel free to send either myself or Alex a message. I'm the owner and Alex is our new trialmod in training.
[23:30:19]	[LOOC] CCA.C17-GRID.i3.10945: you cna join the discord with /discord if you like, and you can get the content with /content
[23:30:25]	Oliver Jones used command '/Discord'.
[23:30:26]	[ME] CCA.C17-GRID.i3.10945: steps out of the way for the citizen to go through the forcefield.
[23:30:38]	Alex Palovichov exited observer at their location.
[23:30:40]	Alex Palovichov entered observer.
[23:30:41]	Alex Palovichov exited observer at their location.
[23:30:42]	Oliver Jones ran 'Equip' on item 'Cyclopic Citizen Suit' (#30748)
[23:31:16]	Oliver Jones opened the 'File Cabinet' #2819 container.
[23:31:17]	Oliver Jones closed the 'File Cabinet' #2819 container.
[23:31:19]	Oliver Jones opened the 'File Cabinet' #2819 container.
[23:31:19]	Oliver Jones closed the 'File Cabinet' #2819 container.
[23:31:20]	Oliver Jones opened the 'File Cabinet' #2819 container.
[23:31:20]	Oliver Jones closed the 'File Cabinet' #2819 container.
[23:31:23]	Oliver Jones opened the 'File Cabinet' #2819 container.
[23:31:23]	Oliver Jones closed the 'File Cabinet' #2819 container.
[23:31:26]	Oliver Jones opened the 'File Cabinet' #2819 container.
[23:31:29]	Oliver Jones closed the 'File Cabinet' #2819 container.
[23:31:57]	Alex Palovichov entered observer.
[23:32:01]	CCA.C17-GRID.i3.10945 entered observer.
[23:32:25]	Oliver Jones ran 'View' on item 'Paper' (#26647)
[23:32:40]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[23:32:49]	Oliver Jones has gained a 'Empty Paint Can' #30753.
[23:32:55]	Oliver Jones has gained a 'Scrap Electronics' #30754.
[23:33:05]	Oliver Jones opened the 'Trash Bin' #2551 container.
[23:33:06]	Oliver Jones closed the 'Trash Bin' #2551 container.
[23:33:44]	Oliver Jones used the 'Shopkeeper Jim' vendor.
[23:33:46]	Oliver Jones has lost 2 tokens.
[23:33:46]	Oliver Jones has gained a 'Citizen Filter' #30755.
[23:33:47]	Oliver Jones has lost 10 tokens.
[23:33:47]	Oliver Jones has gained a 'Flashlight' #30756.
[23:34:15]	Oliver Jones has lost 12 tokens.
[23:34:15]	Oliver Jones has gained a 'Gloves' #30757.
[23:34:24]	Oliver Jones ran 'Equip' on item 'Gloves' (#30757)
[23:34:26]	Oliver Jones ran 'EquipUn' on item 'Gloves' (#30757)
[23:36:56]	Oliver Jones has gained a 'Empty Glass Bottle' #30758.
[23:37:20]	Oliver Jones ran 'Equip' on item 'Empty Glass Bottle' (#30758)
[23:37:31]	Oliver Jones ran 'EquipUn' on item 'Empty Glass Bottle' (#30758)
[23:37:33]	Oliver Jones ran 'Equip' on item 'Empty Glass Bottle' (#30758)
[23:37:37]	Oliver Jones ran 'EquipUn' on item 'Empty Glass Bottle' (#30758)
[23:37:38]	Oliver Jones ran 'Equip' on item 'Empty Glass Bottle' (#30758)
[23:37:40]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[23:37:44]	Oliver Jones ran 'EquipUn' on item 'Empty Glass Bottle' (#30758)
[23:37:53]	Oliver Jones opened the 'Dumpster' #2736 container.
[23:37:54]	Oliver Jones closed the 'Dumpster' #2736 container.
[23:38:10]	Oliver Jones ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#30748)
[23:38:51]	Oliver Jones ran 'Equip' on item 'Cyclopic Citizen Suit' (#30748)
[23:39:31]	Oliver Jones used command '/Content'.
[23:39:49]	Oliver Jones has gained a 'Capacitors' #30759.
[23:40:13]	Bean loaded the character 'James McKay'
[23:40:14]	Oliver Jones has gained a 'Pack of Nails' #30760.
[23:40:38]	[Y] James McKay: Why hello my friend!
[23:40:38]	[Y] Oliver Jones: Hello.
[23:40:51]	[ME] James McKay: Would slide down the ladder
[23:41:27]	[ME] James McKay: Chuckles
[23:41:46]	[LOOC] Oliver Jones: lemme install 
[23:41:50]	[LOOC] Oliver Jones: lemme install content
[23:41:56]	[LOOC] James McKay: Oh of course
[23:42:01]	[LOOC] James McKay: /content
[23:42:03]	[LOOC] Oliver Jones: I will reconnect
[23:42:08]	[LOOC] James McKay: Alrighty!
[23:42:12]	The Free Mann (STEAM_0:0:197396133) has disconnected.
[23:42:17]	[OOC] James McKay: rejoining
[23:42:20]	[OOC] CCA.C17-GRID.i3.10945: heard
[23:42:20]	[OOC] James McKay: Content
[23:42:23]	[OOC] James McKay: Oki dokie
[23:42:40]	[OOC] CCA.C17-GRID.i3.10945: what else...
[23:42:40]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[23:43:39]	The Free Mann has connected.
[23:43:59]	The Free Mann loaded the character 'Oliver Jones'
[23:44:10]	[LOOC] Oliver Jones: back
[23:44:33]	[ME] Oliver Jones: takes a sit on one of the wooden chairs
[23:47:28]	[ME] James McKay: Chuckles "You could've said so when I asked!"
[23:47:40]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[23:47:56]	[ME] James McKay: Would reach into a bag, taking out a can of sardines and a can of water, sliding it over to him.
