[00:10:52]	_--Ashley--_ has connected.
[00:13:59]	Ashley Adams has gained a 'Pan' #26611.
[00:14:02]	Ashley Adams ran 'Equip' on item 'Pan' (#26611)
[00:15:01]	Ashley Adams has taken 5 damage from npc_headcrab.
[00:15:02]	Ashley Adams has taken 5 damage from npc_headcrab.
[00:15:08]	Ashley Adams has gained a 'Rubber Tire' #27057.
[00:15:12]	Ashley Adams ran 'drop' on item 'Pan' (#26611)
[00:15:12]	Ashley Adams has lost a 'Pan' #26611.
[00:15:15]	Ashley Adams ran 'drop' on item 'Rubber Tire' (#27057)
[00:15:15]	Ashley Adams has lost a 'Rubber Tire' #27057.
[00:15:17]	Ashley Adams ran 'take' on item 'Empty Glass Bottle' (#26761)
[00:15:17]	Ashley Adams has gained a 'Empty Glass Bottle' #26761.
[00:15:18]	Ashley Adams ran 'Equip' on item 'Empty Glass Bottle' (#26761)
[00:15:41]	Ashley Adams has gained a 'Broken Computer Monitor' #27058.
[00:15:47]	Ashley Adams ran 'drop' on item 'Broken Computer Monitor' (#27058)
[00:15:47]	Ashley Adams has lost a 'Broken Computer Monitor' #27058.
[00:15:54]	Ashley Adams has gained a 'Empty Chinese Takeout' #27059.
[00:15:57]	Ashley Adams ran 'drop' on item 'Empty Chinese Takeout' (#27059)
[00:15:57]	Ashley Adams has lost a 'Empty Chinese Takeout' #27059.
[00:16:02]	Ashley Adams has gained a 'Scrap Metal' #27060.
[00:16:04]	Ashley Adams ran 'drop' on item 'Scrap Metal' (#27060)
[00:16:04]	Ashley Adams has lost a 'Scrap Metal' #27060.
[00:16:22]	Ashley Adams has gained a 'Sewn Cloth' #27061.
[00:16:23]	Ashley Adams ran 'take' on item 'First Aid Kit' (#27034)
[00:16:23]	Ashley Adams has gained a 'First Aid Kit' #27034.
[00:16:26]	Ashley Adams ran 'drop' on item 'Sewn Cloth' (#27061)
[00:16:26]	Ashley Adams has lost a 'Sewn Cloth' #27061.
[00:16:30]	Ashley Adams ran 'HealSelf' on item 'First Aid Kit' (#27034)
[00:16:36]	Ashley Adams ran 'HealSelf' on item 'First Aid Kit' (#27034)
[00:16:40]	Ashley Adams ran 'HealSelf' on item 'First Aid Kit' (#27034)
[00:16:42]	Ashley Adams ran 'drop' on item 'First Aid Kit' (#27034)
[00:16:42]	Ashley Adams has lost a 'First Aid Kit' #27034.
[00:16:51]	Ashley Adams has gained a 'Pan' #27062.
[00:16:56]	Ashley Adams ran 'drop' on item 'Pan' (#27062)
[00:16:56]	Ashley Adams has lost a 'Pan' #27062.
[00:17:04]	Ashley Adams has gained a 'Bleach' #27063.
[00:17:09]	Ashley Adams ran 'drop' on item 'Bleach' (#27063)
[00:17:09]	Ashley Adams has lost a 'Bleach' #27063.
[00:17:17]	Ashley Adams has gained a 'Empty Glass Bottle' #27064.
[00:17:20]	Ashley Adams ran 'drop' on item 'Empty Glass Bottle' (#27064)
[00:17:20]	Ashley Adams has lost a 'Empty Glass Bottle' #27064.
[00:17:54]	Ashley Adams has gained a 'Empty Tin Can' #27065.
[00:17:56]	Ashley Adams ran 'drop' on item 'Empty Tin Can' (#27065)
[00:17:56]	Ashley Adams has lost a 'Empty Tin Can' #27065.
[00:18:43]	Ashley Adams ran 'drop' on item 'Radio Case' (#25899)
[00:18:43]	Ashley Adams has lost a 'Radio Case' #25899.
[00:18:49]	Ashley Adams has gained a 'Empty Chinese Takeout' #27066.
[00:18:53]	Ashley Adams ran 'drop' on item 'Empty Chinese Takeout' (#27066)
[00:18:53]	Ashley Adams has lost a 'Empty Chinese Takeout' #27066.
[00:18:57]	Ashley Adams has gained a 'Sewn Cloth' #27067.
[00:19:08]	Ashley Adams has gained a 'Combat Knife' #27068.
[00:19:11]	Ashley Adams ran 'Equip' on item 'Combat Knife' (#27068)
[00:19:12]	Ashley Adams ran 'drop' on item 'Empty Glass Bottle' (#26761)
[00:19:12]	Ashley Adams has lost a 'Empty Glass Bottle' #26761.
[00:19:16]	Ashley Adams ran 'Equip' on item 'Combat Knife' (#27068)
[00:19:25]	Ashley Adams has taken 45 damage from npc_zombine.
[00:19:25]	npc_zombine has killed Ashley Adams.
[00:19:25]	npc_zombine destroyed a 'Pack of Screws' #26977.
[00:19:39]	Ashley Adams ran 'Equip' on item 'Combat Knife' (#27068)
[00:21:12]	Ashley Adams has gained a 'Electric Drill' #27069.
[00:21:26]	Ashley Adams has gained a 'Insulating Tape' #27070.
[00:21:30]	Ashley Adams ran 'drop' on item 'Insulating Tape' (#27070)
[00:21:30]	Ashley Adams has lost a 'Insulating Tape' #27070.
[00:21:36]	Ashley Adams has gained a 'Minimum Grade Food Product (Liver Flavor)' #27071.
[00:21:40]	Ashley Adams ran 'Consume' on item 'Minimum Grade Food Product (Liver Flavor)' (#27071)
[00:21:44]	Ashley Adams has gained a 'Citizen Filter' #27071.
[00:21:46]	Ashley Adams ran 'drop' on item 'Citizen Filter' (#27071)
[00:21:46]	Ashley Adams has lost a 'Citizen Filter' #27071.
[00:22:27]	Ashley Adams has gained a 'Empty Glass Bottle' #27072.
[00:22:30]	Ashley Adams ran 'drop' on item 'Empty Glass Bottle' (#27072)
[00:22:30]	Ashley Adams has lost a 'Empty Glass Bottle' #27072.
[00:22:35]	Ashley Adams has gained a 'Empty Cooking Oil Bottle' #27073.
[00:22:38]	Ashley Adams ran 'drop' on item 'Empty Cooking Oil Bottle' (#27073)
[00:22:38]	Ashley Adams has lost a 'Empty Cooking Oil Bottle' #27073.
[00:24:37]	Ashley Adams ran 'HealSelf' on item 'Stimshot' (#26970)
[00:24:40]	Ashley Adams ran 'take' on item 'Stimshot' (#26970)
[00:24:40]	Ashley Adams has gained a 'Stimshot' #26970.
[00:24:45]	Ashley Adams has gained a 'Broken Computer Monitor' #27076.
[00:24:47]	Ashley Adams ran 'drop' on item 'Broken Computer Monitor' (#27076)
[00:24:47]	Ashley Adams has lost a 'Broken Computer Monitor' #27076.
[00:24:52]	Ashley Adams has taken 5 damage from npc_headcrab.
[00:24:54]	Ashley Adams has gained a 'Empty Paint Can' #27077.
[00:24:57]	Ashley Adams ran 'drop' on item 'Empty Paint Can' (#27077)
[00:24:57]	Ashley Adams has lost a 'Empty Paint Can' #27077.
[00:26:13]	Ashley Adams has gained a 'Bar of Soap' #27081.
[00:26:47]	Ashley Adams has gained a 'Horse Statue' #27083.
[00:26:49]	Ashley Adams ran 'drop' on item 'Horse Statue' (#27083)
[00:26:49]	Ashley Adams has lost a 'Horse Statue' #27083.
[00:27:02]	Ashley Adams has taken 10 damage from npc_zombie.
[00:27:35]	[DG] Roach has connected.
[00:27:43]	Ashley Adams has gained a 'Scrap Glass' #27085.
[00:27:47]	Ashley Adams ran 'drop' on item 'Scrap Glass' (#27085)
[00:27:47]	Ashley Adams has lost a 'Scrap Glass' #27085.
[00:27:51]	Ashley Adams has gained a 'Empty Flavored Consulate Water Can' #27086.
[00:27:53]	Ashley Adams ran 'drop' on item 'Empty Flavored Consulate Water Can' (#27086)
[00:27:53]	Ashley Adams has lost a 'Empty Flavored Consulate Water Can' #27086.
[00:27:54]	Ashley Adams ran 'drop' on item 'Bar of Soap' (#27081)
[00:27:54]	Ashley Adams has lost a 'Bar of Soap' #27081.
[00:28:53]	Ashley Adams has gained a 'Empty Chinese Takeout' #27089.
[00:28:57]	Ashley Adams ran 'drop' on item 'Empty Chinese Takeout' (#27089)
[00:28:57]	Ashley Adams has lost a 'Empty Chinese Takeout' #27089.
[00:29:30]	Ashley Adams has gained a 'Paper' #27090.
[00:29:36]	Ashley Adams ran 'drop' on item 'Paper' (#27090)
[00:29:36]	Ashley Adams has lost a 'Paper' #27090.
[00:30:09]	Ashley Adams has gained a 'Powercord' #27092.
[00:30:14]	Ashley Adams ran 'drop' on item 'Powercord' (#27092)
[00:30:14]	Ashley Adams has lost a 'Powercord' #27092.
[00:31:20]	Ashley Adams has gained a 'Empty Paint Can' #27093.
[00:31:24]	Ashley Adams ran 'drop' on item 'Empty Paint Can' (#27093)
[00:31:24]	Ashley Adams has lost a 'Empty Paint Can' #27093.
[00:31:32]	Ashley Adams ran 'HealSelf' on item 'First Aid Kit' (#27034)
[00:31:38]	Ashley Adams has gained a 'Power Supply Unit' #27094.
[00:31:41]	Ashley Adams ran 'drop' on item 'Power Supply Unit' (#27094)
[00:31:41]	Ashley Adams has lost a 'Power Supply Unit' #27094.
[00:31:44]	Ashley Adams has gained a 'Light Bulb' #27095.
[00:31:46]	Ashley Adams ran 'drop' on item 'Light Bulb' (#27095)
[00:31:46]	Ashley Adams has lost a 'Light Bulb' #27095.
[00:31:54]	Ashley Adams has gained a 'Power Supply Unit' #27096.
[00:31:56]	Ashley Adams ran 'drop' on item 'Power Supply Unit' (#27096)
[00:31:56]	Ashley Adams has lost a 'Power Supply Unit' #27096.
[00:31:58]	[DG] Roach loaded the character 'Denford F. MacMillian'
[00:32:09]	Ashley Adams has gained a 'Scrap Glass' #27097.
[00:32:11]	Ashley Adams ran 'drop' on item 'Scrap Glass' (#27097)
[00:32:11]	Ashley Adams has lost a 'Scrap Glass' #27097.
[00:32:20]	Ashley Adams has gained a 'Empty Milk Gallon' #27098.
[00:32:23]	Ashley Adams ran 'drop' on item 'Empty Milk Gallon' (#27098)
[00:32:23]	Ashley Adams has lost a 'Empty Milk Gallon' #27098.
[00:32:29]	Denford F. MacMillian ran 'Equip' on item 'Pipe' (#26908)
[00:32:42]	Denford F. MacMillian ran 'EquipUn' on item 'Pipe' (#26908)
[00:32:44]	[OOC] Denford F. MacMillian: Sup.
[00:32:46]	Denford F. MacMillian ran 'Equip' on item 'Pipe' (#26908)
[00:33:01]	[OOC] Ashley Adams: hey man
[00:33:08]	Ashley Adams has gained a 'Citizen Filter' #27100.
[00:33:10]	Ashley Adams ran 'drop' on item 'Citizen Filter' (#27100)
[00:33:10]	Ashley Adams has lost a 'Citizen Filter' #27100.
[00:33:19]	Ashley Adams ran 'take' on item 'Cloth Scrap' (#26308)
[00:33:19]	Ashley Adams has gained a 'Cloth Scrap' #26308.
[00:33:21]	Denford F. MacMillian ran 'take' on item 'Insulating Tape' (#26168)
[00:33:21]	Denford F. MacMillian has gained a 'Insulating Tape' #26168.
[00:33:22]	Ashley Adams has gained a 'Pipe' #27101.
[00:33:24]	Denford F. MacMillian ran 'take' on item 'Electric Motor' (#26408)
[00:33:24]	Denford F. MacMillian has gained a 'Electric Motor' #26408.
[00:33:25]	Denford F. MacMillian ran 'Edit' on item 'Paper' (#26561)
[00:33:26]	Ashley Adams ran 'drop' on item 'Pipe' (#27101)
[00:33:26]	Ashley Adams has lost a 'Pipe' #27101.
[00:33:30]	Denford F. MacMillian ran 'take' on item 'Insulating Tape' (#26781)
[00:33:30]	Denford F. MacMillian has gained a 'Insulating Tape' #26781.
[00:33:37]	Denford F. MacMillian has gained a 'LCD Monitor' #27102.
[00:33:47]	Denford F. MacMillian ran 'take' on item 'Citizen Filter' (#27100)
[00:33:47]	Denford F. MacMillian has gained a 'Citizen Filter' #27100.
[00:33:51]	[OOC] Ashley Adams: man I got 2 sewn cloth
[00:33:55]	[OOC] Denford F. MacMillian: Nice.
[00:33:58]	[OOC] Ashley Adams: indeed
[00:34:08]	Ashley Adams has gained a 'Empty Paint Can' #27103.
[00:34:11]	Denford F. MacMillian ran 'drop' on item 'Rope' (#26909)
[00:34:11]	Denford F. MacMillian has lost a 'Rope' #26909.
[00:34:12]	Denford F. MacMillian ran 'drop' on item 'Power Supply Unit' (#26907)
[00:34:12]	Denford F. MacMillian has lost a 'Power Supply Unit' #26907.
[00:34:13]	Denford F. MacMillian ran 'drop' on item 'Empty Paint Can' (#26906)
[00:34:13]	Denford F. MacMillian has lost a 'Empty Paint Can' #26906.
[00:34:13]	Ashley Adams ran 'drop' on item 'Empty Paint Can' (#27103)
[00:34:13]	Ashley Adams has lost a 'Empty Paint Can' #27103.
[00:34:17]	Denford F. MacMillian ran 'drop' on item 'Insulating Tape' (#26781)
[00:34:17]	Denford F. MacMillian has lost a 'Insulating Tape' #26781.
[00:34:17]	Denford F. MacMillian ran 'drop' on item 'Insulating Tape' (#26168)
[00:34:17]	Denford F. MacMillian has lost a 'Insulating Tape' #26168.
[00:34:18]	Denford F. MacMillian ran 'Equip' on item 'Pan' (#26662)
[00:34:20]	Denford F. MacMillian ran 'EquipUn' on item 'Pipe' (#26908)
[00:34:20]	Denford F. MacMillian ran 'Equip' on item 'Pan' (#26662)
[00:34:28]	Denford F. MacMillian has gained a 'Scrap Glass' #27104.
[00:34:31]	Denford F. MacMillian ran 'drop' on item 'Scrap Glass' (#27104)
[00:34:31]	Denford F. MacMillian has lost a 'Scrap Glass' #27104.
[00:34:45]	Denford F. MacMillian has gained a 'Rope' #27105.
[00:34:50]	Denford F. MacMillian has gained a 'Pack of Nails' #27106.
[00:34:53]	Ashley Adams has gained a 'Empty Tin Can' #27107.
[00:34:55]	Ashley Adams ran 'drop' on item 'Empty Tin Can' (#27107)
[00:34:55]	Ashley Adams has lost a 'Empty Tin Can' #27107.
[00:34:59]	[OOC] Denford F. MacMillian: Guessing you're on to grind stuff or.
[00:35:00]	Ashley Adams has gained a 'Stimshot' #27108.
[00:35:15]	[OOC] Ashley Adams: yeep
[00:35:16]	Bean has connected.
[00:35:22]	Denford F. MacMillian has gained a 'Boot' #27109.
[00:35:32]	[OOC] Denford F. MacMillian: I'm mainly looking for contraband.
[00:35:32]	Ashley Adams has gained a 'Scrap Electronics' #27110.
[00:35:36]	[OOC] Ashley Adams: same
[00:35:36]	Denford F. MacMillian has gained a 'Sewn Cloth' #27111.
[00:35:39]	Ashley Adams ran 'drop' on item 'Scrap Electronics' (#27110)
[00:35:39]	Ashley Adams has lost a 'Scrap Electronics' #27110.
[00:35:39]	Bean loaded the character 'Alex Palovichov'
[00:35:49]	[OOC] Denford F. MacMillian: Guessing you wanna become a CP?
[00:35:50]	Ashley Adams has gained a 'Broken Clock' #27112.
[00:35:53]	Denford F. MacMillian opened the '' #2418 container.
[00:35:56]	Denford F. MacMillian closed the '' #2418 container.
[00:35:59]	[OOC] Ashley Adams: yepp my application keeps getting revied
[00:36:02]	Denford F. MacMillian has gained a 'Scrap Metal' #27113.
[00:36:05]	[OOC] Denford F. MacMillian: Nice.
[00:36:06]	Denford F. MacMillian opened the '' #242 container.
[00:36:08]	Denford F. MacMillian closed the '' #242 container.
[00:36:11]	[OOC] Ashley Adams: Reviewed*
[00:36:16]	Ashley Adams has gained a 'Scrap Plastic' #27114.
[00:36:20]	Ashley Adams ran 'drop' on item 'Scrap Plastic' (#27114)
[00:36:20]	Ashley Adams has lost a 'Scrap Plastic' #27114.
[00:36:21]	Ashley Adams ran 'drop' on item 'Broken Clock' (#27112)
[00:36:21]	Ashley Adams has lost a 'Broken Clock' #27112.
[00:36:23]	[OOC] Denford F. MacMillian: Which character, on ashley or just another character entirely.
[00:36:29]	[OOC] Ashley Adams: Yea ash
[00:36:35]	Ashley Adams has gained a 'Roubles' #27115.
[00:36:40]	Ashley Adams ran 'drop' on item 'Roubles' (#27115)
[00:36:40]	Ashley Adams has lost a 'Roubles' #27115.
[00:36:50]	Ashley Adams has gained a 'Wires' #27116.
[00:36:51]	Denford F. MacMillian has gained a 'Corrugated Hose' #27117.
[00:36:53]	Ashley Adams ran 'drop' on item 'Wires' (#27116)
[00:36:53]	Ashley Adams has lost a 'Wires' #27116.
[00:37:01]	Ashley Adams has gained a 'A Roll of Toilet Paper' #27118.
[00:37:03]	Ashley Adams ran 'drop' on item 'A Roll of Toilet Paper' (#27118)
[00:37:03]	Ashley Adams has lost a 'A Roll of Toilet Paper' #27118.
[00:37:03]	[OOC] Denford F. MacMillian: I'm trying to do the same for Denford.
[00:37:06]	Denford F. MacMillian ran 'take' on item 'Fingerless Gloves' (#25219)
[00:37:06]	Denford F. MacMillian has gained a 'Fingerless Gloves' #25219.
[00:37:13]	Denford F. MacMillian ran 'take' on item 'Fingerless Gloves' (#27078)
[00:37:13]	Denford F. MacMillian has gained a 'Fingerless Gloves' #27078.
[00:37:21]	Ashley Adams has gained a 'Empty Soda Bottle' #27119.
[00:37:24]	Ashley Adams ran 'drop' on item 'Empty Soda Bottle' (#27119)
[00:37:24]	Ashley Adams has lost a 'Empty Soda Bottle' #27119.
[00:37:31]	Ashley Adams has gained a 'Pipe' #27120.
[00:37:34]	Ashley Adams ran 'drop' on item 'Pipe' (#27120)
[00:37:34]	Ashley Adams has lost a 'Pipe' #27120.
[00:38:09]	Ashley Adams has gained a 'A Roll of Toilet Paper' #27121.
[00:38:11]	Ashley Adams ran 'drop' on item 'A Roll of Toilet Paper' (#27121)
[00:38:11]	Ashley Adams has lost a 'A Roll of Toilet Paper' #27121.
[00:38:23]	Ashley Adams has gained a 'Empty Combine Air Tank' #27122.
[00:38:46]	Denford F. MacMillian ran 'EquipUn' on item 'Pan' (#26662)
[00:38:48]	Denford F. MacMillian ran 'Equip' on item 'Pipe' (#26908)
[00:39:01]	Denford F. MacMillian ran 'drop' on item 'Boot' (#27109)
[00:39:01]	Denford F. MacMillian has lost a 'Boot' #27109.
[00:39:02]	Denford F. MacMillian ran 'drop' on item 'Insulating Tape' (#26665)
[00:39:02]	Denford F. MacMillian has lost a 'Insulating Tape' #26665.
[00:39:03]	Denford F. MacMillian ran 'drop' on item 'Pack of Nails' (#27106)
[00:39:03]	Denford F. MacMillian has lost a 'Pack of Nails' #27106.
[00:39:04]	Denford F. MacMillian ran 'drop' on item 'Corrugated Hose' (#27117)
[00:39:04]	Denford F. MacMillian has lost a 'Corrugated Hose' #27117.
[00:39:04]	Denford F. MacMillian ran 'drop' on item 'Scrap Metal' (#27113)
[00:39:04]	Denford F. MacMillian has lost a 'Scrap Metal' #27113.
[00:39:05]	Denford F. MacMillian ran 'drop' on item 'Sewn Cloth' (#27111)
[00:39:05]	Denford F. MacMillian has lost a 'Sewn Cloth' #27111.
[00:39:06]	Denford F. MacMillian ran 'drop' on item 'Small Thermos' (#26905)
[00:39:06]	Denford F. MacMillian has lost a 'Small Thermos' #26905.
[00:39:07]	Denford F. MacMillian ran 'drop' on item 'Pan' (#26662)
[00:39:07]	Denford F. MacMillian has lost a 'Pan' #26662.
[00:39:18]	Ashley Adams has taken 10 damage from npc_zombie.
[00:40:25]	Ashley Adams has gained a 'Piece of Plexiglass' #27124.
[00:40:27]	Ashley Adams ran 'drop' on item 'Piece of Plexiglass' (#27124)
[00:40:27]	Ashley Adams has lost a 'Piece of Plexiglass' #27124.
[00:40:28]	Denford F. MacMillian has gained a 'Piece of Plexiglass' #27125.
[00:42:01]	[LOOC] Ashley Adams: shhh
[00:42:07]	[LOOC] Denford F. MacMillian: sorry ;-;
[00:42:09]	[LOOC] Ashley Adams: XD
[00:42:20]	James McKay has gained a 'Green Citizen Suit' #27126.
[00:42:20]	James McKay has gained a 'Citizen Filter' #27127.
[00:42:20]	Bean created the character 'James McKay'
[00:42:20]	James McKay has gained a 'Suitcase' #27128.
[00:42:20]	James McKay has gained a 'Relocation Coupon' #27129.
[00:42:27]	Ashley Adams has gained a 'Cinderblock' #27130.
[00:42:28]	Alex Palovichov ran 'EquipUn' on item 'CWU Leadership Suit' (#24484)
[00:42:29]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[00:42:30]	Ashley Adams has gained a 'Axe' #27131.
[00:42:39]	Ashley Adams ran 'drop' on item 'Cinderblock' (#27130)
[00:42:39]	Ashley Adams has lost a 'Cinderblock' #27130.
[00:42:49]	[OOC] Ashley Adams: holy shit found a axe in the trash
[00:42:52]	[OOC] Denford F. MacMillian: Fuck the shutter's closed.
[00:42:58]	Alex Palovichov has gained a 'Screwdriver' #27132.
[00:43:00]	Denford F. MacMillian used command '/PM ash What a rare find.'.
[00:43:02]	Ashley Adams has gained a 'Capacitors' #27133.
[00:43:06]	Denford F. MacMillian ran 'take' on item 'Capacitors' (#27022)
[00:43:06]	Denford F. MacMillian has gained a 'Capacitors' #27022.
[00:43:10]	Denford F. MacMillian has gained a 'AA Battery' #27134.
[00:43:12]	Alex Palovichov ran 'take' on item 'Citizen Filter' (#27028)
[00:43:12]	Alex Palovichov has gained a 'Citizen Filter' #27028.
[00:43:19]	Ashley Adams used command '/PM denford Yea Ik'.
[00:43:32]	Ashley Adams ran 'drop' on item 'Capacitors' (#27133)
[00:43:32]	Ashley Adams has lost a 'Capacitors' #27133.
[00:43:45]	Ashley Adams has gained a 'Padlock' #27135.
[00:43:52]	Alex Palovichov opened the '' #2549 container.
[00:43:55]	Alex Palovichov closed the '' #2549 container.
[00:43:59]	Alex Palovichov ran 'equip' on item 'Citizen Filter' (#27028)
[00:44:09]	Denford F. MacMillian has gained a 'Pipe' #27136.
[00:44:12]	Denford F. MacMillian has gained a 'Minimum Grade Food Product (Fish Flavor)' #27137.
[00:44:19]	Denford F. MacMillian ran 'Consume' on item 'Minimum Grade Food Product (Fish Flavor)' (#27137)
[00:44:34]	[LOOC] Ashley Adams: afk
[00:44:41]	Denford F. MacMillian has gained a 'Wires' #27137.
[00:44:59]	Denford F. MacMillian has gained a 'Radio Case' #27138.
[00:45:04]	Ashley Adams has gained a 'Empty Sparkling Consulate Water Can' #27140.
[00:45:04]	Denford F. MacMillian opened the '' #2551 container.
[00:45:07]	Ashley Adams ran 'drop' on item 'Empty Sparkling Consulate Water Can' (#27140)
[00:45:07]	Ashley Adams has lost a 'Empty Sparkling Consulate Water Can' #27140.
[00:45:10]	Denford F. MacMillian closed the '' #2551 container.
[00:45:11]	Ashley Adams has gained a 'Boot' #27141.
[00:45:13]	Ashley Adams ran 'drop' on item 'Boot' (#27141)
[00:45:13]	Ashley Adams has lost a 'Boot' #27141.
[00:45:26]	Ashley Adams has gained a 'A Roll of Toilet Paper' #27142.
[00:45:26]	Denford F. MacMillian opened the '' #2549 container.
[00:45:32]	Ashley Adams ran 'drop' on item 'A Roll of Toilet Paper' (#27142)
[00:45:32]	Ashley Adams has lost a 'A Roll of Toilet Paper' #27142.
[00:45:35]	Denford F. MacMillian closed the '' #2549 container.
[00:45:36]	Denford F. MacMillian opened the '' #240 container.
[00:45:49]	Ashley Adams has gained a 'Empty Consulate Water Can' #27144.
[00:45:50]	Denford F. MacMillian closed the '' #240 container.
[00:45:51]	Ashley Adams opened the '' #2551 container.
[00:45:53]	Ashley Adams ran 'drop' on item 'Empty Consulate Water Can' (#27144)
[00:45:53]	Ashley Adams has lost a 'Empty Consulate Water Can' #27144.
[00:45:54]	Ashley Adams closed the '' #2551 container.
[00:46:21]	Ashley Adams has gained a 'Radio Case' #27145.
[00:46:34]	Ashley Adams has gained a 'Empty Glass Bottle' #27146.
[00:46:35]	Ashley Adams opened the '' #253 container.
[00:46:37]	Ashley Adams closed the '' #253 container.
[00:46:41]	Ashley Adams ran 'drop' on item 'Empty Glass Bottle' (#27146)
[00:46:41]	Ashley Adams has lost a 'Empty Glass Bottle' #27146.
[00:46:54]	Denford F. MacMillian has gained a 'Pan' #27147.
[00:46:59]	Denford F. MacMillian ran 'drop' on item 'Pan' (#27147)
[00:46:59]	Denford F. MacMillian has lost a 'Pan' #27147.
[00:47:14]	Ashley Adams ran 'drop' on item 'Sewn Cloth' (#27067)
[00:47:14]	Ashley Adams has lost a 'Sewn Cloth' #27067.
[00:47:15]	Ashley Adams ran 'drop' on item 'Cloth Scrap' (#26308)
[00:47:15]	Ashley Adams has lost a 'Cloth Scrap' #26308.
[00:47:21]	Ashley Adams ran 'take' on item 'Sewn Cloth' (#27067)
[00:47:21]	Ashley Adams has gained a 'Sewn Cloth' #27067.
[00:47:22]	Ashley Adams ran 'take' on item 'Cloth Scrap' (#26308)
[00:47:22]	Ashley Adams has gained a 'Cloth Scrap' #26308.
[00:47:52]	Denford F. MacMillian ran 'View' on item 'Paper' (#5259)
[00:47:57]	Denford F. MacMillian ran 'take' on item 'Military Circuit Board' (#26950)
[00:47:57]	Denford F. MacMillian has gained a 'Military Circuit Board' #26950.
[00:47:59]	Denford F. MacMillian ran 'take' on item 'Light Bulb' (#27055)
[00:47:59]	Denford F. MacMillian has gained a 'Light Bulb' #27055.
[00:47:59]	Denford F. MacMillian opened the '' #2374 container.
[00:48:03]	Denford F. MacMillian closed the '' #2374 container.
[00:48:05]	Denford F. MacMillian opened the '' #308 container.
[00:48:09]	Denford F. MacMillian closed the '' #308 container.
[00:48:12]	Denford F. MacMillian has gained a 'Scrap Glass' #27148.
[00:48:15]	Denford F. MacMillian ran 'drop' on item 'Scrap Glass' (#27148)
[00:48:15]	Denford F. MacMillian has lost a 'Scrap Glass' #27148.
[00:48:47]	Alex Palovichov opened the '' #253 container.
[00:48:49]	Alex Palovichov closed the '' #253 container.
[00:48:51]	Denford F. MacMillian opened the '' #239 container.
[00:48:57]	Denford F. MacMillian closed the '' #239 container.
[00:48:58]	Alex Palovichov ran 'take' on item 'Empty Sparkling Consulate Water Can' (#27025)
[00:48:58]	Alex Palovichov has gained a 'Empty Sparkling Consulate Water Can' #27025.
[00:48:59]	Alex Palovichov ran 'take' on item 'Old Newspaper' (#25960)
[00:48:59]	Alex Palovichov has gained a 'Old Newspaper' #25960.
[00:49:00]	Alex Palovichov ran 'take' on item 'Empty Bleach Bottle' (#25793)
[00:49:00]	Alex Palovichov has gained a 'Empty Bleach Bottle' #25793.
[00:49:00]	Alex Palovichov opened the '' #253 container.
[00:49:01]	Alex Palovichov closed the '' #253 container.
[00:49:02]	Alex Palovichov ran 'take' on item 'Empty Milk Gallon' (#25773)
[00:49:02]	Alex Palovichov has gained a 'Empty Milk Gallon' #25773.
