[00:00:17]	[LOOC] Gregory Smith: locked
[00:12:11]	[OOC] Wallace Breen: so how about that
[00:12:14]	[OOC] Wallace Breen: server improvement
[00:12:14]	Wallace Breen entered observer.
[00:12:16]	[OOC] John Zimmer: pretty vibin
[00:12:20]	[OOC] Wallace Breen: it do be
[00:12:21]	Wallace Breen exited observer at their location.
[00:12:33]	[OOC] Wallace Breen: i wnamt ot improve shit ubti 'mn not sure where to start
[00:12:39]	[OOC] Wallace Breen: ota guide coming out today, the 7th
[00:12:39]	[OOC] John Zimmer: im just out here tryna be an lp whore so im just vibin for now
[00:12:47]	[OOC] Wallace Breen: hell yeah, lp whore
[00:12:47]	Wallace Breen entered observer.
[00:13:00]	[OOC] John Zimmer: how much you think the info'll get me
[00:13:04]	Wallace Breen exited observer at their location.
[00:13:06]	Wallace Breen has spawned 'models/combine_small_tv1c.mdl'.
[00:13:39]	Wallace Breen entered observer.
[00:13:42]	Wallace Breen exited observer at their location.
[00:13:47]	Wallace Breen has spawned 'models/combine_tv1.mdl'.
[00:13:54]	Wallace Breen has spawned 'models/barn/barn_floor.mdl'.
[00:13:57]	Wallace Breen has spawned 'models/rt screens/monitor02.mdl'.
[00:14:03]	Wallace Breen entered observer.
[00:14:07]	Wallace Breen exited observer at their location.
[00:14:27]	Wallace Breen entered observer.
[00:14:45]	John Zimmer has gained a 'Raw Headcrab Meat' #25773.
[00:15:09]	John Zimmer has gained a 'Raw Headcrab Meat' #25774.
[00:15:36]	John Zimmer has gained a 'Raw Headcrab Meat' #25775.
[00:15:41]	Wallace Breen has gained 50 tokens.
[00:15:56]	John Zimmer has gained a 'Raw Headcrab Meat' #25776.
[00:16:42]	John Zimmer ran 'EquipUn' on item 'Empty Glass Bottle' (#22647)
[00:16:45]	John Zimmer ran 'drop' on item 'Boot' (#22393)
[00:16:45]	John Zimmer has lost a 'Boot' #22393.
[00:16:59]	Doughnut (STEAM_0:1:127409364) has disconnected.
[00:20:41]	Wallace Breen has gained 50 tokens.
[00:21:33]	matt saton (STEAM_0:1:53097688) has disconnected.
[12:04:45]	Vendo Pan™ has connected.
[12:06:33]	Vendo Pan™ loaded the character 'Gregory Smith'
[12:08:32]	Vendo Pan™ (STEAM_0:0:445640226) has disconnected.
[13:06:08]	matt saton has connected.
[13:09:00]	matt saton loaded the character 'James Albright'
[13:09:02]	James Albright entered observer.
[13:11:28]	sand has connected.
[13:12:55]	James Albright has spawned 'models/hlvr/characters/combine_captain/torch/captain_torch_hlvr.mdl'.
[13:12:56]	James Albright exited observer at their location.
[13:12:57]	James Albright entered observer.
[13:13:24]	James Albright has spawned 'models/hlvr/weapons/grenade/w_grenade.mdl'.
[13:13:35]	James Albright exited observer at their location.
[13:13:35]	James Albright entered observer.
[13:13:36]	James Albright exited observer at their location.
[13:13:42]	James Albright has spawned 'models/hlvr/weapons/w_shotgun_heavy/w_shotgun_heavy_hlvr.mdl'.
[13:13:46]	James Albright entered observer.
[13:13:58]	James Albright exited observer at their location.
[13:14:03]	James Albright entered observer.
[13:14:15]	James Albright exited observer at their location.
[13:14:20]	James Albright used command '/ToggleRaise'.
[13:14:26]	James Albright used command '/ToggleRaise'.
[13:14:27]	James Albright used command '/ToggleRaise'.
[13:14:29]	James Albright used command '/ToggleRaise'.
[13:14:34]	[OOC] James Albright: UH
[13:14:35]	[OOC] James Albright: FUCK
[13:22:20]	sand has connected.
[13:29:28]	sand loaded the character 'CCA.C14-UNION.i5.39867'
[13:30:57]	matt saton has connected.
[13:32:39]	matt saton loaded the character 'James Albright'
[13:32:41]	James Albright entered observer.
[13:33:46]	James Albright exited observer at their location.
[13:34:08]	James Albright entered observer.
[13:34:28]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[13:34:53]	James Albright exited observer at their location.
[13:34:54]	James Albright entered observer.
[13:34:56]	James Albright exited observer at their location.
[13:35:02]	James Albright entered observer.
[13:35:03]	James Albright exited observer at their location.
[13:35:03]	James Albright entered observer.
[13:35:04]	James Albright exited observer at their location.
[13:35:04]	James Albright entered observer.
[13:35:05]	James Albright exited observer at their location.
[13:35:05]	James Albright entered observer.
[13:35:49]	[OOC] CCA.C14-UNION.i5.39867: what is matt saton
[13:35:52]	[OOC] James Albright: what
[13:36:03]	[OOC] CCA.C14-UNION.i5.39867: whats the meaning of ur username
[13:36:06]	[OOC] CCA.C14-UNION.i5.39867: steam username
[13:36:07]	[OOC] James Albright: well
[13:36:13]	[OOC] James Albright: it's based off of matt damon
[13:36:14]	[OOC] James Albright: the actor
[13:36:26]	[OOC] CCA.C14-UNION.i5.39867: ah i see
[13:36:26]	[OOC] James Albright: and then one day i decided "hey i found a funny picture of him, i'm gonna mess wit hthe picture"
[13:36:29]	[OOC] James Albright: i got a pretty dark red one
[13:36:30]	James Albright used command '/DoorSetHidden true'.
[13:36:35]	[OOC] James Albright: called it matt saton
[13:36:43]	[OOC] James Albright: missing out on the opportunity to call it matt daemon instead
[13:37:41]	[OOC] CCA.C14-UNION.i5.39867: matt demon
[13:37:58]	[OOC] James Albright: affirmativew
[13:38:10]	[OOC] CCA.C14-UNION.i5.39867: ok im gonna try one last time to go onto emily
[13:38:12]	[OOC] CCA.C14-UNION.i5.39867: leave = crash
[13:38:17]	[OOC] James Albright: alright
[13:38:18]	[OOC] CCA.C14-UNION.i5.39867: or well black screen and restart
[13:38:24]	James Albright exited observer at their location.
[13:38:26]	James Albright has spawned 'models/cultist/hl_a/vannila_combine/combine_soldier.mdl'.
[13:38:37]	sand (STEAM_0:0:38537787) has disconnected.
[13:38:54]	James Albright entered observer.
[13:38:55]	James Albright exited observer at their location.
[13:39:14]	James Albright has spawned 'models/cultist/hl_a/vannila_combine/npc/combine_soldier.mdl'.
[13:39:33]	James Albright entered observer.
[13:39:37]	James Albright exited observer at their location.
[13:40:45]	James Albright has spawned 'models/ninja/combine/combinonew.mdl'.
[13:41:00]	James Albright has spawned 'models/ninja/combine/combine_soldier_prisonguard.mdl'.
[13:41:04]	James Albright has spawned 'models/ninja/combine/combine_soldier.mdl'.
[13:41:24]	James Albright has spawned 'models/ninja/combine/combinonew_mopp.mdl'.
[13:41:25]	James Albright entered observer.
[13:41:27]	James Albright has spawned 'models/ninja/combine/combinonew_armor.mdl'.
[13:41:33]	James Albright exited observer at their location.
[13:41:51]	James Albright entered observer.
[13:43:07]	James Albright has spawned 'models/ninja/combine/combine_soldier_prisonguard.mdl'.
[13:43:12]	James Albright exited observer at their location.
[13:43:22]	James Albright entered observer.
[13:43:24]	James Albright exited observer at their location.
[13:44:18]	James Albright has spawned 'models/combine_soldiers_redone_playermodels/combine_hlalyx_soldier_redone.mdl'.
[13:44:20]	James Albright entered observer.
[13:44:25]	James Albright has spawned 'models/combine_soldiers_redone_playermodels/combine_soldier_redone.mdl'.
[13:44:59]	James Albright exited observer at their location.
[13:45:01]	James Albright entered observer.
[13:45:02]	James Albright exited observer at their location.
[13:45:16]	James Albright has spawned 'models/weapons/tfa_hl2r/w_crossbow.mdl'.
[13:45:18]	James Albright entered observer.
[13:45:22]	James Albright exited observer at their location.
[13:46:15]	James Albright entered observer.
[13:51:24]	James Albright exited observer at their location.
[13:51:27]	James Albright entered observer.
[13:51:32]	James Albright exited observer at their location.
[13:51:34]	James Albright has spawned 'models/Combine_Soldier.mdl'.
[13:51:41]	James Albright entered observer.
[13:51:42]	James Albright exited observer at their location.
[13:53:58]	James Albright has spawned 'models/Combine_Strider.mdl'.
[13:53:58]	James Albright entered observer.
[13:54:15]	James Albright exited observer at their location.
[13:54:21]	James Albright entered observer.
[13:54:22]	James Albright exited observer at their location.
[13:54:26]	James Albright entered observer.
[13:54:26]	James Albright exited observer at their location.
[13:54:30]	James Albright entered observer.
[13:54:30]	James Albright exited observer at their location.
[13:55:26]	James Albright entered observer.
[13:55:29]	James Albright exited observer at their location.
[13:55:29]	James Albright entered observer.
[13:55:30]	James Albright exited observer at their location.
[13:55:30]	James Albright entered observer.
[13:55:31]	James Albright exited observer at their location.
[13:55:33]	James Albright entered observer.
[13:55:35]	James Albright exited observer at their location.
[13:55:39]	James Albright entered observer.
[13:55:43]	James Albright exited observer at their location.
[13:55:47]	James Albright entered observer.
[13:58:20]	James Albright exited observer at their location.
[13:59:14]	James Albright has spawned 'models/combine_advisor_a.mdl'.
[13:59:16]	James Albright entered observer.
[13:59:19]	James Albright exited observer at their location.
[13:59:20]	James Albright has spawned 'models/combine_advisor.mdl'.
[13:59:34]	James Albright has spawned 'models/player/combine_nebula.mdl'.
[13:59:37]	James Albright has spawned 'models/player/combine_nebula_a.mdl'.
[13:59:39]	James Albright has spawned 'models/player/combine_prison.mdl'.
[13:59:41]	James Albright has spawned 'models/combine_hunter.mdl'.
[13:59:43]	James Albright has spawned 'models/combine_ground.mdl'.
[13:59:58]	James Albright has spawned 'models/player/combine_shotgun.mdl'.
[14:00:14]	James Albright has spawned 'models/combine_nebula.mdl'.
[14:01:15]	James Albright has spawned 'models/player/combine_prison.mdl'.
[14:01:38]	James Albright has spawned 'models/player/combine_arctic.mdl'.
[14:02:02]	James Albright has spawned 'models/combine_hunter.mdl'.
[14:07:12]	James Albright has spawned 'models/combine_alyx_s.mdl'.
[14:07:41]	James Albright has spawned 'models/combine_hunter_sa.mdl'.
[14:07:43]	James Albright entered observer.
[14:07:45]	James Albright has spawned 'models/combine_hunter_s.mdl'.
[14:07:55]	James Albright has spawned 'models/player/combine_super_s.mdl'.
[14:07:57]	James Albright has spawned 'models/player/combine_super_s.mdl'.
[14:08:00]	James Albright exited observer at their location.
[14:08:00]	James Albright entered observer.
[14:08:01]	James Albright exited observer at their location.
[14:08:46]	James Albright entered observer.
[14:08:47]	James Albright exited observer at their location.
[14:08:48]	James Albright entered observer.
[14:08:48]	James Albright exited observer at their location.
[14:09:01]	James Albright entered observer.
[14:09:01]	James Albright exited observer at their location.
[14:09:24]	James Albright entered observer.
[14:09:25]	James Albright exited observer at their location.
[14:10:08]	James Albright entered observer.
[14:10:09]	James Albright exited observer at their location.
[14:11:01]	James Albright has spawned 'models/combine_heavy_a.mdl'.
[14:11:02]	James Albright entered observer.
[14:11:09]	James Albright exited observer at their location.
[14:11:18]	James Albright entered observer.
[14:11:19]	James Albright exited observer at their location.
[14:11:19]	James Albright entered observer.
[14:11:20]	James Albright exited observer at their location.
[14:11:20]	James Albright entered observer.
[14:11:21]	James Albright exited observer at their location.
[14:11:21]	James Albright entered observer.
[14:11:21]	James Albright exited observer at their location.
[14:11:37]	James Albright entered observer.
[14:11:38]	James Albright exited observer at their location.
[14:11:45]	James Albright has spawned 'models/combine_taiga_a.mdl'.
[14:11:47]	James Albright has spawned 'models/combine_threser.mdl'.
[14:11:49]	James Albright has spawned 'models/combine_threser_s.mdl'.
[14:11:50]	James Albright has spawned 'models/combine_threser_a.mdl'.
[14:12:03]	James Albright entered observer.
[14:12:04]	James Albright exited observer at their location.
[14:12:04]	James Albright entered observer.
[14:12:06]	James Albright exited observer at their location.
[14:12:08]	James Albright entered observer.
[14:12:12]	James Albright exited observer at their location.
[14:12:15]	James Albright entered observer.
[14:12:18]	James Albright exited observer at their location.
[14:13:56]	James Albright entered observer.
[14:13:58]	James Albright exited observer at their location.
[14:15:44]	James Albright entered observer.
[14:15:49]	James Albright exited observer at their location.
[14:16:00]	James Albright entered observer.
[14:16:01]	James Albright exited observer at their location.
[14:16:02]	James Albright entered observer.
[14:17:25]	James Albright exited observer at their location.
[14:17:25]	James Albright entered observer.
[14:17:26]	James Albright exited observer at their location.
[14:17:27]	James Albright entered observer.
[14:17:28]	James Albright exited observer at their location.
[14:17:31]	James Albright entered observer.
[14:17:39]	James Albright exited observer at their location.
[14:17:41]	James Albright entered observer.
[14:17:45]	James Albright exited observer at their location.
[14:18:35]	James Albright has spawned 'models/player/combine_shotgun_sa.mdl'.
[14:30:23]	sand has connected.
[14:33:50]	sand loaded the character 'CCA.C14-UNION.i5.39867'
[14:34:38]	[OOC] CCA.C14-UNION.i5.39867: what the fuck...
[14:34:42]	[OOC] James Albright: oh hey
[14:34:42]	James Albright entered observer.
[14:34:48]	James Albright exited observer at their location.
[14:34:50]	[OOC] James Albright: i was lookign at models
[14:34:51]	[OOC] CCA.C14-UNION.i5.39867: are these the new ota models
[14:34:53]	[OOC] James Albright: i have to rework the ota guide
[14:34:55]	[OOC] James Albright: not exactly
[14:34:55]	James Albright used command '/DoorSetHidden true'.
[14:34:59]	[OOC] James Albright: they've always been in the server
[14:35:01]	[OOC] James Albright: we juste haven't used them
[14:35:08]	[OOC] CCA.C14-UNION.i5.39867: they dont look too great
[14:35:10]	James Albright entered observer.
[14:35:11]	James Albright exited observer at their location.
[14:35:15]	[OOC] James Albright: we haven't used them for a reason
[14:35:28]	[OOC] CCA.C14-UNION.i5.39867: in my opinion the normal HLA ota is the best
[14:35:36]	[OOC] James Albright: you mean the grunts?
[14:35:40]	[OOC] CCA.C14-UNION.i5.39867: yea
[14:35:51]	[OOC] CCA.C14-UNION.i5.39867: the white one
[14:35:57]	[OOC] James Albright: what about this one
[14:35:57]	James Albright entered observer.
[14:35:58]	James Albright exited observer at their location.
[14:36:07]	James Albright entered observer.
[14:36:08]	James Albright exited observer at their location.
[14:36:09]	[OOC] CCA.C14-UNION.i5.39867: i used it on the server i co-owned
[14:36:13]	[OOC] CCA.C14-UNION.i5.39867: the elite models were
[14:36:17]	James Albright entered observer.
[14:36:17]	James Albright exited observer at their location.
[14:36:26]	[OOC] CCA.C14-UNION.i5.39867: the elite reskins of OTA were used as the 
[14:36:28]	James Albright entered observer.
[14:36:28]	James Albright exited observer at their location.
[14:36:31]	James Albright entered observer.
[14:36:31]	James Albright exited observer at their location.
[14:36:32]	[OOC] CCA.C14-UNION.i5.39867: model for EOW
[14:36:36]	James Albright entered observer.
[14:36:36]	James Albright exited observer at their location.
[14:36:38]	James Albright entered observer.
[14:36:38]	James Albright exited observer at their location.
[14:36:39]	[OOC] CCA.C14-UNION.i5.39867: the armoured one was used as model for OWC
[14:36:41]	[OOC] CCA.C14-UNION.i5.39867: and normal for OWC
[14:36:43]	[OOC] CCA.C14-UNION.i5.39867: OWS*
[14:36:48]	James Albright entered observer.
[14:36:48]	James Albright exited observer at their location.
[14:36:49]	James Albright entered observer.
[14:36:50]	James Albright exited observer at their location.
[14:36:56]	[OOC] CCA.C14-UNION.i5.39867: they look kinda jank
[14:37:15]	James Albright used command '/DoorSetHidden true'.
[14:37:17]	[OOC] James Albright: i like these
[14:37:20]	[OOC] CCA.C14-UNION.i5.39867: idk i personally dont like them
[14:37:30]	[OOC] CCA.C14-UNION.i5.39867: i hate the hl2 grunt model
[14:37:32]	[OOC] James Albright: this KING colored OWS is fucking ugly
[14:37:35]	James Albright used command '/DoorSetHidden true'.
[14:37:39]	[OOC] James Albright: hl2 grunt model
[14:37:40]	[OOC] James Albright: what do you mean
[14:37:43]	James Albright has spawned 'models/combine_taiga.mdl'.
[14:37:44]	[OOC] CCA.C14-UNION.i5.39867: echo
[14:37:48]	[OOC] CCA.C14-UNION.i5.39867: i hate the mace model too
[14:37:50]	[OOC] James Albright: oh you mea nthe regular one
[14:37:52]	[OOC] CCA.C14-UNION.i5.39867: yea
[14:37:55]	[OOC] James Albright: the mace model is ugli
[14:37:59]	[OOC] CCA.C14-UNION.i5.39867: the shotgunner
[14:38:01]	[OOC] CCA.C14-UNION.i5.39867: sucks dick
[14:38:05]	James Albright entered observer.
[14:38:06]	James Albright exited observer at their location.
[14:38:06]	[OOC] CCA.C14-UNION.i5.39867: so does normal echo
[14:38:06]	James Albright entered observer.
[14:38:07]	James Albright exited observer at their location.
[14:38:09]	[OOC] CCA.C14-UNION.i5.39867: ive always only liked the elites
[14:38:13]	[OOC] CCA.C14-UNION.i5.39867: i really like the half life alyx grunt tho
[14:38:17]	James Albright entered observer.
[14:38:19]	[OOC] CCA.C14-UNION.i5.39867: the white one
[14:38:26]	[OOC] James Albright: what do you mean white grunt
[14:38:26]	James Albright exited observer at their location.
[14:38:30]	[OOC] CCA.C14-UNION.i5.39867: how did i just glitch in here
[14:38:31]	James Albright entered observer.
[14:38:33]	[OOC] James Albright: you didn't
[14:38:34]	[OOC] CCA.C14-UNION.i5.39867: wtd
[14:38:34]	James Albright exited observer at their location.
[14:38:36]	James Albright entered observer.
[14:38:37]	[OOC] CCA.C14-UNION.i5.39867: wtf...
[14:38:39]	James Albright exited observer at their location.
[14:38:44]	James Albright entered observer.
[14:38:49]	James Albright exited observer at their location.
[14:38:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[14:38:51]	James Albright entered observer.
[14:38:53]	James Albright exited observer at their location.
[14:38:57]	[OOC] CCA.C14-UNION.i5.39867: this connects to the nexus?
[14:38:58]	[OOC] James Albright: what do you mena white grunts though
[14:38:58]	James Albright entered observer.
[14:39:01]	[OOC] James Albright: yeah
[14:39:04]	[OOC] CCA.C14-UNION.i5.39867: the normal half life alyx grunts, the white ones
[14:39:08]	[OOC] James Albright: yeah
[14:39:08]	James Albright exited observer at their location.
[14:39:10]	James Albright has spawned 'models/hlvr/characters/combine/grunt/combine_grunt_hlvr_npc.mdl'.
[14:39:16]	[OOC] James Albright: i always thought they were yellow
[14:39:22]	[OOC] James Albright: oh
[14:39:24]	[OOC] James Albright: yeah that's white
[14:39:26]	[OOC] CCA.C14-UNION.i5.39867: idk they look white and red to me
[14:39:26]	[OOC] CCA.C14-UNION.i5.39867: yea
[14:39:30]	[OOC] James Albright: yeah the grunts look sweet
[14:39:37]	James Albright has spawned 'models/hlvr/characters/combine/suppressor/combine_suppressor_hlvr_player.mdl'.
[14:39:45]	[OOC] James Albright: peopole hate it but i love the suppressor mask
[14:39:50]	[OOC] CCA.C14-UNION.i5.39867: supressor looks good
[14:39:59]	[OOC] James Albright: fucking love the suppressor
[14:40:03]	[OOC] CCA.C14-UNION.i5.39867: yeah
[14:40:10]	[OOC] CCA.C14-UNION.i5.39867: is it an ota division on tihs server, it should be lol
[14:40:13]	[OOC] CCA.C14-UNION.i5.39867: would be rlly cool
[14:40:21]	[OOC] James Albright: yes but it's not used much because
[14:40:22]	[OOC] James Albright: yknow
[14:40:23]	[OOC] James Albright: minigun
[14:40:29]	[OOC] James Albright: we call it kilo
[14:41:00]	[LOOC] James Albright: but
[14:41:01]	[LOOC] James Albright: it sohuld be
[14:42:13]	James Albright used command '/ToggleRaise'.
[14:42:19]	[Y] James Albright: MENTION THE NEW STUNSTICKS ONE MORE FUCKING TIME MOTHERFUCKER.
[14:42:19]	James Albright used command '/DoorSetHidden true'.
[14:42:23]	[Y] James Albright: I WILL BLOW YOUR FUCKING HEAD OFF.
[14:42:30]	CCA.C14-UNION.i5.39867 has taken 75 damage from James Albright.
[14:42:32]	James Albright entered observer.
[14:42:33]	James Albright exited observer at their location.
[14:42:35]	[OOC] James Albright: SHIT
[14:42:40]	[OOC] James Albright: accidentally hit you
[14:42:40]	[ME] James Albright: would proceed to tie the individual. Would they resist?
[14:42:46]	[ME] James Albright: would proceed to tie the individual. Would they resist?
[14:42:47]	[ME] James Albright: would take out his combat knife and cut the individual's ties.
[14:42:48]	[ME] James Albright: doesn't resist being tied, searched or anything. They are completely compliant given that the situation does not escalate.
[14:42:49]	[ME] James Albright: doesn't resist being tied, searched or anything. They are completely compliant given that the situation does not escalate.
[14:42:49]	[ME] James Albright: would proceed to tie the individual. Would they resist?
[14:42:50]	[ME] James Albright: doesn't resist being tied, searched or anything. They are completely compliant given that the situation does not escalate.
[14:42:58]	[LOOC] James Albright: i've got binds n shit
[14:42:58]	[ME] James Albright: would proceed to tie the individual. Would they resist?
[14:43:01]	[ME] James Albright: doesn't resist being tied, searched or anything. They are completely compliant given that the situation does not escalate.
[14:43:06]	[OOC] James Albright: brb
[14:43:06]	James Albright entered observer.
[14:43:22]	[OOC] CCA.C14-UNION.i5.39867: me waiting until i get noticed by epu in an event
[14:43:34]	[OOC] CCA.C14-UNION.i5.39867: :moyai:
[14:43:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[14:44:13]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[14:44:56]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[14:45:02]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[14:45:03]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[14:45:11]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[14:45:12]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[14:48:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[14:53:27]	CCA.C14-UNION.i5.39867 used command '/Radio copy'.
[14:53:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[14:56:20]	[OOC] CCA.C14-UNION.i5.39867: whats wrong with those vac servers?
[14:56:34]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[14:56:40]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[14:56:51]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[14:57:26]	[OOC] CCA.C14-UNION.i5.39867: btw that rubble covering the alleyway entrances could have been a good workcycle event :(
[14:58:05]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[14:58:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:01:38]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Broken Bottle' (#22391)
[15:01:38]	CCA.C14-UNION.i5.39867 has gained a 'Broken Bottle' #22391.
[15:01:45]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Broken Bottle' (#22391)
[15:01:45]	CCA.C14-UNION.i5.39867 has lost a 'Broken Bottle' #22391.
[15:01:59]	CCA.C14-UNION.i5.39867 ran 'View' on item 'Paper' (#22382)
[15:02:13]	[OOC] CCA.C14-UNION.i5.39867: q is this paper ic lol
[15:03:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:08:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:11:55]	FB|| light ROOM has connected.
[15:12:27]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[15:12:32]	[OOC] CCA.C14-UNION.EpU.72633: It has been fixed gamers
[15:12:46]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green. Updating 10-20 to outpost storm.'.
[15:12:53]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Allen Wrench' (#25732)
[15:12:53]	CCA.C14-UNION.EpU.72633 has lost a 'Allen Wrench' #25732.
[15:12:56]	CCA.C14-UNION.EpU.72633 destroyed a 'Allen Wrench' #25732.
[15:13:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:15:42]	[OOC] CCA.C14-UNION.i5.39867: ok
[15:17:26]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[15:18:13]	CCA.C14-UNION.i5.39867 used command '/Radio Roger that.'.
[15:18:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:20:08]	[LOOC] CCA.C14-UNION.i5.39867: the recoloured king/sentinel is ugly as FUCK
[15:20:10]	[LOOC] CCA.C14-UNION.i5.39867: the OWS one
[15:20:17]	[LOOC] CCA.C14-UNION.i5.39867: Q was just looking at models
[15:20:29]	[LOOC] CCA.C14-UNION.EpU.72633: I know, but might as well have fun with it.
