[09:35:26]	beelty has connected.
[19:18:18]	[LOOC] CCA.C08-UNION.i1.93347: no worries
[19:18:25]	[LOOC] bonnie: forgot to use this
[19:18:28]	bonnie used command '/CharDesc'.
[19:19:18]	CCA.C08-UNION.i1.93347 used command '/kickdoor'.
[19:19:32]	bonnie used command '/CharDesc 6'2- Blue eyes- Brown hair-'.
[19:19:38]	[LOOC] bonnie: you there?
[19:19:45]	[LOOC] bonnie: i think i have it good enough
[19:20:03]	[Y] CCA.C08-UNION.i1.93347: <:: You there! ::>
[19:20:06]	[Y] CCA.C08-UNION.i1.93347: <:: Over here! ::>
[19:20:09]	Robbert Garth used the 'Resin Terminal' vendor.
[19:20:14]	Robbert Garth opened the '' #1341 container.
[19:20:15]	Robbert Garth closed the '' #1341 container.
[19:20:16]	Robbert Garth opened the '' #1341 container.
[19:20:16]	bonnie ran 'drop' on item 'Relocation Coupon' (#20878)
[19:20:16]	bonnie has lost a 'Relocation Coupon' #20878.
[19:20:18]	Robbert Garth closed the '' #1341 container.
[19:20:21]	CCA.C08-UNION.i1.93347 ran 'take' on item 'Relocation Coupon' (#20878)
[19:20:21]	CCA.C08-UNION.i1.93347 has gained a 'Relocation Coupon' #20878.
[19:20:36]	Robbert Garth opened the '' #1340 container.
[19:20:38]	Robbert Garth closed the '' #1340 container.
[19:20:48]	CCA.C08-UNION.i1.93347 ran 'drop' on item 'Relocation Coupon' (#20912)
[19:20:48]	CCA.C08-UNION.i1.93347 has lost a 'Relocation Coupon' #20912.
[19:20:59]	[LOOC] bonnie: im a bit rusty so im gonna have an whole new ride trying to get good again
[19:21:11]	[Y] CCA.C08-UNION.i1.93347: <:: Here! ::>
[19:21:13]	[Y] CCA.C08-UNION.i1.93347: <:: Take this! ::>
[19:21:16]	bonnie ran 'take' on item 'Citizen ID' (#20917)
[19:21:16]	bonnie has gained a 'Citizen ID' #20917.
[19:21:41]	Robbert Garth opened the '' #1268 container.
[19:21:42]	Robbert Garth closed the '' #1268 container.
[19:21:52]	CCA.C08-UNION.i1.93347 has gained 10 tokens.
[19:21:58]	Robbert Garth opened the '' #1316 container.
[19:22:01]	Robbert Garth closed the '' #1316 container.
[19:22:10]	[LOOC] CCA.C08-UNION.i1.93347: pac
[19:22:27]	[LOOC] Robbert Garth: Yeah i know pac is a thing, i lost all my pac stuff tho
[19:22:44]	bonnie (STEAM_0:1:523156539) has disconnected.
[19:22:47]	[LOOC] Robbert Garth: and if im not my vort, why bother
[19:22:58]	[LOOC] Robbert Garth: HMM?
[19:23:00]	[LOOC] CCA.C08-UNION.i1.93347: I have it
[19:23:07]	[LOOC] CCA.C08-UNION.i1.93347: still
[19:23:07]	[LOOC] Robbert Garth: I can see that
[19:23:11]	[LOOC] Robbert Garth: WAIT
[19:23:14]	[LOOC] CCA.C08-UNION.i1.93347: that pac
[19:23:16]	[LOOC] CCA.C08-UNION.i1.93347: ye
[19:23:19]	[LOOC] Robbert Garth: You have *That* pac?
[19:23:28]	[LOOC] Robbert Garth: Show
[19:23:29]	[LOOC] CCA.C08-UNION.i1.93347: ye
[19:23:31]	[LOOC] Robbert Garth: Now
[19:23:32]	[LOOC] CCA.C08-UNION.i1.93347: uh
[19:23:34]	[LOOC] CCA.C08-UNION.i1.93347: lemme find
[19:23:36]	[LOOC] Robbert Garth: I dont care 
[19:23:46]	[LOOC] Robbert Garth: cant you share it as a link?
[19:23:49]	[LOOC] CCA.C08-UNION.i1.93347: think so
[19:23:58]	[LOOC] CCA.C08-UNION.i1.93347: lemme see if I can find the right one
[19:24:11]	[LOOC] Robbert Garth: I remember edditing it so that mine was better :)
[19:24:51]	[LOOC] Robbert Garth: Did you load it?
[19:25:00]	[LOOC] Robbert Garth: Did u?
[19:25:03]	[LOOC] CCA.C08-UNION.i1.93347: ye
[19:25:08]	[LOOC] Robbert Garth: Flash light?
[19:25:13]	[LOOC] Robbert Garth: uhhh
[19:25:16]	[LOOC] Robbert Garth: There it is
[19:25:40]	[LOOC] Robbert Garth: what key was it?
[19:25:46]	[OOC] Robbert Garth: that i binded it too?
[19:25:51]	[LOOC] CCA.C08-UNION.i1.93347: numpad
[19:25:54]	[LOOC] Robbert Garth: Ahh
[19:25:57]	[LOOC] Robbert Garth: Oh yes
[19:26:04]	[LOOC] Robbert Garth: I made different ones?
[19:26:12]	[LOOC] CCA.C08-UNION.i1.93347: think I tinkered with it
[19:26:20]	[LOOC] Robbert Garth: Ah, I think we all did
[19:26:38]	[LOOC] Robbert Garth: I remember making a MAASIVE one
[19:26:45]	[LOOC] CCA.C08-UNION.i1.93347: this is the og one 
[19:26:51]	[LOOC] Robbert Garth: Yeah
[19:26:52]	CCA.C08-UNION.i1.93347 has gained 10 tokens.
[19:26:59]	[LOOC] Robbert Garth: But i had one with a larger aura
[19:27:07]	[LOOC] CCA.C08-UNION.i1.93347: ye I remember
[19:27:10]	[LOOC] CCA.C08-UNION.i1.93347: with like the void
[19:27:23]	[LOOC] Robbert Garth: Yeah, GMan like aura to some extent
[19:27:39]	[ME] CCA.C08-UNION.i1.93347: kill
[19:27:40]	[LOOC] Robbert Garth: Had different aduio sound
[19:27:42]	[ME] Robbert Garth: Doesnt
[19:27:44]	Robbert Garth has taken 72 damage from CCA.C08-UNION.i1.93347.
[19:27:45]	Robbert Garth rolled 31 out of 100.
[19:27:45]	Robbert Garth used command '/Roll'.
[19:27:50]	Robbert Garth rolled 67 out of 100.
[19:27:50]	Robbert Garth used command '/Roll con'.
[19:27:59]	Robbert Garth has taken 72 damage from CCA.C08-UNION.i1.93347.
[19:27:59]	CCA.C08-UNION.i1.93347 has killed Robbert Garth with weapon_pistol.
[19:28:08]	[OOC] Robbert Garth: Fail rp beat the roll
[19:28:10]	[OOC] CCA.C08-UNION.i1.93347: good sir I must yeet
[19:28:20]	CCA.C08-UNION.i1.93347 ran 'drop' on item 'Crowbar' (#20583)
[19:28:20]	CCA.C08-UNION.i1.93347 has lost a 'Crowbar' #20583.
[19:28:22]	[LOOC] Robbert Garth: Where the vort tho
[19:28:25]	[LOOC] Robbert Garth: Also
[19:28:30]	[LOOC] Robbert Garth: CSS
[19:28:36]	[LOOC] Robbert Garth: Where on workshop?
[19:28:39]	Robbert Garth ran 'take' on item 'Crowbar' (#20583)
[19:28:39]	Robbert Garth has gained a 'Crowbar' #20583.
[19:28:40]	[LOOC] CCA.C08-UNION.i1.93347: dunno
[19:28:42]	[LOOC] Robbert Garth: Uhhhh
[19:28:44]	[LOOC] CCA.C08-UNION.i1.93347: I'll have to do some digging
[19:28:50]	Robbert Garth ran 'Equip' on item 'Crowbar' (#20583)
[19:28:56]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:00]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:00]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:01]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:01]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:01]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:02]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:02]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:03]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:03]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:04]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:04]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:04]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:05]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:07]	[LOOC] Robbert Garth: Wait what
[19:29:12]	[LOOC] Robbert Garth: It dont do alot
[19:29:13]	Robbert Garth has taken 5 damage from CCA.C08-UNION.i1.93347.
[19:29:14]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:14]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:14]	Robbert Garth has taken 5 damage from CCA.C08-UNION.i1.93347.
[19:29:16]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:17]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:18]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:18]	CCA.C08-UNION.i1.93347 has taken 10 damage from Robbert Garth.
[19:29:18]	Robbert Garth has killed CCA.C08-UNION.i1.93347 with weapon_crowbar.
[19:29:29]	[OOC] CCA.C08-UNION.i1.93347: i yeet for now
[19:29:35]	Robbert Garth ran 'EquipUn' on item 'Crowbar' (#20583)
[19:29:38]	[OOC] CCA.C08-UNION.i1.93347: I'll yell at q to get on and give ya the goods
[19:29:44]	CCA.C08-UNION.i1.93347 used command '/CharFallOver 1'.
[19:29:46]	CCA.C08-UNION.i1.93347 has taken 500 damage from prop_dynamic.
[19:29:46]	prop_dynamic has killed CCA.C08-UNION.i1.93347.
[19:29:47]	[OOC] Robbert Garth: The goods eh?
[19:29:52]	[OOC] Robbert Garth: What you mean
[19:29:52]	[OOC] CCA.C08-UNION.i1.93347: ye
[19:29:58]	Robbert Garth has taken 250 damage from trigger_hurt.
[19:29:58]	trigger_hurt has killed Robbert Garth.
[19:30:03]	[OOC] CCA.C08-UNION.i1.93347: u will see
[19:30:04]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[19:34:54]	Global Defence Initiative (STEAM_0:0:49504081) has disconnected.
[20:25:53]	Global Defence Initiative has connected.
[20:26:22]	Global Defence Initiative loaded the character 'Robbert Garth'
[20:30:05]	Robbert Garth opened the '' #1268 container.
[20:30:06]	Robbert Garth closed the '' #1268 container.
[20:30:33]	Robbert Garth ran 'Equip' on item 'Crowbar' (#20583)
[20:30:48]	Robbert Garth used command '/kickdoor'.
[20:31:29]	Robbert Garth ran 'drop' on item 'Suitcase' (#20911)
[20:31:29]	Robbert Garth has lost a 'Suitcase' #20911.
[20:31:56]	Robbert Garth ran 'take' on item 'Suitcase' (#20911)
[20:31:56]	Robbert Garth has gained a 'Suitcase' #20911.
[20:32:55]	Global Defence Initiative (STEAM_0:0:49504081) has disconnected.
