[06:20:26]	✙HealthAngel✙ has connected.
[20:43:30]	Christopher Landry ran 'take' on item 'Citizen ID' (#29768)
[20:43:30]	Christopher Landry has gained a 'Citizen ID' #29768.
[20:44:40]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[20:44:54]	CCA.C14-GRID.i2.36307 used command '/Apply'.
[20:44:59]	Christopher Landry used command '/Apply'.
[20:45:05]	CCA.C14-GRID.i2.36307 used command '/OldViewData chris'.
[20:46:16]	CCA.C14-GRID.i2.36307 opened the '' #2269 container.
[20:46:20]	CCA.C14-GRID.i2.36307 closed the '' #2269 container.
[20:47:02]	Christopher Landry has taken 5 damage from Christopher Landry.
[20:47:02]	Christopher Landry has gained 10 tokens.
[20:47:52]	CCA.C14-GRID.i2.36307 used command '/kickdoor'.
[20:47:56]	CCA.C14-GRID.i2.36307 used command '/ToggleRaise'.
[20:48:35]	CCA.C14-GRID.i2.36307 used command '/OldViewData chris'.
[20:49:08]	Christopher Landry used command '/Radio [Allies] SW-356 Dropping.'.
[20:49:10]	[OOC] CCA.C14-GRID.i2.36307: /toggleraise
[20:49:21]	CCA.C14-GRID.i2.36307 ran 'Equip' on item 'MP7U' (#28398)
[20:49:24]	Christopher Landry used command '/ToggleRaise'.
[20:49:29]	CCA.C14-GRID.i2.36307 used command '/ToggleRaise'.
[20:49:31]	Christopher Landry used command '/ToggleRaise'.
[20:49:34]	CCA.C14-GRID.i2.36307 used command '/ToggleRaise'.
[20:49:40]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[20:50:35]	CCA.C14-GRID.i2.36307 ran 'drop' on item 'Wrench' (#28402)
[20:50:35]	CCA.C14-GRID.i2.36307 has lost a 'Wrench' #28402.
[20:50:54]	Christopher Landry ran 'take' on item 'Wrench' (#28402)
[20:50:54]	Christopher Landry has gained a 'Wrench' #28402.
[20:50:58]	Christopher Landry ran 'Equip' on item 'Wrench' (#28402)
[20:51:02]	Christopher Landry used command '/ToggleRaise'.
[20:51:10]	CCA.C14-GRID.i2.36307 used command '/ToggleRaise'.
[20:51:13]	Christopher Landry used command '/ToggleRaise'.
[20:51:32]	Christopher Landry opened the 'Evidence Cabinet' #2266 container.
[20:51:36]	Christopher Landry closed the 'Evidence Cabinet' #2266 container.
[20:51:40]	Christopher Landry opened the 'Evidence Cabinet' #2267 container.
[20:51:52]	Christopher Landry closed the 'Evidence Cabinet' #2267 container.
[20:51:53]	Christopher Landry opened the 'Evidence Cabinet' #2266 container.
[20:52:01]	Christopher Landry closed the 'Evidence Cabinet' #2266 container.
[20:53:38]	Christopher Landry used command '/ToggleRaise'.
[20:54:18]	CCA.C14-GRID.i2.36307 used command '/ToggleRaise'.
[20:54:40]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[20:56:17]	CCA.C14-GRID.i2.36307 has spawned 'models/props_borealis/bluebarrel001.mdl'.
[20:56:42]	CCA.C14-GRID.i2.36307 has spawned 'models/props_c17/FurnitureDresser001a.mdl'.
[20:56:50]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:50]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:51]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:51]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:52]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:52]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:53]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:53]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:54]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:54]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:55]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:55]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:56]	Christopher Landry has taken 8 damage from trigger_hurt.
[20:56:56]	trigger_hurt has killed Christopher Landry.
[20:59:00]	Christopher Landry ran 'Equip' on item 'Wrench' (#28402)
[20:59:04]	Christopher Landry used command '/ToggleRaise'.
[20:59:19]	Christopher Landry used command '/ToggleRaise'.
[20:59:20]	Christopher Landry used command '/ToggleRaise'.
[20:59:21]	Christopher Landry used command '/ToggleRaise'.
[20:59:30]	Christopher Landry used command '/ToggleRaise'.
[20:59:40]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[20:59:45]	Christopher Landry used command '/ToggleRaise'.
[20:59:55]	CCA.C14-GRID.i2.36307 used command '/ToggleRaise'.
[21:00:08]	Christopher Landry used command '/ToggleRaise'.
[21:00:17]	CCA.C14-GRID.i2.36307 used command '/ToggleRaise'.
[21:00:32]	CCA.C14-GRID.i2.36307 has taken 32 damage from Christopher Landry.
[21:00:46]	CCA.C14-GRID.i2.36307 has taken 32 damage from Christopher Landry.
[21:01:00]	Christopher Landry ran 'drop' on item 'Wrench' (#28402)
[21:01:00]	Christopher Landry has lost a 'Wrench' #28402.
[21:01:01]	[RS] Cayde-7 (STEAM_0:1:51616733) has disconnected.
[21:01:06]	CCA.C14-GRID.i2.36307 ran 'take' on item 'Wrench' (#28402)
[21:01:06]	CCA.C14-GRID.i2.36307 has gained a 'Wrench' #28402.
[21:01:11]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected.
