[00:13:47]	beansman67 has connected.
[10:45:20]	CCA.C08-GRID.i3.08313 used command '/Radio Come to the nexus, I've got something you'll like.'.
[10:45:24]	CCA.C08-GRID.i3.08313 used command '/Radio Come to the armory, actually.'.
[10:45:36]	CCA.C08-UNION.i5.99915 used command '/Radio 10-4, Inbound from CWU HQ'.
[10:45:49]	CCA.C08-GRID.i3.08313 exited observer at their location.
[10:45:52]	CCA.C08-GRID.i3.08313 used command '/adminspawnmenu'.
[10:45:58]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'KIBA Arms Ammocase' (#13851)
[10:45:58]	CCA.C08-GRID.i3.08313 has lost a 'KIBA Arms Ammocase' #13851.
[10:45:58]	CCA.C08-GRID.i3.08313 has lost a 'Blood Collecting Syringe' #13867.
[10:45:58]	CCA.C08-GRID.i3.08313 has lost a 'Blood Collecting Syringe' #13872.
[10:45:58]	CCA.C08-GRID.i3.08313 has lost a 'Blood Collecting Syringe' #13865.
[10:45:58]	CCA.C08-GRID.i3.08313 has lost a 'Blood Collecting Syringe' #13868.
[10:45:58]	CCA.C08-GRID.i3.08313 has lost a 'Blood Collecting Syringe' #13866.
[10:45:58]	CCA.C08-GRID.i3.08313 has lost a 'Blood Collecting Syringe' #13870.
[10:45:58]	CCA.C08-GRID.i3.08313 has lost a 'Blood Collecting Syringe' #13871.
[10:45:58]	CCA.C08-GRID.i3.08313 has lost a 'Blood Collecting Syringe' #13864.
[10:45:58]	CCA.C08-GRID.i3.08313 has lost a 'Blood Collecting Syringe' #13869.
[10:46:05]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[10:46:09]	[OOC] CCA.C08-GRID.i3.08313: btw if your gun causes errors just drop it and pick it back up
[10:46:10]	CCA.C08-GRID.i3.08313 entered observer.
[10:46:11]	CCA.C08-GRID.i3.08313 exited observer at their location.
[10:46:20]	[OOC] CCA.C08-GRID.i3.08313: it has to do with the serial numbers i added
[10:46:23]	CCA.C08-GRID.i3.08313 ran 'Equip' on item 'MP7' (#10131)
[10:46:23]	CCA.C08-UNION.i5.99915 ran 'Drink' on item 'UU Gin' (#12124)
[10:46:26]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'LA71 (Pulse SMG)' (#13863)
[10:46:26]	CCA.C08-GRID.i3.08313 has lost a 'LA71 (Pulse SMG)' #13863.
[10:46:33]	CCA.C08-GRID.i3.08313 entered observer.
[10:46:34]	CCA.C08-GRID.i3.08313 exited observer at their location.
[10:46:34]	CCA.C08-GRID.i3.08313 entered observer.
[10:46:35]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'USP Match' (#11526)
[10:46:35]	CCA.C08-UNION.i5.99915 has lost a 'USP Match' #11526.
[10:46:37]	CCA.C08-UNION.i5.99915 ran 'take' on item 'USP Match' (#11526)
[10:46:37]	CCA.C08-UNION.i5.99915 has gained a 'USP Match' #11526.
[10:46:40]	CCA.C08-GRID.i3.08313 exited observer at their location.
[10:46:40]	CCA.C08-UNION.i5.99915 ran 'Equip' on item 'USP Match' (#11526)
[10:46:43]	CCA.C08-GRID.i3.08313 has gained a 'KIBA Arms Ammocase' #13891.
[10:46:43]	CCA.C08-GRID.i3.08313 used command '/CharGiveItem grid case'.
[10:47:01]	[OOC] CCA.C08-UNION.i5.99915: W [ERROR] gamemodes/helix/gamemode/core/meta/sh_item.lua:158: attempt to index a nil value  1. GetOwner - gamemodes/helix/gamemode/core/meta/sh_item.lua:158   2. SetData - gamemodes/helix/gamemode/core/meta/sh_item.lua:188    3. PopulateTooltip - gamemod
[10:47:14]	[OOC] CCA.C08-GRID.i3.08313: yeah, just drop the weapon and pick it back up
[10:47:16]	[OOC] CCA.C08-GRID.i3.08313: it'llfix it
[10:47:18]	CCA.C08-UNION.i5.99915 ran 'EquipUn' on item 'USP Match' (#11526)
[10:47:19]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'USP Match' (#11526)
[10:47:19]	CCA.C08-UNION.i5.99915 has lost a 'USP Match' #11526.
[10:47:22]	CCA.C08-UNION.i5.99915 ran 'take' on item 'USP Match' (#11526)
[10:47:22]	CCA.C08-UNION.i5.99915 has gained a 'USP Match' #11526.
[10:47:32]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13892.
[10:47:32]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13893.
[10:47:32]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13894.
[10:47:32]	CCA.C08-GRID.i3.08313 used command '/CharGiveItem grid flashbang 3'.
[10:47:53]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13895.
[10:47:53]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13896.
[10:47:53]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13897.
[10:47:53]	CCA.C08-GRID.i3.08313 used command '/CharGiveItem grid smoke 3'.
[10:47:59]	[LOOC] CCA.C08-UNION.i5.99915: i forget 999 isnt robo cop and is a literal former cartel member
[10:48:06]	CCA.C08-UNION.i5.99915 used command '/Radio 999, 10-7'.
[10:48:35]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[10:49:22]	[LOOC] CCA.C08-UNION.i5.99915: error in the corner
[10:49:24]	CCA.C08-GRID.i3.08313 ran 'Equip' on item 'Smoke Grenade' (#13897)
[10:49:34]	[LOOC] CCA.C08-GRID.i3.08313: fug, it's not in the fastdl
[10:49:42]	[LOOC] CCA.C08-GRID.i3.08313: you'll need to download one more addon from thec ontent
[10:49:49]	CCA.C08-UNION.i5.99915 used command '/Content'.
[10:49:50]	CCA.C08-GRID.i3.08313 entered observer.
[10:49:53]	CCA.C08-GRID.i3.08313 used command '/ToggleRaise'.
[10:50:00]	CCA.C08-GRID.i3.08313 exited observer at their location.
[10:50:04]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'KIBA Arms Ammocase' (#13891)
[10:50:04]	CCA.C08-GRID.i3.08313 has lost a 'KIBA Arms Ammocase' #13891.
[10:50:04]	CCA.C08-GRID.i3.08313 has lost a 'Armor Full Repair Kit' #13857.
[10:50:04]	CCA.C08-GRID.i3.08313 has lost a 'Smoke Grenade' #13895.
[10:50:04]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13892.
[10:50:04]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13893.
[10:50:04]	CCA.C08-GRID.i3.08313 has lost a 'Smoke Grenade' #13896.
[10:50:04]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13894.
[10:50:18]	CCA.C08-GRID.i3.08313 used command '/CharSetClass i5 ground unit'.
[10:50:23]	[ME] CCA.C08-UNION.i5.99915: Takes the case, He opens it up
[10:50:24]	CCA.C08-UNION.i5.99915 ran 'take' on item 'KIBA Arms Ammocase' (#13891)
[10:50:27]	CCA.C08-UNION.i5.99915 ran 'take' on item 'KIBA Arms Ammocase' (#13891)
[10:50:35]	[LOOC] CCA.C08-UNION.i5.99915: "you are not allowed to do this"
[10:50:36]	CCA.C08-UNION.i5.99915 ran 'take' on item 'KIBA Arms Ammocase' (#13891)
[10:50:40]	[LOOC] CCA.C08-GRID.i3.08313: *fuck?***
[10:50:41]	CCA.C08-GRID.i3.08313 ran 'take' on item 'KIBA Arms Ammocase' (#13891)
[10:50:41]	CCA.C08-GRID.i3.08313 has gained a 'KIBA Arms Ammocase' #13891.
[10:50:41]	CCA.C08-GRID.i3.08313 has gained a 'Armor Full Repair Kit' #13857.
[10:50:41]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13895.
[10:50:41]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13892.
[10:50:41]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13893.
[10:50:41]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13896.
[10:50:41]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13894.
[10:50:45]	CCA.C08-GRID.i3.08313 ran 'EquipUn' on item 'Smoke Grenade' (#13897)
[10:50:46]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'KIBA Arms Ammocase' (#13891)
[10:50:46]	CCA.C08-GRID.i3.08313 has lost a 'KIBA Arms Ammocase' #13891.
[10:50:46]	CCA.C08-GRID.i3.08313 has lost a 'Armor Full Repair Kit' #13857.
[10:50:46]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13893.
[10:50:46]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13892.
[10:50:46]	CCA.C08-GRID.i3.08313 has lost a 'Smoke Grenade' #13896.
[10:50:46]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13894.
[10:50:46]	CCA.C08-GRID.i3.08313 has lost a 'Smoke Grenade' #13895.
[10:50:48]	CCA.C08-UNION.i5.99915 ran 'take' on item 'KIBA Arms Ammocase' (#13891)
[10:50:49]	[LOOC] CCA.C08-GRID.i3.08313: now?
[10:50:51]	[LOOC] CCA.C08-UNION.i5.99915: same thing
[10:50:57]	[LOOC] CCA.C08-GRID.i3.08313: that's new
[10:51:05]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[10:51:12]	CCA.C08-GRID.i3.08313 has gained a 'KIBA Arms Ammocase' #13898.
[10:51:12]	CCA.C08-GRID.i3.08313 used command '/CharGiveItem grid case'.
[10:51:13]	[LOOC] CCA.C08-UNION.i5.99915: i think its cause im a real old cp
[10:51:21]	[OOC] CCA.C08-GRID.i3.08313: i don't think that'd do it
[10:51:25]	[OOC] CCA.C08-GRID.i3.08313: wait wrong chat
[10:51:29]	[LOOC] CCA.C08-GRID.i3.08313: i'm way older of a unit than you
[10:51:43]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13899.
[10:51:43]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13900.
[10:51:43]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13901.
[10:51:43]	CCA.C08-GRID.i3.08313 used command '/CharGiveItem i3 flashbang 3'.
[10:51:46]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13902.
[10:51:46]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13903.
[10:51:46]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13904.
[10:51:46]	CCA.C08-GRID.i3.08313 used command '/CharGiveItem i3 smoke 3'.
[10:51:55]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'KIBA Arms Ammocase' (#13898)
[10:51:55]	CCA.C08-GRID.i3.08313 has lost a 'KIBA Arms Ammocase' #13898.
[10:51:55]	CCA.C08-GRID.i3.08313 has lost a 'Smoke Grenade' #13902.
[10:51:55]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13900.
[10:51:55]	CCA.C08-GRID.i3.08313 has lost a 'Smoke Grenade' #13897.
[10:51:55]	CCA.C08-GRID.i3.08313 has lost a 'Smoke Grenade' #13903.
[10:51:55]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13901.
[10:51:55]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13899.
[10:51:59]	CCA.C08-UNION.i5.99915 ran 'take' on item 'KIBA Arms Ammocase' (#13898)
[10:52:02]	[LOOC] CCA.C08-UNION.i5.99915: still
[10:52:04]	CCA.C08-UNION.i5.99915 ran 'take' on item 'KIBA Arms Ammocase' (#13898)
[10:52:30]	[LOOC] CCA.C08-GRID.i3.08313: wtf
[10:52:32]	CCA.C08-GRID.i3.08313 ran 'take' on item 'KIBA Arms Ammocase' (#13898)
[10:52:32]	CCA.C08-GRID.i3.08313 has gained a 'KIBA Arms Ammocase' #13898.
[10:52:32]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13902.
[10:52:32]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13900.
[10:52:32]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13897.
[10:52:32]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13903.
[10:52:32]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13901.
[10:52:32]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13899.
[10:52:33]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Flashbang' (#13899)
[10:52:33]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13899.
[10:52:33]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Flashbang' (#13901)
[10:52:33]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13901.
[10:52:34]	[LOOC] CCA.C08-UNION.i5.99915: "You are not allowed to do this!" is exactly what it says
[10:52:34]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Flashbang' (#13900)
[10:52:34]	CCA.C08-GRID.i3.08313 has lost a 'Flashbang' #13900.
[10:52:35]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Smoke Grenade' (#13897)
[10:52:35]	CCA.C08-GRID.i3.08313 has lost a 'Smoke Grenade' #13897.
[10:52:36]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Smoke Grenade' (#13903)
[10:52:36]	CCA.C08-GRID.i3.08313 has lost a 'Smoke Grenade' #13903.
[10:52:36]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Smoke Grenade' (#13902)
[10:52:36]	CCA.C08-GRID.i3.08313 has lost a 'Smoke Grenade' #13902.
[10:53:33]	CCA.C08-UNION.i5.99915 ran 'take' on item 'Smoke Grenade' (#13902)
[10:53:33]	CCA.C08-UNION.i5.99915 has gained a 'Smoke Grenade' #13902.
[10:53:35]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[10:53:46]	[ME] CCA.C08-UNION.i5.99915: Takes one of the smokes, He chuckles lightly
[10:54:10]	[ME] CCA.C08-UNION.i5.99915: Tips the saftey lever to the side. He rips out the pin and tosses it into the corner of the room\
[10:54:19]	CCA.C08-GRID.i3.08313 used command '/PlySearch'.
[10:54:21]	CCA.C08-UNION.i5.99915 ran 'Equip' on item 'Smoke Grenade' (#13902)
[10:54:38]	[ME] CCA.C08-UNION.i5.99915: Chuckles a bit more
[10:54:39]	CCA.C08-GRID.i3.08313 ran 'Equip' on item 'Smoke Grenade' (#13904)
[10:54:41]	CCA.C08-GRID.i3.08313 used command '/ToggleRaise'.
[10:54:49]	CCA.C08-GRID.i3.08313 ran 'EquipUn' on item 'Smoke Grenade' (#13904)
[10:55:57]	CCA.C08-UNION.i5.99915 ran 'take' on item 'Flashbang' (#13901)
[10:55:57]	CCA.C08-UNION.i5.99915 has gained a 'Flashbang' #13901.
[10:56:05]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[10:56:36]	[ME] CCA.C08-UNION.i5.99915: Takes the flashbang, He flips the saftey lever to the side once more. He pulls the pin and tosses it, He immediantly turns his back plates towards the blast and puts his head down
[10:56:40]	CCA.C08-UNION.i5.99915 ran 'EquipUn' on item 'Smoke Grenade' (#13902)
[10:56:44]	CCA.C08-UNION.i5.99915 ran 'Equip' on item 'Flashbang' (#13901)
[10:57:57]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Flashbang' (#13899)
[10:57:57]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13899.
[10:57:58]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Smoke Grenade' (#13903)
[10:57:58]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13903.
[10:57:59]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Smoke Grenade' (#13897)
[10:57:59]	CCA.C08-GRID.i3.08313 has gained a 'Smoke Grenade' #13897.
[10:58:01]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Flashbang' (#13900)
[10:58:01]	CCA.C08-GRID.i3.08313 has gained a 'Flashbang' #13900.
[10:58:08]	CCA.C08-UNION.i5.99915 ran 'Equip' on item 'Smoke Grenade' (#13902)
[10:58:13]	CCA.C08-GRID.i3.08313 has gained a 'Blood Collecting Syringe' #13905.
[10:58:13]	CCA.C08-GRID.i3.08313 used command '/CharGiveItem grid syringe'.
[10:58:16]	[LOOC] CCA.C08-UNION.i5.99915: these are two use
[10:58:18]	CCA.C08-GRID.i3.08313 used command '/PlySearch'.
[10:58:20]	CCA.C08-UNION.i5.99915 ran 'EquipUn' on item 'Smoke Grenade' (#13902)
[10:58:20]	CCA.C08-UNION.i5.99915 ran 'Equip' on item 'Smoke Grenade' (#13902)
[10:58:24]	[LOOC] CCA.C08-GRID.i3.08313: fuck
[10:58:26]	[LOOC] CCA.C08-UNION.i5.99915: ah okay
[10:58:29]	CCA.C08-GRID.i3.08313 used command '/PlySearch'.
[10:58:35]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[10:58:38]	[LOOC] CCA.C08-UNION.i5.99915: when you eqiup and un equip it gives you another smoke
[10:58:43]	[LOOC] CCA.C08-GRID.i3.08313: i will fix that
[10:58:46]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Blood Collecting Syringe' (#13905)
[10:58:46]	CCA.C08-GRID.i3.08313 has lost a 'Blood Collecting Syringe' #13905.
[10:58:49]	[LOOC] CCA.C08-UNION.i5.99915: didnt do it with the flashbang howeverf
[10:58:54]	CCA.C08-UNION.i5.99915 ran 'EquipUn' on item 'Smoke Grenade' (#13902)
[10:58:57]	CCA.C08-UNION.i5.99915 ran 'take' on item 'Blood Collecting Syringe' (#13905)
[10:58:57]	CCA.C08-UNION.i5.99915 has gained a 'Blood Collecting Syringe' #13905.
[10:59:46]	[ME] CCA.C08-UNION.i5.99915: Unwraps the package, He inserts the needle into the syringe, Attaching the blood bag to the top of the syringe
[11:00:22]	[ME] CCA.C08-UNION.i5.99915: Bends down to pick up the small pad, He opens it up
[11:00:40]	[ME] CCA.C08-GRID.i3.08313: rolls up his sleeve closest to the unit, his left sleeve.
[11:00:49]	[ME] CCA.C08-UNION.i5.99915: Taps the mans main vein on his left arm, He beats it pretty hard before applying the alchohol wipe
[11:01:05]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[11:01:11]	[ME] CCA.C08-UNION.i5.99915: Takes the needle, He inserts it into the mans main vein, drawing some blood
[11:01:14]	CCA.C08-UNION.i5.99915 ran 'DrawBlood' on item 'Blood Collecting Syringe' (#13905)
[11:01:17]	CCA.C08-UNION.i5.99915 has gained a 'Blood Sample' #13906.
[11:01:19]	CCA.C08-GRID.i3.08313 used command '/PlySearch'.
[11:01:50]	[ME] CCA.C08-UNION.i5.99915: Removes the needle, He takes a bandaid from his junkpouch and puts it on the mans "wound"
[11:01:59]	[ME] CCA.C08-GRID.i3.08313: takes out a packaged piece of gauze and holds it to his "wound", applying pressure. He rolls his sleeve up over it, hoping his sleeve would keep the gauze in place.
[11:02:03]	CCA.C08-UNION.i5.99915 ran 'ApplyOther' on item 'Bandage' (#11954)
[11:02:03]	[LOOC] CCA.C08-GRID.i3.08313: look in your inv
[11:02:07]	[LOOC] CCA.C08-UNION.i5.99915: YE
[11:02:22]	[ME] CCA.C08-UNION.i5.99915: Hands the man the blood sample
[11:02:25]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Blood Sample' (#13906)
[11:02:25]	CCA.C08-UNION.i5.99915 has lost a 'Blood Sample' #13906.
[11:02:27]	CCA.C08-GRID.i3.08313 has gained a 'LA71 (Pulse SMG)' #13907.
[11:02:27]	CCA.C08-GRID.i3.08313 used command '/CharGiveItem grid pulse smg'.
[11:02:36]	CCA.C08-UNION.i5.99915 ran 'take' on item 'Blood Sample' (#13906)
[11:02:36]	CCA.C08-UNION.i5.99915 has gained a 'Blood Sample' #13906.
[11:02:43]	[ME] CCA.C08-UNION.i5.99915: Lowers his hand down
[11:02:57]	[ME] CCA.C08-GRID.i3.08313: removes a Pulse SMG from a satchel on his back and points it down as he holds it out to the UNION.
[11:03:34]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'LA71 (Pulse SMG)' (#13907)
[11:03:34]	CCA.C08-GRID.i3.08313 has lost a 'LA71 (Pulse SMG)' #13907.
[11:03:35]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[11:03:36]	[ME] CCA.C08-UNION.i5.99915: Takes the SMG, He checks it out for any distinguishing Logos/Marks
[11:03:50]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Suitcase' (#10985)
[11:03:50]	CCA.C08-UNION.i5.99915 has lost a 'Suitcase' #10985.
[11:03:50]	CCA.C08-UNION.i5.99915 has lost a 'Combat Knife' #11653.
[11:03:50]	CCA.C08-UNION.i5.99915 has lost a 'Blood Sample' #13906.
[11:03:50]	CCA.C08-UNION.i5.99915 has lost a 'Smoke Grenade' #13902.
[11:03:51]	CCA.C08-UNION.i5.99915 ran 'take' on item 'Suitcase' (#10985)
[11:03:51]	CCA.C08-UNION.i5.99915 has gained a 'Suitcase' #10985.
[11:03:51]	CCA.C08-UNION.i5.99915 has gained a 'Combat Knife' #11653.
[11:03:51]	CCA.C08-UNION.i5.99915 has gained a 'Blood Sample' #13906.
[11:03:51]	CCA.C08-UNION.i5.99915 has gained a 'Smoke Grenade' #13902.
[11:03:53]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Suitcase' (#12079)
[11:03:53]	CCA.C08-UNION.i5.99915 has lost a 'Suitcase' #12079.
[11:03:59]	CCA.C08-UNION.i5.99915 ran 'take' on item 'LA71 (Pulse SMG)' (#13907)
[11:04:06]	CCA.C08-UNION.i5.99915 ran 'take' on item 'LA71 (Pulse SMG)' (#13907)
[11:04:12]	CCA.C08-UNION.i5.99915 ran 'take' on item 'LA71 (Pulse SMG)' (#13907)
[11:04:15]	CCA.C08-UNION.i5.99915 ran 'take' on item 'LA71 (Pulse SMG)' (#13907)
[11:04:15]	CCA.C08-UNION.i5.99915 has gained a 'LA71 (Pulse SMG)' #13907.
[11:04:24]	CCA.C08-UNION.i5.99915 ran 'Equip' on item 'LA71 (Pulse SMG)' (#13907)
[11:04:55]	[ME] CCA.C08-UNION.i5.99915: Attempts to use it, He seems very confused
[11:05:14]	[LOOC] CCA.C08-UNION.i5.99915: aka "You do not know how to do this!"
[11:05:17]	[LOOC] CCA.C08-GRID.i3.08313: yeye
[11:05:34]	[ME] CCA.C08-UNION.i5.99915: Hands the gun to the man
[11:05:36]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'LA71 (Pulse SMG)' (#13907)
[11:05:36]	CCA.C08-UNION.i5.99915 has lost a 'LA71 (Pulse SMG)' #13907.
[11:05:48]	[ME] CCA.C08-GRID.i3.08313: takes the gun, making sure the barrel doesn't point to anyone.
