[04:54:45]	Dakoda has connected.
[08:30:20]	Alfred Langenberg ran 'ApplySelf' on item 'Bandage' (#37634)
[08:30:24]	Alfred Langenberg ran 'ApplySelf' on item 'Bandage' (#37634)
[08:35:09]	Methfred (STEAM_0:1:48276840) has disconnected.
[10:53:26]	Methfred has connected.
[10:56:08]	Methfred (STEAM_0:1:48276840) has disconnected (timed out).
[10:57:19]	matt saton has connected.
[10:59:57]	matt saton loaded the character 'Ryan Marnett'
[11:00:00]	Ryan Marnett ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#36920)
[11:00:02]	Ryan Marnett entered observer.
[11:00:52]	Ryan Marnett exited observer at their location.
[11:00:53]	Ryan Marnett entered observer.
[11:00:53]	Ryan Marnett exited observer at their location.
[11:01:12]	Ryan Marnett has enabled persistence for 'NPC [2976][animprop_generic]'.
[11:01:13]	Ryan Marnett entered observer.
[11:01:14]	Ryan Marnett exited observer at their location.
[11:01:17]	Ryan Marnett has disabled persistence for 'NPC [2976][animprop_generic]'.
[11:01:56]	Ryan Marnett has spawned 'models/props_c17/shelfunit01a.mdl'.
[11:02:08]	Ryan Marnett has spawned 'models/props_c17/shelfunit01a.mdl'.
[11:02:11]	Ryan Marnett has spawned 'models/props_c17/shelfunit01a.mdl'.
[11:02:19]	Ryan Marnett has enabled persistence for 'NPC [2976][animprop_generic]'.
[11:02:20]	Ryan Marnett has spawned 'models/props_c17/shelfunit01a.mdl'.
[11:02:42]	Ryan Marnett has spawned 'models/props_lab/corkboard002.mdl'.
[11:03:10]	Methfred has connected.
[11:03:12]	Ryan Marnett has enabled persistence for 'Entity [2979][prop_effect]'.
[11:03:14]	Ryan Marnett has enabled persistence for 'models/props_c17/shelfunit01a.mdl'.
[11:10:15]	matt saton has connected.
[11:10:20]	Methfred has connected.
[11:13:18]	matt saton loaded the character 'Ryan Marnett'
[11:13:20]	Ryan Marnett entered observer.
[11:13:39]	Ryan Marnett ran 'Equip' on item 'Combine Hazmat Worker Suit' (#36920)
[11:13:40]	Ryan Marnett ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#36920)
[11:16:00]	Ryan Marnett exited observer at their location.
[11:16:00]	Ryan Marnett entered observer.
[11:17:27]	Methfred loaded the character 'Alfred Langenberg'
[11:17:32]	[OOC] Ryan Marnett: howdy
[11:17:38]	Ryan Marnett exited observer at their location.
[11:17:38]	Ryan Marnett entered observer.
[11:18:01]	Ryan Marnett exited observer at their location.
[11:18:02]	Ryan Marnett entered observer.
[11:18:04]	Ryan Marnett exited observer at their location.
[11:18:04]	Ryan Marnett entered observer.
[11:18:21]	[OOC] Alfred Langenberg: heeey I made it in this time
[11:18:28]	[OOC] Ryan Marnett: what's good
[11:18:36]	[OOC] Alfred Langenberg: Life, dude.
[11:18:40]	[OOC] Ryan Marnett: nice
[11:18:40]	Alfred Langenberg used the 'General Store Vendor' vendor.
[11:18:50]	[OOC] Alfred Langenberg: I gotta tell you not bein dead is pretty terrific
[11:18:50]	Alfred Langenberg used the 'General Store Vendor' vendor.
[11:18:59]	[OOC] Ryan Marnett: true, shit is class
[11:19:21]	Ryan Marnett has spawned a 'NPC [30][npc_headcrab]'.
[11:19:22]	Ryan Marnett has spawned a 'NPC [142][npc_headcrab]'.
[11:19:25]	Ryan Marnett has spawned a 'NPC [30][npc_headcrab]'.
[11:19:40]	[OOC] Alfred Langenberg: sorry to miss out on yesterday's event right as it fucking started. life has a way of using poor timing.
[11:19:55]	[OOC] Ryan Marnett: you're all good
[11:19:57]	Ryan Marnett exited observer at their location.
[11:20:03]	[OOC] Alfred Langenberg: was it fun at least?
[11:20:04]	[OOC] Ryan Marnett: you didn't miss much, my events lately have been kinda eh
[11:20:04]	Ryan Marnett entered observer.
[11:20:05]	Ryan Marnett exited observer at their location.
[11:20:06]	Ryan Marnett entered observer.
[11:20:07]	Ryan Marnett exited observer at their location.
[11:20:10]	[OOC] Ryan Marnett: it wasn't terrible
[11:20:10]	Ryan Marnett entered observer.
[11:20:19]	Ryan Marnett exited observer at their location.
[11:20:19]	Ryan Marnett has spawned a 'NPC [30][npc_zombie_torso]'.
[11:20:20]	[OOC] Alfred Langenberg: maybe you should consider recruiting a GM team
[11:20:21]	Ryan Marnett has taken 10 damage from npc_zombie_torso.
[11:20:23]	Ryan Marnett entered observer.
[11:20:26]	[OOC] Ryan Marnett: yeah
[11:20:34]	[OOC] Ryan Marnett: our staff double as GMs but a dedicated bit wouldn't hurt
[11:20:38]	[OOC] Ryan Marnett: or just plan events more ahead of time
[11:20:45]	[OOC] Ryan Marnett: it's weird though, people used to love thme
[11:20:47]	Ryan Marnett has spawned a 'NPC [30][npc_zombie]'.
[11:21:01]	[OOC] Alfred Langenberg: have you been doing events with similar themes?
[11:21:06]	Ryan Marnett exited observer at their location.
[11:21:06]	Ryan Marnett entered observer.
[11:21:08]	Ryan Marnett exited observer at their location.
[11:21:08]	Ryan Marnett entered observer.
[11:21:09]	Ryan Marnett exited observer at their location.
[11:21:11]	[OOC] Ryan Marnett: not particularly
[11:21:20]	[OOC] Ryan Marnett: it's relaly just anything i feel like would make a decent event
[11:21:24]	Ryan Marnett entered observer.
[11:21:40]	Ryan Marnett has spawned a 'NPC [30][monster_bullsquid]'.
[11:21:44]	Ryan Marnett exited observer at their location.
[11:21:47]	[OOC] Alfred Langenberg: you been organizing them on your own or did you have other staff help you by acting as event chars and such?
[11:21:49]	Ryan Marnett entered observer.
[11:21:49]	Ryan Marnett exited observer at their location.
[11:21:50]	Ryan Marnett entered observer.
[11:22:24]	[OOC] Ryan Marnett: last night I had a staff member helpnig out, mainly helping add in infection props, he served as an event character at one point
[11:22:49]	Ryan Marnett has spawned a 'NPC [30][npc_zombie]'.
[11:22:51]	Ryan Marnett has spawned a 'NPC [30][npc_zombie]'.
[11:22:56]	Ryan Marnett has spawned a 'NPC [30][npc_fastzombie]'.
[11:22:58]	Ryan Marnett has spawned a 'NPC [30][npc_fastzombie]'.
[11:23:01]	[OOC] Alfred Langenberg: when you're dealing with xen you gotta have 2+ people helping out at all times, it's a hive and it's gotta have the chaos of one
[11:23:05]	[OOC] Ryan Marnett: yeah
[11:23:09]	[OOC] Alfred Langenberg: hard to replicate them when you can only do one thing at a time, you know?
[11:23:20]	Ryan Marnett has spawned a 'NPC [30][npc_barnacle]'.
[11:23:22]	[OOC] Ryan Marnett: yeah, i feel you
[11:23:26]	[OOC] Alfred Langenberg: no offense
[11:23:30]	[OOC] Ryan Marnett: nah none tkaen
[11:23:39]	Ryan Marnett exited observer at their location.
[11:23:39]	Ryan Marnett entered observer.
[11:23:40]	Ryan Marnett has spawned a 'NPC [30][npc_barnacle]'.
[11:23:43]	Ryan Marnett exited observer at their location.
[11:23:46]	Ryan Marnett has taken 3 damage from npc_fastzombie.
[11:23:46]	Ryan Marnett has taken 3 damage from npc_fastzombie.
[11:23:49]	Ryan Marnett entered observer.
[11:24:11]	Ryan Marnett exited observer at their location.
[11:24:12]	Ryan Marnett entered observer.
[11:24:13]	Ryan Marnett has spawned a 'NPC [30][npc_headcrab_fast]'.
[11:24:16]	Ryan Marnett has spawned a 'NPC [1745][npc_headcrab_fast]'.
[11:24:17]	Ryan Marnett has spawned a 'NPC [1746][npc_fastzombie_torso]'.
[11:24:18]	[OOC] Alfred Langenberg: although I gotta say xen events gotta be like 10x better than they were when i used to play now that we have SO much more reference and props for them
[11:24:25]	Ryan Marnett has spawned a 'NPC [30][npc_zombie_torso]'.
[11:24:38]	[OOC] Ryan Marnett: yeah, they can be way more immersive and cool looking
[11:24:52]	[OOC] Ryan Marnett: plus we can do [x] things within reason and stuff
[11:24:54]	Ryan Marnett has spawned a 'NPC [30][npc_zombie]'.
[11:24:58]	Ryan Marnett has spawned a 'NPC [30][npc_fastzombie]'.
[11:25:04]	Ryan Marnett has spawned a 'NPC [30][npc_poisonzombie]'.
[11:25:13]	Ryan Marnett has spawned a 'NPC [30][monster_hound_eye]'.
[11:25:15]	Ryan Marnett has spawned a 'NPC [30][monster_hound_eye]'.
[11:25:21]	[OOC] Alfred Langenberg: just saying this is giving me ideas. hnnng
[11:25:34]	Ryan Marnett has spawned a 'NPC [30][monster_hound_eye]'.
[11:25:36]	Ryan Marnett has spawned a 'NPC [2048][monster_hound_eye]'.
[11:25:37]	Ryan Marnett has spawned a 'NPC [30][monster_hound_eye]'.
[11:25:42]	Ryan Marnett has spawned a 'NPC [30][monster_hound_eye]'.
[11:25:55]	Ryan Marnett has spawned a 'NPC [30][npc_zombie]'.
[11:25:57]	Ryan Marnett has spawned a 'NPC [30][npc_zombie]'.
[11:26:04]	Ryan Marnett has spawned a 'NPC [30][npc_poisonzombie]'.
[11:26:22]	[OOC] Alfred Langenberg: hey did the panic button fix PAC for you btw?
[11:26:23]	Ryan Marnett has spawned a 'NPC [30][npc_zombine]'.
[11:26:28]	[OOC] Ryan Marnett: fuck, i haven't tried it out
[11:26:33]	[OOC] Alfred Langenberg: whoops.
[11:26:34]	[OOC] Ryan Marnett: gimme a sec, i'm shuffling up sewer mobs
[11:26:38]	[OOC] Alfred Langenberg: alrighty
[11:26:45]	Ryan Marnett has spawned a 'NPC [30][npc_fastzombie_torso]'.
[11:26:46]	Ryan Marnett has spawned a 'NPC [3346][npc_headcrab]'.
[11:26:57]	Ryan Marnett has spawned a 'NPC [30][npc_fastzombie]'.
[11:27:03]	Ryan Marnett has spawned a 'NPC [30][npc_zombie]'.
[11:27:05]	Ryan Marnett has spawned a 'NPC [30][npc_headcrab]'.
[11:27:07]	Ryan Marnett has spawned a 'NPC [30][npc_zombie]'.
[11:27:08]	Ryan Marnett has spawned a 'NPC [3348][npc_zombie]'.
[11:27:10]	Ryan Marnett has spawned a 'NPC [30][npc_zombie]'.
[11:27:21]	Ryan Marnett has spawned a 'NPC [30][npc_headcrab_fast]'.
[11:27:28]	Ryan Marnett has spawned a 'NPC [30][npc_headcrab]'.
[11:28:08]	Ryan Marnett has spawned a 'NPC [3350][monster_gonome]'.
[11:28:15]	Ryan Marnett exited observer at their location.
[11:28:15]	Ryan Marnett entered observer.
[11:28:38]	[OOC] Alfred Langenberg: I've actually never taken a good look at the xen foam prop pac, but it gives me ideas for a new PAC. I have an addiction.
[11:28:48]	[OOC] Ryan Marnett: lmao
[11:28:55]	Ryan Marnett exited observer at their location.
[11:30:34]	[LOOC] Alfred Langenberg: oh dude I have so many ideas now
[11:35:10]	[LOOC] Ryan Marnett: alright, am i wearing a chef hat?
[11:35:18]	[LOOC] Alfred Langenberg: very large but yes
[11:35:21]	[LOOC] Ryan Marnett: tight
[11:35:42]	[LOOC] Ryan Marnett: am i still wearing it?
[11:35:45]	[LOOC] Alfred Langenberg: nope
[11:35:50]	[LOOC] Ryan Marnett: oh
[11:35:51]	[LOOC] Ryan Marnett: uh
[11:35:52]	[LOOC] Ryan Marnett: pac is fixed
[11:36:02]	[LOOC] Ryan Marnett: the helix update must have fixed it
[11:36:06]	[LOOC] Alfred Langenberg: it usually happens when you try to load a PAC inside of another one
[11:36:08]	[LOOC] Alfred Langenberg: the glitch
[11:36:13]	[LOOC] Ryan Marnett: ah, alright
[11:36:21]	[LOOC] Ryan Marnett: are you able to use it, or is it staff restricted?
[11:36:28]	[LOOC] Alfred Langenberg: i dont got flags so no
[11:36:38]	[LOOC] Ryan Marnett: i don't have hte pac flags plugin, fuck
[11:36:43]	[LOOC] Alfred Langenberg: whoops
[11:36:45]	[LOOC] Ryan Marnett: like you try to open the editor and it says you don't have flags?
[11:36:50]	[LOOC] Ryan Marnett: or what
[11:37:06]	[LOOC] Alfred Langenberg: i click it and it doesnt do anything
[11:37:08]	[LOOC] Alfred Langenberg: i dont have perms
[11:37:09]	[LOOC] Ryan Marnett: alright hold on
[11:38:20]	[LOOC] Ryan Marnett: gimme a sec, doing a reupload
[11:38:24]	[LOOC] Alfred Langenberg: kk
[11:38:31]	[LOOC] Ryan Marnett: i thikn i'll just make it open
[11:38:51]	[LOOC] Ryan Marnett: if that goes poorly then i'll just make it so after being on the server for like, a consecutive 24 hours, you get the flag or smth
[11:39:07]	[ME] Alfred Langenberg: gives the Methfred seal of approval™!
[11:39:16]	[LOOC] Ryan Marnett: alright, try to use it agian
[11:39:23]	[LOOC] Alfred Langenberg: nope
[11:39:26]	[LOOC] Ryan Marnett: fuck
[11:39:35]	[LOOC] Alfred Langenberg: ill try reconnecting rq
[11:39:37]	Methfred (STEAM_0:1:48276840) has disconnected.
[11:41:36]	Methfred has connected.
[11:42:16]	[ME] Ryan Marnett: would proceed to tie the individual. Would they resist?
[11:42:17]	Methfred loaded the character 'Alfred Langenberg'
[11:42:19]	[LOOC] Ryan Marnett: alright so
[11:42:21]	[LOOC] Ryan Marnett: i may have fixed it
[11:42:27]	[LOOC] Alfred Langenberg: i got bad news
[11:42:28]	[LOOC] Ryan Marnett: i changed something in helix's code
[11:42:30]	[LOOC] Ryan Marnett: is it not working
[11:42:40]	[LOOC] Alfred Langenberg: still nothin
[11:42:44]	[LOOC] Ryan Marnett: i;'ve got an idea but hold on
[11:43:58]	matt saton loaded the character 'CAC.C08-STK.33635'
[11:44:00]	CAC.C08-STK.33635 entered observer.
[11:44:01]	CAC.C08-STK.33635 exited observer at their location.
[11:44:02]	CAC.C08-STK.33635 has taken 1 damage from CAC.C08-STK.33635.
[11:44:02]	CAC.C08-STK.33635 has taken 2 damage from CAC.C08-STK.33635.
[11:44:12]	CAC.C08-STK.33635 entered observer.
[11:44:12]	CAC.C08-STK.33635 exited observer at their location.
[11:44:17]	[OOC] CAC.C08-STK.33635: check it
[11:44:17]	CAC.C08-STK.33635 has taken 1 damage from CAC.C08-STK.33635.
[11:44:17]	CAC.C08-STK.33635 has taken 2 damage from CAC.C08-STK.33635.
[11:44:31]	[OOC] CAC.C08-STK.33635: two things
[11:44:32]	CAC.C08-STK.33635 has taken 1 damage from CAC.C08-STK.33635.
[11:44:32]	CAC.C08-STK.33635 has taken 2 damage from CAC.C08-STK.33635.
[11:44:33]	[LOOC] Alfred Langenberg: hmmmmm
[11:44:37]	[OOC] CAC.C08-STK.33635: one:
[11:44:38]	[OOC] CAC.C08-STK.33635: this
[11:44:40]	CAC.C08-STK.33635 used command '/CharSetModel stk models/gonzo/monkcop/monkcop.mdl'.
[11:44:46]	[LOOC] Alfred Langenberg: MONKEY
[11:44:47]	CAC.C08-STK.33635 has taken 1 damage from CAC.C08-STK.33635.
[11:44:47]	CAC.C08-STK.33635 has taken 2 damage from CAC.C08-STK.33635.
[11:44:59]	CAC.C08-STK.33635 used command '/ToggleRaise'.
[11:45:02]	CAC.C08-STK.33635 has taken 1 damage from CAC.C08-STK.33635.
[11:45:02]	CAC.C08-STK.33635 has taken 2 damage from CAC.C08-STK.33635.
[11:45:05]	CAC.C08-STK.33635 used command '/ToggleRaise'.
[11:45:10]	[LOOC] CAC.C08-STK.33635: wait
[11:45:11]	[LOOC] CAC.C08-STK.33635: apply
[11:45:16]	Alfred Langenberg has taken 10 damage from CAC.C08-STK.33635.
[11:45:16]	CAC.C08-STK.33635 entered observer.
[11:45:18]	[LOOC] Alfred Langenberg: you import that or did you steal you slimy hands
[11:45:19]	CAC.C08-STK.33635 exited observer at their location.
[11:45:20]	CAC.C08-STK.33635 entered observer.
[11:45:20]	CAC.C08-STK.33635 exited observer at their location.
[11:45:29]	[LOOC] CAC.C08-STK.33635: i asked permission to pop it in the addon
[11:45:32]	CAC.C08-STK.33635 has taken 1 damage from CAC.C08-STK.33635.
[11:45:32]	CAC.C08-STK.33635 has taken 2 damage from CAC.C08-STK.33635.
[11:45:35]	[LOOC] Alfred Langenberg: lmao
[11:45:40]	[LOOC] CAC.C08-STK.33635: oo oo
[11:45:42]	[LOOC] CAC.C08-STK.33635: antohert hint
[11:45:47]	CAC.C08-STK.33635 has taken 1 damage from CAC.C08-STK.33635.
[11:45:47]	CAC.C08-STK.33635 has taken 2 damage from CAC.C08-STK.33635.
[11:45:48]	[LOOC] CAC.C08-STK.33635: i made this plugin
[11:45:55]	[LOOC] CAC.C08-STK.33635: i call it the OSA, the Overwatch Synthetic Arm
[11:46:02]	[LOOC] CAC.C08-STK.33635: it's not public, it's simple, but i fucking loe it
[11:46:02]	CAC.C08-STK.33635 has taken 1 damage from CAC.C08-STK.33635.
[11:46:02]	CAC.C08-STK.33635 has taken 2 damage from CAC.C08-STK.33635.
[11:46:08]	[LOOC] Alfred Langenberg: what's it do
[11:46:10]	matt saton created the character 'AWAITING ASSIGNMENT'
[11:46:14]	matt saton loaded the character 'AWAITING ASSIGNMENT'
[11:46:15]	AWAITING ASSIGNMENT entered observer.
[11:46:18]	AWAITING ASSIGNMENT exited observer at their location.
[11:46:24]	[LOOC] AWAITING ASSIGNMENT: ight so if you make a char in it you have this model
[11:46:28]	[LOOC] AWAITING ASSIGNMENT: and this name
[11:46:31]	[LOOC] AWAITING ASSIGNMENT: but then a staff member sets your class
[11:46:36]	OSA.S08-STR.18417 used command '/CharSetClass ass strider'.
[11:46:40]	[LOOC] Alfred Langenberg: oh i thought you mean like a literal arm lmao
[11:46:47]	[LOOC] OSA.S08-STR.18417: nah, lmao, like the OTA
[11:47:02]	[LOOC] Alfred Langenberg: I miss OTA so much but I really love Echo-1 lately
[11:47:06]	OSA.S14-HNT.45891 used command '/CharSetClass osa hunter'.
[11:47:07]	[LOOC] Alfred Langenberg: im torn which one to try and get'
[11:47:11]	[LOOC] OSA.S14-HNT.45891: yeah the grunts are dope as shit
[11:47:13]	[LOOC] Alfred Langenberg: oh fuck yeah
[11:47:15]	[LOOC] Alfred Langenberg: hunters
[11:47:16]	[OOC] OSA.S14-HNT.45891: so what it does right
[11:47:18]	[LOOC] Alfred Langenberg: I fuckin love hunters
[11:47:27]	[OOC] OSA.S14-HNT.45891: is it sets their name and model automatically when a staff member sets their class
[11:47:37]	[OOC] OSA.S14-HNT.45891: small thing but i fucking lovei t
[11:48:00]	[LOOC] Alfred Langenberg: I demand the slot so I can get my advisor I so rightfully deserve
[11:48:07]	[LOOC] OSA.S14-HNT.45891: lmao
[11:48:16]	[LOOC] Alfred Langenberg: im kinda upset pac isnt working
[11:48:21]	[LOOC] Alfred Langenberg: I was gonna flex some of my projects
[11:48:23]	OSA.S14-HNT.45891 has spawned a 'NPC [2977][animprop_spawnexit_blue]'.
[11:48:31]	[LOOC] OSA.S14-HNT.45891: it may after the next restart
[11:48:38]	OSA.S14-HNT.45891 has spawned a 'Entity [2977][ix_testent3]'.
[11:48:41]	[LOOC] Alfred Langenberg: I hope so I got some baller stuff
[11:48:44]	[LOOC] OSA.S14-HNT.45891: i've also made this bad boy
[11:48:46]	[LOOC] OSA.S14-HNT.45891: it needs fixed
[11:48:48]	[LOOC] Alfred Langenberg: yeah i saw it
[11:48:49]	[LOOC] OSA.S14-HNT.45891: but it's a blood donation station
[11:48:57]	[LOOC] OSA.S14-HNT.45891: in exchange for 5 hp you get 5 or 10 tokens, i can't remember which
[11:49:00]	[LOOC] Alfred Langenberg: is it only one time use because it glitched
[11:49:01]	[LOOC] OSA.S14-HNT.45891: you can do it every 36 hours
[11:49:01]	[LOOC] Alfred Langenberg: ?
[11:49:09]	[LOOC] OSA.S14-HNT.45891: yeah, it's bugged atm
[11:49:09]	[LOOC] Alfred Langenberg: it hasnt let me use it in two days bro
[11:49:27]	[LOOC] OSA.S14-HNT.45891: yeah it's bugged
[11:49:31]	OSA.S14-HNT.45891 has taken 5 damage from OSA.S14-HNT.45891.
[11:49:31]	OSA.S14-HNT.45891 has gained 10 tokens.
[11:49:35]	[OOC] OSA.S14-HNT.45891: alright
[11:49:39]	[OOC] OSA.S14-HNT.45891: i'm gonna try out this fuckin uh
[11:49:41]	[OOC] OSA.S14-HNT.45891: the uh
[11:49:43]	[OOC] OSA.S14-HNT.45891: fuckin uh
[11:49:49]	[OOC] OSA.S14-HNT.45891: /where am i 
[11:49:51]	[OOC] OSA.S14-HNT.45891: oh right
[11:49:53]	[OOC] Alfred Langenberg: such a way with words
[11:49:54]	[OOC] OSA.S14-HNT.45891: i'm gonna restart to get this shit
[11:49:57]	[LOOC] Alfred Langenberg: kk
[11:50:01]	[LOOC] Alfred Langenberg: if pac dont work im suing
[11:50:03]	[OOC] OSA.S14-HNT.45891: dude i swear my brain is empty
[11:50:06]	[OOC] OSA.S14-HNT.45891: head empty only hl lore
[11:50:15]	[OOC] Alfred Langenberg: if pac3 doesnt work im suing you
[11:50:17]	Dilly_ has connected.
[11:50:40]	[OOC] OSA.S14-HNT.45891: SORRY DILLY WE'RE RESTARTING TO FIX SOMETHING I LOVE YOU BACK SOON
[11:56:17]	Dilly_ has connected.
[11:56:28]	Methfred has connected.
[11:57:59]	Dilly_ loaded the character 'Jim Stinson'
[11:59:25]	Methfred loaded the character 'Alfred Langenberg'
[12:02:28]	Alfred Langenberg ran 'ApplyOther' on item 'Bandage' (#37634)
[12:02:29]	Alfred Langenberg ran 'ApplyOther' on item 'Bandage' (#37634)
[12:02:30]	Alfred Langenberg ran 'ApplyOther' on item 'Bandage' (#37634)
[12:02:31]	Alfred Langenberg ran 'ApplyOther' on item 'Bandage' (#37634)
[12:02:32]	[LOOC] Jim Stinson: oof
[12:02:34]	[LOOC] Jim Stinson: no animations for me
[12:02:36]	[LOOC] Jim Stinson: reee
[12:02:39]	matt saton has connected.
[12:02:43]	[LOOC] Alfred Langenberg: get heal'd retard
[12:02:53]	Jim Stinson ran 'Apply' on item 'Percocet 20mg' (#30797)
[12:03:01]	[LOOC] Alfred Langenberg: why you got armand in your desc but not wearing da actual item doe
[12:03:04]	[LOOC] Alfred Langenberg: kinda cringe ngl
[12:03:07]	Jim Stinson ran 'EquipUn' on item 'Yellow Loyalist Armband' (#35726)
[12:03:08]	Jim Stinson ran 'Equip' on item 'Yellow Loyalist Armband' (#35726)
[12:03:13]	[LOOC] Jim Stinson: should have been on
[12:03:20]	[LOOC] Alfred Langenberg: oh is it glitched for you
[12:03:25]	[LOOC] Alfred Langenberg: oh now yo ugot it
[12:03:26]	[LOOC] Jim Stinson: might be?
[12:03:29]	[LOOC] Alfred Langenberg: do i have it?
[12:03:35]	[LOOC] Jim Stinson: nope
[12:03:37]	Alfred Langenberg ran 'EquipUn' on item 'Yellow Loyalist Armband' (#37637)
[12:03:38]	Alfred Langenberg ran 'Equip' on item 'Yellow Loyalist Armband' (#37637)
[12:03:41]	[LOOC] Alfred Langenberg: now?
[12:03:46]	[LOOC] Jim Stinson: yep
[12:03:49]	[LOOC] Alfred Langenberg: swank
[12:04:10]	matt saton loaded the character 'Ryan Marnett'
[12:04:12]	Ryan Marnett entered observer.
[12:04:17]	Ryan Marnett exited observer at their location.
[12:04:21]	[OOC] Ryan Marnett: pac working?
[12:04:22]	[OOC] Alfred Langenberg: oi matt
[12:04:23]	Ryan Marnett used command '/ToggleRaise'.
[12:04:23]	Ryan Marnett used command '/ToggleRaise'.
[12:04:25]	[OOC] Alfred Langenberg: still doesnt work
[12:04:30]	[LOOC] Alfred Langenberg: might want to just make it a flag bro
[12:04:40]	[LOOC] Alfred Langenberg: at least I know that *should* work
[12:04:52]	Jim Stinson used the 'Resin Deposit' vendor.
[12:05:03]	[LOOC] Ryan Marnett: yeah, i just need to find a plugin for it
[12:05:11]	[LOOC] Alfred Langenberg: i am
[12:05:11]	Dilly_ loaded the character 'Douglas Hudson'
[12:05:16]	[LOOC] Alfred Langenberg: d i s p l e a s e d
[12:05:20]	Douglas Hudson has taken 4 damage from monster_bullsquid.
[12:05:20]	Douglas Hudson has taken 4 damage from monster_bullsquid.
[12:05:23]	[LOOC] Alfred Langenberg: i cannot flex my mediocre skills
[12:05:23]	Douglas Hudson has taken 4 damage from monster_bullsquid.
[12:05:23]	Douglas Hudson has taken 4 damage from monster_bullsquid.
[12:05:23]	Douglas Hudson has taken 4 damage from monster_bullsquid.
[12:05:31]	[LOOC] Alfred Langenberg: well
[12:05:33]	[LOOC] Alfred Langenberg: above average
[12:05:38]	Douglas Hudson ran 'EquipUn' on item 'Empty Glass Bottle' (#34012)
[12:05:39]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[12:05:39]	[LOOC] Alfred Langenberg: i gotta give myself a *little* credit
[12:05:48]	Douglas Hudson has taken 10 damage from npc_zombie.
[12:05:49]	[LOOC] Ryan Marnett: lmao
[12:05:50]	[LOOC] Ryan Marnett: hold on
[12:06:03]	Douglas Hudson has taken 10 damage from npc_zombie.
[12:06:12]	Douglas Hudson has taken 5 damage from npc_headcrab.
[12:06:12]	npc_headcrab has killed Douglas Hudson.
[12:06:37]	Douglas Hudson ran 'EquipUn' on item 'Blue Pre-War Shirt' (#36168)
[12:06:49]	Douglas Hudson ran 'Equip' on item 'Green Shirt' (#35472)
[12:07:12]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
