[05:11:20]	Mr.Ganar has connected.
[12:10:23]	CCA.C17-GRID.i3.08313 exited observer at their location.
[12:11:00]	CCA.C17-GRID.i3.08313 entered observer.
[12:11:21]	[LOOC] CCA.C17-GRID.i3.08313: i. did not figure anybody would go back here
[12:11:33]	[LOOC] Alex Palovichov: Lol
[12:11:35]	[LOOC] CCA.C17-GRID.i3.08313: i will put poropping that place on my todo list
[12:11:42]	Alex Palovichov ran 'View' on item 'Paper' (#23948)
[12:11:53]	CCA.C17-GRID.i3.08313 exited observer at their location.
[12:12:13]	CCA.C17-GRID.i3.08313 used command '/Radio Negative, not at the building. Continuing search.'.
[12:12:19]	CCA.C17-GRID.i3.08313 used command '/Radio copy that'.
[12:12:29]	CCA.C17-GRID.i3.08313 entered observer.
[12:12:37]	CCA.C17-GRID.i3.08313 exited observer at their location.
[12:12:38]	CCA.C17-GRID.i3.08313 entered observer.
[12:12:48]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[12:12:58]	CCA.C17-GRID.i3.08313 exited observer at their location.
[12:14:20]	matt saton loaded the character 'OTA.C17-ECHO.OHZ.19343'
[12:14:22]	OTA.C17-ECHO.OHZ.19343 entered observer.
[12:14:29]	OTA.C17-ECHO.OHZ.19343 exited observer at their location.
[12:14:49]	OTA.C17-ECHO.OHZ.19343 entered observer.
[12:15:04]	OTA.C17-ECHO.OHZ.19343 exited observer at their location.
[12:15:23]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[12:15:26]	Alex Palovichov has gained 0 tokens.
[12:15:26]	Alex Palovichov has gained a 'Combine Hazmat Worker Suit' #28404.
[12:15:29]	Alex Palovichov ran 'EquipUn' on item 'CWU Leadership Suit' (#24484)
[12:15:30]	Alex Palovichov ran 'Equip' on item 'Combine Hazmat Worker Suit' (#28404)
[12:15:31]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[12:15:36]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[12:15:38]	Alex Palovichov has gained 0 tokens.
[12:17:05]	[LOOC] OTA.C17-ECHO.OHZ.19343: like the new talking noise? :D
[12:17:07]	[LOOC] OTA.C17-ECHO.OHZ.19343: for ota
[12:17:23]	[LOOC] Alex Palovichov: Yeah, what I don't like though, is you not capitalizing my last name
[12:17:28]	[LOOC] OTA.C17-ECHO.OHZ.19343: true
[12:17:36]	[ME] OTA.C17-ECHO.OHZ.19343: would hold out his right hand for the man's CID card.
[12:17:44]	[ME] Alex Palovichov: Reaches into a document bag taking out his CID
[12:17:51]	Alex Palovichov ran 'drop' on item 'Citizen ID' (#24488)
[12:17:51]	Alex Palovichov has lost a 'Citizen ID' #24488.
[12:17:53]	OTA.C17-ECHO.OHZ.19343 ran 'take' on item 'Citizen ID' (#24488)
[12:17:53]	OTA.C17-ECHO.OHZ.19343 has gained a 'Citizen ID' #24488.
[12:18:07]	[ME] Alex Palovichov: He would put it in the right hand of the unit
[12:18:53]	[ME] OTA.C17-ECHO.OHZ.19343: would take the man's CID card and look it over. He observes the small interwoven etchings, the text itself, the feel of the card, making sure it's not forged.
[12:19:28]	[ME] Alex Palovichov: Would take out his PDA pressing a few buttons then pressing a button thats shows "CANCEL"
[12:19:40]	[ME] OTA.C17-ECHO.OHZ.19343: , now satisfied, would hand the CID card back to the man
[12:19:42]	[ME] Alex Palovichov: He then puts his PDA back into his document bag
[12:19:52]	OTA.C17-ECHO.OHZ.19343 ran 'drop' on item 'Citizen ID' (#24488)
[12:19:52]	OTA.C17-ECHO.OHZ.19343 has lost a 'Citizen ID' #24488.
[12:19:58]	[ME] Alex Palovichov: Would take his CID back
[12:20:00]	Alex Palovichov ran 'take' on item 'Citizen ID' (#24488)
[12:20:00]	Alex Palovichov has gained a 'Citizen ID' #24488.
[12:20:02]	Alex Palovichov ran 'combine' on item 'Documents Case' (#24746)
[12:21:43]	OTA.C17-ECHO.OHZ.19343 used command '/CharSetName ohz'.
[12:21:47]	OTA.C17-ECHO:OHZ.19343 used command '/CharSetName OTA.C17-ECHO.OHZ.19343 OTA.C17-ECHO:OHZ.19343'.
[12:22:00]	[ME] Alex Palovichov: Reaches into a large slung bag, looking inside of it
[12:22:32]	[ME] Alex Palovichov: Closes his tool bag
[12:23:54]	[ME] OTA.C17-ECHO:OHZ.19343: would unsling his MP7 and lower it.
[12:23:56]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:23:57]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:24:32]	[ME] Alex Palovichov: Would punch in a code, begining the elevators decent down
[12:24:42]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:26:15]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:26:17]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:26:56]	[OOC] OTA.C17-ECHO:OHZ.19343: note to self: sevver music. this song ias not fittin
[12:27:54]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:28:03]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:28:08]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:28:25]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:28:39]	[ME] Alex Palovichov: Inspects the sample, poking at it with a scalple
[12:28:59]	[ME] Alex Palovichov: Takes out a crowbar, hitting it
[12:29:01]	[IT] OTA.C17-ECHO:OHZ.19343: The spore's surface is tough to the touch. It's been growing for a while with how tough it is, you would imagine.
[12:29:19]	[ME] Alex Palovichov: Bashes the side of the spore
[12:29:23]	[IT] OTA.C17-ECHO:OHZ.19343: The crowbar leaves an impression in it, it's definitely not just solid. But it's clearly older than more common spores.
[12:29:47]	[LOOC] OTA.C17-ECHO:OHZ.19343: oh no i was saying that this tihng here is a spore
[12:29:53]	[LOOC] Alex Palovichov: I know...
[12:29:53]	[LOOC] OTA.C17-ECHO:OHZ.19343: the whole thing is a spore
[12:29:55]	[LOOC] OTA.C17-ECHO:OHZ.19343: oh okay sweet
[12:29:59]	[LOOC] Alex Palovichov: Spores release more spores...
[12:30:08]	[LOOC] OTA.C17-ECHO:OHZ.19343: just making sure we were
[12:30:10]	[LOOC] OTA.C17-ECHO:OHZ.19343: on the same page there
[12:31:37]	[IT] OTA.C17-ECHO:OHZ.19343: All of the screens in the arcade would be off, despite what the map would tell you.
[12:31:55]	[IT] OTA.C17-ECHO:OHZ.19343: The standalone cabinets, by their exterior appearance, definitely have a bit of gunk on them, accumulating around the vents.
[12:32:21]	[ME] Alex Palovichov: Would begin to inspect the machines further, checking the sides of it and the vents
[12:32:43]	Painevan has connected.
[12:33:01]	[IT] OTA.C17-ECHO:OHZ.19343: Aside from the wear and tear of sitting doing nothing, the gunk doesn't look quite like mud. It's got an orangish-yellowish hue to it. Possibly xenian?
[12:33:05]	[ME] Alex Palovichov: Would peer into the vents of the machine, flashing his flashlight into it
[12:33:48]	[LOOC] OTA.C17-ECHO:OHZ.19343: oh no none of them are on
[12:33:52]	[LOOC] OTA.C17-ECHO:OHZ.19343: map dumb
[12:34:01]	[LOOC] Alex Palovichov: alr then void that then
[12:34:12]	[IT] OTA.C17-ECHO:OHZ.19343: From the outside looking in, there's definitely more of the stuff inside the machine's body.
[12:34:34]	[ME] Alex Palovichov: Would reach into his bag taking out a screw driver, he then begins to unscrew the front plating of the machine
[12:34:53]	[IT] OTA.C17-ECHO:OHZ.19343: The screws come out easily, but the plate doesn't seem to want to go. It'll take a little force, not too much, to open it.
[12:34:53]	Painevan loaded the character 'Jonathan Jackson'
[12:35:05]	[IT] OTA.C17-ECHO:OHZ.19343: No more force than it would take to close a car door.
[12:35:17]	[LOOC] OTA.C17-ECHO:OHZ.19343: that's the best analogy i could come up with
[12:35:26]	[ME] Alex Palovichov: Would lightly yank on the plate, though at first it doesn't come loose
[12:35:28]	[OOC] OTA.C17-ECHO:OHZ.19343: it be painevan
[12:35:31]	[OOC] Jonathan Jackson: yes
[12:35:50]	[OOC] OTA.C17-ECHO:OHZ.19343: he back!
[12:36:02]	[ME] Alex Palovichov: Takes out his crowbar, and begins to rip the plate off
[12:36:20]	[ME] Alex Palovichov: Rips the plate off, throwing it to the ground
[12:36:26]	[OOC] Jonathan Jackson: A mysterious appearence
[12:36:32]	[ME] Alex Palovichov: Would inspect the inside of the machine
[12:36:53]	[IT] OTA.C17-ECHO:OHZ.19343: With the crowbar, it takes very little force. The first thing you would likely notice on the plate is dried gunk around the sides of the panel, likely having been attached to the rest of the interior.
[12:37:05]	[LOOC] OTA.C17-ECHO:OHZ.19343: you ever woken up and had your eyes like
[12:37:09]	[LOOC] OTA.C17-ECHO:OHZ.19343: literally crusted shut
[12:37:15]	[LOOC] Alex Palovichov: No...
[12:37:17]	[LOOC] OTA.C17-ECHO:OHZ.19343: oh
[12:37:18]	[LOOC] Alex Palovichov: What...
[12:37:22]	[LOOC] OTA.C17-ECHO:OHZ.19343: then this analogy will not work for you
[12:37:29]	[LOOC] OTA.C17-ECHO:OHZ.19343: i thought that was a normal thing
[12:37:31]	[LOOC] OTA.C17-ECHO:OHZ.19343: anyways
[12:37:40]	hnbug01 has connected.
[12:38:11]	[IT] OTA.C17-ECHO:OHZ.19343: On the inside of the machine itself is significantly more of the stuff. Its interior is pretty strongly coated in some kind of xenian biomass.
[12:38:21]	hnbug01 loaded the character 'Feng Yi 'Eric' Hseuh'
[12:38:27]	Jonathan Jackson ran 'Use' on item 'Reinforced Padlock' (#28145)
[12:38:40]	Jonathan Jackson opened the 'Reinforced Padlocked ' #235 container.
[12:38:56]	Jonathan Jackson closed the 'Reinforced Padlocked ' #235 container.
[12:39:15]	[ME] Alex Palovichov: Would take out a scalple, taking a sample of the biomass and puts it into a vial
[12:39:35]	[ME] Alex Palovichov: Would put the vial and scalple into a small yellow pocket of his toolbag
[12:40:48]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[12:40:55]	Jonathan Jackson opened the '' #2586 container.
[12:40:58]	Jonathan Jackson closed the '' #2586 container.
[12:41:02]	Jonathan Jackson ran 'View' on item 'Notepad' (#27713)
[12:41:06]	Jonathan Jackson ran 'View' on item 'Notepad' (#27712)
[12:41:16]	Nums has connected.
[12:41:20]	[OOC] OTA.C17-ECHO:OHZ.19343: YOOOO
[12:41:23]	[OOC] OTA.C17-ECHO:OHZ.19343: 5 PEOPLE
[12:41:27]	[OOC] Jonathan Jackson: woo
[12:41:37]	Jonathan Jackson has taken 1 damage from worldspawn.
[12:41:37]	Jonathan Jackson has taken 1 damage from worldspawn.
[12:41:55]	Nums loaded the character 'Anastasia Semenov'
[12:42:00]	[OOC] OTA.C17-ECHO:OHZ.19343: nums back!
[12:42:06]	[OOC] Anastasia Semenov: ello
[12:42:07]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[12:42:15]	[OOC] OTA.C17-ECHO:OHZ.19343: i will be on a unit shortly, am doing ICT stuff with alex
[12:43:32]	OTA.C17-ECHO:OHZ.19343 used command '/Radio OHZ 19343 reporting from Cybercafe with Alex Palovichov.'.
[12:43:39]	[LOOC] OTA.C17-ECHO:OHZ.19343: sound doesn't play iwth the radio sad face :(
[12:43:49]	[LOOC] Alex Palovichov: sadge
[12:44:00]	OTA.C17-ECHO:OHZ.19343 used command '/Radio There's an interface in here. Do we want to try to preserve the disks?'.
[12:44:13]	OTA.C17-ECHO:OHZ.19343 used command '/Radio Copy that.'.
[12:44:17]	[LOOC] OTA.C17-ECHO:OHZ.19343: oh it played that time
[12:44:24]	[LOOC] OTA.C17-ECHO:OHZ.19343: wait no I Could HAVE VCWHORED
[12:44:25]	[LOOC] OTA.C17-ECHO:OHZ.19343: fuck
[12:44:28]	[LOOC] OTA.C17-ECHO:OHZ.19343: anways
[12:44:36]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[12:44:39]	Jonathan Jackson has taken 1 damage from worldspawn.
[12:44:44]	Jonathan Jackson has taken 1 damage from worldspawn.
[12:44:44]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[12:44:55]	[ME] OTA.C17-ECHO:OHZ.19343: would sling his MP7.
[12:44:59]	Jonathan Jackson opened the '' #2404 container.
[12:45:01]	Jonathan Jackson closed the '' #2404 container.
[12:45:06]	Jonathan Jackson opened the '' #2403 container.
[12:45:09]	Jonathan Jackson closed the '' #2403 container.
[12:45:20]	[ME] OTA.C17-ECHO:OHZ.19343: looks on the side of the machine, finds a single mechanical switch. He turns it, and then returns to the front of the interfac.
[12:45:28]	Anastasia Semenov ran 'drop' on item 'Blue Pre-War Shirt' (#27978)
[12:45:28]	Anastasia Semenov has lost a 'Blue Pre-War Shirt' #27978.
[12:45:32]	Jonathan Jackson ran 'take' on item 'A Roll of Toilet Paper' (#25956)
[12:45:32]	Jonathan Jackson has gained a 'A Roll of Toilet Paper' #25956.
[12:45:33]	Anastasia Semenov ran 'take' on item 'Blue Pre-War Shirt' (#27978)
[12:45:33]	Anastasia Semenov has gained a 'Blue Pre-War Shirt' #27978.
[12:45:34]	Jonathan Jackson opened the '' #2576 container.
[12:45:37]	Jonathan Jackson closed the '' #2576 container.
[12:45:50]	Jonathan Jackson ran 'take' on item 'Sparkling Consulate Water' (#25044)
[12:45:50]	Jonathan Jackson has gained a 'Sparkling Consulate Water' #25044.
[12:45:53]	Jonathan Jackson ran 'Consume' on item 'Sparkling Consulate Water' (#25044)
[12:46:01]	[ME] OTA.C17-ECHO:OHZ.19343: would pull a small red lever on the far right. The terminal's front face begins to expand and move up and back, revealing a complicated interior.
[12:46:02]	Jonathan Jackson ran 'Consume' on item 'Loyalist Grade Food Product (Onion Flavor)' (#25011)
[12:46:08]	Jonathan Jackson ran 'Consume' on item 'Loyalist Grade Supplements (Lemon Flavor)' (#24913)
[12:46:14]	Jonathan Jackson ran 'Consume' on item 'Standard Grade Supplements (Lettuce Flavor)' (#25001)
[12:46:18]	[IT] OTA.C17-ECHO:OHZ.19343: On the inside, among other things, would be three disks full of what looks like pale green brains.
[12:47:19]	[ME] OTA.C17-ECHO:OHZ.19343: would begin pulling the disks out, very carefully, one by one, and stacking them on the table.
[12:47:24]	[LOOC] OTA.C17-ECHO:OHZ.19343: let's just use
[12:47:26]	Anastasia Semenov used the 'Shopkeeper' vendor.
[12:47:37]	[LOOC] OTA.C17-ECHO:OHZ.19343: oh i know
[12:47:46]	[LOOC] OTA.C17-ECHO:OHZ.19343: i don't have pet flags
[12:47:48]	OTA.C17-ECHO:OHZ.19343 used command '/CharGiveFlag ohz pet'.
[12:47:49]	OTA.C17-ECHO:OHZ.19343 has spawned 'models/Mechanics/gears/gear16x24_small.mdl'.
[12:47:51]	OTA.C17-ECHO:OHZ.19343 has spawned 'models/Mechanics/gears2/gear_24t1.mdl'.
[12:47:52]	OTA.C17-ECHO:OHZ.19343 has spawned 'models/Mechanics/gears/gear24x24.mdl'.
[12:47:53]	OTA.C17-ECHO:OHZ.19343 has spawned 'models/Mechanics/gears/gear16x12_large.mdl'.
[12:47:55]	OTA.C17-ECHO:OHZ.19343 has spawned 'models/Mechanics/gears/gear12x6_small.mdl'.
[12:47:56]	OTA.C17-ECHO:OHZ.19343 has spawned 'models/Mechanics/gears/gear12x6_large.mdl'.
[12:47:58]	OTA.C17-ECHO:OHZ.19343 has spawned 'models/Mechanics/gears/gear12x6.mdl'.
[12:47:59]	[OOC] Jonathan Jackson: OTA being menacing
[12:48:00]	[LOOC] OTA.C17-ECHO:OHZ.19343: close enough
[12:48:07]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[12:48:16]	OTA.C17-ECHO:OHZ.19343 has spawned 'models/mechanics/gears/gear12x6.mdl'.
[12:48:17]	OTA.C17-ECHO:OHZ.19343 has spawned 'models/mechanics/gears/gear12x6.mdl'.
[12:48:31]	Jonathan Jackson ran 'EquipUn' on item 'Pipe' (#25364)
[12:48:47]	[ME] Jonathan Jackson: leans against the wall.
[12:49:10]	Anastasia Semenov opened the '' #2684 container.
[12:49:14]	Anastasia Semenov closed the '' #2684 container.
[12:49:14]	OTA.C17-ECHO:OHZ.19343 has gained a 'Interface Disk' #28410.
[12:49:14]	OTA.C17-ECHO:OHZ.19343 used command '/CreateCustomItem Interface Disk /me would hold out his wrist to a square panel on the interface. A clear plexiglass disk filled with what looks to be pale green brains.'.
[12:49:18]	OTA.C17-ECHO:OHZ.19343 has gained a 'Interface Disk' #28411.
[12:49:18]	OTA.C17-ECHO:OHZ.19343 used command '/CreateCustomItem Interface Disk /me would hold out his wrist to a square panel on the interface. A clear plexiglass disk filled with what looks to be pale green brains.'.
[12:49:18]	OTA.C17-ECHO:OHZ.19343 has gained a 'Interface Disk' #28412.
[12:49:18]	OTA.C17-ECHO:OHZ.19343 used command '/CreateCustomItem Interface Disk /me would hold out his wrist to a square panel on the interface. A clear plexiglass disk filled with what looks to be pale green brains.'.
[12:49:29]	[ME] Alex Palovichov: Would grab the disks, putting it into a pocket of his bag labled "SHATTER PROOF STORAGE COMP"
[12:49:51]	OTA.C17-ECHO:OHZ.19343 has gained a 'Interface Disk' #28413.
[12:49:51]	OTA.C17-ECHO:OHZ.19343 used command '/CreateCustomItem Interface Disk models/Mechanics/gears/gear12x6.mdl A clear plexiglass disk filled with what looks to be pale green brains.'.
[12:49:53]	OTA.C17-ECHO:OHZ.19343 has gained a 'Interface Disk' #28414.
[12:49:53]	OTA.C17-ECHO:OHZ.19343 used command '/CreateCustomItem Interface Disk models/Mechanics/gears/gear12x6.mdl A clear plexiglass disk filled with what looks to be pale green brains.'.
[12:49:56]	OTA.C17-ECHO:OHZ.19343 has gained a 'Interface Disk' #28415.
[12:49:56]	OTA.C17-ECHO:OHZ.19343 used command '/CreateCustomItem Interface Disk models/Mechanics/gears/gear12x6.mdl A clear plexiglass disk filled with what looks to be pale green brains.'.
[12:49:57]	OTA.C17-ECHO:OHZ.19343 ran 'drop' on item 'Interface Disk' (#28414)
[12:49:57]	OTA.C17-ECHO:OHZ.19343 has lost a 'Interface Disk' #28414.
[12:49:58]	OTA.C17-ECHO:OHZ.19343 ran 'drop' on item 'Interface Disk' (#28415)
[12:49:58]	OTA.C17-ECHO:OHZ.19343 has lost a 'Interface Disk' #28415.
[12:49:59]	OTA.C17-ECHO:OHZ.19343 ran 'drop' on item 'Interface Disk' (#28413)
[12:49:59]	OTA.C17-ECHO:OHZ.19343 has lost a 'Interface Disk' #28413.
[12:50:01]	Alex Palovichov ran 'take' on item 'Interface Disk' (#28413)
[12:50:01]	Alex Palovichov has gained a 'Interface Disk' #28413.
[12:50:02]	Alex Palovichov ran 'take' on item 'Interface Disk' (#28415)
[12:50:02]	Alex Palovichov has gained a 'Interface Disk' #28415.
[12:50:03]	Alex Palovichov ran 'take' on item 'Interface Disk' (#28414)
[12:50:03]	Alex Palovichov has gained a 'Interface Disk' #28414.
[12:50:04]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[12:50:04]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[12:50:05]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[12:50:21]	[OOC] Jonathan Jackson: Does your filter drain while you don't wear the suit? I assume not but just checking
[12:50:24]	[OOC] OTA.C17-ECHO:OHZ.19343: it does not
[12:50:29]	[OOC] OTA.C17-ECHO:OHZ.19343: nor does it drain near an air vent
[12:50:33]	[OOC] Jonathan Jackson: Perfect
[12:50:41]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:50:59]	[OOC] Jonathan Jackson: Does anyone own Cafe Baltic?
[12:51:05]	[OOC] OTA.C17-ECHO:OHZ.19343: i do but i'd be happy to give it up
[12:51:10]	[Y] Alex Palovichov: NOT IN THERE!
[12:51:16]	[Y] Alex Palovichov: NOT IN THERE!
[12:51:24]	[OOC] Jonathan Jackson: Well I am not even in CWU yet but I just wanted to ask for now
[12:51:25]	[Y] Alex Palovichov: I SAID OVER BY THE BRIDGE!
[12:51:35]	[Y] Alex Palovichov: That OTA Necrotic!
[12:51:47]	Anastasia Semenov ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#28254)
[12:51:47]	Anastasia Semenov has taken 1 damage from worldspawn.
[12:51:47]	Anastasia Semenov has taken 1 damage from worldspawn.
[12:51:48]	Anastasia Semenov has taken 1 damage from worldspawn.
[12:51:49]	Anastasia Semenov ran 'Equip' on item 'Cyclopic Citizen Suit' (#28254)
[12:52:09]	[Y] Jonathan Jackson: You alright down there? I heard someone choking.
[12:52:17]	OTA.C17-ECHO:OHZ.19343 has taken 15 damage from worldspawn.
[12:52:17]	OTA.C17-ECHO:OHZ.19343 has taken 50 damage from worldspawn.
[12:52:18]	[LOOC] OTA.C17-ECHO:OHZ.19343: FUCKING
[12:52:19]	[LOOC] OTA.C17-ECHO:OHZ.19343: WHORE
[12:52:32]	[LOOC] OTA.C17-ECHO:OHZ.19343: i turned on thirdpesro
[12:52:35]	[LOOC] OTA.C17-ECHO:OHZ.19343: and it rotated me
[12:52:36]	[LOOC] Alex Palovichov: Lol
[12:52:54]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[12:52:55]	Anastasia Semenov ran 'View' on item 'Paper' (#26870)
[12:53:27]	Anastasia Semenov ran 'View' on item 'Notepad' (#27669)
[12:53:30]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:53:31]	Anastasia Semenov opened the '' #250 container.
[12:53:33]	Anastasia Semenov closed the '' #250 container.
[12:53:34]	Anastasia Semenov opened the '' #251 container.
[12:53:36]	Anastasia Semenov closed the '' #251 container.
[12:53:43]	Anastasia Semenov ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#28254)
[12:53:45]	Anastasia Semenov ran 'Equip' on item 'Blue Pre-War Shirt' (#27978)
[12:53:52]	OTA.C17-ECHO:OHZ.19343 ran 'take' on item 'Pulse Ammunition' (#28407)
[12:53:52]	OTA.C17-ECHO:OHZ.19343 has gained a 'Pulse Ammunition' #28407.
[12:53:53]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:54:11]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:54:31]	OTA.C17-ECHO:OHZ.19343 used command '/ToggleRaise'.
[12:54:56]	[ME] OTA.C17-ECHO:OHZ.19343: would sling his MP7
[12:54:58]	[LOOC] Alex Palovichov: My code :(
[12:55:01]	[LOOC] OTA.C17-ECHO:OHZ.19343: huh
[12:55:11]	[LOOC] Alex Palovichov: I press in a code before I use the elevator...
[12:55:14]	[LOOC] OTA.C17-ECHO:OHZ.19343: oh
[12:55:14]	[LOOC] OTA.C17-ECHO:OHZ.19343: i
[12:55:16]	[LOOC] OTA.C17-ECHO:OHZ.19343: did not know that
[12:55:22]	[LOOC] OTA.C17-ECHO:OHZ.19343: that's a good idea
[12:55:23]	[LOOC] Alex Palovichov: Welp too late lol
[12:55:26]	Anastasia Semenov ran 'Equip' on item 'Cyclopic Citizen Suit' (#28254)
[12:56:15]	Anastasia Semenov opened the '' #2548 container.
[12:56:20]	Anastasia Semenov closed the '' #2548 container.
[12:56:22]	Anastasia Semenov opened the '' #252 container.
[12:56:24]	Anastasia Semenov closed the '' #252 container.
[12:56:39]	[ME] Alex Palovichov: Would slowly take out this disks, putting them into the chute
[12:56:40]	Anastasia Semenov ran 'View' on item 'Paper' (#23948)
[12:56:43]	Alex Palovichov ran 'drop' on item 'Interface Disk' (#28414)
[12:56:43]	Alex Palovichov has lost a 'Interface Disk' #28414.
[12:56:52]	[LOOC] Alex Palovichov: guh
[12:56:54]	hnbug01 (STEAM_0:1:575208276) has disconnected (timed out).
[12:56:56]	OTA.C17-ECHO:OHZ.19343 entered observer.
[12:57:02]	OTA.C17-ECHO:OHZ.19343 exited observer at their location.
[12:57:05]	[LOOC] OTA.C17-ECHO:OHZ.19343: shit
[12:57:09]	OTA.C17-ECHO:OHZ.19343 entered observer.
[12:57:12]	[OOC] Jonathan Jackson: Is there a way to edit your description? I attempted to do so through tab but it didn't seem to do much
[12:57:12]	[LOOC] Alex Palovichov: Oh its on my head
[12:57:13]	Alex Palovichov ran 'take' on item 'Interface Disk' (#28414)
[12:57:13]	Alex Palovichov has gained a 'Interface Disk' #28414.
[12:57:16]	Alex Palovichov ran 'drop' on item 'Interface Disk' (#28414)
[12:57:16]	Alex Palovichov has lost a 'Interface Disk' #28414.
[12:57:16]	OTA.C17-ECHO:OHZ.19343 exited observer at their location.
[12:57:17]	[OOC] Jonathan Jackson: Since it just reset
[12:57:17]	[LOOC] OTA.C17-ECHO:OHZ.19343: LOL
[12:57:23]	[OOC] OTA.C17-ECHO:OHZ.19343: yes, /chardesc
[12:57:26]	OTA.C17-ECHO:OHZ.19343 ran 'take' on item 'Interface Disk' (#28414)
[12:57:26]	OTA.C17-ECHO:OHZ.19343 has gained a 'Interface Disk' #28414.
[12:57:30]	Alex Palovichov ran 'drop' on item 'Interface Disk' (#28415)
[12:57:30]	Alex Palovichov has lost a 'Interface Disk' #28415.
[12:57:37]	OTA.C17-ECHO:OHZ.19343 ran 'take' on item 'Interface Disk' (#28415)
[12:57:37]	OTA.C17-ECHO:OHZ.19343 has gained a 'Interface Disk' #28415.
[12:57:39]	Alex Palovichov ran 'drop' on item 'Interface Disk' (#28413)
[12:57:39]	Alex Palovichov has lost a 'Interface Disk' #28413.
[12:57:47]	OTA.C17-ECHO:OHZ.19343 ran 'take' on item 'Interface Disk' (#28413)
[12:57:47]	OTA.C17-ECHO:OHZ.19343 has gained a 'Interface Disk' #28413.
[12:57:55]	Jonathan Jackson used command '/CharDesc 5'10 l Brown Hair l Brown Eyes l Fairly Young l Good Posture'.
