[00:20:16]	PS64 has connected.
[22:58:07]	[Y] CCA.C08-GRID.i4.69192: <:: YO BITCH WHAT'S YOUR ENG SKILL AT? ::>
[22:58:19]	[OOC] CCA.C08-HELIX.i2.58841: 4
[22:58:20]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[22:58:31]	[OOC] CCA.C08-GRID.i4.69192: i also forgot to add in the air tanks
[22:58:32]	[OOC] CCA.C08-GRID.i4.69192: fucking a
[22:58:32]	CCA.C08-GRID.i4.69192 entered observer.
[22:58:32]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[22:58:32]	CCA.C08-HELIX.i2.58841 has gained 10 tokens.
[22:58:32]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:58:33]	CCA.C08-GRID.i4.69192 entered observer.
[22:58:34]	CCA.C08-GRID.i4.69192 exited observer at their location.
[22:58:35]	[OOC] CCA.C08-GRID.i4.69192: okay hold on
[22:58:43]	[OOC] CCA.C08-HELIX.i2.58841: I'ma restart my voice thing to see if that fixes the noise problem
[23:00:10]	[OOC] CCA.C08-HELIX.i2.58841: Back. Didn't fix so 11/10
[23:05:06]	matt saton has connected.
[23:05:21]	Ollie Garner has connected.
[23:06:08]	matt saton loaded the character 'CCA.C08-GRID.i4.69192'
[23:06:10]	CCA.C08-GRID.i4.69192 entered observer.
[23:06:15]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:06:15]	CCA.C08-GRID.i4.69192 entered observer.
[23:06:16]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:06:18]	CCA.C08-GRID.i4.69192 entered observer.
[23:06:19]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:06:47]	CCA.C08-GRID.i4.69192 entered observer.
[23:06:53]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[23:07:10]	CCA.C08-GRID.i4.69192 has spawned "Blacksmith Tongs"
[23:07:15]	Ollie Garner loaded the character 'CCA.C08-HELIX.i2.58841'
[23:07:22]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:07:28]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Blacksmith Tongs' (#9084)
[23:07:28]	CCA.C08-HELIX.i2.58841 has gained a 'Blacksmith Tongs' #9084.
[23:07:29]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[23:07:34]	CCA.C08-GRID.i4.69192 has spawned "Blacksmith Tongs"
[23:07:43]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Blacksmith Tongs' (#9085)
[23:07:43]	CCA.C08-GRID.i4.69192 has gained a 'Blacksmith Tongs' #9085.
[23:08:20]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[23:08:25]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:25]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:26]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:26]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:26]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:27]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:27]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:27]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:28]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:28]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:28]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:29]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:29]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:29]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:30]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:30]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:30]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:31]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:31]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:31]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:32]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:32]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:32]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:38]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:38]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:38]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:39]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:39]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:39]	CCA.C08-GRID.i4.69192 has spawned "Charred Metal"
[23:08:42]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Charred Metal' (#9113)
[23:08:42]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #9113.
[23:08:43]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Charred Metal' (#9103)
[23:08:43]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #9103.
[23:08:45]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Charred Metal' (#9105)
[23:08:45]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #9105.
[23:08:46]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Charred Metal' (#9114)
[23:08:46]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #9114.
[23:08:46]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Charred Metal' (#9091)
[23:08:46]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #9091.
[23:08:49]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Charred Metal' (#9111)
[23:08:49]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #9111.
[23:09:00]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'Blacksmith Tongs' (#9084)
[23:09:00]	CCA.C08-HELIX.i2.58841 has lost a 'Blacksmith Tongs' #9084.
[23:09:11]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Blacksmith Tongs' (#9084)
[23:09:11]	CCA.C08-HELIX.i2.58841 has gained a 'Blacksmith Tongs' #9084.
[23:11:38]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9057.
[23:11:38]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9058.
[23:11:38]	CCA.C08-HELIX.i2.58841 has gained a 'Scrap Metal' #9115.
[23:11:53]	CCA.C08-HELIX.i2.58841 opened the '' #1025 container.
[23:12:12]	CCA.C08-HELIX.i2.58841 closed the '' #1025 container.
[23:12:15]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9110)
[23:12:15]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9110.
[23:12:16]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #9111.
[23:12:16]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #9113.
[23:12:16]	CCA.C08-GRID.i4.69192 has gained a 'Scrap Metal' #9116.
[23:12:17]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9109)
[23:12:17]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9109.
[23:12:19]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9112)
[23:12:19]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9112.
[23:12:20]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #9105.
[23:12:20]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #9091.
[23:12:20]	CCA.C08-GRID.i4.69192 has gained a 'Scrap Metal' #9117.
[23:12:20]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9108)
[23:12:20]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9108.
[23:12:24]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #9050.
[23:12:24]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #9062.
[23:12:24]	CCA.C08-GRID.i4.69192 has gained a 'Scrap Metal' #9118.
[23:12:24]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #9103.
[23:12:24]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #9114.
[23:12:24]	CCA.C08-GRID.i4.69192 has gained a 'Scrap Metal' #9119.
[23:12:28]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9108.
[23:12:28]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9112.
[23:12:28]	CCA.C08-HELIX.i2.58841 has gained a 'Scrap Metal' #9120.
[23:12:29]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9109.
[23:12:29]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9110.
[23:12:29]	CCA.C08-HELIX.i2.58841 has gained a 'Scrap Metal' #9121.
[23:12:30]	CCA.C08-HELIX.i2.58841 has lost a 'Scrap Metal' #9115.
[23:12:30]	CCA.C08-HELIX.i2.58841 has lost a 'Scrap Metal' #9120.
[23:12:30]	CCA.C08-HELIX.i2.58841 has lost a 'Scrap Metal' #9121.
[23:12:30]	CCA.C08-HELIX.i2.58841 has gained a 'Reclaimed Metal' #9120.
[23:12:35]	CCA.C08-GRID.i4.69192 has lost a 'Scrap Metal' #9119.
[23:12:35]	CCA.C08-GRID.i4.69192 has lost a 'Scrap Metal' #9116.
[23:12:35]	CCA.C08-GRID.i4.69192 has lost a 'Scrap Metal' #9117.
[23:12:35]	CCA.C08-GRID.i4.69192 has gained a 'Reclaimed Metal' #9121.
[23:12:36]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9097)
[23:12:36]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9097.
[23:12:37]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9104)
[23:12:37]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9104.
[23:12:38]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9095)
[23:12:38]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9095.
[23:12:39]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9098)
[23:12:39]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9098.
[23:12:40]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9094)
[23:12:40]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9094.
[23:12:42]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9095.
[23:12:42]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9098.
[23:12:42]	CCA.C08-HELIX.i2.58841 has gained a 'Scrap Metal' #9122.
[23:12:42]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9104.
[23:12:42]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9097.
[23:12:42]	CCA.C08-HELIX.i2.58841 has gained a 'Scrap Metal' #9123.
[23:12:59]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#6984)
[23:12:59]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #6984.
[23:13:01]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[23:13:03]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #6984.
[23:13:03]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9094.
[23:13:03]	CCA.C08-HELIX.i2.58841 has gained a 'Scrap Metal' #9124.
[23:13:03]	CCA.C08-HELIX.i2.58841 has lost a 'Scrap Metal' #9123.
[23:13:03]	CCA.C08-HELIX.i2.58841 has lost a 'Scrap Metal' #9124.
[23:13:03]	CCA.C08-HELIX.i2.58841 has lost a 'Scrap Metal' #9122.
[23:13:03]	CCA.C08-HELIX.i2.58841 has gained a 'Reclaimed Metal' #9122.
[23:13:10]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9106)
[23:13:10]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9106.
[23:13:11]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9099)
[23:13:11]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9099.
[23:13:13]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9107)
[23:13:13]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9107.
[23:13:14]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9100)
[23:13:14]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9100.
[23:13:15]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9093)
[23:13:15]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9093.
[23:13:16]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9090)
[23:13:16]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9090.
[23:13:20]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9099.
