[13:58:40]	OsoPonderoso has connected.
[17:31:57]	Sam Andrew Reeves has lost a 'Suitcase' #12517.
[17:32:01]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:02]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:03]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:03]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:04]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:05]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:05]	Sam Andrew Reeves ran 'take' on item 'Green Citizen Suit' (#12519)
[17:32:05]	Sam Andrew Reeves has gained a 'Green Citizen Suit' #12519.
[17:32:06]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:06]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:07]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:08]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:09]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:09]	Sam Andrew Reeves ran 'take' on item 'Suitcase' (#12517)
[17:32:09]	Sam Andrew Reeves has gained a 'Suitcase' #12517.
[17:32:09]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:10]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:11]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[17:32:12]	Sam Andrew Reeves ran 'Equip' on item 'Green Citizen Suit' (#12519)
[17:32:37]	Sam Andrew Reeves ran 'View' on item 'Paper' (#11097)
[17:32:53]	Sam Andrew Reeves ran 'View' on item 'Paper' (#11097)
[17:33:16]	Sam Andrew Reeves ran 'drop' on item 'Suitcase' (#12517)
[17:33:16]	Sam Andrew Reeves has lost a 'Suitcase' #12517.
[17:33:26]	Sam Andrew Reeves ran 'take' on item 'Suitcase' (#12517)
[17:33:26]	Sam Andrew Reeves has gained a 'Suitcase' #12517.
[17:33:42]	Sam Andrew Reeves ran 'drop' on item 'Suitcase' (#12517)
[17:33:42]	Sam Andrew Reeves has lost a 'Suitcase' #12517.
[17:33:51]	Sam Andrew Reeves ran 'take' on item 'Suitcase' (#12517)
[17:33:51]	Sam Andrew Reeves has gained a 'Suitcase' #12517.
[17:33:54]	Sam Andrew Reeves ran 'drop' on item 'Suitcase' (#12517)
[17:33:54]	Sam Andrew Reeves has lost a 'Suitcase' #12517.
[17:34:04]	Sam Andrew Reeves ran 'take' on item 'Suitcase' (#12517)
[17:34:04]	Sam Andrew Reeves has gained a 'Suitcase' #12517.
[17:34:19]	Nihilanth created the character 'thethetheeeee'
[17:34:19]	thethetheeeee has gained a 'Suitcase' #12521.
[17:34:19]	thethetheeeee has gained a 'Relocation Coupon' #12522.
[17:34:19]	thethetheeeee has gained a 'Cyclopic Citizen Suit' #12523.
[17:34:19]	thethetheeeee has gained a 'Citizen Filter' #12524.
[17:34:26]	Nihilanth loaded the character 'thethetheeeee'
[17:34:48]	thethetheeeee ran 'drop' on item 'Suitcase' (#12521)
[17:34:48]	thethetheeeee has lost a 'Suitcase' #12521.
[17:34:51]	thethetheeeee ran 'drop' on item 'Relocation Coupon' (#12522)
[17:34:51]	thethetheeeee has lost a 'Relocation Coupon' #12522.
[17:34:53]	thethetheeeee ran 'drop' on item 'Cyclopic Citizen Suit' (#12523)
[17:34:53]	thethetheeeee has lost a 'Cyclopic Citizen Suit' #12523.
[17:34:55]	thethetheeeee ran 'drop' on item 'Citizen Filter' (#12524)
[17:34:55]	thethetheeeee has lost a 'Citizen Filter' #12524.
[17:35:02]	Nihilanth loaded the character 'Sam Andrew Reeves'
[17:35:09]	Sam Andrew Reeves ran 'drop' on item 'Suitcase' (#12517)
[17:35:09]	Sam Andrew Reeves has lost a 'Suitcase' #12517.
[17:35:56]	Sam Andrew Reeves ran 'take' on item 'Suitcase' (#12517)
[17:35:56]	Sam Andrew Reeves has gained a 'Suitcase' #12517.
[17:36:21]	Sam Andrew Reeves ran 'drop' on item 'Suitcase' (#12517)
[17:36:21]	Sam Andrew Reeves has lost a 'Suitcase' #12517.
[17:36:54]	Sam Andrew Reeves ran 'take' on item 'Suitcase' (#12517)
[17:36:54]	Sam Andrew Reeves has gained a 'Suitcase' #12517.
[17:37:02]	Sam Andrew Reeves ran 'drop' on item 'Suitcase' (#12517)
[17:37:02]	Sam Andrew Reeves has lost a 'Suitcase' #12517.
[17:37:12]	Sam Andrew Reeves ran 'take' on item 'Suitcase' (#12517)
[17:37:12]	Sam Andrew Reeves has gained a 'Suitcase' #12517.
[17:38:11]	Nihilanth (STEAM_0:0:159680127) deleted character 'thethetheeeee'
[17:38:54]	Sam Andrew Reeves has taken 250 damage from trigger_hurt.
[17:38:54]	trigger_hurt has killed Sam Andrew Reeves.
[17:39:49]	Sam Andrew Reeves has taken 250 damage from trigger_hurt.
[17:39:49]	trigger_hurt has killed Sam Andrew Reeves.
[17:39:59]	Sam Andrew Reeves has taken 250 damage from trigger_hurt.
[17:39:59]	trigger_hurt has killed Sam Andrew Reeves.
[17:40:11]	Sam Andrew Reeves has taken 250 damage from trigger_hurt.
[17:40:11]	trigger_hurt has killed Sam Andrew Reeves.
[17:40:21]	Sam Andrew Reeves has taken 250 damage from trigger_hurt.
[17:40:21]	trigger_hurt has killed Sam Andrew Reeves.
[17:40:32]	Sam Andrew Reeves has taken 250 damage from trigger_hurt.
[17:40:32]	trigger_hurt has killed Sam Andrew Reeves.
[17:42:06]	Nihilanth created the character 'I am the man'
[17:42:06]	I am the man has gained a 'Suitcase' #12525.
[17:42:06]	I am the man has gained a 'Relocation Coupon' #12526.
[17:42:06]	I am the man has gained a 'Cyclopic Citizen Suit' #12527.
[17:42:06]	I am the man has gained a 'Citizen Filter' #12528.
[17:42:14]	Nihilanth loaded the character 'I am the man'
[17:42:31]	I am the man ran 'drop' on item 'Suitcase' (#12525)
[17:42:31]	I am the man has lost a 'Suitcase' #12525.
[17:42:35]	I am the man ran 'drop' on item 'Cyclopic Citizen Suit' (#12527)
[17:42:35]	I am the man has lost a 'Cyclopic Citizen Suit' #12527.
[17:43:03]	Nihilanth created the character 'I am the man I am the man'
[17:43:03]	I am the man I am the man has gained a 'Suitcase' #12529.
[17:43:03]	I am the man I am the man has gained a 'Relocation Coupon' #12530.
[17:43:03]	I am the man I am the man has gained a 'Cyclopic Citizen Suit' #12531.
[17:43:03]	I am the man I am the man has gained a 'Citizen Filter' #12532.
[17:43:08]	Nihilanth loaded the character 'I am the man I am the man'
[17:43:11]	I am the man I am the man has taken 250 damage from trigger_hurt.
[17:43:11]	trigger_hurt has killed I am the man I am the man.
[17:43:38]	I am the man I am the man ran 'drop' on item 'Cyclopic Citizen Suit' (#12531)
[17:43:38]	I am the man I am the man has lost a 'Cyclopic Citizen Suit' #12531.
[17:43:40]	I am the man I am the man ran 'drop' on item 'Suitcase' (#12529)
[17:43:40]	I am the man I am the man has lost a 'Suitcase' #12529.
[17:44:07]	Nihilanth created the character 'I am the man'
[17:44:07]	I am the man has gained a 'Suitcase' #12533.
[17:44:07]	I am the man has gained a 'Relocation Coupon' #12534.
[17:44:07]	I am the man has gained a 'Cyclopic Citizen Suit' #12535.
[17:44:07]	I am the man has gained a 'Citizen Filter' #12536.
[17:44:12]	Nihilanth loaded the character 'I am the man'
[17:44:17]	I am the man has taken 250 damage from trigger_hurt.
[17:44:17]	trigger_hurt has killed I am the man.
[17:44:28]	I am the man has taken 250 damage from trigger_hurt.
[17:44:28]	trigger_hurt has killed I am the man.
[17:44:41]	I am the man has taken 250 damage from trigger_hurt.
[17:44:41]	trigger_hurt has killed I am the man.
[17:45:12]	I am the man has taken 1 damage from worldspawn.
[17:45:12]	I am the man has taken 1 damage from worldspawn.
[17:45:13]	I am the man has taken 1 damage from worldspawn.
[17:45:14]	I am the man has taken 1 damage from worldspawn.
[17:45:15]	I am the man has taken 1 damage from worldspawn.
[17:45:16]	I am the man has taken 1 damage from worldspawn.
[17:45:16]	I am the man has taken 1 damage from worldspawn.
[17:45:17]	I am the man has taken 1 damage from worldspawn.
[17:45:17]	I am the man ran 'drop' on item 'Suitcase' (#12533)
[17:45:17]	I am the man has lost a 'Suitcase' #12533.
[17:45:18]	I am the man has taken 1 damage from worldspawn.
[17:45:19]	I am the man has taken 1 damage from worldspawn.
[17:45:19]	I am the man has taken 1 damage from worldspawn.
[17:45:20]	I am the man has taken 1 damage from worldspawn.
[17:45:21]	I am the man has taken 1 damage from worldspawn.
[17:45:21]	I am the man ran 'drop' on item 'Cyclopic Citizen Suit' (#12535)
[17:45:21]	I am the man has lost a 'Cyclopic Citizen Suit' #12535.
[17:45:22]	I am the man has taken 1 damage from worldspawn.
[17:45:22]	I am the man has taken 1 damage from worldspawn.
[17:45:23]	I am the man has taken 1 damage from worldspawn.
[17:45:24]	I am the man has taken 1 damage from worldspawn.
[17:45:25]	I am the man has taken 1 damage from worldspawn.
[17:45:25]	I am the man has taken 1 damage from worldspawn.
[17:45:26]	I am the man has taken 1 damage from worldspawn.
[17:45:27]	I am the man has taken 1 damage from worldspawn.
[17:45:28]	I am the man has taken 1 damage from worldspawn.
[17:45:28]	Nihilanth created the character 'I am the man'
[17:45:28]	I am the man has gained a 'Suitcase' #12537.
[17:45:28]	I am the man has gained a 'Relocation Coupon' #12538.
[17:45:28]	I am the man has gained a 'Cyclopic Citizen Suit' #12539.
[17:45:28]	I am the man has gained a 'Citizen Filter' #12540.
[17:45:28]	I am the man has taken 1 damage from worldspawn.
[17:45:29]	I am the man has taken 1 damage from worldspawn.
[17:45:30]	I am the man has taken 1 damage from worldspawn.
[17:45:31]	I am the man has taken 1 damage from worldspawn.
[17:45:31]	I am the man has taken 1 damage from worldspawn.
[17:45:32]	I am the man has taken 1 damage from worldspawn.
[17:45:32]	Nihilanth loaded the character 'I am the man'
[17:45:38]	I am the man has taken 250 damage from trigger_hurt.
[17:45:38]	trigger_hurt has killed I am the man.
[17:45:50]	I am the man has taken 250 damage from trigger_hurt.
[17:45:50]	trigger_hurt has killed I am the man.
[17:46:02]	I am the man has taken 250 damage from trigger_hurt.
[17:46:02]	trigger_hurt has killed I am the man.
[17:46:13]	I am the man has taken 250 damage from trigger_hurt.
[17:46:13]	trigger_hurt has killed I am the man.
[17:46:25]	I am the man has taken 250 damage from trigger_hurt.
[17:46:25]	trigger_hurt has killed I am the man.
[17:46:53]	I am the man ran 'drop' on item 'Cyclopic Citizen Suit' (#12539)
[17:46:53]	I am the man has lost a 'Cyclopic Citizen Suit' #12539.
[17:46:55]	I am the man ran 'drop' on item 'Suitcase' (#12537)
[17:46:55]	I am the man has lost a 'Suitcase' #12537.
[17:47:33]	I am the man has taken 1 damage from worldspawn.
[17:47:34]	I am the man has taken 1 damage from worldspawn.
[17:47:34]	I am the man has taken 1 damage from worldspawn.
[17:47:35]	I am the man has taken 1 damage from worldspawn.
[17:47:36]	I am the man has taken 1 damage from worldspawn.
[17:47:37]	I am the man has taken 1 damage from worldspawn.
[17:47:37]	I am the man has taken 1 damage from worldspawn.
[17:47:38]	I am the man has taken 1 damage from worldspawn.
[17:47:39]	I am the man ran 'take' on item 'Suitcase' (#12537)
[17:47:39]	I am the man has gained a 'Suitcase' #12537.
[17:47:39]	I am the man has taken 1 damage from worldspawn.
[17:47:40]	I am the man has taken 1 damage from worldspawn.
[17:47:41]	I am the man has taken 1 damage from worldspawn.
[17:47:41]	I am the man has taken 1 damage from worldspawn.
[17:47:42]	I am the man has taken 1 damage from worldspawn.
[17:47:43]	I am the man has taken 1 damage from worldspawn.
[17:47:44]	I am the man has taken 1 damage from worldspawn.
[17:47:44]	I am the man ran 'take' on item 'Cyclopic Citizen Suit' (#12539)
[17:47:44]	I am the man has gained a 'Cyclopic Citizen Suit' #12539.
[17:47:44]	I am the man has taken 1 damage from worldspawn.
[17:47:45]	I am the man has taken 1 damage from worldspawn.
[17:47:46]	I am the man has taken 1 damage from worldspawn.
[17:47:47]	I am the man has taken 1 damage from worldspawn.
[17:47:47]	I am the man has taken 1 damage from worldspawn.
[17:47:48]	I am the man has taken 1 damage from worldspawn.
[17:47:49]	I am the man has taken 1 damage from worldspawn.
[17:47:50]	I am the man has taken 1 damage from worldspawn.
[17:47:50]	I am the man has taken 1 damage from worldspawn.
[17:47:51]	I am the man has taken 1 damage from worldspawn.
[17:47:52]	I am the man has taken 1 damage from worldspawn.
[17:47:53]	I am the man has taken 1 damage from worldspawn.
[17:47:53]	I am the man has taken 1 damage from worldspawn.
[17:47:54]	Nihilanth loaded the character 'I am the man'
[17:47:54]	I am the man has taken 1 damage from worldspawn.
[17:47:55]	I am the man has taken 1 damage from worldspawn.
[17:47:56]	I am the man has taken 1 damage from worldspawn.
[17:47:56]	I am the man has taken 1 damage from worldspawn.
[17:47:57]	I am the man has taken 1 damage from worldspawn.
[17:47:58]	I am the man has taken 1 damage from worldspawn.
[17:47:59]	I am the man has taken 1 damage from worldspawn.
[17:47:59]	I am the man has taken 1 damage from worldspawn.
[17:48:00]	I am the man ran 'take' on item 'Suitcase' (#12533)
[17:48:00]	I am the man has gained a 'Suitcase' #12533.
[17:48:00]	I am the man has taken 1 damage from worldspawn.
[17:48:01]	I am the man has taken 1 damage from worldspawn.
[17:48:02]	I am the man has taken 1 damage from worldspawn.
[17:48:02]	I am the man has taken 1 damage from worldspawn.
[17:48:03]	I am the man has taken 1 damage from worldspawn.
[17:48:04]	I am the man has taken 1 damage from worldspawn.
[17:48:05]	I am the man has taken 1 damage from worldspawn.
[17:48:06]	I am the man has taken 1 damage from worldspawn.
[17:48:06]	I am the man has taken 1 damage from worldspawn.
[17:48:07]	I am the man ran 'take' on item 'Cyclopic Citizen Suit' (#12535)
[17:48:07]	I am the man has gained a 'Cyclopic Citizen Suit' #12535.
[17:48:07]	I am the man has taken 1 damage from worldspawn.
[17:48:08]	I am the man has taken 1 damage from worldspawn.
[17:48:09]	I am the man has taken 1 damage from worldspawn.
[17:48:09]	I am the man has taken 1 damage from worldspawn.
[17:48:10]	I am the man has taken 1 damage from worldspawn.
[17:48:11]	I am the man has taken 1 damage from worldspawn.
[17:48:12]	I am the man has taken 1 damage from worldspawn.
[17:48:12]	I am the man has taken 1 damage from worldspawn.
[17:48:13]	I am the man has taken 1 damage from worldspawn.
[17:48:13]	Nihilanth loaded the character 'I am the man I am the man'
[17:48:14]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:15]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:15]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:16]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:17]	I am the man I am the man ran 'take' on item 'Suitcase' (#12529)
[17:48:17]	I am the man I am the man has gained a 'Suitcase' #12529.
[17:48:17]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:18]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:18]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:19]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:20]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:21]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:21]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:22]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:23]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:23]	I am the man I am the man ran 'take' on item 'Cyclopic Citizen Suit' (#12531)
[17:48:23]	I am the man I am the man has gained a 'Cyclopic Citizen Suit' #12531.
[17:48:24]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:24]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:25]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:26]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:27]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:27]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:28]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:29]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:30]	I am the man I am the man has taken 1 damage from worldspawn.
[17:48:30]	Nihilanth loaded the character 'I am the man'
[17:48:31]	I am the man has taken 1 damage from worldspawn.
[17:48:31]	I am the man has taken 1 damage from worldspawn.
[17:48:32]	I am the man ran 'take' on item 'Cyclopic Citizen Suit' (#12523)
[17:48:32]	I am the man has gained a 'Cyclopic Citizen Suit' #12523.
[17:48:32]	I am the man has taken 1 damage from worldspawn.
[17:48:33]	I am the man has taken 1 damage from worldspawn.
[17:48:33]	I am the man ran 'take' on item 'Suitcase' (#12525)
[17:48:33]	I am the man has gained a 'Suitcase' #12525.
[17:48:34]	I am the man has taken 1 damage from worldspawn.
[17:48:34]	I am the man has taken 1 damage from worldspawn.
[17:48:35]	I am the man has taken 1 damage from worldspawn.
[17:48:36]	I am the man has taken 1 damage from worldspawn.
[17:48:37]	I am the man has taken 1 damage from worldspawn.
[17:48:37]	I am the man has taken 1 damage from worldspawn.
[17:48:38]	I am the man has taken 1 damage from worldspawn.
[17:48:39]	I am the man has taken 1 damage from worldspawn.
[17:48:40]	I am the man has taken 1 damage from worldspawn.
[17:48:40]	I am the man has taken 1 damage from worldspawn.
[17:48:41]	Nihilanth loaded the character 'Sam Andrew Reeves'
[17:48:48]	Nihilanth (STEAM_0:0:159680127) deleted character 'I am the man'
[17:48:51]	Nihilanth (STEAM_0:0:159680127) deleted character 'I am the man'
[17:48:53]	Nihilanth (STEAM_0:0:159680127) deleted character 'I am the man I am the man'
[17:48:55]	Nihilanth (STEAM_0:0:159680127) deleted character 'I am the man'
[17:54:27]	Sam Andrew Reeves has taken 12 damage from worldspawn.
[17:57:20]	Sam Andrew Reeves opened the '' #1233 container.
[17:57:23]	Sam Andrew Reeves closed the '' #1233 container.
[17:57:43]	Sam Andrew Reeves opened the '' #1253 container.
[17:57:43]	Sam Andrew Reeves closed the '' #1253 container.
[17:57:44]	Sam Andrew Reeves opened the '' #1253 container.
[17:57:46]	Sam Andrew Reeves closed the '' #1253 container.
[17:57:48]	Sam Andrew Reeves opened the '' #1252 container.
[17:57:50]	Sam Andrew Reeves closed the '' #1252 container.
[18:01:02]	Sam Andrew Reeves used the 'Shady Salesman' vendor.
[18:01:06]	Sam Andrew Reeves used the 'Shady Salesman' vendor.
[18:01:44]	Sam Andrew Reeves used the 'Shady Salesman' vendor.
[18:04:31]	Sam Andrew Reeves has taken 5 damage from npc_headcrab.
[18:04:33]	Sam Andrew Reeves has taken 5 damage from npc_headcrab.
[18:04:38]	Sam Andrew Reeves has taken 5 damage from npc_headcrab.
[18:04:43]	Sam Andrew Reeves has taken 5 damage from npc_headcrab.
[18:06:34]	Sam Andrew Reeves has taken 3 damage from npc_fastzombie.
[18:06:34]	Sam Andrew Reeves has taken 3 damage from npc_fastzombie.
[18:07:08]	Sam Andrew Reeves has taken 5 damage from npc_fastzombie.
[18:07:09]	Sam Andrew Reeves has taken 3 damage from npc_fastzombie.
[18:07:09]	Sam Andrew Reeves has taken 3 damage from npc_fastzombie.
[18:07:19]	Sam Andrew Reeves opened the '' #1066 container.
[18:07:21]	Sam Andrew Reeves closed the '' #1066 container.
[18:07:23]	Sam Andrew Reeves opened the '' #1256 container.
[18:07:23]	Sam Andrew Reeves closed the '' #1256 container.
[18:07:25]	Sam Andrew Reeves opened the '' #1256 container.
[18:07:27]	Sam Andrew Reeves closed the '' #1256 container.
[18:08:22]	Sam Andrew Reeves has taken 10 damage from npc_zombie.
[18:09:52]	Sam Andrew Reeves opened the '' #1256 container.
