[04:20:12]	Avi has connected.
[13:47:16]	CCA.C08-UNION.i4.19691 has killed Ethan King with ix_stunstick.
[13:47:17]	Kayle Solo loaded the character 'Alexei Stravolsky'
[13:47:20]	[LOOC] CCA.C08-UNION.i4.19691: wait are you dead
[13:47:25]	[OOC] Ethan King: Yes
[13:47:26]	Kayle Solo loaded the character 'Nicholas Nilsson'
[13:47:28]	[OOC] CCA.C08-UNION.i4.19691: shit
[13:47:31]	[OOC] Ethan King: lmao
[13:47:34]	[OOC] Nicholas Nilsson: now im INSIDE the ceiling
[13:47:38]	[OOC] CCA.C08-UNION.i4.19691: well whatever
[13:47:42]	[OOC] CCA.C08-UNION.i4.19691: you get the point lmfao
[13:47:42]	CCA.C08-UNION.i4.19691 entered observer.
[13:47:46]	[OOC] Nicholas Nilsson: union are you admin
[13:47:53]	CCA.C08-UNION.i4.19691 exited observer at their location.
[13:47:55]	[OOC] Ethan King: Yeah big ethan got bullied with a stick
[13:47:57]	[OOC] Nicholas Nilsson: thanks gamer
[13:48:12]	FB|| light ROOM loaded the character 'Mitchell Lazarus'
[13:48:25]	[OOC] Nicholas Nilsson: time to reinstall counter strike source *default dances*
[13:48:32]	[OOC] Mitchell Lazarus: Bruh
[13:48:33]	Kayle Solo (STEAM_0:1:39753467) has disconnected.
[13:48:52]	matt saton has connected.
[13:49:39]	[OOC] Mitchell Lazarus: Yeet
[13:50:15]	Mitchell Lazarus used command '/ActLean'.
[13:50:54]	CCA.C08-UNION.i4.19691 has gained 10 tokens.
[13:51:02]	[OOC] Mitchell Lazarus: Bruh, Imma bout to pull whats called a pro-gamer move.
[13:51:54]	[OOC] Mitchell Lazarus: Half-life 2 rp but it's in Half-life alyx.
[13:51:55]	Mitchell Lazarus used command '/ExitAct'.
[13:52:05]	Mitchell Lazarus used command '/ActLean'.
[13:52:13]	Kayle Solo has connected.
[13:52:33]	matt saton loaded the character 'Eliza Mimsley'
[13:52:35]	Eliza Mimsley entered observer.
[13:52:39]	Kayle Solo loaded the character 'Nicholas Nilsson'
[13:52:54]	[OOC] Nicholas Nilsson: oh it feels good to not be inside a ceiling
[13:53:05]	[LOOC] CCA.C08-UNION.i4.19691: ikr
[13:53:13]	Eliza Mimsley used command '/PM union are you not able to physgun players?'.
[13:53:14]	[LOOC] Nicholas Nilsson: i will say the g word
[13:53:18]	[LOOC] Nicholas Nilsson: g*mer
[13:53:22]	CCA.C08-UNION.i4.19691 used command '/PM eliza nope.'.
[13:53:28]	Eliza Mimsley used command '/PM union wtf'.
[13:53:38]	[OOC] Mitchell Lazarus: You seem to do that alot.
[13:53:41]	[LOOC] CCA.C08-UNION.i4.19691: sorry
[13:53:43]	[LOOC] CCA.C08-UNION.i4.19691: just testing
[13:53:43]	[OOC] Nicholas Nilsson: penis lady
[13:53:48]	[OOC] CCA.C08-UNION.i4.19691: woah
[13:53:52]	[LOOC] Nicholas Nilsson: you're admin
[13:53:55]	[OOC] Mitchell Lazarus: Bruh
[13:53:55]	Mitchell Lazarus used command '/ExitAct'.
[13:54:02]	[LOOC] Nicholas Nilsson: ?
[13:54:10]	[LOOC] Nicholas Nilsson: oh frick oh fuck
[13:54:14]	[LOOC] Nicholas Nilsson: accidentes
[13:54:24]	[OOC] Nicholas Nilsson: J. Heat sounds like a porn name
[13:54:32]	[OOC] CCA.C08-UNION.i4.19691: hes dead
[13:54:36]	[OOC] CCA.C08-UNION.i4.19691: i watched him die
[13:54:44]	[OOC] CCA.C08-UNION.i4.19691: on my other character
[13:54:57]	[LOOC] Mitchell Lazarus: Can1 do it now
[13:55:07]	[LOOC] Mitchell Lazarus: NO U
[13:55:16]	[OOC] Nicholas Nilsson: i will say le n word
[13:55:18]	[LOOC] Mitchell Lazarus: Your ugly
[13:55:20]	[OOC] Nicholas Nilsson: Nicaragua
[13:55:41]	[OOC] Nicholas Nilsson: i should make a character named Vincent Vincent
[13:55:44]	[OOC] Mitchell Lazarus: When the CP chad calls the OTA virgin ugly
[13:55:54]	CCA.C08-UNION.i4.19691 has gained 10 tokens.
[13:55:55]	Eliza Mimsley has spawned 'models/props_c17/chair02a.mdl'.
[13:56:04]	[OOC] Nicholas Nilsson: The Virgin Rebel vs the CHAD Transhuman Soldier of the Universal Union
[13:56:10]	[1K-85] J.Heat has connected.
[13:56:27]	[OOC] Nicholas Nilsson: my mouse can suck a fat fucking dick
[13:56:40]	[OOC] Mitchell Lazarus: I see a bunch of undone props so thats cool
[13:56:53]	[1K-85] J.Heat loaded the character 'Justin Bail'
[13:56:56]	Eliza Mimsley used command '/ToggleRaise'.
[13:57:01]	CCA.C08-UNION.i4.19691 used command '/PM eliza are you able to fix that?'.
[13:57:05]	[OOC] Justin Bail: hello
[13:57:09]	[OOC] Mitchell Lazarus: Yo
[13:57:09]	Eliza Mimsley used command '/PM union yeah, working on fixing it'.
[13:57:39]	[OOC] Mitchell Lazarus: Mister CP man are you gonna bully me again?
[13:57:44]	Eliza Mimsley used command '/ToggleRaise'.
[13:57:47]	[OOC] Eliza Mimsley: it might work now
[13:57:48]	Eliza Mimsley exited observer at their location.
[13:57:49]	Eliza Mimsley entered observer.
[13:57:50]	Eliza Mimsley exited observer at their location.
[13:57:52]	[OOC] Justin Bail: hi q
[13:57:59]	[LOOC] Eliza Mimsley: union can you please try ot hpsysgun him
[13:58:04]	Eliza Mimsley entered observer.
[13:59:14]	Eliza Mimsley has spawned a 'Entity [2970][pfx1_07]'.
[14:00:49]	[OOC] Nicholas Nilsson: bruh i wanna be a CP
[14:00:54]	CCA.C08-UNION.i4.19691 has gained 10 tokens.
[14:00:55]	[OOC] Nicholas Nilsson: and thats on jah
[14:00:57]	[OOC] Justin Bail: then go to tryouts
[14:01:00]	[OOC] CCA.C08-UNION.i4.19691: take my skin
[14:01:04]	[OOC] Nicholas Nilsson: then tell me where the fuck tryouts are
[14:01:40]	[OOC] Nicholas Nilsson: epic ratio
[14:02:08]	Eliza Mimsley used command '/CharSetModel union models/dpfilms/metropolice/hdpolice.mdl'.
[14:02:09]	Kayle Solo loaded the character 'Alexei Stravolsky'
[14:02:14]	[OOC] Alexei Stravolsky: hey epic owner bro
[14:02:18]	[OOC] Alexei Stravolsky: can you come get me out of here
[14:02:19]	[OOC] Eliza Mimsley: suh
[14:02:22]	[OOC] CCA.C08-UNION.i4.19691: now its not broken
[14:02:26]	[OOC] Alexei Stravolsky: oh epic times
[14:02:34]	CCA.C08-UNION.i4.19691 entered observer.
[14:02:44]	[OOC] Eliza Mimsley: are you able to physdgun people now
[14:02:47]	CCA.C08-UNION.i4.19691 exited observer at their location.
[14:02:47]	CCA.C08-UNION.i4.19691 entered observer.
[14:02:54]	[LOOC] CCA.C08-UNION.i4.19691: nope
[14:02:54]	CCA.C08-UNION.i4.19691 exited observer at their location.
[14:02:57]	Eliza Mimsley exited observer at their location.
[14:03:00]	[OOC] Alexei Stravolsky: bruh
[14:03:04]	[OOC] Alexei Stravolsky: im good now bruh
[14:03:04]	Eliza Mimsley entered observer.
[14:03:09]	[OOC] Alexei Stravolsky: stop having hot anal sex with me
[14:03:12]	CCA.C08-UNION.i4.19691 entered observer.
[14:03:13]	[OOC] Eliza Mimsley: yeah i know, but union wasn't able to physgun ppl
[14:03:15]	[OOC] Mitchell Lazarus: NO U
[14:03:16]	CCA.C08-UNION.i4.19691 exited observer at their location.
[14:03:23]	[OOC] Eliza Mimsley: which i kinda gotta address
[14:03:27]	[OOC] CCA.C08-UNION.i4.19691: still cant
[14:03:31]	[OOC] Eliza Mimsley: fucking a
[14:03:34]	CCA.C08-UNION.i4.19691 entered observer.
[14:03:35]	[OOC] Alexei Stravolsky: it would be really epic if i could be a headcrab
[14:03:38]	CCA.C08-UNION.i4.19691 exited observer at their location.
[14:03:44]	Eliza Mimsley used command '/PM bail now you're not'.
[14:03:48]	Eliza Mimsley used command '/PM bail no*'.
[14:03:57]	Eliza Mimsley exited observer at their location.
[14:03:58]	[OOC] Mitchell Lazarus: I'm still waiting for Cremator.
[14:03:59]	Eliza Mimsley entered observer.
[14:04:05]	[OOC] Eliza Mimsley: ;-;
[14:04:07]	[OOC] Alexei Stravolsky: oh no
[14:04:15]	[OOC] CCA.C08-UNION.i4.19691: im still waiting till its not donator or until i have money
[14:04:20]	Eliza Mimsley exited observer at their location.
[14:04:20]	Eliza Mimsley entered observer.
[14:04:22]	Eliza Mimsley exited observer at their location.
[14:04:22]	Eliza Mimsley entered observer.
[14:04:40]	[OOC] Alexei Stravolsky: yo think i could roll to squeeze through this
[14:04:45]	[OOC] Mitchell Lazarus: I want to support the server so i'm thinking of donating atleast a little money.
[14:04:49]	Eliza Mimsley used command '/ToggleRaise'.
[14:04:51]	Kayle Solo loaded the character 'Nicholas Nilsson'
[14:05:01]	Kayle Solo loaded the character 'Alexei Stravolsky'
[14:05:03]	[OOC] Eliza Mimsley: we would appreciate it a lot, and all of the money goes to hosting
[14:05:04]	Eliza Mimsley used command '/DoorSetHidden true'.
[14:05:05]	[OOC] CCA.C08-UNION.i4.19691: oh CP gun posing broke
[14:05:07]	[OOC] Eliza Mimsley: we make no profit
[14:05:12]	[OOC] CCA.C08-UNION.i4.19691: running with USP makes my model break
[14:05:21]	[OOC] Alexei Stravolsky: it would be le epic if i could squeeze through this hole
[14:05:24]	Eliza Mimsley used command '/CharSetModel union models/dpfilms/metropolice/playermodels/pm_hdpolice.mdl'.
[14:05:28]	[OOC] Mitchell Lazarus: Using a mic on CP makes my brain hurt
[14:05:34]	[OOC] Eliza Mimsley: yeah that's how the NPC model works
[14:05:39]	[OOC] Eliza Mimsley: i set you bac kt othe PM
[14:05:39]	[OOC] CCA.C08-UNION.i4.19691: i do like that other model tho :(
[14:05:54]	CCA.C08-UNION.i4.19691 has gained 10 tokens.
[14:06:02]	Eliza Mimsley used command '/CharSetModel union models/dpfilms/metropolice/badass_police.mdl'.
[14:06:03]	[OOC] Alexei Stravolsky: owner how are we supposed to get to the outlands if the only way there is blocked
[14:06:06]	[OOC] Alexei Stravolsky: bruh moment
[14:06:14]	Eliza Mimsley used command '/CharSetModel union models/dpfilms/metropolice/hdpolice.mdl'.
[14:06:24]	[OOC] Eliza Mimsley: roleplaying a way into it
[14:06:35]	Eliza Mimsley exited observer at their location.
[14:06:38]	Eliza Mimsley entered observer.
[14:06:43]	Eliza Mimsley exited observer at their location.
[14:06:46]	[OOC] Alexei Stravolsky: rollstat do be kinda cringe tho, i cant just type in agility
[14:06:49]	Alexei Stravolsky used command '/RollStat agl'.
[14:06:54]	Eliza Mimsley entered observer.
[14:06:55]	Alexei Stravolsky used command '/RollStat agi'.
[14:06:59]	[OOC] Eliza Mimsley: wat
[14:07:01]	Eliza Mimsley used command '/RollStat agility'.
[14:07:03]	[OOC] Alexei Stravolsky: ok like
[14:07:05]	Eliza Mimsley used command '/RollStat agi'.
[14:07:08]	[OOC] Eliza Mimsley: oh
[14:07:10]	[OOC] Eliza Mimsley: you do /rollstat agi
[14:07:15]	[OOC] Eliza Mimsley: oh yeah that's fuckin weird
[14:07:16]	[OOC] Eliza Mimsley: i'llfix that
[14:07:18]	[OOC] Alexei Stravolsky: yeah i figured it out\
[14:07:29]	Eliza Mimsley exited observer at their location.
[14:07:29]	Eliza Mimsley entered observer.
[14:07:31]	Eliza Mimsley exited observer at their location.
[14:07:32]	Eliza Mimsley entered observer.
[14:07:33]	Eliza Mimsley exited observer at their location.
[14:07:34]	Eliza Mimsley entered observer.
[14:07:34]	[OOC] Alexei Stravolsky: anyways do you think an agility roll would be possible to squeeze through this
[14:07:35]	Eliza Mimsley exited observer at their location.
[14:07:35]	Justin Bail ran 'take' on item 'Battered Scrap' (#6629)
[14:07:35]	Justin Bail has gained a 'Battered Scrap' #6629.
[14:07:36]	Justin Bail ran 'take' on item 'Pipe' (#6636)
[14:07:36]	Justin Bail has gained a 'Pipe' #6636.
[14:07:36]	Eliza Mimsley entered observer.
[14:07:38]	Justin Bail ran 'take' on item 'Nails' (#6631)
[14:07:38]	Justin Bail has gained a 'Nails' #6631.
[14:07:39]	Justin Bail ran 'take' on item 'Old Syringe' (#6638)
[14:07:39]	Justin Bail has gained a 'Old Syringe' #6638.
[14:07:40]	Justin Bail ran 'take' on item 'Battered Scrap' (#6630)
[14:07:40]	Justin Bail has gained a 'Battered Scrap' #6630.
[14:07:54]	Eliza Mimsley used command '/PM bail what'.
[14:07:59]	[OOC] CCA.C08-UNION.i4.19691: bruh
[14:08:03]	[OOC] Alexei Stravolsky: Bruh
[14:08:07]	Eliza Mimsley used command '/PM bail you are with a fuckin trialmod'.
[14:08:08]	[OOC] CCA.C08-UNION.i4.19691: how you gonna admin shop
[14:08:16]	[OOC] CCA.C08-UNION.i4.19691: i can see all that ur typing justin
[14:08:26]	Eliza Mimsley used command '/PM alexei unfortunately not.'.
[14:08:29]	[OOC] CCA.C08-UNION.i4.19691: hes still in the server
[14:08:32]	CCA.C08-UNION.i4.19691 entered observer.
[14:08:32]	Alexei Stravolsky used command '/PM eliza bruh momento'.
[14:08:41]	Alexei Stravolsky has taken 5 damage from radio_3.
[14:08:45]	Eliza Mimsley used command '/PM alexei i'm gonna go brush my teefers, hold on'.
[14:08:48]	CCA.C08-UNION.i4.19691 exited observer at their location.
[14:08:48]	CCA.C08-UNION.i4.19691 entered observer.
[14:08:49]	CCA.C08-UNION.i4.19691 exited observer at their location.
[14:08:49]	CCA.C08-UNION.i4.19691 entered observer.
[14:08:50]	CCA.C08-UNION.i4.19691 exited observer at their location.
[14:09:01]	Justin Bail has taken 45 damage from worldspawn.
[14:09:04]	CCA.C08-UNION.i4.19691 entered observer.
[14:09:07]	CCA.C08-UNION.i4.19691 exited observer at their location.
[14:09:09]	CCA.C08-UNION.i4.19691 entered observer.
[14:09:26]	Alexei Stravolsky opened the '' #891 container.
[14:09:29]	Alexei Stravolsky closed the '' #891 container.
[14:09:39]	CCA.C08-UNION.i4.19691 exited observer at their location.
[14:09:51]	[OOC] CCA.C08-UNION.i4.19691: ulx bring broke for me
[14:09:54]	[OOC] Eliza Mimsley: hold on
[14:10:10]	[OOC] CCA.C08-UNION.i4.19691: u gotta rp to get through the broken wood door, right? 
[14:10:20]	Eliza Mimsley exited observer at their location.
[14:10:26]	[OOC] Eliza Mimsley: nah, the large hole lets you walk through
[14:10:26]	Eliza Mimsley entered observer.
[14:10:31]	[OOC] CCA.C08-UNION.i4.19691: ah ok nvm
[14:10:32]	[LOOC] Alexei Stravolsky: big epic character description bruh
[14:10:32]	CCA.C08-UNION.i4.19691 entered observer.
[14:10:39]	[OOC] Eliza Mimsley: well, crouch through
[14:10:42]	FB|| light ROOM loaded the character 'Ethan King'
[14:10:45]	[OOC] Eliza Mimsley: does it just not let you target people or what
[14:10:48]	[OOC] Eliza Mimsley: ulx bring i mean
[14:10:54]	CCA.C08-UNION.i4.19691 has gained 10 tokens.
[14:10:55]	[OOC] CCA.C08-UNION.i4.19691: yeah
[14:11:04]	[LOOC] CCA.C08-UNION.i4.19691: little rebels
[14:11:10]	Ethan King has taken 25 damage from worldspawn.
[14:11:13]	[OOC] Eliza Mimsley: i take it you're not able to physgun users?
[14:11:17]	[OOC] CCA.C08-UNION.i4.19691: yep :/
[14:11:19]	[OOC] Eliza Mimsley: hold on
[14:11:21]	CCA.C08-UNION.i4.19691 exited observer at their location.
[14:11:23]	[OOC] Eliza Mimsley: i gotta brush my teef
[14:11:26]	[LOOC] Alexei Stravolsky: big bruh
[14:11:28]	CCA.C08-UNION.i4.19691 entered observer.
[14:11:58]	CCA.C08-UNION.i4.19691 exited observer at their location.
[14:12:01]	Ethan King has taken 5 damage from worldspawn.
[14:12:58]	Ethan King has taken 20 damage from worldspawn.
[14:13:32]	[OOC] Alexei Stravolsky: everyone is in the fucking sewers im lmfao
[14:13:34]	XYZ509 loaded the character 'Jimmy 'Watcher 3' John'
[14:13:42]	[OOC] Jimmy 'Watcher 3' John: my flashlight broken af
[14:13:48]	Jimmy 'Watcher 3' John ran 'drop' on item 'Flashlight' (#6358)
[14:13:48]	Jimmy 'Watcher 3' John has lost a 'Flashlight' #6358.
[14:13:49]	Jimmy 'Watcher 3' John ran 'take' on item 'Flashlight' (#6358)
[14:13:49]	Jimmy 'Watcher 3' John has gained a 'Flashlight' #6358.
[14:13:50]	[OOC] Alexei Stravolsky: civies dont have flashlights
[14:13:59]	[OOC] Jimmy 'Watcher 3' John: no shit
[14:14:08]	[OOC] Jimmy 'Watcher 3' John: i have a flashlight 
[14:14:12]	[OOC] Jimmy 'Watcher 3' John: its not working
[14:14:17]	Jimmy 'Watcher 3' John entered observer.
[14:14:18]	Jimmy 'Watcher 3' John exited observer at their location.
[14:14:23]	Jimmy 'Watcher 3' John ran 'Equip' on item 'AR2' (#6320)
[14:14:44]	[OOC] Alexei Stravolsky: oh boy, 5:0 ratio lets get it gamers
[14:14:56]	[OOC] Alexei Stravolsky: its a big bruh, i gotta say
[14:15:32]	[OOC] Alexei Stravolsky: is eliza still brushing his teef
[14:15:39]	[OOC] Jimmy 'Watcher 3' John: yeah why
[14:15:40]	Jimmy 'Watcher 3' John entered observer.
[14:15:44]	[OOC] Alexei Stravolsky: big bruh
[14:15:45]	Jimmy 'Watcher 3' John exited observer at their location.
[14:15:47]	Jimmy 'Watcher 3' John entered observer.
[14:15:49]	Jimmy 'Watcher 3' John exited observer at their location.
[14:15:50]	[LOOC] Jimmy 'Watcher 3' John: what
[14:15:51]	Jimmy 'Watcher 3' John entered observer.
[14:15:51]	Jimmy 'Watcher 3' John exited observer at their location.
[14:15:55]	[LOOC] Jimmy 'Watcher 3' John: what do you need
[14:15:56]	[LOOC] Alexei Stravolsky: just checking
[14:15:59]	Jimmy 'Watcher 3' John entered observer.
[14:16:07]	[LOOC] Alexei Stravolsky: ooc
[14:16:24]	[LOOC] Ethan King: F3'sssssss
[14:17:03]	Jimmy 'Watcher 3' John exited observer at their location.
[14:17:06]	[Y] Jimmy 'Watcher 3' John: YO!
[14:17:14]	[Y] Jimmy 'Watcher 3' John: See this hole?!
[14:17:19]	[LOOC] Alexei Stravolsky: big bruh
[14:17:30]	[ME] Ethan King: Crouchs down and looks down
[14:17:35]	[Y] Jimmy 'Watcher 3' John: Don't worry about that.
[14:17:46]	[OOC] Alexei Stravolsky: its a big bruh when you hit your spray key
[14:17:59]	[Y] Jimmy 'Watcher 3' John: There is no other exit.
[14:18:04]	[Y] Jimmy 'Watcher 3' John: This is the only way in and out.
[14:18:08]	[OOC] Alexei Stravolsky: im just waiting to hear justin's parents over his mic 
[14:18:20]	[Y] Jimmy 'Watcher 3' John: I don't know.
[14:18:23]	[Y] Jimmy 'Watcher 3' John: Find a way.
[14:18:33]	[Y] Jimmy 'Watcher 3' John: How the hell would I help.
[14:18:33]	[LOOC] Alexei Stravolsky: inb4 rollstat str
[14:18:49]	[ME] Jimmy 'Watcher 3' John: burst out into laughter
[14:18:55]	[LOOC] Alexei Stravolsky: BIG BRUH
[14:18:59]	[Y] Jimmy 'Watcher 3' John: Pfft. BIG WEAPONS he said.
[14:19:21]	[OOC] Jimmy 'Watcher 3' John: Eliza type a in chat when  your back i need your approval on something
[14:19:28]	[Y] Jimmy 'Watcher 3' John: Well.
[14:19:28]	[OOC] Alexei Stravolsky: Sorry Link, I can't GIVE credit, come back when you're a little... mmmm, RICHER!
[14:19:59]	[LOOC] Alexei Stravolsky: justin do you actually have a pipe in rp like did an admin give it to you
[14:20:18]	[Y] Jimmy 'Watcher 3' John: I might have a way, hold on though, I gotta piss.
[14:20:23]	[LOOC] Jimmy 'Watcher 3' John: actually got to irl
[14:20:25]	[LOOC] Jimmy 'Watcher 3' John: gimme a sec
[14:20:32]	Justin Bail ran 'drop' on item 'Pipe' (#6636)
[14:20:32]	Justin Bail has lost a 'Pipe' #6636.
[14:20:37]	Justin Bail ran 'take' on item 'Pipe' (#6636)
[14:20:37]	Justin Bail has gained a 'Pipe' #6636.
[14:20:51]	Justin Bail ran 'Equip' on item 'Rock' (#6633)
[14:20:52]	[ME] Ethan King: Starts crawling through the sewage pipe.
[14:21:07]	[LOOC] Alexei Stravolsky: bruh justin he actually is taking a piss irl
[14:21:44]	Justin Bail has taken 5 damage from radio_3.
[14:21:45]	Alexei Stravolsky has taken 10 damage from radio_3.
[14:22:26]	[OOC] Alexei Stravolsky: Number 14. Donut Aids. The last thing you want in your Dunkin Donuts is someone's AIDs. But that might just be what you get.
[14:22:39]	[OOC] Ethan King: Old memes are the best memes
[14:23:09]	Ethan King opened the '' #891 container.
[14:23:11]	Ethan King closed the '' #891 container.
[14:23:13]	[LOOC] Alexei Stravolsky: justin /rollstat is a king
[14:23:56]	[OOC] Jimmy 'Watcher 3' John: maaaaaaaaaatt
[14:23:59]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[14:24:28]	Jimmy 'Watcher 3' John entered observer.
[14:24:43]	[OOC] Justin Bail: qqqqqqqqq
[14:24:48]	[OOC] Justin Bail: my man
