[03:57:41]	PhilipIsBored has connected.
[11:09:48]	CCA.C14-UNION.i4.36307 ran 'EquipUn' on item 'Combat Knife' (#21987)
[11:09:48]	[LOOC] CCA.C14-UNION.EpU.72633: F
[11:09:49]	CCA.C14-UNION.i4.36307 ran 'Equip' on item 'Combat Knife' (#21987)
[11:09:53]	CCA.C14-UNION.i4.36307 has gained 10 tokens.
[11:09:54]	[LOOC] CCA.C14-UNION.EpU.72633: Fixed?
[11:09:55]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[11:09:56]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'Combat Knife' (#19067)
[11:09:59]	CCA.C14-UNION.i4.36307 ran 'EquipUn' on item '.9mm Pistol' (#18976)
[11:10:04]	CCA.C14-UNION.i4.36307 ran 'Equip' on item '.9mm Pistol' (#18976)
[11:10:08]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:10:09]	[LOOC] CCA.C14-UNION.EpU.72633: I fucking love the pistol anims
[11:10:18]	[LOOC] CCA.C14-UNION.i4.36307: brb im bleeding
[11:10:32]	[LOOC] CCA.C14-UNION.EpU.72633: I don't know how I survived being on this server when we didn't have the good anims
[11:10:55]	[LOOC] CCA.C14-UNION.i4.36307: the crouching animation i dont like
[11:11:27]	[LOOC] CCA.C14-UNION.EpU.72633: Yeah but having the normal Playermodel anims is a lot worse than just having good anims with a shitty crouch animation
[11:11:49]	[LOOC] CCA.C14-UNION.i4.36307: whats the normal animATION
[11:11:53]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:12:03]	[LOOC] CCA.C14-UNION.EpU.72633: You hold your pistol with one hand 
[11:12:06]	[LOOC] CCA.C14-UNION.EpU.72633: Stop
[11:12:12]	[LOOC] CCA.C14-UNION.i4.36307: why would you do that
[11:12:22]	[LOOC] CCA.C14-UNION.EpU.72633: Because the playermodel anims suck total dick
[11:12:36]	[LOOC] CCA.C14-UNION.EpU.72633: You hold your stunstick out like a fucking bat
[11:12:40]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:12:54]	[LOOC] CCA.C14-UNION.EpU.72633: And you hold your MP7 out really far away from your body
[11:13:28]	[LOOC] CCA.C14-UNION.EpU.72633: Also you don't walk like the normal CCA animations you just look super relaxed..
[11:13:35]	[LOOC] CCA.C14-UNION.EpU.72633: Kinda shit
[11:13:57]	[LOOC] CCA.C14-UNION.i4.36307: jump animation is funky
[11:14:13]	[LOOC] CCA.C14-UNION.EpU.72633: Also it doesn't have a seperate anim for any weapon when you have them down
[11:14:24]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:14:46]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:14:53]	CCA.C14-UNION.i4.36307 has gained 10 tokens.
[11:14:55]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[11:14:58]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:15:27]	[LOOC] CCA.C14-UNION.EpU.72633: I almost miss the MP7
[11:15:47]	[LOOC] CCA.C14-UNION.i4.36307: get one then
[11:15:49]	[LOOC] CCA.C14-UNION.EpU.72633: But the stats on the OICW are WAY fucking better so whatever
[11:16:43]	[OOC] CCA.C14-UNION.EpU.72633: How much damage did that do?
[11:16:47]	[LOOC] CCA.C14-UNION.i4.36307: alot
[11:16:50]	[LOOC] CCA.C14-UNION.EpU.72633: Bruh
[11:16:59]	[LOOC] CCA.C14-UNION.i4.36307: like half my health
[11:17:04]	[LOOC] CCA.C14-UNION.EpU.72633: bruh
[11:17:19]	[LOOC] CCA.C14-UNION.EpU.72633: We will get a admin to heal you when possible I guess
[11:17:27]	FB|| light ROOM loaded the character 'OTA.C14-ECHO.OWC.58830'
[11:17:36]	[Y] OTA.C14-ECHO.OWC.58830: <:: HEY FAGGOT. ::>
[11:17:40]	[LOOC] OTA.C14-ECHO.OWC.58830: IT WORKED
[11:17:44]	[LOOC] OTA.C14-ECHO.OWC.58830: IT WORKED
[11:17:47]	[LOOC] CCA.C14-UNION.i4.36307: how
[11:17:51]	[LOOC] OTA.C14-ECHO.OWC.58830: I don't know how
[11:17:59]	Madeline Wuntch loaded the character 'Janet Fraiser'
[11:18:09]	Madeline Wuntch loaded the character 'CCA.C14-UNION.i4.36307'
[11:18:15]	[LOOC] CCA.C14-UNION.i4.36307: huh
[11:18:53]	[OOC] OTA.C14-ECHO.OWC.58830: Also sorry if you got offended by my comment, i just wanted to see if it worked so I said the worst possible thing I could honestly say without getting banned
[11:19:03]	[OOC] CCA.C14-UNION.i4.36307: idgaf
[11:19:10]	[OOC] OTA.C14-ECHO.OWC.58830: Neato
[11:19:24]	[LOOC] OTA.C14-ECHO.OWC.58830: THIS IS THE PLAYERMODEL ANIM
[11:19:28]	[LOOC] OTA.C14-ECHO.OWC.58830: FUCK
[11:19:29]	[LOOC] CCA.C14-UNION.i4.36307: AAAAAAAAAAAAAAAAAAAAAAA
[11:19:33]	[LOOC] OTA.C14-ECHO.OWC.58830: ITS BAD
[11:19:37]	CCA.C14-UNION.i4.36307 ran 'EquipUn' on item 'Combat Knife' (#21987)
[11:19:38]	[LOOC] OTA.C14-ECHO.OWC.58830: I HATE IT
[11:19:38]	CCA.C14-UNION.i4.36307 ran 'Equip' on item 'Combat Knife' (#21987)
[11:19:39]	CCA.C14-UNION.i4.36307 ran 'EquipUn' on item '.9mm Pistol' (#18976)
[11:19:40]	CCA.C14-UNION.i4.36307 ran 'Equip' on item '.9mm Pistol' (#18976)
[11:19:45]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:19:46]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:19:48]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:20:05]	[LOOC] OTA.C14-ECHO.OWC.58830: LOOK AT THE WAY I HOLD THE PISTOL WHEN I'M NOT POINTING IT
[11:20:18]	[LOOC] OTA.C14-ECHO.OWC.58830: it's on my right hand
[11:20:22]	[LOOC] CCA.C14-UNION.i4.36307: hmm
[11:20:26]	[LOOC] CCA.C14-UNION.i4.36307: now raise it
[11:20:32]	[LOOC] OTA.C14-ECHO.OWC.58830: BAD
[11:20:39]	[LOOC] CCA.C14-UNION.i4.36307: disgusting
[11:20:48]	[LOOC] CCA.C14-UNION.i4.36307: you must be cleansed
[11:20:49]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:20:52]	[LOOC] OTA.C14-ECHO.OWC.58830: we had to use this on CCA for so fucking long ;-;
[11:21:07]	[LOOC] CCA.C14-UNION.i4.36307: run back to stasis thats it
[11:21:09]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:21:12]	FB|| light ROOM loaded the character 'CCA.C14-QrM.98240'
[11:21:21]	[OOC] CCA.C14-QrM.98240: CCA talking is broken
[11:21:25]	[LOOC] CCA.C14-UNION.i4.36307: well shit
[11:21:25]	FB|| light ROOM loaded the character 'Ethan King'
[11:21:35]	FB|| light ROOM loaded the character 'CCA.C14-UNION.i2.98240'
[11:21:43]	[LOOC] CCA.C14-UNION.i2.98240: Fuck
[11:21:48]	[LOOC] CCA.C14-UNION.i2.98240: It still doesn't work ;-;
[11:21:52]	CCA.C14-UNION.i2.98240 ran 'EquipUn' on item 'MP7' (#13858)
[11:21:52]	CCA.C14-UNION.i2.98240 ran 'EquipUn' on item '.9mm Pistol' (#9735)
[11:21:55]	CCA.C14-UNION.i2.98240 ran 'Equip' on item 'MP7' (#13858)
[11:22:01]	[LOOC] CCA.C14-UNION.i4.36307: i gotta make my description better
[11:22:04]	[LOOC] CCA.C14-UNION.i2.98240: Truly
[11:22:08]	[LOOC] CCA.C14-UNION.i4.36307: i made it in a pinch
[11:22:10]	[LOOC] CCA.C14-UNION.i4.36307: brb
[11:22:28]	CCA.C14-UNION.i4.36307 used command '/CharDesc'.
[11:23:09]	CCA.C14-UNION.i4.36307 has gained 10 tokens.
[11:25:00]	CCA.C14-UNION.i4.36307 used command '/CharDesc 5'7" | Wearing a UNION i4 armband | White mask, with a vocoded Québécois accent '.
[11:25:10]	[OOC] CCA.C14-UNION.i4.36307: somewhat better
[11:25:30]	[LOOC] CCA.C14-UNION.i2.98240: Pretty gamer
[11:25:47]	[LOOC] CCA.C14-UNION.i2.98240: I fucking love the blue eyed Metropolice skin
[11:25:54]	[LOOC] CCA.C14-UNION.i4.36307: it's pretty sick
[11:25:55]	[LOOC] CCA.C14-UNION.i2.98240: It's so good
[11:26:10]	[LOOC] CCA.C14-UNION.i2.98240: Not gonna lie I love UNION mostly for it's models
[11:26:30]	[LOOC] CCA.C14-UNION.i4.36307: yeah
[11:26:35]	CCA.C14-UNION.i2.98240 has gained 10 tokens.
[11:26:51]	[LOOC] CCA.C14-UNION.i2.98240: Amputate
[11:27:11]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[11:28:09]	CCA.C14-UNION.i4.36307 has gained 10 tokens.
[11:29:05]	CCA.C14-UNION.EpU.72633 ran 'EquipUn' on item 'XM31 OICW' (#18856)
[11:29:06]	CCA.C14-UNION.EpU.72633 ran 'EquipUn' on item '.9mm Pistol' (#18841)
[11:29:07]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item '.9mm Pistol' (#18841)
[11:29:07]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'XM31 OICW' (#18856)
[11:29:36]	[LOOC] CCA.C14-UNION.EpU.72633: Q is getting on and he's gonna fix this
[11:29:47]	[LOOC] CCA.C14-UNION.EpU.72633: Brb
[11:32:11]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[11:33:09]	CCA.C14-UNION.i4.36307 has gained 10 tokens.
[11:35:20]	[LOOC] CCA.C14-UNION.EpU.72633: Back
[11:35:28]	[LOOC] CCA.C14-UNION.i4.36307: wb
[11:37:11]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[11:38:00]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[11:38:09]	CCA.C14-UNION.i4.36307 has gained 10 tokens.
[11:38:28]	[LOOC] CCA.C14-UNION.EpU.72633: brb
[11:40:24]	[LOOC] CCA.C14-UNION.EpU.72633: Back
[11:40:34]	[LOOC] CCA.C14-UNION.EpU.72633: Also don't we all love Edgy metropolice packs
[11:40:43]	[LOOC] CCA.C14-UNION.i4.36307: yep
[11:41:30]	[LOOC] CCA.C14-UNION.EpU.72633: JUDGE doesn't have to be edgy, change my mind
[11:41:41]	[LOOC] CCA.C14-UNION.i4.36307: cant
[11:41:47]	[LOOC] CCA.C14-UNION.EpU.72633: Good
[11:42:11]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[11:43:09]	CCA.C14-UNION.i4.36307 has gained 10 tokens.
[11:43:20]	[LOOC] CCA.C14-UNION.EpU.72633: Hello gamer
[11:47:11]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[11:47:14]	CCA.C14-UNION.i4.36307 used command '/Radio 603'.
[11:47:24]	CCA.C14-UNION.i4.36307 used command '/Radio 10-4'.
[11:47:28]	[LOOC] CCA.C14-UNION.i4.36307: the vicelines broke
[11:48:08]	[LOOC] CCA.C14-UNION.i4.36307: fuck
[11:48:09]	CCA.C14-UNION.i4.36307 has gained 10 tokens.
[11:48:16]	[LOOC] CCA.C14-UNION.EpU.72633: F
[11:49:09]	[LOOC] CCA.C14-UNION.i4.36307: im gonna get some breakfast and stuff
[11:49:15]	[LOOC] CCA.C14-UNION.EpU.72633: BET
[11:49:20]	Madeline Wuntch loaded the character 'Janet Fraiser'
[11:49:26]	[OOC] Janet Fraiser: afk
[11:50:08]	matt saton has connected.
[11:51:37]	matt saton loaded the character 'James Albright'
[11:51:40]	[OOC] James Albright: test
[11:51:43]	James Albright entered observer.
[11:51:49]	[LOOC] James Albright: test
[11:52:41]	[OOC] CCA.C14-UNION.EpU.72633: Yo
[11:52:46]	[OOC] CCA.C14-UNION.EpU.72633: TP to me
[11:52:54]	James Albright exited observer at their location.
[11:52:59]	[LOOC] CCA.C14-UNION.EpU.72633: I'm trying to talk
[11:53:05]	[LOOC] James Albright: yeah, isee,i 'm tryoing too
[11:53:09]	[LOOC] CCA.C14-UNION.EpU.72633: Yee
[11:53:14]	[LOOC] CCA.C14-UNION.EpU.72633: Wonder whats wrong?
[11:54:02]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[11:57:39]	FB|| light ROOM loaded the character 'OTA.C14-ECHO.OWC.58830'
[11:58:52]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[12:01:05]	[OOC] Janet Fraiser: eyg
[12:01:05]	[OOC] CCA.C14-UNION.EpU.72633: What the fuck have you done ;-;
[12:01:19]	[OOC] James Albright: yesi k now
[12:01:19]	James Albright used command '/DoorSetHidden true'.
[12:01:21]	CCA.C14-UNION.EpU.72633 used command '/PM james what have you done ;-;'.
[12:01:23]	[OOC] James Albright: your chat is being spammed
[12:01:43]	[OOC] Janet Fraiser: why
[12:02:52]	CCA.C14-UNION.EpU.72633 ran 'EquipUn' on item 'XM31 OICW' (#18856)
[12:02:53]	CCA.C14-UNION.EpU.72633 ran 'EquipUn' on item '.9mm Pistol' (#18841)
[12:02:55]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'XM31 OICW' (#18856)
[12:02:56]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item '.9mm Pistol' (#18841)
[12:05:27]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[12:06:17]	Madeline Wuntch loaded the character 'CCA.C14-UNION.i4.36307'
[12:09:03]	[OOC] James Albright: wtf
[12:09:05]	[OOC] James Albright: tat didn't fix it
[12:09:19]	James Albright entered observer.
[12:09:29]	James Albright has spawned a 'NPC [2849][npc_metropolice]'.
[12:09:49]	James Albright has spawned a 'NPC [2849][npc_metropolice]'.
[12:09:51]	James Albright has spawned a 'NPC [2850][npc_metropolice]'.
[12:09:52]	James Albright has spawned a 'NPC [2851][npc_metropolice]'.
[12:09:54]	James Albright has spawned a 'NPC [2850][npc_metropolice]'.
[12:09:55]	James Albright has spawned a 'NPC [2854][npc_metropolice]'.
[12:09:57]	James Albright has spawned a 'NPC [2855][npc_metropolice]'.
[12:10:00]	James Albright exited observer at their location.
[12:10:10]	matt saton loaded the character 'CCA.C14-GRID.i3.69192'
[12:10:11]	CCA.C14-GRID.i3.69192 entered observer.
[12:10:20]	CCA.C14-GRID.i3.69192 exited observer at their location.
[12:12:08]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [2856][npc_metropolice]'.
[12:12:30]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [2857][npc_metropolice]'.
[12:12:30]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [2860][npc_metropolice]'.
[12:12:30]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [2861][npc_metropolice]'.
[12:12:30]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [2864][npc_metropolice]'.
[12:12:31]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [2865][npc_metropolice]'.
[12:12:31]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [2874][npc_metropolice]'.
[12:12:31]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [2875][npc_metropolice]'.
[12:12:31]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [2876][npc_metropolice]'.
[12:13:00]	[OOC] CCA.C14-GRID.i3.69192: found hte issue sorta
[12:14:09]	[OOC] CCA.C14-UNION.EpU.72633: YES THE NUMBERS ARE GONE ;-;
[12:14:24]	[OOC] CCA.C14-GRID.i3.69192: so
[12:14:27]	[OOC] CCA.C14-GRID.i3.69192: i've kinda found the issue
[12:14:28]	CCA.C14-GRID.i3.69192 entered observer.
[12:14:34]	[OOC] CCA.C14-UNION.EpU.72633: What is the issue?
[12:14:43]	[OOC] CCA.C14-GRID.i3.69192: so essentially without using programmer speak
[12:15:20]	[OOC] CCA.C14-GRID.i3.69192: there's a function in the code for checking whether or not someone is a combine rank
[12:15:22]	CCA.C14-GRID.i3.69192 exited observer at their location.
[12:15:22]	CCA.C14-GRID.i3.69192 entered observer.
[12:15:22]	CCA.C14-GRID.i3.69192 exited observer at their location.
[12:15:28]	[OOC] CCA.C14-GRID.i3.69192: a certain combine rank that is
[12:15:28]	CCA.C14-GRID.i3.69192 entered observer.
[12:15:54]	[OOC] CCA.C14-GRID.i3.69192: but for some reason, that code isn't running
[12:16:28]	[OOC] CCA.C14-GRID.i3.69192: it's acting like there's function to do that at all
[12:16:32]	[OOC] CCA.C14-GRID.i3.69192: i'm just gonna restart and see
[12:16:38]	[OOC] CCA.C14-UNION.EpU.72633: BET
[12:23:21]	matt saton has connected.
[12:24:02]	FB|| light ROOM has connected.
[12:24:32]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[12:29:01]	Painevan has connected.
[12:29:05]	matt saton loaded the character 'James Albright'
[12:29:32]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[12:29:40]	Painevan loaded the character 'Karl Von Habsburg'
[12:29:47]	Karl Von Habsburg entered observer.
[12:29:50]	[OOC] Karl Von Habsburg: heeeh
[12:31:14]	[OOC] CCA.C14-UNION.EpU.72633: Hello gamer
[12:32:40]	[OOC] Karl Von Habsburg: hello gordon
[12:32:46]	Karl Von Habsburg exited observer at their location.
[12:32:59]	Karl Von Habsburg entered observer.
[12:33:30]	[OOC] Karl Von Habsburg: I'm hearing someone expoited to get a stunstick yesterday.
[12:33:34]	Karl Von Habsburg exited observer at their location.
[12:33:35]	Karl Von Habsburg entered observer.
[12:33:36]	[OOC] James Albright: apparently
[12:33:37]	Karl Von Habsburg exited observer at their location.
[12:33:38]	Karl Von Habsburg entered observer.
[12:33:43]	[OOC] James Albright: it's what we can assume
[12:33:43]	James Albright entered observer.
[12:33:56]	[OOC] Karl Von Habsburg: Is that crate thing gone?
[12:33:56]	[OOC] James Albright: since there was no reason for a stunstick item to be in front of the trains tation
[12:34:10]	[OOC] James Albright: what crate thing? You mean the item crates?
[12:34:15]	[OOC] Karl Von Habsburg: ye
[12:34:20]	Karl Von Habsburg exited observer at their location.
[12:34:20]	Karl Von Habsburg entered observer.
[12:34:29]	[OOC] James Albright: even if it was, that wouldn't matter
[12:34:32]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[12:34:36]	James Albright exited observer at their location.
[12:34:44]	[OOC] James Albright: because he had no toolgun access
[12:34:50]	[OOC] Karl Von Habsburg: true
[12:34:50]	[OOC] James Albright: i'm gonna try to hack my own server, hold on
[12:34:55]	[OOC] Karl Von Habsburg: lmao
[12:34:55]	[OOC] CCA.C14-UNION.EpU.72633: Bruh
[12:35:09]	Karl Von Habsburg exited observer at their location.
[12:35:09]	Karl Von Habsburg entered observer.
[12:35:10]	Karl Von Habsburg exited observer at their location.
[12:35:10]	[OOC] James Albright: pen testing time
[12:35:11]	Karl Von Habsburg entered observer.
[12:35:12]	Karl Von Habsburg exited observer at their location.
[12:35:18]	Karl Von Habsburg entered observer.
[12:35:28]	[OOC] CCA.C14-UNION.EpU.72633: Don't trust nobody not even yourself (Begins hacking his own server)
[12:35:34]	[OOC] Karl Von Habsburg: yes
[12:35:50]	Karl Von Habsburg has spawned a 'NPC [2843][npc_monk]'.
[12:36:03]	CCA.C14-UNION.EpU.72633 ran 'EquipUn' on item 'XM31 OICW' (#18856)
[12:36:04]	CCA.C14-UNION.EpU.72633 ran 'EquipUn' on item '.9mm Pistol' (#18841)
[12:36:05]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'XM31 OICW' (#18856)
[12:36:05]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item '.9mm Pistol' (#18841)
[12:36:09]	[OOC] James Albright: i'm gonna enable a certain feature
[12:36:14]	James Albright has taken 25 damage from worldspawn.
[12:36:19]	Madeline Wuntch has connected.
[12:36:20]	[OOC] James Albright: if any of you fuck with anything it's a bermanent pan
[12:36:31]	[OOC] Karl Von Habsburg: So you ban urself?
[12:36:35]	Karl Von Habsburg exited observer at their location.
[12:36:36]	Karl Von Habsburg entered observer.
[12:36:41]	[OOC] CCA.C14-UNION.EpU.72633: Bruh
[12:37:22]	Karl Von Habsburg has spawned a 'NPC [583][npc_combine_camera]'.
[12:37:39]	jack who has connected.
[12:37:57]	[ME] Karl Von Habsburg: Shows ID, Name:TK-66068-394, Rank: Private, Regiment: Stormtrooper
[12:38:03]	[OOC] Karl Von Habsburg: Might want to disable it
[12:38:05]	[OOC] Karl Von Habsburg: New guy
[12:38:10]	Karl Von Habsburg exited observer at their location.
[12:38:11]	Karl Von Habsburg entered observer.
[12:38:19]	jack who loaded the character 'Gregory Lancaster'
[12:38:30]	Gregory Lancaster ran 'Eat' on item 'UU Brand Cigarette' (#7387)
[12:39:13]	[OOC] CCA.C14-UNION.EpU.72633: brb
[12:39:20]	[OOC] Gregory Lancaster: you bastard
[12:39:30]	[OOC] Karl Von Habsburg: Welcome Jack to the server, we'll get a Unit to go give you a ID!
[12:39:32]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[12:39:35]	Karl Von Habsburg exited observer at their location.
[12:39:37]	[OOC] Gregory Lancaster: you bastard
[12:39:40]	Painevan loaded the character 'CCA.C08-HELIX.i5.50299'
[12:39:41]	CCA.C08-HELIX.i5.50299 entered observer.
[12:39:45]	CCA.C08-HELIX.i5.50299 exited observer at their location.
[12:39:54]	Gregory Lancaster used command '/ActStand 2'.
[12:40:31]	Gregory Lancaster used command '/ExitAct'.
[12:40:49]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[12:40:52]	[OOC] CCA.C14-UNION.EpU.72633: F
[12:40:56]	Gregory Lancaster ran 'drop' on item 'UU Brand Cigarette' (#7387)
[12:40:56]	Gregory Lancaster has lost a 'UU Brand Cigarette' #7387.
[12:41:07]	Gregory Lancaster ran 'drop' on item 'Suitcase' (#4118)
[12:41:07]	Gregory Lancaster has lost a 'Suitcase' #4118.
[12:41:15]	CCA.C08-HELIX.i5.50299 entered observer.
[12:41:20]	[LOOC] Gregory Lancaster: i don't have a relocation coupon
