[01:45:14]	japan1793 has connected.
[06:45:31]	Maverick Hudson used command '/CharGetUp'.
[06:45:45]	Amiro loaded the character 'cock lover'
[06:45:49]	cock lover ran 'Equip' on item 'Green Citizen Suit' (#10257)
[06:45:49]	cock lover ran 'equip' on item 'Citizen Filter' (#10258)
[06:46:10]	cock lover used command '/CharFallOver'.
[06:46:10]	cock lover used command '/CharGetUp'.
[06:46:11]	cock lover used command '/CharGetUp'.
[06:46:12]	cock lover used command '/CharGetUp'.
[06:46:12]	cock lover used command '/CharGetUp'.
[06:46:13]	cock lover used command '/CharGetUp'.
[06:46:14]	cock lover used command '/CharGetUp'.
[06:46:14]	cock lover used command '/CharGetUp'.
[06:46:15]	cock lover used command '/CharGetUp'.
[06:46:33]	cock lover used command '/CharFallOver'.
[06:46:35]	cock lover used command '/CharGetUp'.
[06:46:36]	cock lover used command '/CharGetUp'.
[06:46:36]	cock lover used command '/CharGetUp'.
[06:46:37]	cock lover used command '/CharGetUp'.
[06:46:38]	cock lover used command '/CharGetUp'.
[06:46:38]	cock lover used command '/CharGetUp'.
[06:46:39]	cock lover used command '/CharGetUp'.
[06:47:24]	cock lover ran 'take' on item 'Suitcase' (#10176)
[06:47:24]	cock lover has gained a 'Suitcase' #10176.
[06:47:39]	cock lover ran 'take' on item 'Green Citizen Suit' (#10178)
[06:47:39]	cock lover has gained a 'Green Citizen Suit' #10178.
[06:48:33]	cock lover ran 'drop' on item 'Suitcase' (#10255)
[06:48:33]	cock lover has lost a 'Suitcase' #10255.
[06:48:35]	cock lover ran 'drop' on item 'Relocation Coupon' (#10256)
[06:48:35]	cock lover has lost a 'Relocation Coupon' #10256.
[06:49:13]	cock lover ran 'drop' on item 'Green Citizen Suit' (#10257)
[06:49:13]	cock lover has lost a 'Green Citizen Suit' #10257.
[06:49:15]	cock lover ran 'drop' on item 'Green Citizen Suit' (#10178)
[06:49:15]	cock lover has lost a 'Green Citizen Suit' #10178.
[06:49:17]	cock lover ran 'drop' on item 'Suitcase' (#10176)
[06:49:17]	cock lover has lost a 'Suitcase' #10176.
[06:49:44]	cock lover has taken 1 damage from worldspawn.
[06:49:45]	cock lover has taken 1 damage from worldspawn.
[06:49:45]	cock lover has taken 1 damage from worldspawn.
[06:49:46]	cock lover has taken 1 damage from worldspawn.
[06:49:47]	cock lover has taken 1 damage from worldspawn.
[06:49:48]	cock lover has taken 1 damage from worldspawn.
[06:49:48]	cock lover has taken 1 damage from worldspawn.
[06:49:49]	cock lover has taken 1 damage from worldspawn.
[06:49:50]	Amiro created the character 'fuck off'
[06:49:50]	fuck off has gained a 'Suitcase' #10262.
[06:49:50]	fuck off has gained a 'Relocation Coupon' #10263.
[06:49:50]	fuck off has gained a 'Green Citizen Suit' #10264.
[06:49:50]	fuck off has gained a 'Citizen Filter' #10265.
[06:49:50]	cock lover has taken 1 damage from worldspawn.
[06:49:51]	cock lover has taken 1 damage from worldspawn.
[06:49:52]	cock lover has taken 1 damage from worldspawn.
[06:49:52]	cock lover has taken 1 damage from worldspawn.
[06:49:53]	cock lover has taken 1 damage from worldspawn.
[06:49:54]	cock lover has taken 1 damage from worldspawn.
[06:49:54]	Amiro loaded the character 'fuck off'
[06:50:02]	fuck off ran 'Equip' on item 'Green Citizen Suit' (#10264)
[06:50:02]	fuck off ran 'drop' on item 'Citizen Filter' (#10265)
[06:50:02]	fuck off has lost a 'Citizen Filter' #10265.
[06:50:08]	fuck off ran 'take' on item 'Citizen Filter' (#10265)
[06:50:08]	fuck off has gained a 'Citizen Filter' #10265.
[06:50:10]	fuck off ran 'equip' on item 'Citizen Filter' (#10265)
[06:50:31]	fuck off ran 'drop' on item 'Suitcase' (#10262)
[06:50:31]	fuck off has lost a 'Suitcase' #10262.
[06:50:41]	fuck off used command '/CharFallOver'.
[06:50:42]	fuck off used command '/CharGetUp'.
[06:50:42]	fuck off used command '/CharGetUp'.
[06:50:43]	fuck off used command '/CharGetUp'.
[06:50:44]	fuck off used command '/CharGetUp'.
[06:50:45]	fuck off used command '/CharGetUp'.
[06:50:46]	fuck off used command '/CharGetUp'.
[06:50:57]	fuck off ran 'drop' on item 'Green Citizen Suit' (#10264)
[06:50:57]	fuck off has lost a 'Green Citizen Suit' #10264.
[06:51:23]	Amiro created the character 'HASIUHBUIGIAS IFDHDSOG'
[06:51:23]	HASIUHBUIGIAS IFDHDSOG has gained a 'Suitcase' #10265.
[06:51:23]	HASIUHBUIGIAS IFDHDSOG has gained a 'Relocation Coupon' #10266.
[06:51:23]	HASIUHBUIGIAS IFDHDSOG has gained a 'Green Citizen Suit' #10267.
[06:51:23]	HASIUHBUIGIAS IFDHDSOG has gained a 'Citizen Filter' #10268.
[06:51:27]	Amiro loaded the character 'HASIUHBUIGIAS IFDHDSOG'
[06:51:37]	HASIUHBUIGIAS IFDHDSOG ran 'Equip' on item 'Green Citizen Suit' (#10267)
[06:51:37]	HASIUHBUIGIAS IFDHDSOG ran 'equip' on item 'Citizen Filter' (#10268)
[06:52:07]	HASIUHBUIGIAS IFDHDSOG ran 'drop' on item 'Suitcase' (#10265)
[06:52:07]	HASIUHBUIGIAS IFDHDSOG has lost a 'Suitcase' #10265.
[06:52:22]	HASIUHBUIGIAS IFDHDSOG used command '/CharFallOver'.
[06:52:24]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:52:24]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:52:25]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:52:26]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:52:27]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:52:27]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:54:12]	HASIUHBUIGIAS IFDHDSOG used command '/CharFallOver'.
[06:54:14]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:54:15]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:54:15]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:54:16]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:54:17]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:54:17]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:54:18]	HASIUHBUIGIAS IFDHDSOG used command '/CharGetUp'.
[06:54:27]	HASIUHBUIGIAS IFDHDSOG used command '/CharFallOver'.
[06:55:26]	Amiro (STEAM_0:0:540491690) has disconnected.
