[00:00:00]	[OOC] Rodriguo Ouh: early
[00:19:48]	Rodriguo Ouh exited observer at their location.
[00:19:49]	Rodriguo Ouh entered observer.
[00:19:50]	[OOC] CCA.C14-UNION.i5.39867: tools are contraband right
[00:19:53]	Rodriguo Ouh exited observer at their location.
[00:19:53]	[OOC] Rodriguo Ouh: yes
[00:19:54]	[OOC] CCA.C14-UNION.i5.39867: i thought u said they werent Q
[00:19:57]	[OOC] Rodriguo Ouh: holy shit
[00:19:59]	[OOC] Morgan Beck: Sometimes...?
[00:20:06]	[OOC] Morgan Beck: It depends on the situation.
[00:20:06]	[OOC] Rodriguo Ouh: CRAFTING MATERIALS = NOT CONTRABAND
[00:20:10]	[OOC] Rodriguo Ouh: TOOLS = CONTRABAND
[00:20:12]	[OOC] Rodriguo Ouh: AM I CLEAR
[00:20:21]	[OOC] Rodriguo Ouh: also i'm not mad
[00:20:37]	[ME] Rodriguo Ouh: would proceed to reattach the wires and solder them back on to the power line.
[00:20:52]	[OOC] Morgan Beck: HOLY FUCK I AM COVERED IN BLOOD
[00:20:58]	[ME] Rodriguo Ouh: would slip over a bit of shrink wrap t oput over the power line, and bingo bango bongo it's fixed.
[00:20:58]	Morgan Beck entered observer.
[00:20:59]	Morgan Beck exited observer at their location.
[00:21:26]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[00:21:42]	[ME] Rodriguo Ouh: hands back the toolbox.
[00:21:48]	Rodriguo Ouh ran 'EquipUn' on item 'Combine Worker Outfit' (#19160)
[00:21:49]	Rodriguo Ouh ran 'drop' on item 'Combine Worker Outfit' (#19160)
[00:21:49]	Rodriguo Ouh has lost a 'Combine Worker Outfit' #19160.
[00:21:57]	CCA.C14-JUDGE.OfC.91412 ran 'take' on item 'Combine Worker Outfit' (#19160)
[00:21:57]	CCA.C14-JUDGE.OfC.91412 has gained a 'Combine Worker Outfit' #19160.
[00:22:05]	CCA.C14-JUDGE.OfC.91412 opened the 'Metal Cabinet' #1828 container.
[00:22:08]	CCA.C14-JUDGE.OfC.91412 closed the 'Metal Cabinet' #1828 container.
[00:22:20]	Rodriguo Ouh entered observer.
[00:22:21]	[LOOC] Morgan Beck: I know
[00:22:22]	CCA.C14-JUDGE.OfC.91412 has gained 10 tokens.
[00:22:23]	Rodriguo Ouh exited observer at their location.
[00:22:40]	Rodriguo Ouh ran 'drop' on item 'Citizen ID' (#18282)
[00:22:40]	Rodriguo Ouh has lost a 'Citizen ID' #18282.
[00:22:47]	CCA.C14-JUDGE.OfC.91412 ran 'take' on item 'Citizen ID' (#18282)
[00:22:47]	CCA.C14-JUDGE.OfC.91412 has gained a 'Citizen ID' #18282.
[00:22:52]	CCA.C14-UNION.i5.39867 used command '/ViewData morgan'.
[00:22:52]	CCA.C14-JUDGE.OfC.91412 used command '/OldViewData rodr'.
[00:23:07]	[IT] Rodriguo Ouh: Upon looking at the card, it's not in any alien language. It's in english.
[00:23:12]	[OOC] CCA.C14-UNION.i5.39867: i cant close 
[00:23:16]	Rodriguo Ouh entered observer.
[00:23:20]	[OOC] CCA.C14-UNION.i5.39867: i cant close viewdata
[00:23:21]	Rodriguo Ouh exited observer at their location.
[00:23:24]	[OOC] Rodriguo Ouh: don't use /viewdata
[00:23:26]	[OOC] Rodriguo Ouh: use /oldviewdata
[00:23:31]	CCA.C14-UNION.i5.39867 used command '/OldViewData rod'.
[00:23:35]	[OOC] Rodriguo Ouh: and hit the x button with the chat window open ot clsoe it
[00:23:35]	Rodriguo Ouh entered observer.
[00:23:40]	Rodriguo Ouh exited observer at their location.
[00:23:51]	[LOOC] CCA.C14-UNION.i5.39867: thanks
[00:23:57]	Morgan Beck entered observer.
[00:23:58]	Morgan Beck exited observer at their location.
[00:24:02]	[ME] Rodriguo Ouh: doesn't resist being tied, searched or anything. They are completely compliant given that the situation does not escalate.
[00:24:27]	Rodriguo Ouh has taken 450 damage from CCA.C14-JUDGE.OfC.91412.
[00:24:27]	CCA.C14-JUDGE.OfC.91412 has killed Rodriguo Ouh with weapon_357.
[00:24:34]	[OOC] Rodriguo Ouh: OH YOU DIVA
[00:24:35]	[OOC] CCA.C14-JUDGE.OfC.91412: YES
[00:24:36]	[OOC] Rodriguo Ouh: YOU DIVA QUEEN
[00:24:36]	Rodriguo Ouh entered observer.
[00:24:37]	[Y] Morgan Beck: Damn. Good job!
[00:24:40]	[OOC] CCA.C14-JUDGE.OfC.91412: HOLY SHIT I DID IT
[00:24:44]	[Y] Morgan Beck: Fucker deserved it.
[00:24:49]	[Y] CCA.C14-JUDGE.OfC.91412: <:: Agreed. ::>
[00:24:51]	[OOC] Rodriguo Ouh: YOU FUCKING DIVA ROACH
[00:25:08]	[OOC] Morgan Beck: i swear to god if he reincarnates in my kitchen
[00:25:11]	[OOC] Rodriguo Ouh: fine then
[00:25:15]	[OOC] Rodriguo Ouh: if that's how you want to play it
[00:25:16]	Morgan Beck entered observer.
[00:25:16]	Morgan Beck exited observer at their location.
[00:25:19]	Morgan Beck entered observer.
[00:25:20]	Morgan Beck exited observer at their location.
[00:25:20]	Morgan Beck entered observer.
[00:25:20]	Morgan Beck exited observer at their location.
[00:25:21]	[OOC] CCA.C14-UNION.i5.39867: eating chicken nuggets irl
[00:25:25]	Morgan Beck entered observer.
[00:25:26]	Morgan Beck exited observer at their location.
[00:25:26]	[OOC] CCA.C14-JUDGE.OfC.91412: going to bed gn
[00:25:28]	Mr. Chief (STEAM_0:1:129270116) has disconnected.
[00:25:29]	Rodriguo Ouh exited observer at their location.
[00:25:29]	[OOC] CCA.C14-UNION.i5.39867: same gn
[00:25:29]	Rodriguo Ouh entered observer.
[00:25:32]	Rodriguo Ouh exited observer at their location.
[00:25:32]	Rodriguo Ouh entered observer.
[00:25:33]	PhilipIsBored (STEAM_0:0:38537787) has disconnected.
[00:25:33]	[OOC] Morgan Beck: if you do, I will fucking pan you
[00:25:35]	Morgan Beck entered observer.
[00:25:35]	Morgan Beck exited observer at their location.
[00:25:37]	Rodriguo Ouh exited observer at their location.
[00:25:38]	Rodriguo Ouh entered observer.
[00:25:38]	Rodriguo Ouh exited observer at their location.
[00:25:38]	[OOC] Morgan Beck: F
[00:25:51]	Rodriguo Ouh entered observer.
[00:25:51]	Rodriguo Ouh exited observer at their location.
[00:25:58]	[ME] Morgan Beck: grabs pan
[00:26:08]	Rodriguo Ouh has taken 15 damage from Morgan Beck.
[00:26:10]	Rodriguo Ouh has taken 15 damage from Morgan Beck.
[00:26:11]	Rodriguo Ouh has taken 15 damage from Morgan Beck.
[00:26:12]	Rodriguo Ouh has taken 15 damage from Morgan Beck.
[00:26:13]	Rodriguo Ouh has taken 15 damage from Morgan Beck.
[00:26:14]	Rodriguo Ouh has taken 15 damage from Morgan Beck.
[00:26:19]	[IT] Rodriguo Ouh: The pan passes through rodriguo.
[00:26:28]	[ME] Morgan Beck: drops pan
[00:27:30]	Morgan Beck has spawned 'models/props_junk/glassjug01.mdl'.
[00:27:41]	Morgan Beck has spawned 'models/props_junk/harpoon002a.mdl'.
[00:27:48]	Morgan Beck has spawned 'models/props_trainstation/payphone_reciever001a.mdl'.
[00:28:05]	[LOOC] Morgan Beck: i swear to god if it's bazinga
[00:28:21]	Morgan Beck has spawned 'models/props_c17/metalPot001a.mdl'.
[00:28:27]	Morgan Beck has spawned 'models/props_interiors/pot02a.mdl'.
[00:28:28]	Stefanko71 created the character 'Stefan Tomovic'
[00:28:28]	Stefan Tomovic has gained a 'Suitcase' #21123.
[00:28:28]	Stefan Tomovic has gained a 'Relocation Coupon' #21124.
[00:28:28]	Stefanko71 loaded the character 'Stefan Tomovic'
[00:28:36]	[ME] Rodriguo Ouh: puts his hand towards the wall, and a message is burned into it.
[00:28:47]	[Y] Morgan Beck: No u.
[00:28:56]	Rodriguo Ouh entered observer.
[00:28:58]	Rodriguo Ouh exited observer at their location.
[00:29:07]	[ME] Rodriguo Ouh: fades away into the air.
[00:29:11]	Rodriguo Ouh entered observer.
[00:29:12]	Rodriguo Ouh exited observer at their location.
[00:29:18]	[Y] Rodriguo Ouh: WAIT WHAT DID YOU JUST SAY ABOUT ME YOU DIVA ROACH?
[00:29:19]	Stefanko71 (STEAM_0:0:145547500) has disconnected.
[00:29:27]	[Y] Rodriguo Ouh: BAD GHOST?
[00:29:28]	[Y] Rodriguo Ouh: NO.
[00:29:36]	[ME] Rodriguo Ouh: pulls at his collar.
[00:29:37]	[Y] Rodriguo Ouh: BAD YOU!
[00:29:39]	Rodriguo Ouh entered observer.
[00:29:48]	Morgan Beck rolled 7 out of 100.
[00:29:48]	Morgan Beck used command '/Roll'.
[00:29:50]	[OOC] Morgan Beck: FUCK
[00:29:51]	Morgan Beck rolled 42 out of 100.
[00:29:51]	Morgan Beck used command '/Roll'.
[00:29:52]	Morgan Beck rolled 41 out of 100.
[00:29:52]	Morgan Beck used command '/Roll'.
[00:29:53]	Morgan Beck rolled 86 out of 100.
[00:29:53]	Morgan Beck used command '/Roll'.
[00:29:55]	Morgan Beck rolled 25 out of 100.
[00:29:55]	Morgan Beck used command '/Roll'.
[00:29:56]	Morgan Beck rolled 79 out of 100.
[00:29:56]	Morgan Beck used command '/Roll'.
[00:29:57]	Morgan Beck rolled 85 out of 100.
[00:29:57]	Morgan Beck used command '/Roll'.
[00:29:59]	Morgan Beck rolled 96 out of 100.
[00:29:59]	Morgan Beck used command '/Roll'.
[00:30:04]	[OOC] Morgan Beck: I EITHER GET NAT 0 OR 100
[00:30:05]	Morgan Beck rolled 53 out of 100.
[00:30:05]	Morgan Beck used command '/Roll'.
[00:30:06]	Morgan Beck rolled 14 out of 100.
[00:30:06]	Morgan Beck used command '/Roll'.
[00:30:07]	Morgan Beck rolled 79 out of 100.
[00:30:07]	Morgan Beck used command '/Roll'.
[00:30:07]	matt saton loaded the character 'dsafsadfdsafsdafdsaf'
[00:30:08]	Morgan Beck rolled 100 out of 100.
[00:30:08]	Morgan Beck used command '/Roll'.
[00:30:15]	[OOC] Morgan Beck: FUCK YES
[00:30:25]	Penis Anothony Dublinyeaux used command '/CharSetName dsa Penis Anothony Dublinyeaux'.
[00:30:25]	[OOC] Morgan Beck: Aight, hoppin off the server.
[00:30:33]	[OOC] Morgan Beck: See ya tomorrow.
[00:30:34]	Penis Anthony Dublinyeaux used command '/CharSetName penis Penis Anthony Dublinyeaux'.
[00:30:35]	Penis Anthony Dublinyeaux entered observer.
[00:30:36]	[OOC] Penis Anthony Dublinyeaux: wait
[00:30:38]	[OOC] Penis Anthony Dublinyeaux: loo kat my name
[00:30:42]	[OOC] Morgan Beck: bruh
[00:30:46]	[OOC] Penis Anthony Dublinyeaux: no
[00:30:47]	[OOC] Penis Anthony Dublinyeaux: wait
[00:30:48]	[OOC] Penis Anthony Dublinyeaux: one more thing
[00:30:53]	Leron used command '/CharSetName penis Leron'.
[00:30:55]	[OOC] Leron: fuck youy
[00:30:55]	Leron used command '/DoorSetHidden true'.
[00:30:58]	[OOC] Leron: i will NEVER DIE
[00:31:01]	[OOC] Morgan Beck: ok
[00:31:10]	[OOC] Morgan Beck: Talk to ya later.
[00:31:14]	Den used command '/CharSetName leron Den'.
[00:31:15]	Den used command '/DoorSetHidden true'.
[00:31:17]	[OOC] Den: see you later
[00:31:19]	Ollie Garner (STEAM_0:1:52892973) has disconnected.
[00:31:27]	Den O'Reilly used command '/CharSetName Den Den O'Reilly'.
[00:39:54]	Sleepy (STEAM_0:1:19956984) has disconnected.
[00:47:54]	Stefanko71 has connected.
[00:51:17]	Stefanko71 loaded the character 'Stefan Tomovic'
[00:53:20]	Stefanko71 (STEAM_0:0:145547500) has disconnected.
[00:54:05]	Stefanko71 has connected.
[00:54:27]	GARY90000000 has connected.
[00:56:14]	Stefanko71 loaded the character 'Stefan Tomovic'
[00:57:53]	GARY90000000 (STEAM_0:1:19084053) has disconnected.
[01:01:26]	Stefanko71 (STEAM_0:0:145547500) has disconnected.
[01:12:59]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[12:16:29]	matt saton has connected.
[12:17:36]	matt saton loaded the character 'James Albright'
[12:17:36]	James Albright entered observer.
[12:22:15]	PhilipIsBored has connected.
[12:23:16]	PhilipIsBored loaded the character 'Emily Brown'
[12:34:17]	PhilipIsBored (STEAM_0:0:38537787) has disconnected.
[13:02:02]	FB|| light ROOM has connected.
[13:02:25]	FB|| light ROOM loaded the character 'CCA.C14-QrM.98240'
[13:02:30]	[OOC] CCA.C14-QrM.98240: yo
[13:02:37]	CCA.C14-QrM.98240 used the 'Armory Supply' vendor.
[13:03:12]	CCA.C14-QrM.98240 used the 'Armory Supply' vendor.
[13:04:26]	PhilipIsBored has connected.
[13:06:34]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[13:06:38]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'Combat Knife' (#19067)
[13:06:53]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Cardboard Scraps' (#19091)
[13:06:53]	CCA.C14-UNION.EpU.72633 has lost a 'Cardboard Scraps' #19091.
[13:06:54]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Sewn Cloth' (#19100)
[13:06:54]	CCA.C14-UNION.EpU.72633 has lost a 'Sewn Cloth' #19100.
[13:06:55]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Sewn Cloth' (#19099)
[13:06:55]	CCA.C14-UNION.EpU.72633 has lost a 'Sewn Cloth' #19099.
[13:06:55]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Sewn Cloth' (#19098)
[13:06:55]	CCA.C14-UNION.EpU.72633 has lost a 'Sewn Cloth' #19098.
[13:06:56]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Rope' (#19097)
[13:06:56]	CCA.C14-UNION.EpU.72633 has lost a 'Rope' #19097.
[13:06:57]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Empty Paint Can' (#19102)
[13:06:57]	CCA.C14-UNION.EpU.72633 has lost a 'Empty Paint Can' #19102.
[13:07:00]	CCA.C14-UNION.EpU.72633 destroyed a 'Empty Paint Can' #19102.
[13:07:01]	CCA.C14-UNION.EpU.72633 destroyed a 'Rope' #19097.
[13:07:01]	CCA.C14-UNION.EpU.72633 destroyed a 'Cardboard Scraps' #19091.
[13:07:02]	CCA.C14-UNION.EpU.72633 destroyed a 'Sewn Cloth' #19099.
[13:07:03]	CCA.C14-UNION.EpU.72633 destroyed a 'Sewn Cloth' #19100.
[13:07:06]	CCA.C14-UNION.EpU.72633 destroyed a 'Sewn Cloth' #19098.
