[06:08:40]	Weaponized Turtles has connected.
[12:50:52]	Kiff Sankase ran 'Equip' on item 'CCA JUDGE i5 Armor' (#34263)
[12:50:57]	Kiff Sankase ran 'EquipUn' on item 'Axe' (#37738)
[12:50:58]	Kiff Sankase ran 'Equip' on item 'Axe' (#37738)
[12:51:06]	Kiff Sankase opened the 'Metal Cabinet' #2417 container.
[12:51:08]	Kiff Sankase closed the 'Metal Cabinet' #2417 container.
[12:51:11]	Kiff Sankase ran 'drop' on item 'Axe' (#37738)
[12:51:11]	Kiff Sankase has lost a 'Axe' #37738.
[12:51:13]	Kiff Sankase ran 'take' on item 'Axe' (#37738)
[12:51:13]	Kiff Sankase has gained a 'Axe' #37738.
[12:51:14]	Kiff Sankase ran 'Equip' on item 'Axe' (#37738)
[12:51:25]	Kiff Sankase ran 'drop' on item 'Armor Scraps' (#39479)
[12:51:25]	Kiff Sankase has lost a 'Armor Scraps' #39479.
[12:51:29]	Kiff Sankase ran 'Equip' on item 'Combat Knife' (#37557)
[12:51:31]	Kiff Sankase ran 'EquipUn' on item 'Axe' (#37738)
[12:51:32]	Kiff Sankase ran 'Equip' on item 'Combat Knife' (#37557)
[12:51:38]	Kiff Sankase opened the 'Cash Register' #2418 container.
[12:51:41]	Kiff Sankase closed the 'Cash Register' #2418 container.
[12:51:44]	Kiff Sankase opened the 'Metal Cabinet' #2417 container.
[12:51:48]	Kiff Sankase closed the 'Metal Cabinet' #2417 container.
[12:51:51]	Kiff Sankase opened the 'Metal Cabinet' #2417 container.
[12:51:56]	Kiff Sankase closed the 'Metal Cabinet' #2417 container.
[12:51:58]	Kiff Sankase ran 'take' on item 'Armor Scraps' (#39479)
[12:51:58]	Kiff Sankase has gained a 'Armor Scraps' #39479.
[12:52:19]	Kiff Sankase opened the 'Metal Cabinet' #2417 container.
[12:52:24]	Kiff Sankase closed the 'Metal Cabinet' #2417 container.
[12:52:42]	Kiff Sankase ran 'Use' on item 'Padlock' (#39303)
[12:52:58]	Dilly_ has connected.
[12:53:03]	wendigo has connected.
[12:53:34]	Dilly_ loaded the character 'Crimson'
[12:53:49]	wendigo loaded the character 'Ava Carter'
[12:53:52]	[OOC] Crimson: well uhh one of the paper is here
[12:53:58]	Kiff Sankase opened the 'Padlocked Metal Cabinet' #2417 container.
[12:53:59]	Kiff Sankase closed the 'Padlocked Metal Cabinet' #2417 container.
[12:54:00]	Kiff Sankase opened the 'Padlocked Metal Cabinet' #2417 container.
[12:54:04]	Kiff Sankase closed the 'Padlocked Metal Cabinet' #2417 container.
[12:54:04]	[OOC] Crimson: week and a half change musta done somethin
[12:54:13]	[OOC] Kiff Sankase: melee dion't work
[12:54:22]	[OOC] Crimson: hm?
[12:54:30]	[OOC] Kiff Sankase: i cant raise anythi
[12:54:40]	[OOC] Kiff Sankase: anything
[12:54:44]	Kiff Sankase opened the 'Padlocked Metal Cabinet' #2417 container.
[12:54:47]	Dilly_ loaded the character 'Carson Copper'
[12:54:48]	Nums has connected.
[12:54:50]	Kiff Sankase closed the 'Padlocked Metal Cabinet' #2417 container.
[12:54:53]	[OOC] Carson Copper: i can
[12:54:56]	[OOC] Kiff Sankase: tf
[12:55:01]	fuckus loaded the character 'Tony Ricci'
[12:55:05]	[OOC] Carson Copper: :/
[12:55:09]	[OOC] Ava Carter: man the rebel base empty now cuz the game broke
[12:55:18]	[OOC] Carson Copper: how were you raising before?
[12:55:21]	[OOC] Tony Ricci: r
[12:55:22]	[OOC] Ava Carter: server*
[12:55:46]	[OOC] Carson Copper: everything is default rn. the framework atleast
[12:55:56]	[OOC] Carson Copper: my role is a fuck o no
[12:56:19]	Ava Carter ran 'take' on item 'Adjustable Wrench' (#26385)
[12:56:19]	Ava Carter has gained a 'Adjustable Wrench' #26385.
[12:56:22]	Ava Carter ran 'drop' on item 'Adjustable Wrench' (#26385)
[12:56:22]	Ava Carter has lost a 'Adjustable Wrench' #26385.
[12:56:22]	[OOC] Tony Ricci: whats the default for raising weapons
[12:56:42]	fuckus loaded the character 'Kiff Sankase'
[12:56:53]	Kiff Sankase opened the 'Padlocked Metal Cabinet' #2417 container.
[12:56:59]	Kiff Sankase has gained a 'Cloth Scrap' #39345.
[12:57:03]	Kiff Sankase closed the 'Padlocked Metal Cabinet' #2417 container.
[12:57:08]	Kiff Sankase opened the 'Dumpster' #2756 container.
[12:57:11]	Kiff Sankase ran 'drop' on item 'Scrap Wood' (#37544)
[12:57:16]	Kiff Sankase ran 'drop' on item 'Broken Keyboard' (#33789)
[12:57:21]	Kiff Sankase ran 'drop' on item 'AA Battery' (#24176)
[12:57:24]	Kiff Sankase closed the 'Dumpster' #2756 container.
[12:57:46]	Kiff Sankase ran 'Equip' on item 'Axe' (#37738)
[12:57:49]	Kiff Sankase ran 'EquipUn' on item 'Combat Knife' (#37557)
[12:57:50]	Kiff Sankase ran 'Equip' on item 'Axe' (#37738)
[12:57:54]	Kiff Sankase ran 'drop' on item 'Axe' (#37738)
[12:57:54]	Kiff Sankase has lost a 'Axe' #37738.
[12:58:01]	Kiff Sankase ran 'take' on item 'Axe' (#37738)
[12:58:01]	Kiff Sankase has gained a 'Axe' #37738.
[12:58:03]	Kiff Sankase ran 'Equip' on item 'Axe' (#37738)
[12:58:09]	fuckus (STEAM_0:1:54861900) has disconnected.
[12:58:14]	Ava Carter has taken 15 damage from worldspawn.
[12:58:14]	Ava Carter has taken 100 damage from worldspawn.
[12:58:14]	worldspawn has killed Ava Carter.
[12:58:20]	[OOC] Carson Copper: hold r
[12:58:32]	[OOC] Ava Carter: ok i rlly want fall dmg bullshit fixed
[12:58:43]	[OOC] Carson Copper: wdym?
[12:58:59]	[OOC] Ava Carter: just fell from a not so high place and died
[12:59:10]	fuckus has connected.
[12:59:39]	[OOC] Ava Carter: man wtf the host do to the server lmaoo
[12:59:39]	fuckus loaded the character 'Kiff Sankase'
[13:00:10]	Ava Carter ran 'Equip' on item 'MP7' (#39046)
[13:00:15]	Ava Carter ran 'EquipUn' on item 'MP7' (#39046)
[13:00:53]	[OOC] Ava Carter: so uh
[13:00:56]	[OOC] Kiff Sankase: is there a way to change what button raises or lowers
[13:01:08]	[OOC] Ava Carter: the event happening rn i think
[13:01:40]	[OOC] Kiff Sankase: I FIXED IT
[13:01:41]	[OOC] Ava Carter: ah pumpkin carving
[13:01:47]	Ava Carter opened the 'Metal Cabinet' #2422 container.
[13:01:49]	Ava Carter closed the 'Metal Cabinet' #2422 container.
[13:01:55]	Kiff Sankase ran 'View' on item 'Paper' (#38843)
[13:02:00]	Kiff Sankase ran 'drop' on item 'Paper' (#38843)
[13:02:00]	Kiff Sankase has lost a 'Paper' #38843.
[13:02:03]	Kiff Sankase opened the 'Padlocked Metal Cabinet' #2417 container.
[13:02:06]	Kiff Sankase closed the 'Padlocked Metal Cabinet' #2417 container.
[13:02:16]	Kiff Sankase opened the 'Padlocked Metal Cabinet' #2417 container.
[13:02:25]	Kiff Sankase closed the 'Padlocked Metal Cabinet' #2417 container.
[13:02:43]	Kiff Sankase opened the 'Dumpster' #2756 container.
[13:02:46]	Kiff Sankase closed the 'Dumpster' #2756 container.
[13:02:58]	Kiff Sankase has gained a 'Corrugated Hose' #39612.
[13:03:00]	Kiff Sankase ran 'drop' on item 'Corrugated Hose' (#39612)
[13:03:00]	Kiff Sankase has lost a 'Corrugated Hose' #39612.
[13:03:01]	Kiff Sankase destroyed a 'Corrugated Hose' #39612.
[13:03:28]	[OOC] Ava Carter: plus there's still the giveaway
[13:03:43]	Kiff Sankase destroyed a 'Empty Paint Can' #39615.
[13:03:52]	Kiff Sankase ran 'take' on item 'Cloth Scrap' (#39615)
[13:03:52]	Kiff Sankase has gained a 'Cloth Scrap' #39615.
[13:04:05]	[OOC] Carson Copper: e
[13:04:14]	[OOC] Kiff Sankase: e
[13:05:09]	Kiff Sankase has taken 1 damage from npc_headcrab_fast.
[13:05:11]	Kiff Sankase has taken 1 damage from npc_headcrab_fast.
[13:05:20]	Kiff Sankase has taken 2 damage from npc_poisonzombie.
[13:05:32]	Kiff Sankase has gained 20 tokens.
[13:05:36]	Kiff Sankase has taken 1 damage from npc_headcrab.
[13:05:36]	Kiff Sankase has gained a 'AA Battery' #39616.
[13:05:40]	Kiff Sankase ran 'drop' on item 'AA Battery' (#39616)
[13:05:40]	Kiff Sankase has lost a 'AA Battery' #39616.
[13:05:46]	Kiff Sankase has gained a 'Bandage' #39617.
[13:06:15]	Kiff Sankase has taken 2 damage from npc_zombine.
[13:06:16]	Kiff Sankase has taken 2 damage from npc_zombine.
[13:06:17]	Kiff Sankase has taken 2 damage from npc_zombine.
[13:06:54]	Kiff Sankase has gained a 'Capacitors' #39618.
[13:06:56]	Kiff Sankase ran 'drop' on item 'Capacitors' (#39618)
[13:06:56]	Kiff Sankase has lost a 'Capacitors' #39618.
[13:06:59]	Kiff Sankase ran 'take' on item 'Citizen Filter' (#36472)
[13:06:59]	Kiff Sankase has gained a 'Citizen Filter' #36472.
[13:07:16]	Nums loaded the character 'CCA.C17-JUDGE.i4.77460'
[13:07:19]	Kiff Sankase has taken 1 damage from npc_headcrab.
[13:07:24]	Kiff Sankase has gained 20 tokens.
[13:07:48]	Kiff Sankase has gained a 'Empty Pill Bottle' #39620.
[13:07:52]	Kiff Sankase ran 'drop' on item 'Empty Pill Bottle' (#39620)
[13:07:52]	Kiff Sankase has lost a 'Empty Pill Bottle' #39620.
[13:08:21]	CCA.C17-JUDGE.i4.77460 destroyed a 'Empty Combine Air Tank' #35746.
[13:08:24]	CCA.C17-JUDGE.i4.77460 destroyed a 'Axe' #33892.
[13:08:25]	Kiff Sankase has gained a 'Insulating Tape' #39621.
[13:08:27]	CCA.C17-JUDGE.i4.77460 opened the 'File Cabinet' #2366 container.
[13:08:28]	Kiff Sankase ran 'drop' on item 'Insulating Tape' (#39621)
[13:08:28]	Kiff Sankase has lost a 'Insulating Tape' #39621.
[13:08:35]	Kiff Sankase opened the 'Crate' #2778 container.
[13:08:41]	CCA.C17-JUDGE.i4.77460 closed the 'File Cabinet' #2366 container.
[13:08:47]	Kiff Sankase closed the 'Crate' #2778 container.
[13:09:15]	[OOC] CCA.C17-JUDGE.i4.77460: Fuck I can't even get inside the nexus
[13:09:22]	[OOC] Kiff Sankase: L
[13:09:44]	Kiff Sankase ran 'take' on item 'Cloth Scrap' (#39622)
[13:09:44]	Kiff Sankase has gained a 'Cloth Scrap' #39622.
[13:09:48]	[OOC] Ava Carter: dam the server fucked up that bad
[13:09:49]	Kiff Sankase ran 'drop' on item 'Citizen Filter' (#36472)
[13:09:49]	Kiff Sankase has lost a 'Citizen Filter' #36472.
[13:10:00]	Kiff Sankase has gained a 'Screw Nuts' #39623.
[13:10:03]	Kiff Sankase ran 'drop' on item 'Screw Nuts' (#39623)
[13:10:03]	Kiff Sankase has lost a 'Screw Nuts' #39623.
[13:35:13]	fuckus has connected.
[13:35:39]	matt saton has connected.
[13:35:54]	Dilly_ has connected.
[13:36:34]	fuckus loaded the character 'Tony Ricci'
[13:36:48]	fuckus loaded the character 'Kiff Sankase'
[13:37:21]	wendigo has connected.
[13:37:21]	agentgollem has connected.
[13:37:23]	Kiff Sankase has gained a 'Scrap Wood' #39625.
[13:37:26]	Kiff Sankase ran 'drop' on item 'Scrap Wood' (#39625)
[13:37:26]	Kiff Sankase has lost a 'Scrap Wood' #39625.
[13:37:42]	matt saton loaded the character 'The Consul'
[13:37:49]	agentgollem loaded the character 'George Wach'
[13:37:50]	Kiff Sankase has taken 1 damage from npc_fastzombie.
[13:37:53]	Kiff Sankase has gained 10 tokens.
[13:38:10]	Kiff Sankase has gained a 'Light Bulb' #39627.
[13:38:12]	Kiff Sankase ran 'drop' on item 'Light Bulb' (#39627)
[13:38:12]	Kiff Sankase has lost a 'Light Bulb' #39627.
[13:38:17]	wendigo loaded the character 'Ava Carter'
[13:38:27]	George Wach ran 'drop' on item 'Empty Consulate Water Can' (#38113)
[13:38:27]	George Wach has lost a 'Empty Consulate Water Can' #38113.
[13:38:33]	[OOC] Ava Carter: damn the items in rebel base are still gone
[13:38:34]	Lynch has connected.
[13:38:49]	Kiff Sankase used command '/DoorBuy'.
[13:38:56]	Kiff Sankase ran 'take' on item 'Cloth Scrap' (#39626)
[13:38:56]	Kiff Sankase has gained a 'Cloth Scrap' #39626.
[13:38:59]	Dilly_ loaded the character 'Crimson'
[13:39:02]	Kiff Sankase has gained a 'Bandage' #39628.
[13:39:06]	[OOC] The Consul: those will be fully reimburswed
[13:39:10]	[OOC] The Consul: but it will take a li ttel time
[13:39:11]	George Wach has lost 2 tokens.
[13:39:16]	[OOC] Crimson: the red is back
[13:39:18]	George Wach ran 'take' on item 'Citizen Filter' (#39629)
[13:39:18]	George Wach has gained a 'Citizen Filter' #39629.
[13:39:31]	Lynch loaded the character 'PVT Nathan Pierce'
[13:39:36]	[OOC] Crimson: the communism is back 
[13:39:36]	The Consul entered observer.
[13:39:41]	Kiff Sankase has gained a 'Cloth Scrap' #39630.
[13:39:48]	[OOC] Ava Carter: gay
[13:39:54]	[OOC] Crimson: my bird will play a key role in the event
[13:40:07]	[OOC] PVT Nathan Pierce: Conscript gaming.
[13:40:40]	[OOC] George Wach: why the fuck is there a stars wars poster
[13:40:42]	[OOC] PVT Nathan Pierce: time to assasinate The Consul, lol!
[13:40:55]	Kiff Sankase has taken 2 damage from npc_poisonzombie.
[13:40:55]	[OOC] The Consul: some shitizen put the star wars poster up at the work deksa
[13:40:58]	Kiff Sankase has taken 2 damage from npc_poisonzombie.
[13:41:01]	[OOC] Ava Carter: dnc
[13:41:05]	Kiff Sankase has gained 20 tokens.
[13:41:19]	[OOC] The Consul: i'm gonna give some time just ot let everybody connect and stuff
[13:41:21]	[OOC] The Consul: thne we'll get into the evnet
[13:41:25]	[OOC] George Wach: alr
[13:41:28]	[OOC] Ava Carter: k
[13:41:28]	The Consul exited observer at their location.
[13:41:28]	The Consul entered observer.
[13:41:29]	The Consul exited observer at their location.
[13:41:34]	matt saton loaded the character 'CPT Nathan Vance'
[13:41:34]	CPT Nathan Vance entered observer.
[13:41:39]	CPT Nathan Vance used command '/Radio Pierce.'.
[13:41:43]	CPT Nathan Vance used command '/Radio What's your location?'.
[13:41:47]	[OOC] PVT Nathan Pierce: What the fuck, a second Nathan?
[13:41:47]	Kiff Sankase opened the 'Padlocked Metal Cabinet' #2417 container.
[13:41:48]	Kiff Sankase closed the 'Padlocked Metal Cabinet' #2417 container.
[13:41:48]	Kiff Sankase opened the 'Padlocked Metal Cabinet' #2417 container.
[13:41:51]	Kiff Sankase closed the 'Padlocked Metal Cabinet' #2417 container.
[13:41:54]	[OOC] CPT Nathan Vance: OH SHIT
[13:42:01]	[OOC] Crimson: get fucked
[13:42:06]	[OOC] CPT Nathan Vance: bro stole my name
[13:42:08]	fuckus loaded the character 'Tony Ricci'
[13:42:12]	[OOC] PVT Nathan Pierce: no, it's mine!!
[13:42:19]	[OOC] CPT Nathan Vance: pierce is y ou r radio on
[13:42:21]	PVT Nathan Pierce used command '/Radio Nexus Cafeteria.'.
[13:42:33]	[OOC] Ava Carter: 2 nathans and imma kill them both
[13:42:35]	CPT Nathan Vance used command '/Radio Report to the circle elevator.'.
[13:42:39]	[OOC] Tony Ricci: could i have bird role pls
[13:42:40]	PVT Nathan Pierce used command '/Radio Roger.'.
[13:42:50]	CPT Nathan Vance used command '/PlyWhitelist ricci bird'.
[13:42:52]	[OOC] PVT Nathan Pierce: Shut up, you can't beat the Nathans
[13:42:54]	Nums has connected.
[13:42:56]	CPT Nathan Vance used command '/PlyWhitelist ricci cac'.
[13:43:00]	[OOC] Ava Carter: with a grenade i can
[13:43:00]	CPT Nathan Vance exited observer at their location.
[13:43:01]	Crimson used command '/Content'.
[13:43:04]	CPT Nathan Vance used command '/CharGiveFlag ricci pet'.
[13:43:19]	George Wach ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#28254)
[13:43:23]	Tony Ricci used command '/PM vance thank you'.
[13:43:23]	[OOC] Ava Carter: WITH A RPG I CAN!
[13:43:26]	[ME] PVT Nathan Pierce: Gave the Captain a quick salute
[13:43:33]	Nums loaded the character 'CCA.C17-JUDGE.i4.77460'
[13:43:42]	Painevan has connected.
[13:43:59]	Tony Ricci has spawned 'models/props_vehicles/apc_tire001.mdl'.
[13:45:24]	Painevan loaded the character 'Jonathan Jackson'
[13:45:30]	CCA.C17-JUDGE.i4.77460 used command '/Radio 10-8'.
[13:45:33]	Ava Carter used command '/PM CPT what do super vip get'.
[13:45:40]	CPT Nathan Vance used command '/PM ava standby and i'll get you set up'.
[13:45:55]	[OOC] Crimson: I cast gun at 9th level
[13:45:57]	[LOOC] PVT Nathan Pierce: conscript armor should have atleast a 5 damage threshold
[13:46:00]	Jonathan Jackson opened the 'Crate' #2778 container.
[13:46:00]	Jonathan Jackson closed the 'Crate' #2778 container.
[13:46:03]	[OOC] Ava Carter: i cast your mom
[13:46:08]	[OOC] Crimson: dies
[13:46:10]	wendigo loaded the character 'Sona la Rona'
[13:46:16]	[OOC] Sona la Rona: sona time
[13:46:28]	[OOC] CCA.C17-JUDGE.i4.77460: two nathans immediately in Conscripts
[13:46:41]	fuckus created the character 'Birdy'
[13:46:41]	[OOC] Sona la Rona: imagin
[13:46:44]	fuckus loaded the character 'Birdy'
[13:46:49]	[OOC] Crimson: this new clone technology is crazy
[13:46:57]	Jonathan Jackson destroyed a 'Scrap Wood' #39625.
[13:47:01]	Jonathan Jackson destroyed a 'Capacitors' #39618.
[13:47:02]	Jonathan Jackson destroyed a 'Pin' #36048.
[13:47:20]	George Wach ran 'View' on item 'Notepad' (#33294)
[13:47:29]	George Wach ran 'Edit' on item 'Notepad' (#33294)
[13:47:38]	George Wach ran 'drop' on item 'Notepad' (#33294)
[13:47:38]	George Wach has lost a 'Notepad' #33294.
[13:47:38]	Sona la Rona ran 'drop' on item 'Refined Electronics' (#39559)
[13:47:38]	Sona la Rona has lost a 'Refined Electronics' #39559.
[13:47:40]	Sona la Rona ran 'drop' on item 'Small Thermos' (#35294)
[13:47:40]	Sona la Rona has lost a 'Small Thermos' #35294.
[13:47:41]	Sona la Rona ran 'drop' on item 'Pack of Nails' (#35273)
[13:47:41]	Sona la Rona has lost a 'Pack of Nails' #35273.
[13:47:42]	Sona la Rona ran 'drop' on item 'Refined Metal' (#39558)
[13:47:42]	Sona la Rona has lost a 'Refined Metal' #39558.
[13:47:43]	Sona la Rona ran 'drop' on item 'Scrap Metal' (#38804)
[13:47:43]	Sona la Rona has lost a 'Scrap Metal' #38804.
[13:47:44]	Sona la Rona ran 'drop' on item 'Pliers' (#35280)
[13:47:44]	Sona la Rona has lost a 'Pliers' #35280.
[13:47:56]	Painevan loaded the character 'CCA.C17-HELIX.i3.08874'
[13:48:05]	George Wach ran 'Equip' on item 'Cyclopic Citizen Suit' (#28254)
[13:48:33]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[13:48:51]	Birdy used command '/CharDesc White Feathers | could kill you in a heartbeat'.
[13:48:56]	George Wach opened the 'Trash Bin' #2551 container.
[13:48:59]	George Wach closed the 'Trash Bin' #2551 container.
[13:49:04]	CCA.C17-HELIX.i3.08874 has gained a 'Short Range Radio Jammer' #39633.
[13:49:04]	CPT Nathan Vance used command '/CharGiveItem i3 short range radio jammer'.
[13:49:07]	George Wach has gained a 'Bar of Soap' #39634.
[13:49:09]	George Wach ran 'drop' on item 'Bar of Soap' (#39634)
[13:49:09]	George Wach has lost a 'Bar of Soap' #39634.
[13:49:10]	Painevan loaded the character 'Jonathan Jackson'
[13:49:17]	George Wach has gained a 'Scrap Electronics' #39635.
[13:49:20]	George Wach ran 'drop' on item 'Scrap Electronics' (#39635)
[13:49:20]	George Wach has lost a 'Scrap Electronics' #39635.
[13:49:27]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[13:49:28]	[ME] Crimson: vibes
[13:49:33]	[ME] Birdy: makes bird noises
[13:49:38]	[ME] Crimson: does the same
[13:49:40]	George Wach opened the 'Dumpster' #2736 container.
[13:49:42]	[LOOC] PVT Nathan Pierce: Do I only get the stuff from the CP armory?
[13:49:43]	George Wach closed the 'Dumpster' #2736 container.
[13:49:50]	[LOOC] CPT Nathan Vance: yeah, it's the shared armory
[13:49:53]	[ME] Birdy: gestures to the officer
[13:50:03]	[OOC] CPT Nathan Vance: event will start shortly
[13:50:03]	[LOOC] PVT Nathan Pierce: I can't access the armory for some reason
[13:50:08]	[OOC] CPT Nathan Vance: i'm giving the combine people ordfers
[13:50:10]	[LOOC] CPT Nathan Vance: one sec, let me fix that
[13:50:11]	CPT Nathan Vance entered observer.
[13:50:12]	Sona la Rona has gained a 'Graphics Card' #39636.
[13:50:16]	[OOC] Sona la Rona: im picking up trash hold on!
[13:50:19]	[ME] Crimson: pecks at the ground furiously with malicious intent
[13:50:25]	CPT Nathan Vance exited observer at their location.
[13:50:25]	Sona la Rona opened the 'Dumpster' #2736 container.
[13:50:28]	Sona la Rona closed the 'Dumpster' #2736 container.
