[09:34:18]	GamingTheGames has connected.
[11:26:45]	[LOOC] CCA.C17-UNION.i5.74645: ?
[11:27:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[11:28:07]	CCA.C17-UNION.i5.74645 used command '/CharFallOver'.
[11:28:15]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[11:28:26]	CCA.C17-UNION.i5.74645 used command '/CharFallOver'.
[11:28:34]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[11:29:31]	CCA.C17-UNION.i5.74645 used command '/CharFallOver'.
[11:29:35]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[11:29:36]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[11:30:34]	CCA.C17-UNION.i3.93347 has gained 10 tokens.
[11:31:23]	[LOOC] CCA.C17-UNION.i5.74645: is it just me or do i hear constant gunfire in this room
[11:31:29]	[LOOC] CCA.C17-UNION.i3.93347: just you
[11:31:33]	[LOOC] CCA.C17-UNION.i5.74645: what the fuck
[11:31:43]	[LOOC] CCA.C17-UNION.i5.74645: it sounds like my dudes going through fuckin vietnam flashbacks lmao
[11:32:06]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[11:33:00]	[LOOC] CCA.C17-UNION.i5.74645: apparently its because of half-life content i have mounted, hm
[11:33:06]	[LOOC] CCA.C17-UNION.i5.74645: time to search through each audio file
[11:35:34]	CCA.C17-UNION.i3.93347 has gained 10 tokens.
[11:35:35]	[LOOC] CCA.C17-UNION.i3.93347: uh oh
[11:35:52]	[LOOC] CCA.C17-UNION.i3.93347: anywho Imma yeet for now until more peeps show up
[11:35:57]	[LOOC] CCA.C17-UNION.i5.74645: fair enough
[11:36:00]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[11:36:11]	elkay (STEAM_0:1:76095374) has disconnected.
[11:39:33]	D0g has connected.
[11:41:37]	D0g created the character 'Tess Nilsson'
[11:41:37]	Tess Nilsson has gained a 'Suitcase' #4761.
[11:41:37]	Tess Nilsson has gained a 'Relocation Coupon' #4762.
[11:41:37]	Tess Nilsson has gained a 'Green Citizen Suit' #4763.
[11:41:37]	Tess Nilsson has gained a 'Citizen Filter' #4764.
[11:41:38]	D0g loaded the character 'Tess Nilsson'
[11:42:58]	D0g (STEAM_0:1:78049823) has disconnected.
[12:30:39]	matt saton has connected.
[12:34:14]	elkay has connected.
[12:34:44]	elkay loaded the character 'CCA.C17-UNION.i5.74645'
[12:36:33]	matt saton loaded the character 'Lee Maylor'
[12:36:36]	Lee Maylor entered observer.
[12:36:39]	Lee Maylor exited observer at their location.
[12:36:41]	Lee Maylor entered observer.
[12:37:21]	matt saton (STEAM_0:1:53097688) has disconnected.
[12:39:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[12:40:25]	matt saton has connected.
[12:44:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[12:48:36]	matt saton loaded the character 'Lee Maylor'
[12:48:37]	Lee Maylor entered observer.
[12:49:33]	[OOC] Lee Maylor: misfire
[12:49:42]	[OOC] CCA.C17-UNION.i5.74645: and just like that i have witnessed a murder of a sign
[12:49:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[12:49:45]	[OOC] Lee Maylor: lmao
[12:49:48]	[OOC] Lee Maylor: brb gonna get lunch
[12:49:51]	[OOC] CCA.C17-UNION.i5.74645: ight
[12:50:02]	Dilly_ has connected.
[12:50:38]	Dilly_ loaded the character 'CCA.C17-UNION.i3.93347'
[12:50:49]	[OOC] CCA.C17-UNION.i3.93347: lee maylor
[12:50:57]	[OOC] CCA.C17-UNION.i3.93347: LEE MAYLOR!!!!!
[12:51:14]	[OOC] CCA.C17-UNION.i5.74645: wait till he sees can man when he comes back from getting lunch
[12:52:01]	[OOC] CCA.C17-UNION.i3.93347: interesting, I can't seem to load my pac
[12:52:11]	[OOC] CCA.C17-UNION.i5.74645: pac_restart in console and try again?
[12:52:13]	[OOC] Lee Maylor: i know the ix for that
[12:52:28]	[OOC] Lee Maylor: so go to load, hover over the outfit, and click on the grouping for thato utfit
[12:52:32]	Lee Maylor exited observer at their location.
[12:52:33]	Lee Maylor entered observer.
[12:52:33]	Lee Maylor exited observer at their location.
[12:52:34]	Lee Maylor entered observer.
[12:52:35]	Lee Maylor exited observer at their location.
[12:52:36]	Lee Maylor entered observer.
[12:52:37]	Lee Maylor exited observer at their location.
[12:52:38]	[OOC] CCA.C17-UNION.i3.93347: aha that did it
[12:52:39]	[OOC] Lee Maylor: it'll load that
[12:52:39]	Lee Maylor entered observer.
[12:52:40]	Lee Maylor exited observer at their location.
[12:52:40]	Lee Maylor entered observer.
[12:52:41]	[OOC] Lee Maylor: yepyep
[12:52:43]	[OOC] Lee Maylor: okay lucnbh brb
[12:52:48]	[OOC] CCA.C17-UNION.i3.93347: oh no the restart, but yes
[12:53:00]	[OOC] CCA.C17-UNION.i3.93347: I know how to regularly load it in
[12:53:09]	[OOC] CCA.C17-UNION.i3.93347: was just being a bit funky
[12:53:31]	[OOC] CCA.C17-UNION.i5.74645: pac listenin to funky town for tonight
[12:54:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[12:58:19]	CCA.C17-UNION.i5.74645 used command '/CharFallOver'.
[12:58:23]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[12:58:25]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[12:59:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[13:00:38]	CCA.C17-UNION.i3.93347 has gained 10 tokens.
[13:03:59]	CCA.C17-UNION.i3.93347 ran 'Equip' on item 'USP Match' (#206)
[13:04:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[13:05:38]	CCA.C17-UNION.i3.93347 has gained 10 tokens.
[13:05:42]	CCA.C17-UNION.i3.93347 opened the '' #221 container.
[13:05:43]	CCA.C17-UNION.i3.93347 closed the '' #221 container.
[13:10:26]	[OOC] Lee Maylor: what the shitfuck
[13:10:29]	[OOC] CCA.C17-UNION.i5.74645: ?
[13:10:33]	Lee Maylor exited observer at their location.
[13:10:35]	[OOC] Lee Maylor: can man
[13:10:38]	CCA.C17-UNION.i3.93347 has gained 10 tokens.
[13:10:38]	[OOC] CCA.C17-UNION.i5.74645: can man
[13:10:46]	[OOC] CCA.C17-UNION.i3.93347: oh boy
[13:10:53]	[OOC] CCA.C17-UNION.i3.93347: That was the aftermath of yesterday
[13:11:09]	[OOC] Lee Maylor: yeah sorry i wasn on
[13:11:13]	[OOC] Lee Maylor: i was trying to get all my HW done
[13:11:17]	[OOC] CCA.C17-UNION.i5.74645: fair enough
[13:11:28]	[OOC] CCA.C17-UNION.i3.93347: oh no worries, we all were on our CP chars fucking around, was fun
[13:11:59]	[OOC] CCA.C17-UNION.i5.74645: petition to make CAN a division lmao
[13:12:20]	[OOC] CCA.C17-UNION.i3.93347: *uh*
[13:12:24]	CCA.C17-UNION.i3.93347 used command '/Content'.
[13:14:25]	[OOC] CCA.C17-UNION.i5.74645: hmmm
[13:14:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[13:15:03]	Lee Maylor entered observer.
[13:15:04]	Lee Maylor entered observer.
[13:15:38]	CCA.C17-UNION.i3.93347 has gained 10 tokens.
[13:15:52]	[OOC] CCA.C17-UNION.i5.74645: afk
[13:15:58]	Lee Maylor exited observer at their location.
[13:15:58]	Lee Maylor entered observer.
[13:15:59]	Lee Maylor exited observer at their location.
[13:16:00]	Lee Maylor entered observer.
[13:16:01]	Lee Maylor exited observer at their location.
[13:16:06]	Lee Maylor entered observer.
[13:16:21]	[OOC] CCA.C17-UNION.i3.93347: *e*
[13:16:28]	[OOC] Lee Maylor: *e*
[13:16:49]	Lee Maylor has spawned 'models/sacktick/sacktick.mdl'.
[13:17:50]	[OOC] CCA.C17-UNION.i5.74645: every lightbulb just went off in my room
[13:17:51]	[OOC] CCA.C17-UNION.i5.74645: hmmmm
[13:18:03]	[OOC] Lee Maylor: sage
[13:19:17]	[OOC] CCA.C17-UNION.i3.93347: yaaay my effects worked
[13:19:36]	[OOC] Lee Maylor: ?
[13:19:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[13:19:57]	Lee Maylor exited observer at their location.
[13:19:57]	Lee Maylor entered observer.
[13:19:58]	Lee Maylor exited observer at their location.
[13:20:09]	matt saton loaded the character 'CCA.C17-UNION.i1.51023'
[13:20:27]	[OOC] CCA.C17-UNION.i3.93347: nothing, I've been trying to get these two audio effects on my synthesizer to work this whole morning and I finally got em to work just now
[13:20:38]	CCA.C17-UNION.i3.93347 has gained 10 tokens.
[13:21:00]	[OOC] CCA.C17-UNION.i1.51023: ah
[13:21:02]	[OOC] CCA.C17-UNION.i1.51023: nice
[13:21:12]	[OOC] CCA.C17-UNION.i1.51023: hmm shoudl we do an event this afternoon
[13:21:21]	[OOC] CCA.C17-UNION.i5.74645: potentially
[13:21:34]	CCA.C17-UNION.i1.51023 entered observer.
[13:21:56]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:21:57]	CCA.C17-UNION.i1.51023 entered observer.
[13:21:59]	[OOC] CCA.C17-UNION.i3.93347: I might not be able to make it this afternoon ;w; oh well, can't make em all 
[13:22:04]	CCA.C17-UNION.i1.51023 used command '/DoorSetHidden true'.
[13:23:53]	[OOC] CCA.C17-UNION.i3.93347: I'm curious, what stat would you say you would have to roll if you wanted to stealthfully sneak past someone? 
[13:23:57]	[ME] CCA.C17-UNION.i1.51023: would flick his wrist.
[13:23:58]	[OOC] CCA.C17-UNION.i1.51023: agi
[13:24:00]	[OOC] CCA.C17-UNION.i3.93347: agility? 
[13:24:09]	[OOC] CCA.C17-UNION.i3.93347: yeee gotcha
[13:24:17]	[OOC] CCA.C17-UNION.i5.74645: probably agi yea
[13:24:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[13:25:09]	CCA.C17-UNION.i1.51023 has gained 10 tokens.
[13:25:28]	[ME] CCA.C17-UNION.i3.93347: violently starts hissing 
[13:25:34]	[LOOC] CCA.C17-UNION.i3.93347: void
[13:25:38]	CCA.C17-UNION.i3.93347 has gained 10 tokens.
[13:25:40]	[LOOC] CCA.C17-UNION.i5.74645: hmmmm
[13:25:54]	[OOC] CCA.C17-UNION.i3.93347: I fucking love this model so much
[13:26:46]	[LOOC] CCA.C17-UNION.i5.74645: about right*
[13:28:16]	CCA.C17-UNION.i1.51023 has spawned a 'Entity [1641][pfx1_0e_l]'.
[13:28:22]	CCA.C17-UNION.i1.51023 has spawned a 'Entity [1641][pfx1_0c]'.
[13:29:09]	CCA.C17-UNION.i1.51023 used the 'Armory Supply' vendor.
[13:29:43]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:29:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[13:29:44]	CCA.C17-UNION.i1.51023 entered observer.
[13:29:45]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:29:53]	[LOOC] CCA.C17-UNION.i5.74645: DoorRP
[13:30:09]	CCA.C17-UNION.i1.51023 has gained 10 tokens.
[13:30:11]	CCA.C17-UNION.i1.51023 used command '/adminspawnmenu'.
[13:30:21]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4765.
[13:30:21]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4766.
[13:30:21]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4767.
[13:30:21]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4768.
[13:30:21]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4769.
[13:30:21]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4770.
[13:30:21]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4771.
[13:30:21]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4772.
[13:30:21]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4773.
[13:30:21]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4774.
[13:30:21]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4775.
[13:30:21]	CCA.C17-UNION.i1.51023 used command '/CharGiveItem union.i1 zip 999'.
[13:30:24]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4768)
[13:30:24]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4768.
[13:30:25]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4767)
[13:30:25]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4767.
[13:30:26]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4771)
[13:30:26]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4771.
[13:30:26]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4770)
[13:30:26]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4770.
[13:30:27]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4772)
[13:30:27]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4772.
[13:30:27]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4773)
[13:30:27]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4773.
[13:30:28]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4774)
[13:30:28]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4774.
[13:30:28]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4769)
[13:30:28]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4769.
[13:30:29]	CCA.C17-UNION.i1.51023 entered observer.
[13:30:30]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:30:31]	CCA.C17-UNION.i1.51023 entered observer.
[13:30:35]	CCA.C17-UNION.i1.51023 ran 'take' on item 'Zip Tie' (#4769)
[13:30:35]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4769.
[13:30:37]	CCA.C17-UNION.i1.51023 ran 'take' on item 'Zip Tie' (#4767)
[13:30:37]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4767.
[13:30:38]	CCA.C17-UNION.i3.93347 has gained 10 tokens.
[13:30:40]	CCA.C17-UNION.i1.51023 ran 'take' on item 'Zip Tie' (#4768)
[13:30:40]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4768.
[13:30:42]	CCA.C17-UNION.i1.51023 ran 'take' on item 'Zip Tie' (#4771)
[13:30:42]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4771.
[13:30:46]	CCA.C17-UNION.i1.51023 ran 'take' on item 'Zip Tie' (#4772)
[13:30:46]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4772.
[13:30:48]	CCA.C17-UNION.i1.51023 ran 'take' on item 'Zip Tie' (#4773)
[13:30:48]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4773.
[13:30:50]	CCA.C17-UNION.i1.51023 ran 'take' on item 'Zip Tie' (#4774)
[13:30:50]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4774.
[13:30:54]	CCA.C17-UNION.i1.51023 ran 'take' on item 'Zip Tie' (#4770)
[13:30:54]	CCA.C17-UNION.i1.51023 has gained a 'Zip Tie' #4770.
[13:30:59]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4769)
[13:30:59]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4769.
[13:31:00]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4771)
[13:31:00]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4771.
[13:31:01]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4772)
[13:31:01]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4772.
[13:31:04]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4767)
[13:31:04]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4767.
[13:31:05]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4774)
[13:31:05]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4774.
[13:31:06]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4768)
[13:31:06]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4768.
[13:31:06]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4773)
[13:31:06]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4773.
[13:31:07]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4770)
[13:31:07]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4770.
[13:31:08]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4775)
[13:31:08]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4775.
[13:31:08]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4766)
[13:31:08]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4766.
[13:31:09]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#449)
[13:31:09]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #449.
[13:31:10]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#454)
[13:31:10]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #454.
[13:31:11]	CCA.C17-UNION.i1.51023 ran 'drop' on item 'Zip Tie' (#4765)
[13:31:11]	CCA.C17-UNION.i1.51023 has lost a 'Zip Tie' #4765.
[13:31:14]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:31:32]	CCA.C17-UNION.i1.51023 entered observer.
[13:32:21]	CCA.C17-UNION.i5.74645 ran 'take' on item 'Zip Tie' (#4773)
[13:32:21]	CCA.C17-UNION.i5.74645 has gained a 'Zip Tie' #4773.
[13:32:25]	CCA.C17-UNION.i5.74645 ran 'take' on item 'Zip Tie' (#4765)
[13:32:25]	CCA.C17-UNION.i5.74645 has gained a 'Zip Tie' #4765.
[13:32:27]	CCA.C17-UNION.i5.74645 ran 'take' on item 'Zip Tie' (#454)
[13:32:27]	CCA.C17-UNION.i5.74645 has gained a 'Zip Tie' #454.
[13:33:27]	[ME] CCA.C17-UNION.i3.93347: he reaches out and grabs a handful of ties
[13:33:31]	CCA.C17-UNION.i3.93347 ran 'take' on item 'Zip Tie' (#4770)
[13:33:31]	CCA.C17-UNION.i3.93347 has gained a 'Zip Tie' #4770.
[13:33:33]	CCA.C17-UNION.i3.93347 ran 'take' on item 'Zip Tie' (#4771)
[13:33:33]	CCA.C17-UNION.i3.93347 has gained a 'Zip Tie' #4771.
[13:33:47]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:33:48]	CCA.C17-UNION.i5.74645 ran 'take' on item 'Zip Tie' (#4768)
[13:33:48]	CCA.C17-UNION.i5.74645 has gained a 'Zip Tie' #4768.
[13:33:49]	CCA.C17-UNION.i5.74645 ran 'Use' on item 'Zip Tie' (#4774)
[13:33:53]	CCA.C17-UNION.i5.74645 ran 'take' on item 'Zip Tie' (#449)
[13:33:53]	CCA.C17-UNION.i5.74645 has gained a 'Zip Tie' #449.
[13:34:18]	CCA.C17-UNION.i5.74645 opened the '' #56 container.
[13:34:21]	CCA.C17-UNION.i5.74645 closed the '' #56 container.
[13:34:29]	[ME] CCA.C17-UNION.i3.93347: opens the large metal cabinet tossing a few items inside
[13:34:30]	CCA.C17-UNION.i3.93347 opened the '' #56 container.
[13:34:37]	CCA.C17-UNION.i3.93347 closed the '' #56 container.
[13:34:39]	CCA.C17-UNION.i5.74645 opened the '' #56 container.
[13:34:43]	CCA.C17-UNION.i5.74645 closed the '' #56 container.
[13:34:44]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[13:34:46]	CCA.C17-UNION.i5.74645 opened the '' #56 container.
[13:34:48]	CCA.C17-UNION.i5.74645 closed the '' #56 container.
[13:34:53]	CCA.C17-UNION.i3.93347 opened the '' #56 container.
[13:34:54]	[ME] CCA.C17-UNION.i5.74645: peeks inside the cabinet.
[13:34:54]	CCA.C17-UNION.i5.74645 opened the '' #56 container.
[13:34:55]	CCA.C17-UNION.i3.93347 closed the '' #56 container.
[13:35:01]	CCA.C17-UNION.i3.93347 opened the '' #55 container.
[13:35:01]	CCA.C17-UNION.i3.93347 closed the '' #55 container.
[13:35:04]	CCA.C17-UNION.i3.93347 opened the '' #55 container.
[13:35:06]	CCA.C17-UNION.i3.93347 closed the '' #55 container.
[13:35:07]	CCA.C17-UNION.i5.74645 opened the '' #56 container.
[13:35:09]	CCA.C17-UNION.i5.74645 closed the '' #56 container.
[13:35:14]	[ME] CCA.C17-UNION.i3.93347: shrugs, "Couldn't tell ya."
[13:35:29]	[ME] CCA.C17-UNION.i3.93347: he opens the adjacent cabinet, to store a few items inside
[13:35:31]	CCA.C17-UNION.i3.93347 opened the '' #55 container.
[13:35:36]	CCA.C17-UNION.i1.51023 entered observer.
[13:35:37]	CCA.C17-UNION.i5.74645 opened the '' #55 container.
[13:35:38]	CCA.C17-UNION.i3.93347 has gained 10 tokens.
[13:35:40]	CCA.C17-UNION.i3.93347 closed the '' #55 container.
[13:35:43]	CCA.C17-UNION.i3.93347 ran 'take' on item 'Zip Tie' (#4769)
[13:35:43]	CCA.C17-UNION.i3.93347 has gained a 'Zip Tie' #4769.
[13:35:44]	CCA.C17-UNION.i3.93347 opened the '' #55 container.
[13:35:48]	CCA.C17-UNION.i5.74645 opened the '' #55 container.
[13:35:51]	CCA.C17-UNION.i3.93347 closed the '' #55 container.
[13:35:51]	CCA.C17-UNION.i5.74645 opened the '' #55 container.
[13:35:53]	CCA.C17-UNION.i5.74645 closed the '' #55 container.
[13:35:56]	CCA.C17-UNION.i5.74645 opened the '' #55 container.
[13:35:57]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:35:58]	CCA.C17-UNION.i5.74645 closed the '' #55 container.
[13:36:00]	CCA.C17-UNION.i5.74645 opened the '' #55 container.
[13:36:03]	CCA.C17-UNION.i1.51023 entered observer.
[13:36:03]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:36:04]	CCA.C17-UNION.i5.74645 closed the '' #55 container.
[13:36:04]	[ME] CCA.C17-UNION.i3.93347: peaks into the other cabinet on the other wall
[13:36:05]	CCA.C17-UNION.i1.51023 entered observer.
[13:36:05]	CCA.C17-UNION.i3.93347 opened the '' #54 container.
[13:36:07]	CCA.C17-UNION.i3.93347 closed the '' #54 container.
[13:36:10]	CCA.C17-UNION.i1.51023 exited observer at their location.
[13:36:10]	CCA.C17-UNION.i1.51023 entered observer.
[13:36:13]	CCA.C17-UNION.i5.74645 opened the '' #54 container.
[13:36:15]	CCA.C17-UNION.i5.74645 closed the '' #54 container.
[13:36:17]	CCA.C17-UNION.i3.93347 opened the '' #56 container.
[13:36:20]	CCA.C17-UNION.i3.93347 closed the '' #56 container.
[13:36:33]	[ME] CCA.C17-UNION.i3.93347: he eyes the notepad in the other cabinet, and would pull it toward him having a read
[13:36:33]	CCA.C17-UNION.i3.93347 opened the '' #56 container.
[13:36:35]	CCA.C17-UNION.i3.93347 has gained a 'Notepad' #1499.
[13:36:37]	CCA.C17-UNION.i3.93347 closed the '' #56 container.
[13:36:38]	CCA.C17-UNION.i5.74645 opened the '' #56 container.
[13:36:43]	CCA.C17-UNION.i5.74645 closed the '' #56 container.
[13:36:44]	CCA.C17-UNION.i3.93347 ran 'drop' on item 'Notepad' (#1499)
[13:36:44]	CCA.C17-UNION.i3.93347 has lost a 'Notepad' #1499.
