[04:32:55]	Mr.Ganar has connected.
[19:53:13]	Garry Willvar ran 'take' on item 'Loyalist Grade Food Product (Cheese Flavor)' (#25003)
[19:53:13]	Garry Willvar ran 'take' on item 'Loyalist Grade Food Product (Onion Flavor)' (#25011)
[19:53:13]	Garry Willvar ran 'take' on item 'Flavored Consulate Water' (#25013)
[19:53:13]	Garry Willvar ran 'take' on item 'Sparkling Consulate Water' (#25044)
[19:53:13]	Garry Willvar ran 'take' on item 'Consulate Water' (#25045)
[19:53:13]	Garry Willvar ran 'take' on item 'Consulate Water' (#25046)
[19:53:13]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Onion Flavor)' (#25057)
[19:53:13]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Garlic Flavor)' (#24908)
[19:53:13]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Lemon Flavor)' (#24913)
[19:53:13]	Garry Willvar ran 'take' on item 'Small Cooking Pot' (#24971)
[19:53:13]	Garry Willvar ran 'take' on item 'Standard Grade Food Product (Mushroom Flavor)' (#25000)
[19:53:13]	Garry Willvar ran 'take' on item 'Standard Grade Supplements (Lettuce Flavor)' (#25001)
[19:53:13]	Garry Willvar ran 'take' on item 'Loyalist Grade Food Product (Cheese Flavor)' (#25003)
[19:53:13]	Garry Willvar ran 'take' on item 'Loyalist Grade Food Product (Onion Flavor)' (#25011)
[19:53:13]	Garry Willvar ran 'take' on item 'Flavored Consulate Water' (#25013)
[19:53:13]	Garry Willvar ran 'take' on item 'Sparkling Consulate Water' (#25044)
[19:53:13]	Garry Willvar ran 'take' on item 'Consulate Water' (#25045)
[19:53:13]	Garry Willvar ran 'take' on item 'Consulate Water' (#25046)
[19:53:13]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Onion Flavor)' (#25057)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Garlic Flavor)' (#24908)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Lemon Flavor)' (#24913)
[19:53:14]	Garry Willvar ran 'take' on item 'Small Cooking Pot' (#24971)
[19:53:14]	Garry Willvar ran 'take' on item 'Standard Grade Food Product (Mushroom Flavor)' (#25000)
[19:53:14]	Garry Willvar ran 'take' on item 'Standard Grade Supplements (Lettuce Flavor)' (#25001)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Food Product (Cheese Flavor)' (#25003)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Food Product (Onion Flavor)' (#25011)
[19:53:14]	Garry Willvar ran 'take' on item 'Flavored Consulate Water' (#25013)
[19:53:14]	Garry Willvar ran 'take' on item 'Sparkling Consulate Water' (#25044)
[19:53:14]	Garry Willvar ran 'take' on item 'Consulate Water' (#25045)
[19:53:14]	Garry Willvar ran 'take' on item 'Consulate Water' (#25046)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Onion Flavor)' (#25057)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Garlic Flavor)' (#24908)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Lemon Flavor)' (#24913)
[19:53:14]	Garry Willvar ran 'take' on item 'Small Cooking Pot' (#24971)
[19:53:14]	Garry Willvar ran 'take' on item 'Standard Grade Food Product (Mushroom Flavor)' (#25000)
[19:53:14]	Garry Willvar ran 'take' on item 'Standard Grade Supplements (Lettuce Flavor)' (#25001)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Food Product (Cheese Flavor)' (#25003)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Food Product (Onion Flavor)' (#25011)
[19:53:14]	Garry Willvar ran 'take' on item 'Flavored Consulate Water' (#25013)
[19:53:14]	Garry Willvar ran 'take' on item 'Sparkling Consulate Water' (#25044)
[19:53:14]	Garry Willvar ran 'take' on item 'Consulate Water' (#25045)
[19:53:14]	Garry Willvar ran 'take' on item 'Consulate Water' (#25046)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Onion Flavor)' (#25057)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Garlic Flavor)' (#24908)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Lemon Flavor)' (#24913)
[19:53:14]	Garry Willvar ran 'take' on item 'Small Cooking Pot' (#24971)
[19:53:14]	Garry Willvar ran 'take' on item 'Standard Grade Food Product (Mushroom Flavor)' (#25000)
[19:53:14]	Garry Willvar ran 'take' on item 'Standard Grade Supplements (Lettuce Flavor)' (#25001)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Food Product (Cheese Flavor)' (#25003)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Food Product (Onion Flavor)' (#25011)
[19:53:14]	Garry Willvar ran 'take' on item 'Flavored Consulate Water' (#25013)
[19:53:14]	Garry Willvar ran 'take' on item 'Sparkling Consulate Water' (#25044)
[19:53:14]	Garry Willvar ran 'take' on item 'Consulate Water' (#25045)
[19:53:14]	Garry Willvar ran 'take' on item 'Consulate Water' (#25046)
[19:53:14]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Onion Flavor)' (#25057)
[19:53:22]	Garry Willvar ran 'drop' on item 'Citizen Filter' (#24864)
[19:53:22]	Garry Willvar has lost a 'Citizen Filter' #24864.
[19:53:23]	Garry Willvar ran 'drop' on item 'Citizen Filter' (#24830)
[19:53:23]	Garry Willvar has lost a 'Citizen Filter' #24830.
[19:53:24]	Garry Willvar ran 'drop' on item 'Citizen Filter' (#24697)
[19:53:24]	Garry Willvar has lost a 'Citizen Filter' #24697.
[19:53:24]	Garry Willvar ran 'drop' on item 'Consulate Water' (#23658)
[19:53:24]	Garry Willvar has lost a 'Consulate Water' #23658.
[19:53:25]	Garry Willvar ran 'drop' on item 'Consulate Water' (#23657)
[19:53:25]	Garry Willvar has lost a 'Consulate Water' #23657.
[19:53:26]	Garry Willvar ran 'drop' on item 'Citizen Filter' (#24699)
[19:53:26]	Garry Willvar has lost a 'Citizen Filter' #24699.
[19:53:26]	Garry Willvar ran 'drop' on item 'Flashlight' (#23917)
[19:53:26]	Garry Willvar has lost a 'Flashlight' #23917.
[19:53:27]	Garry Willvar ran 'drop' on item 'Empty Tin Can' (#26821)
[19:53:27]	Garry Willvar has lost a 'Empty Tin Can' #26821.
[19:53:28]	Garry Willvar ran 'drop' on item 'Universal Soda' (#23650)
[19:53:28]	Garry Willvar has lost a 'Universal Soda' #23650.
[19:53:29]	Garry Willvar ran 'drop' on item 'Citizen Filter' (#28176)
[19:53:29]	Garry Willvar has lost a 'Citizen Filter' #28176.
[19:53:30]	Garry Willvar ran 'drop' on item 'Crowbar' (#23643)
[19:53:30]	Garry Willvar has lost a 'Crowbar' #23643.
[19:53:30]	Garry Willvar ran 'drop' on item 'Sparkling Consulate Water' (#23655)
[19:53:30]	Garry Willvar has lost a 'Sparkling Consulate Water' #23655.
[19:53:31]	[OOC] CCA.C17-GRID.i3.08313: oh shit, hey, welcome
[19:53:31]	Garry Willvar ran 'drop' on item 'Consulate Water' (#23656)
[19:53:31]	Garry Willvar has lost a 'Consulate Water' #23656.
[19:53:32]	CCA.C17-GRID.i3.08313 entered observer.
[19:53:39]	[OOC] CCA.C17-GRID.i3.08313: what's up
[19:53:55]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[19:54:04]	[OOC] Garry Willvar: can i get a ration pls
[19:54:13]	[OOC] CCA.C17-GRID.i3.08313: i can run a cycle yeah
[19:54:16]	CCA.C17-GRID.i3.08313 exited observer at their location.
[19:54:17]	[OOC] Garry Willvar: thx\
[19:54:20]	CCA.C17-GRID.i3.08313 entered observer.
[19:54:22]	[OOC] CCA.C17-GRID.i3.08313: npnp
[19:54:22]	CCA.C17-GRID.i3.08313 exited observer at their location.
[19:54:29]	CCA.C17-GRID.i3.08313 entered observer.
[19:54:30]	CCA.C17-GRID.i3.08313 exited observer at their location.
[19:54:47]	CCA.C17-GRID.i3.08313 entered observer.
[19:54:47]	CCA.C17-GRID.i3.08313 exited observer at their location.
[19:54:48]	CCA.C17-GRID.i3.08313 entered observer.
[19:54:49]	[OOC] Garry Willvar: do u like rations, matt
[19:54:52]	CCA.C17-GRID.i3.08313 exited observer at their location.
[19:55:11]	[OOC] CCA.C17-GRID.i3.08313: only when they're water flavored, pill936874
[19:55:18]	Garry Willvar used command '/Apply'.
[19:55:44]	[ME] CCA.C17-GRID.i3.08313: would unclip his PDA from his utility belt and type a few things on it. He reads over the screen intently.
[19:56:15]	[ME] CCA.C17-GRID.i3.08313: would lower his PDA and step back to the terminal behind him.
[19:56:25]	[ME] CCA.C17-GRID.i3.08313: places his PDA on the terminal and presses a button on it.
[19:56:26]	CCA.C17-GRID.i3.08313 used the 'Ration Dispenser' vendor.
[19:56:28]	CCA.C17-GRID.i3.08313 has gained 0 tokens.
[19:56:28]	CCA.C17-GRID.i3.08313 has gained a 'Standard Grade Ration' #28199.
[19:56:39]	Chicken has connected.
[19:56:47]	[ME] CCA.C17-GRID.i3.08313: would move back over to the citizen and place a single standard grade ration on th ecounter.
[19:56:52]	CCA.C17-GRID.i3.08313 ran 'drop' on item 'Standard Grade Ration' (#28199)
[19:56:52]	CCA.C17-GRID.i3.08313 has lost a 'Standard Grade Ration' #28199.
[19:56:56]	[LOOC] CCA.C17-GRID.i3.08313: shit
[19:56:59]	Garry Willvar ran 'take' on item 'Standard Grade Ration' (#28199)
[19:56:59]	Garry Willvar has gained a 'Standard Grade Ration' #28199.
[19:57:18]	CCA.C17-GRID.i3.08313 entered observer.
[19:57:19]	CCA.C17-GRID.i3.08313 exited observer at their location.
[19:57:24]	CCA.C17-GRID.i3.08313 entered observer.
[19:57:45]	CCA.C17-GRID.i3.08313 exited observer at their location.
[19:58:11]	[OOC] CCA.C17-GRID.i3.08313: it be chocolate chip ice cream time in 30 minutes
[19:58:17]	[OOC] Garry Willvar: ok matt satan
[19:58:23]	Chicken loaded the character 'CCA.C17-RCT.03672'
[19:58:26]	[OOC] CCA.C17-RCT.03672: hey Q
[19:58:28]	[OOC] CCA.C17-RCT.03672: best pal
[19:58:31]	[OOC] CCA.C17-RCT.03672: in the world
[19:58:32]	[OOC] CCA.C17-GRID.i3.08313: sup shitten
[19:58:35]	[OOC] CCA.C17-GRID.i3.08313: oh god damnit
[19:58:37]	[OOC] CCA.C17-RCT.03672: trai-
[19:58:39]	[OOC] CCA.C17-RCT.03672: train me?
[19:58:55]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[19:59:04]	[OOC] CCA.C17-RCT.03672: reminder disable goofy ah sound effects addon
[19:59:06]	[OOC] CCA.C17-GRID.i3.08313: oh hey something just came up my dog just threw my grandma down the stairs i gotta go drive her to the movie theater
[19:59:06]	Garry Willvar ran 'drop' on item 'Standard Grade Ration' (#28199)
[19:59:06]	Garry Willvar has lost a 'Standard Grade Ration' #28199.
[19:59:08]	pill936874 (STEAM_0:0:419613166) has disconnected.
[19:59:11]	[OOC] CCA.C17-RCT.03672: mf
[19:59:36]	[OOC] CCA.C17-RCT.03672: THIS IS YOUR MY ACHIEVMENT NOT YOUTS
[19:59:39]	[OOC] CCA.C17-GRID.i3.08313: fine but i'm not on the clock
[19:59:43]	[OOC] CCA.C17-GRID.i3.08313: so i better get backpay for it
[19:59:56]	[OOC] CCA.C17-GRID.i3.08313: also are you getting these storms chicken of Mr Chicken
[19:59:58]	[OOC] CCA.C17-RCT.03672: ill give you dvl on some shitty server i make
[20:00:02]	CCA.C17-GRID.i3.08313 entered observer.
[20:00:13]	[OOC] CCA.C17-RCT.03672: what did you just say?
[20:00:14]	[OOC] CCA.C17-GRID.i3.08313: no, that's fucking ridiculous
[20:00:20]	[OOC] CCA.C17-GRID.i3.08313: i want GRID SeC
[20:00:27]	[OOC] CCA.C17-RCT.03672: never gonna happen
[20:00:27]	CCA.C17-GRID.i3.08313 exited observer at their location.
[20:00:28]	[OOC] CCA.C17-GRID.i3.08313: nononono
[20:00:29]	CCA.C17-GRID.i3.08313 entered observer.
[20:00:29]	CCA.C17-GRID.i3.08313 exited observer at their location.
[20:00:30]	[OOC] CCA.C17-RCT.03672: cca hates grid
[20:00:37]	[OOC] CCA.C17-GRID.i3.08313: i want KING i4
[20:00:39]	CCA.C17-GRID.i3.08313 entered observer.
[20:00:55]	[OOC] CCA.C17-RCT.03672: bro?
[20:01:24]	[OOC] CCA.C17-RCT.03672: chief made me play on this shitty halo rp and now my footsteps are loud metal and i cant find the addon
[20:02:47]	[OOC] CCA.C17-GRID.i3.08313: okay 'im back
[20:02:50]	Pandura has connected.
[20:02:58]	matt saton loaded the character 'CCA.C08-GRID.OfC.01993'
[20:03:23]	CCA.C17-RCT.03672 has gained 10 tokens.
[20:03:29]	CCA.C17-RCT.03672 ran 'View' on item 'Notepad' (#764)
[20:03:32]	CCA.C08-GRID.OfC.01993 entered observer.
[20:03:56]	[LOOC] CCA.C17-RCT.03672: invisible?
[20:04:06]	Jenna Conna has gained a 'Cyclopic Citizen Suit' #28200.
[20:04:06]	Jenna Conna has gained a 'Citizen Filter' #28201.
[20:04:06]	Pandura created the character 'Jenna Conna'
[20:04:06]	Jenna Conna has gained a 'Suitcase' #28202.
[20:04:06]	Jenna Conna has gained a 'Relocation Coupon' #28203.
[20:04:07]	Pandura loaded the character 'Jenna Conna'
[20:04:12]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[20:04:16]	Chicken (STEAM_0:0:143523274) has disconnected (timed out).
[20:12:14]	matt saton has connected.
[20:13:52]	Painevan has connected.
[20:16:10]	matt saton loaded the character 'CCA.C17-GRID.EpU.06912'
[20:16:20]	Painevan loaded the character 'Otto Von Habsburg'
[20:16:20]	CCA.C17-GRID.EpU.06912 entered observer.
[20:16:25]	[OOC] CCA.C17-GRID.EpU.06912: ohshit is that painevan
[20:16:48]	[OOC] Otto Von Habsburg: i have committed many errors
[20:16:54]	[OOC] Otto Von Habsburg:  I will download content
[20:16:56]	Painevan (STEAM_0:0:68118061) has disconnected.
[20:16:59]	[OOC] CCA.C17-GRID.EpU.06912: is that painevan of painevan gaming
[20:19:34]	Chicken has connected.
[20:30:04]	Chicken has connected.
[20:30:44]	Chicken loaded the character 'CCA.C17-RCT.03672'
[20:34:32]	matt saton has connected.
[20:35:44]	CCA.C17-RCT.03672 has gained 10 tokens.
[20:36:15]	matt saton loaded the character 'CCA.C17-GRID.i3.08313'
[20:36:26]	[OOC] CCA.C17-GRID.i3.08313: sup
[20:36:26]	CCA.C17-GRID.i3.08313 entered observer.
[20:36:27]	CCA.C17-GRID.i3.08313 exited observer at their location.
[20:36:27]	CCA.C17-GRID.i3.08313 entered observer.
[20:36:28]	CCA.C17-GRID.i3.08313 exited observer at their location.
[20:40:06]	CCA.C17-GRID.i3.08313 entered observer.
[20:40:24]	matt saton loaded the character 'CCA.C08-GRID.OfC.01993'
[20:40:44]	CCA.C17-RCT.03672 has gained 10 tokens.
[20:41:24]	CCA.C08-GRID.OfC.01993 entered observer.
[20:41:35]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[20:41:39]	CCA.C08-GRID.OfC.01993 entered observer.
[20:41:45]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[20:42:02]	CCA.C08-GRID.OfC.01993 entered observer.
[20:42:03]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[20:42:36]	CCA.C08-GRID.OfC.01993 entered observer.
[20:42:43]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[20:42:46]	[OOC] CCA.C08-GRID.OfC.01993: let me trying somethging
[20:42:53]	[OOC] CCA.C17-RCT.03672: go for it
[20:43:06]	[OOC] CCA.C17-RCT.03672: you know speaking of uh commands and such
[20:43:17]	[OOC] CCA.C17-RCT.03672: aspect made a whole new admin commands addon
[20:43:20]	[OOC] CCA.C17-RCT.03672: pretty cool
[20:43:24]	[OOC] CCA.C08-GRID.OfC.01993: oh yeah
[20:43:26]	[LOOC] CCA.C08-GRID.OfC.01993: does my neck look weird
[20:43:27]	[OOC] CCA.C17-RCT.03672: bro
[20:43:30]	[OOC] CCA.C17-RCT.03672: uh
[20:43:36]	[OOC] CCA.C17-RCT.03672: do you need a doctor
[20:43:42]	[LOOC] CCA.C08-GRID.OfC.01993: okay so yes my head is fucked up
[20:43:51]	[OOC] CCA.C17-RCT.03672: check dms
[20:43:53]	[LOOC] CCA.C08-GRID.OfC.01993: good
[20:44:15]	[LOOC] CCA.C17-RCT.03672: homie slept wrong last night
[20:45:24]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[20:45:44]	CCA.C17-RCT.03672 has gained 10 tokens.
[20:46:19]	[LOOC] CCA.C08-GRID.OfC.01993: checkm eo ut
[20:46:27]	[LOOC] CCA.C17-RCT.03672: bro you gained 40 pounds
[20:46:33]	[LOOC] CCA.C08-GRID.OfC.01993: are my shoulders broad
[20:46:37]	[LOOC] CCA.C17-RCT.03672: yes
[20:46:41]	[LOOC] CCA.C08-GRID.OfC.01993: does it look good
[20:46:42]	[LOOC] CCA.C17-RCT.03672: but in a fat way
[20:46:46]	[LOOC] CCA.C17-RCT.03672: you look tubby
[20:46:48]	[LOOC] CCA.C08-GRID.OfC.01993: fuck
[20:48:10]	CCA.C08-GRID.OfC.01993 used command '/ToggleRaise'.
[20:48:18]	CCA.C08-GRID.OfC.01993 used command '/ToggleRaise'.
[20:48:20]	CCA.C08-GRID.OfC.01993 used command '/ToggleRaise'.
[20:48:44]	[LOOC] CCA.C17-RCT.03672: god you are thicc
[20:48:45]	[LOOC] CCA.C08-GRID.OfC.01993: fuck
[20:50:08]	CCA.C08-GRID.OfC.01993 used command '/ToggleRaise'.
[20:50:09]	CCA.C08-GRID.OfC.01993 used command '/ToggleRaise'.
[20:50:24]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[20:50:44]	CCA.C17-RCT.03672 has gained 10 tokens.
[20:52:43]	[LOOC] CCA.C17-RCT.03672: bro im gonna hold your books above you
[20:52:48]	[LOOC] CCA.C17-RCT.03672: goofy ah
[20:53:03]	CCA.C08-GRID.OfC.01993 used command '/ToggleRaise'.
[20:53:19]	[LOOC] CCA.C17-RCT.03672: you need a stepping stool
[20:54:14]	[LOOC] CCA.C17-RCT.03672: god
[20:54:42]	[LOOC] CCA.C17-RCT.03672: would the combine kill little people?
[20:54:52]	[LOOC] CCA.C17-RCT.03672: probably tbh
[20:55:24]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[20:55:44]	CCA.C17-RCT.03672 has gained 10 tokens.
[20:56:27]	CCA.C08-GRID.OfC.01993 used command '/ToggleRaise'.
[20:56:34]	CCA.C08-GRID.OfC.01993 used command '/ToggleRaise'.
[20:56:45]	CCA.C17-RCT.03672 has taken 48 damage from CCA.C08-GRID.OfC.01993.
[20:56:52]	CCA.C08-GRID.OfC.01993 used command '/ToggleRaise'.
[20:56:54]	CCA.C08-GRID.OfC.01993 used command '/ToggleRaise'.
[20:57:14]	CCA.C08-GRID.OfC.01993 entered observer.
[20:57:14]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[20:57:15]	CCA.C08-GRID.OfC.01993 entered observer.
[20:57:16]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[20:57:49]	[LOOC] CCA.C17-RCT.03672: rat
[20:58:03]	[LOOC] CCA.C17-RCT.03672: my bully in school
[20:58:45]	[LOOC] CCA.C17-RCT.03672: just use pac to scale
[20:58:47]	[LOOC] CCA.C17-RCT.03672: L
[21:00:24]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[21:00:44]	CCA.C17-RCT.03672 has gained 10 tokens.
[21:05:24]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[21:05:38]	[ME] CCA.C08-GRID.OfC.01993: would pull out his PDA and read over it, scrolling through a schedule.
[21:05:44]	CCA.C17-RCT.03672 has gained 10 tokens.
[21:05:55]	[LOOC] CCA.C17-RCT.03672: "Damn sorry i got a dentist appointment"
[21:06:06]	[LOOC] CCA.C08-GRID.OfC.01993: JW gets called
[21:07:28]	[LOOC] CCA.C08-GRID.OfC.01993: anyways
[21:10:24]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[21:10:44]	CCA.C17-RCT.03672 has gained 10 tokens.
[21:11:41]	[IT] CCA.C08-GRID.OfC.01993: Go ahead!
[21:13:34]	CCA.C08-GRID.OfC.01993 has gained a 'Handheld Radio' #28204.
[21:13:34]	CCA.C08-GRID.OfC.01993 used command '/CharGiveItem ofc handheld'.
[21:14:56]	[ME] CCA.C08-GRID.OfC.01993: would hand the recruit a radio.
[21:15:01]	CCA.C08-GRID.OfC.01993 ran 'drop' on item 'Handheld Radio' (#20930)
[21:15:01]	CCA.C08-GRID.OfC.01993 has lost a 'Handheld Radio' #20930.
[21:15:03]	[LOOC] CCA.C17-RCT.03672: I already  have one
[21:15:05]	[LOOC] CCA.C17-RCT.03672: troll
[21:15:08]	[LOOC] CCA.C08-GRID.OfC.01993: fucker
[21:15:09]	CCA.C08-GRID.OfC.01993 ran 'take' on item 'Handheld Radio' (#20930)
[21:15:09]	CCA.C08-GRID.OfC.01993 has gained a 'Handheld Radio' #20930.
[21:15:14]	[LOOC] CCA.C17-RCT.03672: i spawned with evertything
[21:15:19]	[LOOC] CCA.C17-RCT.03672: including gun
[21:15:24]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[21:15:29]	[LOOC] CCA.C17-RCT.03672: I dont have a stunstick though
[21:15:32]	CCA.C17-RCT.03672 ran 'Frequency' on item 'Handheld Radio' (#28073)
[21:15:44]	CCA.C17-RCT.03672 has gained 10 tokens.
[21:16:03]	[LOOC] CCA.C08-GRID.OfC.01993: anyways
[21:16:16]	[LOOC] CCA.C08-GRID.OfC.01993: /viewobjectives
[21:16:22]	CCA.C17-RCT.03672 used command '/ViewObjectives'.
[21:20:25]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[21:20:45]	CCA.C17-RCT.03672 has gained 10 tokens.
[21:21:27]	Custodian Guard has connected.
[21:25:01]	Custodian Guard (STEAM_0:0:198636477) has disconnected.
[21:25:25]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[21:25:45]	CCA.C17-RCT.03672 has gained 10 tokens.
[21:30:25]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[21:30:45]	CCA.C17-RCT.03672 has gained 10 tokens.
[21:35:25]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[21:35:45]	CCA.C17-RCT.03672 has gained 10 tokens.
[21:40:45]	CCA.C17-RCT.03672 has gained 10 tokens.
[21:45:45]	CCA.C17-RCT.03672 has gained 10 tokens.
[21:46:38]	[LOOC] CCA.C17-RCT.03672: void
[21:48:26]	[LOOC] CCA.C08-GRID.OfC.01993: this is what is done in HL2
[21:49:51]	[ME] CCA.C17-RCT.03672: would nod his head
[21:49:53]	CCA.C08-GRID.OfC.01993 used command '/CharSetName rct CCA.C17-UNION.i5.03672'.
[21:50:03]	[OOC] CCA.C08-GRID.OfC.01993: brain dying mental health bad
[21:50:06]	matt saton (STEAM_0:1:53097688) has disconnected.
[21:50:07]	[OOC] CCA.C17-UNION.i5.03672: damn
[21:50:09]	Chicken (STEAM_0:0:143523274) has disconnected.
