[10:11:19]	LynxQueen has connected.
[10:20:42]	Chloe Cullen opened the '' #983 container.
[10:20:48]	Chloe Cullen closed the '' #983 container.
[10:21:03]	Chloe Cullen entered observer.
[10:21:44]	Chloe Cullen exited observer at their location.
[10:21:45]	Chloe Cullen entered observer.
[10:21:47]	Chloe Cullen exited observer at their location.
[10:21:48]	Chloe Cullen used the 'Cigarette Dispenser' vendor.
[10:21:51]	Chloe Cullen entered observer.
[10:21:56]	Chloe Cullen exited observer at their location.
[10:21:57]	Chloe Cullen used the 'Cigarette Dispenser' vendor.
[10:22:04]	Chloe Cullen ran 'take' on item 'Suitcase' (#19686)
[10:22:10]	Chloe Cullen ran 'take' on item 'Suitcase' (#19686)
[10:22:10]	Chloe Cullen has gained a 'Suitcase' #19686.
[10:22:26]	Chloe Cullen opened the '' #1233 container.
[10:22:28]	Chloe Cullen closed the '' #1233 container.
[10:22:29]	Chloe Cullen entered observer.
[10:22:36]	Chloe Cullen exited observer at their location.
[10:22:37]	Chloe Cullen opened the '' #1341 container.
[10:22:38]	Chloe Cullen closed the '' #1341 container.
[10:22:40]	Chloe Cullen used the 'Resin Terminal' vendor.
[10:22:41]	Chloe Cullen has gained 2 tokens.
[10:22:42]	Chloe Cullen has gained 2 tokens.
[10:22:42]	Chloe Cullen has gained 2 tokens.
[10:22:43]	Chloe Cullen has gained 2 tokens.
[10:22:43]	Chloe Cullen has gained 2 tokens.
[10:22:44]	Chloe Cullen has gained 2 tokens.
[10:22:44]	Chloe Cullen has gained 2 tokens.
[10:22:57]	Chloe Cullen entered observer.
[10:22:58]	Chloe Cullen exited observer at their location.
[10:23:30]	Chloe Cullen opened the '' #1197 container.
[10:23:31]	Chloe Cullen closed the '' #1197 container.
[10:24:19]	Chloe Cullen used command '/CharAddAttribute Chloe Main 100'.
[10:24:28]	Chloe Cullen used command '/CharAddAttribute Chloe Fabr 100'.
[10:24:33]	Chloe Cullen used command '/CharAddAttribute Chloe Engin 100'.
[10:25:19]	DRD has connected.
[10:26:12]	Chloe Cullen used command '/ViewData Chloe'.
[10:26:43]	Chloe Cullen used command '/CharGiveFlag Chloe Vort'.
[10:26:53]	Chloe Cullen used command '/CharGiveFlag Chloe Vortigaunt'.
[10:27:12]	Chloe Cullen used command '/PlyWhitelist Chloe'.
[10:27:15]	Chloe Cullen used command '/PlyWhitelist Chloe Vortigaunt'.
[10:27:21]	Chloe Cullen used command '/PlyWhitelist Chloe Consc'.
[10:28:30]	LynxQueen created the character 'Kal'Taar'
[10:28:35]	LynxQueen loaded the character 'Kal'Taar'
[10:28:43]	Kal'Taar entered observer.
[10:28:51]	Kal'Taar used command '/PlyWhitelist Kal biot'.
[10:29:07]	Kal'Taar exited observer at their location.
[10:29:07]	Kal'Taar has taken 1 damage from worldspawn.
[10:29:07]	Kal'Taar has taken 1 damage from worldspawn.
[10:29:08]	Kal'Taar has taken 1 damage from worldspawn.
[10:29:08]	Kal'Taar entered observer.
[10:29:41]	DRD (STEAM_0:0:193599766) has disconnected.
[10:30:11]	Kal'Taar exited observer at their location.
[10:30:48]	Kal'Taar entered observer.
[10:30:52]	Kal'Taar exited observer at their location.
[10:30:53]	Kal'Taar entered observer.
[10:30:53]	Kal'Taar exited observer at their location.
[10:30:57]	Kal'Taar entered observer.
[10:31:00]	Kal'Taar exited observer at their location.
[10:31:10]	LynxQueen loaded the character 'Chloe Cullen'
[10:31:47]	Chloe Cullen entered observer.
[10:31:54]	Chloe Cullen exited observer at their location.
[10:31:58]	DRD has connected.
[10:32:14]	Chloe Cullen entered observer.
[10:32:20]	Chloe Cullen exited observer at their location.
[10:32:21]	Chloe Cullen opened the '' #1340 container.
[10:32:24]	Chloe Cullen closed the '' #1340 container.
[10:32:42]	Chloe Cullen ran 'View' on item 'UU Brand Cigarette Pack' (#20159)
[10:32:58]	Chloe Cullen ran 'EquipUn' on item 'Respirator' (#20156)
[10:33:01]	Chloe Cullen ran 'Take' on item 'UU Brand Cigarette Pack' (#20159)
[10:33:01]	Chloe Cullen has gained a 'UU Brand Cigarette' #20265.
[10:33:02]	Chloe Cullen ran 'Take' on item 'UU Brand Cigarette Pack' (#20159)
[10:33:02]	Chloe Cullen has gained a 'UU Brand Cigarette' #20266.
[10:33:03]	Chloe Cullen ran 'Take' on item 'UU Brand Cigarette Pack' (#20159)
[10:33:03]	Chloe Cullen has gained a 'UU Brand Cigarette' #20267.
[10:33:04]	Chloe Cullen ran 'Take' on item 'UU Brand Cigarette Pack' (#20159)
[10:33:04]	Chloe Cullen has gained a 'UU Brand Cigarette' #20268.
[10:33:04]	Chloe Cullen ran 'Take' on item 'UU Brand Cigarette Pack' (#20159)
[10:33:04]	Chloe Cullen has gained a 'UU Brand Cigarette' #20269.
[10:33:05]	Chloe Cullen ran 'Take' on item 'UU Brand Cigarette Pack' (#20159)
[10:33:05]	Chloe Cullen has gained a 'UU Brand Cigarette' #20270.
[10:33:06]	Chloe Cullen ran 'Take' on item 'UU Brand Cigarette Pack' (#20159)
[10:33:06]	Chloe Cullen has gained a 'UU Brand Cigarette' #20271.
[10:33:06]	Chloe Cullen ran 'Take' on item 'UU Brand Cigarette Pack' (#20159)
[10:33:06]	Chloe Cullen has gained a 'UU Brand Cigarette' #20272.
[10:33:08]	Chloe Cullen ran 'Take' on item 'UU Brand Cigarette Pack' (#20159)
[10:33:11]	Chloe Cullen has taken 1 damage from worldspawn.
[10:33:12]	Chloe Cullen has taken 1 damage from worldspawn.
[10:33:13]	Chloe Cullen has taken 1 damage from worldspawn.
[10:33:14]	Chloe Cullen has taken 1 damage from worldspawn.
[10:33:14]	Chloe Cullen has taken 1 damage from worldspawn.
[10:33:15]	Chloe Cullen has taken 1 damage from worldspawn.
[10:33:15]	Chloe Cullen ran 'Equip' on item 'Respirator' (#20156)
[10:33:21]	Chloe Cullen has spawned a 'Entity [2900][ix_testent9]'.
[10:33:26]	Chloe Cullen has spawned a 'Entity [2900][ix_airvent]'.
[10:33:46]	Chloe Cullen has spawned a 'Entity [2900][ix_airvent]'.
[10:34:46]	Chloe Cullen has spawned a 'Entity [2900][ix_testent6]'.
[10:34:57]	DRD used command '/PlyWhitelist drd civil'.
[10:35:09]	DRD used command '/PlyWhitelist drd transhuman'.
[10:35:16]	DRD used command '/PlyWhitelist drd arm'.
[10:35:22]	DRD used command '/PlyWhitelist drd administrator'.
[10:35:28]	DRD loaded the character 'CCA.C08-GRID.i1.23710'
[10:35:43]	[OOC] CCA.C08-GRID.i1.23710: there we go
[10:35:44]	CCA.C08-GRID.i1.23710 entered observer.
[10:36:01]	Chloe Cullen used command '/PlyWhitelist Chloe Admin'.
[10:36:12]	CCA.C08-GRID.i1.23710 used command '/PlyUnwhitelist chloe admin'.
[10:36:20]	Chloe Cullen used command '/PlyWhitelist Chloe Admin'.
[10:36:26]	CCA.C08-GRID.i1.23710 used command '/PlyUnwhitelist chloe admin'.
[10:36:32]	Chloe Cullen used command '/PlyWhitelist Chloe Admin'.
[10:36:35]	Chloe Cullen opened the '' #1877 container.
[10:36:37]	Chloe Cullen closed the '' #1877 container.
[10:36:43]	CCA.C08-GRID.i1.23710 used command '/PlyUnwhitelist chloe admin'.
[10:38:13]	Chloe Cullen has removed container 2034 name.
[10:38:18]	Chloe Cullen has removed container 1079 name.
[10:38:23]	Chloe Cullen has removed container 2036 name.
[10:38:26]	CCA.C08-GRID.i1.23710 used command '/ViewData chloe'.
[10:38:28]	Chloe Cullen has removed container 2037 name.
[10:38:31]	Chloe Cullen has removed container 2035 name.
[10:38:36]	Chloe Cullen has removed container 1041 name.
[10:38:43]	Chloe Cullen has removed container 2038 name.
[10:39:03]	Chloe Cullen entered observer.
[10:39:07]	Chloe Cullen exited observer at their location.
[10:39:07]	Chloe Cullen entered observer.
[10:39:09]	Chloe Cullen exited observer at their location.
[10:39:55]	CCA.C08-GRID.i1.23710 has spawned a 'Entity [1275][ix_combinelock]'.
[10:40:00]	LynxQueen loaded the character 'Merissa Myers'
[10:40:14]	Merissa Myers opened the '' #1625 container.
[10:40:16]	Merissa Myers closed the '' #1625 container.
[10:40:25]	Merissa Myers has removed the password for ''.
[10:40:28]	Merissa Myers opened the '' #1621 container.
[10:40:28]	CCA.C08-GRID.i1.23710 ran 'View' on item 'Paper' (#20158)
[10:40:28]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[10:40:30]	Merissa Myers closed the '' #1621 container.
[10:40:33]	Merissa Myers entered observer.
[10:40:35]	Merissa Myers exited observer at their location.
[10:40:36]	Merissa Myers entered observer.
[10:40:38]	Merissa Myers exited observer at their location.
[10:40:43]	CCA.C08-GRID.i1.23710 has spawned 'models/Combine_Scanner.mdl'.
[10:40:45]	Merissa Myers opened the '' #1614 container.
[10:40:47]	Merissa Myers closed the '' #1614 container.
[10:41:13]	Merissa Myers has spawned a 'Entity [2900][ix_printer]'.
[10:41:31]	Merissa Myers opened the '' #1626 container.
[10:41:33]	Merissa Myers closed the '' #1626 container.
[10:42:07]	CCA.C08-GRID.i1.23710 has removed the password for 'Metal Cabinet'.
[10:42:14]	CCA.C08-GRID.i1.23710 has removed the password for 'Metal Cabinet'.
[10:42:17]	CCA.C08-GRID.i1.23710 has removed the password for 'Metal Cabinet'.
[10:42:34]	[OOC] CCA.C08-GRID.i1.23710: shut up consul
[10:43:37]	Merissa Myers opened the '' #1086 container.
[10:43:39]	Merissa Myers closed the '' #1086 container.
[10:43:58]	CCA.C08-GRID.i1.23710 ran 'View' on item 'Paper' (#20059)
[10:43:59]	Merissa Myers opened the '' #1058 container.
[10:44:01]	Merissa Myers closed the '' #1058 container.
[10:44:10]	Merissa Myers has taken 11 damage from worldspawn.
[10:44:36]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:44:37]	CCA.C08-GRID.i1.23710 entered observer.
[10:44:37]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:44:38]	CCA.C08-GRID.i1.23710 entered observer.
[10:44:38]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:44:40]	CCA.C08-GRID.i1.23710 entered observer.
[10:44:40]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:44:42]	CCA.C08-GRID.i1.23710 entered observer.
[10:44:47]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:44:47]	CCA.C08-GRID.i1.23710 entered observer.
[10:44:48]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:44:48]	CCA.C08-GRID.i1.23710 entered observer.
[10:44:49]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:44:49]	CCA.C08-GRID.i1.23710 entered observer.
[10:44:50]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:44:50]	CCA.C08-GRID.i1.23710 entered observer.
[10:44:53]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:44:54]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:44:59]	CCA.C08-GRID.i1.23710 has taken 1 damage from env_fire.
[10:45:04]	CCA.C08-GRID.i1.23710 has taken 1 damage from env_fire.
[10:45:07]	CCA.C08-GRID.i1.23710 entered observer.
[10:45:14]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:45:28]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[10:46:12]	Merissa Myers ran 'drop' on item 'Padlock' (#12923)
[10:46:12]	Merissa Myers has lost a 'Padlock' #12923.
[10:46:13]	Merissa Myers ran 'drop' on item 'Padlock' (#12924)
[10:46:13]	Merissa Myers has lost a 'Padlock' #12924.
[10:46:14]	Merissa Myers ran 'drop' on item 'Padlock' (#12920)
[10:46:14]	Merissa Myers has lost a 'Padlock' #12920.
[10:46:15]	Merissa Myers ran 'drop' on item 'Padlock' (#12922)
[10:46:15]	Merissa Myers has lost a 'Padlock' #12922.
[10:46:16]	Merissa Myers ran 'drop' on item 'Padlock' (#12916)
[10:46:16]	Merissa Myers has lost a 'Padlock' #12916.
[10:46:31]	Merissa Myers entered observer.
[10:46:38]	Merissa Myers exited observer at their location.
[10:46:58]	Merissa Myers entered observer.
[10:47:27]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:47:28]	CCA.C08-GRID.i1.23710 entered observer.
[10:47:34]	Merissa Myers exited observer at their location.
[10:47:34]	Merissa Myers entered observer.
[10:47:57]	Merissa Myers exited observer at their location.
[10:48:01]	Merissa Myers used command '/adminspawnmenu'.
[10:48:05]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:06]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:06]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:09]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:10]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:12]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:12]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:15]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:15]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:18]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:18]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:18]	CCA.C08-GRID.i1.23710 has taken 34 damage from worldspawn.
[10:48:19]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:21]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:22]	CCA.C08-GRID.i1.23710 has taken 20 damage from worldspawn.
[10:48:22]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:22]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:22]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:23]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:26]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:26]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:27]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:27]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:28]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:28]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:28]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:29]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:29]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:29]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:29]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:30]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:30]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:31]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:32]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:32]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:34]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:35]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:36]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:36]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:37]	Merissa Myers has spawned "Scrap Crossbow"
[10:48:38]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:38]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:39]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:39]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:48:39]	CCA.C08-GRID.i1.23710 entered observer.
[10:48:52]	Merissa Myers entered observer.
[10:49:12]	Merissa Myers exited observer at their location.
[10:49:16]	Merissa Myers used command '/adminspawnmenu'.
[10:49:50]	Merissa Myers has spawned "Bandage"
[10:49:51]	Merissa Myers has spawned "Bandage"
[10:50:12]	Merissa Myers entered observer.
[10:50:14]	Merissa Myers exited observer at their location.
[10:50:18]	Merissa Myers entered observer.
[10:50:21]	Merissa Myers exited observer at their location.
[10:50:22]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:50:22]	CCA.C08-GRID.i1.23710 entered observer.
[10:50:22]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:50:25]	CCA.C08-GRID.i1.23710 entered observer.
[10:50:29]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[10:50:57]	Merissa Myers used command '/adminspawnmenu'.
[10:51:30]	Merissa Myers has spawned "Grenade Body Die Cast"
[10:51:39]	Merissa Myers entered observer.
[10:51:53]	Merissa Myers exited observer at their location.
[10:51:56]	Merissa Myers entered observer.
[10:52:02]	Merissa Myers exited observer at their location.
[10:52:05]	Merissa Myers used command '/adminspawnmenu'.
[10:52:20]	Merissa Myers has spawned "Moonshine"
[10:52:21]	Merissa Myers has spawned "Moonshine"
[10:52:33]	Merissa Myers entered observer.
[10:52:33]	Merissa Myers exited observer at their location.
[10:52:35]	Merissa Myers entered observer.
[10:52:39]	Merissa Myers destroyed a 'Moonshine' #20278.
[10:53:17]	ix_item destroyed a 'Moonshine' #20277.
[10:54:18]	Merissa Myers exited observer at their location.
[10:54:22]	Merissa Myers used command '/adminspawnmenu'.
[10:54:25]	Merissa Myers has spawned "Rum"
[10:54:26]	Merissa Myers has spawned "Wine"
[10:54:27]	Merissa Myers has spawned "Vodka"
[10:54:27]	Merissa Myers has spawned "Whiskey"
[10:54:28]	Merissa Myers has spawned "Moonshine"
[10:54:28]	Merissa Myers has spawned "Beer"
[10:54:29]	Merissa Myers has spawned "Nuka-Cola Dark"
[10:54:30]	Merissa Myers has spawned "Bourbon"
[10:54:37]	Merissa Myers destroyed a 'Wine' #20278.
[10:54:37]	Merissa Myers destroyed a 'Vodka' #20279.
[10:54:45]	Merissa Myers entered observer.
[10:54:47]	Merissa Myers exited observer at their location.
[10:55:09]	Merissa Myers has spawned a 'Entity [2929][ammo_gaussclip]'.
[10:55:28]	Merissa Myers destroyed a 'Bourbon' #20284.
[10:55:53]	Merissa Myers entered observer.
[10:55:58]	Merissa Myers exited observer at their location.
[10:56:11]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:56:13]	Merissa Myers entered observer.
[10:56:15]	CCA.C08-GRID.i1.23710 destroyed a 'Whiskey' #20280.
[10:56:15]	CCA.C08-GRID.i1.23710 destroyed a 'Beer' #20282.
[10:56:15]	CCA.C08-GRID.i1.23710 destroyed a 'Nuka-Cola Dark' #20283.
[10:56:21]	ix_item destroyed a 'Rum' #20277.
[10:56:28]	Merissa Myers exited observer at their location.
[10:56:29]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:56:32]	ix_item destroyed a 'Moonshine' #20281.
[10:56:32]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:56:33]	Merissa Myers has taken 1 damage from Merissa Myers.
[10:56:37]	Merissa Myers entered observer.
[10:56:37]	Merissa Myers exited observer at their location.
[10:56:50]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:57:06]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:57:12]	Merissa Myers has taken 8 damage from obj_vj_flareround.
[10:57:12]	Merissa Myers has taken 500 damage from obj_vj_flareround.
[10:57:12]	obj_vj_flareround has killed Merissa Myers.
[10:57:16]	Merissa Myers entered observer.
[10:57:20]	Merissa Myers exited observer at their location.
[10:57:27]	Merissa Myers has taken 8 damage from obj_vj_flareround.
[10:57:27]	Merissa Myers has taken 500 damage from obj_vj_flareround.
[10:57:27]	obj_vj_flareround has killed Merissa Myers.
[10:57:30]	Merissa Myers entered observer.
[10:57:35]	Merissa Myers exited observer at their location.
[10:57:42]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:57:53]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:57:58]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:58:09]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:58:19]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:58:30]	[LOOC] CCA.C08-GRID.i1.23710: for deustchland?
[10:58:45]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[10:58:48]	[LOOC] CCA.C08-GRID.i1.23710: um
[10:58:54]	Merissa Myers has taken 110 damage from Merissa Myers.
[10:58:54]	Merissa Myers has killed Merissa Myers.
[10:58:54]	CCA.C08-GRID.i1.23710 has taken 72 damage from Merissa Myers.
[10:58:54]	Merissa Myers has killed CCA.C08-GRID.i1.23710 with tfa_rustalpha_stone_hatchet.
[10:58:55]	[LOOC] CCA.C08-GRID.i1.23710: i dont think im holding this right
[10:58:58]	Merissa Myers entered observer.
[10:59:02]	CCA.C08-GRID.i1.23710 entered observer.
[10:59:03]	CCA.C08-GRID.i1.23710 exited observer at their location.
[10:59:09]	Merissa Myers exited observer at their location.
[10:59:35]	Merissa Myers has spawned a 'NPC [2915][npc_citizen]'.
[10:59:45]	Merissa Myers has spawned a 'NPC [2915][npc_citizen]'.
[10:59:59]	Merissa Myers used command '/adminspawnmenu'.
[11:00:16]	Merissa Myers has spawned "Pipe Revolver"
[11:00:19]	Merissa Myers ran 'take' on item 'Pipe Revolver' (#20277)
[11:00:19]	Merissa Myers has gained a 'Pipe Revolver' #20277.
[11:00:20]	Merissa Myers ran 'Equip' on item 'Pipe Revolver' (#20277)
[11:00:58]	Merissa Myers entered observer.
[11:01:03]	Merissa Myers exited observer at their location.
[11:01:05]	CCA.C08-GRID.i1.23710 entered observer.
[11:01:05]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:01:13]	Merissa Myers ran 'EquipUn' on item 'Pipe Revolver' (#20277)
[11:01:14]	Merissa Myers ran 'drop' on item 'Pipe Revolver' (#20277)
[11:01:14]	Merissa Myers has lost a 'Pipe Revolver' #20277.
[11:01:18]	CCA.C08-GRID.i1.23710 ran 'take' on item 'Pipe Revolver' (#20277)
[11:01:18]	CCA.C08-GRID.i1.23710 has gained a 'Pipe Revolver' #20277.
[11:01:21]	CCA.C08-GRID.i1.23710 ran 'Equip' on item 'Pipe Revolver' (#20277)
[11:01:22]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:01:30]	[LOOC] CCA.C08-GRID.i1.23710: ITS SO BIG
[11:01:45]	[LOOC] Merissa Myers: try shooting 
[11:02:25]	[LOOC] CCA.C08-GRID.i1.23710: did i hit
[11:02:32]	Merissa Myers has taken 5 damage from CCA.C08-GRID.i1.23710.
[11:02:55]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:02:58]	Merissa Myers has taken 3 damage from CCA.C08-GRID.i1.23710.
[11:03:04]	[LOOC] CCA.C08-GRID.i1.23710: THE CROSSHAIR IS SO BIG
[11:03:08]	CCA.C08-GRID.i1.23710 has spawned a 'Weapon [2918][tfa_rustalpha_handcannon]'.
[11:03:12]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:03:20]	CCA.C08-GRID.i1.23710 has taken 2 damage from Merissa Myers.
[11:03:20]	CCA.C08-GRID.i1.23710 has taken 2 damage from Merissa Myers.
[11:03:20]	CCA.C08-GRID.i1.23710 has taken 2 damage from Merissa Myers.
[11:03:20]	Merissa Myers has taken 3 damage from CCA.C08-GRID.i1.23710.
[11:03:26]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:03:49]	[LOOC] Merissa Myers: whats the fuckin uhh ammo command
[11:04:39]	Merissa Myers has spawned a 'NPC [2922][npc_citizen]'.
[11:05:28]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:05:28]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
