[04:55:41]	The E has connected.
[11:23:19]	[OOC] John Zimmer: it's just the casings
[11:23:23]	John Zimmer opened the '' #1896 container.
[11:23:25]	John Zimmer closed the '' #1896 container.
[11:23:26]	[OOC] CCA.C14-UNION.i5.39867: then yeah no
[11:23:28]	John Zimmer opened the '' #1897 container.
[11:23:30]	John Zimmer closed the '' #1897 container.
[11:23:34]	[OOC] CCA.C14-UNION.i5.39867: epu fires an SMG everywhere
[11:23:44]	[OOC] CCA.C14-UNION.i5.39867: theres tons of bullet casings lying around, they're just useless trash
[11:23:47]	[OOC] John Zimmer: aight, well if a staff gets on imma be a contraband goblin
[11:23:59]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Custom Item' (#25845)
[11:23:59]	CCA.C14-UNION.i5.39867 has gained a 'Custom Item' #25845.
[11:24:10]	[OOC] CCA.C14-UNION.i5.39867: im reporting that to judge
[11:24:13]	[OOC] CCA.C14-UNION.i5.39867: icly
[11:24:15]	[OOC] John Zimmer: ew
[11:24:16]	[OOC] CCA.C14-UNION.i5.39867: the loyalist point
[11:24:19]	[OOC] CCA.C14-UNION.i5.39867: thing
[11:24:29]	[OOC] John Zimmer: that i got 10 for handing in a bunch of contra?
[11:24:34]	[OOC] CCA.C14-UNION.i5.39867: yes
[11:24:38]	[OOC] John Zimmer: why?
[11:24:41]	[OOC] CCA.C14-UNION.i5.39867: loyalist points are supposed to be hard to get
[11:24:47]	[OOC] CCA.C14-UNION.i5.39867: you're only supposed to get 2 points 
[11:24:52]	[OOC] CCA.C14-UNION.i5.39867: for handing in level 2 contraband
[11:24:52]	[OOC] John Zimmer: since when
[11:24:54]	[OOC] CCA.C14-UNION.i5.39867: even if it was more than one
[11:24:56]	[OOC] CCA.C14-UNION.i5.39867: since always
[11:24:58]	[OOC] John Zimmer: i know
[11:25:06]	[OOC] John Zimmer: but the limit is like 10-15 a day
[11:25:07]	[OOC] CCA.C14-UNION.i5.39867: he's not acting accordingly
[11:25:14]	[OOC] CCA.C14-UNION.i5.39867: 10-15 contraband?
[11:25:18]	[OOC] John Zimmer: points
[11:25:22]	[OOC] CCA.C14-UNION.i5.39867: where does it say that
[11:25:33]	[OOC] John Zimmer: i was told by some other units that it's something they're doing
[11:25:41]	[OOC] CCA.C14-UNION.i5.39867: i was never told this
[11:25:43]	[OOC] CCA.C14-UNION.i5.39867: and even then
[11:25:49]	[OOC] CCA.C14-UNION.i5.39867: you shouldn't be getting 10-15 points a day even
[11:25:52]	[OOC] John Zimmer: it wasn't announced i don't think
[11:25:54]	[OOC] CCA.C14-UNION.i5.39867: 3 at most
[11:26:04]	[OOC] CCA.C14-UNION.i5.39867: realistically
[11:26:06]	[OOC] CCA.C14-UNION.i5.39867: on average
[11:26:09]	[OOC] CCA.C14-UNION.i5.39867: if you're working your ass off
[11:26:14]	[OOC] CCA.C14-UNION.i5.39867: looking specifically for contraband is sus as fuck
[11:26:19]	[OOC] CCA.C14-UNION.i5.39867: you had a bottle on you when i found you last time
[11:26:20]	[OOC] John Zimmer: i handed in 4 pieces of level 2 contraband and 2 level ones
[11:26:28]	[OOC] CCA.C14-UNION.i5.39867: what did he give you 10 for
[11:26:35]	[OOC] CCA.C14-UNION.i5.39867: if he was going by 2 points each that would be 8
[11:26:41]	[OOC] CCA.C14-UNION.i5.39867: so the helix is retarded icly
[11:26:41]	[OOC] John Zimmer: 4 pieces of level 2 and 2 pieces of level 1
[11:26:47]	[OOC] CCA.C14-UNION.i5.39867: thats not even 10 wtf
[11:26:51]	[OOC] John Zimmer: boi
[11:26:53]	[OOC] John Zimmer: you good?
[11:26:56]	[OOC] CCA.C14-UNION.i5.39867: he's breaching code
[11:26:59]	[OOC] CCA.C14-UNION.i5.39867: yea lol
[11:27:13]	[OOC] CCA.C14-UNION.i5.39867: its a IC situation it will be handled icly
[11:27:13]	[OOC] John Zimmer: 4 pieces of level 2 = 8 2 pieces of level 1 = 2 2+8= 10 chief
[11:27:13]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[11:27:25]	[OOC] CCA.C14-UNION.i5.39867: i read that wrong
[11:27:26]	[OOC] CCA.C14-UNION.i5.39867: then
[11:27:31]	[OOC] John Zimmer: bruh
[11:27:33]	[OOC] CCA.C14-UNION.i5.39867: even then you should be getting 3 points
[11:27:42]	[OOC] John Zimmer: for 10 pieces of contraband?
[11:27:45]	[OOC] CCA.C14-UNION.i5.39867: yep
[11:27:47]	[OOC] John Zimmer: 6*
[11:27:56]	[OOC] CCA.C14-UNION.i5.39867: no lol
[11:27:58]	[OOC] CCA.C14-UNION.i5.39867: 3
[11:28:05]	[OOC] CCA.C14-UNION.i5.39867: you handed in level 2 and level 1 contraband
[11:28:09]	[OOC] CCA.C14-UNION.i5.39867: 2 points for level 2
[11:28:11]	[OOC] CCA.C14-UNION.i5.39867: 1 for level 1
[11:28:25]	[OOC] John Zimmer: yup, i handed in 4 pieces of level 2, and 2 pieces of level 1
[11:28:32]	[OOC] CCA.C14-UNION.i5.39867: yep
[11:28:34]	[OOC] CCA.C14-UNION.i5.39867: 3 points
[11:28:43]	[OOC] John Zimmer: do you know how to count?
[11:28:55]	[OOC] CCA.C14-UNION.i5.39867: i dont think you understand how loyalist points work
[11:29:06]	[OOC] John Zimmer: i have the guide up right now
[11:29:18]	[OOC] CCA.C14-UNION.i5.39867: you handed in level 2 contraband
[11:29:25]	[OOC] John Zimmer: yes 4 level 2's
[11:29:28]	[OOC] CCA.C14-UNION.i5.39867: yep
[11:29:31]	[OOC] CCA.C14-UNION.i5.39867: even if it was 4
[11:29:31]	[OOC] John Zimmer: wich is 8
[11:29:35]	[OOC] CCA.C14-UNION.i5.39867: its supposed to be counted as 1 my guy
[11:29:38]	[OOC] John Zimmer: then 2 level ones
[11:29:42]	[OOC] CCA.C14-UNION.i5.39867: because loyalist points are supposed to be hard to get
[11:29:52]	[OOC] CCA.C14-UNION.i5.39867: thats how i was taught and thats how i have always been given points
[11:30:03]	[OOC] John Zimmer: aight tell the rest of the CCA to start counting all contraband handed in as one item
[11:30:05]	[OOC] CCA.C14-UNION.i5.39867: if the helix is dumb icly, then it will be treated as an ic situation and reported to a judge unit
[11:30:10]	[OOC] CCA.C14-UNION.i5.39867: which is what i've seen then do
[11:30:15]	[OOC] CCA.C14-UNION.i5.39867: epu counts it as one
[11:30:23]	[OOC] CCA.C14-UNION.i5.39867: he's an example to union units
[11:30:35]	[OOC] John Zimmer: i've never seen him count multiple pieces of contra as one
[11:30:48]	[OOC] CCA.C14-UNION.i5.39867: ok
[11:30:54]	[OOC] CCA.C14-UNION.i5.39867: he's counted
[11:30:59]	[OOC] CCA.C14-UNION.i5.39867: multiple pieces of contraband as one
[11:30:59]	[OOC] John Zimmer: i have handed contraband in to him about a dozen times and he's never done it that way
[11:31:09]	[OOC] CCA.C14-UNION.i5.39867: then its favourtism
[11:31:12]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[11:31:13]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[11:31:31]	[OOC] John Zimmer: omfg i see explaining this to you is pointless
[11:31:40]	[OOC] CCA.C14-UNION.i5.39867: wdym lol
[11:32:01]	[OOC] CCA.C14-UNION.i5.39867: this is realistically how it would work
[11:32:13]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[11:32:34]	[OOC] John Zimmer: then rewrite the guide and send the new version to q
[11:32:49]	[OOC] John Zimmer: you have fun with that
[11:32:50]	[OOC] CCA.C14-UNION.i5.39867: no lol
[11:32:54]	[OOC] CCA.C14-UNION.i5.39867: are you stupid
[11:32:56]	[OOC] CCA.C14-UNION.i5.39867: why would i do that
[11:33:00]	[OOC] CCA.C14-UNION.i5.39867: i'm just going to report it in icly
[11:33:03]	[OOC] CCA.C14-UNION.i5.39867: it was an ic situation
[11:33:05]	[OOC] CCA.C14-UNION.i5.39867: its being treated ic
[11:33:11]	[OOC] John Zimmer: ok you have fun with nothing happening
[11:33:33]	[OOC] CCA.C14-UNION.i5.39867: ok you do realise
[11:33:36]	[OOC] CCA.C14-UNION.i5.39867: when you get up the tiers
[11:33:41]	[OOC] CCA.C14-UNION.i5.39867: you get access to better housing
[11:33:43]	[OOC] CCA.C14-UNION.i5.39867: better rations
[11:33:47]	[OOC] CCA.C14-UNION.i5.39867: its supposed to be hard to earn
[11:34:18]	[OOC] CCA.C14-UNION.i5.39867: if you've earned blue tier in a couple of days by handing in a few contraband then something is wrong
[11:34:38]	[OOC] CCA.C14-UNION.i5.39867: its universally known around most servers that loyalist points are supposed to be hard an tedious to earn
[11:34:47]	[OOC] CCA.C14-UNION.i5.39867: aurora doesn't even give loyalist points for yellow and green level contraband
[11:35:02]	[OOC] John Zimmer: that's other servers
[11:35:33]	[OOC] CCA.C14-UNION.i5.39867: i understand but its just universally accepted
[11:35:36]	[OOC] CCA.C14-UNION.i5.39867: across most servers
[11:35:36]	[OOC] John Zimmer: they do that for their contraband, our cca guide is written differenly
[11:35:42]	[OOC] CCA.C14-UNION.i5.39867: thats not the point
[11:35:57]	[OOC] John Zimmer: neither is what's accepted by other servers
[11:36:02]	[OOC] CCA.C14-UNION.i5.39867: this has nothing to do with 
[11:36:06]	[OOC] CCA.C14-UNION.i5.39867: the fucking guide
[11:36:18]	[OOC] CCA.C14-UNION.i5.39867: im not even talking about the guide
[11:36:20]	[OOC] CCA.C14-UNION.i5.39867: anymore
[11:36:36]	[OOC] CCA.C14-UNION.i5.39867: if loyalist points are being handed out like candy, then i will bring that up both oocly and icly
[11:36:41]	[OOC] CCA.C14-UNION.i5.39867: to both the CCA and Q
[11:36:57]	[OOC] John Zimmer: i literally died getting contraband, it wasn't exactly a cake walk
[11:36:59]	[OOC] CCA.C14-UNION.i5.39867: if this is how it continues every citizen will have access to luxury foods and housing
[11:37:11]	[OOC] CCA.C14-UNION.i5.39867: yea you died and respaWNED
[11:37:13]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[11:37:14]	[OOC] CCA.C14-UNION.i5.39867: cool
[11:37:18]	[OOC] John Zimmer: i had to fight a zombie and a headcrab, then got blown away by a bomb trap
[11:37:22]	[OOC] CCA.C14-UNION.i5.39867: wow cool
[11:37:25]	[OOC] CCA.C14-UNION.i5.39867: it wasnt a pk
[11:37:29]	[OOC] CCA.C14-UNION.i5.39867: so you just got NLRed
[11:37:48]	[OOC] John Zimmer: yeah, but i had to fist fight it, which took me half way across the plaza, and i had to wait out the nlr
[11:38:08]	[OOC] John Zimmer: i didn't exactly just go up and spawn myself some level 3 contraband and turned in an entire suitcase of it
[11:38:48]	[OOC] John Zimmer: i only got it as well when i got very high rolls, so it was rare for me to get anything other than some car batteries or scrap metal
[11:40:00]	[OOC] John Zimmer: hell i got so much crap i made a beanie out of it
[11:40:26]	[OOC] John Zimmer: the rest of the stuff i have I'm either gonna burn, or sell
[11:40:35]	John Zimmer ran 'take' on item 'Charred Metal' (#25738)
[11:40:35]	John Zimmer has gained a 'Charred Metal' #25738.
[11:40:36]	John Zimmer ran 'take' on item 'Charred Metal' (#25745)
[11:40:36]	John Zimmer has gained a 'Charred Metal' #25745.
[11:40:37]	John Zimmer ran 'take' on item 'Charred Metal' (#25743)
[11:40:37]	John Zimmer has gained a 'Charred Metal' #25743.
[11:40:39]	John Zimmer ran 'take' on item 'Charred Metal' (#25744)
[11:40:39]	John Zimmer has gained a 'Charred Metal' #25744.
[11:41:29]	[OOC] CCA.C14-UNION.i5.39867: ok thats not the problem, i don't even have a problem with you anymore
[11:41:35]	[OOC] John Zimmer: aight good
[11:41:36]	[OOC] CCA.C14-UNION.i5.39867: i'm sorry for snapping at you but thats not
[11:41:38]	[OOC] CCA.C14-UNION.i5.39867: how its supposed to work
[11:41:42]	[OOC] CCA.C14-UNION.i5.39867: the problems not about you here
[11:41:47]	[OOC] CCA.C14-UNION.i5.39867: its about how the loyalist point system is like now
[11:41:55]	John Zimmer opened the '' #1902 container.
[11:41:57]	John Zimmer closed the '' #1902 container.
[11:42:00]	[OOC] CCA.C14-UNION.i5.39867: and im bringing it up right now, both oocly and icly
[11:42:13]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[11:42:14]	[OOC] CCA.C14-UNION.i5.39867: to higher ranking units
[11:42:16]	[OOC] CCA.C14-UNION.i5.39867: anyway brb
[11:47:13]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[11:52:13]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[11:57:13]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[12:01:56]	sand (STEAM_0:0:38537787) has disconnected.
[13:09:00]	Doughnut (STEAM_0:1:127409364) has disconnected (timed out).
[13:36:38]	sand has connected.
[13:37:38]	peep | trade.tf has connected.
[13:39:02]	[CGN] Painevan has connected.
[13:41:10]	sand loaded the character 'CCA.C14-UNION.i5.39867'
[13:41:15]	[CGN] Painevan loaded the character 'Karl Von Habsburg'
[13:41:38]	Karl Von Habsburg entered observer.
[13:42:09]	[OOC] CCA.C14-UNION.i5.39867: What is this item
[13:42:12]	[OOC] Karl Von Habsburg: void shots
[13:42:13]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Custom Item' (#25845)
[13:42:13]	CCA.C14-UNION.i5.39867 has lost a 'Custom Item' #25845.
[13:42:30]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[13:42:31]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Custom Item' (#25845)
[13:42:31]	CCA.C14-UNION.i5.39867 has gained a 'Custom Item' #25845.
[13:42:46]	[LOOC] CCA.C14-UNION.i5.39867: what?
[13:42:46]	Karl Von Habsburg exited observer at their location.
[13:42:50]	Karl Von Habsburg has spawned a 'Weapon [3194][tfa_rustalpha_m4]'.
[13:42:53]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Custom Item' (#25845)
[13:42:53]	CCA.C14-UNION.i5.39867 has lost a 'Custom Item' #25845.
[13:43:01]	Karl Von Habsburg destroyed a 'Custom Item' #25845.
[13:43:02]	[LOOC] CCA.C14-UNION.i5.39867: meant for looc
[13:43:07]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[13:43:08]	CCA.C14-UNION.i5.39867 has taken 3 damage from Karl Von Habsburg.
[13:43:08]	CCA.C14-UNION.i5.39867 has taken 4 damage from Karl Von Habsburg.
[13:43:09]	CCA.C14-UNION.i5.39867 has taken 4 damage from Karl Von Habsburg.
[13:43:10]	CCA.C14-UNION.i5.39867 has taken 29 damage from Karl Von Habsburg.
[13:43:12]	CCA.C14-UNION.i5.39867 has taken 30 damage from Karl Von Habsburg.
[13:43:12]	CCA.C14-UNION.i5.39867 has taken 14 damage from Karl Von Habsburg.
[13:43:13]	CCA.C14-UNION.i5.39867 has taken 31 damage from Karl Von Habsburg.
[13:43:13]	CCA.C14-UNION.i5.39867 has taken 30 damage from Karl Von Habsburg.
[13:43:13]	CCA.C14-UNION.i5.39867 has taken 24 damage from Karl Von Habsburg.
[13:43:14]	[LOOC] CCA.C14-UNION.i5.39867: stop i have ammo
[13:43:14]	CCA.C14-UNION.i5.39867 has taken 31 damage from Karl Von Habsburg.
[13:43:14]	Karl Von Habsburg has killed CCA.C14-UNION.i5.39867 with tfa_rustalpha_m4.
[13:43:22]	[OOC] Karl Von Habsburg: im now out of ammo
[13:43:23]	Karl Von Habsburg entered observer.
[13:43:30]	[OOC] CCA.C14-UNION.i5.39867: i lost all my ammo
[13:43:33]	CCA.C14-UNION.i5.39867 ran 'Equip' on item 'USP Match' (#18969)
[13:43:34]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Ration Wrapper' (#25771)
[13:43:34]	CCA.C14-UNION.i5.39867 has lost a 'Ration Wrapper' #25771.
[13:43:35]	Karl Von Habsburg has spawned a 'Entity [3204][item_ammo_pistol_large]'.
[13:43:35]	Karl Von Habsburg has spawned a 'Entity [3208][item_ammo_pistol_large]'.
[13:43:36]	Karl Von Habsburg has spawned a 'Entity [3211][item_ammo_pistol_large]'.
[13:43:40]	[LOOC] CCA.C14-UNION.i5.39867: thank
[13:43:56]	Karl Von Habsburg has spawned a 'Entity [3204][pfx6_01]'.
[13:43:59]	Karl Von Habsburg has spawned a 'Entity [3208][pfx6_00]'.
[13:44:01]	CCA.C14-UNION.i5.39867 used command '/OldViewData karl'.
[13:44:02]	Karl Von Habsburg has spawned a 'Entity [3204][pfx4_07]'.
[13:44:16]	Karl Von Habsburg has spawned a 'Entity [3204][prop_vj_flag]'.
[13:46:10]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[13:46:20]	peep | trade.tf created the character 'Forton Greenman'
[13:46:20]	Forton Greenman has gained a 'Suitcase' #25868.
[13:46:20]	Forton Greenman has gained a 'Relocation Coupon' #25869.
[13:46:20]	peep | trade.tf loaded the character 'Forton Greenman'
[13:46:24]	[OOC] Forton Greenman: hello
[13:46:31]	[OOC] Karl Von Habsburg: hell
[13:46:31]	[OOC] CCA.C14-UNION.i5.39867: hello
[13:46:38]	CCA.C14-UNION.i5.39867 used command '/PM karl is that allowed'.
[13:46:43]	[OOC] Forton Greenman: so uh how do i do the description thing correctly
[13:46:48]	[OOC] CCA.C14-UNION.i5.39867: wdym
[13:46:52]	[OOC] Karl Von Habsburg: You just type in it
[13:47:01]	[OOC] Forton Greenman: yea but idk how to do it "good"
[13:47:07]	[OOC] CCA.C14-UNION.i5.39867: are you new to hl2rp
[13:47:12]	[OOC] Karl Von Habsburg: Well it should describe you
[13:47:21]	[OOC] Forton Greenman: im new to hl2rp yea
[13:47:39]	[OOC] Forton Greenman: where can i see the rules
[13:47:40]	[OOC] Karl Von Habsburg: Maybe height, what you are wearing, hair color and style, aga
[13:48:00]	[OOC] Karl Von Habsburg: I mean the rules are pretty simple
[13:48:21]	[ME] CCA.C14-UNION.i5.39867: stares at his shoes intensely, seemlingly daydreaming. As the man before him begins to speak, his head slowly raises to look at him.
[13:48:35]	[OOC] Karl Von Habsburg: Stay IC, if you die dont go to the same place for 5 mins, dont randomly kill people, be nice and stuff like that
[13:48:41]	[OOC] Karl Von Habsburg: I can get a more in depth one
[13:49:00]	[OOC] Forton Greenman: help how to hand over id
[13:49:04]	[OOC] Forton Greenman: awh gawhd
[13:49:06]	[OOC] CCA.C14-UNION.i5.39867: inventory
[13:49:07]	[OOC] Karl Von Habsburg: It is in your inventory
[13:49:10]	[OOC] Karl Von Habsburg: Use tab
[13:49:15]	CCA.C14-UNION.i5.39867 used command '/PM karl watch him he looks like a minge'.
[13:49:17]	Forton Greenman ran 'drop' on item 'Relocation Coupon' (#25869)
[13:49:17]	Forton Greenman has lost a 'Relocation Coupon' #25869.
[13:49:27]	Karl Von Habsburg used command '/PM Union I dont think so'.
[13:49:27]	[ME] Forton Greenman: gives the coupon.
[13:49:34]	[ME] CCA.C14-UNION.i5.39867: swipes the coupon off of the counter, stepping out of view
[13:49:41]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Relocation Coupon' (#25869)
[13:49:41]	CCA.C14-UNION.i5.39867 has gained a 'Relocation Coupon' #25869.
[13:49:55]	[ME] CCA.C14-UNION.i5.39867: hums to tune to himself as he places the coupon onto the machine, soon printing a new CID
[13:50:11]	[LOOC] CCA.C14-UNION.i5.39867: hums a tune*
[13:50:17]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Citizen ID' (#25870)
[13:50:17]	CCA.C14-UNION.i5.39867 has gained a 'Citizen ID' #25870.
[13:50:22]	[LOOC] Forton Greenman: im not good at rp so sorry if i do bad
[13:50:24]	[ME] CCA.C14-UNION.i5.39867: grips the newly printed CID
[13:50:33]	Karl Von Habsburg used command '/PM Union he might be judging by hours tho'.
[13:50:43]	[ME] Forton Greenman: gets distracted with the cool letters on the sign
[13:51:01]	Karl Von Habsburg exited observer at their location.
[13:51:10]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[13:51:29]	Karl Von Habsburg entered observer.
[13:51:45]	[LOOC] Forton Greenman: im still downloading some stuff so i cant see what you said, is it date of birth?
[13:51:59]	[LOOC] CCA.C14-UNION.i5.39867: yea
[13:52:57]	[ME] CCA.C14-UNION.i5.39867: pulls out a small PDA device, typing on it.
[13:53:15]	CCA.C14-UNION.i5.39867 used command '/Gasmask'.
[13:53:29]	CCA.C14-UNION.i5.39867 used command '/OldViewData f'.
[13:53:49]	CCA.C14-UNION.i5.39867 used command '/OldViewData f'.
[13:53:57]	CCA.C14-UNION.i5.39867 used command '/OldViewData f'.
[13:54:07]	[OOC] Forton Greenman: is my description good? 5'11' / alive / old enough
[13:54:26]	[OOC] Karl Von Habsburg: Yeah its fine
[13:54:36]	[OOC] Karl Von Habsburg: We dont really care bout it tbh
[13:55:09]	[ME] CCA.C14-UNION.i5.39867: slides a black card through the glass
[13:55:40]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Citizen ID' (#25870)
[13:55:40]	CCA.C14-UNION.i5.39867 has lost a 'Citizen ID' #25870.
[13:55:44]	Forton Greenman ran 'take' on item 'Citizen ID' (#25870)
[13:55:44]	Forton Greenman has gained a 'Citizen ID' #25870.
[13:55:48]	[ME] Forton Greenman: takes the card.
[13:55:59]	CCA.C14-UNION.i5.39867 opened the '' #1805 container.
[13:56:00]	CCA.C14-UNION.i5.39867 closed the '' #1805 container.
[13:56:01]	CCA.C14-UNION.i5.39867 opened the '' #1804 container.
[13:56:04]	CCA.C14-UNION.i5.39867 closed the '' #1804 container.
[13:56:08]	Karl Von Habsburg exited observer at their location.
[13:56:10]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[13:56:55]	[ME] Karl Von Habsburg: unlocks door.
[13:57:04]	[ME] Karl Von Habsburg: locks the door.
[13:57:07]	Karl Von Habsburg entered observer.
[13:58:13]	Karl Von Habsburg exited observer at their location.
[13:59:40]	[LOOC] Karl Von Habsburg: You can call an admin over to loot it.
[14:01:10]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[14:01:15]	Karl Von Habsburg entered observer.
[14:02:36]	Karl Von Habsburg has spawned a 'NPC [3204][npc_headcrab]'.
[14:02:49]	[OOC] Forton Greenman: i downloaded all the content if i rejoin will i not see errors?
[14:02:54]	[OOC] Karl Von Habsburg: yes
[14:03:00]	peep | trade.tf (STEAM_0:0:167391168) has disconnected.
[14:04:59]	Karl Von Habsburg exited observer at their location.
[14:05:05]	sand loaded the character 'Ronald "Ron" Broadbet'
[14:05:15]	Karl Von Habsburg entered observer.
[14:05:34]	peep | trade.tf has connected.
[14:05:50]	Karl Von Habsburg exited observer at their location.
[14:05:57]	Karl Von Habsburg has spawned a 'NPC [3196][npc_headcrab]'.
[14:05:58]	Karl Von Habsburg entered observer.
[14:06:03]	Karl Von Habsburg exited observer at their location.
[14:06:03]	Karl Von Habsburg entered observer.
[14:06:08]	Karl Von Habsburg exited observer at their location.
[14:06:09]	Karl Von Habsburg entered observer.
[14:06:10]	Karl Von Habsburg exited observer at their location.
[14:06:10]	Karl Von Habsburg entered observer.
[14:06:11]	Karl Von Habsburg exited observer at their location.
[14:06:13]	Karl Von Habsburg entered observer.
[14:06:21]	Karl Von Habsburg exited observer at their location.
[14:06:23]	Karl Von Habsburg entered observer.
[14:06:49]	peep | trade.tf loaded the character 'Forton Greenman'
[14:06:57]	Karl Von Habsburg has spawned a 'NPC [3197][npc_eli]'.
[14:07:10]	[OOC] Forton Greenman: i still got errors
[14:07:17]	[OOC] Karl Von Habsburg: Reload gmod
[14:07:26]	[OOC] Karl Von Habsburg: Like exit and then go back in it
[14:07:26]	[OOC] Forton Greenman: bruh
[14:07:35]	[OOC] Karl Von Habsburg: Thats how it works
[14:07:42]	peep | trade.tf (STEAM_0:0:167391168) has disconnected.
[14:08:11]	Karl Von Habsburg used command '/PM ron imagine being behind two boxes'.
[14:11:18]	Karl Von Habsburg exited observer at their location.
[14:11:19]	Karl Von Habsburg entered observer.
[14:11:22]	Karl Von Habsburg exited observer at their location.
[14:11:23]	Karl Von Habsburg entered observer.
[14:11:24]	Karl Von Habsburg exited observer at their location.
[14:11:25]	Karl Von Habsburg entered observer.
[14:11:27]	Karl Von Habsburg exited observer at their location.
[14:13:02]	Karl Von Habsburg entered observer.
[14:15:29]	Karl Von Habsburg has spawned a 'NPC [1347][npc_barnacle]'.
[14:15:57]	peep | trade.tf has connected.
[14:16:26]	Karl Von Habsburg has spawned 'models/props_junk/metal_paintcan001b.mdl'.
[14:16:45]	peep | trade.tf loaded the character 'Forton Greenman'
[14:16:50]	[OOC] Forton Greenman: still an error
[14:16:55]	[OOC] Forton Greenman: smh my head
[14:17:13]	[OOC] Karl Von Habsburg: Do you have half life 2 episode 2 and 1 downloaded?
[14:17:23]	[OOC] Forton Greenman: oh god damnit do i really need to
[14:17:36]	[OOC] Karl Von Habsburg: Those files are required for textures
[14:17:44]	[OOC] Karl Von Habsburg: But you can download them off the internet
[14:17:47]	[OOC] Forton Greenman: my citizen pm is an error
[14:17:57]	[OOC] Karl Von Habsburg: Yeah it is likely that is the case
[14:18:17]	[OOC] Karl Von Habsburg: You do have the right content correct?
[14:18:29]	[OOC] Forton Greenman: i got the addons but dont have ep 1&2
