[07:04:33]	Namara has connected.
[07:57:01]	Eugene Hill ran 'take' on item 'Raw Headcrab Meat' (#34940)
[07:57:01]	Eugene Hill has gained a 'Raw Headcrab Meat' #34940.
[07:57:01]	Eugene Hill ran 'take' on item 'Raw Headcrab Meat' (#34918)
[07:57:01]	Eugene Hill has gained a 'Raw Headcrab Meat' #34918.
[07:57:06]	Eugene Hill ran 'take' on item 'Raw Headcrab Meat' (#35401)
[07:57:06]	Eugene Hill has gained a 'Raw Headcrab Meat' #35401.
[07:57:08]	Eugene Hill ran 'take' on item 'Raw Headcrab Meat' (#35408)
[07:57:08]	Eugene Hill has gained a 'Raw Headcrab Meat' #35408.
[07:57:10]	Eugene Hill ran 'take' on item 'Raw Headcrab Meat' (#35456)
[07:57:10]	Eugene Hill has gained a 'Raw Headcrab Meat' #35456.
[07:57:11]	Eugene Hill ran 'take' on item 'Raw Headcrab Meat' (#35458)
[07:57:11]	Eugene Hill has gained a 'Raw Headcrab Meat' #35458.
[07:57:25]	Arson Redding has taken 5 damage from npc_fastzombie.
[07:57:28]	Arson Redding has taken 4 damage from monster_hound_eye.
[07:57:30]	Arson Redding has taken 11 damage from monster_hound_eye.
[07:57:31]	Arson Redding has taken 15 damage from monster_hound_eye.
[07:57:32]	Arson Redding has taken 5 damage from monster_hound_eye.
[07:57:44]	Arson Redding has taken 11 damage from monster_hound_eye.
[07:57:44]	monster_hound_eye has killed Arson Redding.
[07:58:05]	Eugene Hill ran 'drop' on item 'Combine Air Tank' (#33465)
[07:58:05]	Eugene Hill has lost a 'Combine Air Tank' #33465.
[07:58:06]	Eugene Hill ran 'drop' on item 'Combine Air Tank' (#34052)
[07:58:06]	Eugene Hill has lost a 'Combine Air Tank' #34052.
[07:58:09]	Eugene Hill ran 'drop' on item 'Combine Air Tank' (#34038)
[07:58:09]	Eugene Hill has lost a 'Combine Air Tank' #34038.
[07:58:10]	Eugene Hill ran 'drop' on item 'Combine Air Tank' (#34037)
[07:58:10]	Eugene Hill has lost a 'Combine Air Tank' #34037.
[07:58:44]	Eugene Hill ran 'take' on item 'Citizen ID' (#31068)
[07:58:44]	Eugene Hill has gained a 'Citizen ID' #31068.
[07:58:57]	Eugene Hill ran 'take' on item 'Handcannon' (#35433)
[07:58:57]	Eugene Hill has gained a 'Handcannon' #35433.
[07:59:20]	Eugene Hill ran 'take' on item 'Duplex Walkie Talkie' (#6401)
[07:59:20]	Eugene Hill has gained a 'Duplex Walkie Talkie' #6401.
[07:59:23]	Eugene Hill ran 'take' on item 'Hybrid Radio' (#18911)
[07:59:23]	Eugene Hill has gained a 'Hybrid Radio' #18911.
[07:59:51]	Eugene Hill ran 'take' on item 'Relocation Coupon' (#32950)
[07:59:51]	Eugene Hill has gained a 'Relocation Coupon' #32950.
[07:59:53]	Eugene Hill ran 'take' on item 'Citizen ID' (#33173)
[07:59:53]	Eugene Hill has gained a 'Citizen ID' #33173.
[07:59:55]	Eugene Hill ran 'take' on item 'Citizen ID' (#33174)
[07:59:55]	Eugene Hill has gained a 'Citizen ID' #33174.
[08:00:05]	Eugene Hill ran 'take' on item 'MP7' (#28398)
[08:00:07]	Eugene Hill ran 'Eat' on item 'Raw Headcrab Meat' (#34940)
[08:00:07]	Eugene Hill has taken 12 damage from worldspawn.
[08:00:08]	Eugene Hill ran 'Eat' on item 'Raw Headcrab Meat' (#35456)
[08:00:08]	Eugene Hill has taken 12 damage from worldspawn.
[08:00:10]	Eugene Hill ran 'drop' on item 'Raw Headcrab Meat' (#35462)
[08:00:10]	Eugene Hill has lost a 'Raw Headcrab Meat' #35462.
[08:00:10]	Eugene Hill ran 'drop' on item 'Raw Headcrab Meat' (#35401)
[08:00:10]	Eugene Hill has lost a 'Raw Headcrab Meat' #35401.
[08:00:11]	Eugene Hill ran 'drop' on item 'Raw Headcrab Meat' (#34918)
[08:00:11]	Eugene Hill has lost a 'Raw Headcrab Meat' #34918.
[08:00:13]	Eugene Hill ran 'drop' on item 'Battered Scrap' (#30889)
[08:00:13]	Eugene Hill has lost a 'Battered Scrap' #30889.
[08:00:14]	Eugene Hill ran 'drop' on item 'Raw Headcrab Meat' (#35458)
[08:00:14]	Eugene Hill has lost a 'Raw Headcrab Meat' #35458.
[08:00:15]	Eugene Hill ran 'drop' on item 'Raw Headcrab Meat' (#35408)
[08:00:15]	Eugene Hill has lost a 'Raw Headcrab Meat' #35408.
[08:00:28]	Eugene Hill ran 'take' on item 'MP7' (#28398)
[08:00:28]	Eugene Hill has gained a 'MP7' #28398.
[08:00:48]	Eugene Hill ran 'take' on item '.9mm Pistol' (#31479)
[08:00:48]	Eugene Hill has gained a '.9mm Pistol' #31479.
[08:00:58]	Eugene Hill ran 'take' on item '9mm Pistol Magazine' (#35530)
[08:00:58]	Eugene Hill has gained a '9mm Pistol Magazine' #35530.
[08:01:01]	Eugene Hill ran 'take' on item '9mm Pistol Magazine' (#35529)
[08:01:01]	Eugene Hill has gained a '9mm Pistol Magazine' #35529.
[08:01:05]	Arson Redding ran 'take' on item 'Suitcase' (#36117)
[08:01:05]	Arson Redding has gained a 'Suitcase' #36117.
[08:01:05]	Arson Redding has gained a 'Teal and Black Coat' #36131.
[08:01:05]	Arson Redding has gained a 'Fingerless Gloves' #35635.
[08:01:05]	Arson Redding has gained a 'Sweatpants' #36132.
[08:01:05]	Arson Redding has gained a 'Blue Beanie' #35475.
[08:01:07]	Eugene Hill ran 'take' on item '9mm Pistol Magazine' (#35497)
[08:01:07]	Eugene Hill has gained a '9mm Pistol Magazine' #35497.
[08:01:28]	Arson Redding has taken 5 damage from prop_physics.
[08:01:38]	Eugene Hill used command '/PM arson theres so much shit here'.
[08:01:55]	Arson Redding used command '/PM eugene I'm rebbuilding the stack of crates'.
[08:02:01]	eggman (STEAM_0:1:62846785) has disconnected.
[08:02:33]	Arson Redding ran 'drop' on item 'Suitcase' (#36117)
[08:02:33]	Arson Redding has lost a 'Suitcase' #36117.
[08:02:33]	Arson Redding has lost a 'Teal and Black Coat' #36131.
[08:02:33]	Arson Redding has lost a 'Fingerless Gloves' #35635.
[08:02:33]	Arson Redding has lost a 'Sweatpants' #36132.
[08:02:33]	Arson Redding has lost a 'Blue Beanie' #35475.
[08:03:44]	Arson Redding ran 'Equip' on item 'Pan' (#36252)
[08:05:32]	Arson Redding has taken 8 damage from monster_hound_eye.
[08:05:32]	Arson Redding has gained 10 tokens.
[08:05:35]	Arson Redding has taken 7 damage from monster_hound_eye.
[08:05:36]	Arson Redding has taken 5 damage from npc_fastzombie.
[08:06:09]	Arson Redding has taken 3 damage from npc_fastzombie.
[08:06:09]	Arson Redding has taken 3 damage from npc_fastzombie.
[08:06:12]	Arson Redding has taken 3 damage from npc_fastzombie.
[08:06:12]	Arson Redding has taken 3 damage from npc_fastzombie.
[08:07:43]	Arson Redding has taken 5 damage from monster_hound_eye.
[08:07:47]	Arson Redding has taken 6 damage from monster_hound_eye.
[08:07:47]	Arson Redding has taken 6 damage from monster_hound_eye.
[08:07:58]	Arson Redding has taken 3 damage from npc_fastzombie.
[08:08:01]	Arson Redding has taken 4 damage from monster_hound_eye.
[08:08:08]	Arson Redding has taken 8 damage from monster_hound_eye.
[08:08:11]	Arson Redding has taken 6 damage from monster_hound_eye.
[08:08:21]	Arson Redding has gained 10 tokens.
[08:08:39]	Arson Redding has taken 5 damage from npc_fastzombie.
[08:08:43]	Arson Redding has taken 5 damage from npc_fastzombie.
[08:09:06]	Arson Redding has taken 4 damage from monster_hound_eye.
[08:09:21]	Arson Redding has gained 10 tokens.
[08:10:11]	Arson Redding ran 'take' on item 'Pliers' (#36261)
[08:10:11]	Arson Redding has gained a 'Pliers' #36261.
[08:10:20]	Arson Redding has taken 5 damage from npc_headcrab.
[08:10:22]	Arson Redding has taken 5 damage from npc_headcrab.
[08:10:24]	Arson Redding has taken 5 damage from npc_headcrab.
[08:10:24]	npc_headcrab has killed Arson Redding.
[08:12:15]	Arson Redding ran 'Equip' on item 'Pan' (#36252)
[08:13:07]	Arson Redding ran 'take' on item 'AA Battery' (#36262)
[08:13:07]	Arson Redding has gained a 'AA Battery' #36262.
[08:13:11]	Arson Redding has taken 10 damage from npc_zombie_torso.
[08:13:16]	Arson Redding has taken 10 damage from npc_zombie_torso.
[08:13:45]	Arson Redding has taken 10 damage from npc_zombie_torso.
[08:15:26]	Arson Redding ran 'EquipUn' on item 'Pan' (#36252)
[08:16:31]	Arson Redding ran 'Equip' on item 'Pan' (#36252)
[08:17:15]	Arson Redding has taken 3 damage from npc_fastzombie.
[08:17:15]	Arson Redding has taken 3 damage from npc_fastzombie.
[08:17:19]	Arson Redding has taken 5 damage from npc_fastzombie.
[08:17:20]	Arson Redding has taken 3 damage from npc_fastzombie.
[08:17:20]	Arson Redding has taken 3 damage from npc_fastzombie.
[08:17:26]	Arson Redding has taken 5 damage from npc_fastzombie.
[08:17:46]	Arson Redding has taken 3 damage from npc_fastzombie.
[08:17:51]	Arson Redding has gained 10 tokens.
[08:18:29]	Arson Redding ran 'take' on item 'AA Battery' (#36263)
[08:18:29]	Arson Redding has gained a 'AA Battery' #36263.
[08:20:53]	Arson Redding has taken 10 damage from npc_zombie_torso.
[08:20:56]	Arson Redding has taken 10 damage from npc_zombie_torso.
[08:21:07]	Arson Redding has taken 10 damage from npc_zombie_torso.
[08:21:09]	Arson Redding has taken 10 damage from npc_zombie_torso.
[08:21:19]	Arson Redding has taken 5 damage from npc_headcrab_fast.
[08:21:19]	npc_headcrab_fast has killed Arson Redding.
[08:24:02]	Arson Redding ran 'take' on item 'Suitcase' (#36117)
[08:24:15]	Arson Redding ran 'drop' on item 'A Bar of Soap' (#35564)
[08:24:15]	Arson Redding has lost a 'A Bar of Soap' #35564.
[08:24:20]	Arson Redding ran 'take' on item 'Suitcase' (#36117)
[08:24:20]	Arson Redding has gained a 'Suitcase' #36117.
[08:24:20]	Arson Redding has gained a 'Teal and Black Coat' #36131.
[08:24:20]	Arson Redding has gained a 'Fingerless Gloves' #35635.
[08:24:20]	Arson Redding has gained a 'Sweatpants' #36132.
[08:24:20]	Arson Redding has gained a 'Blue Beanie' #35475.
[08:31:11]	Arson Redding has lost 7 tokens.
[08:31:14]	Arson Redding ran 'take' on item 'Flavored Breen's Water' (#36265)
[08:31:14]	Arson Redding has gained a 'Flavored Breen's Water' #36265.
[08:31:55]	Arson Redding ran 'Equip' on item 'Blue Beanie' (#35475)
[08:32:04]	Arson Redding ran 'EquipUn' on item 'Gray and Brown Coat and Sweater' (#36176)
[08:32:09]	Arson Redding ran 'Equip' on item 'Gray and Brown Coat and Sweater' (#36176)
[08:32:11]	Arson Redding ran 'EquipUn' on item 'Blue Beanie' (#35475)
[08:32:53]	Arson Redding used the 'General Store Vendor' vendor.
[08:33:25]	Arson Redding has lost 2 tokens.
[08:33:25]	Arson Redding has gained a 'Notepad' #36266.
[08:33:31]	Arson Redding ran 'Edit' on item 'Notepad' (#36266)
[08:34:11]	Arson Redding ran 'Edit' on item 'Notepad' (#36266)
[08:34:15]	Arson Redding ran 'Edit' on item 'Notepad' (#36266)
[08:37:42]	Namara (STEAM_0:1:173897778) has disconnected (timed out).
