[07:06:13]	Haggiez has connected.
[07:47:12]	CCA.C08-UNION.i1.51023 entered observer.
[07:47:18]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:47:21]	CCA.C08-UNION.i1.51023 entered observer.
[07:47:21]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:47:22]	CCA.C08-UNION.i1.51023 entered observer.
[07:47:22]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:47:23]	CCA.C08-UNION.i1.51023 entered observer.
[07:47:31]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:47:32]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[07:47:32]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [2910][ix_unionlock]'.
[07:47:33]	CCA.C08-UNION.i1.51023 entered observer.
[07:47:44]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:47:47]	CCA.C08-UNION.i1.51023 has spawned 'models/props_c17/FurnitureFridge001a.mdl'.
[07:47:51]	CCA.C08-UNION.i1.51023 entered observer.
[07:47:51]	CCA.C08-UNION.i1.51023 exited observer at their location.
[07:47:53]	CCA.C08-UNION.i1.51023 opened the '' #1258 container.
[07:47:54]	CCA.C08-UNION.i1.51023 closed the '' #1258 container.
[07:47:58]	CCA.C08-UNION.i1.51023 opened the '' #1258 container.
[07:48:11]	CCA.C08-UNION.i1.51023 closed the '' #1258 container.
[07:48:11]	CCA.C08-UNION.i1.51023 entered observer.
[08:08:18]	CCA.C08-UNION.i1.51023 exited observer at their location.
[08:08:18]	CCA.C08-UNION.i1.51023 entered observer.
[08:32:32]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[08:33:19]	matt saton (STEAM_0:1:53097688) has disconnected.
[09:57:11]	kolpak has connected.
[09:58:36]	RizaRedRose has connected.
[10:01:46]	kolpak created the character 'Josh Kennet'
[10:01:46]	Josh Kennet has gained a 'Suitcase' #12201.
[10:01:46]	Josh Kennet has gained a 'Relocation Coupon' #12202.
[10:01:46]	Josh Kennet has gained a 'Green Citizen Suit' #12203.
[10:01:46]	Josh Kennet has gained a 'Citizen Filter' #12204.
[10:01:46]	kolpak loaded the character 'Josh Kennet'
[10:02:30]	Josh Kennet ran 'Equip' on item 'Green Citizen Suit' (#12203)
[10:02:31]	Josh Kennet ran 'equip' on item 'Citizen Filter' (#12204)
[10:02:42]	Josh Kennet has taken 250 damage from trigger_hurt.
[10:02:42]	trigger_hurt has killed Josh Kennet.
[10:03:09]	razolis has connected.
[10:03:50]	Josh Kennet has taken 5 damage from Josh Kennet.
[10:03:50]	Josh Kennet has gained 10 tokens.
[10:03:57]	razolis loaded the character 'Jerry Williams'
[10:04:21]	RizaRedRose created the character 'Amanda Lush'
[10:04:21]	Amanda Lush has gained a 'Suitcase' #12204.
[10:04:21]	Amanda Lush has gained a 'Relocation Coupon' #12205.
[10:04:21]	Amanda Lush has gained a 'Green Citizen Suit' #12206.
[10:04:21]	Amanda Lush has gained a 'Citizen Filter' #12207.
[10:04:21]	RizaRedRose loaded the character 'Amanda Lush'
[10:04:22]	[LOOC] Jerry Williams: Dang, still no CP's
[10:04:35]	RizaRedRose (STEAM_0:1:76984041) has disconnected.
[10:04:53]	kolpak (STEAM_0:0:609545234) has disconnected.
[10:05:47]	razolis (STEAM_0:0:80791773) has disconnected.
[10:39:43]	deantheone has connected.
[10:41:23]	deantheone loaded the character 'Chris 'Cyclops' LeVon'
[10:42:29]	deantheone loaded the character 'Chrizzy 'CJ' Johnson'
[10:45:40]	Cheese has connected.
[10:46:14]	deantheone loaded the character 'Chris 'Cyclops' LeVon'
[10:47:47]	Chris 'Cyclops' LeVon opened the '' #1027 container.
[10:47:48]	Chris 'Cyclops' LeVon closed the '' #1027 container.
[10:52:10]	Chris 'Cyclops' LeVon has taken 5 damage from npc_headcrab_fast.
[10:52:20]	Chris 'Cyclops' LeVon has taken 5 damage from npc_headcrab_fast.
[10:52:27]	Chris 'Cyclops' LeVon has taken 10 damage from npc_zombine.
[10:52:37]	Chris 'Cyclops' LeVon has taken 5 damage from npc_headcrab.
[10:56:05]	Chris 'Cyclops' LeVon used the 'Shady Salesman' vendor.
[10:56:08]	Chris 'Cyclops' LeVon has gained 3 tokens.
[10:56:54]	Odin has connected.
[10:57:19]	Chris 'Cyclops' LeVon has taken 25 damage from worldspawn.
[10:58:02]	Chris 'Cyclops' LeVon ran 'EquipUn' on item 'Green Citizen Suit' (#870)
[10:58:34]	Chris 'Cyclops' LeVon opened the '' #1257 container.
[10:58:35]	Chris 'Cyclops' LeVon closed the '' #1257 container.
[10:58:36]	Chris 'Cyclops' LeVon opened the '' #1199 container.
[10:58:38]	Chris 'Cyclops' LeVon closed the '' #1199 container.
[10:58:48]	Odin loaded the character 'Erwin Ramstein'
[10:58:59]	Erwin Ramstein ran 'Equip' on item 'Black Beanie' (#12141)
[10:59:00]	Erwin Ramstein ran 'Equip' on item 'CWU Commerce Shirt' (#11757)
[10:59:01]	Erwin Ramstein ran 'Equip' on item 'Gray Jeans' (#11758)
[10:59:01]	Erwin Ramstein ran 'Equip' on item 'Gloves' (#12149)
[10:59:03]	Erwin Ramstein ran 'EquipUn' on item 'Gray Jeans' (#11758)
[10:59:04]	Erwin Ramstein ran 'EquipUn' on item 'Gloves' (#12149)
[10:59:05]	Erwin Ramstein ran 'EquipUn' on item 'Black Beanie' (#12141)
[10:59:06]	Erwin Ramstein ran 'EquipUn' on item 'CWU Commerce Shirt' (#11757)
[10:59:07]	Erwin Ramstein ran 'Equip' on item 'Cyclopic Citizen Suit' (#10971)
[10:59:07]	Erwin Ramstein ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#10971)
[10:59:08]	Erwin Ramstein ran 'Equip' on item 'CWU Commerce Shirt' (#11757)
[10:59:08]	Erwin Ramstein ran 'Equip' on item 'Black Beanie' (#12141)
[10:59:09]	Erwin Ramstein ran 'Equip' on item 'Gloves' (#12149)
[10:59:09]	Erwin Ramstein ran 'Equip' on item 'Gray Jeans' (#11758)
[10:59:10]	Erwin Ramstein ran 'Equip' on item 'Cyclopic Citizen Suit' (#10971)
[10:59:15]	Erwin Ramstein ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#10971)
[10:59:19]	Erwin Ramstein ran 'Equip' on item 'Cyclopic Citizen Suit' (#10971)
[10:59:25]	Erwin Ramstein ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#10971)
[10:59:58]	FB|| light ROOM has connected.
[11:00:15]	deantheone created the character 'Jimmy 'Watcher 3' John'
[11:00:15]	Jimmy 'Watcher 3' John has gained a 'Suitcase' #12208.
[11:00:15]	Jimmy 'Watcher 3' John has gained a 'Relocation Coupon' #12209.
[11:00:15]	Jimmy 'Watcher 3' John has gained a 'Green Citizen Suit' #12210.
[11:00:15]	Jimmy 'Watcher 3' John has gained a 'Citizen Filter' #12211.
[11:01:23]	Chris 'Cyclops' LeVon ran 'Consume' on item 'Sparkling Consulate Water' (#6575)
[11:01:25]	Erwin Ramstein opened the '' #1174 container.
[11:01:26]	Chris 'Cyclops' LeVon ran 'Eat' on item 'Standard Grade Citizen Food Product' (#6553)
[11:01:27]	Erwin Ramstein closed the '' #1174 container.
[11:01:33]	Erwin Ramstein opened the '' #1173 container.
[11:01:33]	Erwin Ramstein closed the '' #1173 container.
[11:01:35]	Erwin Ramstein opened the '' #1175 container.
[11:01:36]	Chris 'Cyclops' LeVon ran 'drop' on item 'Citizen Filter' (#11868)
[11:01:36]	Chris 'Cyclops' LeVon has lost a 'Citizen Filter' #11868.
[11:01:36]	Erwin Ramstein closed the '' #1175 container.
[11:01:40]	Chris 'Cyclops' LeVon ran 'take' on item 'Citizen Filter' (#11868)
[11:01:40]	Chris 'Cyclops' LeVon has gained a 'Citizen Filter' #11868.
[11:01:40]	Erwin Ramstein opened the '' #1176 container.
[11:01:41]	Erwin Ramstein closed the '' #1176 container.
[11:01:42]	Erwin Ramstein opened the '' #1178 container.
[11:01:42]	Erwin Ramstein closed the '' #1178 container.
[11:01:45]	Chris 'Cyclops' LeVon ran 'Consume' on item 'Consulate Water' (#6554)
[11:01:50]	Erwin Ramstein opened the '' #1192 container.
[11:01:52]	Erwin Ramstein closed the '' #1192 container.
[11:01:59]	Erwin Ramstein opened the '' #1183 container.
[11:01:59]	Erwin Ramstein closed the '' #1183 container.
[11:02:01]	Erwin Ramstein opened the '' #1184 container.
[11:02:03]	Erwin Ramstein closed the '' #1184 container.
[11:02:16]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[11:02:18]	CCA.C08-QrM.98240 entered observer.
[11:02:22]	[OOC] CCA.C08-QrM.98240: YO
[11:02:29]	[OOC] Chris 'Cyclops' LeVon: what
[11:02:33]	[OOC] Erwin Ramstein: Yello.
[11:03:22]	CCA.C08-QrM.98240 exited observer at their location.
[11:03:27]	Erwin Ramstein used command '/PM qrm Can you by any chance, change the state of a Biolock?'.
[11:03:51]	CCA.C08-QrM.98240 used command '/Reply I can, why?'.
[11:03:51]	CCA.C08-QrM.98240 entered observer.
[11:04:24]	Erwin Ramstein used command '/PM qrm I'd like my Biolock on my door changed from CWU to purely opened / closed via my CID. Personal Biolock.'.
[11:04:36]	Erwin Ramstein used command '/PM qrm Just seen another CWU unlock my front door, don't want that happening.'.
[11:05:00]	CCA.C08-QrM.98240 used command '/Reply I don't think I can make a personal Biolock.'.
[11:05:19]	CCA.C08-QrM.98240 used command '/Reply It is either a Unionlock or a Biolock, it can't be for one individual.'.
[11:05:37]	Erwin Ramstein used command '/PM qrm Isn't that how doors in an apartment work? Personal?'.
[11:05:48]	CCA.C08-QrM.98240 used command '/Reply That is different, thats just a lock.'.
[11:06:03]	Erwin Ramstein used command '/PM qrm ...Can you have a lock and biolock.?'.
[11:06:22]	CCA.C08-QrM.98240 used command '/Reply Considering how Unionlocks work.....I doubt you could.'.
[11:06:40]	Erwin Ramstein used command '/PM qrm Could ye try?'.
[11:06:43]	CCA.C08-QrM.98240 used command '/Reply Unionlocks and Biolocks drill into the lock and manually hard lock them.'.
[11:07:16]	CCA.C08-QrM.98240 has gained 10 tokens.
[11:07:16]	CCA.C08-QrM.98240 used command '/AddTenant Erwin Ramstein'.
[11:07:19]	Cheese loaded the character 'CCA.C08-UNION.i5.99915'
[11:07:30]	[LOOC] CCA.C08-QrM.98240: Okay, lock it using your "key" swep.
[11:07:36]	CCA.C08-QrM.98240 exited observer at their location.
[11:07:44]	[LOOC] CCA.C08-QrM.98240: Hmmm
[11:07:45]	CCA.C08-QrM.98240 entered observer.
[11:07:50]	[OOC] CCA.C08-UNION.i5.99915: a tip to anyone who likes old guns, they are not safe
[11:08:05]	[OOC] CCA.C08-QrM.98240: I thought that was kind of implied when you say "old gun" lmao
[11:08:05]	[OOC] CCA.C08-UNION.i5.99915: i just had one go off in my fucking room while i was testing the feeding 
[11:08:10]	[OOC] CCA.C08-QrM.98240: Holy shit
[11:08:20]	[OOC] CCA.C08-QrM.98240: Everything alright over there?
[11:08:23]	Erwin Ramstein used command '/PM qrm Odd, so it locks, and then it stays locked, and then when I shift ER it unlocks. Maybe you try lmao.'.
[11:08:29]	[OOC] CCA.C08-UNION.i5.99915: i let down the lever and it fucking went off because the hammer screw was filed down
[11:08:32]	[OOC] Erwin Ramstein: Of course they're unsafe lmao. Take care of your old guns. 
[11:08:41]	CCA.C08-QrM.98240 used command '/Reply Hmmmmm'.
[11:08:41]	Erwin Ramstein used command '/PM qrm try to shift ER and open the door'.
[11:08:42]	CCA.C08-QrM.98240 exited observer at their location.
[11:08:42]	CCA.C08-QrM.98240 entered observer.
[11:08:43]	CCA.C08-QrM.98240 exited observer at their location.
[11:08:48]	[OOC] CCA.C08-UNION.i5.99915: yeah luckily it went off in the fuckin side
[11:08:49]	Erwin Ramstein used command '/PM qrm yep'.
[11:09:09]	Erwin Ramstein used command '/PM qrm Ugh, I just don't want other CWU entering my fuckin store, yknow?'.
[11:09:12]	[OOC] CCA.C08-UNION.i5.99915: you see erwin, this is a pawnshop gun that i was testing to ensure its safe.
[11:09:14]	CCA.C08-QrM.98240 used command '/Reply Yeah, it would appear to be impossible for the tenant function to work with Unionlocks.'.
[11:09:17]	Erwin Ramstein used command '/PM qrm Like that doesnt make sense this aint their property.'.
[11:09:23]	[OOC] CCA.C08-UNION.i5.99915: before i fire it alone
[11:09:28]	CCA.C08-QrM.98240 entered observer.
[11:09:29]	[OOC] CCA.C08-UNION.i5.99915: because nobody joins me shooting
[11:09:38]	[OOC] CCA.C08-UNION.i5.99915: and i do not wanna end up like KB
[11:09:50]	[OOC] Erwin Ramstein: My advice would be to always test at the range, even the most minor things, and only clean a Gun when you've made sure its safe. 
[11:10:19]	Erwin Ramstein used command '/PM qrm Did ya do something to it, it aint closin ; - ;'.
[11:10:24]	Erwin Ramstein used command '/PM qrm n e v e r m i n d'.
[11:10:30]	[OOC] CCA.C08-UNION.i5.99915: those cant really apply when i cant make sure its safe without a fire test and if it isnt safe it could cost me my life.
[11:10:38]	[OOC] CCA.C08-UNION.i5.99915: even in a vice
[11:11:00]	[OOC] CCA.C08-UNION.i5.99915: ive had shrapnel from a gun in a vice travel 40 feet and go through the doors of my truck
[11:11:13]	[OOC] Erwin Ramstein: You can make sure its safe in, plenty ways before a Fire Test. I've shot / used Old Guns, as old as 1940's
[11:11:25]	[OOC] Erwin Ramstein: Also that's a, unstable fucking gun lmao
[11:11:38]	[OOC] Erwin Ramstein: What's the Pawn Shop consist of, Japanese Nambu Pistols?
[11:11:48]	CCA.C08-QrM.98240 exited observer at their location.
[11:12:05]	[OOC] CCA.C08-UNION.i5.99915: well yeah that particular one had been rusted in the inside of the bolt which i  wasnt smart enough to check at the time. and a lot of old boomer guns
[11:12:13]	[OOC] CCA.C08-UNION.i5.99915: double barrels, old double action 32
[11:12:16]	CCA.C08-QrM.98240 has gained 10 tokens.
[11:12:19]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[11:12:22]	[LOOC] CCA.C08-UNION.i5.99915: lever actions here and there
