[02:17:34]	npaynter2 has connected.
[10:14:10]	CCA.C08-GRID.i4.81530 has gained a 'Civil Protection Functionary Grade Food Product' #20464.
[10:14:10]	CCA.C08-GRID.i4.81530 has gained a 'Universal Union Functionary Grade Beverage' #20465.
[10:14:11]	CCA.C08-GRID.i4.81530 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#20463)
[10:14:11]	CCA.C08-GRID.i4.81530 has gained a 'Civil Protection Functionary Grade Food Product' #20466.
[10:14:11]	CCA.C08-GRID.i4.81530 has gained a 'Universal Union Functionary Grade Beverage' #20467.
[10:14:12]	CCA.C08-GRID.i4.81530 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#20461)
[10:14:12]	CCA.C08-GRID.i4.81530 has gained a 'Civil Protection Functionary Grade Food Product' #20468.
[10:14:12]	CCA.C08-GRID.i4.81530 has gained a 'Universal Union Functionary Grade Beverage' #20469.
[10:14:18]	CCA.C08-GRID.i4.81530 ran 'drop' on item 'Universal Union Functionary Grade Beverage' (#20469)
[10:14:18]	CCA.C08-GRID.i4.81530 has lost a 'Universal Union Functionary Grade Beverage' #20469.
[10:14:19]	CCA.C08-GRID.i4.81530 ran 'drop' on item 'Civil Protection Functionary Grade Food Product' (#20466)
[10:14:19]	CCA.C08-GRID.i4.81530 has lost a 'Civil Protection Functionary Grade Food Product' #20466.
[10:14:20]	CCA.C08-GRID.i4.81530 ran 'drop' on item 'Civil Protection Functionary Grade Food Product' (#20468)
[10:14:20]	CCA.C08-GRID.i4.81530 has lost a 'Civil Protection Functionary Grade Food Product' #20468.
[10:14:21]	CCA.C08-GRID.i4.81530 ran 'drop' on item 'Civil Protection Functionary Grade Food Product' (#20464)
[10:14:21]	CCA.C08-GRID.i4.81530 has lost a 'Civil Protection Functionary Grade Food Product' #20464.
[10:14:42]	CCA.C08-GRID.i4.81530 ran 'drop' on item 'Universal Union Functionary Grade Beverage' (#20467)
[10:14:42]	CCA.C08-GRID.i4.81530 has lost a 'Universal Union Functionary Grade Beverage' #20467.
[10:14:46]	CCA.C08-GRID.i4.81530 ran 'drop' on item 'Universal Union Functionary Grade Beverage' (#20465)
[10:14:46]	CCA.C08-GRID.i4.81530 has lost a 'Universal Union Functionary Grade Beverage' #20465.
[10:14:49]	CCA.C08-GRID.i4.81530 ran 'drop' on item 'UU Brand Cigarette Pack' (#20260)
[10:14:49]	CCA.C08-GRID.i4.81530 has lost a 'UU Brand Cigarette Pack' #20260.
[10:20:45]	AXION (STEAM_0:1:54101851) has disconnected.
[11:09:06]	The Diophantine has connected.
[11:10:11]	The Diophantine loaded the character 'Howard Hill'
[11:10:20]	Howard Hill opened the '' #1877 container.
[11:10:22]	Howard Hill closed the '' #1877 container.
[11:10:36]	Howard Hill opened the '' #1339 container.
[11:10:38]	Howard Hill closed the '' #1339 container.
[11:13:37]	Howard Hill has taken 5 damage from npc_headcrab.
[11:14:00]	Howard Hill has taken 10 damage from npc_zombine.
[11:14:04]	Howard Hill has taken 5 damage from npc_headcrab_fast.
[11:14:12]	Howard Hill has taken 5 damage from npc_fastzombie.
[11:14:13]	Howard Hill has taken 3 damage from npc_fastzombie.
[11:14:13]	Howard Hill has taken 3 damage from npc_fastzombie.
[11:18:53]	The Diophantine (STEAM_0:1:224926076) has disconnected.
[13:04:54]	DRD has connected.
[13:11:13]	DRD loaded the character 'CCA.C08-GRID.i1.23710'
[13:13:02]	CCA.C08-GRID.i1.23710 entered observer.
[13:13:03]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:13:03]	CCA.C08-GRID.i1.23710 entered observer.
[13:13:51]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:13:51]	CCA.C08-GRID.i1.23710 entered observer.
[13:13:52]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:13:52]	CCA.C08-GRID.i1.23710 entered observer.
[13:13:53]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:14:02]	CCA.C08-GRID.i1.23710 entered observer.
[13:14:11]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:14:12]	CCA.C08-GRID.i1.23710 entered observer.
[13:14:12]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:14:15]	CCA.C08-GRID.i1.23710 entered observer.
[13:14:43]	CCA.C08-GRID.i1.23710 has spawned a 'NPC [2907][npc_citizen]'.
[13:14:47]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:15:01]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[13:15:18]	CCA.C08-GRID.i1.23710 entered observer.
[13:15:24]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:15:25]	CCA.C08-GRID.i1.23710 entered observer.
[13:15:25]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:15:35]	CCA.C08-GRID.i1.23710 entered observer.
[13:15:40]	CCA.C08-GRID.i1.23710 has spawned a 'NPC [123][npc_citizen]'.
[13:15:44]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:15:49]	CCA.C08-GRID.i1.23710 entered observer.
[13:15:52]	CCA.C08-GRID.i1.23710 has spawned a 'NPC [123][npc_citizen]'.
[13:15:56]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:16:00]	CCA.C08-GRID.i1.23710 entered observer.
[13:16:09]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:16:09]	CCA.C08-GRID.i1.23710 entered observer.
[13:16:11]	CCA.C08-GRID.i1.23710 exited observer at their location.
[13:16:13]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[13:16:24]	CCA.C08-GRID.i1.23710 entered observer.
[13:17:36]	DRD (STEAM_0:0:193599766) has disconnected.
[18:15:38]	Dilly_ has connected.
[18:19:01]	DRD has connected.
[18:20:16]	Dilly_ loaded the character 'Crimson'
[18:21:25]	Crimson opened the '' #971 container.
[18:21:39]	Crimson ran 'drop' on item 'UU Brand Cigarette Pack' (#20389)
[18:21:39]	Crimson has lost a 'UU Brand Cigarette Pack' #20389.
[18:21:41]	Crimson has gained a 'Empty Glass Bottle' #20444.
[18:21:43]	Crimson closed the '' #971 container.
[18:21:46]	Crimson opened the '' #1141 container.
[18:21:47]	Crimson closed the '' #1141 container.
[18:24:04]	DRD (STEAM_0:0:193599766) has disconnected (timed out).
[18:25:54]	Dilly_ loaded the character 'CCA.C08-UNION.i1.93347'
[18:26:03]	Dilly_ loaded the character 'Carson Copper'
[18:30:07]	Dilly_ loaded the character 'Crimson'
[18:30:11]	Crimson ran 'Equip' on item 'Empty Glass Bottle' (#20444)
[18:38:49]	DRD has connected.
[18:40:36]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[18:42:49]	DRD loaded the character 'CCA.C08-GRID.i1.23710'
[18:45:05]	DRD (STEAM_0:0:193599766) has disconnected.
[18:51:48]	AtlasGuns88 has connected.
[18:53:48]	Dilly_ has connected.
[18:54:46]	DRD has connected.
[18:55:02]	Dilly_ loaded the character 'Crimson'
[18:55:31]	AtlasGuns88 loaded the character 'Raymon Kalachya'
[18:55:34]	[ME] Crimson: pecks the desk
[18:55:47]	[OOC] Raymon Kalachya: Sup Birdman
[18:57:20]	Raymon Kalachya opened the '' #2069 container.
[18:57:22]	Raymon Kalachya closed the '' #2069 container.
[18:57:26]	Raymon Kalachya opened the '' #2070 container.
[18:57:28]	Raymon Kalachya closed the '' #2070 container.
[18:57:35]	Raymon Kalachya ran 'Consume' on item 'Consulate Water' (#20248)
[18:57:40]	DRD loaded the character 'CCA.C08-GRID.i1.23710'
[18:57:51]	CCA.C08-GRID.i1.23710 entered observer.
[18:57:54]	[OOC] Crimson: the sky
[18:58:01]	[OOC] CCA.C08-GRID.i1.23710: a
[18:58:15]	[OOC] Raymon Kalachya: Come to my store. I dare you
[18:58:19]	[OOC] Crimson: hey drd could you do me a solid and toss that whitelist 
[18:58:26]	[OOC] CCA.C08-GRID.i1.23710: for what
[18:58:27]	[OOC] CCA.C08-GRID.i1.23710: oh
[18:58:34]	matt saton has connected.
[18:58:37]	CCA.C08-GRID.i1.23710 used command '/PlyWhitelist crimson overwatch'.
[18:58:41]	[OOC] CCA.C08-GRID.i1.23710: um
[18:58:42]	[OOC] Crimson: THE WHAT
[18:58:44]	[OOC] CCA.C08-GRID.i1.23710: thats not right
[18:58:49]	CCA.C08-GRID.i1.23710 used command '/PlyWhitelist crimson arm'.
[18:58:50]	[OOC] Crimson: HEY ILL KEEP IT LOL
[18:58:55]	[OOC] CCA.C08-GRID.i1.23710: kk
[18:58:55]	devilsurvivor45 has connected.
[18:58:56]	[OOC] Raymon Kalachya: What'd he give you?
[18:59:07]	[OOC] CCA.C08-GRID.i1.23710: "overwatch transhuman coochie"
[18:59:11]	[OOC] Raymon Kalachya: Uh
[18:59:23]	[OOC] Raymon Kalachya: Ya'll are some weird fuckers
[18:59:24]	CCA.C08-GRID.i1.23710 used command '/PM crims want let out?'.
[18:59:30]	Crimson used command '/PM GRID nah I'm fine'.
[18:59:59]	matt saton loaded the character 'Lee Maylor'
[19:00:00]	Lee Maylor entered observer.
[19:00:09]	Dilly_ created the character 'OTA.C17-ECHO.OWC.69173'
[19:00:09]	OTA.C17-ECHO.OWC.69173 has gained a 'LA71 (Pulse SMG)' #20470.
[19:00:09]	OTA.C17-ECHO.OWC.69173 has gained a 'Pulse Ammunition' #20471.
[19:00:09]	OTA.C17-ECHO.OWC.69173 has gained a 'Pulse Ammunition' #20472.
[19:00:14]	Dilly_ loaded the character 'OTA.C17-ECHO.OWC.69173'
[19:00:21]	[OOC] OTA.C17-ECHO.OWC.69173: void me fellers just setting things up
[19:00:29]	[OOC] Lee Maylor: ah thank you for getting them set upw
[19:00:45]	[OOC] OTA.C17-ECHO.OWC.69173: Q!!! you got OTA animations EEEEE
[19:01:01]	Lee Maylor used command '/CharSetName 69173 OTA.C08-ECHO:OHS.69173'.
[19:01:08]	[OOC] Lee Maylor: DRD can you please biolock his shit
[19:01:11]	[OOC] OTA.C08-ECHO:OHS.69173: you have no idea how nice it is to see 
[19:01:29]	[OOC] OTA.C08-ECHO:OHS.69173: past servers I've been on where lazy with this sorta thing 
[19:01:41]	[OOC] OTA.C08-ECHO:OHS.69173: never have I seen the walking / crouching done right *E*
[19:02:01]	Lee Maylor used command '/CharGiveItem grid blood collection'.
[19:02:08]	CCA.C08-GRID.i1.23710 has gained a 'Blood Collecting Syringe' #20473.
[19:02:08]	Lee Maylor used command '/CharGiveItem grid syringe'.
[19:02:20]	[LOOC] CCA.C08-GRID.i1.23710: hold still
[19:02:22]	CCA.C08-GRID.i1.23710 exited observer at their location.
[19:02:27]	[LOOC] OTA.C08-ECHO:OHS.69173: will do boss
[19:02:27]	CCA.C08-GRID.i1.23710 ran 'DrawBlood' on item 'Blood Collecting Syringe' (#20473)
[19:02:28]	Lee Maylor exited observer at their location.
[19:02:28]	Lee Maylor entered observer.
[19:02:30]	CCA.C08-GRID.i1.23710 has gained a 'Blood Sample' #20474.
[19:02:31]	[OOC] Raymon Kalachya: When you need logistics for your store
[19:02:40]	[OOC] Lee Maylor: when the
[19:02:40]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[19:02:41]	[OOC] Lee Maylor: the
[19:02:42]	devilsurvivor45 loaded the character 'Nova Wrenrey'
[19:02:42]	[OOC] Lee Maylor: when
[19:02:45]	[LOOC] CCA.C08-GRID.i1.23710: can i have your smg pls
[19:02:50]	Lee Maylor exited observer at their location.
[19:02:52]	[OOC] Raymon Kalachya: Leeeeeeeee I need logistics 
[19:02:54]	Lee Maylor entered observer.
[19:02:56]	OTA.C08-ECHO:OHS.69173 ran 'drop' on item 'LA71 (Pulse SMG)' (#20470)
[19:02:56]	OTA.C08-ECHO:OHS.69173 has lost a 'LA71 (Pulse SMG)' #20470.
[19:03:05]	matt saton loaded the character 'Jacob Lawson'
[19:03:06]	Jacob Lawson entered observer.
[19:03:07]	[LOOC] OTA.C08-ECHO:OHS.69173: take good care of it
[19:03:09]	CCA.C08-GRID.i1.23710 ran 'take' on item 'LA71 (Pulse SMG)' (#20470)
[19:03:13]	CCA.C08-GRID.i1.23710 ran 'drop' on item 'Zip Tie' (#20436)
[19:03:13]	CCA.C08-GRID.i1.23710 has lost a 'Zip Tie' #20436.
[19:03:14]	CCA.C08-GRID.i1.23710 ran 'drop' on item 'Zip Tie' (#20437)
[19:03:14]	CCA.C08-GRID.i1.23710 has lost a 'Zip Tie' #20437.
[19:03:15]	CCA.C08-GRID.i1.23710 ran 'drop' on item 'Zip Tie' (#20438)
[19:03:15]	CCA.C08-GRID.i1.23710 has lost a 'Zip Tie' #20438.
[19:03:15]	[OOC] Raymon Kalachya: QQQQQ
[19:03:17]	CCA.C08-GRID.i1.23710 ran 'take' on item 'LA71 (Pulse SMG)' (#20470)
[19:03:17]	CCA.C08-GRID.i1.23710 has gained a 'LA71 (Pulse SMG)' #20470.
[19:03:20]	[LOOC] CCA.C08-GRID.i1.23710: no
[19:03:20]	[OOC] Jacob Lawson: i'm on it bruh
[19:03:21]	[OOC] Jacob Lawson: standby
[19:03:28]	CCA.C08-GRID.i1.23710 has spawned a 'Entity [2919][ix_genecoder]'.
[19:03:34]	[OOC] Raymon Kalachya: Yay :) Also my store's sign isn't there anymore
[19:03:40]	[OOC] Jacob Lawson: gimme second
[19:03:45]	Jacob Lawson used command '/CharGiveItem lawson CWU workers'.
[19:03:46]	CCA.C08-GRID.i1.23710 ran 'Equip' on item 'LA71 (Pulse SMG)' (#20470)
[19:03:48]	CCA.C08-GRID.i1.23710 ran 'drop' on item 'LA71 (Pulse SMG)' (#20470)
[19:03:48]	CCA.C08-GRID.i1.23710 has lost a 'LA71 (Pulse SMG)' #20470.
[19:03:49]	Jacob Lawson used command '/adminspawnmenu'.
[19:03:56]	OTA.C08-ECHO:OHS.69173 ran 'take' on item 'LA71 (Pulse SMG)' (#20470)
[19:03:56]	OTA.C08-ECHO:OHS.69173 has gained a 'LA71 (Pulse SMG)' #20470.
[19:03:59]	OTA.C08-ECHO:OHS.69173 ran 'take' on item 'Zip Tie' (#20438)
[19:03:59]	OTA.C08-ECHO:OHS.69173 has gained a 'Zip Tie' #20438.
[19:04:00]	Jacob Lawson has gained a 'Combine Worker Suit' #20473.
[19:04:00]	Jacob Lawson used command '/CharGiveItem lawson combine worker suit'.
[19:04:01]	OTA.C08-ECHO:OHS.69173 ran 'take' on item 'Zip Tie' (#20436)
[19:04:01]	OTA.C08-ECHO:OHS.69173 has gained a 'Zip Tie' #20436.
[19:04:04]	OTA.C08-ECHO:OHS.69173 ran 'take' on item 'Zip Tie' (#20437)
[19:04:04]	OTA.C08-ECHO:OHS.69173 has gained a 'Zip Tie' #20437.
[19:04:06]	[LOOC] CCA.C08-GRID.i1.23710: oh those are mine :/
[19:04:08]	[LOOC] OTA.C08-ECHO:OHS.69173: radio? c:
[19:04:10]	[LOOC] OTA.C08-ECHO:OHS.69173: o shit
[19:04:13]	OTA.C08-ECHO:OHS.69173 ran 'drop' on item 'Zip Tie' (#20436)
[19:04:13]	OTA.C08-ECHO:OHS.69173 has lost a 'Zip Tie' #20436.
[19:04:14]	OTA.C08-ECHO:OHS.69173 ran 'drop' on item 'Zip Tie' (#20437)
[19:04:14]	OTA.C08-ECHO:OHS.69173 has lost a 'Zip Tie' #20437.
[19:04:15]	OTA.C08-ECHO:OHS.69173 ran 'drop' on item 'Zip Tie' (#20438)
[19:04:15]	OTA.C08-ECHO:OHS.69173 has lost a 'Zip Tie' #20438.
[19:04:17]	[LOOC] CCA.C08-GRID.i1.23710: i can get more
[19:04:22]	CCA.C08-GRID.i1.23710 used command '/adminspawnmenu'.
[19:04:25]	Jacob Lawson ran 'Equip' on item 'Combine Worker Suit' (#20473)
[19:04:26]	[LOOC] OTA.C08-ECHO:OHS.69173: might need a pouch as well 
[19:04:26]	Jacob Lawson ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#784)
[19:04:27]	Jacob Lawson ran 'Equip' on item 'Combine Worker Suit' (#20473)
[19:04:29]	Jacob Lawson ran 'equip' on item 'Citizen Filter' (#787)
[19:04:33]	Raymon Kalachya opened the '' #2053 container.
[19:04:35]	Raymon Kalachya closed the '' #2053 container.
[19:04:35]	Jacob Lawson exited observer at their location.
[19:04:35]	Jacob Lawson entered observer.
[19:04:36]	Jacob Lawson exited observer at their location.
[19:04:43]	Jacob Lawson entered observer.
[19:04:43]	OTA.C08-ECHO:OHS.69173 ran 'Equip' on item 'LA71 (Pulse SMG)' (#20470)
[19:04:43]	Jacob Lawson exited observer at their location.
[19:04:44]	Jacob Lawson entered observer.
[19:04:44]	Jacob Lawson exited observer at their location.
[19:04:52]	Jacob Lawson entered observer.
[19:04:56]	CCA.C08-GRID.i1.23710 has spawned "Hybrid Radio"
[19:05:12]	[OOC] Raymon Kalachya: Grid
[19:05:16]	CCA.C08-GRID.i1.23710 ran 'take' on item 'Zip Tie' (#20438)
[19:05:16]	CCA.C08-GRID.i1.23710 has gained a 'Zip Tie' #20438.
[19:05:20]	CCA.C08-GRID.i1.23710 ran 'take' on item 'Zip Tie' (#20437)
[19:05:20]	CCA.C08-GRID.i1.23710 has gained a 'Zip Tie' #20437.
[19:05:22]	CCA.C08-GRID.i1.23710 ran 'take' on item 'Zip Tie' (#20436)
[19:05:22]	CCA.C08-GRID.i1.23710 has gained a 'Zip Tie' #20436.
[19:05:25]	Jacob Lawson exited observer at their location.
[19:05:26]	OTA.C08-ECHO:OHS.69173 ran 'take' on item 'Hybrid Radio' (#20474)
[19:05:26]	OTA.C08-ECHO:OHS.69173 has gained a 'Hybrid Radio' #20474.
[19:05:27]	Jacob Lawson entered observer.
[19:05:35]	Jacob Lawson has lost 7 tokens.
[19:05:44]	[OOC] CCA.C08-GRID.i1.23710: stand by i am seeing funky things in my vision i'll tend to you in a sec
[19:05:45]	CCA.C08-GRID.i1.23710 entered observer.
[19:05:50]	[OOC] Raymon Kalachya: Ok
[19:06:01]	Jacob Lawson exited observer at their location.
[19:06:03]	[OOC] CCA.C08-GRID.i1.23710: ok im fine
[19:06:09]	[LOOC] Raymon Kalachya: Ah fuck, scared the shit outa me
[19:06:14]	[LOOC] CCA.C08-GRID.i1.23710: wassup
[19:06:17]	[OOC] Raymon Kalachya: I just wanted you to serve rations
[19:06:21]	[LOOC] Raymon Kalachya: Git feller
[19:06:23]	[OOC] Jacob Lawson: hold on i know fuckin uhhhh
[19:06:29]	[OOC] Jacob Lawson: nova needs you
[19:06:29]	Jacob Lawson entered observer.
[19:06:32]	Jacob Lawson exited observer at their location.
[19:06:55]	[Y] Jacob Lawson: Hello?
[19:07:26]	CCA.C08-GRID.i1.23710 exited observer at their location.
[19:07:27]	OTA.C08-ECHO:OHS.69173 ran 'Frequency' on item 'Hybrid Radio' (#20474)
[19:07:38]	CCA.C08-GRID.i1.23710 entered observer.
[19:07:40]	CCA.C08-GRID.i1.23710 exited observer at their location.
[19:07:40]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[19:07:41]	CCA.C08-GRID.i1.23710 entered observer.
[19:07:42]	CCA.C08-GRID.i1.23710 exited observer at their location.
[19:07:51]	OTA.C08-ECHO:OHS.69173 used command '/SetFreq 329.1'.
[19:07:53]	[OOC] CCA.C08-GRID.i1.23710: ratiom :)
[19:07:59]	[OOC] Raymon Kalachya: Fucc
[19:08:03]	[OOC] Raymon Kalachya: I'm rping now
[19:08:09]	[OOC] CCA.C08-GRID.i1.23710: ratiom :(
[19:08:10]	[OOC] Jacob Lawson: make sure to hit the ration terminal too
[19:08:13]	[OOC] Jacob Lawson: the one with hte buttons
[19:08:13]	[OOC] CCA.C08-GRID.i1.23710: i did
[19:08:15]	Jacob Lawson entered observer.
[19:08:16]	OTA.C08-ECHO:OHS.69173 used command '/ViewCamera Wilm's'.
[19:08:22]	[OOC] Jacob Lawson: ah my bad you did
[19:08:22]	OTA.C08-ECHO:OHS.69173 used command '/ViewCamera Wilm's'.
[19:08:24]	Jacob Lawson exited observer at their location.
[19:08:24]	Jacob Lawson entered observer.
[19:08:25]	Jacob Lawson exited observer at their location.
[19:08:28]	Nova Wrenrey used command '/Apply'.
[19:08:32]	CCA.C08-GRID.i1.23710 used command '/ViewData nova'.
[19:08:36]	CCA.C08-GRID.i1.23710 used command '/ViewData nova'.
[19:08:41]	CCA.C08-GRID.i1.23710 used the 'Ration Supply' vendor.
[19:08:48]	CCA.C08-GRID.i1.23710 has gained 0 tokens.
[19:08:48]	CCA.C08-GRID.i1.23710 has gained a 'Standard Grade Ration' #20476.
[19:08:55]	CCA.C08-GRID.i1.23710 ran 'drop' on item 'Standard Grade Ration' (#20476)
[19:08:55]	CCA.C08-GRID.i1.23710 has lost a 'Standard Grade Ration' #20476.
[19:08:58]	Nova Wrenrey ran 'take' on item 'Standard Grade Ration' (#20476)
[19:08:58]	Nova Wrenrey has gained a 'Standard Grade Ration' #20476.
[19:09:07]	OTA.C08-ECHO:OHS.69173 used command '/CharDesc'.
[19:09:15]	Raymon Kalachya used command '/Apply'.
[19:09:21]	CCA.C08-GRID.i1.23710 used command '/ViewData raymo'.
[19:09:37]	[LOOC] Raymon Kalachya: Cut that out 
[19:09:43]	[LOOC] Raymon Kalachya: Or I cut your tongue out
[19:09:47]	[LOOC] Raymon Kalachya: :)
[19:09:52]	[LOOC] Jacob Lawson: mutes still have fingers :)
[19:09:57]	[LOOC] Jacob Lawson: bite my shiny metal flashlight
[19:10:11]	[LOOC] Raymon Kalachya: The CP fuckin died
[19:10:14]	[LOOC] Raymon Kalachya: He gone
[19:10:17]	CCA.C08-GRID.i1.23710 used the 'Ration Supply' vendor.
[19:10:21]	CCA.C08-GRID.i1.23710 has gained 0 tokens.
[19:10:21]	CCA.C08-GRID.i1.23710 has gained a 'Standard Grade Ration' #20477.
[19:10:21]	[LOOC] Jacob Lawson: he's back now
[19:10:24]	[LOOC] Raymon Kalachya: Oh goodie
[19:10:28]	CCA.C08-GRID.i1.23710 ran 'drop' on item 'Standard Grade Ration' (#20477)
[19:10:28]	CCA.C08-GRID.i1.23710 has lost a 'Standard Grade Ration' #20477.
[19:10:29]	CCA.C08-GRID.i1.23710 used the 'Ration Supply' vendor.
[19:10:31]	Raymon Kalachya ran 'take' on item 'Standard Grade Ration' (#20477)
[19:10:31]	Raymon Kalachya has gained a 'Standard Grade Ration' #20477.
[19:10:31]	CCA.C08-GRID.i1.23710 has gained 0 tokens.
[19:10:31]	CCA.C08-GRID.i1.23710 has gained a 'Standard Grade Ration' #20478.
[19:10:36]	CCA.C08-GRID.i1.23710 ran 'drop' on item 'Standard Grade Ration' (#20478)
[19:10:36]	CCA.C08-GRID.i1.23710 has lost a 'Standard Grade Ration' #20478.
[19:10:38]	Raymon Kalachya ran 'take' on item 'Standard Grade Ration' (#20478)
[19:10:38]	Raymon Kalachya has gained a 'Standard Grade Ration' #20478.
[19:10:49]	[LOOC] CCA.C08-GRID.i1.23710: just fucking leans into the booth
[19:10:54]	[ME] Raymon Kalachya: takes the rations, holding one under each arm
[19:11:02]	Jacob Lawson used command '/Apply'.
[19:11:08]	[LOOC] CCA.C08-GRID.i1.23710: no rations for you
[19:11:10]	Raymon Kalachya used the 'Street Market' vendor.
[19:11:13]	Raymon Kalachya has lost 2 tokens.
[19:11:13]	Raymon Kalachya has gained a 'Paper' #20479.
[19:11:15]	CCA.C08-GRID.i1.23710 used command '/ViewData jacob'.
[19:11:18]	[LOOC] Jacob Lawson: fuck you in the weird pockets
[19:11:19]	CCA.C08-GRID.i1.23710 used the 'Ration Supply' vendor.
[19:11:23]	CCA.C08-GRID.i1.23710 has gained 0 tokens.
[19:11:23]	CCA.C08-GRID.i1.23710 has gained a 'Standard Grade Ration' #20480.
[19:11:31]	[LOOC] CCA.C08-GRID.i1.23710: my pockets are very normal
[19:11:35]	Raymon Kalachya ran 'Edit' on item 'Paper' (#20479)
[19:11:35]	CCA.C08-GRID.i1.23710 ran 'Open' on item 'Standard Grade Ration' (#20480)
[19:11:35]	CCA.C08-GRID.i1.23710 has gained a 'Standard Grade Citizen Food Product' #20481.
[19:11:35]	CCA.C08-GRID.i1.23710 has gained a 'Consulate Water' #20482.
[19:11:35]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[19:11:38]	[LOOC] CCA.C08-GRID.i1.23710: oops
