[00:00:02]	[OOC] Jack Kingston: ban
[00:05:02]	[LOOC] Aurelio Grau: Guess you could say that it hasn't been as long as it really was
[00:05:05]	[ME] CCA.C17-UNION.i5.83253: Would reach into his vest taking out a pair of zipties, attempting to tie the mans hands together...Unless he resisted
[00:05:08]	[LOOC] Ephraim 'Loew' Harris: true, we could do that if you want
[00:05:12]	[LOOC] Ephraim 'Loew' Harris: how do youy want to handle it
[00:05:13]	[ME] Shamish McFarlen: would comply
[00:05:18]	CCA.C17-UNION.i5.83253 ran 'Use' on item 'Zip Tie' (#41411)
[00:05:22]	David Steves used command '/CharFallOver'.
[00:05:23]	[LOOC] Aurelio Grau: seems simple enough with very little plot holes
[00:05:34]	[LOOC] Aurelio Grau: so ye just been a couple days?
[00:05:34]	Ephraim 'Loew' Harris entered observer.
[00:05:46]	[LOOC] Aurelio Grau: something like that. you gotta do the rest though
[00:05:49]	David Steves used command '/CharGetUp'.
[00:05:56]	David Steves used command '/CharFallOver'.
[00:05:58]	David Steves used command '/CharGetUp'.
[00:05:59]	David Steves used command '/CharGetUp'.
[00:05:59]	[LOOC] Ephraim 'Loew' Harris: yeah that sounds good
[00:06:00]	[OOC] Aurelio Grau: hello am i going crazy
[00:06:00]	David Steves used command '/CharGetUp'.
[00:06:01]	David Steves used command '/CharGetUp'.
[00:06:05]	[OOC] Shamish McFarlen: yeah
[00:06:06]	CCA.C17-UNION.i5.83253 has gained 10 tokens.
[00:06:07]	[LOOC] Ephraim 'Loew' Harris: are you phasing thorugh mge
[00:06:09]	[LOOC] Aurelio Grau: yes
[00:06:12]	[LOOC] Ephraim 'Loew' Harris: how the fuck
[00:06:13]	David Steves used command '/CharFallOver'.
[00:06:16]	[LOOC] Aurelio Grau: and you have no desc or name
[00:06:16]	David Steves used command '/CharGetUp'.
[00:06:16]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:06:17]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:06:21]	[LOOC] Aurelio Grau: no walking anim
[00:06:22]	[LOOC] Ephraim 'Loew' Harris: um
[00:06:25]	[LOOC] Ephraim 'Loew' Harris: something might have borken
[00:06:29]	David Steves used command '/CharGetUp'.
[00:06:36]	[LOOC] Aurelio Grau: also no mask
[00:06:39]	[LOOC] Ephraim 'Loew' Harris: yeah on mask
[00:06:40]	David Steves used command '/CharFallOver'.
[00:06:40]	CCA.C17-UNION.i5.83253 used command '/Radio Located other 10-91 at metropol, Charged with 723a, 148. Delivering sentence'.
[00:06:43]	[LOOC] Aurelio Grau: this is unsettling
[00:06:51]	[OOC] OTA.S17-ECHO.OAS.10512: holy fuck Q 
[00:06:51]	[LOOC] Aurelio Grau: no head
[00:06:53]	[LOOC] Aurelio Grau: no person
[00:06:54]	[OOC] Ephraim 'Loew' Harris: uh
[00:06:56]	[OOC] OTA.S17-ECHO.OAS.10512: look 
[00:06:58]	[OOC] Shamish McFarlen: huh?
[00:06:59]	[OOC] Ephraim 'Loew' Harris: d oyou guys have a walking aniumation
[00:07:04]	[OOC] OTA.C17-ECHO.OAS.85171: yes
[00:07:07]	[ME] CCA.C17-UNION.i5.83253: Would grab the man by his arm, yanking him alongside
[00:07:15]	[LOOC] Ephraim 'Loew' Harris: what hte fuck
[00:07:16]	[LOOC] Ephraim 'Loew' Harris: why am i gone
[00:07:17]	[LOOC] Aurelio Grau: you are invis 100%
[00:07:34]	[OOC] David Steves: I will escape
[00:07:35]	[LOOC] Ephraim 'Loew' Harris: am i back
[00:07:37]	[ME] CCA.C17-UNION.i5.83253: Pushes the man against the wall infront of him
[00:07:40]	[OOC] OTA.S17-ECHO.OAS.10512: you will not 
[00:07:40]	[LOOC] Ephraim 'Loew' Harris: i tried to restart pac
[00:07:41]	[LOOC] Aurelio Grau: no
[00:07:45]	[OOC] David Steves: I will
[00:07:53]	[LOOC] Ephraim 'Loew' Harris: what the fuck
[00:08:01]	[OOC] David Steves: I will kill myself in the real life of world
[00:08:05]	[OOC] OTA.S17-ECHO.OAS.10512: based 
[00:08:06]	[OOC] David Steves: and escape to hell
[00:08:08]	[ME] CCA.C17-UNION.i5.83253: Would reach into his vest taking out a black bag, putting it over the mans head
[00:08:15]	[OOC] Ephraim 'Loew' Harris: hey uh
[00:08:17]	[OOC] Aurelio Grau: then escape from hell and torment us all
[00:08:18]	[OOC] Ephraim 'Loew' Harris: i think i broke myself using pac
[00:08:21]	[OOC] OTA.S17-ECHO.OAS.10512: how 
[00:08:27]	Shamish McFarlen used command '/Apply'.
[00:08:31]	CCA.C17-UNION.i5.83253 used command '/ViewData Shamish'.
[00:08:42]	[ME] CCA.C17-UNION.i5.83253: Would grab the man by his arm, yanking him alongside
[00:08:43]	[OOC] Ephraim 'Loew' Harris: i'm invisible and my outfit menu  is empty
[00:08:46]	[OOC] Ephraim 'Loew' Harris: i have no pac elements
[00:08:48]	[OOC] Ephraim 'Loew' Harris: and i am invisible
[00:08:48]	[OOC] OTA.S17-ECHO.OAS.10512: what 
[00:08:51]	Mr. Chief has connected.
[00:08:52]	[OOC] OTA.S17-ECHO.OAS.10512: ho-
[00:08:53]	[OOC] OTA.S17-ECHO.OAS.10512: what 
[00:08:56]	[OOC] Ephraim 'Loew' Harris: i don't fucking know
[00:09:00]	[OOC] OTA.S17-ECHO.OAS.10512: send me an image
[00:09:11]	[OOC] Ephraim 'Loew' Harris: what the fuck do you want me to send you i am invisible
[00:09:13]	[OOC] Ephraim 'Loew' Harris: no seriously though one sec
[00:09:24]	[LOOC] Shamish McFarlen: I wann push
[00:10:16]	[ME] CCA.C17-UNION.i5.83253: Slams the man against the wall infront of him
[00:10:16]	[OOC] Ephraim 'Loew' Harris: i am going to.
[00:10:17]	[OOC] Ephraim 'Loew' Harris: rejoin.
[00:10:21]	[OOC] Ephraim 'Loew' Harris: because i really broke something
[00:10:23]	matt saton (STEAM_0:1:53097688) has disconnected.
[00:10:39]	[OOC] OTA.C17-ECHO.OAS.85171: light crashed
[00:10:47]	[W] Shamish McFarlen: Shite.
[00:10:47]	[OOC] Aurelio Grau: rip
[00:10:53]	David Steves used command '/CharGetUp'.
[00:10:55]	[ME] CCA.C17-UNION.i5.83253: Bashes the man in the back of his head 3 times
[00:10:56]	Shamish McFarlen has taken 6 damage from CCA.C17-UNION.i5.83253.
[00:10:57]	Shamish McFarlen has taken 6 damage from CCA.C17-UNION.i5.83253.
[00:10:58]	Shamish McFarlen has taken 6 damage from CCA.C17-UNION.i5.83253.
[00:10:58]	CCA.C17-UNION.i5.83253 has killed Shamish McFarlen with ix_stunstick.
[00:11:01]	[OOC] Shamish McFarlen: wow
[00:11:02]	David Steves used command '/CharFallOver'.
[00:11:06]	CCA.C17-UNION.i5.83253 has gained 10 tokens.
[00:11:11]	[OOC] CCA.C17-UNION.i5.83253: Huh
[00:11:12]	[OOC] Shamish McFarlen: CPs be angy today
[00:11:19]	[OOC] CCA.C17-UNION.i5.83253: That wasn't supposed to happen
[00:11:20]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected (timed out).
[00:11:23]	[OOC] CCA.C17-UNION.i5.83253: Wanna get a TP back?
[00:11:24]	[OOC] Shamish McFarlen: no shit
[00:11:35]	OTA.C17-ECHO.OAS.85171 has spawned 'models/nemez/combine_soldiers/combine_soldier_f.mdl'.
[00:11:35]	[OOC] Shamish McFarlen: if you want
[00:11:36]	[OOC] Shamish McFarlen: if you want
[00:11:41]	matt saton has connected.
[00:11:45]	Mr. Chief loaded the character 'CCA.C17-UNION.i3.29852'
[00:11:52]	CCA.C17-UNION.i5.83253 used command '/CharGiveItem Union zip ties 4'.
[00:11:53]	[OOC] Shamish McFarlen: lagging like a mofo
[00:11:55]	CCA.C17-UNION.i5.83253 has gained a 'Zip Tie' #44769.
[00:11:55]	CCA.C17-UNION.i5.83253 has gained a 'Zip Tie' #44770.
[00:11:55]	CCA.C17-UNION.i5.83253 has gained a 'Zip Tie' #44771.
[00:11:55]	CCA.C17-UNION.i5.83253 used command '/CharGiveItem Union zip tie 3'.
[00:11:57]	CCA.C17-UNION.i5.83253 ran 'Use' on item 'Zip Tie' (#44771)
[00:12:01]	wendigo loaded the character 'Ava Carter'
[00:12:07]	CCA.C17-UNION.i3.29852 used command '/Radio Unit reporting 10-8.'.
[00:12:07]	David Steves used command '/CharGetUp'.
[00:12:15]	Ava Carter opened the 'Large Refrigerator' #3348 container.
[00:12:17]	David Steves used command '/CharFallOver'.
[00:12:18]	Ava Carter closed the 'Large Refrigerator' #3348 container.
[00:12:18]	CCA.C17-UNION.i3.29852 used command '/Radio Status Report?'.
[00:12:18]	Jack Kingston has lost 10 tokens.
[00:12:19]	Jack Kingston has lost 5 tokens.
[00:12:21]	Jack Kingston ran 'take' on item 'Sparkling Consulate Water' (#44771)
[00:12:21]	Jack Kingston has gained a 'Sparkling Consulate Water' #44771.
[00:12:23]	Jack Kingston ran 'take' on item 'UU Brand Chips' (#44772)
[00:12:23]	Jack Kingston has gained a 'UU Brand Chips' #44772.
[00:12:30]	David Steves used command '/CharGetUp'.
[00:12:30]	Jack Kingston ran 'Consume' on item 'UU Brand Chips' (#44772)
[00:12:32]	David Steves used command '/CharGetUp'.
[00:12:32]	[W] Shamish McFarlen: Who's on that side?
[00:12:32]	Jack Kingston ran 'Consume' on item 'Sparkling Consulate Water' (#44771)
[00:12:32]	Jack Kingston has gained a 'Empty Sparkling Consulate Water Can' #44772.
[00:12:34]	David Steves used command '/CharGetUp'.
[00:12:37]	David Steves used command '/CharGetUp'.
[00:12:38]	David Steves used command '/CharGetUp'.
[00:12:38]	David Steves used command '/CharGetUp'.
[00:12:40]	David Steves used command '/CharGetUp'.
[00:12:41]	David Steves has taken 50 damage from worldspawn.
[00:12:41]	David Steves used command '/CharGetUp'.
[00:12:45]	[LOOC] Shamish McFarlen: LMAO
[00:12:47]	CCA.C17-UNION.i5.83253 entered observer.
[00:12:48]	[OOC] David Steves: FREEDOM DUMBASS
[00:12:49]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:12:54]	[OOC] Shamish McFarlen: PFTTT
[00:12:56]	[OOC] David Steves: I TOLD YOU I'D ESCAPE
[00:13:00]	CCA.C17-UNION.i5.83253 entered observer.
[00:13:02]	David Steves used command '/CharGetUp'.
[00:13:05]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:13:06]	[OOC] Shamish McFarlen: I'll wait to watch
[00:13:07]	Jack Kingston has gained a 'Wires' #44773.
[00:13:11]	Jack Kingston opened the 'Trash Bin' #251 container.
[00:13:21]	[ME] CCA.C17-UNION.i5.83253: Would grab the man by his arm, yanking him alongside
[00:13:21]	Jack Kingston closed the 'Trash Bin' #251 container.
[00:13:27]	CCA.C17-UNION.i3.29852 used command '/Radio U-832, requesting status update.'.
[00:13:33]	CCA.C17-UNION.i5.83253 used command '/Radio Standby...'.
[00:14:03]	[OOC] CCA.C17-UNION.i3.29852: invisible guy?
[00:14:07]	CCA.C17-UNION.i5.83253 used command '/Radio Mostly calm, had a situation at metropol, 2 10-91s detained and sentenced.'.
[00:14:16]	CCA.C17-UNION.i3.29852 used command '/Radio Copy that.'.
[00:14:22]	[OOC] Shamish McFarlen: i'm boutta go watch a movie
[00:14:55]	[ME] CCA.C17-UNION.i5.83253: Would yank the bag off the mans head, taking out a combat knife, cutting his zipties off
[00:15:06]	Shamish McFarlen used command '/CharFallOver'.
[00:15:08]	Shamish McFarlen used command '/CharGetUp'.
[00:15:09]	Shamish McFarlen used command '/CharGetUp'.
[00:15:11]	Shamish McFarlen used command '/CharGetUp'.
[00:15:11]	CCA.C17-UNION.i5.83253 entered observer.
[00:15:13]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:15:19]	CCA.C17-UNION.i5.83253 used command '/Radio 1 10-91 Released'.
[00:15:21]	[OOC] David Steves: freedom
[00:15:24]	CCA.C17-UNION.i5.83253 entered observer.
[00:15:28]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:15:36]	CCA.C17-UNION.i3.29852 used command '/Radio 10-4, remember to keep detainment cell doors shut.'.
[00:15:40]	CCA.C17-UNION.i5.83253 entered observer.
[00:15:46]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:15:56]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:15:59]	CCA.C17-UNION.i5.83253 used command '/Radio 10-4, Gotta take a few LPs off the others record'.
[00:16:08]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:16:11]	CCA.C17-UNION.i5.83253 has gained 10 tokens.
[00:16:27]	David Steves has gained a 'Pack of Nails' #44774.
[00:16:41]	David Steves has gained a 'Cinderblock' #44775.
[00:16:45]	CCA.C17-UNION.i3.29852 has gained 10 tokens.
[00:17:00]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:17:03]	[ME] CCA.C17-UNION.i5.83253: Would reach into his vest taking out his PDA, turning it on it would cover his mask with a bright, blue tint...He'd being to type on it
[00:17:09]	CCA.C17-UNION.i5.83253 used command '/ViewData Shamish'.
[00:17:12]	David Steves opened the 'Dumpster' #3313 container.
[00:17:12]	David Steves closed the 'Dumpster' #3313 container.
[00:17:14]	[OOC] OTA.C17-ECHO.OAS.85171: there
[00:17:16]	[OOC] OTA.C17-ECHO.OAS.85171: i love pac3
[00:17:18]	[LOOC] Shamish McFarlen: I did that so you could I can get your attention as idk if you were out of /y range
[00:17:25]	[OOC] OTA.C17-ECHO.OAS.85171: i replaced the goofy fingerless gloves we use for ota
[00:17:25]	David Steves has gained a 'Powercord' #44776.
[00:17:34]	FB|| light ROOM has connected.
[00:17:36]	[ME] CCA.C17-UNION.i3.29852: would stand back, clipping his stunstick to his belt as he crossed his arms, looking to the citizen.
[00:17:44]	David Steves has gained a 'Graphics Card' #44777.
[00:18:00]	[OOC] David Steves: NO WAY, I FOUND AN RTX 3090 IN THIS DUMPSTER
[00:18:06]	matt saton loaded the character 'Ephraim 'Loew' Harris'
[00:18:08]	[OOC] Shamish McFarlen: you fool 
[00:18:11]	[OOC] Ephraim 'Loew' Harris: my soul
[00:18:20]	[LOOC] Aurelio Grau: welcome back to the land of the living
[00:18:25]	OTA.C17-ECHO.OAS.85171 used command '/CharDesc'.
[00:18:26]	FB|| light ROOM loaded the character 'OTA.C17-ECHO.OHZ.59282'
[00:18:29]	[OOC] Shamish McFarlen: someone had  way more and can mine you out of exhistance
[00:18:40]	[OOC] OTA.C17-ECHO.OHZ.59282: I will not work on PAC for all of my OTA  and what not, also what's going on with your PAC Q
[00:19:01]	[ME] CCA.C17-UNION.i5.83253: Would grab onto the mans arm, yanking him alongside
[00:19:08]	David Steves has gained a 'Circuit Board' #44778.
[00:19:11]	OTA.C17-ECHO.OAS.85171 used command '/CharDesc This OTA stands just shy of 6'5", with a glowing amber visor, and standard bulky armour.'.
[00:19:16]	David Steves has gained a 'Bolts' #44779.
[00:19:18]	[ME] Shamish McFarlen: would practicaly be lifted up as he is dragged
[00:19:20]	David Steves opened the 'Dumpster' #2736 container.
[00:19:23]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:19:28]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:19:29]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:19:47]	David Steves closed the 'Dumpster' #2736 container.
[00:19:48]	[ME] CCA.C17-UNION.i3.29852: would unclip his stunstick once more, holding it with his right hand.
[00:19:49]	[W] Shamish McFarlen: Fucken biggers yelling for my lucky charms.
[00:19:55]	David Steves opened the 'Dumpster' #2549 container.
[00:19:58]	David Steves closed the 'Dumpster' #2549 container.
[00:20:03]	wendigo loaded the character 'Sona la Rona'
[00:20:05]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:20:06]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:20:10]	Sona la Rona ran 'Consume' on item 'UU Brand Corn' (#44766)
[00:20:26]	[ME] Jack Kingston: breaks it down infront of the camera.
[00:20:32]	[LOOC] David Steves: yo bro, you want an rtx 3090
[00:20:40]	[LOOC] Ephraim 'Loew' Harris: lmao
[00:20:48]	[ME] CCA.C17-UNION.i5.83253: Pushes the man against the wall infront of him, taking out a combat knife and cutting the mans zipties off before ripping off his black bag
[00:20:53]	Sona la Rona ran 'View' on item 'Paper' (#44761)
[00:20:59]	David Steves ran 'drop' on item 'Graphics Card' (#44777)
[00:20:59]	David Steves has lost a 'Graphics Card' #44777.
[00:21:11]	CCA.C17-UNION.i5.83253 has gained 10 tokens.
[00:21:15]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:21:17]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:21:18]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:21:21]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:21:23]	CCA.C17-UNION.i5.83253 entered observer.
[00:21:37]	Broken_Bak (STEAM_0:0:634777787) has disconnected.
[00:21:42]	[ME] CCA.C17-UNION.i3.29852: reaches into a small pouch and takes out a handful of tokens, handing them to him.
[00:21:45]	CCA.C17-UNION.i3.29852 has lost 20 tokens.
[00:21:45]	CCA.C17-UNION.i3.29852 used command '/DropTokens 20'.
[00:21:45]	CCA.C17-UNION.i3.29852 has gained 10 tokens.
[00:22:01]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:22:02]	[ME] Shamish McFarlen: heasintly takes the tokens
[00:22:05]	Shamish McFarlen has gained 20 tokens.
[00:22:17]	CCA.C17-UNION.i5.83253 used command '/Radio U.83253 is 10-50'.
[00:22:18]	Jack Kingston opened the 'Dumpster' #2736 container.
[00:22:21]	Jack Kingston closed the 'Dumpster' #2736 container.
[00:22:29]	OTA.C17-ECHO.OHZ.59282 used command '/Radio Solid copy.'.
[00:22:43]	OTA.C17-ECHO.OHZ.59282 used command '/CharDesc'.
[00:23:02]	[LOOC] Ephraim 'Loew' Harris: accident
[00:23:12]	CCA.C17-UNION.i5.83253 used command '/Radio Is Code SWORD still active?'.
[00:23:24]	[OOC] Shamish McFarlen: I go watch movie now
[00:23:41]	[OOC] Shamish McFarlen: toodolls
[00:23:43]	CCA.C17-UNION.i5.83253 entered observer.
[00:23:47]	Mal0 v0.9 (STEAM_0:1:207594832) has disconnected.
[00:23:52]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:23:54]	OTA.C17-ECHO.OHZ.59282 used command '/CharDesc The Grunt unit before stood at 6'5 with a muscular build. He'd talk in a southern drawl underneath his light vocoder, a OSIS seen around his back along with other pieces of equipment.'.
[00:24:25]	CCA.C17-UNION.i5.83253 entered observer.
[00:24:34]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:24:56]	CCA.C17-UNION.i5.83253 ran 'View' on item 'Notepad' (#3034)
[00:24:56]	matt saton (STEAM_0:1:53097688) has disconnected.
[00:24:58]	CCA.C17-UNION.i5.83253 ran 'View' on item 'Notepad' (#3069)
[00:25:37]	[ME] CCA.C17-UNION.i5.83253: Would reach into his vest taking out a small rag, wetting it under the sink before throwing it onto the roof, it sticking to it
[00:25:39]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:25:41]	[W] CCA.C17-UNION.i5.83253: <:: Haha. ::>
[00:25:43]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:25:47]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:25:56]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:25:56]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:25:57]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:25:57]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:25:57]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:25:58]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:25:58]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:25:58]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:25:59]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:25:59]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:25:59]	CCA.C17-UNION.i5.83253 entered observer.
[00:26:01]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:03]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:03]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:03]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:04]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:04]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:04]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:05]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:05]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:05]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:06]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:06]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:06]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:07]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:09]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:10]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:26:11]	CCA.C17-UNION.i5.83253 has gained 10 tokens.
[00:26:11]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:12]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:12]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:12]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:13]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:13]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:13]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:14]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:14]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:14]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:14]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:14]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:15]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:15]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:15]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:15]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:15]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:16]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:16]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:16]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:16]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:16]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:17]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:17]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:17]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:18]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:18]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:18]	CCA.C17-UNION.i5.83253 used command '/Radio U.83253 is 10-7'.
[00:26:19]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:19]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:19]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:20]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:20]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:20]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:26:21]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:26:21]	Bean loaded the character 'Alex Palovichov'
[00:26:23]	Alex Palovichov entered observer.
[00:26:26]	CCA.C17-UNION.i3.29852 used command '/Radio 10-4.'.
[00:26:29]	OTA.C17-ECHO.OHZ.59282 used command '/Radio Copy'.
[00:26:44]	Alex Palovichov exited observer at their location.
[00:26:45]	CCA.C17-UNION.i3.29852 has gained 10 tokens.
[00:26:48]	[OOC] Alex Palovichov: Cya my amigos
[00:26:52]	[OOC] OTA.C17-ECHO.OHZ.59282: aight man 
[00:26:55]	Bean (STEAM_0:1:591779303) has disconnected.
[00:27:18]	Enclave loaded the character 'The raven named Charles'
[00:27:22]	FB|| light ROOM loaded the character 'OTA.C17-KILO.OSS.66124'
[00:28:05]	The raven named Charles has taken 5 damage from Sona la Rona.
[00:28:05]	Sona la Rona has killed The raven named Charles with ix_hands.
[00:28:13]	[OOC] The raven named Charles: man in doing pac stuff
[00:28:18]	OTA.C17-ECHO.OAS.85171 entered observer.
[00:28:20]	[OOC] OTA.C17-KILO.OSS.66124: do be doing  PAC stuff
[00:28:21]	[OOC] Sona la Rona: to bad
[00:28:37]	OTA.C17-ECHO.OAS.85171 exited observer at their location.
[00:28:41]	wendigo (STEAM_0:1:429480781) has disconnected.
[00:29:25]	matt saton has connected.
