[01:34:55]	Mr.Ganar has connected.
[15:15:49]	Alex Palovichov has lost a 'Documents Case' #24746.
[15:15:49]	Alex Palovichov has lost a 'Citizen ID' #24488.
[15:15:49]	Alex Palovichov has lost a 'Civil Workers' Union ID' #24489.
[15:15:49]	Alex Palovichov has lost a 'Paper' #24871.
[15:15:52]	Alex Palovichov ran 'take' on item 'Documents Case' (#24746)
[15:15:52]	Alex Palovichov has gained a 'Documents Case' #24746.
[15:15:52]	Alex Palovichov has gained a 'Citizen ID' #24488.
[15:15:52]	Alex Palovichov has gained a 'Civil Workers' Union ID' #24489.
[15:15:52]	Alex Palovichov has gained a 'Paper' #24871.
[15:16:28]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[15:16:33]	Alex Palovichov has gained a 'Minimum Grade Supplements (Fish Flavor)' #28209.
[15:16:39]	Alex Palovichov opened the '' #251 container.
[15:16:41]	Alex Palovichov closed the '' #251 container.
[15:16:43]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[15:17:42]	Alex Palovichov ran 'take' on item 'Radio Case' (#27787)
[15:17:42]	Alex Palovichov has gained a 'Radio Case' #27787.
[15:17:44]	Alex Palovichov ran 'take' on item 'Empty Tin Can' (#28167)
[15:17:44]	Alex Palovichov has gained a 'Empty Tin Can' #28167.
[15:17:46]	Alex Palovichov ran 'take' on item 'Screw Nuts' (#26823)
[15:17:46]	Alex Palovichov has gained a 'Screw Nuts' #26823.
[15:17:47]	Alex Palovichov ran 'take' on item 'Scrap Electronics' (#28166)
[15:17:47]	Alex Palovichov has gained a 'Scrap Electronics' #28166.
[15:17:52]	Alex Palovichov has gained a 'Scrap Metal' #28210.
[15:17:56]	Alex Palovichov has gained a 'Empty Pill Bottle' #28211.
[15:17:59]	Alex Palovichov has gained a 'Empty Sparkling Consulate Water Can' #28212.
[15:17:59]	[OOC] CCA.C17-GRID.i3.08313: ahhahahahahahaaaa i have an SMG on my back
[15:18:08]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[15:18:08]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[15:18:12]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[15:18:13]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[15:18:14]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[15:18:21]	Alex Palovichov has gained a 'Scrap Metal' #28212.
[15:18:23]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[15:18:25]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[15:18:51]	[OOC] Alex Palovichov: Why am I collecting parts...I legit have a office full and nothing to do with em
[15:19:04]	[OOC] CCA.C17-GRID.i3.08313: recycling
[15:19:15]	[OOC] Alex Palovichov: Recycling?
[15:19:18]	[OOC] CCA.C17-GRID.i3.08313: the truecitizen picks up trash to reuse
[15:19:40]	[OOC] Alex Palovichov: I have nothing to REUSE THEM FOR
[15:20:02]	Alex Palovichov has gained a 'Empty Soda Bottle' #28213.
[15:20:21]	Alex Palovichov ran 'drop' on item 'Empty Soda Bottle' (#28213)
[15:20:21]	Alex Palovichov has lost a 'Empty Soda Bottle' #28213.
[15:20:27]	Alex Palovichov ran 'drop' on item 'Scrap Metal' (#28212)
[15:20:27]	Alex Palovichov has lost a 'Scrap Metal' #28212.
[15:20:27]	Alex Palovichov ran 'drop' on item 'Scrap Metal' (#28210)
[15:20:27]	Alex Palovichov has lost a 'Scrap Metal' #28210.
[15:20:28]	Alex Palovichov ran 'drop' on item 'Screw Nuts' (#26823)
[15:20:28]	Alex Palovichov has lost a 'Screw Nuts' #26823.
[15:20:28]	Alex Palovichov ran 'drop' on item 'Empty Pill Bottle' (#28211)
[15:20:28]	Alex Palovichov has lost a 'Empty Pill Bottle' #28211.
[15:20:30]	Alex Palovichov ran 'drop' on item 'Radio Case' (#27787)
[15:20:30]	Alex Palovichov has lost a 'Radio Case' #27787.
[15:20:30]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#28166)
[15:20:30]	Alex Palovichov has lost a 'Scrap Electronics' #28166.
[15:21:03]	Alex Palovichov ran 'take' on item 'Radio Case' (#27787)
[15:21:03]	Alex Palovichov has gained a 'Radio Case' #27787.
[15:21:28]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[15:21:28]	Alex Palovichov ran 'drop' on item 'Radio Case' (#27787)
[15:21:28]	Alex Palovichov has lost a 'Radio Case' #27787.
[15:21:33]	Alex Palovichov ran 'take' on item 'Radio Case' (#27787)
[15:21:33]	Alex Palovichov has gained a 'Radio Case' #27787.
[15:21:36]	Alex Palovichov ran 'drop' on item 'Radio Case' (#27787)
[15:21:36]	Alex Palovichov has lost a 'Radio Case' #27787.
[15:21:48]	Alex Palovichov has gained a 'Scrap Plastic' #28214.
[15:21:50]	Alex Palovichov ran 'take' on item 'Scrap Metal' (#27631)
[15:21:50]	Alex Palovichov has gained a 'Scrap Metal' #27631.
[15:21:58]	Alex Palovichov ran 'drop' on item 'Scrap Metal' (#27631)
[15:21:58]	Alex Palovichov has lost a 'Scrap Metal' #27631.
[15:22:02]	Alex Palovichov ran 'drop' on item 'Scrap Plastic' (#28214)
[15:22:02]	Alex Palovichov has lost a 'Scrap Plastic' #28214.
[15:22:40]	[OOC] CCA.C17-GRID.i3.08313: my gun is now in a holster
[15:22:41]	Alex Palovichov opened the '' #2532 container.
[15:22:43]	Alex Palovichov closed the '' #2532 container.
[15:22:44]	Alex Palovichov opened the '' #2532 container.
[15:22:47]	Alex Palovichov has gained a 'Empty Glass Bottle' #25350.
[15:22:47]	CCA.C17-GRID.i3.08313 entered observer.
[15:22:48]	Alex Palovichov closed the '' #2532 container.
[15:22:57]	[OOC] Alex Palovichov: Why is this green locker still on the roof...
[15:23:03]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:23:04]	[OOC] CCA.C17-GRID.i3.08313: joe mama
[15:23:10]	[LOOC] CCA.C17-GRID.i3.08313: look at meeee
[15:23:16]	[LOOC] Alex Palovichov: Huh
[15:23:22]	[LOOC] Alex Palovichov: Looks good
[15:23:25]	[LOOC] CCA.C17-GRID.i3.08313: thanks
[15:23:30]	[LOOC] CCA.C17-GRID.i3.08313: look at my right side waist
[15:23:32]	Alex Palovichov has gained a 'Screw Nuts' #28215.
[15:23:33]	[OOC] CCA.C17-GRID.i3.08313: i have my pistol in a holster
[15:23:37]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[15:23:38]	[LOOC] Alex Palovichov: Oh cool
[15:23:39]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[15:23:47]	[OOC] CCA.C17-GRID.i3.08313: okay fare the well
[15:23:49]	[OOC] CCA.C17-GRID.i3.08313: thee*
[15:23:55]	CCA.C17-GRID.i3.08313 entered observer.
[15:23:57]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:23:58]	Alex Palovichov opened the '' #2548 container.
[15:24:02]	Alex Palovichov closed the '' #2548 container.
[15:24:04]	Alex Palovichov ran 'Equip' on item 'Empty Glass Bottle' (#25350)
[15:24:15]	Alex Palovichov ran 'EquipUn' on item 'Crowbar' (#24740)
[15:24:15]	Alex Palovichov ran 'Equip' on item 'Empty Glass Bottle' (#25350)
[15:24:20]	Alex Palovichov ran 'EquipUn' on item 'Empty Glass Bottle' (#25350)
[15:24:21]	Alex Palovichov ran 'Equip' on item 'Crowbar' (#24740)
[15:24:23]	Alex Palovichov ran 'drop' on item 'Empty Glass Bottle' (#25350)
[15:24:23]	Alex Palovichov has lost a 'Empty Glass Bottle' #25350.
[15:25:02]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[15:25:06]	Alex Palovichov ran 'take' on item 'Baby' (#23641)
[15:25:06]	Alex Palovichov has gained a 'Baby' #23641.
[15:25:22]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[15:25:24]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[15:26:09]	Alex Palovichov ran 'View' on item 'Paper' (#24871)
[15:26:28]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[15:26:36]	[OOC] Alex Palovichov: Im starting to realize...I think I'm hoarding alot of shit I don't need...
[15:26:39]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[15:26:41]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[15:26:48]	Alex Palovichov ran 'drop' on item 'Baby' (#23641)
[15:26:48]	Alex Palovichov has lost a 'Baby' #23641.
[15:26:51]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[15:27:32]	Alex Palovichov ran 'View' on item 'Notepad' (#25186)
[15:27:35]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[15:27:42]	[OOC] CCA.C17-GRID.i3.08313: now when i take out my pistol it leaves the hoslter
[15:27:52]	[OOC] Alex Palovichov: Coolio!
[15:27:56]	Alex Palovichov opened the 'Samples Fridge' #2397 container.
[15:27:58]	Alex Palovichov closed the 'Samples Fridge' #2397 container.
[15:28:07]	[OOC] Alex Palovichov: Also...About ICT missions...
[15:28:21]	[OOC] CCA.C17-GRID.i3.08313: ahyes
[15:28:30]	Alex Palovichov opened the '' #2383 container.
[15:28:35]	Alex Palovichov closed the '' #2383 container.
[15:30:58]	Alex Palovichov has gained a 'Empty Cooking Oil Bottle' #28216.
[15:30:59]	Alex Palovichov opened the '' #253 container.
[15:31:03]	Alex Palovichov closed the '' #253 container.
[15:31:28]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[15:32:04]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[15:32:16]	[OOC] CCA.C17-GRID.i3.08313: i will only do it if you look atmy pac
[15:32:41]	[OOC] Alex Palovichov: Lmao 
[15:32:56]	CCA.C17-GRID.i3.08313 ran 'Equip' on item 'MP7' (#24838)
[15:32:59]	CCA.C17-GRID.i3.08313 entered observer.
[15:33:02]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:33:38]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[15:33:43]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[15:34:07]	[LOOC] CCA.C17-GRID.i3.08313: give me three more compliments and i'll let you turn in your quests
[15:34:32]	[LOOC] CCA.C17-GRID.i3.08313: alright let me hop on andrew
[15:34:32]	CCA.C17-GRID.i3.08313 entered observer.
[15:34:33]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:34:38]	matt saton loaded the character 'Andrew Cloverman'
[15:34:39]	Andrew Cloverman has taken 5 damage from worldspawn.
[15:34:39]	Andrew Cloverman has taken 50 damage from metropol_elevator.
[15:34:40]	Andrew Cloverman entered observer.
[15:34:41]	[OOC] Andrew Cloverman: FUCK
[15:34:47]	[OOC] Andrew Cloverman: i flagged down in the elevator
[15:34:50]	[OOC] Andrew Cloverman: and i flagged back up
[15:34:50]	Andrew Cloverman entered observer.
[15:34:55]	[OOC] Andrew Cloverman: and i immediately fell and took fall damage
[15:35:01]	Andrew Cloverman exited observer at their location.
[15:35:01]	Andrew Cloverman entered observer.
[15:35:02]	Andrew Cloverman exited observer at their location.
[15:35:28]	Andrew Cloverman entered observer.
[15:35:37]	Andrew Cloverman exited observer at their location.
[15:35:41]	Andrew Cloverman entered observer.
[15:35:43]	Andrew Cloverman exited observer at their location.
[15:37:40]	[OOC] Andrew Cloverman: sorry
[15:37:55]	[OOC] Andrew Cloverman: oh fuck yes watermelon
[15:38:20]	Andrew Cloverman ran 'take' on item 'Notepad' (#25186)
[15:38:25]	[LOOC] Andrew Cloverman: uhhh hold on
[15:38:27]	Andrew Cloverman ran 'drop' on item 'Empty Pill Bottle' (#27316)
[15:38:27]	Andrew Cloverman has lost a 'Empty Pill Bottle' #27316.
[15:38:28]	Andrew Cloverman ran 'take' on item 'Empty Pill Bottle' (#27316)
[15:38:28]	Andrew Cloverman has gained a 'Empty Pill Bottle' #27316.
[15:38:31]	Andrew Cloverman ran 'View' on item 'Notepad' (#25186)
[15:39:32]	Andrew Cloverman ran 'take' on item 'Notepad' (#25186)
[15:39:34]	Andrew Cloverman ran 'take' on item 'Notepad' (#25186)
[15:39:37]	Andrew Cloverman ran 'drop' on item 'Empty Pill Bottle' (#27316)
[15:39:37]	Andrew Cloverman has lost a 'Empty Pill Bottle' #27316.
[15:39:40]	Andrew Cloverman ran 'take' on item 'Notepad' (#25186)
[15:39:40]	Andrew Cloverman has gained a 'Notepad' #25186.
[15:39:56]	[LOOC] Alex Palovichov: !*
[15:40:35]	Andrew Cloverman entered observer.
[15:48:54]	[OOC] Andrew Cloverman: just ate some bomb ass watermelon
[15:48:54]	Andrew Cloverman exited observer at their location.
[15:48:58]	Andrew Cloverman entered observer.
[15:49:05]	Andrew Cloverman exited observer at their location.
[15:49:08]	Andrew Cloverman ran 'drop' on item 'Silicone Tube' (#27308)
[15:49:08]	Andrew Cloverman has lost a 'Silicone Tube' #27308.
[15:49:09]	Andrew Cloverman ran 'drop' on item 'Graphics Card' (#27313)
[15:49:09]	Andrew Cloverman has lost a 'Graphics Card' #27313.
[15:49:09]	Andrew Cloverman ran 'drop' on item 'Empty Combine Air Tank' (#27318)
[15:49:09]	Andrew Cloverman has lost a 'Empty Combine Air Tank' #27318.
[15:49:10]	Andrew Cloverman ran 'drop' on item 'Pack of Nails' (#27315)
[15:49:10]	Andrew Cloverman has lost a 'Pack of Nails' #27315.
[15:49:11]	Andrew Cloverman ran 'drop' on item 'Notepad' (#25186)
[15:49:11]	Andrew Cloverman has lost a 'Notepad' #25186.
[15:49:16]	Andrew Cloverman ran 'take' on item 'Notepad' (#25186)
[15:49:16]	Andrew Cloverman has gained a 'Notepad' #25186.
[15:49:19]	Andrew Cloverman ran 'drop' on item 'Circuit Board' (#27307)
[15:49:19]	Andrew Cloverman has lost a 'Circuit Board' #27307.
[15:49:20]	Andrew Cloverman ran 'drop' on item 'Pliers' (#27309)
[15:49:20]	Andrew Cloverman has lost a 'Pliers' #27309.
[15:49:22]	Andrew Cloverman ran 'drop' on item 'Relocation Coupon' (#24124)
[15:49:22]	Andrew Cloverman has lost a 'Relocation Coupon' #24124.
[15:49:22]	Andrew Cloverman ran 'drop' on item 'Empty Pill Bottle' (#27310)
[15:49:22]	Andrew Cloverman has lost a 'Empty Pill Bottle' #27310.
[15:49:23]	Andrew Cloverman ran 'drop' on item 'Paper' (#25948)
[15:49:23]	Andrew Cloverman has lost a 'Paper' #25948.
[15:49:24]	Andrew Cloverman ran 'drop' on item 'Bar of Soap' (#27312)
[15:49:24]	Andrew Cloverman has lost a 'Bar of Soap' #27312.
[15:49:25]	Andrew Cloverman ran 'drop' on item 'Broken LCD Monitor' (#27317)
[15:49:25]	Andrew Cloverman has lost a 'Broken LCD Monitor' #27317.
[15:49:26]	Andrew Cloverman ran 'drop' on item 'Scrap Electronics' (#27306)
[15:49:26]	Andrew Cloverman has lost a 'Scrap Electronics' #27306.
[15:49:27]	Andrew Cloverman ran 'drop' on item 'Silicone Tube' (#27314)
[15:49:27]	Andrew Cloverman has lost a 'Silicone Tube' #27314.
[15:49:29]	Andrew Cloverman entered observer.
[15:49:33]	execution_fire_2 destroyed a 'Shovel' #27278.
[15:49:34]	execution_hurt_2 destroyed a 'Rock' #27290.
[15:49:34]	execution_hurt_2 destroyed a 'Empty Pill Bottle' #27310.
[15:49:34]	execution_hurt_2 destroyed a 'Boot' #27274.
[15:49:34]	execution_hurt_2 destroyed a 'Citizen Filter' #27299.
[15:49:34]	execution_hurt_2 destroyed a 'Roubles' #27298.
[15:49:34]	execution_hurt_2 destroyed a 'Empty Glass Bottle' #27275.
[15:49:34]	execution_hurt_2 destroyed a 'Pin' #27289.
[15:49:34]	execution_hurt_2 destroyed a 'Scrap Electronics' #27297.
[15:49:34]	execution_hurt_2 destroyed a 'Empty Paint Can' #27286.
[15:49:34]	execution_hurt_2 destroyed a 'Spark Plug' #27300.
[15:49:34]	execution_hurt_2 destroyed a 'Empty Combine Air Tank' #27318.
[15:49:34]	execution_hurt_2 destroyed a 'Silicone Tube' #27314.
[15:49:34]	execution_hurt_2 destroyed a 'Scrap Electronics' #27306.
[15:49:34]	execution_hurt_2 destroyed a 'Broken LCD Monitor' #27317.
[15:49:34]	execution_hurt_2 destroyed a 'Bar of Soap' #27312.
[15:49:34]	execution_hurt_2 destroyed a 'Paper' #25948.
[15:49:34]	execution_hurt_2 destroyed a 'Relocation Coupon' #24124.
[15:49:34]	execution_hurt_2 destroyed a 'Pliers' #27309.
[15:49:34]	execution_hurt_2 destroyed a 'Circuit Board' #27307.
[15:49:34]	execution_hurt_2 destroyed a 'Pack of Nails' #27315.
[15:49:34]	execution_hurt_2 destroyed a 'Graphics Card' #27313.
[15:49:34]	execution_hurt_2 destroyed a 'Silicone Tube' #27308.
[15:49:34]	execution_hurt_2 destroyed a 'Small Thermos' #27293.
[15:49:34]	execution_hurt_2 destroyed a 'Horse Statue' #27282.
[15:49:34]	execution_hurt_2 destroyed a 'Military Circuit Board' #27284.
[15:49:34]	execution_hurt_2 destroyed a 'Cloth Scrap' #27283.
[15:49:34]	execution_hurt_2 destroyed a 'Scrap Glass' #27287.
[15:49:34]	execution_hurt_2 destroyed a 'Piece of Plexiglass' #27281.
[15:49:34]	execution_hurt_2 destroyed a 'Insulating Tape' #27279.
[15:49:34]	execution_hurt_2 destroyed a 'Scrap Glass' #27285.
[15:49:34]	execution_hurt_2 destroyed a 'Boot' #27280.
[15:49:34]	execution_hurt_2 destroyed a 'Reinforced Padlock' #27277.
[15:49:34]	execution_hurt_2 destroyed a 'Boot' #27273.
[15:49:34]	execution_hurt_2 destroyed a 'Empty Combine Air Tank' #27294.
[15:49:34]	execution_hurt_2 destroyed a 'Old Newspaper' #27276.
[15:49:34]	execution_hurt_2 destroyed a 'Corrugated Hose' #27292.
[15:49:34]	execution_hurt_2 destroyed a 'Scrap Glass' #27295.
[15:49:34]	execution_hurt_2 destroyed a 'Graphics Card' #27291.
[15:49:34]	execution_hurt_2 destroyed a 'Bar of Soap' #27301.
[15:49:52]	Andrew Cloverman exited observer at their location.
[15:49:53]	Andrew Cloverman entered observer.
[15:50:11]	Andrew Cloverman has gained a 'Notepad' #28217.
[15:50:11]	Andrew Cloverman used command '/CharGiveItem andrew notepad'.
[15:50:13]	Andrew Cloverman ran 'Edit' on item 'Notepad' (#28217)
[15:51:15]	Andrew Cloverman ran 'Edit' on item 'Notepad' (#28217)
[15:51:30]	Andrew Cloverman exited observer at their location.
[15:51:30]	Andrew Cloverman entered observer.
[15:51:33]	Andrew Cloverman exited observer at their location.
[15:51:36]	Andrew Cloverman has spawned 'models/props_junk/wood_crate001a.mdl'.
[15:51:39]	Andrew Cloverman ran 'View' on item 'Notepad' (#25187)
[15:51:43]	Andrew Cloverman ran 'View' on item 'Notepad' (#25187)
[15:51:48]	Andrew Cloverman ran 'View' on item 'Notepad' (#25186)
[15:51:51]	Andrew Cloverman ran 'View' on item 'Notepad' (#25184)
[15:52:00]	Andrew Cloverman has gained a 'Gloves' #28218.
[15:52:00]	Andrew Cloverman has gained a 'Gloves' #28219.
[15:52:00]	Andrew Cloverman has gained a 'Gloves' #28220.
[15:52:00]	Andrew Cloverman used command '/CharGiveItem andrew gloves 3'.
[15:52:02]	Andrew Cloverman opened the 'Crate' #2676 container.
[15:52:07]	Andrew Cloverman closed the 'Crate' #2676 container.
[15:52:31]	[OOC] Alex Palovichov: I gotta leave in a bit for work
[15:52:34]	[OOC] Andrew Cloverman: fug
[15:52:35]	Andrew Cloverman entered observer.
[15:52:35]	Andrew Cloverman exited observer at their location.
[15:52:45]	[OOC] Andrew Cloverman: i had a special thing planning but we'll have to do it later
[15:52:51]	[OOC] Andrew Cloverman: let me at least hand it to you
[15:52:52]	[OOC] Alex Palovichov: Alrighty
[15:53:01]	[OOC] Alex Palovichov: I dont have to leave rn, but in a bit
[15:53:20]	Andrew Cloverman ran 'Edit' on item 'Notepad' (#28217)
[15:53:22]	Andrew Cloverman ran 'drop' on item 'Notepad' (#28217)
[15:53:22]	Andrew Cloverman has lost a 'Notepad' #28217.
[15:53:30]	[ME] Andrew Cloverman: would hand the man a letter in an envelope.
[15:53:45]	[ME] Alex Palovichov: Grabs the envelope, taking the letter out
[15:53:52]	[ME] Alex Palovichov: He begins to read the letter
[15:53:53]	Alex Palovichov ran 'View' on item 'Notepad' (#28217)
[15:54:20]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[15:54:25]	Alex Palovichov ran 'EquipUn' on item 'Crowbar' (#24740)
[15:54:25]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[15:54:26]	Alex Palovichov has gained 0 tokens.
[15:54:47]	Andrew Cloverman entered observer.
[15:55:00]	matt saton loaded the character 'CCA.C17-GRID.i3.08313'
[15:55:02]	CCA.C17-GRID.i3.08313 entered observer.
[15:55:08]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:57:05]	CCA.C17-GRID.i3.08313 entered observer.
[15:57:13]	CCA.C17-GRID.i3.08313 used command '/Radio Yeah, he's here.'.
[15:57:44]	CCA.C17-GRID.i3.08313 used command '/Radio Copy that.'.
[15:57:51]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:58:05]	CCA.C17-GRID.i3.08313 has spawned 'models/opfor/zombie_soldier.mdl'.
[15:58:07]	CCA.C17-GRID.i3.08313 has spawned 'models/opfor/gonome.mdl'.
[15:58:10]	CCA.C17-GRID.i3.08313 entered observer.
[15:58:14]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:59:34]	[ME] CCA.C17-GRID.i3.08313: would proceed to remove a zip tie and attempt to tie the man.
[15:59:38]	CCA.C17-GRID.i3.08313 has gained a 'Zip Tie' #28221.
[15:59:38]	CCA.C17-GRID.i3.08313 used command '/CharGiveItem grid zip'.
[15:59:46]	[IT] CCA.C17-GRID.i3.08313: Would he resist?
[16:00:00]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[16:00:00]	[ME] Alex Palovichov: Loosens up his arms, making it easier for the officer to tie
[16:00:11]	CCA.C17-GRID.i3.08313 ran 'Use' on item 'Zip Tie' (#28221)
[16:00:19]	[ME] CCA.C17-GRID.i3.08313: would proceed to search the man after tying him.
[16:00:40]	CCA.C17-GRID.i3.08313 has gained a 'Documents Case' #24746.
[16:00:40]	CCA.C17-GRID.i3.08313 has gained a 'Citizen ID' #24488.
[16:00:40]	CCA.C17-GRID.i3.08313 has gained a 'Civil Workers' Union ID' #24489.
[16:00:40]	CCA.C17-GRID.i3.08313 has gained a 'Paper' #24871.
[16:00:45]	CCA.C17-GRID.i3.08313 ran 'View' on item 'Paper' (#24871)
[16:00:49]	Alex Palovichov has gained a 'Documents Case' #24746.
[16:00:49]	Alex Palovichov has gained a 'Citizen ID' #24488.
[16:00:49]	Alex Palovichov has gained a 'Civil Workers' Union ID' #24489.
[16:00:49]	Alex Palovichov has gained a 'Paper' #24871.
[16:01:58]	[ME] CCA.C17-GRID.i3.08313: would remove a blindfold from a pouch on his utility belt and blindfold the man.
[16:02:15]	[ME] CCA.C17-GRID.i3.08313: would then grab the man's left shoulder with his left hand and guide his walking pack
[16:02:17]	[LOOC] CCA.C17-GRID.i3.08313: path.*
[16:02:47]	CCA.C17-GRID.i3.08313 used command '/Radio Copy.'.
[16:02:56]	CCA.C17-GRID.i3.08313 used command '/Radio Alright, I'll ask him.'.
[16:03:19]	CCA.C17-GRID.i3.08313 used command '/Radio No, sir.'.
[16:03:24]	CCA.C17-GRID.i3.08313 used command '/Radio Copy that.'.
[16:03:39]	[LOOC] CCA.C17-GRID.i3.08313: props disappeared, fun
[16:03:43]	[LOOC] CCA.C17-GRID.i3.08313: anyways
[16:04:00]	[ME] CCA.C17-GRID.i3.08313: would remove the man's blindfold.
[16:04:21]	matt saton loaded the character 'Eric Etringeux'
[16:04:30]	Eric Etringeux entered observer.
[16:04:35]	Eric Etringeux exited observer at their location.
[16:04:35]	Eric Etringeux entered observer.
[16:04:36]	Eric Etringeux exited observer at their location.
[16:05:57]	Eric Etringeux has spawned a 'Entity [1236][ix_testent9]'.
[16:05:58]	Eric Etringeux entered observer.
[16:05:59]	Eric Etringeux has spawned a 'Entity [1238][ix_airvent]'.
[16:06:02]	Eric Etringeux has spawned a 'Entity [1236][ix_airvent]'.
[16:06:04]	Eric Etringeux exited observer at their location.
[16:06:09]	Eric Etringeux ran 'EquipUn' on item 'Respirator' (#24755)
