[11:35:51]	Dilly_ has connected.
[11:51:19]	CCA.C08-QrM.98240 ran 'take' on item 'Pulse Ammunition' (#20933)
[11:51:19]	CCA.C08-QrM.98240 has gained a 'Pulse Ammunition' #20933.
[11:51:30]	Crimson ran 'EquipUn' on item 'Empty Glass Bottle' (#20444)
[11:51:31]	Crimson ran 'Equip' on item 'Empty Glass Bottle' (#20444)
[11:51:33]	[ME] CCA.C08-QrM.98240: Shakes his head for a second, "Fuck it, doesn't matter."
[11:51:39]	Crimson ran 'EquipUn' on item 'Empty Glass Bottle' (#20444)
[11:51:57]	[LOOC] CCA.C08-QrM.98240: Wanna see a funny?
[11:52:03]	[LOOC] Crimson: oui oui
[11:52:32]	[LOOC] Crimson: pac go br
[11:52:37]	[LOOC] CCA.C08-QrM.98240: Pac go brrttttt
[11:52:41]	[LOOC] CCA.C08-QrM.98240: I am not Helghast QrM
[11:52:54]	[LOOC] Crimson: downloading mdl zip
[11:52:56]	[LOOC] Crimson: hmm
[11:52:59]	[LOOC] CCA.C08-QrM.98240: AH
[11:53:01]	[LOOC] Crimson: Aha
[11:53:04]	[LOOC] Crimson: now I see
[11:53:14]	[LOOC] Crimson: reminds me of uh
[11:53:25]	[LOOC] Crimson: huh
[11:53:39]	[LOOC] CCA.C08-QrM.98240: Just noticed I look like a fucking decepticon
[11:53:52]	[LOOC] CCA.C08-QrM.98240: Atleast the helmet does
[11:54:18]	CCA.C08-QrM.98240 has gained 10 tokens.
[11:54:21]	[LOOC] Crimson: ah looks pretty cool
[11:54:31]	[LOOC] CCA.C08-QrM.98240: I've got a better version, one second.
[11:54:39]	[LOOC] CCA.C08-QrM.98240: I've been also getting into pac and uploading shit.
[11:54:46]	[LOOC] Crimson: oo neat
[11:54:56]	[LOOC] Crimson: used to touch it a lot, not so much anymore
[11:55:06]	[LOOC] Crimson: oo
[11:55:10]	[LOOC] CCA.C08-QrM.98240: This models looks fucking awesome with CP animations
[11:55:16]	[LOOC] Crimson: ye ye
[11:55:27]	[LOOC] CCA.C08-QrM.98240: This is Pre-Terracide Helghast, which pretty much means that this is before their whole planet got fucked up.
[11:55:32]	[LOOC] Crimson: most appropriate
[11:55:56]	[LOOC] Crimson: good ol killzone 
[11:56:05]	[LOOC] CCA.C08-QrM.98240: I like Killzone
[11:56:09]	[LOOC] CCA.C08-QrM.98240: Haven't played much of it
[11:56:24]	[LOOC] Crimson: remember playing it way back on playstation
[11:56:28]	[LOOC] CCA.C08-QrM.98240: But it do be a cool series
[11:56:42]	[LOOC] Crimson: ye
[11:56:47]	[LOOC] CCA.C08-QrM.98240: I don't know how I feel about this models with CP animations
[11:58:44]	Dilly_ (STEAM_0:0:52468151) has disconnected (timed out).
[11:59:18]	CCA.C08-QrM.98240 has gained 10 tokens.
[11:59:23]	CCA.C08-QrM.98240 ran 'Equip' on item 'Combat Knife' (#20367)
[12:04:18]	CCA.C08-QrM.98240 has gained 10 tokens.
[12:19:18]	CCA.C08-QrM.98240 has gained 10 tokens.
[12:29:18]	CCA.C08-QrM.98240 has gained 10 tokens.
[12:29:20]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[12:54:56]	matt saton has connected.
[12:56:23]	matt saton loaded the character 'Lee Maylor'
[12:56:28]	Lee Maylor entered observer.
[12:57:37]	matt saton (STEAM_0:1:53097688) has disconnected.
[12:57:46]	FB|| light ROOM has connected.
[12:59:19]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[12:59:22]	[OOC] CCA.C08-QrM.98240: Balls
[13:02:32]	matt saton has connected.
[13:03:42]	matt saton loaded the character 'Lee Maylor'
[13:03:47]	Lee Maylor entered observer.
[13:03:52]	[OOC] Lee Maylor: hey gonna test something real quick
[13:03:55]	Lee Maylor used command '/DrawLoading'.
[13:04:06]	[OOC] Lee Maylor: is the word "loading" showing on your screen
[13:04:06]	Lee Maylor exited observer at their location.
[13:04:07]	Lee Maylor entered observer.
[13:04:09]	Lee Maylor exited observer at their location.
[13:04:09]	Lee Maylor entered observer.
[13:04:31]	Lee Maylor used command '/DrawLoading'.
[13:04:32]	[OOC] CCA.C08-QrM.98240: Nah
[13:04:35]	[OOC] Lee Maylor: FUCKING DAMNIT
[13:04:39]	[OOC] CCA.C08-QrM.98240: Lmao
[13:04:45]	Michael's World has connected.
[13:04:55]	Lee Maylor used command '/DrawBlackScreen'.
[13:04:58]	[OOC] Lee Maylor: is your screen black
[13:05:10]	[OOC] CCA.C08-QrM.98240: Negative
[13:05:13]	[OOC] Lee Maylor: WHAT THE FUCK
[13:05:21]	Lee Maylor used command '/ClearScreenDraws'.
[13:06:02]	[OOC] Lee Maylor: OH YEAH
[13:06:04]	Lee Maylor used command '/DrawBlackScreen'.
[13:06:08]	[OOC] Lee Maylor: how about now
[13:06:11]	[OOC] CCA.C08-QrM.98240: Now it's fucked for me
[13:06:15]	[OOC] Lee Maylor: fucked how
[13:06:23]	[OOC] CCA.C08-QrM.98240: Black with loading in the middle
[13:06:28]	[OOC] Lee Maylor: no, that's how it's supposed to be
[13:06:31]	Lee Maylor used command '/ClearScreenDraws'.
[13:06:31]	Michael's World loaded the character 'John Smith'
[13:06:34]	Lee Maylor used command '/ClearScreenDraws'.
[13:06:43]	[OOC] CCA.C08-QrM.98240: Now it's clear but loading is in my screen
[13:06:56]	[OOC] John Smith: ello there
[13:07:03]	[OOC] CCA.C08-QrM.98240: Yo
[13:07:30]	Lee Maylor used command '/ClearScreenDraws'.
[13:07:30]	[OOC] CCA.C08-QrM.98240: Q is trying to fix something
[13:07:34]	Red blood cell has connected.
[13:08:21]	[OOC] Lee Maylor: should be fixed now
[13:08:35]	[OOC] CCA.C08-QrM.98240: Looks to be
[13:08:36]	Red blood cell loaded the character 'PFC Emily Brown'
[13:08:41]	Lee Maylor used command '/DrawBlackScreen'.
[13:08:56]	Lee Maylor used command '/SetScreenText Test Text'.
[13:08:58]	[OOC] CCA.C08-QrM.98240: BLACK
[13:08:59]	PFC Emily Brown used command '/Radio Test.'.
[13:09:02]	[OOC] CCA.C08-QrM.98240: TEST TEXT
[13:09:03]	[OOC] CCA.C08-QrM.98240: bijaernbiaer
[13:09:09]	Lee Maylor used command '/ClearScreenDraws'.
[13:09:09]	[OOC] John Smith: dont mind me im in the Infestation Control VC in the funny Discord and there is Doom Music in the bakc
[13:09:15]	[OOC] John Smith: *background
[13:09:16]	CCA.C08-QrM.98240 used command '/Radio Transmission recieved, how you doing?'.
[13:09:29]	[OOC] Lee Maylor: we will not be waiting on DRD and tundra
[13:09:31]	[OOC] Lee Maylor: howdy emily
[13:09:34]	PFC Emily Brown used command '/Radio Copy that. I'm doing fine, you?'.
[13:09:39]	[OOC] PFC Emily Brown: yello
[13:09:44]	[OOC] Lee Maylor: let's get started
[13:09:55]	[OOC] PFC Emily Brown: do you need me to hop on citizen?
[13:09:57]	[OOC] PFC Emily Brown: or cp?
[13:10:04]	CCA.C08-QrM.98240 used command '/Radio About the same as always, loving my job, hating my fellow CCA.'.
[13:10:08]	[OOC] Lee Maylor: whatever you like
[13:10:15]	CCA.C08-QrM.98240 used command '/Radio Not much has changed'.
[13:10:21]	PFC Emily Brown used command '/Radio So the usual for you.'.
[13:10:30]	CCA.C08-QrM.98240 used command '/Radio Affirmative'.
[13:10:35]	PFC Emily Brown used command '/Radio Haha.'.
[13:10:45]	PFC Emily Brown used command '/ToggleRaise'.
[13:10:53]	CCA.C08-QrM.98240 used command '/Radio Alright, we should stop the small talk on the radio, overwatch might get onto us.'.
[13:10:55]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[13:10:57]	[OOC] John Smith: thank you consul
[13:11:02]	PFC Emily Brown used command '/Radio Alright. Take care, 982.'.
[13:11:04]	PFC Emily Brown used command '/ToggleRaise'.
[13:11:09]	CCA.C08-QrM.98240 used command '/Radio You too'.
[13:11:23]	[OOC] CCA.C08-QrM.98240: Overwatch is the just the CCA's mom, change my mind.
[13:11:30]	[OOC] CCA.C08-QrM.98240: GRAMMAR
[13:11:42]	Lee Maylor used command '/DrawBlackScreen'.
[13:11:44]	[OOC] CCA.C08-QrM.98240: Jesus christ I had a strok-
[13:11:47]	[OOC] PFC Emily Brown: dispatch is the ccas mom
[13:11:48]	[OOC] CCA.C08-QrM.98240: I'M BLIND
[13:11:52]	[OOC] CCA.C08-QrM.98240: OH GOD
[13:11:54]	Lee Maylor used command '/SetScreenText The Civil Workers Movement'.
[13:11:55]	[OOC] John Smith: lmao break walters knees because hes a fucking dumbass
[13:12:02]	[OOC] CCA.C08-QrM.98240: Oh shit, that's cool.
[13:12:08]	[OOC] PFC Emily Brown: i love how generic john smith's name is
[13:12:08]	Lee Maylor used command '/DrawLoading'.
[13:12:12]	[OOC] PFC Emily Brown: it's just john smith
[13:12:14]	[OOC] PFC Emily Brown: nothing more nothing less
[13:12:23]	Lee Maylor used command '/ClearScreenDraws'.
[13:12:29]	CCA.C08-QrM.98240 has gained 10 tokens.
[13:12:34]	[OOC] John Smith: fuck off, this was originally meant as a backup incase my original main was killed off
[13:12:38]	[OOC] John Smith: which is what happened
[13:12:39]	[OOC] PFC Emily Brown: john doe
[13:12:51]	[OOC] CCA.C08-QrM.98240: Also, Russian CCA voicelines are the best.
[13:12:54]	[OOC] John Smith: chicken sucks ass
[13:12:57]	[OOC] CCA.C08-QrM.98240: True
[13:12:59]	[OOC] PFC Emily Brown: chicken is poop
[13:13:01]	[OOC] John Smith: change my mind
[13:13:04]	Lee Maylor exited observer at their location.
[13:13:04]	Lee Maylor entered observer.
[13:13:07]	Lee Maylor exited observer at their location.
[13:13:42]	[OOC] CCA.C08-QrM.98240: me when QrM
[13:13:52]	[OOC] John Smith: OH GOD RUN-
[13:13:52]	[ME] CCA.C08-QrM.98240: Looks over at the Conscript, "Good to see you."
[13:14:11]	[ME] PFC Emily Brown: leans on the railing, looking down at the street.
[13:15:13]	[LOOC] John Smith: its at this moment i realize who im talking to lmao
[13:15:23]	[LOOC] Lee Maylor: who's that, this is my generic civvie
[13:15:26]	[ME] CCA.C08-QrM.98240: Looks up for a moment, "Actually....on second thought no, too many dumbasses."
[13:15:27]	[LOOC] Lee Maylor: oh
[13:15:28]	[LOOC] Lee Maylor: oh lmao
[13:15:35]	[LOOC] John Smith: lmao
[13:16:15]	Lee Maylor entered observer.
[13:16:23]	matt saton loaded the character 'CCA.C08-GRID.OfC.01993'
[13:16:28]	CCA.C08-GRID.OfC.01993 used command '/Radio Afternoon, everyone.'.
[13:16:29]	CCA.C08-GRID.OfC.01993 entered observer.
[13:16:33]	PFC Emily Brown used command '/Radio Afternoon.'.
[13:16:37]	CCA.C08-QrM.98240 used command '/Radio Afternoon, OfC.'.
[13:16:44]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[13:16:44]	CCA.C08-GRID.OfC.01993 entered observer.
[13:16:44]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[13:16:45]	CCA.C08-GRID.OfC.01993 entered observer.
[13:16:45]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[13:16:59]	CCA.C08-GRID.OfC.01993 used command '/Radio Have you heard the news about precinct 28?'.
[13:17:03]	CCA.C08-GRID.OfC.01993 entered observer.
[13:17:03]	CCA.C08-QrM.98240 used command '/Radio Negative'.
[13:17:06]	PFC Emily Brown used command '/Radio 10-2.'.
[13:17:29]	CCA.C08-QrM.98240 has gained 10 tokens.
[13:17:56]	[OOC] John Smith: we are bullying Chicken in the VC
[13:17:57]	CCA.C08-GRID.OfC.01993 used command '/Radio A riot broke out there a few days ago. Windows were broken, a few CPs were injured, and a few citizens were killed in the process of suppressing it.'.
[13:18:11]	[OOC] John Smith: in the BE server
[13:18:14]	[OOC] John Smith: this is good
[13:18:29]	CCA.C08-QrM.98240 used command '/Radio Holy shit, really?'.
[13:18:46]	CCA.C08-GRID.OfC.01993 used command '/Radio Affirmative. It was a significant lapse in security that we do not intend on repeating.'.
[13:19:05]	CCA.C08-GRID.OfC.01993 used command '/Radio As a result, we're going to be a bit harsher on citizens. Search anyone for any reason you can. Be strict on punishments. Watch your backs. We don't want this spreading.'.
[13:19:17]	CCA.C08-QrM.98240 used command '/Radio Understood, I'll keep that in mind.'.
[13:19:20]	PFC Emily Brown used command '/Radio Really? That's strange. The streets have been pretty empty where I've been stationed.'.
[13:19:24]	PFC Emily Brown used command '/Radio Understood.'.
[13:19:31]	CCA.C08-GRID.OfC.01993 used command '/Radio That's because we're in Precinct 33.'.
[13:19:48]	CCA.C08-QrM.98240 used command '/Radio Did we get the short end of the stick when it comes to Precincts?'.
[13:20:11]	CCA.C08-GRID.OfC.01993 used command '/Radio How do you mean?'.
[13:20:33]	CCA.C08-QrM.98240 used command '/Radio When the Conscript commented on the city being mostly empty, you said that was because we're in Precinct 33, what does that mean?'.
[13:20:34]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[13:20:34]	CCA.C08-GRID.OfC.01993 entered observer.
[13:20:35]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[13:20:36]	CCA.C08-GRID.OfC.01993 entered observer.
[13:20:37]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[13:20:37]	CCA.C08-GRID.OfC.01993 entered observer.
[13:20:37]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[13:20:46]	CCA.C08-GRID.OfC.01993 used command '/Radio'.
[13:20:55]	CCA.C08-QrM.98240 used command '/Radio // good answer'.
[13:21:02]	CCA.C08-GRID.OfC.01993 used command '/Radio I must have misunderstood what Brown was saying.'.
[13:21:15]	CCA.C08-GRID.OfC.01993 used command '/Radio Either way, keep security tighter than usual.'.
[13:21:16]	CCA.C08-GRID.OfC.01993 entered observer.
[13:21:22]	CCA.C08-GRID.OfC.01993 used command '/Radio Understood?'.
[13:21:23]	CCA.C08-GRID.OfC.01993 has gained 10 tokens.
[13:21:26]	CCA.C08-QrM.98240 used command '/Radio 10-4'.
[13:21:30]	PFC Emily Brown used command '/Radio Understood, OfC.'.
[13:21:34]	[LOOC] CCA.C08-QrM.98240: Holy shit, Russian 10-4 is horrifying
[13:21:42]	John Smith opened the '' #1243 container.
[13:21:43]	CCA.C08-GRID.OfC.01993 used command '/Radio Wonderful.'.
[13:21:45]	[LOOC] PFC Emily Brown: why do we have russian voicelines
[13:21:46]	John Smith closed the '' #1243 container.
[13:21:54]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[13:21:54]	CCA.C08-GRID.OfC.01993 entered observer.
[13:21:56]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[13:22:04]	[LOOC] CCA.C08-QrM.98240: I have Russian voicelines, they are great.
[13:22:05]	CCA.C08-GRID.OfC.01993 used command '/DrawBlackScreen'.
[13:22:08]	[LOOC] PFC Emily Brown: wait say 10-4 again
[13:22:09]	[LOOC] CCA.C08-QrM.98240: Clientside thing
[13:22:09]	CCA.C08-GRID.OfC.01993 used command '/SetScreenText Tuesday'.
[13:22:11]	CCA.C08-GRID.OfC.01993 entered observer.
[13:22:14]	[LOOC] PFC Emily Brown: oh
[13:22:15]	CCA.C08-GRID.OfC.01993 used command '/ClearScreenDraws'.
[13:22:16]	[OOC] John Smith: AH, IM BLIND, NO
[13:22:17]	[LOOC] PFC Emily Brown: it clientside
[13:22:20]	[OOC] John Smith: ah i can see again
[13:22:22]	[LOOC] PFC Emily Brown: its*
[13:22:29]	CCA.C08-QrM.98240 has gained 10 tokens.
[13:22:31]	[LOOC] PFC Emily Brown: how do you download russian voicelines?
[13:22:34]	[LOOC] PFC Emily Brown: is there a tutorial
[13:22:36]	[LOOC] CCA.C08-QrM.98240: I can send you the mod
[13:22:38]	[LOOC] CCA.C08-QrM.98240: Literally just a mod
[13:22:40]	matt saton loaded the character 'CCA.C08-HELIX.i3.10592'
[13:22:43]	[LOOC] PFC Emily Brown: send
[13:22:46]	[LOOC] PFC Emily Brown: plz
[13:22:47]	CCA.C17-UNION.i4.19042 used command '/CharSetName i3 CCA.C17-UNION.i4.19042'.
[13:22:47]	CCA.C17-UNION.i4.19042 entered observer.
[13:22:49]	[LOOC] CCA.C08-QrM.98240: One sec
[13:22:53]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:22:54]	CCA.C17-UNION.i4.19042 entered observer.
[13:22:54]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:22:56]	[LOOC] PFC Emily Brown: danke
[13:23:00]	CCA.C17-UNION.i4.19042 used command '/CharSetSkin union 3'.
[13:23:02]	CCA.C17-UNION.i4.19042 used command '/CharSetSkin union 4'.
[13:23:09]	[OOC] John Smith: man slow event huh
[13:23:18]	[LOOC] CCA.C08-QrM.98240: Hold on for a sec, finding a addon
[13:23:21]	[LOOC] CCA.C17-UNION.i4.19042: copy
[13:23:22]	CCA.C17-UNION.i4.19042 entered observer.
[13:23:26]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:23:44]	[LOOC] CCA.C08-QrM.98240: FOUND
[13:23:46]	[OOC] PFC Emily Brown: union i4 is a generic helix i3
[13:23:54]	[OOC] John Smith: lmao
[13:23:57]	[ME] CCA.C17-UNION.i4.19042: would have a bit of a red and black mark on and over his brow.
[13:23:58]	CCA.C17-UNION.i4.19042 used command '/CharDesc'.
[13:24:01]	[LOOC] CCA.C08-QrM.98240: FUCK
[13:24:02]	[LOOC] CCA.C08-QrM.98240: VOID
[13:24:07]	[LOOC] PFC Emily Brown: LMAO
[13:24:08]	[LOOC] CCA.C08-QrM.98240: But, just download that.
[13:24:11]	[LOOC] CCA.C08-QrM.98240: Do be a cool mod
[13:24:13]	[LOOC] CCA.C08-QrM.98240: Okay, IC
[13:24:17]	CCA.C17-UNION.i4.19042 used command '/CharDesc A generic UNION i4, but with a red and black mark above and on his brow.'.
[13:24:18]	[LOOC] PFC Emily Brown: alright ill download that one sec
[13:24:29]	[OOC] CCA.C08-QrM.98240: CCA.C08-QrM.98240 says "<:: Https://steamcommunity.com/sharedfiles/filedetails/?id=819359335. ::>"
[13:24:42]	[LOOC] CCA.C08-QrM.98240: You'll need to restart
[13:24:53]	[OOC] CCA.C08-QrM.98240: Imagine being a fucking rebel
[13:24:58]	[LOOC] PFC Emily Brown: alright
[13:24:59]	[OOC] John Smith: smh
[13:25:00]	[OOC] CCA.C08-QrM.98240: Imagine being a ground unit
[13:25:08]	[OOC] CCA.C17-UNION.i4.19042: imagine contributing to roleplay
[13:25:09]	[OOC] CCA.C08-QrM.98240: Imagine being anything but a Conscript or a QrM.
[13:25:11]	[OOC] John Smith: imagine being fucking useless
[13:25:11]	[OOC] CCA.C08-QrM.98240: IMAGINE
[13:25:29]	[OOC] CCA.C08-QrM.98240: And hey! we're RP'ing over here and having a great time.
[13:25:37]	[OOC] CCA.C08-QrM.98240: John Smith should come over to us and vibe.
[13:26:00]	Red blood cell (STEAM_0:0:38537787) has disconnected.
[13:26:05]	[ME] CCA.C17-UNION.i4.19042: would approach the well.
[13:26:06]	[OOC] CCA.C08-QrM.98240: Restaring
[13:26:11]	[OOC] John Smith: ok then where the fuck are you
[13:26:13]	[OOC] CCA.C08-QrM.98240: restarting*
[13:26:22]	[OOC] CCA.C08-QrM.98240: FIND OUT, DUMBO
[13:26:23]	[MEY] CCA.C17-UNION.i4.19042: would look at the well, see his reflection, and say "Oh shit." audibly.
[13:26:31]	[OOC] CCA.C08-QrM.98240: Player Mongolian Quarian has joined the game
[13:26:32]	[OOC] CCA.C08-QrM.98240: Pog
[13:26:37]	[MEY] CCA.C17-UNION.i4.19042: would cover his brow and run into the nearest apartment block.
[13:26:47]	CCA.C17-UNION.i4.19042 entered observer.
[13:26:56]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:26:56]	CCA.C17-UNION.i4.19042 entered observer.
[13:26:58]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:26:58]	CCA.C17-UNION.i4.19042 entered observer.
[13:26:59]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:27:29]	CCA.C08-QrM.98240 has gained 10 tokens.
[13:27:33]	John Smith used the 'Street Market' vendor.
[13:27:37]	[LOOC] CCA.C17-UNION.i4.19042: note my desc btw
[13:27:40]	CCA.C17-UNION.i4.19042 has gained 10 tokens.
[13:27:43]	[LOOC] CCA.C08-QrM.98240: AH
[13:27:46]	[LOOC] CCA.C08-QrM.98240: Didn't notice that
[13:27:57]	[ME] CCA.C08-QrM.98240: Would look the unit up and down for a moment.
[13:28:36]	Mongolian Quarian has connected.
[13:28:43]	[ME] CCA.C08-QrM.98240: Would stand up straight with his stunbaton at his side, looking at the unit, "Explain it immediately, i4."
[13:29:32]	[OOC] John Smith: mfw Union.i4 has shit on his brow, smh
[13:29:34]	[ME] CCA.C17-UNION.i4.19042: would try to sidestep and move away from the QrM.
[13:29:50]	[ME] CCA.C08-QrM.98240: Would attempt to move in front of the unit.
[13:29:54]	[LOOC] CCA.C08-QrM.98240: roll or nah?
[13:29:58]	[LOOC] CCA.C17-UNION.i4.19042: nah just step in front of me
[13:30:05]	[LOOC] CCA.C17-UNION.i4.19042: you're not trying to do a cartwheel in front of me
[13:30:10]	[LOOC] CCA.C08-QrM.98240: Shit CCA, shit CCA, shit CCA
[13:30:38]	[OOC] John Smith: plot twist, the shit on i4's helmet is actual shit jk unless?
[13:30:47]	[OOC] CCA.C08-QrM.98240: It absolutely is
[13:30:53]	[OOC] John Smith: yes, 100%
[13:31:08]	[ME] CCA.C17-UNION.i4.19042: 's voice would get shaky.
[13:31:15]	[LOOC] CCA.C08-QrM.98240: Shit unit, shit unit, shit unit.
[13:31:39]	[OOC] John Smith: mfw im booted out of my usual spot im in when waiting for an event
[13:31:43]	[ME] CCA.C08-QrM.98240: Would poke the unit on the chest with his stunstick, "Trust me, we'll get that cleaned up."
[13:32:04]	[ME] CCA.C17-UNION.i4.19042: would sidestep again.
[13:32:21]	[OOC] CCA.C17-UNION.i4.19042: mfw waiting for RP instead of finding it
[13:32:25]	[ME] CCA.C08-QrM.98240: Attempts to place his left hand onto the units right shoulder.
[13:32:29]	Mongolian Quarian loaded the character 'Yisugei Qatun'
[13:32:29]	CCA.C08-QrM.98240 has gained 10 tokens.
[13:32:35]	[OOC] John Smith: mfw i have no fucking idea where to look to find it
[13:32:36]	[ME] CCA.C17-UNION.i4.19042: would step back.
[13:32:38]	[OOC] CCA.C17-UNION.i4.19042: Welcome!
[13:32:40]	CCA.C17-UNION.i4.19042 has gained 10 tokens.
[13:32:44]	[OOC] Yisugei Qatun: Hemlo!
[13:32:56]	[LOOC] CCA.C08-QrM.98240: How are we gonna handle the new player?
[13:33:02]	[LOOC] CCA.C17-UNION.i4.19042: you wnana process him?
[13:33:05]	[LOOC] CCA.C17-UNION.i4.19042: thank you for volunteering
[13:33:07]	CCA.C17-UNION.i4.19042 entered observer.
[13:33:19]	[OOC] CCA.C08-QrM.98240: Coming to process now
[13:33:22]	CCA.C17-UNION.i4.19042 used command '/CharDesc'.
[13:33:32]	CCA.C17-UNION.i4.19042 used command '/CharDesc A generic UNION i4, nothing special about him. He's got a clean mask now.'.
[13:33:37]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:33:45]	CCA.C17-UNION.i4.19042 has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[13:33:46]	[OOC] Yisugei Qatun: I forget, what's thje command to get rid of the grey looking specular map?
[13:33:54]	[OOC] CCA.C17-UNION.i4.19042: mat_specular 0
[13:33:58]	[OOC] Yisugei Qatun: Danke
[13:34:01]	CCA.C17-UNION.i4.19042 entered observer.
[13:34:02]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:34:02]	CCA.C17-UNION.i4.19042 entered observer.
[13:34:03]	[Y] CCA.C08-QrM.98240: <:: Get over to the window to my right. ::>
[13:34:08]	[OOC] CCA.C17-UNION.i4.19042: yepyep
[13:34:15]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:34:15]	CCA.C17-UNION.i4.19042 entered observer.
[13:34:16]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:34:22]	CCA.C17-UNION.i4.19042 has spawned 'models/props_c17/FurnitureChair001a.mdl'.
[13:34:28]	CCA.C17-UNION.i4.19042 entered observer.
[13:34:48]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:34:55]	CCA.C17-UNION.i4.19042 has spawned 'models/props_c17/oildrum001.mdl'.
[13:34:57]	[ME] Yisugei Qatun: nods, slipping a hand under her coat to set out her coupon.
[13:35:05]	Yisugei Qatun used command '/Apply'.
[13:35:10]	Yisugei Qatun ran 'drop' on item 'Relocation Coupon' (#21135)
[13:35:10]	Yisugei Qatun has lost a 'Relocation Coupon' #21135.
[13:35:16]	[ME] CCA.C08-QrM.98240: takes out a PDA device and starts to type onto it.
[13:35:19]	CCA.C17-UNION.i4.19042 used command '/Event A loud crash comes from the slums.'.
