[04:45:06]	nicoida1990 has connected.
[12:43:27]	PFC Mitchell 'Lazzy' Lazarus has lost a 'Combat Knife' #6331.
[12:43:31]	PFC Mitchell 'Lazzy' Lazarus destroyed a 'Combat Knife' #6331.
[12:44:30]	CCA.C17-GRID.i1.59212 has taken 25 damage from gaz_trigger.
[12:44:31]	CCA.C17-GRID.i1.59212 has taken 25 damage from gaz_trigger.
[12:48:06]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[12:48:24]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[12:48:30]	CCA.C17-GRID.i1.59212 ran 'drop' on item 'Empty Shotgun Shells' (#6878)
[12:48:30]	CCA.C17-GRID.i1.59212 has lost a 'Empty Shotgun Shells' #6878.
[12:48:31]	CCA.C17-GRID.i1.59212 ran 'drop' on item 'Empty Shotgun Shells' (#6877)
[12:48:31]	CCA.C17-GRID.i1.59212 has lost a 'Empty Shotgun Shells' #6877.
[12:48:32]	CCA.C17-GRID.i1.59212 ran 'drop' on item 'Empty Shotgun Shells' (#6876)
[12:48:32]	CCA.C17-GRID.i1.59212 has lost a 'Empty Shotgun Shells' #6876.
[12:48:34]	CCA.C17-GRID.i1.59212 ran 'drop' on item 'Empty Shotgun Shells' (#6875)
[12:48:34]	CCA.C17-GRID.i1.59212 has lost a 'Empty Shotgun Shells' #6875.
[12:48:50]	CCA.C17-GRID.i1.59212 ran 'use' on item '9mm Pistol Magazine' (#6879)
[12:48:52]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[12:54:53]	CCA.C17-GRID.i1.59212 ran 'use' on item '9mm Pistol Magazine' (#6880)
[12:54:54]	CCA.C17-GRID.i1.59212 ran 'use' on item '9mm Pistol Magazine' (#6881)
[12:54:55]	CCA.C17-GRID.i1.59212 ran 'use' on item '9mm Pistol Magazine' (#6888)
[12:54:57]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[12:58:36]	PFC Mitchell 'Lazzy' Lazarus has taken 72 damage from CCA.C17-GRID.i1.59212.
[12:58:36]	PFC Mitchell 'Lazzy' Lazarus has taken 72 damage from CCA.C17-GRID.i1.59212.
[12:58:36]	CCA.C17-GRID.i1.59212 has killed PFC Mitchell 'Lazzy' Lazarus with weapon_pistol.
[13:02:47]	Apollo7771FO3 has connected.
[13:04:22]	Apollo7771FO3 loaded the character 'Todd Muller'
[13:05:39]	DRD (STEAM_0:0:193599766) has disconnected.
[13:07:27]	Apollo7771FO3 (STEAM_0:1:40787669) has disconnected.
[13:07:39]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
