[03:37:46]	Peppermint has connected.
[13:59:32]	Andrew Cloverman entered observer.
[13:59:37]	Andrew Cloverman exited observer at their location.
[13:59:38]	Andrew Cloverman entered observer.
[13:59:38]	Andrew Cloverman exited observer at their location.
[13:59:39]	Andrew Cloverman entered observer.
[13:59:39]	Andrew Cloverman exited observer at their location.
[13:59:40]	Andrew Cloverman entered observer.
[13:59:41]	Andrew Cloverman exited observer at their location.
[13:59:41]	Andrew Cloverman entered observer.
[13:59:41]	Andrew Cloverman exited observer at their location.
[13:59:43]	Andrew Cloverman entered observer.
[13:59:44]	[ME] Andrew Cloverman: takes out their datapad and types a couple things in.
[13:59:46]	[Y] Andrew Cloverman: Test.
[13:59:51]	Andrew Cloverman exited observer at their location.
[13:59:56]	[Y] Andrew Cloverman: Test.
[14:00:01]	Andrew Cloverman has gained a 'Padlock' #30449.
[14:00:01]	Andrew Cloverman used command '/CharGiveItem andrew padlock'.
[14:00:03]	Andrew Cloverman ran 'Use' on item 'Padlock' (#30449)
[14:00:17]	Andrew Cloverman entered observer.
[14:00:35]	Andrew Cloverman used command '/ToggleRaise'.
[14:00:37]	Andrew Cloverman exited observer at their location.
[14:00:37]	Andrew Cloverman entered observer.
[14:00:37]	Andrew Cloverman exited observer at their location.
[14:00:41]	Andrew Cloverman entered observer.
[14:00:52]	Andrew Cloverman exited observer at their location.
[14:00:52]	Andrew Cloverman entered observer.
[14:01:08]	Andrew Cloverman exited observer at their location.
[14:01:10]	Andrew Cloverman entered observer.
[14:01:12]	Andrew Cloverman exited observer at their location.
[14:01:16]	Andrew Cloverman entered observer.
[14:01:19]	Andrew Cloverman exited observer at their location.
[14:01:25]	Andrew Cloverman entered observer.
[14:01:33]	Andrew Cloverman exited observer at their location.
[14:01:50]	Andrew Cloverman entered observer.
[14:01:59]	Andrew Cloverman exited observer at their location.
[14:02:04]	Andrew Cloverman entered observer.
[14:02:06]	Andrew Cloverman exited observer at their location.
[14:02:25]	Andrew Cloverman has removed map entity #4266 (models/props_c17/hospital_bed01.mdl).
[14:02:25]	Andrew Cloverman used command '/MapEntRemove'.
[14:02:27]	Andrew Cloverman has removed map entity #4494 (models/props_c17/hospital_cart01.mdl).
[14:02:27]	Andrew Cloverman used command '/MapEntRemove'.
[14:02:30]	Andrew Cloverman used command '/MapEntRemove'.
[14:02:31]	Andrew Cloverman has removed map entity #4269 (models/props_c17/hospital_ivstand01.mdl).
[14:02:31]	Andrew Cloverman used command '/MapEntRemove'.
[14:02:32]	Andrew Cloverman entered observer.
[14:02:37]	Andrew Cloverman exited observer at their location.
[14:02:39]	Andrew Cloverman has removed map entity #4271 (models/props_wasteland/controlroom_desk001b.mdl).
[14:02:39]	Andrew Cloverman used command '/MapEntRemove'.
[14:02:45]	Andrew Cloverman has removed map entity #4267 (models/props_c17/hospital_bed01.mdl).
[14:02:45]	Andrew Cloverman used command '/MapEntRemove'.
[14:02:47]	Andrew Cloverman has removed map entity #4270 (models/props_c17/hospital_ivstand01.mdl).
[14:02:47]	Andrew Cloverman used command '/MapEntRemove'.
[14:02:48]	Andrew Cloverman has removed map entity #4268 (models/props_c17/hospital_cart01.mdl).
[14:02:48]	Andrew Cloverman used command '/MapEntRemove'.
[14:02:50]	Andrew Cloverman has spawned 'models/props_unique/hospital/exam_table.mdl'.
[14:03:00]	Andrew Cloverman entered observer.
[14:03:02]	Andrew Cloverman exited observer at their location.
[14:03:03]	Andrew Cloverman has spawned 'models/props_unique/hospital/iv_pole.mdl'.
[14:03:18]	Andrew Cloverman has spawned 'models/props_c17/hospital_cart01.mdl'.
[14:03:29]	Andrew Cloverman entered observer.
[14:03:29]	Andrew Cloverman exited observer at their location.
[14:03:33]	Andrew Cloverman entered observer.
[14:03:39]	Andrew Cloverman exited observer at their location.
[14:03:56]	Andrew Cloverman has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[14:04:01]	Andrew Cloverman has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[14:04:07]	Andrew Cloverman has set the password for 'Metal Cabinet'.
[14:04:08]	Andrew Cloverman opened the 'Metal Cabinet' #2824 container.
[14:04:10]	Andrew Cloverman closed the 'Metal Cabinet' #2824 container.
[14:04:15]	Andrew Cloverman has set the password for 'Metal Cabinet'.
[14:04:22]	Andrew Cloverman entered observer.
[14:04:23]	Andrew Cloverman exited observer at their location.
[14:04:26]	Andrew Cloverman entered observer.
[14:04:29]	Andrew Cloverman exited observer at their location.
[14:04:30]	Andrew Cloverman has spawned 'models/props_wasteland/controlroom_filecabinet002a.mdl'.
[14:04:35]	Andrew Cloverman opened the 'File Cabinet' #2826 container.
[14:04:37]	Andrew Cloverman closed the 'File Cabinet' #2826 container.
[14:04:40]	Andrew Cloverman has set the password for 'File Cabinet'.
[14:04:44]	Andrew Cloverman has spawned 'models/props_wasteland/controlroom_filecabinet002a.mdl'.
[14:05:19]	Andrew Cloverman has set the password for 'File Cabinet'.
[14:05:43]	Andrew Cloverman entered observer.
[14:05:46]	Andrew Cloverman exited observer at their location.
[14:05:49]	Andrew Cloverman has spawned 'models/props_interiors/magazine_rack.mdl'.
[14:06:02]	Andrew Cloverman has spawned 'models/props/cs_office/offpaintingi.mdl'.
[14:06:43]	Andrew Cloverman entered observer.
[14:06:48]	Andrew Cloverman exited observer at their location.
[14:06:57]	Andrew Cloverman has spawned a 'Entity [2170][ix_unionlock]'.
[14:06:59]	Andrew Cloverman entered observer.
[14:07:01]	Andrew Cloverman has spawned a 'Entity [2364][ix_unionlock]'.
[14:07:16]	Andrew Cloverman exited observer at their location.
[14:07:32]	Andrew Cloverman entered observer.
[14:07:33]	Andrew Cloverman exited observer at their location.
[14:07:35]	Andrew Cloverman entered observer.
[14:07:37]	Andrew Cloverman exited observer at their location.
[14:07:45]	Andrew Cloverman entered observer.
[14:07:48]	Andrew Cloverman exited observer at their location.
[14:07:48]	Andrew Cloverman entered observer.
[14:07:54]	[ME] Andrew Cloverman: takes out their datapad and types a couple things in.
[14:07:59]	Andrew Cloverman exited observer at their location.
[14:08:04]	Andrew Cloverman entered observer.
[14:08:06]	Andrew Cloverman exited observer at their location.
[14:08:09]	Andrew Cloverman has spawned 'models/props/cs_office/offcorkboarda.mdl'.
[14:08:18]	Andrew Cloverman entered observer.
[14:08:21]	Andrew Cloverman exited observer at their location.
[14:08:33]	Andrew Cloverman has spawned 'models/props/cs_assault/NoStopsSign.mdl'.
[14:08:35]	Andrew Cloverman has spawned 'models/props/cs_assault/NoStopsSign.mdl'.
[14:08:38]	Andrew Cloverman has spawned 'models/props/cs_assault/NoStopsSign.mdl'.
[14:08:46]	Andrew Cloverman has spawned 'models/props/cs_assault/NoParking.mdl'.
[14:08:51]	Andrew Cloverman has spawned 'models/props/cs_assault/pylon.mdl'.
[14:08:55]	Andrew Cloverman has spawned 'models/props/cs_assault/stoplight.mdl'.
[14:08:58]	Andrew Cloverman entered observer.
[14:09:06]	Andrew Cloverman has spawned 'models/props/cs_assault/ChainTrainStationSign.mdl'.
[14:09:08]	Andrew Cloverman has spawned 'models/props/cs_assault/TicketMachine.mdl'.
[14:09:11]	Andrew Cloverman exited observer at their location.
[14:09:17]	Andrew Cloverman has spawned 'models\props/cs_office/offcertificatea.mdl'.
[14:09:24]	Andrew Cloverman entered observer.
[14:09:24]	Andrew Cloverman exited observer at their location.
[14:09:27]	Andrew Cloverman has spawned 'models\props/cs_office/offpaintingg.mdl'.
[14:09:28]	Andrew Cloverman has spawned 'models\props/cs_office/offcertificatea.mdl'.
[14:09:35]	Andrew Cloverman has removed map entity #4265 (models/props_wasteland/controlroom_desk001b.mdl).
[14:09:35]	Andrew Cloverman used command '/MapEntRemove'.
[14:10:03]	Andrew Cloverman entered observer.
[14:10:04]	Andrew Cloverman exited observer at their location.
[14:10:10]	Andrew Cloverman has spawned 'models\props/cs_office/offinspg.mdl'.
[14:10:17]	Andrew Cloverman has spawned 'models\props/cs_office/offpaintingk.mdl'.
[14:10:34]	Andrew Cloverman has spawned 'models\props/cs_office/offcertificatea.mdl'.
[14:11:15]	Andrew Cloverman has spawned 'models\props/cs_office/offcertificatea.mdl'.
[14:11:16]	Andrew Cloverman has spawned 'models\props/cs_office/offcertificatea.mdl'.
[14:11:17]	Andrew Cloverman has spawned 'models\props/cs_office/offcertificatea.mdl'.
[14:11:31]	Andrew Cloverman has spawned 'models\props/cs_office/offcertificatea.mdl'.
[14:11:31]	Andrew Cloverman has spawned 'models\props/cs_office/offcertificatea.mdl'.
[14:11:36]	Andrew Cloverman has spawned 'models\props/cs_office/offcertificatea.mdl'.
[14:11:36]	Andrew Cloverman has spawned 'models\props/cs_office/offcertificatea.mdl'.
[14:11:50]	Andrew Cloverman entered observer.
[14:11:54]	Andrew Cloverman exited observer at their location.
[14:11:57]	Andrew Cloverman entered observer.
[14:11:59]	Andrew Cloverman exited observer at their location.
[14:11:59]	Andrew Cloverman entered observer.
[14:12:01]	Andrew Cloverman exited observer at their location.
[14:12:02]	Andrew Cloverman entered observer.
[14:12:03]	Andrew Cloverman exited observer at their location.
[14:12:05]	Andrew Cloverman entered observer.
[14:12:10]	Andrew Cloverman exited observer at their location.
[14:12:32]	Andrew Cloverman has spawned 'models/props_wasteland/controlroom_desk001a.mdl'.
[14:12:38]	Andrew Cloverman has spawned 'models/props_office/desk_01.mdl'.
[14:12:54]	Andrew Cloverman has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[14:12:56]	Andrew Cloverman has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[14:13:27]	Andrew Cloverman has spawned 'models/props_warehouse/office_furniture_desk.mdl'.
[14:13:29]	Andrew Cloverman has spawned 'models/props_warehouse/office_furniture_coffee_table.mdl'.
[14:13:29]	Andrew Cloverman entered observer.
[14:13:30]	Andrew Cloverman has spawned 'models/U4Lab/desk_office_a.mdl'.
[14:13:37]	Andrew Cloverman has spawned 'models/props/cs_office/table_coffee.mdl'.
[14:13:41]	Andrew Cloverman exited observer at their location.
[14:13:49]	Andrew Cloverman entered observer.
[14:13:55]	Andrew Cloverman exited observer at their location.
[14:13:59]	Andrew Cloverman has spawned 'models/props/de_inferno/fountain.mdl'.
[14:14:00]	Andrew Cloverman entered observer.
[14:14:05]	Andrew Cloverman exited observer at their location.
[14:14:07]	Andrew Cloverman has spawned 'models/props/cs_office/trash_can_p.mdl'.
[14:14:14]	Andrew Cloverman has spawned 'models/props/cs_militia/bar01.mdl'.
[14:14:14]	Andrew Cloverman entered observer.
[14:14:23]	Andrew Cloverman has spawned 'models/props/cs_militia/bar01.mdl'.
[14:14:33]	Andrew Cloverman has spawned 'models/props_interiors/desk_motel.mdl'.
[14:14:38]	Andrew Cloverman exited observer at their location.
[14:15:00]	Andrew Cloverman has spawned 'models/props_interiors/dinning_table_oval.mdl'.
[14:15:34]	Andrew Cloverman has spawned 'models/props_silo/wall_console3.mdl'.
[14:15:38]	Andrew Cloverman has spawned 'models/props_silo/silo_server_a.mdl'.
[14:15:40]	Andrew Cloverman has spawned 'models/props_silo/silo_server_a.mdl'.
[14:15:42]	Andrew Cloverman has spawned 'models/props_silo/silo_elevator.mdl'.
[14:15:42]	Andrew Cloverman entered observer.
[14:15:44]	Andrew Cloverman has spawned 'models/props_silo/ladderrung.mdl'.
[14:15:45]	Andrew Cloverman has spawned 'models/props_silo/launch_button.mdl'.
[14:15:58]	Andrew Cloverman has spawned 'models/props_silo/pushcart.mdl'.
[14:16:00]	Andrew Cloverman has spawned 'models/props_silo/silo_launchroom_monitor.mdl'.
[14:16:08]	Andrew Cloverman exited observer at their location.
[14:16:09]	Andrew Cloverman entered observer.
[14:16:22]	Andrew Cloverman has spawned 'models/props_silo/rocket.mdl'.
[14:16:30]	Andrew Cloverman has spawned 'models/props_silo/silo_door01_static.mdl'.
[14:16:34]	Andrew Cloverman has spawned 'models/props_silo/silo_door01.mdl'.
[14:16:39]	Andrew Cloverman has spawned 'models/props_silo/silo_workspace1.mdl'.
[14:16:44]	Andrew Cloverman has spawned 'models/props_silo/acunit01.mdl'.
[14:16:48]	Andrew Cloverman has spawned 'models/props_silo/acunit02.mdl'.
[14:16:49]	Andrew Cloverman has spawned 'models/props_silo/acunit02.mdl'.
[14:16:55]	Andrew Cloverman has spawned 'models/props_silo/acunit02.mdl'.
[14:17:08]	Andrew Cloverman exited observer at their location.
[14:17:12]	Andrew Cloverman entered observer.
[14:17:14]	Andrew Cloverman exited observer at their location.
[14:17:15]	Andrew Cloverman has spawned 'models/props_silo/acunit01.mdl'.
[14:17:15]	Andrew Cloverman has taken 5 damage from prop_physics.
[14:17:16]	Andrew Cloverman entered observer.
[14:17:21]	Andrew Cloverman has spawned 'models/props_silo/acunit01.mdl'.
[14:17:44]	Andrew Cloverman exited observer at their location.
[14:17:45]	Andrew Cloverman has taken 13 damage from worldspawn.
[14:17:48]	Andrew Cloverman entered observer.
[14:17:49]	Andrew Cloverman exited observer at their location.
[14:17:50]	Andrew Cloverman has spawned 'models/props_silo/floodlight01.mdl'.
[14:17:54]	Andrew Cloverman has spawned 'models/props_silo/fuel_cask.mdl'.
[14:17:56]	Andrew Cloverman has spawned 'models/props_silo/floodlights_01.mdl'.
[14:17:57]	Andrew Cloverman entered observer.
[14:17:59]	Andrew Cloverman exited observer at their location.
[14:18:03]	Andrew Cloverman has spawned 'models/props_silo/floodlights_01.mdl'.
[14:18:08]	Andrew Cloverman has spawned 'models/props_silo/ventilationduct02.mdl'.
[14:18:10]	Andrew Cloverman has spawned 'models/props_silo/turret.mdl'.
[14:18:11]	Andrew Cloverman has spawned 'models/props_silo/ventilationduct02large.mdl'.
[14:18:14]	Andrew Cloverman has spawned 'models/props_silo/vents.mdl'.
[14:18:14]	Andrew Cloverman has taken 10 damage from prop_physics.
[14:18:15]	Andrew Cloverman entered observer.
[14:18:42]	Andrew Cloverman exited observer at their location.
[14:18:50]	Andrew Cloverman has spawned 'models/props_lab/citizenradio.mdl'.
[14:19:18]	Andrew Cloverman has spawned 'models/props_interiors/SinkKitchen01a.mdl'.
[14:19:55]	Andrew Cloverman has spawned 'models/props_interiors/SinkKitchen01a.mdl'.
[14:20:39]	Andrew Cloverman has spawned 'models/props_interiors/soap_dispenser.mdl'.
[14:21:03]	Andrew Cloverman entered observer.
[14:21:16]	Andrew Cloverman exited observer at their location.
[14:21:24]	Andrew Cloverman has spawned 'models\props/cs_office/Paper_towels.mdl'.
[14:21:53]	Andrew Cloverman has spawned 'models/props_interiors/SinkKitchen01a.mdl'.
[14:22:42]	Andrew Cloverman has spawned 'models/props_interiors/soap_dispenser.mdl'.
[14:22:50]	Andrew Cloverman entered observer.
[14:23:39]	Andrew Cloverman exited observer at their location.
[14:23:41]	Andrew Cloverman entered observer.
[14:24:15]	Andrew Cloverman exited observer at their location.
[14:24:16]	Andrew Cloverman entered observer.
[14:24:17]	Andrew Cloverman exited observer at their location.
[14:24:18]	Andrew Cloverman entered observer.
[14:24:19]	Andrew Cloverman exited observer at their location.
[14:24:19]	Andrew Cloverman entered observer.
[14:24:19]	Andrew Cloverman exited observer at their location.
[14:24:21]	Andrew Cloverman entered observer.
[14:24:23]	Andrew Cloverman exited observer at their location.
[14:24:25]	Andrew Cloverman entered observer.
[14:24:28]	Andrew Cloverman exited observer at their location.
[14:24:30]	Andrew Cloverman entered observer.
[14:24:34]	Andrew Cloverman has spawned 'models/props_unique/hospital/surgery_lamp.mdl'.
[14:24:58]	Andrew Cloverman exited observer at their location.
[14:24:58]	Andrew Cloverman entered observer.
[14:25:00]	Andrew Cloverman exited observer at their location.
[14:25:12]	Andrew Cloverman has spawned 'models/props/cs_office/trash_can_p.mdl'.
[14:25:20]	Andrew Cloverman entered observer.
[14:25:27]	Andrew Cloverman exited observer at their location.
[14:25:28]	Andrew Cloverman has spawned 'models/props_urban/bench001.mdl'.
[14:25:32]	Andrew Cloverman entered observer.
[14:25:35]	Andrew Cloverman exited observer at their location.
[14:25:35]	Andrew Cloverman entered observer.
[14:26:02]	Andrew Cloverman exited observer at their location.
[14:26:04]	Andrew Cloverman entered observer.
[14:26:15]	Andrew Cloverman exited observer at their location.
[14:26:16]	Andrew Cloverman entered observer.
[14:26:17]	Andrew Cloverman exited observer at their location.
[14:26:23]	[ME] Andrew Cloverman: takes out their datapad and types a couple things in.
[14:26:24]	Andrew Cloverman entered observer.
[14:26:25]	Andrew Cloverman exited observer at their location.
[14:26:51]	Andrew Cloverman has spawned 'models/props_interiors/chairlobby01.mdl'.
[14:26:54]	Andrew Cloverman has spawned 'models/props_vtmb/armchair.mdl'.
[14:26:55]	Andrew Cloverman has spawned 'models/props_warehouse/office_furniture_couch.mdl'.
[14:26:57]	Andrew Cloverman has spawned 'models/props_interiors/sofa01.mdl'.
[14:26:59]	Andrew Cloverman has spawned 'models/props_interiors/sofa02.mdl'.
[14:27:00]	Andrew Cloverman has spawned 'models/props_interiors/sofa01.mdl'.
[14:27:01]	Andrew Cloverman entered observer.
[14:27:03]	Andrew Cloverman has spawned 'models/props_interiors/sofa02.mdl'.
[14:27:09]	Andrew Cloverman has spawned 'models/props_interiors/sofa_chair02.mdl'.
[14:27:11]	Andrew Cloverman exited observer at their location.
[14:27:12]	Andrew Cloverman has spawned 'models/props_interiors/ottoman01.mdl'.
[14:27:52]	Andrew Cloverman entered observer.
[14:27:52]	Andrew Cloverman has spawned 'models/props_phx/misc/potato_launcher_explosive.mdl'.
[14:28:35]	Andrew Cloverman has spawned 'models/chairs/armchair.mdl'.
[14:28:36]	Andrew Cloverman has spawned 'models/props/cs_militia/couch.mdl'.
[14:28:36]	Andrew Cloverman exited observer at their location.
[14:28:38]	Andrew Cloverman entered observer.
[14:28:39]	Andrew Cloverman exited observer at their location.
[14:28:39]	Andrew Cloverman entered observer.
[14:28:40]	Andrew Cloverman exited observer at their location.
[14:28:41]	Andrew Cloverman entered observer.
[14:28:42]	Andrew Cloverman has spawned 'models/props/cs_militia/couch.mdl'.
[14:28:43]	Andrew Cloverman exited observer at their location.
[14:28:44]	Andrew Cloverman entered observer.
[14:28:47]	Andrew Cloverman exited observer at their location.
[14:28:48]	Andrew Cloverman entered observer.
[14:29:11]	Andrew Cloverman exited observer at their location.
[14:29:20]	Andrew Cloverman has spawned 'models/props_unique/hospital/gurney.mdl'.
[14:29:23]	Andrew Cloverman has spawned 'models/props_unique/hospital/exam_table.mdl'.
[14:29:27]	Andrew Cloverman has spawned 'models/props_equipment/phone_booth.mdl'.
[14:29:46]	Andrew Cloverman has spawned 'models/props_trainstation/trainstation_column001.mdl'.
[14:29:52]	Andrew Cloverman has spawned 'models/props_wasteland/controlroom_chair001a.mdl'.
[14:30:28]	Andrew Cloverman has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[14:31:14]	Andrew Cloverman entered observer.
