[00:01:09]	Mrchicken has connected.
[00:08:03]	James Jacob entered observer.
[00:08:04]	James Jacob exited observer at their location.
[00:08:06]	[OOC] Thomas Banks: ?
[00:08:07]	bruh moment loaded the character 'Nikolai Vorchevski'
[00:08:08]	Zurlox created the character 'Oscar McDonald'
[00:08:11]	[OOC] OTA.C17-NOVA.20019: talking to farrer
[00:08:12]	Zurlox loaded the character 'Oscar McDonald'
[00:08:18]	DeWees has connected.
[00:08:18]	[OOC] Thomas Banks: ahh
[00:08:22]	[OOC] Oscar McDonald: huh
[00:08:24]	James Jacob entered observer.
[00:08:25]	James Jacob exited observer at their location.
[00:08:27]	James Jacob entered observer.
[00:08:29]	James Jacob exited observer at their location.
[00:08:30]	Nikolai Vorchevski has taken 97 damage from worldspawn.
[00:08:31]	James Jacob entered observer.
[00:08:32]	OTA.C17-NOVA.20019 entered observer.
[00:08:32]	James Jacob exited observer at their location.
[00:08:35]	OTA.C17-NOVA.20019 exited observer at their location.
[00:08:47]	Nikolai Vorchevski has taken 35 damage from worldspawn.
[00:08:47]	worldspawn has killed Nikolai Vorchevski.
[00:08:53]	[OOC] Nikolai Vorchevski: hans dont be tasteless
[00:08:54]	OTA.C17-NOVA.20019 entered observer.
[00:08:55]	OTA.C17-NOVA.20019 exited observer at their location.
[00:08:56]	OTA.C17-NOVA.20019 entered observer.
[00:08:57]	OTA.C17-NOVA.20019 exited observer at their location.
[00:09:00]	OTA.C17-NOVA.20019 entered observer.
[00:09:01]	James Jacob entered observer.
[00:09:02]	James Jacob exited observer at their location.
[00:09:02]	OTA.C17-NOVA.20019 exited observer at their location.
[00:09:02]	OTA.C17-NOVA.20019 entered observer.
[00:09:02]	OTA.C17-NOVA.20019 exited observer at their location.
[00:09:04]	PenguinXD (STEAM_0:1:84578840) has disconnected.
[00:09:14]	[LOOC] Nikolai Vorchevski: y
[00:09:15]	DeWees loaded the character 'Oleg Rust'
[00:09:16]	[LOOC] Oscar McDonald: im gonna rejoin because im tposing
[00:09:16]	[LOOC] OTA.C17-NOVA.20019: ?
[00:09:20]	[LOOC] Nikolai Vorchevski: yo how do i become one of you
[00:09:24]	[LOOC] Nikolai Vorchevski: with those hazmat
[00:09:28]	Zurlox (STEAM_0:0:135929428) has disconnected.
[00:09:53]	KirtsteepAC loaded the character 'CCA.C17-UNION.i5.70205'
[00:10:00]	[LOOC] OTA.C17-NOVA.20019: we do in character applications for metropolice, and when you rank up enough in metropolice, you get a combine grunt
[00:10:07]	[LOOC] Nikolai Vorchevski: I see.
[00:10:12]	[LOOC] Nikolai Vorchevski: Where are apps?
[00:10:20]	[LOOC] Nikolai Vorchevski: or when
[00:10:35]	[LOOC] OTA.C17-NOVA.20019: where? in the nexus lobby. When? not sure, i don't normally schedule them
[00:10:42]	[LOOC] Nikolai Vorchevski: i see.
[00:10:44]	[LOOC] Nikolai Vorchevski: thanks
[00:11:10]	Nikolai Vorchevski used command '/CharDesc'.
[00:11:15]	Nikolai Vorchevski used command '/CharDesc He'd have a deep russian accent. - He'd be in his early 30's. - He'd wear muddy boots, and a dirty blue jumpsuit. He'd be pretty Athletic..He'd be 6'7'.
[00:11:23]	OTA.C17-NOVA.20019 entered observer.
[00:11:29]	Mr. Chief loaded the character 'OTA.C17-KING.i3.50919'
[00:11:37]	OTA.C17-NOVA.20019 has gained 40 tokens.
[00:11:38]	[OOC] Thomas Banks: yo q
[00:11:41]	OTA.C17-KING.i3.50919 entered observer.
[00:11:44]	[OOC] Nikolai Vorchevski: am i muted wtf
[00:11:50]	[OOC] Nikolai Vorchevski: i cant talk in ic chat
[00:11:55]	[OOC] CCA.C17-UNION.i5.70205: are we ignoring the event?
[00:11:58]	[OOC] Thomas Banks: can anyone go outside
[00:12:02]	OTA.C17-KING.i3.50919 exited observer at their location.
[00:12:02]	OTA.C17-KING.i3.50919 entered observer.
[00:12:34]	OTA.C17-KING.i3.50919 exited observer at their location.
[00:12:41]	OTA.C17-KING.i3.50919 entered observer.
[00:12:41]	OTA.C17-KING.i3.50919 exited observer at their location.
[00:12:42]	OTA.C17-KING.i3.50919 entered observer.
[00:12:47]	[OOC] Nikolai Vorchevski: i cant talk in ic
[00:12:49]	[OOC] Nikolai Vorchevski: why
[00:12:57]	[OOC] Nikolai Vorchevski: yea
[00:13:02]	[OOC] Nikolai Vorchevski: no
[00:13:17]	[OOC] OTA.C17-NOVA.20019: you can't tlak in iC?
[00:13:20]	[OOC] Nikolai Vorchevski: nope
[00:13:26]	[OOC] Nikolai Vorchevski: cant talk IC at all
[00:13:29]	[OOC] OTA.C17-NOVA.20019: try to send a message in IC and i'll watch console
[00:13:40]	[OOC] Nikolai Vorchevski: i did it
[00:13:52]	[OOC] OTA.C17-NOVA.20019: [ERROR] gamemodes/ixhl2rp/schema/meta/sh_player.lua:15: attempt to call method 'IsCombineRank' (a nil value)
[00:13:53]	[OOC] OTA.C17-NOVA.20019: hoyl fuck
[00:13:56]	James Jacob entered observer.
[00:13:58]	James Jacob exited observer at their location.
[00:14:03]	OTA.C17-KING.i3.50919 exited observer at their location.
[00:14:04]	OTA.C17-KING.i3.50919 entered observer.
[00:14:08]	James Jacob entered observer.
[00:14:15]	[OOC] Nikolai Vorchevski: ?
[00:14:16]	[OOC] OTA.C17-NOVA.20019: how did this break
[00:14:18]	James Jacob exited observer at their location.
[00:14:18]	James Jacob entered observer.
[00:14:28]	James Jacob exited observer at their location.
[00:14:28]	James Jacob entered observer.
[00:14:30]	James Jacob exited observer at their location.
[00:14:30]	James Jacob entered observer.
[00:14:32]	[OOC] Nikolai Vorchevski: what break
[00:14:36]	James Jacob exited observer at their location.
[00:14:47]	James Jacob entered observer.
[00:14:57]	CCA.C17-UNION.i5.70205 has gained 10 tokens.
[00:15:00]	[LOOC] Nikolai Vorchevski: yo
[00:15:09]	[OOC] Nikolai Vorchevski: how did what break
[00:15:20]	[OOC] CCA.C17-UNION.i5.70205: talking
[00:16:09]	Nikolai Vorchevski ran 'take' on item 'Empty Bottle' (#1716)
[00:16:09]	Nikolai Vorchevski has gained a 'Empty Bottle' #1716.
[00:16:33]	OTA.C17-KING.i3.50919 has gained 40 tokens.
[00:16:41]	OTA.C17-NOVA.20019 has gained 40 tokens.
[00:16:41]	Nikolai Vorchevski opened the '' #318 container.
[00:16:43]	Nikolai Vorchevski closed the '' #318 container.
[00:17:14]	Nikolai Vorchevski ran 'Equip' on item 'Empty Bottle' (#1716)
[00:17:37]	[OOC] OTA.C17-NOVA.20019: somebody plase talk in IC who isn't combine
[00:22:26]	wolfmaster666 has connected.
[00:22:38]	bruh moment has connected.
[00:22:41]	wolfmaster666 loaded the character 'Thomas Banks'
[00:22:59]	bruh moment loaded the character 'Nikolai Vorchevski'
[00:23:04]	[OOC] Nikolai Vorchevski: bruh
[00:23:13]	[OOC] Nikolai Vorchevski: epic bruh moment
[00:23:20]	[OOC] Nikolai Vorchevski: thomas meet at club
[00:23:23]	matt saton has connected.
[00:23:49]	TheBloodMaster has connected.
[00:24:17]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1716)
[00:24:18]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1716)
[00:24:23]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1716)
[00:24:25]	DeWees has connected.
[00:24:29]	Nikolai Vorchevski ran 'take' on item 'Empty Bottle' (#1716)
[00:24:30]	Nikolai Vorchevski ran 'take' on item 'Empty Bottle' (#1716)
[00:24:33]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1716)
[00:24:35]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1716)
[00:24:37]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1716)
[00:24:39]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1716)
[00:24:41]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1716)
[00:24:43]	KirtsteepAC has connected.
[00:24:45]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1716)
[00:24:46]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1716)
[00:24:47]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1716)
[00:24:47]	Thomas Banks destroyed a 'Empty Bottle' #1716.
[00:24:57]	Thomas Banks opened the '' #318 container.
[00:24:58]	matt saton loaded the character 'Gabe Hill'
[00:24:59]	Gabe Hill entered observer.
[00:25:01]	Thomas Banks closed the '' #318 container.
[00:25:04]	Nikolai Vorchevski opened the '' #318 container.
[00:25:05]	[OOC] Gabe Hill: sorry, trying to fix it
[00:25:06]	Nikolai Vorchevski closed the '' #318 container.
[00:25:07]	[OOC] Gabe Hill: shit keeps brekaing
[00:25:15]	DeWees loaded the character 'Oleg Rust'
[00:25:44]	Thomas Banks ran 'take' on item 'UU Brand Cheese' (#1725)
[00:25:44]	Thomas Banks has gained a 'UU Brand Cheese' #1725.
[00:25:45]	Nikolai Vorchevski ran 'take' on item 'UU Brand Apple' (#1726)
[00:25:45]	Nikolai Vorchevski has gained a 'UU Brand Apple' #1726.
[00:25:46]	Thomas Banks ran 'take' on item 'UU Brand Cheese' (#1724)
[00:25:46]	Thomas Banks has gained a 'UU Brand Cheese' #1724.
[00:25:51]	Nikolai Vorchevski ran 'take' on item 'Empty Bottle' (#1721)
[00:25:51]	Nikolai Vorchevski has gained a 'Empty Bottle' #1721.
[00:25:52]	Nikolai Vorchevski ran 'take' on item 'Empty Bottle' (#1722)
[00:25:52]	Nikolai Vorchevski has gained a 'Empty Bottle' #1722.
[00:25:54]	Nikolai Vorchevski ran 'take' on item 'UU Brand Apple' (#1727)
[00:25:54]	Nikolai Vorchevski has gained a 'UU Brand Apple' #1727.
[00:25:54]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1723)
[00:25:54]	Thomas Banks has gained a 'Empty Bottle' #1723.
[00:25:55]	Nikolai Vorchevski ran 'take' on item 'UU Brand Apple' (#1728)
[00:25:55]	Nikolai Vorchevski has gained a 'UU Brand Apple' #1728.
[00:25:55]	Thomas Banks ran 'take' on item 'Empty Bottle' (#1720)
[00:25:55]	Thomas Banks has gained a 'Empty Bottle' #1720.
[00:26:10]	Thomas Banks ran 'Equip' on item 'Empty Bottle' (#1720)
[00:26:17]	Gabe Hill exited observer at their location.
[00:26:21]	[LOOC] Gabe Hill: how'd you open the door.
[00:26:29]	[LOOC] Gabe Hill: How exactly.
[00:26:39]	[LOOC] Nikolai Vorchevski: we based
[00:26:43]	[LOOC] Nikolai Vorchevski: bashed
[00:26:51]	[LOOC] Nikolai Vorchevski: like thi
[00:26:55]	[LOOC] Gabe Hill: not gonna work. Shitty glass bottles aren't going to break through a door.
[00:26:58]	[LOOC] Gabe Hill: or a combine lock
[00:27:05]	[LOOC] Nikolai Vorchevski: see?
[00:27:21]	[LOOC] Gabe Hill: I am saying realistically
[00:27:22]	[LOOC] Gabe Hill: they cannot
[00:27:25]	[LOOC] Nikolai Vorchevski: oh, okay
[00:27:34]	[LOOC] Gabe Hill: so drop everything you picked up
[00:27:40]	[LOOC] Gabe Hill: correct. especially on a metal door
[00:27:41]	Nikolai Vorchevski ran 'drop' on item 'UU Brand Apple' (#1727)
[00:27:41]	Nikolai Vorchevski has lost a 'UU Brand Apple' #1727.
[00:27:42]	Nikolai Vorchevski ran 'drop' on item 'UU Brand Apple' (#1728)
[00:27:42]	Nikolai Vorchevski has lost a 'UU Brand Apple' #1728.
[00:27:43]	Nikolai Vorchevski ran 'drop' on item 'UU Brand Apple' (#1726)
[00:27:43]	Nikolai Vorchevski has lost a 'UU Brand Apple' #1726.
[00:27:45]	Nikolai Vorchevski ran 'Equip' on item 'Empty Bottle' (#1721)
[00:27:46]	Nikolai Vorchevski ran 'drop' on item 'Empty Bottle' (#1721)
[00:27:46]	Nikolai Vorchevski has lost a 'Empty Bottle' #1721.
[00:27:50]	[LOOC] Gabe Hill: yeah
[00:28:07]	[LOOC] Gabe Hill: what about the warehouse?
[00:28:19]	[LOOC] Gabe Hill: yeah i know
[00:28:20]	[LOOC] Gabe Hill: wait
[00:28:20]	Gabe Hill used command '/DoorSetHidden true'.
[00:28:22]	[LOOC] Gabe Hill: you use bottles?
[00:28:24]	KirtsteepAC loaded the character 'CCA.C17-UNION.i5.70205'
[00:28:25]	[LOOC] Gabe Hill: not axes?
[00:28:28]	[LOOC] Gabe Hill: HOLY FUCKING FUCK
[00:28:29]	[LOOC] Gabe Hill: SON OF A 
[00:28:42]	[LOOC] Gabe Hill: ight it's time to take down the server and remove hl2 melee sweps
[00:28:57]	[LOOC] Gabe Hill: Yes.
[00:29:02]	KirtsteepAC (STEAM_0:1:168580379) has disconnected.
[00:29:03]	[LOOC] Gabe Hill: you're stopping people from exploiting a bug
[16:12:07]	PirateDavey has connected.
[16:12:45]	PirateDavey loaded the character 'CCA.C17-GRID.i5.80147'
[16:13:02]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'Backpack' (#1782)
[16:13:02]	CCA.C17-GRID.i5.80147 has lost a 'Backpack' #1782.
[16:13:02]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #1815.
[16:13:02]	CCA.C17-GRID.i5.80147 has lost a 'Zip Tie' #1820.
[16:13:02]	CCA.C17-GRID.i5.80147 has lost a 'Zip Tie' #1821.
[16:13:02]	CCA.C17-GRID.i5.80147 has lost a 'Zip Tie' #1810.
[16:13:02]	CCA.C17-GRID.i5.80147 has lost a 'Health Vial' #1816.
[16:13:02]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #1333.
[16:13:02]	CCA.C17-GRID.i5.80147 has lost a '9mm Pistol Bullets' #1808.
[16:13:04]	CCA.C17-GRID.i5.80147 ran 'take' on item 'Backpack' (#1782)
[16:13:04]	CCA.C17-GRID.i5.80147 has gained a 'Backpack' #1782.
[16:13:04]	CCA.C17-GRID.i5.80147 has gained a 'Health Vial' #1815.
[16:13:04]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #1820.
[16:13:04]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #1821.
[16:13:04]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #1810.
[16:13:04]	CCA.C17-GRID.i5.80147 has gained a 'Health Vial' #1816.
[16:13:04]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #1333.
[16:13:04]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #1808.
[16:15:24]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[16:15:24]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[16:15:29]	CCA.C17-GRID.i5.80147 has lost 10 tokens.
[16:15:29]	CCA.C17-GRID.i5.80147 has gained a '.357 Magnum Bullets' #2085.
[16:15:30]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:15:30]	CCA.C17-GRID.i5.80147 has gained a 'Pulse-Rifle Energy' #2086.
[16:15:33]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:15:33]	CCA.C17-GRID.i5.80147 has gained a 'Shotgun Shells' #2087.
[16:15:44]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[16:15:49]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:15:50]	CCA.C17-GRID.i5.80147 has gained a 'Pulse-Rifle Energy' #2088.
[16:15:50]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:15:50]	CCA.C17-GRID.i5.80147 has gained a 'Pulse-Rifle Energy' #2089.
[16:15:56]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[16:15:58]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:15:58]	CCA.C17-GRID.i5.80147 has gained a 'Backpack' #2090.
[16:16:00]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:00]	CCA.C17-GRID.i5.80147 has gained a 'Backpack' #2091.
[16:16:09]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[16:16:11]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:11]	CCA.C17-GRID.i5.80147 has gained a 'Pulse-Rifle Energy' #2092.
[16:16:12]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:12]	CCA.C17-GRID.i5.80147 has gained a 'Pulse-Rifle Energy' #2093.
[16:16:13]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:13]	CCA.C17-GRID.i5.80147 has gained a 'Pulse-Rifle Energy' #2094.
[16:16:16]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[16:16:19]	CCA.C17-GRID.i5.80147 has lost 65 tokens.
[16:16:19]	CCA.C17-GRID.i5.80147 has gained a 'Health Kit' #2095.
[16:16:21]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:21]	CCA.C17-GRID.i5.80147 has gained a 'Health Vial' #2096.
[16:16:21]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:21]	CCA.C17-GRID.i5.80147 has gained a 'Health Vial' #2097.
[16:16:22]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:22]	CCA.C17-GRID.i5.80147 has gained a 'Shotgun Shells' #2098.
[16:16:23]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:23]	CCA.C17-GRID.i5.80147 has gained a 'Shotgun Shells' #2099.
[16:16:24]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:24]	CCA.C17-GRID.i5.80147 has gained a 'SMG Bullets' #2100.
[16:16:24]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:24]	CCA.C17-GRID.i5.80147 has gained a 'SMG Bullets' #2101.
[16:16:24]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:24]	CCA.C17-GRID.i5.80147 has gained a 'SMG Bullets' #2102.
[16:16:25]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:25]	CCA.C17-GRID.i5.80147 has gained a 'SMG Bullets' #2103.
[16:16:26]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:26]	CCA.C17-GRID.i5.80147 has gained a 'Health Vial' #2104.
[16:16:28]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:28]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #2105.
[16:16:29]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:29]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #2106.
[16:16:29]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:29]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #2107.
[16:16:35]	matt saton has connected.
[16:16:41]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[16:16:44]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:16:44]	CCA.C17-GRID.i5.80147 has gained a 'Shotgun Shells' #2108.
[16:17:05]	RedZombie18 has connected.
[16:17:30]	CCA.C17-GRID.i5.80147 ran 'EquipUn' on item '.9mm Pistol' (#1209)
[16:17:31]	CCA.C17-GRID.i5.80147 ran 'Equip' on item '.9mm Pistol' (#1209)
[16:17:38]	CCA.C17-GRID.i5.80147 ran 'use' on item '9mm Pistol Bullets' (#1333)
[16:17:39]	CCA.C17-GRID.i5.80147 ran 'use' on item '9mm Pistol Bullets' (#1808)
[16:17:39]	RedZombie18 loaded the character 'Steven Harris'
[16:17:41]	CCA.C17-GRID.i5.80147 ran 'use' on item 'SMG Bullets' (#2100)
[16:17:42]	CCA.C17-GRID.i5.80147 ran 'use' on item 'Shotgun Shells' (#2108)
[16:17:43]	CCA.C17-GRID.i5.80147 ran 'use' on item 'Shotgun Shells' (#2099)
[16:17:45]	CCA.C17-GRID.i5.80147 has gained 10 tokens.
[16:17:54]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[16:17:58]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:17:58]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2108.
[16:17:59]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:17:59]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2109.
[16:17:59]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:17:59]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2110.
[16:18:00]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:18:00]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2111.
[16:18:00]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[16:18:00]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2112.
[16:18:52]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'Zip Tie' (#2106)
[16:18:52]	CCA.C17-GRID.i5.80147 has lost a 'Zip Tie' #2106.
[16:18:53]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'Zip Tie' (#2107)
[16:18:53]	CCA.C17-GRID.i5.80147 has lost a 'Zip Tie' #2107.
[16:18:57]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[16:19:01]	CCA.C17-GRID.i5.80147 ran 'take' on item 'Zip Tie' (#2107)
[16:19:01]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #2107.
[16:19:03]	CCA.C17-GRID.i5.80147 ran 'take' on item 'Zip Tie' (#2106)
[16:19:03]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #2106.
[16:19:23]	[OOC] CCA.C17-GRID.i5.80147: time to practice breaching, its not like we'll use it anyways
[16:20:42]	RedZombie18 loaded the character 'Luke Palmer'
[16:21:55]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'Suitcase' (#292)
[16:21:55]	CCA.C17-GRID.i5.80147 has lost a 'Suitcase' #292.
[16:21:55]	CCA.C17-GRID.i5.80147 has lost a 'Shotgun Shells' #2087.
[16:21:55]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2089.
[16:21:55]	CCA.C17-GRID.i5.80147 has lost a 'Zip Tie' #1223.
[16:21:55]	CCA.C17-GRID.i5.80147 has lost a '.357 Magnum Bullets' #2085.
[16:21:55]	CCA.C17-GRID.i5.80147 has lost a 'Health Kit' #1765.
[16:21:55]	CCA.C17-GRID.i5.80147 has lost a 'Pulse-Rifle Energy' #2088.
[16:21:55]	CCA.C17-GRID.i5.80147 has lost a 'Health Kit' #1757.
[16:21:55]	CCA.C17-GRID.i5.80147 has lost a 'Health Kit' #1334.
[16:21:57]	CCA.C17-GRID.i5.80147 ran 'take' on item 'Suitcase' (#292)
[16:21:57]	CCA.C17-GRID.i5.80147 has gained a 'Suitcase' #292.
[16:21:57]	CCA.C17-GRID.i5.80147 has gained a 'Shotgun Shells' #2087.
[16:21:57]	CCA.C17-GRID.i5.80147 has gained a 'Pulse-Rifle Energy' #2089.
[16:21:57]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #1223.
[16:21:57]	CCA.C17-GRID.i5.80147 has gained a '.357 Magnum Bullets' #2085.
[16:21:57]	CCA.C17-GRID.i5.80147 has gained a 'Health Kit' #1765.
[16:21:57]	CCA.C17-GRID.i5.80147 has gained a 'Pulse-Rifle Energy' #2088.
[16:21:57]	CCA.C17-GRID.i5.80147 has gained a 'Health Kit' #1757.
[16:21:57]	CCA.C17-GRID.i5.80147 has gained a 'Health Kit' #1334.
[16:22:02]	PK-Xen has connected.
[16:22:38]	CCA.C17-GRID.i5.80147 used command '/CharDesc'.
[16:22:45]	CCA.C17-GRID.i5.80147 has gained 10 tokens.
[16:22:55]	CCA.C17-GRID.i5.80147 used command '/CharDesc The man Standing before you is 5'14, Wears a white Metropolice Gas Mask & is proud to Serve the Combine.'.
[16:23:34]	PK-Xen loaded the character 'Elijah Simmons'
[16:23:39]	BlueHavoc911 has connected.
[16:23:49]	Elijah Simmons opened the '' #361 container.
[16:23:51]	Elijah Simmons has gained a 'Ration' #1624.
[16:23:54]	Elijah Simmons closed the '' #361 container.
[16:23:58]	[OOC] CCA.C17-GRID.i5.80147: me: has 3 backpacks, & 1 suitcase to have supplies
[16:24:05]	[OOC] CCA.C17-GRID.i5.80147: other combine: g u n 
[16:24:14]	[OOC] CCA.C17-GRID.i5.80147: basically sums up my situation right now
