[00:00:00]	[OOC] Drake Salvador: Aiight
[00:05:02]	Dispatch entered observer.
[00:05:05]	Dispatch used command '/Dispatch everyone ready?'.
[00:05:05]	[LOOC] Andrew 'Razor' Gonzalez: Hit the hole, you're in the goal
[00:05:07]	[OOC] Drake Salvador: Aye
[00:05:10]	[OOC] 1LT Samuel Brody: yep
[00:05:11]	[OOC] Andrew 'Razor' Gonzalez: Si
[00:05:11]	[OOC] Ethan King: Bet
[00:05:18]	Dispatch used command '/Event 5'.
[00:05:19]	Dispatch used command '/Event 4'.
[00:05:20]	Dispatch used command '/Event 3'.
[00:05:21]	Dispatch used command '/Event 2'.
[00:05:22]	[OOC] 1LT Samuel Brody: cue Vortal Combat in 3 2 1
[00:05:23]	[LOOC] Andrew 'Razor' Gonzalez: Forward!
[00:05:23]	Dispatch used command '/Event 1'.
[00:05:27]	Dispatch used command '/Event wait for the msuic acutally'.
[00:05:42]	Dispatch used command '/Event 3'.
[00:05:44]	Dispatch used command '/Event 2'.
[00:05:50]	Dispatch used command '/Event 1'.
[00:05:51]	[OOC] Drake Salvador: The suspense
[00:05:52]	Dispatch used command '/Event fight!'.
[00:06:00]	Dispatch entered observer.
[00:06:09]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:06:09]	Andrew 'Razor' Gonzalez has taken 1 damage from Jim Bostello.
[00:06:10]	Andrew 'Razor' Gonzalez has taken 4 damage from Jim Bostello.
[00:06:10]	Andrew 'Razor' Gonzalez used command '/CharGetUp'.
[00:06:14]	Andrew 'Razor' Gonzalez has taken 50 damage from worldspawn.
[00:06:18]	Drake Salvador has taken 10 damage from 1LT Samuel Brody.
[00:06:18]	Drake Salvador has taken 10 damage from Ethan King.
[00:06:23]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:06:23]	1LT Samuel Brody has taken 1 damage from Drake Salvador.
[00:06:23]	Drake Salvador has taken 2 damage from 1LT Samuel Brody.
[00:06:23]	Drake Salvador has taken 4 damage from 1LT Samuel Brody.
[00:06:23]	Drake Salvador has taken 4 damage from Jim Bostello.
[00:06:24]	Areth  Martin has taken 10 damage from Ethan King.
[00:06:24]	Drake Salvador used command '/CharGetUp'.
[00:06:24]	Areth  Martin has taken 12 damage from Jim Bostello.
[00:06:26]	Drake Salvador has taken 4 damage from Jim Bostello.
[00:06:26]	Drake Salvador has taken 4 damage from Jim Bostello.
[00:06:27]	[OOC] Andrew 'Razor' Gonzalez: Stuck in the world
[00:06:29]	[OOC] Andrew 'Razor' Gonzalez: Help
[00:06:30]	Drake Salvador has taken 4 damage from Ethan King.
[00:06:31]	Drake Salvador has taken 4 damage from Ethan King.
[00:06:31]	Drake Salvador has taken 4 damage from Jim Bostello.
[00:06:31]	Drake Salvador has taken 4 damage from Jim Bostello.
[00:06:32]	Areth  Martin has taken 12 damage from 1LT Samuel Brody.
[00:06:39]	1LT Samuel Brody has taken 12 damage from Drake Salvador.
[00:06:39]	Drake Salvador has taken 2 damage from Jim Bostello.
[00:06:39]	Drake Salvador has taken 4 damage from Ethan King.
[00:06:47]	Areth  Martin ran 'Equip' on item 'Flashbang' (#14147)
[00:06:48]	Andrew 'Razor' Gonzalez used command '/CharGetUp'.
[00:06:54]	Dispatch set legBreakDuration to '0'.
[00:06:55]	Dispatch set LegsScaleDamage to '0'.
[00:06:57]	Andrew 'Razor' Gonzalez ran 'Equip' on item 'Flashbang' (#14145)
[00:06:57]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:06:58]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:06:58]	Drake Salvador has taken 4 damage from Ethan King.
[00:06:58]	Ethan King has taken 72 damage from Areth  Martin.
[00:07:04]	Drake Salvador has taken 4 damage from Jim Bostello.
[00:07:07]	Drake Salvador has taken 4 damage from Ethan King.
[00:07:12]	1LT Samuel Brody has taken 12 damage from Areth  Martin.
[00:07:12]	Ethan King has taken 72 damage from Areth  Martin.
[00:07:12]	Areth  Martin has taken 12 damage from 1LT Samuel Brody.
[00:07:14]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:07:14]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:15]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:15]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:16]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:16]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:18]	1LT Samuel Brody has taken 10 damage from Areth  Martin.
[00:07:18]	Areth  Martin has taken 12 damage from Jim Bostello.
[00:07:18]	Drake Salvador has taken 12 damage from 1LT Samuel Brody.
[00:07:18]	Areth  Martin has taken 10 damage from Jim Bostello.
[00:07:20]	Dispatch set legBreakDuration to '1'.
[00:07:20]	Drake Salvador has taken 12 damage from Jim Bostello.
[00:07:21]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:21]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:21]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:22]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:22]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:22]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:22]	Jim Bostello has taken 12 damage from Andrew 'Razor' Gonzalez.
[00:07:22]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:22]	Jim Bostello has taken 12 damage from Andrew 'Razor' Gonzalez.
[00:07:23]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:07:26]	Andrew 'Razor' Gonzalez has taken 12 damage from Ethan King.
[00:07:27]	Andrew 'Razor' Gonzalez has taken 12 damage from Ethan King.
[00:07:27]	Andrew 'Razor' Gonzalez has taken 10 damage from Ethan King.
[00:07:30]	1LT Samuel Brody has taken 10 damage from Andrew 'Razor' Gonzalez.
[00:07:30]	[OOC] Dispatch: i was expecting more exciting tactics
[00:07:31]	Andrew 'Razor' Gonzalez has taken 12 damage from Ethan King.
[00:07:31]	Jim Bostello has taken 12 damage from Andrew 'Razor' Gonzalez.
[00:07:31]	Jim Bostello has taken 12 damage from Andrew 'Razor' Gonzalez.
[00:07:40]	1LT Samuel Brody has taken 72 damage from Andrew 'Razor' Gonzalez.
[00:07:43]	1LT Samuel Brody has taken 12 damage from Areth  Martin.
[00:07:44]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:07:44]	1LT Samuel Brody has taken 12 damage from Areth  Martin.
[00:07:44]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:07:44]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:07:49]	Areth  Martin ran 'Equip' on item 'Flashbang' (#14150)
[00:07:54]	Areth  Martin has taken 4 damage from Jim Bostello.
[00:08:01]	Areth  Martin has taken 4 damage from Jim Bostello.
[00:08:05]	1LT Samuel Brody has taken 12 damage from Andrew 'Razor' Gonzalez.
[00:08:05]	Andrew 'Razor' Gonzalez has taken 1 damage from Jim Bostello.
[00:08:05]	Jim Bostello has taken 12 damage from 1LT Samuel Brody.
[00:08:05]	Jim Bostello has taken 12 damage from 1LT Samuel Brody.
[00:08:10]	1LT Samuel Brody has taken 10 damage from Areth  Martin.
[00:08:10]	Areth  Martin has taken 1 damage from Ethan King.
[00:08:14]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:14]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:14]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:14]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:15]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:15]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:15]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:15]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:15]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:19]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:19]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:19]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:21]	Ethan King has taken 1 damage from Jim Bostello.
[00:08:21]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:21]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:21]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:21]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:22]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:22]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:22]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:22]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:23]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:23]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:23]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:23]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:24]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:24]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:24]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:24]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:24]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:08:24]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:24]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:08:24]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:24]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:24]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:08:24]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:24]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:08:24]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:24]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:24]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:25]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:25]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:25]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:25]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:25]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:25]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:08:25]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:08:25]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:08:26]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:08:26]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:08:26]	Jim Bostello has taken 12 damage from Areth  Martin.
[00:08:26]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:27]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:27]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:27]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:27]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:27]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:27]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:27]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:27]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:27]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:27]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:27]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:28]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:28]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:28]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:28]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:28]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:29]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:29]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:29]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:29]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:29]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from Ethan King.
[00:08:29]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:29]	Ethan King has taken 72 damage from Jim Bostello.
[00:08:29]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:29]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:29]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:29]	Ethan King has taken 72 damage from Jim Bostello.
[00:08:29]	Andrew 'Razor' Gonzalez has taken 4 damage from 1LT Samuel Brody.
[00:08:29]	Ethan King has taken 10 damage from Jim Bostello.
[00:08:29]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:29]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:30]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:30]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:30]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:30]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:30]	1LT Samuel Brody has taken 10 damage from Areth  Martin.
[00:08:30]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:30]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:30]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:30]	Jim Bostello has taken 12 damage from Drake Salvador.
[00:08:30]	Drake Salvador has killed Jim Bostello with weapon_smg1.
[00:08:30]	1LT Samuel Brody has taken 10 damage from Drake Salvador.
[00:08:30]	1LT Samuel Brody has taken 10 damage from Drake Salvador.
[00:08:30]	Areth  Martin has taken 72 damage from 1LT Samuel Brody.
[00:08:30]	1LT Samuel Brody has taken 12 damage from Drake Salvador.
[00:08:31]	1LT Samuel Brody has taken 10 damage from Areth  Martin.
[00:08:31]	1LT Samuel Brody has taken 10 damage from Drake Salvador.
[00:08:31]	1LT Samuel Brody has taken 10 damage from Areth  Martin.
[00:08:31]	1LT Samuel Brody has taken 4 damage from Drake Salvador.
[00:08:33]	1LT Samuel Brody has taken 4 damage from Drake Salvador.
[00:08:34]	1LT Samuel Brody has taken 4 damage from Drake Salvador.
[00:08:34]	Drake Salvador has taken 12 damage from Areth  Martin.
[00:08:34]	Drake Salvador has taken 12 damage from Areth  Martin.
[00:08:35]	Ethan King has taken 10 damage from Drake Salvador.
[00:08:35]	Ethan King has taken 1 damage from Drake Salvador.
[00:08:35]	Ethan King has taken 1 damage from Drake Salvador.
[00:08:35]	Ethan King has taken 72 damage from Drake Salvador.
[00:08:35]	Ethan King has taken 12 damage from Drake Salvador.
[00:08:36]	Ethan King has taken 1 damage from Drake Salvador.
[00:08:36]	Ethan King has taken 72 damage from Drake Salvador.
[00:08:36]	Drake Salvador has taken 10 damage from Ethan King.
[00:08:36]	Ethan King has taken 1 damage from Drake Salvador.
[00:08:36]	Drake Salvador has taken 1 damage from Ethan King.
[00:08:36]	Ethan King has taken 72 damage from Drake Salvador.
[00:08:36]	Ethan King has taken 72 damage from Drake Salvador.
[00:08:36]	Dispatch set legBreakDuration to '0'.
[00:08:36]	Ethan King has taken 10 damage from Areth  Martin.
[00:08:36]	Areth  Martin has taken 10 damage from Ethan King.
[00:08:37]	Ethan King has taken 12 damage from Areth  Martin.
[00:08:37]	Ethan King has taken 12 damage from Areth  Martin.
[00:08:37]	Ethan King has taken 1 damage from Areth  Martin.
[00:08:37]	Ethan King has taken 12 damage from Areth  Martin.
[00:08:37]	Ethan King has taken 10 damage from Areth  Martin.
[00:08:37]	[OOC] Jim Bostello: i dont even know what jsut happened
[00:08:39]	1LT Samuel Brody has taken 4 damage from Drake Salvador.
[00:08:39]	1LT Samuel Brody has taken 4 damage from Drake Salvador.
[00:08:39]	1LT Samuel Brody has taken 4 damage from Drake Salvador.
[00:08:39]	1LT Samuel Brody has taken 4 damage from Drake Salvador.
[00:08:40]	1LT Samuel Brody has taken 4 damage from Drake Salvador.
[00:08:42]	Ethan King has taken 10 damage from Drake Salvador.
[00:08:43]	Ethan King has taken 1 damage from Drake Salvador.
[00:08:43]	Ethan King has taken 72 damage from Andrew 'Razor' Gonzalez.
[00:08:43]	Andrew 'Razor' Gonzalez has killed Ethan King with weapon_smg1.
[00:08:43]	Ethan King has taken 5 damage from npc_headcrab_fast.
