[01:29:33]	BlueBox has connected.
[17:29:20]	[OOC] Jacob Desmone: drd can you give the vortigaunt his free sweps and shit
[17:29:24]	[OOC] Jacob Desmone: I freed him a few days ago
[17:29:28]	[OOC] Ava Carter: mr vort i will go rp with u in a sec
[17:29:30]	[LOOC] Major-General Sir Issac Brock KB: name
[17:29:37]	[LOOC] CAC.C17-VORTIPODE.20311: Qui'Jal
[17:29:41]	[LOOC] Jacob Desmone: shift*
[17:29:43]	Major-General Sir Issac Brock KB used command '/PlyWhitelist vortipode alien'.
[17:29:50]	Major-General Sir Issac Brock KB used command '/CharSetName vort Qul'jal'.
[17:29:57]	Jacob Desmone opened the 'Large Refrigerator' #2808 container.
[17:29:57]	Major-General Sir Issac Brock KB used command '/PlyTransfer qul alien'.
[17:30:01]	Jacob Desmone closed the 'Large Refrigerator' #2808 container.
[17:30:04]	[OOC] Jacob Desmone: YOOOO HIS NAME
[17:30:07]	[OOC] Jacob Desmone: HIS QUAJAL
[17:30:22]	[LOOC] Major-General Sir Issac Brock KB: check your class for me
[17:30:26]	[LOOC] Qul'jal: i need my bodygroups changed so I no longer have chains
[17:30:29]	Major-General Sir Issac Brock KB used command '/CharSetModel qul models/projectrevival/vortigaunt_mod.mdl'.
[17:30:31]	[LOOC] Qul'jal: im a alien lifeform
[17:30:37]	Major-General Sir Issac Brock KB used command '/CharEditBodygroup qul'.
[17:30:47]	Major-General Sir Issac Brock KB used command '/CharEditBodygroup qul'.
[17:30:50]	Major-General Sir Issac Brock KB has changed Qul'jal's bodygroups.
[17:30:51]	Major-General Sir Issac Brock KB has changed Qul'jal's bodygroups.
[17:30:52]	[ME] Ava Carter: would come into the room
[17:30:57]	Major-General Sir Issac Brock KB used command '/CharSetClass qul vort'.
[17:31:03]	Jacob Desmone ran 'Equip' on item 'CWU Worker Suit' (#34125)
[17:31:07]	[OOC] Major-General Sir Issac Brock KB: bye
[17:31:09]	DRD (STEAM_0:0:193599766) has disconnected.
[17:31:12]	[OOC] Jacob Desmone: and he goes
[17:31:14]	[LOOC] Qul'jal: brug
[17:31:19]	[LOOC] Qul'jal: Never gave me the swep
[17:31:23]	[LOOC] Ava Carter: damn
[17:31:54]	Jacob Desmone has gained a 'Boot' #37456.
[17:32:08]	Jacob Desmone ran 'drop' on item 'Boot' (#37456)
[17:32:08]	Jacob Desmone has lost a 'Boot' #37456.
[17:32:17]	Jacob Desmone has gained a 'Nylon Cord' #37458.
[17:32:20]	Jacob Desmone ran 'drop' on item 'Nylon Cord' (#37458)
[17:32:20]	Jacob Desmone has lost a 'Nylon Cord' #37458.
[17:32:36]	npc_zombine destroyed a 'Fingerless Gloves' #37313.
[17:32:36]	npc_zombine destroyed a 'Scrap Metal' #37352.
[17:32:36]	npc_zombine destroyed a 'Wires' #37217.
[17:32:59]	Jacob Desmone has taken 5 damage from npc_headcrab.
[17:33:00]	Jacob Desmone has taken 5 damage from npc_headcrab.
[17:33:08]	[OOC] Jacob Desmone: where is vort
[17:33:22]	[OOC] Qul'jal: Figuring out where my swep is lol
[17:33:32]	[OOC] Jacob Desmone: on da beach?
[17:33:36]	fuckus has connected.
[17:33:43]	[OOC] Ava Carter: no
[17:33:49]	[OOC] Ava Carter: also new player?!?!?!?
[17:33:50]	[OOC] Qul'jal: apparently I don't get vort swep since its a ULX give
[17:34:01]	[OOC] Qul'jal: Not considered an "item"
[17:34:08]	Jacob Desmone has taken 15 damage from worldspawn.
[17:34:32]	[Y] Ava Carter: JACOB.
[17:34:51]	fuckus (STEAM_0:1:54861900) deleted character 'Joe Meff'
[17:35:20]	Qul'jal ran 'take' on item 'Scrap Wood' (#36926)
[17:35:20]	Qul'jal has gained a 'Scrap Wood' #36926.
[17:35:23]	Qul'jal ran 'drop' on item 'Scrap Wood' (#36926)
[17:35:23]	Qul'jal has lost a 'Scrap Wood' #36926.
[17:36:14]	Tony Ricci has gained a 'Green Citizen Suit' #37460.
[17:36:14]	Tony Ricci has gained a 'Citizen Filter' #37461.
[17:36:14]	fuckus created the character 'Tony Ricci'
[17:36:14]	Tony Ricci has gained a 'Suitcase' #37462.
[17:36:14]	Tony Ricci has gained a 'Relocation Coupon' #37463.
[17:36:14]	fuckus loaded the character 'Tony Ricci'
[17:36:17]	Tony Ricci ran 'Equip' on item 'Green Citizen Suit' (#37460)
[17:36:19]	Tony Ricci ran 'equip' on item 'Citizen Filter' (#37461)
[17:36:52]	[ME] Qul'jal: would keep his eyes closed. Concentrating on something.
[17:36:53]	[OOC] Tony Ricci: any cp on to process me
[17:36:55]	[LOOC] Jacob Desmone: assuming
[17:36:56]	Ava Carter ran 'take' on item 'Combat Knife' (#36777)
[17:36:56]	Ava Carter has gained a 'Combat Knife' #36777.
[17:36:59]	[OOC] Jacob Desmone: Gotcha give me a minute
[17:37:00]	Ava Carter ran 'take' on item 'Scrap Metal' (#37350)
[17:37:00]	Ava Carter has gained a 'Scrap Metal' #37350.
[17:37:02]	Ava Carter ran 'take' on item 'Wires' (#37300)
[17:37:02]	Ava Carter has gained a 'Wires' #37300.
[17:37:03]	Ava Carter ran 'take' on item 'Military Circuit Board' (#36892)
[17:37:03]	Ava Carter has gained a 'Military Circuit Board' #36892.
[17:37:04]	[OOC] Tony Ricci: thanks
[17:37:07]	[ME] Ava Carter: sighs
[17:37:23]	Weaponized Turtles loaded the character 'CCA.C17-UNION.i5.94233'
[17:37:25]	[LOOC] Qul'jal: im taking the crowbar since I don't have any attacks. 
[17:37:27]	Qul'jal ran 'take' on item 'Crowbar' (#35035)
[17:37:27]	Qul'jal has gained a 'Crowbar' #35035.
[17:37:38]	[LOOC] Qul'jal: Ill give it back once I actually am able to use magic.
[17:37:44]	Qul'jal ran 'Equip' on item 'Crowbar' (#35035)
[17:37:50]	Ava Carter ran 'Equip' on item 'Combat Knife' (#36777)
[17:37:53]	[LOOC] Qul'jal: lol. its so jank
[17:38:02]	Tony Ricci used command '/Apply'.
[17:38:06]	CCA.C17-UNION.i5.94233 used command '/ViewData tony'.
[17:38:17]	Tony Ricci ran 'drop' on item 'Relocation Coupon' (#37463)
[17:38:17]	Tony Ricci has lost a 'Relocation Coupon' #37463.
[17:38:22]	Ava Carter ran 'Consume' on item 'Standard Grade Supplements (Milk Flavor)' (#37416)
[17:38:23]	CCA.C17-UNION.i5.94233 ran 'take' on item 'Relocation Coupon' (#37463)
[17:38:23]	CCA.C17-UNION.i5.94233 has gained a 'Relocation Coupon' #37463.
[17:38:26]	Ava Carter has gained a 'Scrap Wood' #37464.
[17:38:33]	Ava Carter ran 'take' on item 'Scrap Electronics' (#37367)
[17:38:33]	Ava Carter has gained a 'Scrap Electronics' #37367.
[17:38:41]	Ava Carter has gained a 'Graphics Card' #37465.
[17:38:44]	Ava Carter ran 'drop' on item 'Graphics Card' (#37465)
[17:38:44]	Ava Carter has lost a 'Graphics Card' #37465.
[17:38:46]	[ME] CCA.C17-UNION.i5.94233: The officer insents the coupon into the machine and walks back over to him
[17:38:58]	CCA.C17-UNION.i5.94233 ran 'take' on item 'Citizen ID' (#37466)
[17:38:58]	CCA.C17-UNION.i5.94233 has gained a 'Citizen ID' #37466.
[17:39:02]	Ava Carter has gained a 'Roubles' #37467.
[17:39:02]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Relocation Coupon' (#37406)
[17:39:02]	CCA.C17-UNION.i5.94233 has lost a 'Relocation Coupon' #37406.
[17:39:07]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Relocation Coupon' (#37463)
[17:39:07]	CCA.C17-UNION.i5.94233 has lost a 'Relocation Coupon' #37463.
[17:39:08]	Ava Carter ran 'drop' on item 'Roubles' (#37467)
[17:39:08]	Ava Carter has lost a 'Roubles' #37467.
[17:39:17]	[ME] Ava Carter: jumps down
[17:39:21]	[ME] Qul'jal: follows
[17:39:23]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Citizen ID' (#37466)
[17:39:23]	CCA.C17-UNION.i5.94233 has lost a 'Citizen ID' #37466.
[17:39:28]	[LOOC] Tony Ricci: *of
[17:39:30]	[ME] CCA.C17-UNION.i5.94233: Hands him the card that was dispensed
[17:39:33]	Tony Ricci ran 'take' on item 'Citizen ID' (#37466)
[17:39:33]	Tony Ricci has gained a 'Citizen ID' #37466.
[17:39:41]	CCA.C17-UNION.i5.94233 used command '/ViewData tony'.
[17:39:53]	Ava Carter has gained 20 tokens.
[17:40:03]	CCA.C17-UNION.i5.94233 used command '/ViewData tony'.
[17:40:13]	[OOC] CCA.C17-UNION.i5.94233: time to do union things
[17:40:19]	[OOC] Tony Ricci: oh boy time to find contraband again
[17:40:24]	Ava Carter has taken 1 damage from npc_fastzombie.
[17:40:25]	Ava Carter has taken 1 damage from npc_fastzombie.
[17:40:26]	Ava Carter has taken 1 damage from npc_fastzombie.
[17:40:30]	Ava Carter has gained 20 tokens.
[17:40:43]	Tony Ricci has gained a 'Scrap Metal' #37468.
[17:40:57]	[ME] Ava Carter: lifts the door up leading to the beach
[17:40:58]	Tony Ricci has gained a 'A Roll of Toilet Paper' #37469.
[17:41:01]	Tony Ricci ran 'drop' on item 'A Roll of Toilet Paper' (#37469)
[17:41:01]	Tony Ricci has lost a 'A Roll of Toilet Paper' #37469.
[17:41:07]	Qul'jal has taken 5 damage from npc_antlion.
[17:41:09]	Ava Carter has taken 1 damage from npc_antlion.
[17:41:12]	Ava Carter has taken 1 damage from npc_antlion.
[17:41:21]	Tony Ricci has gained a 'Spark Plug' #37470.
[17:41:24]	[OOC] CCA.C17-UNION.i5.94233: already heading towards the CZ
[17:41:26]	Tony Ricci ran 'drop' on item 'Spark Plug' (#37470)
[17:41:26]	Tony Ricci has lost a 'Spark Plug' #37470.
[17:41:28]	Ava Carter has taken 1 damage from npc_antlion.
[17:41:30]	[OOC] CCA.C17-UNION.i5.94233: I saw you on the camera
[17:41:36]	[OOC] Tony Ricci: not yet!
[17:41:42]	Tony Ricci has gained a 'Pipe' #37471.
[17:41:45]	Tony Ricci opened the 'Dumpster' #2684 container.
[17:41:47]	Tony Ricci closed the 'Dumpster' #2684 container.
[17:41:54]	[OOC] Ava Carter: lmao my boy is already becoming a rebel
[17:42:03]	[OOC] CCA.C17-UNION.i5.94233: hes gotten 2 characters pked 
[17:42:06]	[OOC] CCA.C17-UNION.i5.94233: for the same reason twice
[17:42:12]	[OOC] Tony Ricci: honsetly not my fault
[17:42:13]	[OOC] CCA.C17-UNION.i5.94233: by the same person
[17:42:14]	[OOC] CCA.C17-UNION.i5.94233: IT IS
[17:42:16]	[OOC] Ava Carter: lmaoooo
[17:42:19]	[OOC] Tony Ricci: how did you find me the first time 
[17:42:19]	[OOC] CCA.C17-UNION.i5.94233: don't do bad things
[17:42:21]	[OOC] Qul'jal: im going to have you process my 2nd character jacob in a minute
[17:42:23]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[17:42:24]	[OOC] Tony Ricci: on the fucking train tracks
[17:42:29]	[OOC] CCA.C17-UNION.i5.94233: first time we were doing a patrol of the Construction zone from a height
[17:42:32]	[OOC] CCA.C17-UNION.i5.94233: and Evan saw you
[17:42:40]	[OOC] Tony Ricci: i should've ran
[17:42:42]	[OOC] CCA.C17-UNION.i5.94233: second was the conscript but I think conscripts in the streets
[17:42:48]	[OOC] CCA.C17-UNION.i5.94233: is a dumb thing
[17:42:48]	[OOC] Tony Ricci: i actually had good loot that first time
[17:43:03]	CCA.C17-UNION.i5.94233 used the 'Ration Dispenser' vendor.
[17:43:05]	CCA.C17-UNION.i5.94233 has gained 0 tokens.
[17:43:05]	CCA.C17-UNION.i5.94233 has gained a 'CCA Grade Beverage (Lemon-Lime Flavor)' #37472.
[17:43:16]	[OOC] Tony Ricci: axe and pulse ammo gone
[17:43:20]	[OOC] Tony Ricci: i had it all
[17:43:23]	Painevan loaded the character 'Harold George'
[17:43:25]	[OOC] CCA.C17-UNION.i5.94233: L
[17:43:35]	[OOC] Harold George: afk for a bit
[17:43:47]	Ava Carter ran 'drop' on item 'Scrap Electronics' (#37367)
[17:43:47]	Ava Carter has lost a 'Scrap Electronics' #37367.
[17:43:48]	Ava Carter ran 'drop' on item 'Military Circuit Board' (#36892)
[17:43:48]	Ava Carter has lost a 'Military Circuit Board' #36892.
[17:43:49]	Ava Carter ran 'drop' on item 'Wires' (#37300)
[17:43:49]	Ava Carter has lost a 'Wires' #37300.
[17:43:50]	Ava Carter ran 'drop' on item 'Scrap Metal' (#37350)
[17:43:50]	Ava Carter has lost a 'Scrap Metal' #37350.
[17:43:51]	Ava Carter ran 'drop' on item 'Scrap Wood' (#37464)
[17:43:51]	Ava Carter has lost a 'Scrap Wood' #37464.
[17:43:56]	Ava Carter ran 'drop' on item 'Reinforced Padlock' (#36872)
[17:43:56]	Ava Carter has lost a 'Reinforced Padlock' #36872.
[17:44:18]	[OOC] CCA.C17-UNION.i5.94233: I wanna do reations but 2 ppl aren't even in the city
[17:44:28]	[OOC] CCA.C17-UNION.i5.94233: STOP TRIGGERING THE CAMERAS
[17:44:29]	[OOC] Qul'jal: I will be in a moment
[17:44:32]	[OOC] Tony Ricci: im gonna raid rations
[17:44:50]	[ME] Qul'jal: would sit down. Begining to meditate and chant Vortigese
[17:44:53]	CCA.C17-UNION.i5.94233 ran 'Consume' on item 'CCA Grade Beverage (Lemon-Lime Flavor)' (#37472)
[17:45:02]	Lildirtyharry04 loaded the character 'Richard Barley'
[17:45:10]	[OOC] Tony Ricci: do you get a photo on your head for everytime a camera goes off
[17:45:13]	[OOC] Tony Ricci: *hud
[17:45:14]	[OOC] Richard Barley: alright. Good old richy comeing out now
[17:45:34]	Tony Ricci opened the 'Dumpster' #239 container.
[17:45:36]	Tony Ricci closed the 'Dumpster' #239 container.
[17:45:37]	[OOC] CCA.C17-UNION.i5.94233: no
[17:45:37]	Richard Barley ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#37449)
[17:45:40]	[OOC] Ava Carter: now i have to move items to the fucking place 
[17:45:42]	[OOC] CCA.C17-UNION.i5.94233: I just get a notification in the top left
[17:45:48]	[OOC] CCA.C17-UNION.i5.94233: you need processcing
[17:45:50]	[OOC] CCA.C17-UNION.i5.94233: processing?
[17:45:53]	Tony Ricci has gained a 'Empty Flavored Consulate Water Can' #37472.
[17:45:54]	Ava Carter has gained a 'Light Bulb' #37473.
[17:45:54]	[OOC] Richard Barley: ye
[17:46:00]	Tony Ricci ran 'drop' on item 'Empty Flavored Consulate Water Can' (#37472)
[17:46:00]	Tony Ricci has lost a 'Empty Flavored Consulate Water Can' #37472.
[17:46:04]	[OOC] Richard Barley: This my 3rd character technically
[17:46:06]	Tony Ricci has gained a 'Scrap Electronics' #37474.
[17:46:07]	[OOC] CCA.C17-UNION.i5.94233: epic
[17:46:21]	[OOC] Tony Ricci: I gonna recommend removing processing tbh
[17:46:35]	[OOC] CCA.C17-UNION.i5.94233: I mean its needed
[17:46:39]	Tony Ricci has gained a 'Capacitors' #37475.
[17:46:43]	Tony Ricci ran 'drop' on item 'Capacitors' (#37475)
[17:46:43]	Tony Ricci has lost a 'Capacitors' #37475.
[17:46:47]	[OOC] Tony Ricci: why
[17:46:53]	[OOC] CCA.C17-UNION.i5.94233: Gives us data
[17:47:05]	Richard Barley used command '/Apply'.
[17:47:08]	[OOC] Ava Carter: i wonder if you could escape the train processing place
[17:47:09]	[OOC] Tony Ricci: theres been times I have been stuck in station
[17:47:22]	[OOC] CCA.C17-UNION.i5.94233: I mean usually CPs are on
[17:47:23]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[17:47:28]	[ME] Richard Barley: would pull out the coupon from his suitcase handing it over
[17:47:30]	Richard Barley ran 'drop' on item 'Relocation Coupon' (#37452)
[17:47:30]	Richard Barley has lost a 'Relocation Coupon' #37452.
[17:47:32]	CCA.C17-UNION.i5.94233 ran 'take' on item 'Relocation Coupon' (#37452)
[17:47:32]	CCA.C17-UNION.i5.94233 has gained a 'Relocation Coupon' #37452.
[17:47:33]	Ava Carter ran 'EquipUn' on item 'Combat Knife' (#36777)
[17:47:37]	Ava Carter ran 'drop' on item 'Combat Knife' (#36777)
[17:47:37]	Ava Carter has lost a 'Combat Knife' #36777.
[17:47:43]	Tony Ricci ran 'Equip' on item 'Pipe' (#37471)
[17:47:52]	[LOOC] Richard Barley: what year is this shit again
[17:47:58]	Tony Ricci ran 'EquipUn' on item 'Pipe' (#37471)
[17:47:59]	CCA.C17-UNION.i5.94233 ran 'take' on item 'Citizen ID' (#37476)
[17:47:59]	CCA.C17-UNION.i5.94233 has gained a 'Citizen ID' #37476.
[17:48:01]	CCA.C17-UNION.i5.94233 used command '/Radio Copy'.
[17:48:02]	Tony Ricci opened the 'Trash Bin' #2737 container.
[17:48:03]	[LOOC] Richard Barley: what year is this shit again
[17:48:05]	Tony Ricci closed the 'Trash Bin' #2737 container.
[17:48:10]	[LOOC] CCA.C17-UNION.i5.94233: 2006 earliest you can be born is 85
[17:48:14]	[OOC] Ava Carter: im glad i have armor the antlions do a lot less dmg now
[17:48:17]	Tony Ricci opened the 'Metal Cabinet' #2763 container.
[17:48:18]	[OOC] CCA.C17-UNION.i5.94233: Who fucking broke the camera
[17:48:20]	Tony Ricci closed the 'Metal Cabinet' #2763 container.
[17:48:22]	[OOC] Ava Carter: me
[17:48:26]	[OOC] Ava Carter: i mean
[17:48:28]	[OOC] Ava Carter: tony
[17:48:29]	[OOC] CCA.C17-UNION.i5.94233: I got your face on 4k
[17:48:38]	[OOC] Ava Carter: ultra hd
[17:48:44]	[LOOC] Richard Barley: hold on. Im old so I got to do math
[17:48:51]	[OOC] Tony Ricci: im gonna become the camera bandit
[17:49:16]	[OOC] Ava Carter: how tf did you destroy the camera did u just punch it
[17:49:19]	[OOC] CCA.C17-UNION.i5.94233: Pipe
[17:49:22]	[OOC] CCA.C17-UNION.i5.94233: crowbar
[17:49:38]	Ava Carter has gained a 'Empty Flavored Consulate Water Can' #37477.
[17:49:42]	Tony Ricci has gained a 'Graphics Card' #37478.
[17:49:46]	Tony Ricci ran 'drop' on item 'Graphics Card' (#37478)
[17:49:46]	Tony Ricci has lost a 'Graphics Card' #37478.
[17:49:53]	Tony Ricci has gained a 'Silicone Tube' #37479.
[17:50:10]	[OOC] Tony Ricci: union have you been mugged "yet"
[17:50:13]	[OOC] CCA.C17-UNION.i5.94233: Yes
[17:50:16]	[OOC] Ava Carter: i mugged him
[17:50:19]	[OOC] CCA.C17-UNION.i5.94233: Multiple times
[17:50:21]	[OOC] CCA.C17-UNION.i5.94233: Some lost
[17:50:22]	[OOC] CCA.C17-UNION.i5.94233: One won
[17:50:37]	[OOC] Ava Carter: bro this union here got fucking ganged up on
[17:50:38]	Tony Ricci opened the 'Dumpster' #2684 container.
[17:50:41]	Tony Ricci closed the 'Dumpster' #2684 container.
[17:50:51]	[OOC] Tony Ricci: lmao hes the only one ever on
[17:50:56]	Tony Ricci ran 'Equip' on item 'Pipe' (#37471)
[17:50:57]	[OOC] CCA.C17-UNION.i5.94233: I GOT 4v1ED
[17:51:01]	[OOC] CCA.C17-UNION.i5.94233: ITS NOT MY FAULT
[17:51:02]	[OOC] Ava Carter: 3v1*
[17:51:04]	[OOC] CCA.C17-UNION.i5.94233: WTF
[17:51:13]	Tony Ricci ran 'EquipUn' on item 'Pipe' (#37471)
[17:51:15]	[OOC] Ava Carter: the fourth one was watching you while eating popcorn
[17:51:16]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Citizen ID' (#37476)
[17:51:16]	CCA.C17-UNION.i5.94233 has lost a 'Citizen ID' #37476.
[17:51:19]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Relocation Coupon' (#37452)
[17:51:19]	CCA.C17-UNION.i5.94233 has lost a 'Relocation Coupon' #37452.
[17:51:29]	[ME] CCA.C17-UNION.i5.94233: Hands him his cid
[17:51:31]	Tony Ricci opened the 'Dumpster' #239 container.
[17:51:33]	Tony Ricci closed the 'Dumpster' #239 container.
[17:51:36]	CCA.C17-UNION.i5.94233 used command '/Radio Responding'.
[17:51:39]	Richard Barley ran 'take' on item 'Citizen ID' (#37476)
[17:51:39]	Richard Barley has gained a 'Citizen ID' #37476.
[17:51:40]	Tony Ricci opened the 'Toolbox' #3021 container.
[17:51:42]	Tony Ricci closed the 'Toolbox' #3021 container.
[17:51:44]	Richard Barley ran 'Equip' on item 'Cyclopic Citizen Suit' (#37449)
[17:51:52]	[OOC] Richard Barley: time to be hella old
[17:51:59]	[OOC] Tony Ricci: hey union you should go patrolling
[17:52:13]	CCA.C17-UNION.i5.94233 used command '/Radio 10-31'.
[17:52:14]	[OOC] Ava Carter: "back in my day we were never gay" - some old dude
[17:52:16]	Tony Ricci opened the 'Cash Register' #2478 container.
[17:52:19]	Tony Ricci closed the 'Cash Register' #2478 container.
[17:52:22]	[OOC] Tony Ricci: brb
[17:52:23]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
