[03:14:42]	japan1793 has connected.
[19:33:29]	[OOC] James Johnson: dont tehy have it in the cp info channel?
[19:33:30]	CCA.C08-GRID.i1.23710 ran 'take' on item 'Citizen ID' (#20926)
[19:33:30]	CCA.C08-GRID.i1.23710 has gained a 'Citizen ID' #20926.
[19:33:39]	[OOC] CCA.C08-GRID.i1.23710: i forgot to put it in there lol
[19:33:45]	[OOC] James Johnson: oh
[19:33:52]	Michλel's World loaded the character 'John Smith'
[19:33:57]	[OOC] CCA.C08-GRID.i1.23710: the year is 2006 ic
[19:34:06]	[OOC] John Smith: whats up fuckshits
[19:34:13]	[OOC] John Smith: fuck
[19:40:02]	Michλel's World has connected.
[19:40:27]	Michλel's World loaded the character 'John Smith'
[19:42:45]	matt saton has connected.
[19:44:17]	matt saton loaded the character 'Lee Maylor'
[19:44:21]	Lee Maylor has taken 19 damage from worldspawn.
[19:44:22]	[OOC] Lee Maylor: boy it's good to be here
[19:44:23]	Lee Maylor entered observer.
[19:44:31]	[OOC] John Smith: welcome
[19:44:35]	[OOC] Lee Maylor: i just flew in from california and boy
[19:44:39]	[OOC] John Smith: welcome to shitty 8
[19:44:44]	[OOC] Lee Maylor: are my arms tired
[19:44:54]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[19:44:58]	[OOC] CCA.C08-UNION.i1.51023: hunt down the freeman is just
[19:44:59]	[OOC] CCA.C08-UNION.i1.51023: so bad
[19:44:59]	CCA.C08-UNION.i1.51023 entered observer.
[19:45:02]	[OOC] John Smith: how long has it been since ive been here for an event?
[19:45:04]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:45:05]	CCA.C08-UNION.i1.51023 entered observer.
[19:45:06]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:45:06]	CCA.C08-UNION.i1.51023 entered observer.
[19:45:07]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:45:07]	CCA.C08-UNION.i1.51023 entered observer.
[19:45:08]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:45:08]	CCA.C08-UNION.i1.51023 entered observer.
[19:45:09]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:45:09]	CCA.C08-UNION.i1.51023 entered observer.
[19:45:09]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:45:11]	[OOC] John Smith: like, 7000000 years lol
[19:45:15]	[OOC] CCA.C08-UNION.i1.51023: our last event was
[19:45:16]	[OOC] CCA.C08-UNION.i1.51023: dogshit
[19:45:18]	[OOC] CCA.C08-UNION.i1.51023: so you didn't miss much
[19:45:26]	[OOC] John Smith: gimme a run-down
[19:45:34]	[OOC] CCA.C08-UNION.i1.51023: no
[19:45:45]	[OOC] John Smith: :(
[19:45:45]	CCA.C08-UNION.i1.51023 entered observer.
[19:46:50]	[OOC] John Smith: also side-note, Samuel canonically died offscreen due to gunshot to the fucking skull by a CP on the way back to city 8
[19:47:03]	[OOC] CCA.C08-UNION.i1.51023: that
[19:47:06]	[OOC] CCA.C08-UNION.i1.51023: is unfortunate
[19:47:15]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:47:16]	CCA.C08-UNION.i1.51023 entered observer.
[19:47:17]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:47:20]	[OOC] John Smith: i didnt like the way his character was going
[19:47:20]	CCA.C08-UNION.i1.51023 entered observer.
[19:47:21]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:47:21]	CCA.C08-UNION.i1.51023 entered observer.
[19:47:25]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:47:25]	CCA.C08-UNION.i1.51023 entered observer.
[19:47:33]	[OOC] John Smith: playing god with my characters- FUCK OFF CONSUL!
[19:47:38]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:47:39]	CCA.C08-UNION.i1.51023 entered observer.
[19:47:39]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:47:40]	CCA.C08-UNION.i1.51023 entered observer.
[19:47:40]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:47:41]	CCA.C08-UNION.i1.51023 entered observer.
[19:47:41]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:47:41]	CCA.C08-UNION.i1.51023 entered observer.
[19:47:42]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:47:42]	CCA.C08-UNION.i1.51023 entered observer.
[19:47:43]	gasmask guy has connected.
[19:47:44]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:47:44]	CCA.C08-UNION.i1.51023 entered observer.
[19:47:46]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:47:47]	CCA.C08-UNION.i1.51023 entered observer.
[19:47:55]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[19:47:57]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[19:48:02]	[OOC] CCA.C08-UNION.i1.51023: fair
[19:48:03]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:48:04]	CCA.C08-UNION.i1.51023 entered observer.
[19:48:04]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:48:19]	[OOC] CCA.C08-UNION.i1.51023: also check out the new sounds i got on the pr addon
[19:48:23]	[OOC] CCA.C08-UNION.i1.51023: not hard to get, they'rej ust from episode 1 
[19:48:26]	[OOC] CCA.C08-UNION.i1.51023: buit they sound great
[19:48:28]	[OOC] John Smith: ok
[19:48:28]	[OOC] CCA.C08-UNION.i1.51023: let me do a universal play
[19:48:28]	CCA.C08-UNION.i1.51023 entered observer.
[19:49:05]	[OOC] CCA.C08-UNION.i1.51023: i... may not have
[19:49:06]	[OOC] John Smith: is now a bad time to mention i dont have ep1 installed?
[19:49:06]	[OOC] CCA.C08-UNION.i1.51023: added it
[19:49:15]	[OOC] CCA.C08-UNION.i1.51023: not at all
[19:49:18]	[OOC] John Smith: i have ep 2 tho
[19:49:19]	[OOC] CCA.C08-UNION.i1.51023: it was supposed to be uhhh
[19:49:24]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:49:24]	CCA.C08-UNION.i1.51023 entered observer.
[19:49:25]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:49:25]	CCA.C08-UNION.i1.51023 entered observer.
[19:49:25]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:49:30]	[OOC] CCA.C08-UNION.i1.51023: in the pr addon
[19:49:36]	[OOC] CCA.C08-UNION.i1.51023: but i must not have pushed the newest one
[19:49:36]	CCA.C08-UNION.i1.51023 entered observer.
[19:49:38]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:49:38]	CCA.C08-UNION.i1.51023 entered observer.
[19:49:38]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:49:42]	[OOC] CCA.C08-UNION.i1.51023: the newest update
[19:49:42]	CCA.C08-UNION.i1.51023 entered observer.
[19:49:54]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[19:50:01]	gasmask guy loaded the character 'James Johnson'
[19:50:15]	[OOC] CCA.C08-UNION.i1.51023: but it's a new sound for the OTA vocoders
[19:50:19]	[OOC] CCA.C08-UNION.i1.51023: and i'm gonna change the CCA ones
[19:50:26]	[OOC] CCA.C08-UNION.i1.51023: Hey James, welcome!
[19:50:31]	[OOC] James Johnson: hey can i get my ID printed?
[19:50:36]	[OOC] CCA.C08-UNION.i1.51023: sorry you got cut off mid processing, I can finish doing-
[19:50:36]	[OOC] CCA.C08-UNION.i1.51023: yep!
[19:50:38]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:50:41]	CCA.C08-UNION.i1.51023 entered observer.
[19:50:42]	[OOC] James Johnson: thanks man
[19:50:43]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:50:43]	CCA.C08-UNION.i1.51023 entered observer.
[19:50:44]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:50:46]	[OOC] CCA.C08-UNION.i1.51023: yeye anytime
[19:50:57]	CCA.C08-UNION.i1.51023 used command '/PlySearch'.
[19:51:06]	[LOOC] CCA.C08-UNION.i1.51023: did you already hand over your relocation coupon to the officer
[19:51:13]	[OOC] James Johnson: damnit the other CP has my coupon
[19:51:18]	[OOC] CCA.C08-UNION.i1.51023: all good, i think i have your CID card
[19:51:22]	CCA.C08-UNION.i1.51023 ran 'take' on item 'Citizen ID' (#20926)
[19:51:22]	CCA.C08-UNION.i1.51023 has gained a 'Citizen ID' #20926.
[19:51:26]	[LOOC] CCA.C08-UNION.i1.51023: yep, got it
[19:51:31]	[LOOC] James Johnson: thanks
[19:51:31]	[LOOC] CCA.C08-UNION.i1.51023: let me finish getting your data in, let me take a look
[19:51:34]	CCA.C08-UNION.i1.51023 used command '/ViewData james'.
[19:51:55]	[LOOC] CCA.C08-UNION.i1.51023: current year is 2006, war was in 2003
[19:52:08]	[OOC] John Smith: uh oh, i have 59 minutes left on my filter
[19:52:10]	[OOC] John Smith: cring
[19:52:17]	[OOC] CCA.C08-UNION.i1.51023: not using a respirator is cring
[19:52:20]	John Smith has gained a 'Respirator' #20927.
[19:52:20]	CCA.C08-UNION.i1.51023 used command '/CharGiveItem john respirator'.
[19:52:29]	[LOOC] CCA.C08-UNION.i1.51023: so the maximum year of birth to be in the city is 1985
[19:52:29]	John Smith ran 'Equip' on item 'Respirator' (#20927)
[19:52:40]	[OOC] John Smith: do i still need to suit equiped?
[19:52:45]	[OOC] CCA.C08-UNION.i1.51023: nah
[19:52:48]	John Smith ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#12086)
[19:52:55]	[OOC] John Smith: finally, character customization
[19:53:01]	CCA.C08-UNION.i1.51023 has gained a 'Respirator' #20928.
[19:53:01]	CCA.C08-UNION.i1.51023 used command '/CharGiveItem union respirator'.
[19:53:49]	[LOOC] James Johnson: void that last one
[19:54:05]	[OOC] James Johnson: fuck im bad with time
[19:54:07]	[OOC] John Smith: why do most of my characters have the same Male-07 bui- oh wait i created most of them during the "male-07 is our god" meme period
[19:54:08]	[OOC] CCA.C08-UNION.i1.51023: you're good lmao
[19:54:16]	[LOOC] James Johnson: oh shit now i see it
[19:54:18]	[OOC] CCA.C08-UNION.i1.51023: male 09 > male 07
[19:54:27]	[OOC] John Smith: yo fuck off consul i got a respirator how bout dat
[19:54:27]	[LOOC] James Johnson: *1983
[19:54:35]	[OOC] John Smith: yes
[19:54:37]	CCA.C08-UNION.i1.51023 used command '/ViewData john'.
[19:54:43]	CCA.C08-UNION.i1.51023 used command '/ViewData james'.
[19:54:44]	DRD has connected.
[19:54:44]	[OOC] John Smith: male 09 is chad
[19:54:50]	[OOC] John Smith: hello DRD man
[19:54:54]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[19:54:59]	[OOC] James Johnson: male07 gets no love smh smh
[19:55:16]	[OOC] CCA.C08-UNION.i1.51023: male 16 deserves execution by firing line
[19:55:20]	[OOC] John Smith: that moment when you forget RP Walk (slow walk) exists
[19:55:35]	CCA.C08-UNION.i1.51023 used command '/ViewData james'.
[19:56:18]	CCA.C08-UNION.i1.51023 used command '/ViewData johnson'.
[19:56:51]	CCA.C08-UNION.i1.51023 used command '/ViewData james'.
[19:57:00]	DRD loaded the character 'CCA.C08-GRID.i1.23710'
[19:57:17]	CCA.C08-UNION.i1.51023 ran 'drop' on item 'Respirator' (#20928)
[19:57:17]	CCA.C08-UNION.i1.51023 has lost a 'Respirator' #20928.
[19:57:19]	CCA.C08-UNION.i1.51023 ran 'drop' on item 'Citizen ID' (#20926)
[19:57:19]	CCA.C08-UNION.i1.51023 has lost a 'Citizen ID' #20926.
[19:57:23]	James Johnson ran 'take' on item 'Respirator' (#20928)
[19:57:23]	James Johnson has gained a 'Respirator' #20928.
[19:57:26]	James Johnson ran 'take' on item 'Citizen ID' (#20926)
[19:57:26]	James Johnson has gained a 'Citizen ID' #20926.
[19:57:32]	James Johnson ran 'Equip' on item 'Respirator' (#20928)
[19:57:36]	CCA.C08-UNION.i1.51023 entered observer.
[19:57:39]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:57:39]	DRD (STEAM_0:0:193599766) has disconnected.
[19:57:41]	CCA.C08-UNION.i1.51023 entered observer.
[19:57:50]	[OOC] John Smith: mfw the event was supposed to have started 30 minutes ago
[19:57:51]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:57:52]	CCA.C08-UNION.i1.51023 entered observer.
[19:57:57]	[OOC] CCA.C08-UNION.i1.51023: mfw project revival events are NEVER on timew
[19:57:58]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:57:58]	CCA.C08-UNION.i1.51023 entered observer.
[19:58:03]	CCA.C08-UNION.i1.51023 exited observer at their location.
[19:58:03]	CCA.C08-UNION.i1.51023 entered observer.
[19:58:06]	[OOC] CCA.C08-UNION.i1.51023: mfw today is no different
[19:58:06]	[OOC] John Smith: not a PR event if it isnt delayed by at least 30 mins lol
[19:58:07]	[OOC] CCA.C08-UNION.i1.51023: let's start
[19:58:14]	[OOC] CCA.C08-UNION.i1.51023: SHUT UP ONLY I CANM MAKE THAT JOKE
[19:58:19]	[OOC] CCA.C08-UNION.i1.51023: I WILL BANEHAMMER YOU
[19:58:24]	[OOC] CCA.C08-UNION.i1.51023: no but seriously let's get started
[19:58:34]	[OOC] John Smith: smh Q's abusing admin, ban 'em
[19:58:41]	[OOC] James Johnson: /me bans
[19:58:45]	[OOC] John Smith: less do dis
[19:58:47]	[OOC] CCA.C08-UNION.i1.51023: i'm free
[19:59:21]	[LOOC] James Johnson: holy shit another male_07?
[19:59:30]	[LOOC] John Smith: 2 tall boys chilling in the street
[19:59:36]	[LOOC] John Smith: yes
[19:59:37]	[OOC] James Johnson: ye
[19:59:50]	[LOOC] James Johnson: fuck i keep doing OOC instead of LOOC
[19:59:54]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[20:00:11]	[LOOC] John Smith: is it gettung quieter to you?
[20:00:16]	[LOOC] James Johnson: what is?
[20:00:17]	[OOC] CCA.C08-UNION.i1.51023: we're gonna try a little something out today
[20:00:26]	[OOC] CCA.C08-UNION.i1.51023: no harm in trying new forms of storytelling
[20:00:36]	matt saton loaded the character 'Jason Mackey'
[20:00:38]	Jason Mackey entered observer.
[20:01:00]	Jason Mackey exited observer at their location.
[20:01:06]	Jason Mackey entered observer.
[20:01:15]	[OOC] James Johnson: am i allowed to wear my green citizen suit whenever?
[20:01:18]	[OOC] Jason Mackey: yep
[20:01:22]	[OOC] Jason Mackey: respirator is just if you want to wear it
[20:01:23]	James Johnson ran 'Equip' on item 'Green Citizen Suit' (#20925)
[20:01:31]	James Johnson ran 'EquipUn' on item 'Respirator' (#20928)
[20:01:32]	[OOC] Jason Mackey: because you can let other people see your clothes and whatnot when you wear that
[20:01:39]	James Johnson ran 'Equip' on item 'Respirator' (#20928)
[20:01:43]	[OOC] John Smith: its not required any more tho, we have Respirators now, poggers of champ
[20:01:46]	[OOC] Jason Mackey: ^
[20:01:50]	Jason Mackey exited observer at their location.
[20:01:50]	Jason Mackey has taken 1 damage from worldspawn.
[20:01:50]	Jason Mackey has taken 1 damage from worldspawn.
[20:01:51]	Jason Mackey entered observer.
[20:02:07]	Jason Mackey exited observer at their location.
[20:02:07]	Jason Mackey has taken 1 damage from worldspawn.
[20:02:08]	Jason Mackey has taken 1 damage from worldspawn.
[20:02:09]	Jason Mackey entered observer.
[20:02:10]	[OOC] John Smith: somone started dying randomly
[20:02:17]	Jason Mackey has spawned a 'Entity [676][ix_airvent]'.
[20:02:28]	Jason Mackey exited observer at their location.
[20:02:32]	Jason Mackey has spawned 'models/hunter/plates/plate4x4.mdl'.
[20:02:32]	Jason Mackey entered observer.
[20:02:47]	[OOC] John Smith: I HEARD THAT TOOLGUN
[20:02:48]	James Johnson used the 'Street Market' vendor.
[20:02:50]	[OOC] Jason Mackey: i am
[20:02:58]	[OOC] Jason Mackey: nowhere near you
[20:03:00]	[OOC] Jason Mackey: how the shit
[20:03:04]	James Johnson has lost 10 tokens.
[20:03:04]	James Johnson has gained a 'Flashlight' #20929.
[20:03:04]	Jason Mackey exited observer at their location.
[20:03:09]	Jason Mackey entered observer.
[20:03:09]	Jason Mackey exited observer at their location.
[20:03:10]	Jason Mackey entered observer.
[20:03:11]	Jason Mackey exited observer at their location.
[20:03:17]	Dilly_ has connected.
[20:03:21]	[OOC] John Smith: because im tuned into the stream
[20:03:21]	Jason Mackey entered observer.
[20:03:26]	[OOC] Jason Mackey: FUCK
[20:03:27]	[OOC] John Smith: probably
[20:03:36]	Jason Mackey exited observer at their location.
[20:03:37]	Jason Mackey entered observer.
[20:03:38]	Jason Mackey exited observer at their location.
[20:03:38]	Jason Mackey entered observer.
[20:03:43]	Jason Mackey exited observer at their location.
[20:03:43]	Jason Mackey entered observer.
[20:03:44]	Jason Mackey exited observer at their location.
[20:03:44]	Jason Mackey has taken 1 damage from worldspawn.
[20:03:44]	Jason Mackey entered observer.
[20:03:45]	Jason Mackey exited observer at their location.
[20:03:50]	[OOC] John Smith: i can no-longer hear it
[20:04:05]	Jason Mackey entered observer.
[20:04:09]	[OOC] James Johnson: how do i get money here?
[20:04:11]	[OOC] John Smith: *15 minutes later, i hear it again*
[20:04:27]	Dilly_ loaded the character 'Carson Copper'
[20:04:33]	[OOC] John Smith: no idea, somethin about workin idk, civvie RP is boring when theres no event
[20:04:34]	Jason Mackey exited observer at their location.
[20:04:35]	Jason Mackey entered observer.
[20:04:36]	Jason Mackey exited observer at their location.
[20:04:36]	Jason Mackey has taken 1 damage from worldspawn.
[20:04:36]	Jason Mackey entered observer.
[20:04:37]	Jason Mackey exited observer at their location.
[20:04:37]	Jason Mackey entered observer.
[20:04:51]	[LOOC] Carson Copper: e
[20:04:52]	[OOC] James Johnson: wtf
[20:04:55]	[OOC] John Smith: wat
[20:04:56]	[LOOC] Carson Copper: what's up boss
[20:05:04]	Jason Mackey used command '/Event Somewhere far away in City Eight...'.
[20:05:09]	Jason Mackey exited observer at their location.
[20:05:09]	Jason Mackey has taken 1 damage from worldspawn.
[20:05:10]	Jason Mackey has taken 1 damage from worldspawn.
[20:05:11]	Jason Mackey has taken 1 damage from worldspawn.
[20:05:11]	Jason Mackey entered observer.
[20:05:14]	Jason Mackey exited observer at their location.
[20:05:18]	[OOC] John Smith: ah cutscene
[20:05:36]	Jason Mackey has gained 50 tokens.
[20:05:38]	[OOC] John Smith: i am also now blind from that random  flash
[20:05:39]	[ME] Jason Mackey: would begin to speak into the monitor in front of him. Some CCA official would come up on the screen.
[20:06:30]	DRD has connected.
[20:07:26]	[OOC] John Smith: AH IM BLIND BY A WHITE LIGHT
[20:07:30]	[OOC] Carson Copper: **beings will be able to look forward in time** 
[20:07:46]	[OOC] Carson Copper: GMAN YOU BETTER HAUL ASS THEY COMIN FOR YA 
[20:08:02]	[OOC] John Smith: HLA but HL2 Beta
[20:08:03]	[OOC] James Johnson: WAIT GMAN IS CANON IN THIS SERVER?
[20:08:07]	[OOC] John Smith: yes
[20:08:11]	[OOC] Carson Copper: i dunno
[20:08:18]	DRD loaded the character 'CCA.C08-GRID.i1.23710'
[20:08:20]	[OOC] John Smith: he is
[20:08:24]	[OOC] CCA.C08-GRID.i1.23710: there we go]
[20:08:28]	[OOC] James Johnson: best server
[20:08:28]	CCA.C08-GRID.i1.23710 entered observer.
[20:08:30]	[OOC] Carson Copper: is in HL, so they're just vibin around 
[20:08:42]	[OOC] Carson Copper: DRDRDRDRDRDRDRDRDRDRD
[20:08:46]	[OOC] CCA.C08-GRID.i1.23710: HI
[20:08:52]	[OOC] Carson Copper: <:: Hi. ::>
[20:08:57]	[OOC] John Smith: ello
[20:09:20]	[IT] Jason Mackey: <:: Good. I look forward to your progress with great anticipation. We will do our part to aid you. ::>
[20:09:47]	[IT] Jason Mackey: <:: Understood. Good luck and fare well. ::>
[20:10:07]	[OOC] Carson Copper: weeeeeeee
[20:10:11]	Jason Mackey entered observer.
[20:10:17]	[OOC] John Smith: q stop blinding us
[20:10:23]	[OOC] Carson Copper: *He's doing transitions*
[20:10:28]	Jason Mackey exited observer at their location.
[20:10:29]	Jason Mackey entered observer.
[20:10:33]	Jason Mackey exited observer at their location.
[20:10:33]	Jason Mackey entered observer.
[20:10:34]	Jason Mackey exited observer at their location.
[20:10:34]	Jason Mackey entered observer.
[20:10:36]	Jason Mackey exited observer at their location.
[20:10:36]	Jason Mackey has taken 1 damage from worldspawn.
[20:10:36]	Jason Mackey has gained 50 tokens.
[20:10:36]	Jason Mackey entered observer.
[20:10:36]	Jason Mackey exited observer at their location.
[20:10:37]	Jason Mackey has taken 1 damage from worldspawn.
[20:10:37]	Jason Mackey entered observer.
[20:10:42]	Jason Mackey exited observer at their location.
[20:10:42]	Jason Mackey has taken 1 damage from worldspawn.
[20:10:43]	Jason Mackey has taken 55 damage from worldspawn.
[20:10:43]	Jason Mackey has taken 1 damage from worldspawn.
[20:10:43]	Jason Mackey entered observer.
[20:10:50]	[OOC] John Smith: a bright white light is not a transition, its a way to go blind, thats saying looking into the sun is a transition
[20:10:54]	Jason Mackey exited observer at their location.
[20:10:54]	Jason Mackey has taken 1 damage from worldspawn.
[20:10:55]	Jason Mackey entered observer.
[20:11:00]	[OOC] Jason Mackey: i really should update the color
[20:11:01]	[OOC] James Johnson: why not use black transition?
[20:11:05]	[OOC] Jason Mackey: or make it a blur or something
[20:12:11]	[ME] John Smith: would hold out his hand in order to shake the other persons.
[20:12:43]	[ME] Carson Copper: he reaches out with his right hand, shaking the individual's hand swiftly, "John hmm- Smith? Nice. Call me Carson."
[20:12:55]	[ME] Carson Copper: his attention peers off to the right
[20:13:47]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:14:26]	[ME] John Smith: would then look towards the Civil Protection officer.
[20:14:46]	matt saton loaded the character 'CCA.C08-GRID.OfC.01993'
[20:14:49]	CCA.C08-GRID.OfC.01993 entered observer.
[20:14:49]	[OOC] CCA.C08-GRID.i1.23710: !
[20:14:51]	[ME] Carson Copper: his attention moves over to the individual on his left and he would lean in and mumble something inaudble to some
[20:15:01]	[W] Carson Copper: Best not to stare at em' y'know.
[20:15:03]	CCA.C08-GRID.OfC.01993 used command '/Radio test'.
[20:15:07]	[ME] Carson Copper: he returns back
[20:15:11]	CCA.C08-GRID.i1.23710 entered observer.
[20:15:13]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:15:13]	CCA.C08-GRID.OfC.01993 has gained a 'Handheld Radio' #20930.
[20:15:13]	CCA.C08-GRID.OfC.01993 used command '/CharGiveItem ofc radio'.
[20:15:16]	CCA.C08-GRID.OfC.01993 ran 'Frequency' on item 'Handheld Radio' (#19693)
[20:15:19]	CCA.C08-GRID.OfC.01993 ran 'Toggle' on item 'Handheld Radio' (#19693)
[20:15:21]	[W] John Smith: Yeah yeah I know, I've been 'round 'ere a few times.
[20:15:33]	CCA.C08-GRID.OfC.01993 used command '/PlySearch'.
[20:15:47]	[ME] Carson Copper: sneezes
[20:15:47]	[LOOC] CCA.C08-GRID.OfC.01993: trun on radio please
[20:15:50]	CCA.C08-GRID.OfC.01993 used command '/PM grid 135.7'.
[20:15:53]	CCA.C08-GRID.OfC.01993 ran 'Frequency' on item 'Handheld Radio' (#19693)
[20:15:53]	[LOOC] CCA.C08-GRID.i1.23710: it's on?
[20:15:54]	CCA.C08-GRID.OfC.01993 used command '/SetFreq 135.7'.
[20:15:57]	[LOOC] CCA.C08-GRID.OfC.01993: oh
[20:16:00]	[LOOC] CCA.C08-GRID.i1.23710: oh
[20:16:03]	[LOOC] CCA.C08-GRID.i1.23710: wait wtf
[20:16:07]	[LOOC] CCA.C08-GRID.i1.23710: whys it off
[20:16:07]	[LOOC] John Smith: you can press F3 and then click "allow anyone ina yelling range to recognize you"
[20:16:10]	CCA.C08-GRID.i1.23710 ran 'Toggle' on item 'Handheld Radio' (#9736)
[20:16:10]	CCA.C08-GRID.OfC.01993 used command '/PlySearch'.
[20:16:15]	[LOOC] CCA.C08-GRID.i1.23710: try now
[20:16:19]	CCA.C08-GRID.OfC.01993 ran 'Frequency' on item 'Handheld Radio' (#19693)
[20:16:20]	CCA.C08-GRID.OfC.01993 used command '/SetFreq 329.1'.
[20:16:24]	CCA.C08-GRID.i1.23710 entered observer.
[20:16:25]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:16:31]	CCA.C08-GRID.OfC.01993 used command '/Radio Grid.'.
[20:16:39]	CCA.C08-GRID.OfC.01993 ran 'Frequency' on item 'Handheld Radio' (#19693)
[20:16:40]	CCA.C08-GRID.OfC.01993 used command '/SetFreq 329.1'.
[20:16:50]	[IT] CCA.C08-GRID.OfC.01993: GRID.
[20:16:53]	[ME] Carson Copper: he pauses for a moment
[20:17:07]	[ME] Carson Copper: and would then turn on his heel to face his right side, and would point a finger forward
[20:17:12]	CCA.C08-GRID.i1.23710 used command '/PM ofc 137.5 was breached, remeber?'.
[20:17:18]	CCA.C08-GRID.OfC.01993 used command '/PM i1 my bad my bad, yes'.
[20:17:25]	CCA.C08-GRID.i1.23710 used command '/PM ofc i think we're using uh'.
[20:17:35]	CCA.C08-GRID.i1.23710 used command '/PM ofc 329.1'.
[20:17:36]	CCA.C08-GRID.OfC.01993 used command '/PM grid 329.1'.
[20:17:44]	CCA.C08-GRID.OfC.01993 used command '/PM i1 right right thank you'.
[20:17:56]	CCA.C08-GRID.i1.23710 used command '/PM ofc you should shove that in the objectives \'.
[20:17:58]	[IT] CCA.C08-GRID.OfC.01993: I need you to round up all the citizens into the shit housing.
[20:18:15]	[IT] CCA.C08-GRID.OfC.01993: Fabrication. There's five on your roster, that should be 3 people.
[20:18:17]	[IT] CCA.C08-GRID.OfC.01993: Fabrication. There's five on your roster, that should be 3 people.
[20:18:18]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[20:18:23]	[LOOC] CCA.C08-GRID.i1.23710: q thats not a radio
