[00:00:31]	[LOOC] Ryan Marnett: septembmer
[00:09:47]	Ryan Marnett entered observer.
[00:09:48]	Ryan Marnett exited observer at their location.
[00:09:52]	CCA.C08-UNION.i5.00162 has taken 2 damage from CCA.C08-UNION.i5.00162.
[00:09:54]	[OOC] Ryan Marnett: what people? pain?
[00:09:58]	Ryan Marnett entered observer.
[00:10:00]	[OOC] CAC.C14-BIOTIC.45914: and journey
[00:10:01]	Ryan Marnett exited observer at their location.
[00:10:03]	Ryan Marnett entered observer.
[00:10:03]	Ryan Marnett exited observer at their location.
[00:10:04]	Ryan Marnett entered observer.
[00:10:08]	[OOC] Ryan Marnett: ah
[00:10:20]	[OOC] CAC.C14-BIOTIC.45914: the neck and wrist bindings arent implanted from the looks of it
[00:10:22]	CCA.C08-UNION.i5.00162 has taken 2 damage from CCA.C08-UNION.i5.00162.
[00:10:47]	[OOC] CAC.C14-BIOTIC.45914: they look like they are just planted on
[00:10:52]	CCA.C08-UNION.i5.00162 has taken 2 damage from CCA.C08-UNION.i5.00162.
[00:10:58]	[OOC] CAC.C14-BIOTIC.45914: the pelvis one though looks different
[00:11:12]	[OOC] Ryan Marnett: hey, welcome back tom
[00:11:17]	Ryan Marnett used command '/PM biotic i don't remember this ugy, do you'.
[00:11:22]	CCA.C08-UNION.i5.00162 has taken 2 damage from CCA.C08-UNION.i5.00162.
[00:11:36]	Ryan Marnett has spawned 'models/props_c17/gravestone003a.mdl'.
[00:11:36]	CAC.C14-BIOTIC.45914 used command '/PM ryan i guess one of the really old cps that dipped a while back'.
[00:11:37]	Ryan Marnett has spawned 'models/props_c17/gravestone003a.mdl'.
[00:11:39]	Ryan Marnett has spawned 'models/props_c17/gravestone003a.mdl'.
[00:11:40]	Ryan Marnett has spawned 'models/props_c17/gravestone003a.mdl'.
[00:11:40]	Ryan Marnett has spawned 'models/props_c17/gravestone003a.mdl'.
[00:11:43]	Ryan Marnett has spawned 'models/props_c17/playgroundTick-tack-toe_block01a.mdl'.
[00:11:45]	Ryan Marnett exited observer at their location.
[00:11:48]	[LOOC] Ryan Marnett: well yeah
[00:11:49]	Ryan Marnett entered observer.
[00:11:51]	Ryan Marnett exited observer at their location.
[00:11:52]	CCA.C08-UNION.i5.00162 has taken 2 damage from CCA.C08-UNION.i5.00162.
[00:11:54]	[LOOC] Ryan Marnett: BRUH
[00:11:55]	Ryan Marnett entered observer.
[00:12:05]	CCA.C08-UNION.i5.00162 has gained 10 tokens.
[00:12:10]	[LOOC] Ryan Marnett: okay fine i';l loo kattee ragdoll
[00:12:18]	[OOC] CCA.C08-UNION.i5.00162: ayy how's it going
[00:12:22]	[OOC] CAC.C14-BIOTIC.45914: howdy
[00:12:29]	[OOC] CCA.C08-UNION.i5.00162: mind uh
[00:12:31]	[OOC] Ryan Marnett: hey, wha's up
[00:12:38]	[OOC] CCA.C08-UNION.i5.00162: sending me the content? i havent been on in months lmao
[00:12:38]	Ryan Marnett used command '/CharSetName union CCA.C14-UNION.i5.00152'.
[00:12:46]	[OOC] Ryan Marnett: yep! you can get it with /content
[00:12:50]	[OOC] CCA.C14-UNION.i5.00152: ty
[00:12:51]	CCA.C14-UNION.i5.00152 used command '/Content'.
[00:12:53]	[OOC] Ryan Marnett: no problem
[00:12:57]	Ryan Marnett has spawned 'models/vortigaunt_slave.mdl'.
[00:13:38]	[OOC] Ryan Marnett: i garee the ones raound the neck look like they're just put on but i think that's just for chains an suff
[00:13:43]	[OOC] Ryan Marnett: stuff*
[00:14:06]	[OOC] Ryan Marnett: the crotch bit and wirst bits are definitely surgical
[00:14:16]	[OOC] CAC.C14-BIOTIC.45914: well then how would a vort even rebel? very few people on the server actually know surgical shit
[00:14:37]	[OOC] Ryan Marnett: you got civil medical who kinda know
[00:14:54]	[OOC] Ryan Marnett: those are just citizens
[00:15:05]	[OOC] CAC.C14-BIOTIC.45914: though honestly i think it looks more like when things are like super skintight, like you would have to pry it off with a crowbar after disabling it or something
[00:15:38]	Ryan Marnett has spawned 'models/vortigaunt_slave.mdl'.
[00:15:55]	Ryan Marnett has spawned 'models/gman_high.mdl'.
[00:15:57]	Ryan Marnett has spawned 'models/gman.mdl'.
[00:16:01]	Ryan Marnett has spawned 'models/gman_high.mdl'.
[00:17:05]	CCA.C14-UNION.i5.00152 has gained 10 tokens.
[00:17:37]	[OOC] CAC.C14-BIOTIC.45914: you feel that?
[00:21:38]	[OOC] CAC.C14-BIOTIC.45914: k well im gonna get off
[00:21:50]	[OOC] CAC.C14-BIOTIC.45914: i'll continue my ordinal shenanigans tomorrow
[00:21:53]	Mr. Chief (STEAM_0:1:129270116) has disconnected.
[00:22:05]	CCA.C14-UNION.i5.00152 has gained 10 tokens.
[00:22:10]	[OOC] CCA.C14-UNION.i5.00152: alright rejoinin
[00:22:14]	Tenderloin Tom (STEAM_0:0:53047951) has disconnected.
[00:24:07]	Tenderloin Tom has connected.
[00:29:44]	Tenderloin Tom loaded the character 'CCA.C14-UNION.i5.00152'
[00:29:52]	[OOC] CCA.C14-UNION.i5.00152: am bac
[00:30:26]	[OOC] Ryan Marnett: hey, welcomeback
[00:30:28]	[OOC] Ryan Marnett: how've you bene
[00:30:33]	[OOC] CCA.C14-UNION.i5.00152: pretty good
[00:31:09]	[OOC] CCA.C14-UNION.i5.00152: anything change while i was gone?
[00:31:21]	[OOC] Ryan Marnett: i mean
[00:31:22]	[OOC] Ryan Marnett: maps
[00:31:23]	Ryan Marnett exited observer at their location.
[00:31:31]	[OOC] Ryan Marnett: our playerbase has grown a bit
[00:31:33]	[OOC] Ryan Marnett: nothing super hug
[00:31:33]	Ryan Marnett used command '/DoorSetHidden true'.
[00:31:36]	[OOC] Ryan Marnett: huge*
[00:31:41]	[OOC] Ryan Marnett: we finished our second campaign
[00:31:47]	[OOC] CCA.C14-UNION.i5.00152: campaign?
[00:33:16]	[ME] CCA.C14-UNION.i5.00152: casually vvhistles.
[00:33:18]	[OOC] Ryan Marnett: yeah, we do essentially, stories
[00:33:22]	[OOC] Ryan Marnett: that last over like
[00:33:24]	[OOC] Ryan Marnett: months
[00:33:27]	[OOC] Ryan Marnett: several several many many events
[00:33:35]	[OOC] CCA.C14-UNION.i5.00152: ah, nice. truth be told that's the only right way to do HL2RP imo.
[00:33:44]	[OOC] Ryan Marnett: well it keeps people interested lmao
[00:33:49]	[OOC] Ryan Marnett: beats aimless events all the time
[00:33:56]	[OOC] CCA.C14-UNION.i5.00152: see yeah that's the thing
[00:34:00]	[OOC] Ryan Marnett: the conclusion was, and this isn't doing it any justice because it was so much better than just stating the ending
[00:34:04]	[OOC] CCA.C14-UNION.i5.00152: whenever i see events happen on say nebulous cloud
[00:34:08]	[OOC] CCA.C14-UNION.i5.00152: i see someone say idk
[00:34:11]	[OOC] CCA.C14-UNION.i5.00152: bomb the loyalist apartments
[00:34:18]	[OOC] CCA.C14-UNION.i5.00152: they hold like
[00:34:22]	Ryan Marnett entered observer.
[00:34:24]	[OOC] CCA.C14-UNION.i5.00152: 2 work cycles, clear out the building
[00:34:24]	Ryan Marnett entered observer.
[00:34:27]	[OOC] CCA.C14-UNION.i5.00152: and thats the end of it
[00:34:30]	[OOC] Ryan Marnett: yeah
[00:34:31]	[OOC] CCA.C14-UNION.i5.00152: theres no long-lasting impact
[00:34:32]	Ryan Marnett entered observer.
[00:34:34]	[OOC] CCA.C14-UNION.i5.00152: no implications
[00:34:36]	Ryan Marnett exited observer at their location.
[00:34:37]	Ryan Marnett entered observer.
[00:34:37]	[OOC] CCA.C14-UNION.i5.00152: they dont build off of it
[00:34:39]	Ryan Marnett exited observer at their location.
[00:34:39]	Ryan Marnett entered observer.
[00:34:44]	CCA.C14-UNION.i5.00152 has gained 10 tokens.
[00:34:51]	[OOC] CCA.C14-UNION.i5.00152: they just kinda only address it as much as they need to and pass it off as nothing
[00:34:54]	[OOC] Ryan Marnett: we try not to do that, and while i'm biased, i think we do good job at that
[00:34:56]	[OOC] CCA.C14-UNION.i5.00152: its incredibly boring
[00:35:06]	[OOC] Ryan Marnett: but, the nihilanth gordon freeman killed wasn't the last one
[00:35:07]	Ryan Marnett exited observer at their location.
[00:35:09]	Ryan Marnett has taken 23 damage from worldspawn.
[00:35:11]	[OOC] Ryan Marnett: we encountered the actual last one
[00:35:16]	[OOC] Ryan Marnett: also the consul died
[00:35:23]	[OOC] CCA.C14-UNION.i5.00152: nice, nice
[00:35:40]	[OOC] Ryan Marnett: as an act of revenge for his species and the start of a revolution
[00:35:43]	[OOC] Ryan Marnett: obviously it didn't work because
[00:35:49]	[OOC] Ryan Marnett: all half-life
[00:36:05]	[OOC] CCA.C14-UNION.i5.00152: right
[00:36:10]	[ME] Ryan Marnett: would take out his combat knife and cut the individual's ties.
[00:36:28]	[OOC] Ryan Marnett: there's also some gman stuff going on that i can't tell you but it's there
[00:36:30]	Ryan Marnett has taken 37 damage from worldspawn.
[00:36:34]	[OOC] Ryan Marnett: we try to build off of it and built server lore
[00:36:35]	Ryan Marnett entered observer.
[00:36:39]	[OOC] Ryan Marnett: build*
[00:36:40]	Ryan Marnett exited observer at their location.
[00:36:50]	[OOC] CCA.C14-UNION.i5.00152: ye, on the topic of server lore its always good to build off of pre-existing things
[00:36:54]	[OOC] CCA.C14-UNION.i5.00152: and make it effect the RP
[00:37:39]	[OOC] CCA.C14-UNION.i5.00152: i'm actually working on my own server project right now and the central key thus far has been the lore because the lore is going to effect the RP both directly and indirectly as a means to maximize RP potential on pretty much every front I can think of.
[00:37:48]	[OOC] Ryan Marnett: yeah
[00:37:53]	[OOC] Ryan Marnett: plus it interests players
[00:38:14]	[OOC] CCA.C14-UNION.i5.00152: political? we developed a political setting. economics? we developed an economic setting. G-Man, that kind of stuff? that's gonna be present. City life? That's gonna be present. etc.
[00:38:57]	[OOC] CCA.C14-UNION.i5.00152: yeah really what it comes down to when running a server is to maximize potential, to be a good GM and to make sure your players aren't aimlessly wandering around lol.
[00:39:12]	[OOC] CCA.C14-UNION.i5.00152: at least thats been my experience
[00:39:44]	CCA.C14-UNION.i5.00152 has gained 10 tokens.
[00:39:45]	[OOC] CCA.C14-UNION.i5.00152: in the several servers i've developed and staffed in i made being a good GM more-or-less my key component.
[00:39:51]	[OOC] Ryan Marnett: yeah
[00:41:43]	[OOC] CCA.C14-UNION.i5.00152: but yeah, when are peeps usually active?
[00:44:10]	[OOC] Ryan Marnett: it's been kidna shifting
[00:44:16]	[OOC] Ryan Marnett: during the day has been the most often
[00:44:43]	[OOC] CCA.C14-UNION.i5.00152: right
[00:44:44]	CCA.C14-UNION.i5.00152 has gained 10 tokens.
[00:44:57]	[OOC] Ryan Marnett: around the 1-3 timeslot
[00:45:03]	[OOC] Ryan Marnett: but they can stay on up until like 12-1
[00:45:05]	[OOC] Ryan Marnett: i've nogiced
[00:45:17]	[OOC] CCA.C14-UNION.i5.00152: yeah i mean i usually dont sleep until about 2-3 AM
[00:46:58]	[OOC] Ryan Marnett: yeah i sohuldn't but i sometime sd othe same
[00:47:59]	[OOC] CCA.C14-UNION.i5.00152: yeah i used to actually stay awake until much later; so late i found myself waking up at like 2-4 PM.
[00:48:04]	Ryan Marnett entered observer.
[00:48:05]	nicoida1990 has connected.
[00:48:09]	[OOC] CCA.C14-UNION.i5.00152: so i've definitely improved lol
[00:48:12]	[OOC] Ryan Marnett: yeah i had tocut that habit becase i started colleg
[00:48:30]	nicoida1990 (STEAM_0:1:548052735) has disconnected.
[00:48:33]	[OOC] CCA.C14-UNION.i5.00152: yeah i'm about to go to college on my front too so i still need to improve lol
[00:49:44]	CCA.C14-UNION.i5.00152 has gained 10 tokens.
[00:50:04]	[ME] Ryan Marnett: would take out his combat knife and cut the individual's ties.
[00:50:05]	[OOC] CCA.C14-UNION.i5.00152: oh yeah, question
[00:50:13]	[OOC] CCA.C14-UNION.i5.00152: should i be able to open up the crate in the armory?
[00:50:23]	[OOC] Ryan Marnett: no, that's onl for armory operators
[00:50:29]	[OOC] CCA.C14-UNION.i5.00152: ah, gotcha.
[00:50:42]	[OOC] CCA.C14-UNION.i5.00152: so we got a QM system more-or-less?
[00:51:49]	[OOC] Ryan Marnett: yep
[00:51:57]	[OOC] CCA.C14-UNION.i5.00152: nice; I like the organization.
[00:52:10]	[OOC] Ryan Marnett: thank you thank you
[00:52:18]	[OOC] Ryan Marnett: we're trying to get some more of that oto
[00:52:41]	[OOC] CCA.C14-UNION.i5.00152: ye
[00:53:50]	[OOC] Ryan Marnett: sorry, i'm taking some of my time to get idas and stuff looking at half-life content
[00:54:01]	[OOC] CCA.C14-UNION.i5.00152: fair enough lol
[00:54:44]	CCA.C14-UNION.i5.00152 has gained 10 tokens.
[00:59:44]	CCA.C14-UNION.i5.00152 has gained 10 tokens.
[01:01:41]	Tenderloin Tom created the character 'Joakim Akram'
[01:01:41]	Joakim Akram has gained a 'Suitcase' #27308.
[01:01:41]	Joakim Akram has gained a 'Relocation Coupon' #27309.
[01:01:45]	Tenderloin Tom loaded the character 'Joakim Akram'
[01:01:57]	[OOC] Joakim Akram: brb
[01:10:03]	[OOC] Joakim Akram: bacc
[01:11:42]	Tenderloin Tom (STEAM_0:0:53047951) has disconnected.
[01:23:13]	Ryan Marnett exited observer at their location.
[01:23:23]	Ryan Marnett entered observer.
[01:23:26]	Ryan Marnett exited observer at their location.
[01:23:30]	Ryan Marnett entered observer.
[01:23:34]	Ryan Marnett exited observer at their location.
[01:23:35]	Ryan Marnett entered observer.
[01:24:54]	Ryan Marnett exited observer at their location.
[01:24:55]	Ryan Marnett entered observer.
[01:25:00]	Ryan Marnett exited observer at their location.
[01:25:17]	Ryan Marnett entered observer.
[01:25:19]	Ryan Marnett exited observer at their location.
[01:25:20]	Ryan Marnett entered observer.
[01:25:21]	Ryan Marnett exited observer at their location.
[01:25:22]	Ryan Marnett entered observer.
[01:25:25]	Ryan Marnett exited observer at their location.
[01:25:26]	Ryan Marnett entered observer.
[01:25:28]	Ryan Marnett exited observer at their location.
[01:25:29]	Ryan Marnett entered observer.
[01:25:29]	Ryan Marnett exited observer at their location.
[01:25:30]	Ryan Marnett has taken 5 damage from worldspawn.
[01:25:30]	Ryan Marnett entered observer.
[01:25:31]	Ryan Marnett exited observer at their location.
[01:25:32]	Ryan Marnett entered observer.
[01:25:32]	Ryan Marnett exited observer at their location.
[01:25:33]	Ryan Marnett entered observer.
[01:25:33]	Ryan Marnett exited observer at their location.
[01:25:34]	Ryan Marnett entered observer.
[01:25:35]	Ryan Marnett exited observer at their location.
[01:25:35]	Ryan Marnett entered observer.
[01:25:36]	Ryan Marnett exited observer at their location.
[01:25:36]	Ryan Marnett entered observer.
[01:25:37]	Ryan Marnett exited observer at their location.
[01:25:38]	Ryan Marnett entered observer.
[01:25:38]	Ryan Marnett exited observer at their location.
[01:25:39]	Ryan Marnett entered observer.
[01:25:39]	Ryan Marnett exited observer at their location.
[01:25:40]	Ryan Marnett entered observer.
[01:25:40]	Ryan Marnett exited observer at their location.
[01:25:42]	Ryan Marnett entered observer.
[01:25:42]	Ryan Marnett exited observer at their location.
[01:25:44]	Ryan Marnett entered observer.
[01:25:46]	Ryan Marnett exited observer at their location.
[01:25:47]	Ryan Marnett entered observer.
[01:25:48]	Ryan Marnett exited observer at their location.
[01:25:50]	Ryan Marnett entered observer.
[01:25:53]	Ryan Marnett exited observer at their location.
[01:25:54]	Ryan Marnett entered observer.
[01:25:55]	Ryan Marnett exited observer at their location.
[01:25:56]	Ryan Marnett entered observer.
[01:25:58]	Ryan Marnett exited observer at their location.
[01:25:58]	Ryan Marnett entered observer.
[01:25:59]	Ryan Marnett exited observer at their location.
[01:25:59]	Ryan Marnett entered observer.
[01:26:00]	Ryan Marnett exited observer at their location.
[01:26:01]	Ryan Marnett entered observer.
[01:26:02]	Ryan Marnett exited observer at their location.
[01:26:03]	Ryan Marnett entered observer.
[01:26:04]	Ryan Marnett exited observer at their location.
[01:26:05]	Ryan Marnett entered observer.
[01:26:05]	Ryan Marnett exited observer at their location.
[01:26:06]	Ryan Marnett entered observer.
[01:26:06]	Ryan Marnett exited observer at their location.
[01:26:07]	Ryan Marnett entered observer.
[01:26:07]	Ryan Marnett exited observer at their location.
[01:26:08]	Ryan Marnett entered observer.
[01:26:09]	Ryan Marnett exited observer at their location.
[01:26:09]	Ryan Marnett entered observer.
[01:26:10]	Ryan Marnett exited observer at their location.
[01:26:10]	Ryan Marnett entered observer.
[01:26:11]	Ryan Marnett exited observer at their location.
[01:26:11]	Ryan Marnett entered observer.
[01:26:12]	Ryan Marnett exited observer at their location.
[01:26:13]	Ryan Marnett entered observer.
[01:26:13]	Ryan Marnett exited observer at their location.
[01:26:14]	Ryan Marnett entered observer.
[01:26:14]	Ryan Marnett exited observer at their location.
[01:26:14]	Ryan Marnett entered observer.
[01:26:16]	Ryan Marnett exited observer at their location.
[01:26:17]	Ryan Marnett entered observer.
[01:26:17]	Ryan Marnett exited observer at their location.
[01:26:18]	Ryan Marnett entered observer.
[01:26:19]	Ryan Marnett exited observer at their location.
[01:26:20]	Ryan Marnett entered observer.
[01:26:22]	Ryan Marnett exited observer at their location.
[01:26:23]	Ryan Marnett entered observer.
[01:26:32]	Ryan Marnett exited observer at their location.
[01:26:33]	Ryan Marnett entered observer.
[01:26:34]	Ryan Marnett exited observer at their location.
[01:26:36]	Ryan Marnett entered observer.
[01:26:39]	Ryan Marnett exited observer at their location.
[01:26:46]	Ryan Marnett entered observer.
[01:26:47]	Ryan Marnett exited observer at their location.
[01:26:48]	Ryan Marnett entered observer.
[01:26:54]	Ryan Marnett exited observer at their location.
[01:26:57]	Ryan Marnett entered observer.
[01:26:58]	Ryan Marnett exited observer at their location.
[01:26:58]	Ryan Marnett entered observer.
[01:26:59]	Ryan Marnett exited observer at their location.
[01:26:59]	Ryan Marnett entered observer.
[01:27:00]	Ryan Marnett exited observer at their location.
[01:27:00]	Ryan Marnett entered observer.
[01:27:02]	Ryan Marnett exited observer at their location.
[01:27:02]	Ryan Marnett entered observer.
[01:27:03]	Ryan Marnett exited observer at their location.
[01:27:05]	Ryan Marnett entered observer.
[01:27:05]	Ryan Marnett exited observer at their location.
[01:27:06]	Ryan Marnett entered observer.
[01:27:07]	Ryan Marnett exited observer at their location.
[01:27:07]	Ryan Marnett entered observer.
[01:27:08]	Ryan Marnett exited observer at their location.
[01:27:09]	Ryan Marnett entered observer.
[01:27:10]	Ryan Marnett exited observer at their location.
[01:27:10]	Ryan Marnett entered observer.
[01:27:10]	Ryan Marnett exited observer at their location.
[01:27:11]	Ryan Marnett entered observer.
[01:27:11]	Ryan Marnett exited observer at their location.
[01:27:12]	Ryan Marnett entered observer.
[01:27:12]	Ryan Marnett exited observer at their location.
[01:27:12]	Ryan Marnett entered observer.
[01:27:16]	Ryan Marnett exited observer at their location.
[01:27:16]	Ryan Marnett entered observer.
[01:27:16]	Ryan Marnett exited observer at their location.
[01:27:17]	Ryan Marnett entered observer.
[01:27:18]	Ryan Marnett exited observer at their location.
[01:27:19]	Ryan Marnett entered observer.
[01:27:19]	Ryan Marnett exited observer at their location.
[01:27:20]	Ryan Marnett entered observer.
[01:27:21]	Ryan Marnett exited observer at their location.
[01:27:21]	Ryan Marnett entered observer.
[01:27:24]	Ryan Marnett exited observer at their location.
[01:27:25]	Ryan Marnett entered observer.
[01:27:26]	Ryan Marnett exited observer at their location.
[01:27:26]	Ryan Marnett entered observer.
[01:27:26]	Ryan Marnett exited observer at their location.
[01:27:26]	Ryan Marnett entered observer.
[01:27:27]	Ryan Marnett exited observer at their location.
[01:27:27]	Ryan Marnett entered observer.
[01:27:30]	Ryan Marnett exited observer at their location.
[01:27:31]	Ryan Marnett entered observer.
[01:27:32]	Ryan Marnett exited observer at their location.
[01:27:33]	Ryan Marnett entered observer.
[01:27:35]	Ryan Marnett exited observer at their location.
[01:45:47]	Ryan Marnett set Show to '[false]'.
[02:24:02]	Ryan Marnett set Show to '[false]'.
[02:24:19]	Ryan Marnett has spawned 'models/props_wasteland/lighthouse_fresnel_light.mdl'.
[02:24:27]	Ryan Marnett has spawned 'models/props_wasteland/prison_padlock001a.mdl'.
[02:28:42]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[10:12:17]	[CGN] Painevan has connected.
[10:12:48]	[CGN] Painevan loaded the character 'Karl Von Habsburg'
[10:12:51]	Karl Von Habsburg entered observer.
[10:13:56]	Karl Von Habsburg has spawned a 'NPC [3192][npc_combine_s]'.
[10:14:05]	Karl Von Habsburg has spawned a 'NPC [3192][npc_combine_s]'.
[10:14:29]	Karl Von Habsburg has spawned a 'NPC [3192][npc_combine_s]'.
[10:14:39]	Karl Von Habsburg has spawned a 'NPC [3193][npc_zombie]'.
[10:17:57]	Karl Von Habsburg has spawned a 'NPC [3193][npc_combine_s]'.
[10:18:37]	Karl Von Habsburg has spawned a 'NPC [3193][npc_combine_s]'.
[10:18:47]	Karl Von Habsburg has spawned a 'NPC [3195][npc_combine_s]'.
[10:18:58]	Karl Von Habsburg has spawned a 'NPC [3202][npc_zombie]'.
[10:18:59]	Karl Von Habsburg has spawned a 'NPC [3204][npc_zombie]'.
[10:19:00]	Karl Von Habsburg has spawned a 'NPC [3205][npc_zombie]'.
[10:19:05]	Karl Von Habsburg has spawned a 'NPC [3206][npc_poisonzombie]'.
[10:19:10]	Karl Von Habsburg has spawned a 'NPC [3206][npc_zombie]'.
[10:20:03]	Karl Von Habsburg has spawned a 'NPC [3202][npc_citizen]'.
[10:20:05]	Karl Von Habsburg has spawned a 'NPC [3209][npc_citizen]'.
[10:20:06]	Karl Von Habsburg has spawned a 'NPC [3206][npc_citizen]'.
[10:20:12]	Karl Von Habsburg has spawned a 'NPC [3214][npc_citizen]'.
[10:21:55]	Karl Von Habsburg has spawned a 'NPC [3216][npc_combine_s]'.
[10:21:55]	Karl Von Habsburg has spawned a 'NPC [3192][npc_combine_s]'.
[10:21:56]	Karl Von Habsburg has spawned a 'NPC [3219][npc_combine_s]'.
[10:22:13]	Karl Von Habsburg has spawned a 'NPC [3193][npc_combine_s]'.
[10:22:15]	Karl Von Habsburg has spawned a 'NPC [3192][npc_combine_s]'.
[10:22:17]	Karl Von Habsburg has spawned a 'NPC [3208][npc_combine_s]'.
[10:23:57]	Karl Von Habsburg has spawned a 'NPC [3193][npc_combine_s]'.
[10:23:58]	Karl Von Habsburg has spawned a 'NPC [3195][npc_combine_s]'.
[10:23:59]	Karl Von Habsburg has spawned a 'NPC [3208][npc_combine_s]'.
[10:24:27]	Karl Von Habsburg has spawned a 'NPC [3196][npc_metropolice]'.
[10:28:03]	Karl Von Habsburg has spawned a 'NPC [3193][npc_combine_s]'.
[10:28:08]	Karl Von Habsburg has spawned a 'NPC [519][npc_combine_s]'.
[10:28:09]	Karl Von Habsburg has spawned a 'NPC [3192][npc_combine_s]'.
[10:29:22]	Karl Von Habsburg has spawned a 'NPC [3192][npc_combine_s]'.
[10:29:32]	Karl Von Habsburg has spawned a 'NPC [520][npc_combine_s]'.
[10:29:33]	Karl Von Habsburg has spawned a 'NPC [3192][npc_combine_s]'.
[10:29:33]	Karl Von Habsburg has spawned a 'NPC [3208][npc_combine_s]'.
[10:29:34]	Karl Von Habsburg has spawned a 'NPC [3211][npc_combine_s]'.
