[13:18:43]	Doctor Freeman has connected.
[13:26:26]	ds ad sadsad sadsad ad sad closed the '' #769 container.
[13:26:31]	Doctor Freeman loaded the character 'd sad sad sa dasdsad sad as ddsa'
[13:26:33]	d sad sad sa dasdsad sad as ddsa opened the '' #769 container.
[13:26:34]	d sad sad sa dasdsad sad as ddsa closed the '' #769 container.
[13:26:35]	d sad sad sa dasdsad sad as ddsa opened the '' #769 container.
[13:26:38]	d sad sad sa dasdsad sad as ddsa has given 35 tokens to '' #769 (70 tokens left).
[13:26:38]	d sad sad sa dasdsad sad as ddsa closed the '' #769 container.
[13:26:44]	Doctor Freeman loaded the character 'd sad sad sadsad'
[13:26:46]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:47]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:47]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:48]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:49]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:50]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:50]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:51]	d sad sad sadsad ran 'drop' on item 'Citizen Filter' (#10263)
[13:26:51]	d sad sad sadsad has lost a 'Citizen Filter' #10263.
[13:26:51]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:52]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:53]	d sad sad sadsad ran 'take' on item 'Citizen Filter' (#10263)
[13:26:53]	d sad sad sadsad has gained a 'Citizen Filter' #10263.
[13:26:53]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:53]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:54]	d sad sad sadsad ran 'Equip' on item 'Cyclopic Citizen Suit' (#10262)
[13:26:54]	d sad sad sadsad has taken 1 damage from worldspawn.
[13:26:55]	d sad sad sadsad ran 'equip' on item 'Citizen Filter' (#10263)
[13:26:56]	d sad sad sadsad opened the '' #769 container.
[13:27:01]	d sad sad sadsad has given 35 tokens to '' #769 (105 tokens left).
[13:27:01]	d sad sad sadsad closed the '' #769 container.
[13:27:06]	Doctor Freeman loaded the character 'aaaaa'
[13:27:09]	aaaaa opened the '' #769 container.
[13:27:10]	aaaaa closed the '' #769 container.
[13:27:11]	aaaaa opened the '' #769 container.
[13:27:14]	aaaaa has given 35 tokens to '' #769 (140 tokens left).
[13:27:15]	aaaaa closed the '' #769 container.
[13:27:26]	Doctor Freeman loaded the character 'aaac'
[13:27:27]	aaac opened the '' #769 container.
[13:27:30]	aaac has given 35 tokens to '' #769 (175 tokens left).
[13:27:31]	aaac closed the '' #769 container.
[13:27:35]	Doctor Freeman (STEAM_0:1:59796624) deleted character 'aaac'
[13:27:38]	Doctor Freeman (STEAM_0:1:59796624) deleted character 'aaaaa'
[13:27:40]	Doctor Freeman (STEAM_0:1:59796624) deleted character 'd sad sad sadsad'
[13:27:42]	Doctor Freeman (STEAM_0:1:59796624) deleted character 'd sad sad sa dasdsad sad as ddsa'
[13:27:44]	Doctor Freeman (STEAM_0:1:59796624) deleted character 'ds ad sadsad sadsad ad sad'
[13:27:47]	Doctor Freeman loaded the character 'Jason Sheer'
[13:27:49]	Jason Sheer opened the '' #769 container.
[13:27:54]	Jason Sheer has given 84 tokens to '' #769 (259 tokens left).
[13:27:58]	Jason Sheer has taken 259 tokens from '' #769 (0 tokens left).
[13:28:00]	Jason Sheer closed the '' #769 container.
[13:28:18]	Jason Sheer opened the '' #755 container.
[13:28:20]	Jason Sheer closed the '' #755 container.
[13:29:19]	Jason Sheer used the 'General Store Manager' vendor.
[13:29:22]	Jason Sheer used the 'General Store Manager' vendor.
[13:29:34]	Jason Sheer ran 'take' on item 'Suitcase' (#10212)
[13:29:38]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10242)
[13:29:38]	Jason Sheer has lost a 'Small Items Case' #10242.
[13:29:43]	Jason Sheer ran 'take' on item 'Small Items Case' (#10242)
[13:29:43]	Jason Sheer has gained a 'Small Items Case' #10242.
[13:30:22]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10246)
[13:30:22]	Jason Sheer has lost a 'Small Items Case' #10246.
[13:30:22]	Jason Sheer has lost a 'Citizen ID' #10190.
[13:30:22]	Jason Sheer has lost a 'Citizen ID' #10187.
[13:30:22]	Jason Sheer has lost a 'Citizen ID' #10194.
[13:30:22]	Jason Sheer has lost a 'Citizen ID' #10183.
[13:30:22]	Jason Sheer has lost a 'Citizen ID' #10186.
[13:30:22]	Jason Sheer has lost a 'Citizen ID' #10181.
[13:30:26]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10243)
[13:30:26]	Jason Sheer has lost a 'Small Items Case' #10243.
[13:30:28]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10245)
[13:30:28]	Jason Sheer has lost a 'Small Items Case' #10245.
[13:30:28]	Jason Sheer has lost a 'Amphibious Consulate Water' #10104.
[13:30:30]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10242)
[13:30:30]	Jason Sheer has lost a 'Small Items Case' #10242.
[13:30:34]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10244)
[13:30:34]	Jason Sheer has lost a 'Small Items Case' #10244.
[13:30:34]	Jason Sheer has lost a 'UU-Brand Chips' #10217.
[13:30:34]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10241)
[13:30:35]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10239)
[13:30:35]	Jason Sheer has lost a 'Small Items Case' #10239.
[13:30:35]	Jason Sheer has lost a 'Relocation Coupon' #10122.
[13:30:35]	Jason Sheer has lost a 'Relocation Coupon' #9864.
[13:30:44]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10241)
[13:30:45]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10240)
[13:30:46]	Jason Sheer has lost a 'Small Items Case' #10240.
[13:30:46]	Jason Sheer has lost a 'Citizen Filter' #10230.
[13:30:46]	Jason Sheer has lost a 'Citizen Filter' #10226.
[13:30:46]	Jason Sheer has lost a 'Citizen Filter' #10228.
[13:30:46]	Jason Sheer has lost a 'Citizen Filter' #10233.
[13:30:46]	Jason Sheer has lost a 'Citizen Filter' #10229.
[13:30:46]	Jason Sheer has lost a 'Citizen Filter' #10227.
[13:30:48]	Jason Sheer ran 'EquipUn' on item 'Green Citizen Suit' (#10170)
[13:30:50]	Jason Sheer ran 'Equip' on item 'Green Citizen Suit' (#10170)
[13:30:52]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10247)
[13:30:52]	Jason Sheer has lost a 'Small Items Case' #10247.
[13:30:52]	Jason Sheer has lost a 'Citizen ID' #10189.
[13:30:52]	Jason Sheer has lost a 'Citizen ID' #10192.
[13:30:52]	Jason Sheer has lost a 'Citizen ID' #10184.
[13:30:52]	Jason Sheer has lost a 'Citizen ID' #10182.
[13:30:52]	Jason Sheer has lost a 'Citizen ID' #10180.
[13:30:52]	Jason Sheer has lost a 'Citizen ID' #10185.
[13:30:54]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10215)
[13:30:54]	Jason Sheer has lost a 'Small Items Case' #10215.
[13:30:54]	Jason Sheer has lost a 'Small Cooking Pot' #10218.
[13:30:54]	Jason Sheer has lost a 'Pan' #10220.
[13:30:54]	Jason Sheer has lost a 'Cyclopic Citizen Suit' #10165.
[13:30:54]	Jason Sheer has lost a 'Notepad' #10219.
[13:30:54]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10238)
[13:30:54]	Jason Sheer has lost a 'Small Items Case' #10238.
[13:30:55]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10237)
[13:30:55]	Jason Sheer has lost a 'Small Items Case' #10237.
[13:30:56]	Jason Sheer ran 'take' on item 'Small Items Case' (#10245)
[13:30:56]	Jason Sheer has gained a 'Small Items Case' #10245.
[13:30:56]	Jason Sheer has gained a 'Amphibious Consulate Water' #10104.
[13:30:57]	Jason Sheer ran 'take' on item 'Small Items Case' (#10246)
[13:30:57]	Jason Sheer has gained a 'Small Items Case' #10246.
[13:30:57]	Jason Sheer has gained a 'Citizen ID' #10190.
[13:30:57]	Jason Sheer has gained a 'Citizen ID' #10187.
[13:30:57]	Jason Sheer has gained a 'Citizen ID' #10194.
[13:30:57]	Jason Sheer has gained a 'Citizen ID' #10183.
[13:30:57]	Jason Sheer has gained a 'Citizen ID' #10186.
[13:30:57]	Jason Sheer has gained a 'Citizen ID' #10181.
[13:30:58]	Jason Sheer ran 'take' on item 'Small Items Case' (#10243)
[13:30:58]	Jason Sheer has gained a 'Small Items Case' #10243.
[13:30:59]	Jason Sheer ran 'take' on item 'Small Items Case' (#10242)
[13:30:59]	Jason Sheer has gained a 'Small Items Case' #10242.
[13:31:08]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10242)
[13:31:08]	Jason Sheer has lost a 'Small Items Case' #10242.
[13:31:10]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10241)
[13:31:14]	Jason Sheer ran 'take' on item 'Small Items Case' (#10242)
[13:31:14]	Jason Sheer has gained a 'Small Items Case' #10242.
[13:31:22]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10245)
[13:31:22]	Jason Sheer has lost a 'Small Items Case' #10245.
[13:31:22]	Jason Sheer has lost a 'Amphibious Consulate Water' #10104.
[13:31:24]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10246)
[13:31:24]	Jason Sheer has lost a 'Small Items Case' #10246.
[13:31:24]	Jason Sheer has lost a 'Citizen ID' #10190.
[13:31:24]	Jason Sheer has lost a 'Citizen ID' #10187.
[13:31:24]	Jason Sheer has lost a 'Citizen ID' #10194.
[13:31:24]	Jason Sheer has lost a 'Citizen ID' #10183.
[13:31:24]	Jason Sheer has lost a 'Citizen ID' #10186.
[13:31:24]	Jason Sheer has lost a 'Citizen ID' #10181.
[13:31:26]	Jason Sheer ran 'take' on item 'Small Items Case' (#10246)
[13:31:26]	Jason Sheer has gained a 'Small Items Case' #10246.
[13:31:26]	Jason Sheer has gained a 'Citizen ID' #10190.
[13:31:26]	Jason Sheer has gained a 'Citizen ID' #10187.
[13:31:26]	Jason Sheer has gained a 'Citizen ID' #10194.
[13:31:26]	Jason Sheer has gained a 'Citizen ID' #10183.
[13:31:26]	Jason Sheer has gained a 'Citizen ID' #10186.
[13:31:26]	Jason Sheer has gained a 'Citizen ID' #10181.
[13:31:31]	Jason Sheer ran 'take' on item 'Small Items Case' (#10240)
[13:31:31]	Jason Sheer has gained a 'Small Items Case' #10240.
[13:31:31]	Jason Sheer has gained a 'Citizen Filter' #10230.
[13:31:31]	Jason Sheer has gained a 'Citizen Filter' #10226.
[13:31:31]	Jason Sheer has gained a 'Citizen Filter' #10228.
[13:31:31]	Jason Sheer has gained a 'Citizen Filter' #10233.
[13:31:31]	Jason Sheer has gained a 'Citizen Filter' #10229.
[13:31:31]	Jason Sheer has gained a 'Citizen Filter' #10227.
[13:31:35]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10246)
[13:31:35]	Jason Sheer has lost a 'Small Items Case' #10246.
[13:31:35]	Jason Sheer has lost a 'Citizen ID' #10190.
[13:31:35]	Jason Sheer has lost a 'Citizen ID' #10187.
[13:31:35]	Jason Sheer has lost a 'Citizen ID' #10194.
[13:31:35]	Jason Sheer has lost a 'Citizen ID' #10183.
[13:31:35]	Jason Sheer has lost a 'Citizen ID' #10186.
[13:31:35]	Jason Sheer has lost a 'Citizen ID' #10181.
[13:31:38]	Jason Sheer ran 'take' on item 'Small Items Case' (#10239)
[13:31:38]	Jason Sheer has gained a 'Small Items Case' #10239.
[13:31:38]	Jason Sheer has gained a 'Relocation Coupon' #10122.
[13:31:38]	Jason Sheer has gained a 'Relocation Coupon' #9864.
[13:31:42]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10239)
[13:31:42]	Jason Sheer has lost a 'Small Items Case' #10239.
[13:31:42]	Jason Sheer has lost a 'Relocation Coupon' #10122.
[13:31:42]	Jason Sheer has lost a 'Relocation Coupon' #9864.
[13:31:45]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10243)
[13:31:45]	Jason Sheer has lost a 'Small Items Case' #10243.
[13:31:47]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10240)
[13:31:47]	Jason Sheer has lost a 'Small Items Case' #10240.
[13:31:47]	Jason Sheer has lost a 'Citizen Filter' #10230.
[13:31:47]	Jason Sheer has lost a 'Citizen Filter' #10226.
[13:31:47]	Jason Sheer has lost a 'Citizen Filter' #10228.
[13:31:47]	Jason Sheer has lost a 'Citizen Filter' #10233.
[13:31:47]	Jason Sheer has lost a 'Citizen Filter' #10229.
[13:31:47]	Jason Sheer has lost a 'Citizen Filter' #10227.
[13:31:50]	Jason Sheer ran 'take' on item 'Small Items Case' (#10243)
[13:31:50]	Jason Sheer has gained a 'Small Items Case' #10243.
[13:31:53]	Jason Sheer ran 'take' on item 'Small Items Case' (#10246)
[13:31:53]	Jason Sheer has gained a 'Small Items Case' #10246.
[13:31:53]	Jason Sheer has gained a 'Citizen ID' #10190.
[13:31:53]	Jason Sheer has gained a 'Citizen ID' #10187.
[13:31:53]	Jason Sheer has gained a 'Citizen ID' #10194.
[13:31:53]	Jason Sheer has gained a 'Citizen ID' #10183.
[13:31:53]	Jason Sheer has gained a 'Citizen ID' #10186.
[13:31:53]	Jason Sheer has gained a 'Citizen ID' #10181.
[13:32:01]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10243)
[13:32:01]	Jason Sheer has lost a 'Small Items Case' #10243.
[13:32:04]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10246)
[13:32:04]	Jason Sheer has lost a 'Small Items Case' #10246.
[13:32:04]	Jason Sheer has lost a 'Citizen ID' #10190.
[13:32:04]	Jason Sheer has lost a 'Citizen ID' #10187.
[13:32:04]	Jason Sheer has lost a 'Citizen ID' #10194.
[13:32:04]	Jason Sheer has lost a 'Citizen ID' #10183.
[13:32:04]	Jason Sheer has lost a 'Citizen ID' #10186.
[13:32:04]	Jason Sheer has lost a 'Citizen ID' #10181.
[13:32:06]	Jason Sheer ran 'take' on item 'Small Items Case' (#10243)
[13:32:06]	Jason Sheer has gained a 'Small Items Case' #10243.
[13:32:08]	Jason Sheer ran 'take' on item 'Small Items Case' (#10247)
[13:32:08]	Jason Sheer has gained a 'Small Items Case' #10247.
[13:32:08]	Jason Sheer has gained a 'Citizen ID' #10189.
[13:32:08]	Jason Sheer has gained a 'Citizen ID' #10192.
[13:32:08]	Jason Sheer has gained a 'Citizen ID' #10184.
[13:32:08]	Jason Sheer has gained a 'Citizen ID' #10182.
[13:32:08]	Jason Sheer has gained a 'Citizen ID' #10180.
[13:32:08]	Jason Sheer has gained a 'Citizen ID' #10185.
[13:32:11]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10247)
[13:32:11]	Jason Sheer has lost a 'Small Items Case' #10247.
[13:32:11]	Jason Sheer has lost a 'Citizen ID' #10189.
[13:32:11]	Jason Sheer has lost a 'Citizen ID' #10192.
[13:32:11]	Jason Sheer has lost a 'Citizen ID' #10184.
[13:32:11]	Jason Sheer has lost a 'Citizen ID' #10182.
[13:32:11]	Jason Sheer has lost a 'Citizen ID' #10180.
[13:32:11]	Jason Sheer has lost a 'Citizen ID' #10185.
[13:32:13]	Jason Sheer ran 'take' on item 'Small Items Case' (#10238)
[13:32:13]	Jason Sheer has gained a 'Small Items Case' #10238.
[13:32:15]	Jason Sheer ran 'take' on item 'Small Items Case' (#10244)
[13:32:15]	Jason Sheer has gained a 'Small Items Case' #10244.
[13:32:15]	Jason Sheer has gained a 'UU-Brand Chips' #10217.
[13:32:19]	Jason Sheer ran 'Consume' on item 'UU-Brand Chips' (#10217)
[13:32:23]	Jason Sheer ran 'take' on item 'Suitcase' (#10212)
[13:32:23]	Jason Sheer has gained a 'Suitcase' #10212.
[13:32:26]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10244)
[13:32:26]	Jason Sheer has lost a 'Small Items Case' #10244.
[13:32:27]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10238)
[13:32:27]	Jason Sheer has lost a 'Small Items Case' #10238.
[13:32:28]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10243)
[13:32:28]	Jason Sheer has lost a 'Small Items Case' #10243.
[13:32:29]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10241)
[13:32:30]	Jason Sheer ran 'drop' on item 'Small Items Case' (#10242)
[13:32:30]	Jason Sheer has lost a 'Small Items Case' #10242.
[13:32:36]	Jason Sheer ran 'take' on item 'Small Items Case' (#10240)
[13:32:36]	Jason Sheer has gained a 'Small Items Case' #10240.
[13:32:36]	Jason Sheer has gained a 'Citizen Filter' #10230.
[13:32:36]	Jason Sheer has gained a 'Citizen Filter' #10226.
[13:32:36]	Jason Sheer has gained a 'Citizen Filter' #10228.
[13:32:36]	Jason Sheer has gained a 'Citizen Filter' #10233.
[13:32:36]	Jason Sheer has gained a 'Citizen Filter' #10229.
[13:32:36]	Jason Sheer has gained a 'Citizen Filter' #10227.
[13:32:37]	Jason Sheer ran 'take' on item 'Small Items Case' (#10239)
[13:32:37]	Jason Sheer has gained a 'Small Items Case' #10239.
[13:32:37]	Jason Sheer has gained a 'Relocation Coupon' #10122.
[13:32:37]	Jason Sheer has gained a 'Relocation Coupon' #9864.
[13:32:38]	Jason Sheer ran 'take' on item 'Small Items Case' (#10215)
[13:32:38]	Jason Sheer has gained a 'Small Items Case' #10215.
[13:32:38]	Jason Sheer has gained a 'Small Cooking Pot' #10218.
[13:32:38]	Jason Sheer has gained a 'Pan' #10220.
[13:32:38]	Jason Sheer has gained a 'Cyclopic Citizen Suit' #10165.
[13:32:38]	Jason Sheer has gained a 'Notepad' #10219.
[13:32:39]	Jason Sheer ran 'take' on item 'Small Items Case' (#10246)
[13:32:39]	Jason Sheer has gained a 'Small Items Case' #10246.
[13:32:39]	Jason Sheer has gained a 'Citizen ID' #10190.
[13:32:39]	Jason Sheer has gained a 'Citizen ID' #10187.
[13:32:39]	Jason Sheer has gained a 'Citizen ID' #10194.
[13:32:39]	Jason Sheer has gained a 'Citizen ID' #10183.
[13:32:39]	Jason Sheer has gained a 'Citizen ID' #10186.
[13:32:39]	Jason Sheer has gained a 'Citizen ID' #10181.
[13:32:40]	Jason Sheer ran 'take' on item 'Small Items Case' (#10237)
[13:32:40]	Jason Sheer has gained a 'Small Items Case' #10237.
[13:32:42]	Jason Sheer ran 'take' on item 'Small Items Case' (#10247)
[13:32:42]	Jason Sheer has gained a 'Small Items Case' #10247.
[13:32:42]	Jason Sheer has gained a 'Citizen ID' #10189.
[13:32:42]	Jason Sheer has gained a 'Citizen ID' #10192.
[13:32:42]	Jason Sheer has gained a 'Citizen ID' #10184.
[13:32:42]	Jason Sheer has gained a 'Citizen ID' #10182.
[13:32:42]	Jason Sheer has gained a 'Citizen ID' #10180.
[13:32:42]	Jason Sheer has gained a 'Citizen ID' #10185.
[13:32:43]	Jason Sheer ran 'take' on item 'Small Items Case' (#10245)
[13:32:43]	Jason Sheer has gained a 'Small Items Case' #10245.
[13:32:43]	Jason Sheer has gained a 'Amphibious Consulate Water' #10104.
[13:34:12]	Doctor Freeman (STEAM_0:1:59796624) has disconnected.
