[02:45:31]	Cotton has connected.
[19:56:37]	Har Tunn has taken 1 damage from worldspawn.
[19:56:38]	Har Tunn has taken 1 damage from worldspawn.
[19:56:39]	Har Tunn has taken 1 damage from worldspawn.
[19:56:39]	Har Tunn has taken 1 damage from worldspawn.
[19:56:40]	Lee Maylor used command '/SetScreenText Setting Up...'.
[19:56:40]	Har Tunn has taken 1 damage from worldspawn.
[19:56:41]	Har Tunn has taken 1 damage from worldspawn.
[19:56:41]	[OOC] Kal'Taar: gabe it is hard to talk to you when you mute boi
[19:56:42]	Har Tunn has taken 1 damage from worldspawn.
[19:56:42]	Har Tunn has taken 1 damage from worldspawn.
[19:56:43]	Har Tunn has taken 1 damage from worldspawn.
[19:56:44]	Har Tunn has taken 1 damage from worldspawn.
[19:56:45]	Har Tunn has taken 1 damage from worldspawn.
[19:56:45]	Har Tunn has taken 1 damage from worldspawn.
[19:56:46]	Har Tunn has taken 1 damage from worldspawn.
[19:56:47]	[Y] Aletta Brandy: Echolocation.
[19:56:47]	Har Tunn has taken 1 damage from worldspawn.
[19:56:48]	Har Tunn has taken 1 damage from worldspawn.
[19:56:48]	Har Tunn has taken 1 damage from worldspawn.
[19:56:49]	Har Tunn has taken 1 damage from worldspawn.
[19:56:50]	Har Tunn has taken 1 damage from worldspawn.
[19:56:51]	Har Tunn has taken 1 damage from worldspawn.
[19:56:51]	Har Tunn has taken 1 damage from worldspawn.
[19:56:52]	Har Tunn has taken 1 damage from worldspawn.
[19:56:53]	Har Tunn has taken 1 damage from worldspawn.
[19:56:54]	Har Tunn has taken 1 damage from worldspawn.
[19:56:55]	Har Tunn has taken 1 damage from worldspawn.
[19:56:55]	Har Tunn has taken 1 damage from worldspawn.
[19:56:56]	Har Tunn has taken 1 damage from worldspawn.
[19:56:56]	[OOC] Lee Maylor: if i'm not on mute i will lash out on you in stress on accident and i don't want to do that
[19:56:57]	Har Tunn has taken 1 damage from worldspawn.
[19:56:58]	Har Tunn has taken 1 damage from worldspawn.
[19:56:58]	Har Tunn has taken 1 damage from worldspawn.
[19:56:59]	Har Tunn has taken 1 damage from worldspawn.
[19:57:00]	Har Tunn has taken 1 damage from worldspawn.
[19:57:01]	Har Tunn has taken 1 damage from worldspawn.
[19:57:01]	Har Tunn has taken 1 damage from worldspawn.
[19:57:02]	Har Tunn has taken 1 damage from worldspawn.
[19:57:03]	Har Tunn has taken 1 damage from worldspawn.
[19:57:04]	Har Tunn has taken 1 damage from worldspawn.
[19:57:04]	[OOC] Kal'Taar: fair.
[19:57:04]	Har Tunn has taken 1 damage from worldspawn.
[19:57:05]	Har Tunn has taken 1 damage from worldspawn.
[19:57:06]	Har Tunn has taken 1 damage from worldspawn.
[19:57:07]	Har Tunn has taken 1 damage from worldspawn.
[19:57:07]	Har Tunn has taken 1 damage from worldspawn.
[19:57:08]	Har Tunn has taken 1 damage from worldspawn.
[19:57:09]	Har Tunn has taken 1 damage from worldspawn.
[19:57:10]	Har Tunn has taken 1 damage from worldspawn.
[19:57:10]	Har Tunn has taken 1 damage from worldspawn.
[19:57:11]	Har Tunn has taken 1 damage from worldspawn.
[19:57:12]	Har Tunn has taken 1 damage from worldspawn.
[19:57:13]	Har Tunn has taken 1 damage from worldspawn.
[19:57:13]	Lee Maylor exited observer at their location.
[19:57:13]	Har Tunn has taken 1 damage from worldspawn.
[19:57:13]	Lee Maylor entered observer.
[19:57:14]	Har Tunn has taken 1 damage from worldspawn.
[19:57:15]	[OOC] Kal'Taar: uh... so... do I need to like... install anything so I have /textures/
[19:57:15]	Har Tunn has taken 1 damage from worldspawn.
[19:57:16]	Har Tunn has taken 1 damage from worldspawn.
[19:57:16]	Lee Maylor exited observer at their location.
[19:57:16]	Har Tunn has taken 1 damage from worldspawn.
[19:57:17]	Har Tunn has taken 1 damage from worldspawn.
[19:57:18]	Har Tunn has taken 1 damage from worldspawn.
[19:57:19]	Har Tunn has taken 1 damage from worldspawn.
[19:57:20]	Har Tunn has taken 1 damage from worldspawn.
[19:57:20]	Har Tunn has taken 1 damage from worldspawn.
[19:57:21]	Har Tunn has taken 1 damage from worldspawn.
[19:57:22]	Har Tunn has taken 1 damage from worldspawn.
[19:57:22]	Lee Maylor has spawned 'models/hunter/blocks/cube2x3x025.mdl'.
[19:57:23]	Har Tunn has taken 1 damage from worldspawn.
[19:57:23]	Har Tunn has taken 1 damage from worldspawn.
[19:57:24]	Lee Maylor has spawned 'models/hunter/plates/plate4x5.mdl'.
[19:57:24]	Har Tunn has taken 1 damage from worldspawn.
[19:57:25]	Har Tunn has taken 1 damage from worldspawn.
[19:57:26]	Har Tunn has taken 1 damage from worldspawn.
[19:57:26]	Har Tunn has taken 1 damage from worldspawn.
[19:57:27]	Har Tunn has taken 1 damage from worldspawn.
[19:57:28]	Har Tunn has taken 1 damage from worldspawn.
[19:57:29]	Har Tunn has taken 1 damage from worldspawn.
[19:57:29]	[OOC] Lee Maylor: not for this map, dw
[19:57:29]	Har Tunn has taken 1 damage from worldspawn.
[19:57:30]	Har Tunn has taken 1 damage from worldspawn.
[19:57:31]	Har Tunn has taken 1 damage from worldspawn.
[19:57:32]	Har Tunn has taken 1 damage from worldspawn.
[19:57:32]	Har Tunn has taken 1 damage from worldspawn.
[19:57:33]	Har Tunn has taken 1 damage from worldspawn.
[19:57:34]	Har Tunn has taken 1 damage from worldspawn.
[19:57:35]	Har Tunn has taken 1 damage from worldspawn.
[19:57:35]	[OOC] Kal'Taar: everything is pink.
[19:57:35]	Har Tunn has taken 1 damage from worldspawn.
[19:57:36]	Har Tunn has taken 1 damage from worldspawn.
[19:57:37]	Har Tunn has taken 1 damage from worldspawn.
[19:57:38]	Har Tunn has taken 1 damage from worldspawn.
[19:57:38]	Har Tunn has taken 1 damage from worldspawn.
[19:57:39]	Har Tunn has taken 1 damage from worldspawn.
[19:57:40]	Har Tunn has taken 1 damage from worldspawn.
