[06:03:50]	✙HealthAngel✙ has connected.
[22:12:34]	Ryan Marnett exited observer at their location.
[22:12:34]	Ryan Marnett entered observer.
[22:12:35]	Ryan Marnett exited observer at their location.
[22:12:36]	Ryan Marnett entered observer.
[22:12:36]	Ryan Marnett exited observer at their location.
[22:12:37]	Ryan Marnett entered observer.
[22:12:56]	Ryan Marnett exited observer at their location.
[22:12:57]	Ryan Marnett entered observer.
[22:13:26]	Ryan Marnett has gained 10 tokens.
[22:13:27]	Ryan Marnett exited observer at their location.
[22:13:28]	Ryan Marnett entered observer.
[22:13:35]	Ryan Marnett exited observer at their location.
[22:13:37]	Ryan Marnett entered observer.
[22:13:37]	Ryan Marnett exited observer at their location.
[22:13:38]	Ryan Marnett entered observer.
[22:13:38]	Ryan Marnett exited observer at their location.
[22:14:49]	Ryan Marnett has taken 10 damage from Ryan Marnett.
[22:14:49]	Ryan Marnett has gained 10 tokens.
[22:15:40]	Ryan Marnett has taken 10 damage from Ryan Marnett.
[22:15:40]	Ryan Marnett has gained 10 tokens.
[22:16:02]	Ryan Marnett has taken 10 damage from Ryan Marnett.
[22:16:02]	Ryan Marnett has gained 10 tokens.
[22:16:23]	Ryan Marnett has taken 10 damage from Ryan Marnett.
[22:16:23]	Ryan Marnett has gained 10 tokens.
[22:16:32]	Ryan Marnett has taken 10 damage from Ryan Marnett.
[22:16:32]	Ryan Marnett has gained 10 tokens.
[22:17:04]	Ryan Marnett has taken 10 damage from Ryan Marnett.
[22:17:04]	Ryan Marnett has gained 10 tokens.
[22:20:29]	Ryan Marnett has taken 10 damage from Ryan Marnett.
[22:20:29]	Ryan Marnett has gained 10 tokens.
[22:21:03]	Ryan Marnett has killed Ryan Marnett.
[22:21:07]	Ryan Marnett entered observer.
[22:21:17]	Ryan Marnett exited observer at their location.
[22:21:19]	Ryan Marnett has spawned a 'Entity [3231][ix_testent3]'.
[22:21:32]	Ryan Marnett entered observer.
[22:21:32]	Ryan Marnett exited observer at their location.
[22:21:35]	Ryan Marnett entered observer.
[22:21:47]	Ryan Marnett exited observer at their location.
[22:21:48]	Ryan Marnett entered observer.
[22:21:48]	Ryan Marnett exited observer at their location.
[22:21:49]	Ryan Marnett has spawned a 'Entity [3232][ix_testent3]'.
[22:22:03]	Ryan Marnett entered observer.
[22:22:04]	Ryan Marnett exited observer at their location.
[22:22:18]	Ryan Marnett entered observer.
[22:22:18]	Ryan Marnett exited observer at their location.
[22:22:19]	Ryan Marnett entered observer.
[22:22:19]	Ryan Marnett exited observer at their location.
[22:22:26]	Ryan Marnett entered observer.
[22:23:00]	Ryan Marnett exited observer at their location.
[22:23:03]	Ryan Marnett has spawned a 'Entity [3232][ix_testent3]'.
[22:23:20]	Ryan Marnett entered observer.
[22:23:21]	Ryan Marnett exited observer at their location.
[22:23:27]	Ryan Marnett entered observer.
[22:23:27]	Ryan Marnett exited observer at their location.
[22:23:34]	Ryan Marnett entered observer.
[22:23:41]	Ryan Marnett exited observer at their location.
[22:23:45]	Ryan Marnett has spawned a 'Entity [3232][ix_testent3]'.
[22:24:06]	Ryan Marnett entered observer.
[22:24:06]	Ryan Marnett exited observer at their location.
[22:24:07]	Ryan Marnett entered observer.
[22:24:15]	Ryan Marnett exited observer at their location.
[22:24:17]	Ryan Marnett has spawned a 'Entity [3232][ix_testent3]'.
[22:24:26]	Ryan Marnett entered observer.
[22:25:12]	Ryan Marnett exited observer at their location.
[22:25:13]	Ryan Marnett entered observer.
[22:25:35]	Ryan Marnett exited observer at their location.
[22:25:56]	Ryan Marnett used command '/ToggleRaise'.
[22:26:00]	Ryan Marnett entered observer.
[22:26:01]	Ryan Marnett exited observer at their location.
[22:26:16]	Ryan Marnett entered observer.
[22:26:16]	Ryan Marnett exited observer at their location.
[22:26:20]	Ryan Marnett has spawned a 'Entity [3236][ix_testent3]'.
[22:26:29]	Ryan Marnett entered observer.
[22:26:29]	Ryan Marnett exited observer at their location.
[22:26:30]	Ryan Marnett entered observer.
[22:27:03]	Ryan Marnett used command '/ToggleRaise'.
[22:27:04]	Ryan Marnett used command '/ToggleRaise'.
[22:27:13]	Ryan Marnett exited observer at their location.
[22:27:13]	Ryan Marnett entered observer.
[22:27:14]	Ryan Marnett exited observer at their location.
[22:27:14]	Ryan Marnett entered observer.
[22:27:15]	Ryan Marnett exited observer at their location.
[22:27:15]	Ryan Marnett entered observer.
[22:27:15]	Ryan Marnett exited observer at their location.
[22:27:16]	Ryan Marnett has spawned a 'Entity [3236][ix_testent3]'.
[22:27:29]	Ryan Marnett entered observer.
[22:27:36]	Ryan Marnett exited observer at their location.
[22:27:37]	Ryan Marnett entered observer.
[22:27:37]	Ryan Marnett exited observer at their location.
[22:27:40]	Ryan Marnett entered observer.
[22:27:41]	Ryan Marnett exited observer at their location.
[22:27:41]	Ryan Marnett entered observer.
[22:34:33]	Ryan Marnett used command '/ToggleRaise'.
[22:34:34]	Ryan Marnett used command '/ToggleRaise'.
[22:36:11]	matt saton loaded the character 'CCA.C08-UNION.i3.12040'
[22:36:11]	CCA.C08-UNION.i3.12040 has taken 8 damage from trigger_hurt.
[22:36:11]	CCA.C08-UNION.i3.12040 has taken 8 damage from trigger_hurt.
[22:36:12]	CCA.C08-UNION.i3.12040 has taken 8 damage from trigger_hurt.
[22:36:12]	CCA.C08-UNION.i3.12040 entered observer.
[22:36:40]	CCA.C08-UNION.i3.12040 exited observer at their location.
[22:36:47]	CCA.C08-UNION.i3.12040 has taken 2 damage from CCA.C08-UNION.i3.12040.
[22:36:53]	matt saton loaded the character 'Ryan Marnett'
[22:37:03]	Ryan Marnett entered observer.
[22:37:04]	Ryan Marnett exited observer at their location.
[22:37:04]	Ryan Marnett entered observer.
[22:37:05]	Ryan Marnett exited observer at their location.
[22:37:06]	Ryan Marnett entered observer.
[22:37:06]	Ryan Marnett exited observer at their location.
[22:37:07]	Ryan Marnett entered observer.
[22:37:08]	Ryan Marnett exited observer at their location.
[22:37:09]	Ryan Marnett entered observer.
[22:37:10]	Ryan Marnett exited observer at their location.
[22:37:10]	Ryan Marnett entered observer.
[22:37:11]	Ryan Marnett exited observer at their location.
[22:37:11]	Ryan Marnett entered observer.
[22:37:15]	Ryan Marnett exited observer at their location.
[22:37:16]	Ryan Marnett entered observer.
[22:37:16]	Ryan Marnett exited observer at their location.
[22:37:17]	Ryan Marnett entered observer.
[22:37:18]	Ryan Marnett exited observer at their location.
[22:37:18]	Ryan Marnett entered observer.
[22:37:21]	Ryan Marnett exited observer at their location.
[22:37:39]	Ryan Marnett entered observer.
[22:37:45]	Ryan Marnett exited observer at their location.
[22:37:46]	Ryan Marnett entered observer.
[22:37:48]	Ryan Marnett exited observer at their location.
[22:38:13]	Ryan Marnett entered observer.
[22:38:19]	Ryan Marnett exited observer at their location.
[22:38:19]	Ryan Marnett entered observer.
[22:42:10]	Ryan Marnett exited observer at their location.
[22:42:10]	Ryan Marnett entered observer.
[22:42:11]	Ryan Marnett exited observer at their location.
[22:42:11]	Ryan Marnett entered observer.
[22:42:14]	Ryan Marnett exited observer at their location.
[22:42:14]	Ryan Marnett entered observer.
[22:42:15]	Ryan Marnett exited observer at their location.
[22:42:18]	Ryan Marnett entered observer.
[22:42:19]	Ryan Marnett exited observer at their location.
[22:42:20]	Ryan Marnett entered observer.
[22:42:23]	Ryan Marnett exited observer at their location.
[22:42:24]	Ryan Marnett entered observer.
[22:42:25]	Ryan Marnett exited observer at their location.
[22:42:27]	Ryan Marnett entered observer.
[22:42:28]	Ryan Marnett exited observer at their location.
[22:42:30]	Ryan Marnett entered observer.
[22:42:30]	Ryan Marnett exited observer at their location.
[22:42:31]	Ryan Marnett entered observer.
[22:42:32]	Ryan Marnett exited observer at their location.
[22:42:35]	Ryan Marnett entered observer.
[22:42:35]	Ryan Marnett exited observer at their location.
[22:42:36]	Ryan Marnett entered observer.
[22:42:37]	Ryan Marnett used command '/ToggleRaise'.
[22:42:39]	Ryan Marnett used command '/ToggleRaise'.
[22:42:42]	Ryan Marnett used command '/ToggleRaise'.
[22:42:43]	Ryan Marnett used command '/ToggleRaise'.
[22:42:46]	Ryan Marnett exited observer at their location.
[22:42:46]	Ryan Marnett entered observer.
[22:42:47]	Ryan Marnett exited observer at their location.
[22:42:47]	Ryan Marnett entered observer.
[22:42:49]	Ryan Marnett exited observer at their location.
[22:42:49]	Ryan Marnett entered observer.
[22:42:51]	Ryan Marnett exited observer at their location.
[22:42:51]	Ryan Marnett entered observer.
[22:42:51]	Ryan Marnett exited observer at their location.
[22:42:51]	Ryan Marnett entered observer.
[22:42:52]	Ryan Marnett exited observer at their location.
[22:42:59]	Ryan Marnett entered observer.
[22:43:00]	Ryan Marnett exited observer at their location.
[22:43:20]	Ryan Marnett entered observer.
[22:43:21]	Ryan Marnett exited observer at their location.
[22:43:27]	Ryan Marnett entered observer.
[22:43:28]	Ryan Marnett exited observer at their location.
[22:43:29]	Ryan Marnett entered observer.
[22:43:29]	Ryan Marnett exited observer at their location.
[22:43:29]	Ryan Marnett entered observer.
[22:43:30]	Ryan Marnett exited observer at their location.
[22:43:30]	Ryan Marnett entered observer.
[22:43:30]	Ryan Marnett exited observer at their location.
[22:43:30]	Ryan Marnett entered observer.
[22:43:31]	Ryan Marnett exited observer at their location.
[22:43:31]	Ryan Marnett entered observer.
[22:43:32]	Ryan Marnett exited observer at their location.
[22:43:32]	Ryan Marnett entered observer.
[22:43:33]	Ryan Marnett exited observer at their location.
[22:43:33]	Ryan Marnett entered observer.
[22:43:34]	Ryan Marnett exited observer at their location.
[22:43:34]	Ryan Marnett entered observer.
[22:43:36]	Ryan Marnett exited observer at their location.
[22:43:37]	Ryan Marnett entered observer.
[22:43:38]	Ryan Marnett exited observer at their location.
[22:43:39]	Ryan Marnett entered observer.
[22:43:41]	Ryan Marnett exited observer at their location.
[22:43:43]	Ryan Marnett entered observer.
[22:43:44]	Ryan Marnett exited observer at their location.
[22:43:45]	Ryan Marnett entered observer.
[22:43:46]	Ryan Marnett exited observer at their location.
[22:43:51]	Ryan Marnett entered observer.
[22:43:53]	Ryan Marnett exited observer at their location.
[22:43:53]	Ryan Marnett entered observer.
[22:43:55]	Ryan Marnett exited observer at their location.
[22:43:55]	Ryan Marnett entered observer.
[22:44:19]	Ryan Marnett exited observer at their location.
[22:44:20]	Ryan Marnett entered observer.
[22:44:20]	Ryan Marnett exited observer at their location.
[22:44:21]	Ryan Marnett entered observer.
[22:44:21]	Ryan Marnett exited observer at their location.
[22:44:30]	Ryan Marnett entered observer.
[22:44:31]	Ryan Marnett exited observer at their location.
[22:44:32]	Ryan Marnett entered observer.
[22:44:36]	Ryan Marnett exited observer at their location.
[22:44:36]	Ryan Marnett entered observer.
[22:44:38]	Ryan Marnett exited observer at their location.
[22:44:38]	Ryan Marnett entered observer.
[22:44:39]	Ryan Marnett exited observer at their location.
[22:44:39]	Ryan Marnett entered observer.
[22:44:40]	Ryan Marnett exited observer at their location.
[22:44:40]	Ryan Marnett entered observer.
[22:44:50]	Ryan Marnett exited observer at their location.
[22:44:50]	Ryan Marnett used command '/ToggleRaise'.
[22:44:53]	Ryan Marnett entered observer.
[22:44:54]	Ryan Marnett exited observer at their location.
[22:44:54]	Ryan Marnett entered observer.
[22:44:55]	Ryan Marnett exited observer at their location.
[22:44:55]	Ryan Marnett entered observer.
[22:44:55]	Ryan Marnett exited observer at their location.
[22:44:56]	Ryan Marnett entered observer.
[22:44:56]	Ryan Marnett exited observer at their location.
[22:44:56]	Ryan Marnett entered observer.
[22:44:57]	Ryan Marnett exited observer at their location.
[22:44:57]	Ryan Marnett entered observer.
[22:44:58]	Ryan Marnett exited observer at their location.
[22:44:58]	Ryan Marnett entered observer.
[22:44:58]	Ryan Marnett exited observer at their location.
[22:44:59]	Ryan Marnett entered observer.
[22:44:59]	Ryan Marnett exited observer at their location.
[22:45:01]	Ryan Marnett has taken 56 damage from worldspawn.
[22:45:02]	Ryan Marnett entered observer.
[22:45:02]	Ryan Marnett exited observer at their location.
[22:45:02]	Ryan Marnett entered observer.
[22:45:02]	Ryan Marnett exited observer at their location.
[22:45:03]	Ryan Marnett entered observer.
[22:45:03]	Ryan Marnett exited observer at their location.
[22:45:04]	Ryan Marnett entered observer.
[22:45:05]	Ryan Marnett exited observer at their location.
[22:45:05]	Ryan Marnett entered observer.
[22:45:06]	Ryan Marnett exited observer at their location.
[22:45:07]	Ryan Marnett entered observer.
[22:45:07]	Ryan Marnett exited observer at their location.
[22:45:07]	Ryan Marnett entered observer.
[22:45:08]	Ryan Marnett exited observer at their location.
[22:45:08]	Ryan Marnett entered observer.
[22:45:09]	Ryan Marnett exited observer at their location.
[22:45:09]	Ryan Marnett entered observer.
[22:45:09]	Ryan Marnett exited observer at their location.
[22:45:12]	Ryan Marnett has taken 56 damage from worldspawn.
[22:45:12]	worldspawn has killed Ryan Marnett.
[22:45:16]	Ryan Marnett entered observer.
[22:45:26]	Ryan Marnett exited observer at their location.
[22:50:50]	Ryan Marnett entered observer.
[22:50:52]	Ryan Marnett exited observer at their location.
[22:53:31]	Ryan Marnett used command '/ToggleRaise'.
[22:53:33]	Ryan Marnett used command '/ToggleRaise'.
[22:53:34]	Ryan Marnett used command '/ToggleRaise'.
[22:53:36]	Ryan Marnett used command '/ToggleRaise'.
[22:53:39]	Ryan Marnett used command '/ToggleRaise'.
[22:53:40]	Ryan Marnett used command '/ToggleRaise'.
[22:53:41]	Ryan Marnett used command '/ToggleRaise'.
[22:53:46]	Ryan Marnett used command '/ToggleRaise'.
[22:53:47]	Ryan Marnett used command '/ToggleRaise'.
[22:53:48]	Ryan Marnett used command '/ToggleRaise'.
[22:53:49]	Ryan Marnett used command '/ToggleRaise'.
[22:53:50]	Ryan Marnett used command '/ToggleRaise'.
[22:53:51]	Ryan Marnett used command '/ToggleRaise'.
[22:53:53]	Ryan Marnett used command '/ToggleRaise'.
[22:57:08]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
