[11:17:30]	MilkyWay has connected.
[11:26:21]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:26:21]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:26:22]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:26:23]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:26:24]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:26:24]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:26:31]	Andrew Philip ran 'take' on item 'Scrap Metal' (#6716)
[11:26:48]	Andrew Philip ran 'take' on item 'Pack of Screws' (#6738)
[11:26:49]	Andrew Philip ran 'take' on item 'Scrap Metal' (#6716)
[11:26:52]	Andrew Philip ran 'drop' on item 'Wrench' (#6761)
[11:26:52]	Andrew Philip has lost a 'Wrench' #6761.
[11:26:54]	Andrew Philip ran 'take' on item 'Scrap Metal' (#6716)
[11:26:54]	Andrew Philip has gained a 'Scrap Metal' #6716.
[11:26:55]	Andrew Philip ran 'take' on item 'Pack of Screws' (#6738)
[11:26:55]	Andrew Philip has gained a 'Pack of Screws' #6738.
[11:27:32]	Andrew Philip ran 'Use' on item 'Padlock' (#6864)
[11:27:33]	Andrew Philip ran 'drop' on item 'Padlock' (#6864)
[11:27:33]	Andrew Philip has lost a 'Padlock' #6864.
[11:27:53]	Andrew Philip ran 'take' on item '.357 Rounds' (#6902)
[11:27:53]	Andrew Philip has gained a '.357 Rounds' #6902.
[11:28:10]	Andrew Philip has taken 10 damage from npc_zombie.
[11:28:20]	Andrew Philip has taken 10 damage from npc_zombie.
[11:28:22]	Andrew Philip has taken 10 damage from npc_zombie.
[11:28:24]	Andrew Philip has taken 10 damage from npc_zombie.
[11:28:27]	Andrew Philip ran 'take' on item 'Wires' (#6910)
[11:28:37]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:28:37]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:28:39]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:28:42]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[11:28:43]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[11:28:45]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[11:28:46]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[11:28:48]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[11:28:51]	Andrew Philip has gained 20 tokens.
[11:28:55]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:28:56]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:28:56]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:28:57]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:28:58]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:29:02]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:29:02]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:29:04]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:29:05]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:29:05]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:29:05]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:29:09]	Andrew Philip has gained 20 tokens.
[11:29:56]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[11:29:58]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[11:29:59]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[11:31:02]	Andrew Philip opened the '' #493 container.
[11:31:06]	Andrew Philip closed the '' #493 container.
[11:31:07]	Andrew Philip ran 'take' on item 'Blue Pre-War Shirt' (#6912)
[11:31:08]	Andrew Philip opened the '' #493 container.
[11:31:14]	Andrew Philip closed the '' #493 container.
[11:31:15]	Andrew Philip ran 'take' on item 'Blue Pre-War Shirt' (#6912)
[11:31:15]	Andrew Philip has gained a 'Blue Pre-War Shirt' #6912.
[11:31:16]	Andrew Philip opened the '' #493 container.
[11:31:28]	Andrew Philip closed the '' #493 container.
[11:31:37]	Andrew Philip opened the '' #491 container.
[11:31:40]	Andrew Philip ran 'drop' on item 'Locker Door' (#6866)
[11:31:41]	Andrew Philip closed the '' #491 container.
[11:31:43]	Andrew Philip opened the '' #491 container.
[11:31:45]	Andrew Philip ran 'drop' on item 'Locker Door' (#6865)
[11:31:46]	Andrew Philip closed the '' #491 container.
[11:32:10]	Andrew Philip opened the '' #491 container.
[11:32:33]	Andrew Philip has given 250 tokens to '' #491 (250 tokens left).
[11:32:54]	Andrew Philip has gained a 'Pack of Screws' #6738.
[11:33:00]	Andrew Philip ran 'EquipUn' on item 'Axe' (#6690)
[11:33:05]	Andrew Philip has gained a 'Battered Scrap' #6867.
[11:33:08]	Andrew Philip has gained a 'Sewn Cloth' #6884.
[11:33:11]	Andrew Philip has gained a 'Cloth Scrap' #6900.
[11:33:12]	Andrew Philip closed the '' #491 container.
[11:33:16]	Andrew Philip has lost a 'Cloth Scrap' #6900.
[11:33:16]	Andrew Philip has lost a 'Cloth Scrap' #6894.
[11:33:16]	Andrew Philip has gained a 'Sewn Cloth' #6913.
[11:33:23]	Andrew Philip opened the '' #491 container.
[11:33:31]	Andrew Philip closed the '' #491 container.
[11:33:33]	Andrew Philip opened the '' #493 container.
[11:33:52]	Andrew Philip has gained a 'Scrap Metal' #6716.
[11:33:53]	Andrew Philip closed the '' #493 container.
[11:33:54]	Andrew Philip opened the '' #491 container.
[11:34:00]	Andrew Philip has gained a 'Scrap Metal' #6759.
[11:34:00]	Andrew Philip has gained a 'Scrap Metal' #6859.
[11:34:01]	Andrew Philip closed the '' #491 container.
[11:34:15]	Andrew Philip opened the '' #491 container.
[11:34:23]	Andrew Philip closed the '' #491 container.
[11:34:24]	Andrew Philip opened the '' #493 container.
[11:34:46]	Andrew Philip closed the '' #493 container.
[11:34:47]	Andrew Philip opened the '' #491 container.
[11:34:50]	Andrew Philip has gained a 'Sewn Cloth' #6913.
[11:34:51]	Andrew Philip has gained a 'Sewn Cloth' #6884.
[11:34:52]	Andrew Philip closed the '' #491 container.
[11:34:54]	Andrew Philip opened the '' #493 container.
[11:34:58]	Andrew Philip closed the '' #493 container.
[11:35:08]	Andrew Philip ran 'equip' on item 'Citizen Filter' (#6567)
[11:35:15]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:35:16]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:35:17]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:35:18]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:38:20]	Andrew Philip ran 'take' on item 'Locker Door' (#6865)
[11:38:44]	Andrew Philip ran 'drop' on item 'Loyalist Grade Citizen Food Product' (#6769)
[11:38:44]	Andrew Philip has lost a 'Loyalist Grade Citizen Food Product' #6769.
[11:41:20]	Andrew Philip ran 'take' on item 'Loyalist Grade Citizen Food Product' (#6769)
[11:41:20]	Andrew Philip has gained a 'Loyalist Grade Citizen Food Product' #6769.
[11:42:38]	Andrew Philip ran 'drop' on item 'Suitcase' (#5348)
[11:42:38]	Andrew Philip has lost a 'Suitcase' #5348.
[11:42:38]	Andrew Philip has lost a 'Padlock' #6744.
[11:42:38]	Andrew Philip has lost a 'Padlock' #6721.
[11:42:38]	Andrew Philip has lost a 'Flashlight' #1618.
[11:42:38]	Andrew Philip has lost a 'Padlock' #6365.
[11:42:38]	Andrew Philip has lost a 'Padlock' #2027.
[11:42:38]	Andrew Philip has lost a 'Padlock' #6907.
[11:42:38]	Andrew Philip has lost a 'Padlock' #6717.
[11:42:39]	Andrew Philip ran 'drop' on item 'Suitcase' (#6109)
[11:42:39]	Andrew Philip has lost a 'Suitcase' #6109.
[11:42:39]	Andrew Philip has lost a 'Bandage' #6764.
[11:42:39]	Andrew Philip has lost a 'Bandage' #6549.
[11:42:39]	Andrew Philip has lost a 'Bandage' #6885.
[11:42:41]	Andrew Philip ran 'take' on item 'Locker Door' (#6865)
[11:42:41]	Andrew Philip has gained a 'Locker Door' #6865.
[11:42:42]	Andrew Philip ran 'take' on item 'Locker Door' (#6866)
[11:42:42]	Andrew Philip has gained a 'Locker Door' #6866.
[11:42:45]	Andrew Philip ran 'drop' on item 'Locker Door' (#6865)
[11:42:45]	Andrew Philip has lost a 'Locker Door' #6865.
[11:42:47]	Andrew Philip ran 'drop' on item 'Locker Door' (#6866)
[11:42:47]	Andrew Philip has lost a 'Locker Door' #6866.
[11:42:49]	Andrew Philip ran 'take' on item 'Locker Door' (#6866)
[11:42:49]	Andrew Philip has gained a 'Locker Door' #6866.
[11:42:50]	Andrew Philip ran 'take' on item 'Locker Door' (#6865)
[11:42:50]	Andrew Philip has gained a 'Locker Door' #6865.
[11:42:53]	Andrew Philip ran 'drop' on item 'Locker Door' (#6865)
[11:42:53]	Andrew Philip has lost a 'Locker Door' #6865.
[11:42:53]	Andrew Philip ran 'drop' on item 'Locker Door' (#6866)
[11:42:53]	Andrew Philip has lost a 'Locker Door' #6866.
[11:42:56]	Andrew Philip ran 'take' on item 'Suitcase' (#6109)
[11:42:56]	Andrew Philip has gained a 'Suitcase' #6109.
[11:42:56]	Andrew Philip has gained a 'Bandage' #6764.
[11:42:56]	Andrew Philip has gained a 'Bandage' #6549.
[11:42:56]	Andrew Philip has gained a 'Bandage' #6885.
[11:42:58]	Andrew Philip ran 'take' on item 'Suitcase' (#5348)
[11:42:58]	Andrew Philip has gained a 'Suitcase' #5348.
[11:42:58]	Andrew Philip has gained a 'Padlock' #6744.
[11:42:58]	Andrew Philip has gained a 'Padlock' #6721.
[11:42:58]	Andrew Philip has gained a 'Flashlight' #1618.
[11:42:58]	Andrew Philip has gained a 'Padlock' #6365.
[11:42:58]	Andrew Philip has gained a 'Padlock' #2027.
[11:42:58]	Andrew Philip has gained a 'Padlock' #6907.
[11:42:58]	Andrew Philip has gained a 'Padlock' #6717.
[11:44:03]	Andrew Philip ran 'Consume' on item 'Loyalist Grade Citizen Food Product' (#6769)
[11:44:07]	Andrew Philip ran 'View' on item 'Paper' (#5257)
[11:44:13]	Andrew Philip ran 'View' on item 'Paper' (#5257)
[11:44:25]	Andrew Philip has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[11:44:56]	Andrew Philip has spawned 'models/props_c17/FurnitureDresser001a.mdl'.
[11:45:31]	MilkyWay loaded the character 'CCA.C17-UNION.i5.09143'
[11:46:19]	CCA.C17-UNION.i5.09143 ran 'take' on item 'MP7' (#1699)
[11:46:23]	CCA.C17-UNION.i5.09143 ran 'take' on item 'MP7' (#1699)
[11:46:23]	CCA.C17-UNION.i5.09143 has gained a 'MP7' #1699.
[11:46:24]	CCA.C17-UNION.i5.09143 ran 'Equip' on item 'MP7' (#1699)
[11:46:34]	CCA.C17-UNION.i5.09143 ran 'EquipUn' on item 'MP7' (#1699)
[11:46:35]	CCA.C17-UNION.i5.09143 ran 'drop' on item 'MP7' (#1699)
[11:46:35]	CCA.C17-UNION.i5.09143 has lost a 'MP7' #1699.
[11:46:44]	CCA.C17-UNION.i5.09143 ran 'take' on item 'KIBA Arms Ammocase' (#6328)
[11:46:44]	CCA.C17-UNION.i5.09143 has gained a 'KIBA Arms Ammocase' #6328.
[11:46:44]	CCA.C17-UNION.i5.09143 has gained a 'Conscript Filter' #6343.
[11:46:44]	CCA.C17-UNION.i5.09143 has gained a 'Conscript Filter' #6338.
[11:46:44]	CCA.C17-UNION.i5.09143 has gained a 'Conscript Filter' #6340.
[11:46:44]	CCA.C17-UNION.i5.09143 has gained a 'Conscript Filter' #6344.
[11:46:44]	CCA.C17-UNION.i5.09143 has gained a 'Conscript Filter' #6337.
[11:46:44]	CCA.C17-UNION.i5.09143 has gained a 'Conscript Filter' #6341.
[11:46:44]	CCA.C17-UNION.i5.09143 has gained a 'Conscript Filter' #6342.
[11:46:50]	CCA.C17-UNION.i5.09143 ran 'drop' on item 'KIBA Arms Ammocase' (#6328)
[11:46:50]	CCA.C17-UNION.i5.09143 has lost a 'KIBA Arms Ammocase' #6328.
[11:46:50]	CCA.C17-UNION.i5.09143 has lost a 'Conscript Filter' #6343.
[11:46:50]	CCA.C17-UNION.i5.09143 has lost a 'Conscript Filter' #6338.
[11:46:50]	CCA.C17-UNION.i5.09143 has lost a 'Conscript Filter' #6340.
[11:46:50]	CCA.C17-UNION.i5.09143 has lost a 'Conscript Filter' #6344.
[11:46:50]	CCA.C17-UNION.i5.09143 has lost a 'Conscript Filter' #6337.
[11:46:50]	CCA.C17-UNION.i5.09143 has lost a 'Conscript Filter' #6341.
[11:46:50]	CCA.C17-UNION.i5.09143 has lost a 'Conscript Filter' #6342.
[11:47:16]	CCA.C17-UNION.i5.09143 ran 'take' on item 'KIBA Arms Ammocase' (#1710)
[11:47:16]	CCA.C17-UNION.i5.09143 has gained a 'KIBA Arms Ammocase' #1710.
[11:47:19]	CCA.C17-UNION.i5.09143 ran 'drop' on item 'KIBA Arms Ammocase' (#1710)
[11:47:19]	CCA.C17-UNION.i5.09143 has lost a 'KIBA Arms Ammocase' #1710.
[11:48:51]	MilkyWay loaded the character 'Hyo Jeong'
[11:49:15]	Hyo Jeong ran 'take' on item 'Bullet Casings' (#5470)
[11:49:15]	Hyo Jeong has gained a 'Bullet Casings' #5470.
[11:49:54]	Hyo Jeong used the 'Resin Deposit' vendor.
[11:53:32]	Hyo Jeong ran 'equip' on item 'Citizen Filter' (#6373)
[12:02:51]	Hyo Jeong has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[12:02:53]	Hyo Jeong has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[12:09:29]	Frazzy has connected.
[12:09:38]	MilkyWay loaded the character 'Andrew Philip'
[12:09:50]	Andrew Philip opened the '' #491 container.
[12:09:56]	Andrew Philip closed the '' #491 container.
[12:10:00]	Andrew Philip opened the '' #491 container.
[12:10:02]	Andrew Philip has gained a 'Axe' #6690.
[12:10:03]	Andrew Philip closed the '' #491 container.
[12:10:11]	Andrew Philip has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[12:10:14]	Andrew Philip has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[12:10:19]	Andrew Philip has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[12:10:26]	Andrew Philip ran 'Use' on item 'Padlock' (#6907)
[12:10:31]	Andrew Philip ran 'Use' on item 'Padlock' (#6744)
[12:10:36]	Andrew Philip ran 'Use' on item 'Padlock' (#6717)
[12:10:43]	Andrew Philip ran 'take' on item 'Pack of Screws' (#6911)
[12:10:43]	Andrew Philip has gained a 'Pack of Screws' #6911.
[12:10:55]	Andrew Philip ran 'take' on item 'AA Battery' (#6760)
[12:10:55]	Andrew Philip has gained a 'AA Battery' #6760.
[12:11:02]	Andrew Philip has spawned 'models/props_junk/metal_paintcan001a.mdl'.
[12:11:25]	Andrew Philip has spawned 'models/props_junk/metal_paintcan001a.mdl'.
[12:11:50]	Andrew Philip has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[12:11:58]	Andrew Philip has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[12:12:21]	Andrew Philip has spawned 'models/props_wasteland/kitchen_shelf001a.mdl'.
[12:12:25]	Andrew Philip has spawned 'models/props_wasteland/kitchen_shelf001a.mdl'.
[12:12:29]	Andrew Philip has spawned 'models/props_wasteland/kitchen_shelf001a.mdl'.
[12:12:37]	Andrew Philip has spawned 'models/props_wasteland/interior_fence002d.mdl'.
[12:12:42]	Andrew Philip has spawned 'models/props_wasteland/interior_fence002e.mdl'.
[12:12:57]	Andrew Philip has spawned 'models/props_c17/fence01a.mdl'.
[12:13:07]	Andrew Philip has spawned 'models/props_c17/fence01b.mdl'.
[12:13:57]	Andrew Philip ran 'EquipUn' on item 'Green Loyalist Armband' (#5279)
[12:14:28]	Andrew Philip ran 'Equip' on item 'Axe' (#6690)
[12:15:45]	Frazzy loaded the character 'Teressa 'Tess' Richards'
[12:17:01]	[OOC] Andrew Philip: omg
[12:17:04]	[OOC] Andrew Philip: you are alive?
[12:17:07]	[OOC] Teressa 'Tess' Richards: no
[12:17:12]	[OOC] Andrew Philip: 2 more people are coming on
[12:17:47]	[OOC] Andrew Philip: a lot of things has changed...
[12:17:52]	Andrew Philip ran 'take' on item 'Empty Paint Can' (#6893)
[12:17:52]	Andrew Philip has gained a 'Empty Paint Can' #6893.
[12:17:54]	Andrew Philip ran 'take' on item 'A Bar of Soap' (#6905)
[12:17:54]	Andrew Philip has gained a 'A Bar of Soap' #6905.
[12:17:55]	Andrew Philip ran 'take' on item 'Empty Paint Can' (#6758)
[12:17:55]	Andrew Philip has gained a 'Empty Paint Can' #6758.
[12:18:00]	[OOC] Andrew Philip: but you are not late
[12:18:08]	Andrew Philip ran 'drop' on item 'Empty Paint Can' (#6758)
[12:18:08]	Andrew Philip has lost a 'Empty Paint Can' #6758.
[12:18:14]	Andrew Philip ran 'drop' on item 'Empty Paint Can' (#6893)
[12:18:14]	Andrew Philip has lost a 'Empty Paint Can' #6893.
[12:18:21]	Andrew Philip has spawned 'models/props_c17/FurnitureSink001a.mdl'.
[12:18:36]	Andrew Philip ran 'drop' on item 'A Bar of Soap' (#6905)
[12:18:36]	Andrew Philip has lost a 'A Bar of Soap' #6905.
[12:18:44]	Andrew Philip ran 'drop' on item 'Pack of Screws' (#6911)
[12:18:44]	Andrew Philip has lost a 'Pack of Screws' #6911.
[12:18:50]	Andrew Philip ran 'drop' on item 'AA Battery' (#6760)
[12:18:50]	Andrew Philip has lost a 'AA Battery' #6760.
[12:19:31]	Andrew Philip opened the '' #493 container.
[12:19:33]	Andrew Philip closed the '' #493 container.
[12:20:12]	Andrew Philip has taken 3 damage from npc_fastzombie.
[12:20:12]	Andrew Philip has taken 3 damage from npc_fastzombie.
[12:20:15]	Andrew Philip has taken 3 damage from npc_fastzombie.
[12:20:15]	Andrew Philip has taken 3 damage from npc_fastzombie.
[12:20:15]	Andrew Philip has taken 3 damage from npc_fastzombie.
[12:20:19]	Andrew Philip has gained 10 tokens.
[12:20:25]	Andrew Philip ran 'take' on item 'Pack of Nails' (#6897)
[12:20:25]	Andrew Philip has gained a 'Pack of Nails' #6897.
[12:20:27]	Andrew Philip ran 'take' on item 'AA Battery' (#6740)
[12:20:27]	Andrew Philip has gained a 'AA Battery' #6740.
[12:20:40]	Andrew Philip has taken 10 damage from npc_zombine.
[12:20:52]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[12:20:53]	Andrew Philip has taken 5 damage from npc_headcrab.
[12:20:54]	Andrew Philip has taken 5 damage from npc_headcrab.
[12:21:17]	Andrew Philip ran 'take' on item 'Pliers' (#6857)
[12:21:17]	Andrew Philip has gained a 'Pliers' #6857.
[12:21:46]	Andrew Philip ran 'take' on item 'Pack of Screws' (#6858)
[12:21:46]	Andrew Philip has gained a 'Pack of Screws' #6858.
[12:21:47]	Doughnut has connected.
[12:21:50]	Andrew Philip ran 'take' on item 'Fingerless Gloves' (#6789)
[12:21:50]	Andrew Philip has gained a 'Fingerless Gloves' #6789.
[12:21:59]	Andrew Philip ran 'take' on item 'Scrap Metal' (#6914)
[12:21:59]	Andrew Philip has gained a 'Scrap Metal' #6914.
[12:22:03]	Andrew Philip has taken 10 damage from npc_zombine.
[12:22:04]	Andrew Philip has taken 10 damage from npc_zombine.
[12:22:04]	Andrew Philip has taken 10 damage from npc_zombine.
[12:22:05]	Andrew Philip has taken 10 damage from npc_zombine.
[12:22:08]	Andrew Philip has taken 10 damage from npc_zombine.
[12:22:08]	Andrew Philip has taken 10 damage from npc_zombine.
[12:22:08]	npc_zombine has killed Andrew Philip.
[12:22:31]	Doughnut loaded the character 'CCA.C17-JUDGE.i2.69124'
[12:22:33]	CCA.C17-JUDGE.i2.69124 entered observer.
[12:22:35]	[OOC] CCA.C17-JUDGE.i2.69124: yuck
[12:22:56]	[OOC] Andrew Philip: I lied to him so he can join :D
[12:23:01]	[OOC] CCA.C17-JUDGE.i2.69124: mean
[12:24:02]	Andrew Philip ran 'Equip' on item 'Axe' (#6690)
[12:24:16]	Andrew Philip destroyed a 'A Bar of Soap' #6909.
[12:24:18]	Andrew Philip destroyed a 'Empty Paint Can' #6863.
[12:24:24]	Andrew Philip ran 'take' on item 'Wires' (#6910)
[12:24:24]	Andrew Philip has gained a 'Wires' #6910.
[12:24:26]	Andrew Philip destroyed a 'Empty Paint Can' #6835.
[12:24:33]	[OOC] CCA.C17-JUDGE.i2.69124: y'all wanna play competitive checkers?
[12:24:47]	Andrew Philip destroyed a 'A Bar of Soap' #6861.
[12:24:49]	[OOC] Teressa 'Tess' Richards: ye
[12:24:49]	Andrew Philip ran 'take' on item 'Blue Pre-War Shirt' (#6790)
[12:24:49]	Andrew Philip has gained a 'Blue Pre-War Shirt' #6790.
[12:24:52]	[OOC] CCA.C17-JUDGE.i2.69124: beyt
[12:24:59]	[OOC] Teressa 'Tess' Richards: idr where the fuck I am tho
[12:25:04]	Andrew Philip ran 'take' on item 'Fingerless Gloves' (#6791)
[12:25:04]	Andrew Philip has gained a 'Fingerless Gloves' #6791.
[12:25:07]	CCA.C17-JUDGE.i2.69124 exited observer at their location.
[12:25:12]	[LOOC] Teressa 'Tess' Richards: o whats poppin
[12:25:13]	CCA.C17-JUDGE.i2.69124 has spawned a 'Entity [438][ent_draughts_board]'.
[12:25:17]	Andrew Philip ran 'take' on item 'Pack of Nails' (#6610)
[12:25:17]	Andrew Philip has gained a 'Pack of Nails' #6610.
[12:26:18]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[12:26:18]	Andrew Philip has taken 3 damage from npc_fastzombie.
[12:26:19]	Andrew Philip has taken 3 damage from npc_fastzombie.
[12:26:21]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[12:26:25]	Andrew Philip ran 'take' on item 'AA Battery' (#6763)
[12:26:25]	Andrew Philip has gained a 'AA Battery' #6763.
[12:26:29]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[12:26:31]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[12:26:33]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[12:26:34]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[12:26:40]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[12:26:42]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[12:26:43]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[12:26:43]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[12:26:48]	Andrew Philip has taken 3 damage from npc_fastzombie.
[12:26:48]	Andrew Philip has taken 3 damage from npc_fastzombie.
[12:26:48]	Andrew Philip has taken 3 damage from npc_fastzombie.
[12:26:49]	Andrew Philip has taken 3 damage from npc_fastzombie.
[12:26:51]	Andrew Philip has gained 10 tokens.
[12:26:59]	Andrew Philip has taken 10 damage from npc_zombie.
[12:27:03]	Andrew Philip ran 'take' on item 'Powercord' (#6915)
