[00:01:18]	[OOC] CCA.C17-GRID.i3.08313: I 
[00:10:40]	[OOC] Anastasia Ivanovich: I'm probably going to get a stroke from server hopping
[00:11:01]	[LOOC] CCA.C17-GRID.i3.08313: i
[00:11:05]	[LOOC] CCA.C17-GRID.i3.08313: meant to chagne hcaracters
[00:11:10]	[LOOC] Anastasia Ivanovich: nice
[00:11:18]	matt saton loaded the character 'Anna Gottlieb'
[00:11:21]	Anna Gottlieb entered observer.
[00:11:22]	Anna Gottlieb exited observer at their location.
[00:12:01]	Anastasia Ivanovich used command '/Apply'.
[00:14:42]	[ME] Anna Gottlieb: would take out her PDA and type a few things in.
[00:14:44]	Anna Gottlieb used command '/ViewData ana'.
[00:14:48]	[LOOC] Anna Gottlieb: i need to uhhh
[00:14:50]	matt saton loaded the character 'CCA.C17-GRID.EpU.06912'
[00:14:56]	CCA.C17-GRID.EpU.06912 used command '/ViewData ana'.
[00:15:12]	matt saton loaded the character 'Anna Gottlieb'
[00:15:21]	[LOOC] Anna Gottlieb: so
[00:15:24]	[LOOC] Anna Gottlieb: somebody put in the data wrong
[00:15:27]	[LOOC] Anna Gottlieb: for your one violation
[00:15:32]	[LOOC] Anna Gottlieb: they put -2 for the amount lost
[00:15:34]	[LOOC] Anna Gottlieb: but
[00:15:37]	[ME] Anastasia Ivanovich: goes to offer her hand to shake the woman's hand.
[00:15:39]	[LOOC] Anna Gottlieb: it already is a negative value in the code
[00:15:43]	[LOOC] Anna Gottlieb: so it just added to
[00:15:43]	[LOOC] Anastasia Ivanovich: NICE
[00:15:46]	[LOOC] Anna Gottlieb: added 2
[00:15:49]	[LOOC] Anna Gottlieb: yeah
[00:15:52]	[LOOC] Anna Gottlieb: sorry about that
[00:15:57]	[LOOC] Anna Gottlieb: at least it's an easy fix
[00:15:58]	[LOOC] Anna Gottlieb: anyways
[00:15:59]	[LOOC] Anastasia Ivanovich: all good
[00:16:24]	[ME] Anna Gottlieb: would accept and shake the woman's hand.
[00:16:26]	[LOOC] Anna Gottlieb: pls recognize btw
[00:16:28]	[ME] Anastasia Ivanovich: gives a strong and firm handshake.
[00:16:29]	[LOOC] Anna Gottlieb: you applied
[00:16:36]	[LOOC] Anna Gottlieb: firm grip
[00:16:38]	[LOOC] Anna Gottlieb: eye contact
[00:16:49]	[LOOC] Anna Gottlieb: and a hard 360 degree twist
[00:17:07]	[ME] Anastasia Ivanovich: gives the most Boomer-ish handshake. She is very polite.
[00:17:36]	[ME] Anastasia Ivanovich: nodded saying "I'll wait here then."
[00:17:48]	[ME] Anastasia Ivanovich: puts her arms together and waits patiently.
[00:18:03]	matt saton loaded the character 'CCA.C17-GRID.i3.08313'
[00:18:11]	LynxQueen has connected.
[00:18:12]	CCA.C17-GRID.i3.08313 entered observer.
[00:18:14]	CCA.C17-GRID.i3.08313 exited observer at their location.
[00:18:17]	[OOC] CCA.C17-GRID.i3.08313: she back
[00:18:33]	CCA.C17-GRID.i3.08313 used command '/ViewData ana'.
[00:18:33]	[ME] Anastasia Ivanovich: handed it over.
[00:18:37]	Anastasia Ivanovich ran 'drop' on item 'Citizen ID' (#20615)
[00:18:37]	Anastasia Ivanovich has lost a 'Citizen ID' #20615.
[00:18:42]	CCA.C17-GRID.i3.08313 ran 'take' on item 'Citizen ID' (#20615)
[00:18:42]	CCA.C17-GRID.i3.08313 has gained a 'Citizen ID' #20615.
[00:18:55]	CCA.C17-GRID.i3.08313 used command '/Radio Quartermaster.'.
[00:19:06]	CCA.C17-GRID.i3.08313 used command '/Radio I'm processing a CWU member.'.
[00:19:13]	CCA.C17-GRID.i3.08313 used command '/Radio I need the standard rollout, can you do that for me?'.
[00:19:20]	CCA.C17-GRID.i3.08313 used command '/Radio Commerce.'.
[00:19:26]	LynxQueen loaded the character 'CAC.C17-VORTIPODE.49620'
[00:19:29]	CCA.C17-GRID.i3.08313 used command '/Radio Copy that, thanks. 10-76 in 5.'.
[00:19:29]	[OOC] CAC.C17-VORTIPODE.49620: a
[00:19:33]	[OOC] CCA.C17-GRID.i3.08313: welocem back
[00:19:35]	CCA.C17-GRID.i3.08313 ran 'take' on item 'Civil Workers' Union ID' (#27763)
[00:19:35]	CCA.C17-GRID.i3.08313 has gained a 'Civil Workers' Union ID' #27763.
[00:19:49]	[OOC] CAC.C17-VORTIPODE.49620: My warhammer game crashed and I didn't feel like playing Skyrim just yet.
[00:19:57]	CCA.C17-GRID.i3.08313 entered observer.
[00:19:57]	[OOC] CAC.C17-VORTIPODE.49620: and hl2rp sounded nice
[00:19:58]	CCA.C17-GRID.i3.08313 exited observer at their location.
[00:20:07]	CAC.C17-VORTIPODE.49620 has gained a 'Broken Clock' #27764.
[00:20:10]	[ME] CCA.C17-GRID.i3.08313: would place both cards in the window.
[00:20:12]	CAC.C17-VORTIPODE.49620 has gained a 'Bolts' #27765.
[00:20:13]	CCA.C17-GRID.i3.08313 ran 'drop' on item 'Civil Workers' Union ID' (#27763)
[00:20:13]	CCA.C17-GRID.i3.08313 has lost a 'Civil Workers' Union ID' #27763.
[00:20:14]	CCA.C17-GRID.i3.08313 ran 'drop' on item 'Citizen ID' (#20615)
[00:20:14]	CCA.C17-GRID.i3.08313 has lost a 'Citizen ID' #20615.
[00:20:15]	[ME] Anastasia Ivanovich: takes them both.
[00:20:17]	Anastasia Ivanovich ran 'take' on item 'Citizen ID' (#20615)
[00:20:17]	Anastasia Ivanovich has gained a 'Citizen ID' #20615.
[00:20:18]	Anastasia Ivanovich ran 'take' on item 'Civil Workers' Union ID' (#27763)
[00:20:18]	Anastasia Ivanovich has gained a 'Civil Workers' Union ID' #27763.
[00:20:23]	CAC.C17-VORTIPODE.49620 has gained a 'AA Battery' #27766.
[00:20:33]	[OOC] CAC.C17-VORTIPODE.49620: I need to find someone I can sell mechanical scrap to
[00:20:45]	[ME] Anastasia Ivanovich: nodded.
[00:20:53]	CAC.C17-VORTIPODE.49620 has gained a 'Power Supply Unit' #27767.
[00:21:23]	CAC.C17-VORTIPODE.49620 has gained a 'Cinderblock' #27768.
[00:21:25]	CAC.C17-VORTIPODE.49620 ran 'take' on item 'Empty Tin Can' (#27676)
[00:21:25]	CAC.C17-VORTIPODE.49620 has gained a 'Empty Tin Can' #27676.
[00:21:29]	CAC.C17-VORTIPODE.49620 has gained a 'Pan' #27769.
[00:21:33]	Anastasia Ivanovich ran 'Consume' on item 'Standard Grade Supplements (Bread Flavor)' (#27492)
[00:21:34]	Anastasia Ivanovich ran 'Consume' on item 'Standard Grade Food Product (Bread Flavor)' (#27491)
[00:21:40]	CCA.C17-GRID.i3.08313 entered observer.
[00:21:40]	CAC.C17-VORTIPODE.49620 opened the '' #239 container.
[00:21:44]	CAC.C17-VORTIPODE.49620 closed the '' #239 container.
[00:21:59]	CAC.C17-VORTIPODE.49620 has gained a 'Broken Keyboard' #27770.
[00:22:00]	CAC.C17-VORTIPODE.49620 opened the '' #253 container.
[00:22:04]	CAC.C17-VORTIPODE.49620 ran 'Edit' on item 'Notepad' (#27587)
[00:22:07]	CAC.C17-VORTIPODE.49620 closed the '' #253 container.
[00:22:21]	CAC.C17-VORTIPODE.49620 has gained a 'Empty Glass Bottle' #27771.
[00:22:30]	[OOC] CAC.C17-VORTIPODE.49620: I haven't seen that one ICT guy on in forever
[00:22:36]	[OOC] Anastasia Ivanovich: he was just on
[00:22:37]	[OOC] CCA.C17-GRID.i3.08313: he's on a lot
[00:22:38]	[OOC] CCA.C17-GRID.i3.08313: yeah
[00:22:39]	[OOC] CAC.C17-VORTIPODE.49620: Oh
[00:22:45]	[OOC] Anastasia Ivanovich: like 30 mins ago
[00:22:46]	[OOC] CCA.C17-GRID.i3.08313: i'm promoting him right now
[00:22:46]	CAC.C17-VORTIPODE.49620 ran 'take' on item 'Empty Flavored Consulate Water Can' (#27748)
[00:22:46]	CAC.C17-VORTIPODE.49620 has gained a 'Empty Flavored Consulate Water Can' #27748.
[00:22:47]	CAC.C17-VORTIPODE.49620 ran 'take' on item 'Silicone Tube' (#27747)
[00:22:47]	CAC.C17-VORTIPODE.49620 has gained a 'Silicone Tube' #27747.
[00:22:49]	CAC.C17-VORTIPODE.49620 ran 'take' on item 'Empty Consulate Water Can' (#27665)
[00:22:49]	CAC.C17-VORTIPODE.49620 has gained a 'Empty Consulate Water Can' #27665.
[00:22:52]	[OOC] Anastasia Ivanovich: simply owned
[00:23:03]	[OOC] CAC.C17-VORTIPODE.49620: Promoting?
[00:23:03]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[00:23:05]	CAC.C17-VORTIPODE.49620 ran 'take' on item 'Locker Door' (#27772)
[00:23:05]	CAC.C17-VORTIPODE.49620 has gained a 'Locker Door' #27772.
[00:23:22]	CAC.C17-VORTIPODE.49620 has gained a 'Scrap Metal' #27773.
[00:23:26]	CAC.C17-VORTIPODE.49620 has gained a 'Scrap Metal' #27774.
[00:23:30]	CAC.C17-VORTIPODE.49620 has gained a 'Scrap Metal' #27775.
[00:23:30]	CAC.C17-VORTIPODE.49620 has gained a 'Scrap Metal' #27776.
[00:23:37]	[OOC] CCA.C17-GRID.i3.08313: yeah
[00:23:39]	[OOC] CCA.C17-GRID.i3.08313: to manager
[00:23:44]	[OOC] CAC.C17-VORTIPODE.49620: Oh cool
[00:23:55]	[OOC] CAC.C17-VORTIPODE.49620: Overwatch still needs to, yknow
[00:24:03]	[OOC] CAC.C17-VORTIPODE.49620: Speaking of Overwatch
[00:24:07]	[OOC] CAC.C17-VORTIPODE.49620: Can I get my flag for that
[00:24:20]	[OOC] CCA.C17-GRID.i3.08313: flag?
[00:24:24]	[OOC] CAC.C17-VORTIPODE.49620: I lost it during the re-release.
[00:24:30]	[OOC] CAC.C17-VORTIPODE.49620: Yeah my ability to make OTA characters.
[00:24:42]	CAC.C17-VORTIPODE.49620 has gained a 'AA Battery' #27777.
[00:24:42]	[OOC] CCA.C17-GRID.i3.08313: oh
[00:24:44]	CAC.C17-VORTIPODE.49620 ran 'take' on item 'Scrap Metal' (#27625)
[00:24:44]	CAC.C17-VORTIPODE.49620 has gained a 'Scrap Metal' #27625.
[00:24:45]	[OOC] CCA.C17-GRID.i3.08313: the whitelsit you mena
[00:24:49]	[OOC] CAC.C17-VORTIPODE.49620: Yeah that
[00:24:49]	CAC.C17-VORTIPODE.49620 opened the '' #252 container.
[00:24:51]	CAC.C17-VORTIPODE.49620 closed the '' #252 container.
[00:24:52]	CAC.C17-VORTIPODE.49620 opened the '' #2548 container.
[00:24:52]	CCA.C17-GRID.i3.08313 used command '/PlyWhitelist vortipode transhuman arm'.
[00:24:54]	CAC.C17-VORTIPODE.49620 closed the '' #2548 container.
[00:24:56]	[OOC] CAC.C17-VORTIPODE.49620: thank u
[00:25:07]	CCA.C17-GRID.i3.08313 exited observer at their location.
[00:25:09]	CCA.C17-GRID.i3.08313 entered observer.
[00:25:09]	CCA.C17-GRID.i3.08313 exited observer at their location.
[00:25:17]	CCA.C17-GRID.i3.08313 has gained a 'Combine Worker Suit' #27778.
[00:25:17]	CCA.C17-GRID.i3.08313 used command '/CharGiveItem grid combine worker suit'.
[00:25:22]	CCA.C17-GRID.i3.08313 ran 'drop' on item 'Combine Worker Suit' (#27778)
[00:25:22]	CCA.C17-GRID.i3.08313 has lost a 'Combine Worker Suit' #27778.
[00:25:26]	CCA.C17-GRID.i3.08313 has gained a 'CWU Commerce Shirt' #27779.
[00:25:26]	CCA.C17-GRID.i3.08313 used command '/CharGiveItem grid commerce shirt'.
[00:25:27]	Anastasia Ivanovich ran 'take' on item 'Combine Worker Suit' (#27778)
[00:25:27]	Anastasia Ivanovich has gained a 'Combine Worker Suit' #27778.
[00:25:31]	CCA.C17-GRID.i3.08313 has gained a 'Gray Jeans' #27780.
[00:25:31]	CCA.C17-GRID.i3.08313 used command '/CharGiveItem grid gray jeans'.
[00:25:33]	CCA.C17-GRID.i3.08313 ran 'drop' on item 'CWU Commerce Shirt' (#27779)
[00:25:33]	CCA.C17-GRID.i3.08313 has lost a 'CWU Commerce Shirt' #27779.
[00:25:33]	CCA.C17-GRID.i3.08313 ran 'drop' on item 'Gray Jeans' (#27780)
[00:25:33]	CCA.C17-GRID.i3.08313 has lost a 'Gray Jeans' #27780.
[00:25:34]	Anastasia Ivanovich ran 'take' on item 'Gray Jeans' (#27780)
[00:25:34]	Anastasia Ivanovich has gained a 'Gray Jeans' #27780.
[00:25:36]	Anastasia Ivanovich ran 'take' on item 'CWU Commerce Shirt' (#27779)
[00:25:36]	Anastasia Ivanovich has gained a 'CWU Commerce Shirt' #27779.
[00:25:44]	[ME] CCA.C17-GRID.i3.08313: would slide several items through the window for the woman to take.
[00:25:45]	[ME] Anastasia Ivanovich: takes her gear.
[00:26:12]	[ME] Anastasia Ivanovich: handed over some scrap.
[00:26:14]	Anastasia Ivanovich ran 'drop' on item 'AA Battery' (#26817)
[00:26:14]	Anastasia Ivanovich has lost a 'AA Battery' #26817.
[00:26:18]	Anastasia Ivanovich ran 'drop' on item 'AA Battery' (#20875)
[00:26:18]	Anastasia Ivanovich has lost a 'AA Battery' #20875.
[00:26:18]	CCA.C17-GRID.i3.08313 ran 'take' on item 'AA Battery' (#26817)
[00:26:18]	CCA.C17-GRID.i3.08313 has gained a 'AA Battery' #26817.
[00:26:20]	CCA.C17-GRID.i3.08313 ran 'take' on item 'AA Battery' (#20875)
[00:26:20]	CCA.C17-GRID.i3.08313 has gained a 'AA Battery' #20875.
[00:26:21]	Anastasia Ivanovich ran 'drop' on item 'Empty Bleach Bottle' (#26882)
[00:26:21]	Anastasia Ivanovich has lost a 'Empty Bleach Bottle' #26882.
[00:26:24]	CCA.C17-GRID.i3.08313 ran 'take' on item 'Empty Bleach Bottle' (#26882)
[00:26:24]	CCA.C17-GRID.i3.08313 has gained a 'Empty Bleach Bottle' #26882.
[00:26:55]	[LOOC] CCA.C17-GRID.i3.08313: there's workibng dumpster container entities around
[00:27:03]	[LOOC] CCA.C17-GRID.i3.08313: some are lootable some are actual ocntaiener entities
[00:27:32]	[ME] Anastasia Ivanovich: nodded.
[00:27:35]	[LOOC] CCA.C17-GRID.i3.08313: i didn't mean for that to sound so meta
[00:27:39]	[LOOC] CCA.C17-GRID.i3.08313: not meta in the sense ofmetagmae
[00:27:43]	[LOOC] CCA.C17-GRID.i3.08313: but meta in the sense of like
[00:27:50]	[LOOC] Anastasia Ivanovich: its all good.
[00:27:52]	[LOOC] CCA.C17-GRID.i3.08313: self-referencing
[00:28:03]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[00:28:07]	[LOOC] CCA.C17-GRID.i3.08313: like how hotline miami 2 is mostly a commentary on different types of hotline miami 1 fans
[00:28:11]	[LOOC] CCA.C17-GRID.i3.08313: that kind of meta
[00:28:20]	[LOOC] CCA.C17-GRID.i3.08313: i didn't mean for that sentence to be as that kind of meta as it was
[00:28:32]	LynxQueen created the character 'OTA.C14-ECHO.OWC.34319'
[00:28:32]	OTA.C14-ECHO.OWC.34319 has gained a 'USP Match' #27781.
[00:28:32]	OTA.C14-ECHO.OWC.34319 has gained a '9mm Pistol Magazine' #27782.
[00:28:32]	OTA.C14-ECHO.OWC.34319 has gained a '9mm Pistol Magazine' #27783.
[00:28:32]	OTA.C14-ECHO.OWC.34319 has gained a 'AR2 (Pulse-Rifle)' #27784.
[00:28:32]	OTA.C14-ECHO.OWC.34319 has gained a 'Pulse Ammunition' #27785.
[00:28:32]	OTA.C14-ECHO.OWC.34319 has gained a 'Pulse Ammunition' #27786.
[00:28:36]	LynxQueen loaded the character 'OTA.C14-ECHO.OWC.34319'
[00:28:40]	[OOC] OTA.C14-ECHO.OWC.34319: Yee fuckin haw
[00:28:53]	[OOC] CCA.C17-GRID.i3.08313: i'll set you up whne i'm done
[00:29:02]	OTA.C14-ECHO.OWC.34319 ran 'Equip' on item 'USP Match' (#27781)
[00:29:03]	OTA.C14-ECHO.OWC.34319 ran 'Equip' on item 'AR2 (Pulse-Rifle)' (#27784)
[00:29:15]	OTA.C14-ECHO.OWC.34319 used command '/CharDesc'.
[00:29:35]	OTA.C14-ECHO.OWC.34319 used command '/CharDesc Average Overwatch Soldier. Featureless. Imposing. Armored. An AR-2 is slung over their shoulder, and a pistol holstered to their hip.'.
[00:29:51]	[OOC] OTA.C14-ECHO.OWC.34319: I like how big the nexus looks.
[00:29:54]	[OOC] CCA.C17-GRID.i3.08313: yeah
[00:29:58]	[OOC] CCA.C17-GRID.i3.08313: it's big but it's very emptty
[00:30:06]	[OOC] OTA.C14-ECHO.OWC.34319: My only wish is that they didn't do all of that basement stuff
[00:30:09]	[OOC] OTA.C14-ECHO.OWC.34319: and put all that
[00:30:12]	[OOC] OTA.C14-ECHO.OWC.34319: in the nexus
[00:30:16]	[OOC] CCA.C17-GRID.i3.08313: i like the basement a lot
[00:30:23]	[OOC] CCA.C17-GRID.i3.08313: i don't like hovv slovv the detainment center elelvator is
[00:30:39]	[OOC] OTA.C14-ECHO.OWC.34319: Oh the prison part is great imo, but I wish most of the stuff was in the nexus.
[00:30:44]	[OOC] OTA.C14-ECHO.OWC.34319: makes the nexus feel empty at the end.
[00:30:59]	[OOC] CCA.C17-GRID.i3.08313: i think props would do it good
[00:31:07]	CCA.C17-GRID.i3.08313 used command '/CharSetModel owc models/hlvr/characters/combine/grunt/combine_grunt_hlvr_npc.mdl'.
[00:31:09]	CCA.C17-GRID.i3.08313 used command '/CharSetName owc'.
[00:31:12]	[OOC] OTA.C14-ECHO.OWC.34319: I could try my hand at it. You know I like propping.
[00:31:15]	CCA.C17-GRID.i3.08313 used command '/CharSetName OTA.C14-ECHO.OWC.34319 OTA.C17-ECHO.OHZ..34319'.
[00:31:23]	CCA.C17-GRID.i3.08313 used command '/CharSetName ohz'.
[00:31:28]	CCA.C17-GRID.i3.08313 used command '/CharSetName OTA.C17-ECHO.OHZ..34319 OTA.C17-ECHO:OHZ..34319'.
[00:31:31]	[OOC] OTA.C17-ECHO:OHZ..34319: do we have a need for specialized units?
[00:31:38]	[LOOC] CCA.C17-GRID.i3.08313: industrial use*
[00:31:52]	[OOC] CCA.C17-GRID.i3.08313: hwo do you mean
[00:32:12]	[OOC] OTA.C17-ECHO:OHZ..34319: Like Wallhammers or Suppressors. Etc.
[00:32:26]	[OOC] CCA.C17-GRID.i3.08313: sometimes, but not frequently
[00:32:29]	[OOC] CCA.C17-GRID.i3.08313: they're in though
[00:32:30]	[ME] Anastasia Ivanovich: frowned momentarily. But merely accepts it
[00:32:34]	CCA.C17-GRID.i3.08313 used command '/CharSetName ohz'.
[00:32:39]	CCA.C17-GRID.i3.08313 used command '/CharSetName OTA.C17-ECHO:OHZ..34319 OTA.C17-ECHO:OHZ.34319'.
[00:32:41]	[OOC] OTA.C17-ECHO:OHZ.34319: I meant on our current roster do we need any
[00:32:47]	[OOC] CCA.C17-GRID.i3.08313: OH
[00:32:54]	[OOC] CCA.C17-GRID.i3.08313: ther'es not much demand for them no
[00:33:00]	[OOC] OTA.C17-ECHO:OHZ.34319: Dang. Was hoping.
[00:33:03]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[00:33:54]	[OOC] OTA.C17-ECHO:OHZ.34319: Will we be doing CCA training sometime? I got a RCT I'd like to try for GRID
[00:34:00]	LynxQueen loaded the character 'CCA.C14-RCT.90074'
[00:34:04]	[OOC] CCA.C14-RCT.90074: this lil shitter
[00:34:14]	[OOC] CCA.C17-GRID.i3.08313: training or division entry because those are different
[00:34:20]	[OOC] CCA.C17-GRID.i3.08313: if you have another unit laredy trained you acn just enter
[00:34:22]	CCA.C17-GRID.i3.08313 used command '/CharSetName rct'.
[00:34:23]	[OOC] CCA.C14-RCT.90074: yes
[00:34:32]	CCA.C17-GRID.i3.08313 used command '/CharSetName CCA.C14-RCT.90074 CCA.C17-UNION.i5.90074'.
[00:34:34]	[OOC] CCA.C17-UNION.i5.90074: Well back when I first trained people were assigned divisions as well.
[00:34:37]	CCA.C17-GRID.i3.08313 used command '/CharSetSkin i5 4'.
[00:34:42]	[LOOC] CCA.C17-GRID.i3.08313: yeah we don't do that aymore sadly
[00:34:45]	[LOOC] CCA.C17-GRID.i3.08313: wrong chat
[00:34:47]	[OOC] CCA.C17-GRID.i3.08313: yeah we don't do that aymore sadly
[00:34:47]	[OOC] CCA.C17-UNION.i5.90074: My skin did not change and I find that odd.
[00:34:54]	[OOC] CCA.C17-GRID.i3.08313: that's becuase it's the beta skin
[00:34:58]	[OOC] CCA.C17-GRID.i3.08313: i wasn't sure if you had the eta skin
[00:35:07]	[OOC] CCA.C17-UNION.i5.90074: I just have this lowpoly skin
[00:35:13]	[OOC] CCA.C17-GRID.i3.08313: oh te model
[00:35:22]	CCA.C17-GRID.i3.08313 used command '/CharSetModel i5 models/police_nemez.mdl'.
[00:35:26]	[LOOC] CCA.C17-GRID.i3.08313: wrong chat
[00:35:27]	[OOC] CCA.C17-UNION.i5.90074: ope
[00:35:31]	[OOC] CCA.C17-UNION.i5.90074: there we go
[00:35:32]	CCA.C17-GRID.i3.08313 used command '/CharSetSkin i5 4'.
[00:35:52]	[OOC] CCA.C17-UNION.i5.90074: Anyways yeah I wanna try for GRID bc scanner cool.
[00:36:01]	[OOC] CCA.C17-GRID.i3.08313: scanner is broken andbad
[00:36:05]	[OOC] CCA.C17-UNION.i5.90074: I am the type of dumb shit to waste hours on a scanner.
[00:36:08]	[OOC] CCA.C17-GRID.i3.08313: not by my hand vveirdly
[00:36:17]	[OOC] CCA.C17-UNION.i5.90074: :(
[00:36:18]	[OOC] CCA.C17-GRID.i3.08313: but because helix scanners are baf
[00:36:20]	[OOC] CCA.C17-GRID.i3.08313: bad
[00:36:33]	[OOC] CCA.C17-UNION.i5.90074: a
[00:36:37]	LynxQueen loaded the character 'Recruit Roxanne Roberts'
[00:36:38]	[OOC] CCA.C17-GRID.i3.08313: they make clockvvork's scanners look like a vvork of art
[00:36:46]	[OOC] Recruit Roxanne Roberts: I also have a conscript.
[00:36:50]	[OOC] CCA.C17-GRID.i3.08313: nice
[00:36:56]	[OOC] Recruit Roxanne Roberts: yes
[00:37:16]	CCA.C17-GRID.i3.08313 used command '/CharSetClass ana civil'.
[00:37:18]	[OOC] Recruit Roxanne Roberts: I presume they actually get trained.
[00:37:30]	[OOC] CCA.C17-GRID.i3.08313: yeah. d o i have procedure rwitten for that?
[00:37:38]	[OOC] Recruit Roxanne Roberts: Maybe?
[00:37:44]	[OOC] CCA.C17-GRID.i3.08313: more thinkig out loud
[00:37:59]	[OOC] Recruit Roxanne Roberts: Thinking is always fun with a thinking buddy.
[00:38:03]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[00:38:15]	[LOOC] Anastasia Ivanovich: y'know what sucks about this map and this shop? You cannot delete the counter
[00:38:19]	LynxQueen (STEAM_0:1:70540942) deleted character 'Toadle'
[00:38:22]	[LOOC] CCA.C17-GRID.i3.08313: yeah
[00:38:26]	[LOOC] CCA.C17-GRID.i3.08313: i want ot modify the map but 
[00:38:29]	[LOOC] Anastasia Ivanovich: that is my only fucking peeve
[00:38:36]	[OOC] Recruit Roxanne Roberts: What IS the UU faction
[00:38:37]	[LOOC] CCA.C17-GRID.i3.08313: i like players seeing rp_industrial17_v1
[00:38:40]	[LOOC] Anastasia Ivanovich: I used the nebulous i17 its actually very good
[00:38:41]	[OOC] CCA.C17-GRID.i3.08313: for like
[00:38:47]	[OOC] CCA.C17-GRID.i3.08313: very important people
[00:38:52]	[LOOC] Anastasia Ivanovich: its not bad. Its a little too big in some areas
[00:38:52]	[OOC] Recruit Roxanne Roberts: oh not me then
[00:38:54]	[LOOC] Anastasia Ivanovich: but it works
[00:38:56]	[OOC] CCA.C17-GRID.i3.08313: cmds, secs, advisors
[00:38:56]	CCA.C17-GRID.i3.08313 used command '/CharFallOver 1'.
[00:38:59]	[LOOC] CCA.C17-GRID.i3.08313: wrong button
[00:39:11]	[OOC] CCA.C17-GRID.i3.08313: people liek that
[00:39:14]	[LOOC] Anastasia Ivanovich: idk if you want to use that or not though
[00:39:18]	[OOC] Recruit Roxanne Roberts: not me then lol
[00:39:24]	LynxQueen loaded the character 'Seung Shi-eun'
[00:39:27]	[LOOC] CCA.C17-GRID.i3.08313: you etter get a host body transfer
[00:39:31]	[LOOC] Anastasia Ivanovich: I used it on my server and people liked it for the most part and alexgrist himself for some reason gave me perms
[00:39:38]	[LOOC] CCA.C17-GRID.i3.08313: nice
[00:39:43]	[LOOC] Anastasia Ivanovich: and alexgrist was confused as to why people asked perms
[00:39:50]	[OOC] Seung Shi-eun: is it bad that I am fairly peeved someone else made a clothing store.
[00:40:17]	[LOOC] Anastasia Ivanovich: he said and I paraphrase because I don't remember "wtf r all these neb snitches telling me you run a server with my map idgaf lol go ahead its on the workshop"
[00:40:32]	Seung Shi-eun used the 'Storage' vendor.
[00:40:38]	[LOOC] Anastasia Ivanovich: like people would snitch my server to grist and he just got annoyned and said "No spooky I won't sue u."
[00:40:40]	Seung Shi-eun opened the '' #2471 container.
[00:40:44]	Seung Shi-eun has gained a 'Brown Coat and Sweater' #24777.
[00:40:45]	Seung Shi-eun closed the '' #2471 container.
[00:40:47]	Seung Shi-eun used the 'Storage' vendor.
[00:40:47]	[LOOC] CCA.C17-GRID.i3.08313: lmao
[00:40:48]	[LOOC] Anastasia Ivanovich: KINDA SUSSY THOUGH NGL
[00:40:50]	Seung Shi-eun opened the '' #2471 container.
[00:40:53]	Seung Shi-eun closed the '' #2471 container.
