[04:53:57]	Coilrek has connected.
[15:46:49]	[LOOC] Test Testington: alright
[15:46:50]	Test Testington ran 'Eat' on item 'Raw Pyrosquid Meat' (#22636)
[15:46:50]	Test Testington has taken 12 damage from worldspawn.
[15:46:50]	Test Testington has taken 1 damage from Test Testington.
[15:46:52]	Test Testington has taken 1 damage from Test Testington.
[15:46:52]	Test Testington has taken 1 damage from Test Testington.
[15:46:52]	Test Testington has taken 2 damage from Test Testington.
[15:46:53]	Test Testington has taken 2 damage from Test Testington.
[15:46:54]	Test Testington has taken 2 damage from Test Testington.
[15:46:54]	Test Testington has taken 3 damage from Test Testington.
[15:46:54]	[OOC] Test Testington: CRYOSQUID MEAT WORKS
[15:46:55]	Test Testington has taken 1 damage from Test Testington.
[15:46:55]	Test Testington has taken 1 damage from Test Testington.
[15:46:55]	Test Testington has taken 1 damage from Test Testington.
[15:46:55]	Test Testington has taken 1 damage from Test Testington.
[15:46:56]	Test Testington has taken 1 damage from Test Testington.
[15:46:57]	Test Testington has taken 1 damage from Test Testington.
[15:46:57]	Test Testington has taken 0 damage from Test Testington.
[15:46:58]	Test Testington has taken 2 damage from Test Testington.
[15:46:58]	Test Testington has taken 1 damage from Test Testington.
[15:46:58]	Test Testington has taken 1 damage from Test Testington.
[15:46:58]	Test Testington has taken 1 damage from Test Testington.
[15:46:58]	Test Testington has taken 0 damage from Test Testington.
[15:46:59]	[OOC] Test Testington: I MENA PYROSQUID
[15:47:00]	Test Testington has taken 1 damage from Test Testington.
[15:47:00]	Test Testington has taken 0 damage from Test Testington.
[15:47:01]	Test Testington has taken 2 damage from Test Testington.
[15:47:01]	Test Testington has taken 0 damage from Test Testington.
[15:47:01]	Test Testington has taken 1 damage from Test Testington.
[15:47:04]	Test Testington has taken 2 damage from Test Testington.
[15:47:08]	[OOC] Hans Weiß: why would it do that!
[15:47:10]	Test Testington has taken 2 damage from Test Testington.
[15:47:10]	Test Testington has taken 1 damage from Test Testington.
[15:47:13]	Test Testington has spawned a 'NPC [3218][npc_devilsquid]'.
[15:47:13]	Test Testington has taken 2 damage from Test Testington.
[15:47:14]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:14]	Test Testington has taken 1 damage from Test Testington.
[15:47:14]	Test Testington has taken 1 damage from Test Testington.
[15:47:14]	Test Testington has taken 0 damage from Test Testington.
[15:47:14]	Test Testington has taken 2 damage from Test Testington.
[15:47:14]	Test Testington has taken 5 damage from obj_spit.
[15:47:14]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:14]	Test Testington has taken 5 damage from obj_spit.
[15:47:14]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:14]	Test Testington has taken 5 damage from obj_spit.
[15:47:14]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:14]	Test Testington has taken 5 damage from obj_spit.
[15:47:14]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:14]	Test Testington has taken 5 damage from obj_spit.
[15:47:14]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:14]	Test Testington has taken 5 damage from obj_spit.
[15:47:14]	obj_spit has killed Test Testington.
[15:47:14]	Test Testington used command '/DoorSetHidden true'.
[15:47:15]	Hans Weiß has taken 1 damage from npc_devilsquid.
[15:47:15]	Hans Weiß has taken 1 damage from Hans Weiß.
[15:47:15]	Hans Weiß has taken 1 damage from Hans Weiß.
[15:47:15]	Hans Weiß has taken 1 damage from Hans Weiß.
[15:47:15]	Hans Weiß has taken 1 damage from Hans Weiß.
[15:47:15]	Hans Weiß has taken 5 damage from obj_spit.
[15:47:15]	Hans Weiß has taken 1 damage from npc_devilsquid.
[15:47:15]	Hans Weiß has taken 5 damage from obj_spit.
[15:47:15]	Hans Weiß has taken 1 damage from npc_devilsquid.
[15:47:15]	Hans Weiß has taken 5 damage from obj_spit.
[15:47:15]	Hans Weiß has taken 1 damage from npc_devilsquid.
[15:47:15]	Hans Weiß has taken 5 damage from obj_spit.
[15:47:15]	Hans Weiß has taken 1 damage from npc_devilsquid.
[15:47:15]	Hans Weiß has taken 5 damage from obj_spit.
[15:47:15]	Hans Weiß has taken 1 damage from npc_devilsquid.
[15:47:15]	Hans Weiß has taken 5 damage from obj_spit.
[15:47:16]	[OOC] Test Testington: THIS IS WHY
[15:47:17]	Hans Weiß has taken 2 damage from Hans Weiß.
[15:47:17]	Hans Weiß has taken 1 damage from Hans Weiß.
[15:47:17]	Hans Weiß has taken 0 damage from Hans Weiß.
[15:47:18]	Test Testington entered observer.
[15:47:18]	Hans Weiß has taken 1 damage from Hans Weiß.
[15:47:18]	Hans Weiß has taken 1 damage from Hans Weiß.
[15:47:18]	Hans Weiß has taken 2 damage from Hans Weiß.
[15:47:20]	Test Testington exited observer at their location.
[15:47:20]	Hans Weiß has taken 1 damage from Hans Weiß.
[15:47:20]	Test Testington entered observer.
[15:47:21]	Test Testington exited observer at their location.
[15:47:22]	Hans Weiß has taken 0 damage from Hans Weiß.
[15:47:24]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:24]	Test Testington has taken 1 damage from Test Testington.
[15:47:24]	Test Testington has taken 1 damage from Test Testington.
[15:47:24]	Test Testington has taken 1 damage from Test Testington.
[15:47:24]	Test Testington has taken 1 damage from Test Testington.
[15:47:24]	Test Testington has taken 1 damage from Test Testington.
[15:47:24]	Test Testington has taken 5 damage from obj_spit.
[15:47:24]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:24]	Test Testington has taken 5 damage from obj_spit.
[15:47:24]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:24]	Test Testington has taken 5 damage from obj_spit.
[15:47:24]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:24]	Test Testington has taken 5 damage from obj_spit.
[15:47:24]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:24]	Test Testington has taken 5 damage from obj_spit.
[15:47:24]	Test Testington has taken 1 damage from npc_devilsquid.
[15:47:24]	Test Testington has taken 5 damage from obj_spit.
[15:47:24]	Test Testington entered observer.
[15:47:25]	[OOC] Hans Weiß: for the love of god
[15:47:28]	Test Testington exited observer at their location.
[15:47:57]	Test Testington has gained a 'Raw Cryosquid Meat' #22636.
[15:47:57]	Test Testington used command '/CharGiveItem test cryosquid'.
[15:48:26]	[OOC] Hans Weiß: big lag
[15:48:55]	[OOC] Hans Weiß: yo fr im just out here tryna give in this potential contraband
[15:49:07]	Test Testington ran 'Eat' on item 'Raw Cryosquid Meat' (#22636)
[15:49:07]	Test Testington has taken 12 damage from worldspawn.
[15:49:09]	[OOC] Test Testington: IT WORKS
[15:49:15]	[OOC] Hans Weiß: tf
[15:49:21]	[OOC] Hans Weiß: is that cryosquid?
[15:49:24]	[OOC] Test Testington: yep
[15:49:26]	Test Testington has spawned a 'NPC [3195][npc_frostsquid]'.
[15:49:44]	[OOC] Test Testington: raw cryosquid
[15:49:45]	[OOC] Hans Weiß: it should like slow you down or something
[15:49:48]	[OOC] Test Testington: yeah
[15:49:55]	Test Testington has gained a 'Raw Cryosquid Meat' #22636.
[15:49:55]	Test Testington used command '/CharGiveItem test cryosquid'.
[15:49:56]	Test Testington ran 'Eat' on item 'Raw Cryosquid Meat' (#22636)
[15:49:56]	Test Testington has taken 12 damage from worldspawn.
[15:49:57]	[OOC] Hans Weiß: but it's cool for now
[15:50:03]	[OOC] Test Testington: the current amount is 250
[15:50:06]	[OOC] Test Testington: i'm assuming the max is liek
[15:50:07]	[OOC] Test Testington: 255
[15:50:15]	Test Testington used command '/ToggleRaise'.
[15:50:21]	[OOC] Test Testington: also it has a freezeing gun
[15:50:29]	Test Testington has spawned a 'NPC [3197][monster_alien_slv]'.
[15:50:31]	Test Testington has taken 5 damage from monster_alien_slv.
[15:50:36]	Test Testington has taken 5 damage from monster_alien_slv.
[15:50:39]	[OOC] Test Testington: that's cool
[15:51:02]	[OOC] Test Testington: so i'll make it like 200 raw and then when you cook it it'll freeze you like 30
[15:51:07]	Test Testington has spawned a 'NPC [3197][npc_chumtoad]'.
[15:51:22]	[OOC] Test Testington: i'll probably make it have a longer cooking time thouh
[15:51:26]	[OOC] Test Testington: dunno
[15:51:29]	[OOC] Hans Weiß: mk
[15:51:34]	[OOC] Test Testington: i need to make the cooked items now
[15:51:49]	[OOC] Test Testington: which means i need to find a material for the cooked items
[15:52:01]	Test Testington entered observer.
[15:52:07]	Test Testington exited observer at their location.
[15:57:12]	Test Testington has taken 5 damage from prop_physics.
[15:57:22]	[OOC] Hans Weiß: i didn't expect that
[15:57:33]	Test Testington has taken 5 damage from prop_physics.
[15:58:10]	[OOC] Test Testington: huh
[15:58:13]	[OOC] Test Testington: in the gamefiles
[15:58:32]	[OOC] Test Testington: there's actually materials for purple gravity gun stuff
[15:58:38]	[OOC] Hans Weiß: cool
[15:58:51]	[OOC] Test Testington: i need to test this out
[15:58:52]	Test Testington has spawned a 'NPC [2751][npc_zombie]'.
[15:59:03]	Test Testington has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[15:59:05]	Test Testington has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[15:59:06]	Test Testington has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[15:59:08]	Test Testington has taken 5 damage from Test Testington.
[15:59:14]	Test Testington entered observer.
[15:59:20]	Test Testington has spawned a 'NPC [3200][npc_fastzombie]'.
[15:59:22]	Test Testington exited observer at their location.
[15:59:29]	Test Testington entered observer.
[15:59:35]	[OOC] Test Testington: that's not
[15:59:36]	[OOC] Test Testington: uh
[15:59:39]	Test Testington used command '/ToggleRaise'.
[15:59:54]	Test Testington has spawned a 'NPC [3206][npc_zombie]'.
[15:59:56]	Hans Weiß has taken 10 damage from prop_physics.
[16:00:01]	[OOC] Hans Weiß: holy fuck
[16:00:04]	[OOC] Test Testington: don't zombies turn black
[16:00:07]	[OOC] Test Testington: they od
[16:00:09]	[OOC] Test Testington: i want htat material
[16:00:10]	[OOC] Hans Weiß: not this one
[16:00:11]	Test Testington exited observer at their location.
[16:00:15]	[OOC] Test Testington: yeah i think vfire breaks it
[16:00:17]	Hans Weiß has taken 10 damage from prop_physics.
[16:00:34]	Test Testington has taken 10 damage from prop_physics.
[16:00:34]	prop_physics has killed Test Testington.
[16:00:36]	[OOC] Test Testington: i'll look for it-
[16:00:37]	[OOC] Test Testington: oh okay
[16:00:39]	[OOC] Test Testington: in the zombie mdoels
[16:00:40]	Test Testington entered observer.
[16:00:51]	Test Testington exited observer at their location.
[16:01:09]	[OOC] Test Testington: back to looking at mateiralk
[16:02:06]	[OOC] Test Testington: no it just sets the color
[16:02:08]	[OOC] Test Testington: hmm
[16:02:38]	[OOC] Test Testington: i wonder if vfire has anything
[16:02:51]	[OOC] Test Testington: no :(
[16:03:46]	[OOC] Test Testington: FOUIND ONE
[16:03:51]	[OOC] Test Testington: SORAT?
[16:03:55]	[OOC] Test Testington: this might be a good burnt one
[16:03:59]	Test Testington has spawned 'models/props_c17/utilitypole03a.mdl'.
[16:04:01]	Test Testington has spawned 'models/Combine_Helicopter/helicopter_bomb01.mdl'.
[16:04:03]	[OOC] Test Testington: oh
[16:04:07]	[OOC] Test Testington: i can't use it with the material tool
[16:04:14]	[LOOC] Hans Weiß: use it on me
[16:04:25]	[OOC] Test Testington: crispy
[16:04:45]	[LOOC] Hans Weiß: crispy basketball
[16:04:48]	[OOC] Test Testington: lmao
[16:05:14]	[OOC] Test Testington: oh hey vj base has the black mesa slime materials
[16:05:38]	[OOC] Test Testington: so what color would cooked green meat me
[16:05:39]	[OOC] Test Testington: be*
[16:05:42]	[OOC] Test Testington: what owuld it look like
[16:06:03]	[OOC] Hans Weiß: like a brownish, teal
[16:06:19]	[OOC] Test Testington: alright
[16:06:31]	Test Testington used command '/CharGiveFlag test petncrC'.
[16:06:32]	Test Testington has spawned 'models/Combine_Soldier.mdl'.
[16:06:33]	Test Testington entered observer.
[16:06:36]	[OOC] Test Testington: huh
[16:06:40]	[OOC] Test Testington: they fit perfectly
[16:06:42]	Test Testington exited observer at their location.
[16:06:43]	[OOC] Test Testington: alright
[16:08:02]	[LOOC] Hans Weiß: i clicked on the map retexturizer tool in the q menu now i have a grey 2x2 on my screen
[16:08:13]	[OOC] Test Testington: oh, uncheck "display preview"
[16:08:20]	[OOC] Test Testington: or "preview modifications"
[16:08:37]	[LOOC] Hans Weiß: wont let me
[16:08:49]	[ME] Test Testington: would take out his combat knife and cut the individual's ties.
[16:08:51]	[OOC] Test Testington: fuck
[16:08:52]	[OOC] Test Testington: ug
[16:08:56]	Test Testington used command '/CharGiveFlag hans t'.
[16:08:58]	[OOC] Test Testington: try ow
[16:09:06]	Test Testington used command '/CharTakeFlag hans t'.
[16:09:09]	[OOC] Test Testington: i need to remove that functionality
[16:10:48]	[OOC] Hans Weiß: afk 10-20 min
[16:11:07]	[OOC] Test Testington: alright
[16:14:08]	Test Testington used command '/ToggleRaise'.
[16:14:53]	Test Testington entered observer.
[16:14:54]	Test Testington exited observer at their location.
[16:14:59]	Test Testington entered observer.
[16:15:02]	Test Testington exited observer at their location.
[16:15:10]	Test Testington used command '/ToggleRaise'.
[16:15:34]	Test Testington entered observer.
[16:16:40]	Test Testington exited observer at their location.
[16:16:41]	Test Testington used command '/ToggleRaise'.
[16:16:42]	Test Testington entered observer.
[16:16:48]	Test Testington exited observer at their location.
[16:16:57]	Test Testington used command '/ToggleRaise'.
[16:17:03]	Test Testington used command '/ToggleRaise'.
[16:17:30]	Test Testington entered observer.
[16:17:35]	Test Testington exited observer at their location.
[16:18:19]	Test Testington entered observer.
[16:18:24]	Test Testington exited observer at their location.
[16:18:26]	Test Testington entered observer.
[16:18:27]	Test Testington exited observer at their location.
[16:19:27]	Test Testington entered observer.
[16:19:27]	Test Testington exited observer at their location.
[16:22:01]	Test Testington has spawned 'models/gibs/xenians/sgib_01.mdl'.
[16:22:07]	Test Testington has spawned 'models/gibs/xenians/mgib_01.mdl'.
[16:23:25]	Test Testington has spawned 'models/gibs/xenians/mgib_01.mdl'.
[16:25:22]	Test Testington entered observer.
[16:25:34]	Test Testington exited observer at their location.
[16:29:33]	Test Testington has spawned 'models/gibs/xenians/mgib_01.mdl'.
[16:30:52]	Test Testington has spawned 'models/gibs/xenians/mgib_01.mdl'.
[16:35:49]	Test Testington has spawned 'models/gibs/xenians/mgib_01.mdl'.
[16:35:52]	Test Testington entered observer.
[16:35:58]	Test Testington has spawned 'models/gibs/xenians/sgib_01.mdl'.
[16:36:06]	Test Testington exited observer at their location.
[16:36:39]	Test Testington has spawned 'models/alyx.mdl'.
[16:36:44]	Test Testington entered observer.
[16:37:09]	Test Testington has spawned 'models/hunter/plates/plate1x1.mdl'.
[16:40:52]	Test Testington used command '/ToggleRaise'.
[16:42:56]	Test Testington exited observer at their location.
[16:43:46]	Test Testington entered observer.
[16:44:08]	Test Testington exited observer at their location.
[16:44:46]	Test Testington entered observer.
[16:45:17]	Test Testington exited observer at their location.
[16:45:27]	Test Testington used command '/ToggleRaise'.
[16:45:32]	Test Testington used command '/ToggleRaise'.
[16:45:35]	Test Testington used command '/ToggleRaise'.
[16:45:36]	Test Testington entered observer.
[16:45:38]	Test Testington used command '/ToggleRaise'.
[16:45:45]	Test Testington exited observer at their location.
[16:45:48]	Test Testington entered observer.
[16:45:50]	Test Testington exited observer at their location.
[16:46:01]	Test Testington entered observer.
[16:46:01]	Test Testington exited observer at their location.
[16:46:02]	Test Testington entered observer.
[16:46:06]	Test Testington exited observer at their location.
[16:46:41]	Test Testington entered observer.
[16:46:47]	Test Testington exited observer at their location.
[17:30:50]	Test Testington entered observer.
[17:30:51]	Test Testington exited observer at their location.
[17:35:24]	[OOC] Test Testington: rejoinnig
[17:35:28]	matt saton (STEAM_0:1:53097688) has disconnected.
[17:37:44]	matt saton has connected.
[17:40:12]	matt saton loaded the character 'Test Testington'
[17:40:22]	Test Testington entered observer.
[17:40:22]	Test Testington exited observer at their location.
[17:40:36]	Test Testington has spawned 'models/props_c17/door02_double.mdl'.
[17:42:00]	matt saton (STEAM_0:1:53097688) has disconnected.
[17:43:37]	matt saton has connected.
[17:45:41]	matt saton loaded the character 'Test Testington'
[17:47:25]	matt saton (STEAM_0:1:53097688) has disconnected.
[17:49:02]	matt saton has connected.
[17:53:19]	matt saton loaded the character 'Test Testington'
[17:53:22]	Test Testington entered observer.
[17:53:51]	Test Testington exited observer at their location.
[17:54:48]	matt saton (STEAM_0:1:53097688) has disconnected.
[17:57:23]	matt saton has connected.
[17:59:07]	matt saton loaded the character 'Test Testington'
[17:59:22]	Test Testington entered observer.
[17:59:24]	Test Testington exited observer at their location.
[17:59:25]	Test Testington has spawned 'models/hl1bar.mdl'.
[17:59:26]	Test Testington has spawned 'models/hl1bar.mdl'.
[17:59:28]	Test Testington has spawned 'models/hl1gman.mdl'.
[17:59:31]	Test Testington has spawned 'models/hl1gman.mdl'.
[17:59:32]	Test Testington has spawned 'models/hl1gman.mdl'.
[17:59:34]	Test Testington has spawned 'models/hl1plr.mdl'.
[18:01:34]	Test Testington entered observer.
[18:01:45]	Test Testington exited observer at their location.
[18:01:46]	Test Testington has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[18:02:51]	matt saton (STEAM_0:1:53097688) has disconnected.
[18:04:34]	matt saton has connected.
[18:08:08]	matt saton loaded the character 'Test Testington'
[18:09:51]	Test Testington entered observer.
[18:20:40]	[OOC] Hans Weiß: e
[18:20:48]	[OOC] Hans Weiß: what did i come back too?
[18:20:53]	[OOC] Hans Weiß: to*
[18:37:30]	Hans Weiß ran 'take' on item 'AA Battery' (#18538)
[18:37:30]	Hans Weiß has gained a 'AA Battery' #18538.
[18:37:42]	Hans Weiß ran 'drop' on item 'Junk Newspaper' (#22630)
[18:37:42]	Hans Weiß has lost a 'Junk Newspaper' #22630.
[18:37:48]	Hans Weiß ran 'take' on item 'Junk Newspaper' (#22630)
[18:37:48]	Hans Weiß has gained a 'Junk Newspaper' #22630.
[19:20:11]	Test Testington exited observer at their location.
[19:20:11]	Test Testington entered observer.
[19:20:19]	Test Testington has spawned 'models/props_c17/FurnitureChair001a.mdl'.
[19:21:32]	[OOC] Hans Weiß: hello
[19:21:36]	[OOC] Hans Weiß: ?
[19:22:06]	Test Testington exited observer at their location.
[19:22:19]	Test Testington entered observer.
[19:22:53]	Test Testington used command '/ToggleRaise'.
[19:22:55]	Test Testington used command '/ToggleRaise'.
[19:22:56]	Test Testington used command '/ToggleRaise'.
[19:23:05]	Test Testington used command '/ToggleRaise'.
