[02:23:18]	Hev Scientist has connected.
[20:38:22]	Alex Palovichov has taken 1 damage from worldspawn.
[20:38:22]	Alex Palovichov ran 'Equip' on item 'Combine Worker Suit' (#21413)
[20:38:22]	Alex Palovichov has taken 1 damage from worldspawn.
[20:38:23]	Alex Palovichov has taken 1 damage from worldspawn.
[20:38:24]	Alex Palovichov has taken 1 damage from worldspawn.
[20:38:25]	Alex Palovichov has taken 1 damage from worldspawn.
[20:38:25]	Alex Palovichov has taken 1 damage from worldspawn.
[20:38:26]	Alex Palovichov has taken 1 damage from worldspawn.
[20:38:26]	Alex Palovichov ran 'EquipUn' on item 'Green Citizen Suit' (#21318)
[20:38:27]	Alex Palovichov has taken 1 damage from worldspawn.
[20:38:28]	Alex Palovichov has taken 1 damage from worldspawn.
[20:38:28]	Alex Palovichov ran 'Equip' on item 'Combine Worker Suit' (#21413)
[20:40:41]	Alex Palovichov ran 'take' on item 'Civil Workers' Union ID' (#21419)
[20:40:41]	Alex Palovichov has gained a 'Civil Workers' Union ID' #21419.
[20:45:38]	Alex Palovichov used the 'Resin Terminal' vendor.
[20:46:50]	Alex Palovichov used the 'Cycle Supply' vendor.
[20:47:18]	Alex Palovichov used command '/DoorBuy'.
[20:47:44]	Alex Palovichov used command '/DoorBuy'.
[20:47:50]	Alex Palovichov used the 'Street Market' vendor.
[20:48:06]	Alex Palovichov has lost 10 tokens.
[20:48:06]	Alex Palovichov has gained a 'Flashlight' #21420.
[20:48:17]	Alex Palovichov used the 'Street Market' vendor.
[20:48:40]	Alex Palovichov used the 'Cycle Supply' vendor.
[20:48:42]	Alex Palovichov has gained 0 tokens.
[20:48:42]	Alex Palovichov has gained a 'Charred Metal' #21421.
[20:48:43]	Alex Palovichov has gained 0 tokens.
[20:48:43]	Alex Palovichov has gained a 'Charred Metal' #21422.
[20:48:43]	Alex Palovichov has gained 0 tokens.
[20:48:43]	Alex Palovichov has gained a 'Charred Metal' #21423.
[20:48:44]	Alex Palovichov has gained 0 tokens.
[20:48:44]	Alex Palovichov has gained a 'Charred Metal' #21424.
[20:48:44]	Alex Palovichov has gained 0 tokens.
[20:48:44]	Alex Palovichov has gained a 'Charred Metal' #21425.
[20:48:45]	Alex Palovichov has gained 0 tokens.
[20:48:45]	Alex Palovichov has gained a 'Charred Metal' #21426.
[20:48:45]	Alex Palovichov has gained 0 tokens.
[20:48:45]	Alex Palovichov has gained a 'Charred Metal' #21427.
[20:48:46]	Alex Palovichov has gained 0 tokens.
[20:48:46]	Alex Palovichov has gained a 'Charred Metal' #21428.
[20:48:46]	Alex Palovichov has gained 0 tokens.
[20:48:46]	Alex Palovichov has gained a 'Charred Metal' #21429.
[20:48:47]	Alex Palovichov has gained 0 tokens.
[20:48:47]	Alex Palovichov has gained a 'Charred Metal' #21430.
[20:48:47]	Alex Palovichov has gained 0 tokens.
[20:48:47]	Alex Palovichov has gained a 'Charred Metal' #21431.
[20:48:48]	Alex Palovichov has gained 0 tokens.
[20:48:48]	Alex Palovichov has gained a 'Charred Metal' #21432.
[20:48:48]	Alex Palovichov has gained 0 tokens.
[20:48:48]	Alex Palovichov has gained a 'Charred Metal' #21433.
[20:48:49]	Alex Palovichov has gained 0 tokens.
[20:48:49]	Alex Palovichov has gained a 'Charred Metal' #21434.
[20:48:49]	Alex Palovichov has gained 0 tokens.
[20:48:49]	Alex Palovichov has gained a 'Charred Metal' #21435.
[20:48:50]	Alex Palovichov has gained 0 tokens.
[20:48:50]	Alex Palovichov has gained a 'Charred Metal' #21436.
[20:48:50]	Alex Palovichov has gained 0 tokens.
[20:48:50]	Alex Palovichov has gained a 'Charred Metal' #21437.
[20:48:51]	Alex Palovichov has gained 0 tokens.
[20:48:51]	Alex Palovichov has gained a 'Charred Metal' #21438.
[20:48:51]	Alex Palovichov has gained 0 tokens.
[20:48:51]	Alex Palovichov has gained a 'Charred Metal' #21439.
[20:48:51]	Alex Palovichov has gained 0 tokens.
[20:48:51]	Alex Palovichov has gained a 'Charred Metal' #21440.
[20:48:52]	Alex Palovichov has gained 0 tokens.
[20:48:52]	Alex Palovichov has gained a 'Charred Metal' #21441.
[20:48:52]	Alex Palovichov has gained 0 tokens.
[20:48:52]	Alex Palovichov has gained a 'Charred Metal' #21442.
[20:48:53]	Alex Palovichov has gained 0 tokens.
[20:48:53]	Alex Palovichov has gained a 'Charred Metal' #21443.
[20:48:53]	Alex Palovichov has gained 0 tokens.
[20:48:53]	Alex Palovichov has gained a 'Charred Metal' #21444.
[20:48:54]	Alex Palovichov has gained 0 tokens.
[20:48:54]	Alex Palovichov has gained a 'Charred Metal' #21445.
[20:48:54]	Alex Palovichov has gained 0 tokens.
[20:48:55]	Alex Palovichov has gained 0 tokens.
[20:49:02]	Alex Palovichov has lost a 'Charred Metal' #21432.
[20:49:02]	Alex Palovichov has lost a 'Charred Metal' #21433.
[20:49:08]	Alex Palovichov ran 'take' on item 'Scrap Metal' (#21448)
[20:49:14]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21439)
[20:49:14]	Alex Palovichov has lost a 'Charred Metal' #21439.
[20:49:15]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21435)
[20:49:15]	Alex Palovichov has lost a 'Charred Metal' #21435.
[20:49:18]	Alex Palovichov has lost a 'Charred Metal' #21431.
[20:49:18]	Alex Palovichov has lost a 'Charred Metal' #21427.
[20:49:18]	Alex Palovichov has gained a 'Scrap Metal' #21449.
[20:49:19]	Alex Palovichov has lost a 'Charred Metal' #21424.
[20:49:33]	Alex Palovichov ran 'take' on item 'Scrap Metal' (#21448)
[20:49:33]	Alex Palovichov has gained a 'Scrap Metal' #21448.
[20:50:30]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21426)
[20:50:30]	Alex Palovichov has lost a 'Charred Metal' #21426.
[20:50:30]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21430)
[20:50:30]	Alex Palovichov has lost a 'Charred Metal' #21430.
[20:50:31]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21425)
[20:50:31]	Alex Palovichov has lost a 'Charred Metal' #21425.
[20:50:31]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21429)
[20:50:31]	Alex Palovichov has lost a 'Charred Metal' #21429.
[20:51:07]	Alex Palovichov used the 'Yield Turn-In' vendor.
[20:51:33]	Alex Palovichov used the 'Yield Turn-In' vendor.
[20:51:40]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21423)
[20:51:40]	Alex Palovichov has lost a 'Charred Metal' #21423.
[20:51:40]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21421)
[20:51:40]	Alex Palovichov has lost a 'Charred Metal' #21421.
[20:51:41]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21422)
[20:51:41]	Alex Palovichov has lost a 'Charred Metal' #21422.
[20:51:41]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21440)
[20:51:41]	Alex Palovichov has lost a 'Charred Metal' #21440.
[20:51:42]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21441)
[20:51:42]	Alex Palovichov has lost a 'Charred Metal' #21441.
[20:51:43]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21442)
[20:51:43]	Alex Palovichov has lost a 'Charred Metal' #21442.
[20:51:44]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21445)
[20:51:44]	Alex Palovichov has lost a 'Charred Metal' #21445.
[20:51:44]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21444)
[20:51:44]	Alex Palovichov has lost a 'Charred Metal' #21444.
[20:51:46]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21443)
[20:51:46]	Alex Palovichov has lost a 'Charred Metal' #21443.
[20:51:48]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21434)
[20:51:48]	Alex Palovichov has lost a 'Charred Metal' #21434.
[20:51:51]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21438)
[20:51:51]	Alex Palovichov has lost a 'Charred Metal' #21438.
[20:51:52]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21437)
[20:51:52]	Alex Palovichov has lost a 'Charred Metal' #21437.
[20:51:54]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21436)
[20:51:54]	Alex Palovichov has lost a 'Charred Metal' #21436.
[20:52:18]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21437)
[20:52:18]	Alex Palovichov has gained a 'Charred Metal' #21437.
[20:52:21]	Alex Palovichov has lost a 'Charred Metal' #21437.
[20:52:21]	Alex Palovichov has lost a 'Charred Metal' #21428.
[20:52:21]	Alex Palovichov has gained a 'Scrap Metal' #21450.
[20:52:24]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21443)
[20:52:24]	Alex Palovichov has gained a 'Charred Metal' #21443.
[20:52:26]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21442)
[20:52:26]	Alex Palovichov has gained a 'Charred Metal' #21442.
[20:52:32]	Alex Palovichov has lost a 'Charred Metal' #21443.
[20:52:32]	Alex Palovichov has lost a 'Charred Metal' #21442.
[20:52:32]	Alex Palovichov has gained a 'Scrap Metal' #21451.
[20:52:34]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21435)
[20:52:34]	Alex Palovichov has gained a 'Charred Metal' #21435.
[20:52:35]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21438)
[20:52:35]	Alex Palovichov has gained a 'Charred Metal' #21438.
[20:52:37]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21434)
[20:52:37]	Alex Palovichov has gained a 'Charred Metal' #21434.
[20:52:43]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21440)
[20:52:43]	Alex Palovichov has gained a 'Charred Metal' #21440.
[20:52:53]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21440)
[20:52:53]	Alex Palovichov has lost a 'Charred Metal' #21440.
[20:52:53]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21438)
[20:52:53]	Alex Palovichov has lost a 'Charred Metal' #21438.
[20:53:03]	Alex Palovichov has lost a 'Scrap Metal' #21448.
[20:53:03]	Alex Palovichov has lost a 'Scrap Metal' #21449.
[20:53:03]	Alex Palovichov has lost a 'Scrap Metal' #21450.
[20:53:03]	Alex Palovichov has gained a 'Reclaimed Metal' #21452.
[20:53:05]	Alex Palovichov has lost a 'Charred Metal' #21434.
[20:53:05]	Alex Palovichov has lost a 'Charred Metal' #21435.
[20:53:05]	Alex Palovichov has gained a 'Scrap Metal' #21453.
[20:53:11]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21423)
[20:53:11]	Alex Palovichov has gained a 'Charred Metal' #21423.
[20:53:17]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21441)
[20:53:17]	Alex Palovichov has gained a 'Charred Metal' #21441.
[20:53:20]	Alex Palovichov has lost a 'Charred Metal' #21423.
[20:53:20]	Alex Palovichov has lost a 'Charred Metal' #21441.
[20:53:20]	Alex Palovichov has gained a 'Scrap Metal' #21454.
[20:53:23]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21444)
[20:53:23]	Alex Palovichov has gained a 'Charred Metal' #21444.
[20:53:24]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21421)
[20:53:24]	Alex Palovichov has gained a 'Charred Metal' #21421.
[20:53:31]	Alex Palovichov has lost a 'Scrap Metal' #21451.
[20:53:31]	Alex Palovichov has lost a 'Scrap Metal' #21453.
[20:53:31]	Alex Palovichov has lost a 'Scrap Metal' #21454.
[20:53:31]	Alex Palovichov has gained a 'Reclaimed Metal' #21453.
[20:53:31]	Alex Palovichov has lost a 'Charred Metal' #21421.
[20:53:31]	Alex Palovichov has lost a 'Charred Metal' #21444.
[20:53:31]	Alex Palovichov has gained a 'Scrap Metal' #21454.
[20:53:37]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21436)
[20:53:37]	Alex Palovichov has gained a 'Charred Metal' #21436.
[20:53:38]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21445)
[20:53:38]	Alex Palovichov has gained a 'Charred Metal' #21445.
[20:53:42]	Alex Palovichov has lost a 'Charred Metal' #21436.
[20:53:47]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21439)
[20:53:47]	Alex Palovichov has gained a 'Charred Metal' #21439.
[20:53:50]	Alex Palovichov has lost a 'Charred Metal' #21439.
[20:53:56]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21422)
[20:53:56]	Alex Palovichov has gained a 'Charred Metal' #21422.
[20:54:21]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21445)
[20:54:21]	Alex Palovichov has lost a 'Charred Metal' #21445.
[20:54:23]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21445)
[20:54:23]	Alex Palovichov has gained a 'Charred Metal' #21445.
[20:54:52]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21440)
[20:54:52]	Alex Palovichov has gained a 'Charred Metal' #21440.
[20:54:53]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21438)
[20:54:53]	Alex Palovichov has gained a 'Charred Metal' #21438.
[20:54:59]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21422)
[20:54:59]	Alex Palovichov has lost a 'Charred Metal' #21422.
[20:54:59]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21440)
[20:54:59]	Alex Palovichov has lost a 'Charred Metal' #21440.
[20:55:05]	Alex Palovichov used the 'Yield Turn-In' vendor.
[20:55:16]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21430)
[20:55:16]	Alex Palovichov has gained a 'Charred Metal' #21430.
[20:55:17]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21429)
[20:55:17]	Alex Palovichov has gained a 'Charred Metal' #21429.
[20:55:24]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21438)
[20:55:24]	Alex Palovichov has lost a 'Charred Metal' #21438.
[20:55:25]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21445)
[20:55:25]	Alex Palovichov has lost a 'Charred Metal' #21445.
[20:55:25]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21430)
[20:55:25]	Alex Palovichov has lost a 'Charred Metal' #21430.
[20:55:27]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21429)
[20:55:27]	Alex Palovichov has lost a 'Charred Metal' #21429.
[20:55:32]	Alex Palovichov ran 'drop' on item 'Scrap Metal' (#21454)
[20:55:32]	Alex Palovichov has lost a 'Scrap Metal' #21454.
[20:55:34]	Alex Palovichov ran 'drop' on item 'Reclaimed Metal' (#21453)
[20:55:34]	Alex Palovichov has lost a 'Reclaimed Metal' #21453.
[20:55:39]	Alex Palovichov ran 'drop' on item 'Reclaimed Metal' (#21452)
[20:55:39]	Alex Palovichov has lost a 'Reclaimed Metal' #21452.
[20:57:31]	Alex Palovichov used the 'Shady Salesman' vendor.
[20:58:28]	Alex Palovichov opened the '' #1634 container.
[20:58:31]	Alex Palovichov closed the '' #1634 container.
[20:59:21]	Alex Palovichov has taken 4 damage from monster_bullsquid.
[20:59:21]	Alex Palovichov has taken 4 damage from monster_bullsquid.
[20:59:21]	Alex Palovichov has taken 4 damage from monster_bullsquid.
[20:59:21]	Alex Palovichov has taken 4 damage from monster_bullsquid.
[20:59:21]	Alex Palovichov has taken 4 damage from monster_bullsquid.
[20:59:21]	Alex Palovichov has taken 4 damage from monster_bullsquid.
[20:59:43]	Alex Palovichov has taken 1 damage from env_fire.
[20:59:44]	Alex Palovichov has taken 1 damage from env_fire.
[20:59:45]	Alex Palovichov has taken 1 damage from env_fire.
[20:59:46]	Alex Palovichov has taken 1 damage from env_fire.
[20:59:47]	Alex Palovichov has taken 1 damage from env_fire.
[20:59:48]	Alex Palovichov has taken 1 damage from env_fire.
[20:59:49]	Alex Palovichov has taken 1 damage from env_fire.
[20:59:50]	Alex Palovichov has taken 1 damage from env_fire.
[20:59:50]	env_fire has killed Alex Palovichov.
[21:02:30]	Alex Palovichov ran 'EquipUn' on item 'Combine Worker Suit' (#21413)
[21:03:29]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:30]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:31]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:31]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:32]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:33]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:34]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:34]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:35]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:36]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:37]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:37]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:38]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:39]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:40]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:40]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:41]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:42]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:43]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:44]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:44]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:45]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:46]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:47]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:47]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:48]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:49]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:50]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:50]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:51]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:52]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:53]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:53]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:54]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:55]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:56]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:56]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:57]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:58]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:59]	Alex Palovichov has taken 1 damage from worldspawn.
[21:03:59]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:00]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:01]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:02]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:02]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:03]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:04]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:05]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:05]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:06]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:07]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:08]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:08]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:09]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:10]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:11]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:11]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:12]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:13]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:14]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:14]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:15]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:16]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:17]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:17]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:18]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:19]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:20]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:20]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:21]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:22]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:23]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:23]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:24]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:25]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:26]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:26]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:27]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:28]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:29]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:29]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:30]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:31]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:32]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:32]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:33]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:34]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:35]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:36]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:36]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:37]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:38]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:39]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:39]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:40]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:41]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:42]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:42]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:43]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:44]	Alex Palovichov has taken 1 damage from worldspawn.
[21:04:44]	worldspawn has killed Alex Palovichov.
[21:05:07]	Bean (STEAM_0:1:591779303) has disconnected.
