[15:03:47]	hnbug01 has connected.
[16:55:21]	Howard Hill opened the '' #1340 container.
[16:55:22]	Howard Hill closed the '' #1340 container.
[16:55:30]	Howard Hill opened the '' #1341 container.
[16:55:31]	Howard Hill closed the '' #1341 container.
[16:56:16]	Howard Hill opened the '' #1268 container.
[16:56:18]	Howard Hill closed the '' #1268 container.
[16:56:26]	Howard Hill opened the '' #1316 container.
[16:56:28]	Howard Hill closed the '' #1316 container.
[16:56:42]	Howard Hill ran 'take' on item 'Green Citizen Suit' (#20328)
[16:56:42]	Howard Hill has gained a 'Green Citizen Suit' #20328.
[16:56:52]	Howard Hill ran 'Equip' on item 'Green Citizen Suit' (#20328)
[16:56:54]	Howard Hill ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#19613)
[16:56:55]	Howard Hill ran 'Equip' on item 'Green Citizen Suit' (#20328)
[16:56:57]	Howard Hill ran 'equip' on item 'Citizen Filter' (#20174)
[16:57:01]	queer has connected.
[16:57:08]	Howard Hill ran 'Equip' on item 'Cyclopic Citizen Suit' (#19613)
[16:57:09]	Howard Hill ran 'EquipUn' on item 'Green Citizen Suit' (#20328)
[16:57:11]	Howard Hill ran 'Equip' on item 'Cyclopic Citizen Suit' (#19613)
[16:57:33]	Howard Hill opened the '' #969 container.
[16:57:35]	Howard Hill closed the '' #969 container.
[16:58:30]	Howard Hill ran 'take' on item 'Pack of Nails' (#20250)
[16:58:30]	Howard Hill has gained a 'Pack of Nails' #20250.
[16:59:03]	queer loaded the character 'CCA.C08-GRID.i3.39867'
[16:59:08]	[OOC] CCA.C08-GRID.i3.39867: can i get the conscript guide link
[16:59:17]	[OOC] CCA.C08-GRID.i3.39867: q
[16:59:37]	queer loaded the character 'Emily Brown'
[17:01:17]	Howard Hill used the 'Street Market' vendor.
[17:02:36]	Howard Hill opened the '' #1338 container.
[17:02:37]	Howard Hill closed the '' #1338 container.
[17:02:38]	Howard Hill opened the '' #1339 container.
[17:02:40]	Howard Hill closed the '' #1339 container.
[17:02:41]	Howard Hill opened the '' #1339 container.
[17:02:41]	Howard Hill closed the '' #1339 container.
[17:02:42]	Howard Hill opened the '' #1339 container.
[17:02:43]	Howard Hill closed the '' #1339 container.
[17:04:15]	Howard Hill has taken 10 damage from prop_physics.
[17:05:41]	Howard Hill ran 'take' on item 'Scrap Glass' (#14451)
[17:05:41]	Howard Hill has gained a 'Scrap Glass' #14451.
[17:05:46]	Howard Hill ran 'take' on item 'Charred Metal' (#15031)
[17:05:46]	Howard Hill has gained a 'Charred Metal' #15031.
[17:05:50]	Howard Hill used the 'Shady Salesman' vendor.
[17:05:54]	Howard Hill has lost 5 tokens.
[17:05:54]	Howard Hill has gained a 'Small Items Case' #20443.
[17:06:25]	Howard Hill opened the '' #1409 container.
[17:06:26]	Howard Hill closed the '' #1409 container.
[17:06:36]	Howard Hill ran 'take' on item 'Light Bulb' (#15128)
[17:06:36]	Howard Hill has gained a 'Light Bulb' #15128.
[17:08:30]	Howard Hill has taken 5 damage from npc_headcrab_fast.
[17:08:35]	Howard Hill has taken 5 damage from npc_headcrab_fast.
[17:08:40]	Howard Hill has taken 5 damage from npc_headcrab_fast.
[17:08:41]	Howard Hill has taken 5 damage from npc_headcrab_fast.
[17:09:25]	Howard Hill has taken 5 damage from npc_headcrab.
[17:09:26]	Howard Hill has taken 1 damage from worldspawn.
[17:09:26]	Howard Hill has taken 1 damage from worldspawn.
[17:09:27]	Howard Hill has taken 1 damage from worldspawn.
[17:09:28]	Howard Hill has taken 1 damage from worldspawn.
[17:09:29]	Howard Hill has taken 1 damage from worldspawn.
[17:09:29]	Howard Hill has taken 1 damage from worldspawn.
[17:09:30]	Howard Hill has taken 1 damage from worldspawn.
[17:09:31]	Howard Hill has taken 1 damage from worldspawn.
[17:09:32]	Howard Hill ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#19613)
[17:09:32]	Howard Hill has taken 1 damage from worldspawn.
[17:09:32]	Howard Hill has taken 1 damage from worldspawn.
[17:09:33]	Howard Hill ran 'Equip' on item 'Green Citizen Suit' (#20328)
[17:11:15]	Howard Hill ran 'take' on item 'Padlock' (#12923)
[17:11:15]	Howard Hill has gained a 'Padlock' #12923.
[17:11:22]	Howard Hill ran 'take' on item 'Padlock' (#12920)
[17:11:22]	Howard Hill has gained a 'Padlock' #12920.
[17:11:28]	Howard Hill ran 'Use' on item 'Padlock' (#12922)
[17:11:30]	Howard Hill ran 'take' on item 'Padlock' (#12922)
[17:11:30]	Howard Hill has gained a 'Padlock' #12922.
[17:15:43]	Howard Hill ran 'Use' on item 'Padlock' (#12920)
[17:19:04]	Howard Hill has taken 5 damage from npc_headcrab_fast.
[17:19:07]	Howard Hill ran 'take' on item 'Pack of Screws' (#20335)
[17:19:07]	Howard Hill has gained a 'Pack of Screws' #20335.
[17:19:08]	Howard Hill has taken 5 damage from npc_headcrab_fast.
[17:19:25]	Howard Hill used the 'Shady Salesman' vendor.
[17:20:42]	Howard Hill opened the '' #1252 container.
[17:20:44]	Howard Hill closed the '' #1252 container.
[17:20:47]	Howard Hill opened the '' #1252 container.
[17:21:04]	Howard Hill closed the '' #1252 container.
[17:21:10]	Howard Hill opened the '' #1338 container.
[17:21:23]	Howard Hill closed the '' #1338 container.
[17:21:33]	Howard Hill ran 'drop' on item 'Small Items Case' (#20443)
[17:21:33]	Howard Hill has lost a 'Small Items Case' #20443.
[17:21:33]	Howard Hill has lost a 'Light Bulb' #14474.
[17:21:33]	Howard Hill has lost a 'Scrap Metal' #17888.
[17:21:33]	Howard Hill has lost a 'Charred Metal' #15031.
[17:21:33]	Howard Hill has lost a 'Empty Water Can' #15196.
[17:21:33]	Howard Hill has lost a 'Scrap Glass' #14451.
[17:21:33]	Howard Hill has lost a 'Pack of Nails' #20250.
[17:21:36]	Howard Hill ran 'drop' on item 'Suitcase' (#19611)
[17:21:36]	Howard Hill has lost a 'Suitcase' #19611.
[17:21:36]	Howard Hill has lost a 'Sewn Cloth' #11862.
[17:21:36]	Howard Hill has lost a 'Paper' #19638.
[17:21:36]	Howard Hill has lost a 'Empty Glass Bottle' #14322.
[17:21:36]	Howard Hill has lost a 'Pliers' #14465.
[17:21:36]	Howard Hill has lost a 'Wires' #19153.
[17:21:36]	Howard Hill has lost a 'Pliers' #19637.
[17:21:36]	Howard Hill has lost a 'Sewn Cloth' #11860.
[17:21:36]	Howard Hill has lost a 'Sewn Cloth' #11755.
[17:21:54]	Howard Hill has taken 250 damage from trigger_hurt.
[17:21:54]	trigger_hurt has killed Howard Hill.
[17:22:15]	Howard Hill ran 'take' on item 'Suitcase' (#19611)
[17:22:15]	Howard Hill has gained a 'Suitcase' #19611.
[17:22:15]	Howard Hill has gained a 'Sewn Cloth' #11862.
[17:22:15]	Howard Hill has gained a 'Paper' #19638.
[17:22:15]	Howard Hill has gained a 'Empty Glass Bottle' #14322.
[17:22:15]	Howard Hill has gained a 'Pliers' #14465.
[17:22:15]	Howard Hill has gained a 'Wires' #19153.
[17:22:15]	Howard Hill has gained a 'Pliers' #19637.
[17:22:15]	Howard Hill has gained a 'Sewn Cloth' #11860.
[17:22:15]	Howard Hill has gained a 'Sewn Cloth' #11755.
[17:22:16]	Howard Hill ran 'take' on item 'Small Items Case' (#20443)
[17:22:16]	Howard Hill has gained a 'Small Items Case' #20443.
[17:22:16]	Howard Hill has gained a 'Light Bulb' #14474.
[17:22:16]	Howard Hill has gained a 'Scrap Metal' #17888.
[17:22:16]	Howard Hill has gained a 'Charred Metal' #15031.
[17:22:16]	Howard Hill has gained a 'Empty Water Can' #15196.
[17:22:16]	Howard Hill has gained a 'Scrap Glass' #14451.
[17:22:16]	Howard Hill has gained a 'Pack of Nails' #20250.
[17:22:17]	Howard Hill opened the '' #1338 container.
[17:22:20]	Howard Hill has gained a 'Plank' #19533.
[17:22:22]	Howard Hill has gained a 'Flashlight' #19623.
[17:22:23]	Howard Hill has gained a 'Cyclopic Citizen Suit' #19613.
[17:22:24]	Howard Hill has gained a 'Padlock' #12923.
[17:22:25]	Howard Hill has gained a 'Padlock' #12922.
[17:22:26]	Howard Hill has gained a 'Padlock' #12920.
[17:22:28]	Howard Hill closed the '' #1338 container.
[17:22:28]	Howard Hill opened the '' #1339 container.
[17:22:31]	Howard Hill closed the '' #1339 container.
[17:22:36]	Howard Hill opened the '' #1252 container.
[17:22:38]	Howard Hill has gained a 'Empty Can' #19725.
[17:22:39]	Howard Hill has gained a 'Flashlight' #19433.
[17:22:40]	Howard Hill has gained a 'Pack of Screws' #20335.
[17:22:42]	Howard Hill has gained a 'Pack of Nails' #1833.
[17:22:43]	Howard Hill has gained a 'Charred Metal' #19497.
[17:22:45]	Howard Hill has gained a 'Light Bulb' #15128.
[17:22:46]	Howard Hill closed the '' #1252 container.
[17:23:43]	Howard Hill ran 'take' on item 'Citizen ID' (#19690)
[17:23:43]	Howard Hill has gained a 'Citizen ID' #19690.
[17:23:47]	Howard Hill used the 'Shady Salesman' vendor.
[17:24:33]	Howard Hill has taken 5 damage from monster_hound_eye.
[17:24:34]	Howard Hill has taken 6 damage from monster_hound_eye.
[17:24:34]	Howard Hill has taken 7 damage from monster_hound_eye.
[17:26:56]	Howard Hill has taken 5 damage from npc_fastzombie.
[17:27:45]	Howard Hill opened the '' #1256 container.
[17:27:47]	Howard Hill closed the '' #1256 container.
[17:27:54]	Howard Hill has taken 3 damage from npc_fastzombie.
[17:27:54]	Howard Hill has taken 3 damage from npc_fastzombie.
[17:27:55]	Howard Hill has taken 3 damage from npc_fastzombie.
[17:27:55]	Howard Hill has taken 3 damage from npc_fastzombie.
[17:29:57]	Howard Hill opened the '' #1895 container.
[17:29:59]	Howard Hill closed the '' #1895 container.
[17:30:29]	Howard Hill opened the '' #1341 container.
[17:30:32]	Howard Hill closed the '' #1341 container.
[17:32:49]	The Diophantine (STEAM_0:1:224926076) has disconnected.
[17:38:51]	[OOC] Emily Brown: ayo q
[17:38:54]	[OOC] Emily Brown: you there ?
[17:39:59]	[OOC] Emily Brown: okay
[17:55:08]	AtlasGuns88 has connected.
[17:56:53]	Dilly_ has connected.
[17:58:01]	Dilly_ loaded the character 'Carson Copper'
[17:58:18]	[OOC] Carson Copper: ooga le booga I is le present 
[17:58:47]	AtlasGuns88 loaded the character 'Raymon Kalachya'
[17:58:55]	[OOC] Raymon Kalachya: Howdy
[17:59:06]	[OOC] Carson Copper: eyyo
[17:59:14]	Raymon Kalachya opened the '' #2080 container.
[17:59:17]	Raymon Kalachya closed the '' #2080 container.
[17:59:18]	Raymon Kalachya opened the '' #2080 container.
[17:59:20]	Raymon Kalachya closed the '' #2080 container.
[17:59:33]	[OOC] Raymon Kalachya: I need logistics. *Sadness*
[17:59:50]	Carson Copper opened the '' #1244 container.
[17:59:51]	Carson Copper closed the '' #1244 container.
[17:59:52]	Carson Copper opened the '' #1246 container.
[17:59:53]	Carson Copper closed the '' #1246 container.
[17:59:55]	Carson Copper opened the '' #1247 container.
[17:59:56]	Carson Copper closed the '' #1247 container.
[18:14:42]	Dilly_ loaded the character 'Crimson'
[18:17:32]	Emily Brown ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#19614)
[18:17:59]	Crimson has taken 5 damage from npc_antlion.
[18:17:59]	npc_antlion has killed Crimson.
[18:18:25]	[OOC] Crimson: Antlions are not to be reckoned with oh my
[18:18:52]	[OOC] Emily Brown: are they deez nutzin
[18:19:17]	Emily Brown opened the '' #1341 container.
[18:19:17]	Emily Brown closed the '' #1341 container.
[18:19:19]	Emily Brown opened the '' #1341 container.
[18:19:29]	Emily Brown closed the '' #1341 container.
[18:29:55]	FB|| light ROOM has connected.
[18:30:37]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[18:30:43]	[OOC] CCA.C08-QrM.98240: Yo, what up.
[18:30:47]	CCA.C08-QrM.98240 ran 'take' on item 'UU Brand Chips' (#20440)
[18:30:47]	CCA.C08-QrM.98240 has gained a 'UU Brand Chips' #20440.
[18:30:57]	[OOC] Raymon Kalachya: Da barren and dusty sky 
[18:31:06]	DRD has connected.
[18:31:06]	[OOC] Emily Brown: da lightroom
[18:31:14]	[OOC] CCA.C08-QrM.98240: Yes, it is I.
[18:31:19]	[OOC] CCA.C08-QrM.98240: The Lightroom himself.
[18:31:24]	[OOC] Emily Brown: da lightroom gaming
[18:31:30]	[OOC] CCA.C08-QrM.98240: Truly
[18:31:40]	Emily Brown ran 'take' on item 'Combine Compound' (#18748)
[18:31:40]	Emily Brown has gained a 'Combine Compound' #18748.
[18:31:42]	Emily Brown ran 'take' on item 'Combine Compound' (#18749)
[18:31:42]	Emily Brown has gained a 'Combine Compound' #18749.
[18:31:43]	Emily Brown ran 'take' on item 'Combine Compound' (#18750)
[18:31:43]	Emily Brown has gained a 'Combine Compound' #18750.
[18:31:44]	Emily Brown ran 'take' on item 'Combine Compound' (#18751)
[18:31:44]	Emily Brown has gained a 'Combine Compound' #18751.
[18:31:45]	Emily Brown ran 'take' on item 'Combine Compound' (#18752)
[18:31:45]	Emily Brown has gained a 'Combine Compound' #18752.
[18:31:50]	CCA.C08-QrM.98240 used the 'Ration Supply' vendor.
[18:32:00]	CCA.C08-QrM.98240 destroyed a 'Citizen Filter' #20333.
[18:32:08]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[18:32:14]	CCA.C08-QrM.98240 opened the '' #971 container.
[18:32:17]	CCA.C08-QrM.98240 ran 'Consume' on item 'UU Brand Absinthe' (#20395)
[18:32:20]	CCA.C08-QrM.98240 closed the '' #971 container.
[18:32:22]	CCA.C08-QrM.98240 ran 'take' on item 'Empty Glass Bottle' (#20444)
[18:32:22]	CCA.C08-QrM.98240 has gained a 'Empty Glass Bottle' #20444.
[18:32:23]	CCA.C08-QrM.98240 opened the '' #971 container.
[18:32:29]	CCA.C08-QrM.98240 closed the '' #971 container.
[18:32:48]	DRD loaded the character 'CCA.C08-GRID.i1.23710'
[18:32:56]	CCA.C08-GRID.i1.23710 entered observer.
[18:33:12]	CCA.C08-GRID.i1.23710 exited observer at their location.
[18:33:13]	CCA.C08-GRID.i1.23710 entered observer.
[18:33:14]	CCA.C08-GRID.i1.23710 exited observer at their location.
[18:33:16]	[OOC] CCA.C08-GRID.i1.23710: : )
[18:33:19]	[OOC] CCA.C08-QrM.98240: No
[18:33:57]	CCA.C08-QrM.98240 used command '/Radio QrM.98240 moving to the ration terminal, be ready for a ration cycle.'.
[18:34:07]	CCA.C08-GRID.i1.23710 used command '/Radio Unit is 10-8- 10-9?'.
[18:34:11]	CCA.C08-QrM.98240 used command '/Radio QrM.98240 moving to the ration terminal, be ready for a ration cycle.'.
[18:34:17]	[OOC] CCA.C08-GRID.i1.23710: [*CH1*] CCA.C08-QrM.98240 radios in: "<:: ---.----- m----- -- th- r----- --------, b- ----- --- - r----- cy---. ::>"
[18:34:20]	[OOC] CCA.C08-QrM.98240: Nice
[18:34:26]	CCA.C08-GRID.i1.23710 used command '/Radio Copy.'.
[18:34:29]	CCA.C08-GRID.i1.23710 entered observer.
[18:34:37]	CCA.C08-GRID.i1.23710 exited observer at their location.
[18:34:52]	[LOOC] CCA.C08-QrM.98240: FUCK
[18:35:07]	CCA.C08-GRID.i1.23710 entered observer.
[18:35:16]	DRD loaded the character 'Wilm Hosenfeld'
[18:35:22]	DRD (STEAM_0:0:193599766) has disconnected.
[18:35:25]	[OOC] CCA.C08-QrM.98240: DRD is rejoining
[18:35:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[18:35:40]	[OOC] CCA.C08-QrM.98240: Also come get your rations fuckheads
[18:35:45]	CCA.C08-QrM.98240 used command '/ViewObjectives'.
[18:38:12]	[OOC] CCA.C08-QrM.98240: Sector QrM when?
[18:38:17]	[OOC] Emily Brown: i dont have ur radio messages
[18:38:21]	[OOC] Emily Brown: oh yea
[18:38:23]	[OOC] CCA.C08-QrM.98240: Correct
[18:38:24]	[OOC] Emily Brown: im on a citizen
[18:38:27]	[OOC] Emily Brown: wtf am i an idiot
[18:38:30]	[OOC] CCA.C08-QrM.98240: Also, Sector QrM when?
[18:38:46]	[OOC] CCA.C08-QrM.98240: That is my next goal.
[18:39:06]	[OOC] CCA.C08-QrM.98240: Right now its impossible to get promoted as a QrM but the rank of Sector QrM is canon so I will strive for it.
[18:40:19]	[OOC] CCA.C08-QrM.98240: Nobody is coming for rations ;-;
[18:40:22]	[OOC] Emily Brown: qrm is above sectorial commander
[18:40:26]	[OOC] CCA.C08-QrM.98240: I agree
[18:40:36]	[OOC] Emily Brown: in the cca ranking structure
[18:40:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[18:40:46]	[OOC] Emily Brown: (true info)
[18:41:20]	[ME] Emily Brown: would shuffle through her pockets, reading off her card
[18:41:23]	Emily Brown used command '/Apply'.
[18:41:29]	CCA.C08-QrM.98240 used command '/ViewData Emily'.
[18:42:05]	[ME] CCA.C08-QrM.98240: Would take out a PDA and start typing onto it, scrolling through what looks to be a manual of some kind.
[18:42:06]	[LOOC] CCA.C08-QrM.98240: hehe
[18:42:10]	[LOOC] Emily Brown: i was legit purple loyalist in
[18:42:13]	[LOOC] Emily Brown: city 14
[18:42:23]	[LOOC] Emily Brown: but when i joined back the server they only gave me 40 points back
[18:42:27]	DRD has connected.
[18:42:49]	CCA.C08-QrM.98240 used the 'Ration Supply' vendor.
[18:42:51]	CCA.C08-QrM.98240 has gained 0 tokens.
[18:42:51]	CCA.C08-QrM.98240 has gained a 'Priority Grade Ration' #20445.
[18:42:52]	CCA.C08-QrM.98240 has gained 0 tokens.
[18:43:05]	[ME] Emily Brown: would pick up the standard grade ration
[18:43:06]	Emily Brown ran 'take' on item 'Standard Grade Ration' (#20446)
[18:43:06]	Emily Brown has gained a 'Standard Grade Ration' #20446.
[18:43:08]	CCA.C08-QrM.98240 ran 'drop' on item 'Priority Grade Ration' (#20445)
[18:43:08]	CCA.C08-QrM.98240 has lost a 'Priority Grade Ration' #20445.
[18:43:16]	[ME] Emily Brown: would pick up the yellow-coloured packet
[18:43:17]	Emily Brown ran 'take' on item 'Priority Grade Ration' (#20445)
[18:43:17]	Emily Brown has gained a 'Priority Grade Ration' #20445.
[18:43:35]	[ME] Emily Brown: would raise her hand in a sort of salute, before pivoting on her heel and walking away
[18:44:06]	DRD loaded the character 'Wilm Hosenfeld'
[18:44:10]	Wilm Hosenfeld entered observer.
[18:44:16]	Wilm Hosenfeld used command '/CharKick anne'.
[18:44:25]	Wilm Hosenfeld exited observer at their location.
[18:44:28]	CCA.C08-QrM.98240 ran 'Consume' on item 'UU Brand Chips' (#20440)
[18:44:35]	Wilm Hosenfeld ran 'Equip' on item 'Respirator' (#20069)
[18:44:41]	Wilm Hosenfeld used command '/Apply'.
[18:44:44]	CCA.C08-QrM.98240 used command '/ViewData Wilm'.
[18:44:46]	CCA.C08-QrM.98240 used the 'Ration Supply' vendor.
[18:44:48]	CCA.C08-QrM.98240 has gained 0 tokens.
[18:44:48]	CCA.C08-QrM.98240 has gained a 'Standard Grade Ration' #20447.
[18:44:51]	CCA.C08-QrM.98240 ran 'drop' on item 'Standard Grade Ration' (#20447)
[18:44:51]	CCA.C08-QrM.98240 has lost a 'Standard Grade Ration' #20447.
[18:45:02]	Wilm Hosenfeld ran 'take' on item 'Standard Grade Ration' (#20447)
[18:45:02]	Wilm Hosenfeld has gained a 'Standard Grade Ration' #20447.
[18:45:25]	Wilm Hosenfeld has taken 450 damage from CCA.C08-QrM.98240.
[18:45:25]	CCA.C08-QrM.98240 has killed Wilm Hosenfeld with weapon_357.
[18:45:28]	Wilm Hosenfeld entered observer.
[18:45:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[18:46:05]	Wilm Hosenfeld has spawned 'models/props_c17/FurnitureChair001a.mdl'.
[18:46:06]	Wilm Hosenfeld exited observer at their location.
[18:46:30]	Wilm Hosenfeld entered observer.
[18:46:47]	Wilm Hosenfeld opened the '' #971 container.
[18:46:55]	Wilm Hosenfeld closed the '' #971 container.
[18:47:00]	Emily Brown ran 'Open' on item 'Priority Grade Ration' (#20445)
[18:47:00]	Emily Brown has gained a 'Priority Grade Citizen Food Product' #20448.
[18:47:00]	Emily Brown has gained a 'Sparkling Consulate Water' #20449.
[18:47:00]	Emily Brown has gained a 'Citizen Filter' #20450.
[18:47:00]	Emily Brown has gained 20 tokens.
[18:47:01]	Emily Brown ran 'Open' on item 'Standard Grade Ration' (#20446)
[18:47:01]	Emily Brown has gained a 'Standard Grade Citizen Food Product' #20451.
[18:47:01]	Emily Brown has gained a 'Consulate Water' #20452.
[18:47:01]	Emily Brown has gained 10 tokens.
[18:47:04]	Emily Brown ran 'Consume' on item 'Consulate Water' (#20452)
[18:47:05]	[OOC] Wilm Hosenfeld: hello
[18:47:05]	Emily Brown ran 'Consume' on item 'Sparkling Consulate Water' (#19418)
[18:47:10]	[OOC] CCA.C08-QrM.98240: Yes, hello.
[18:47:20]	Wilm Hosenfeld exited observer at their location.
[18:47:21]	Wilm Hosenfeld entered observer.
[18:47:22]	Wilm Hosenfeld exited observer at their location.
[18:47:27]	CCA.C08-QrM.98240 opened the '' #971 container.
[18:47:30]	Wilm Hosenfeld used command '/PM emily come give me tokens'.
[18:47:30]	CCA.C08-QrM.98240 has gained a 'Zip Tie' #14398.
[18:47:31]	Wilm Hosenfeld entered observer.
[18:47:32]	CCA.C08-QrM.98240 closed the '' #971 container.
[18:47:33]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[18:47:35]	CCA.C08-QrM.98240 has gained 0 tokens.
[18:47:36]	Emily Brown used command '/PM wilm k'.
[18:47:39]	Wilm Hosenfeld exited observer at their location.
[18:47:39]	Wilm Hosenfeld entered observer.
[18:47:40]	Wilm Hosenfeld exited observer at their location.
[18:47:51]	CCA.C08-QrM.98240 ran 'Equip' on item 'Combat Knife' (#20367)
[18:48:09]	[OOC] Wilm Hosenfeld: glory to the onion
[18:48:14]	[LOOC] Emily Brown: sup noob
[18:48:15]	[OOC] CCA.C08-QrM.98240: I agree
[18:48:20]	[LOOC] Emily Brown: /me pees on counter
[18:48:23]	[LOOC] Wilm Hosenfeld: whats up give me your money
[18:48:36]	Wilm Hosenfeld used the 'Supply Fridge' vendor.
[18:48:37]	[ME] CCA.C08-QrM.98240: Slides onto the seat.
[18:48:42]	Wilm Hosenfeld has gained 0 tokens.
[18:48:42]	Wilm Hosenfeld has gained a 'UU Brand Absinthe' #20452.
