[11:10:44]	NamRm has connected.
[11:27:16]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:16]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:16]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:17]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:17]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:17]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:17]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:17]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:17]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:17]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:17]	CCA.C17-UNION.SqL.72633 has killed CCA.C17-GRID.i2.36307 with weapon_smg1.
[11:27:21]	[ME] Andre Black: loots
[11:27:28]	[LOOC] CCA.C17-UNION.SqL.72633: Lmao
[11:27:32]	[IT] CCA.C17-UNION.SqL.72633: You recieve jackshit
[11:27:33]	[LOOC] Andre Black: give me guns now
[11:27:37]	[LOOC] CCA.C17-UNION.SqL.72633: No
[11:27:40]	[LOOC] Andre Black: yes i looted
[11:28:36]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[11:28:39]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[11:28:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[11:28:46]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[11:28:49]	CCA.C17-GRID.i2.36307 has taken 500 damage from CCA.C17-GRID.i2.36307.
[11:28:49]	CCA.C17-GRID.i2.36307 has killed CCA.C17-GRID.i2.36307.
[11:28:50]	[LOOC] Andre Black: wait did you donate
[11:28:53]	[LOOC] Andre Black: nice
[11:28:56]	[OOC] CCA.C17-GRID.i2.36307: yes
[11:29:00]	[OOC] CCA.C17-UNION.SqL.72633: Cringe
[11:29:02]	CCA.C17-GRID.i2.36307 used the 'Armory' vendor.
[11:29:06]	CCA.C17-GRID.i2.36307 has gained 0 tokens.
[11:29:06]	CCA.C17-GRID.i2.36307 has gained a '9mm Pistol Magazine' #36211.
[11:29:07]	CCA.C17-GRID.i2.36307 has gained 0 tokens.
[11:29:07]	CCA.C17-GRID.i2.36307 has gained a '9mm Pistol Magazine' #36212.
[11:29:07]	CCA.C17-GRID.i2.36307 has gained 0 tokens.
[11:29:07]	CCA.C17-GRID.i2.36307 has gained a '9mm Pistol Magazine' #36213.
[11:29:08]	CCA.C17-GRID.i2.36307 has gained 0 tokens.
[11:29:08]	CCA.C17-GRID.i2.36307 has gained a '9mm Pistol Magazine' #36214.
[11:29:12]	CCA.C17-GRID.i2.36307 has gained 0 tokens.
[11:29:12]	CCA.C17-GRID.i2.36307 has gained a '4.6x30 Rounds' #36215.
[11:29:12]	CCA.C17-GRID.i2.36307 has gained 0 tokens.
[11:29:12]	CCA.C17-GRID.i2.36307 has gained a '4.6x30 Rounds' #36216.
[11:29:12]	CCA.C17-GRID.i2.36307 has gained 0 tokens.
[11:29:12]	CCA.C17-GRID.i2.36307 has gained a '4.6x30 Rounds' #36217.
[11:29:13]	CCA.C17-GRID.i2.36307 has gained 0 tokens.
[11:29:13]	CCA.C17-GRID.i2.36307 has gained a '4.6x30 Rounds' #36218.
[11:29:47]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[11:29:57]	matt saton has connected.
[11:30:02]	[OOC] CCA.C17-UNION.SqL.72633: Chicken do be joining
[11:30:06]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[11:31:49]	[OOC] Andre Black: is combine control just dead now?
[11:31:56]	[OOC] CCA.C17-UNION.SqL.72633: What is Combine control?
[11:32:01]	[OOC] Andre Black: fr?
[11:32:13]	[OOC] CCA.C17-UNION.SqL.72633: I don't really know what that is.
[11:32:21]	[OOC] CCA.C17-UNION.SqL.72633: I've heard of it, but not much about it.
[11:32:37]	[OOC] Andre Black: Its just another hl2rp gamemode
[11:32:42]	[OOC] CCA.C17-UNION.SqL.72633: Ah, is it good?
[11:32:50]	[OOC] Andre Black: Was cool to be on
[11:32:53]	[OOC] Andre Black: looks dead now
[11:33:09]	[OOC] CCA.C17-UNION.SqL.72633: Yeah, Helix from what I can tell is one of the best gamemodes for HL2RP.
[11:33:17]	[OOC] Andre Black: Yup
[11:33:34]	[OOC] CCA.C17-UNION.SqL.72633: bruh, on another topic.....we need sub-divisions.
[11:34:00]	[OOC] CCA.C17-UNION.SqL.72633: Actually, let me rephrase, we don't NEED sub-divisions but they are cool as fuck.
[11:34:14]	[OOC] Andre Black: Why'd they be useful?
[11:34:33]	Chicken has connected.
[11:34:47]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[11:34:49]	Andre Black ran 'Consume' on item 'UU-Brand Chips' (#35694)
[11:34:51]	[OOC] CCA.C17-UNION.SqL.72633: They can focus in on a very certain thing, like riot control for UNION or a research sub-division for HELIX.
[11:35:02]	[OOC] CCA.C17-UNION.SqL.72633: Shit like that is cool.
[11:35:06]	[OOC] Andre Black: i see
[11:35:06]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[11:35:09]	[OOC] CCA.C17-GRID.i2.36307: OK
[11:35:12]	[OOC] CCA.C17-GRID.i2.36307: im back
[11:35:14]	[OOC] CCA.C17-UNION.SqL.72633: Cringe
[11:35:17]	CCA.C17-GRID.i2.36307 used the 'Armory' vendor.
[11:35:24]	CCA.C17-GRID.i2.36307 ran 'drop' on item '4.6x30 Rounds' (#36218)
[11:35:24]	CCA.C17-GRID.i2.36307 has lost a '4.6x30 Rounds' #36218.
[11:35:26]	CCA.C17-GRID.i2.36307 used the 'Armory' vendor.
[11:35:30]	CCA.C17-GRID.i2.36307 has gained 0 tokens.
[11:35:30]	CCA.C17-GRID.i2.36307 has gained a '4.6x30 Rounds' #36219.
[11:35:32]	Chicken loaded the character 'Sandra Remez'
[11:35:35]	CCA.C17-GRID.i2.36307 ran 'use' on item '4.6x30 Rounds' (#36215)
[11:35:36]	CCA.C17-GRID.i2.36307 ran 'use' on item '4.6x30 Rounds' (#36216)
[11:35:37]	CCA.C17-GRID.i2.36307 ran 'use' on item '4.6x30 Rounds' (#36217)
[11:35:37]	[OOC] CCA.C17-UNION.SqL.72633: IC hours
[11:35:38]	CCA.C17-GRID.i2.36307 ran 'use' on item '4.6x30 Rounds' (#36219)
[11:35:41]	CCA.C17-GRID.i2.36307 ran 'use' on item '9mm Pistol Magazine' (#36214)
[11:35:42]	CCA.C17-GRID.i2.36307 ran 'use' on item '9mm Pistol Magazine' (#36211)
[11:35:43]	CCA.C17-GRID.i2.36307 ran 'use' on item '9mm Pistol Magazine' (#36212)
[11:35:44]	CCA.C17-GRID.i2.36307 ran 'use' on item '9mm Pistol Magazine' (#36213)
[11:35:47]	[OOC] Andre Black: too bad there's a small pop on this server so nothing happens to need those sub divisions
[11:36:03]	[OOC] CCA.C17-UNION.SqL.72633: True, we're trying to get more people on.
[11:36:11]	matt saton loaded the character 'Ryan Marnett'
[11:36:14]	CCA.C17-UNION.SqL.72633 used command '/ViewData Sandra'.
[11:36:16]	Ryan Marnett entered observer.
[11:36:17]	[OOC] Ryan Marnett: howdh
[11:36:20]	[OOC] Ryan Marnett: brb lunch
[11:36:29]	[OOC] Andre Black: that was fast
[11:36:32]	[OOC] Sandra Remez: 5 hour afk
[11:36:34]	[OOC] CCA.C17-UNION.SqL.72633: He's gonna be AFK for like 10 hours
[11:36:54]	[OOC] CCA.C17-GRID.i2.36307: time dilation
[11:37:02]	[OOC] CCA.C17-GRID.i2.36307: time is s;pwer for us
[11:37:05]	[OOC] CCA.C17-GRID.i2.36307: slower
[11:37:10]	[OOC] CCA.C17-GRID.i2.36307: q goes in light speed
[11:37:17]	CCA.C17-UNION.SqL.72633 used command '/Radio GRID, get to the workdesk at 10-20 Plaza.'.
[11:37:18]	[OOC] CCA.C17-GRID.i2.36307: faster than light, rather
[11:37:28]	CCA.C17-GRID.i2.36307 used command '/Radio Copy.'.
[11:37:31]	[OOC] Ryan Marnett: i am as fast if not as fast than ur mom
[11:37:44]	[OOC] CCA.C17-GRID.i2.36307: q are you FTL
[11:38:06]	[OOC] Ryan Marnett: yes i am ftl faster than light
[11:38:18]	[OOC] CCA.C17-GRID.i2.36307: thats why it takes him so long to eat
[11:38:29]	[OOC] CCA.C17-UNION.SqL.72633: Gotta go AFK for a moment.
[11:38:33]	FB|| light ROOM loaded the character 'Dustin Rory'
[11:38:55]	[ME] CCA.C17-GRID.i2.36307: pulls a packet of 5 posters out of the drawer, handing it to the woman
[11:39:05]	[ME] Sandra Remez: takes
[11:39:06]	hnbug01 has connected.
[11:39:08]	[ME] CCA.C17-GRID.i2.36307: also gives her some tape i guess
[11:39:13]	[LOOC] Andre Black: quality
[11:39:22]	[OOC] Ryan Marnett: from your perspective thoughi 'm just super fast
[11:39:31]	[OOC] CCA.C17-GRID.i2.36307: you'd be slower, no?
[11:39:35]	[ME] Sandra Remez: holds up poster and puts tape on it too keep it up
[11:39:38]	[OOC] Ryan Marnett: science
[11:39:38]	Sandra Remez rolled 22 out of 100.
[11:39:38]	Sandra Remez used command '/Roll'.
[11:39:47]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[11:39:58]	[ME] Sandra Remez: holds up poster and puts tape on it too keep it up
[11:40:02]	Sandra Remez rolled 54 out of 100.
[11:40:02]	Sandra Remez used command '/Roll'.
[11:40:14]	[ME] CCA.C17-GRID.i2.36307: places a bucket of brownish-red water onto the desk, with a rag submerged in the water
[11:40:17]	hnbug01 loaded the character 'Jamal White'
[11:40:51]	[ME] Sandra Remez: holds up poster and puts tape on it too keep it up
[11:40:54]	Sandra Remez rolled 76 out of 100.
[11:40:54]	Sandra Remez used command '/Roll'.
[11:41:34]	[ME] Andre Black: grabs the bucket.
[11:41:40]	Sandra Remez rolled 38 out of 100.
[11:41:40]	Sandra Remez used command '/Roll'.
[11:41:42]	[ME] Sandra Remez: holds up poster and puts tape on it too keep it up
[11:41:48]	Jamal White ran 'drop' on item 'Dead Bird' (#31099)
[11:41:48]	Jamal White has lost a 'Dead Bird' #31099.
[11:42:20]	[ME] Sandra Remez: holds up poster and puts tape on it too keep it up
[11:42:27]	Sandra Remez rolled 100 out of 100.
[11:42:27]	Sandra Remez used command '/Roll'.
[11:42:50]	Jamal White ran 'take' on item 'Dead Bird' (#31099)
[11:42:50]	Jamal White has gained a 'Dead Bird' #31099.
[11:43:01]	[ME] Andre Black: sets the bucket down next to the wall. He picks up the rag with both hands, pressing it against the wall in an up and down motion. He would dip the rag back in and move to a different part of the wall.
[11:43:06]	[ME] Sandra Remez: places down remaing tape on the table
[11:43:09]	Sandra Remez used command '/Apply'.
[11:43:16]	[ME] Andre Black: picks the bucket up, throwing it into the rag.
[11:43:17]	[ME] CCA.C17-GRID.i2.36307: takes the tape, putting it back in the drawer
[11:43:20]	CCA.C17-GRID.i2.36307 used command '/ViewData sand'.
[11:44:27]	CCA.C17-GRID.i2.36307 used command '/ViewData sand'.
[11:44:30]	[ME] Andre Black: sets the bucket onto the table.
[11:44:37]	FB|| light ROOM loaded the character 'CCA.C17-UNION.SqL.72633'
[11:44:37]	CCA.C17-GRID.i2.36307 ran 'Equip' on item 'MP7' (#35509)
[11:44:38]	CCA.C17-GRID.i2.36307 ran 'Equip' on item '.9mm Pistol' (#35504)
[11:44:47]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[11:44:56]	CCA.C17-UNION.SqL.72633 used command '/Radio SqL.72633 reporting: unit is 10-8, status is green.'.
[11:45:08]	[OOC] CCA.C17-GRID.i2.36307: q why
[11:45:08]	[OOC] CCA.C17-UNION.SqL.72633: Who authorized a ration cycle Q?
[11:45:13]	[OOC] Ryan Marnett: me
[11:45:16]	[OOC] CCA.C17-UNION.SqL.72633: Cringe
[11:45:17]	[OOC] Sandra Remez: bruh
[11:45:20]	Jamal White used the 'Paper Stash' vendor.
[11:45:22]	Jamal White has lost 2 tokens.
[11:45:22]	Jamal White has gained a 'Notepad' #36219.
[11:45:22]	[OOC] Sandra Remez: based and cringe
[11:45:25]	Jamal White ran 'Edit' on item 'Notepad' (#36219)
[11:45:37]	[ME] CCA.C17-GRID.i2.36307: takes the bucket, putting it under the desk
[11:45:41]	Jamal White ran 'drop' on item 'Notepad' (#36219)
[11:45:41]	Jamal White has lost a 'Notepad' #36219.
[11:45:41]	Andre Black used command '/Apply'.
[11:45:45]	CCA.C17-GRID.i2.36307 used command '/ViewData andre'.
[11:46:05]	CCA.C17-GRID.i2.36307 used command '/ViewData sandra'.
[11:46:38]	CCA.C17-GRID.i2.36307 used command '/ViewData andre'.
[11:46:50]	CCA.C17-UNION.SqL.72633 used the 'Ration dispenser' vendor.
[11:46:52]	CCA.C17-UNION.SqL.72633 has gained 0 tokens.
[11:46:52]	CCA.C17-UNION.SqL.72633 has gained a 'Standard Grade Ration' #36220.
[11:46:53]	CCA.C17-UNION.SqL.72633 has gained 0 tokens.
[11:46:53]	CCA.C17-UNION.SqL.72633 has gained a 'Standard Grade Ration' #36221.
[11:46:53]	CCA.C17-UNION.SqL.72633 has gained 0 tokens.
[11:46:53]	CCA.C17-UNION.SqL.72633 has gained a 'Standard Grade Ration' #36222.
[11:46:54]	CCA.C17-UNION.SqL.72633 has gained 0 tokens.
[11:46:54]	CCA.C17-UNION.SqL.72633 has gained a 'Loyalist Grade Ration' #36223.
[11:46:55]	CCA.C17-UNION.SqL.72633 has gained 0 tokens.
[11:46:55]	CCA.C17-UNION.SqL.72633 has gained a 'Loyalist Grade Ration' #36224.
[11:47:00]	Ryan Marnett used command '/PM sandra who'.
[11:47:11]	Sandra Remez used command '/PM ryan jamal white'.
[11:47:12]	Ryan Marnett exited observer at their location.
[11:47:12]	Ryan Marnett entered observer.
[11:47:15]	Sandra Remez used command '/Apply'.
[11:47:19]	CCA.C17-UNION.SqL.72633 used command '/ViewData Sandra'.
[11:47:23]	Ryan Marnett used command '/PM sandra okay'.
[11:47:24]	CCA.C17-UNION.SqL.72633 ran 'drop' on item 'Standard Grade Ration' (#36222)
[11:47:24]	CCA.C17-UNION.SqL.72633 has lost a 'Standard Grade Ration' #36222.
[11:47:29]	Sandra Remez ran 'take' on item 'Standard Grade Ration' (#36222)
[11:47:29]	Sandra Remez has gained a 'Standard Grade Ration' #36222.
[11:47:34]	Jamal White used command '/Apply'.
[11:47:37]	Sandra Remez ran 'Open' on item 'Standard Grade Ration' (#36222)
[11:47:37]	Sandra Remez has gained a 'Standard Grade Citizen Food Product' #36225.
[11:47:37]	Sandra Remez has gained a 'Standard Grade Citizen Supplements' #36226.
[11:47:37]	Sandra Remez has gained a 'Breen's Water' #36227.
[11:47:37]	Sandra Remez has gained 20 tokens.
[11:47:40]	CCA.C17-UNION.SqL.72633 used command '/ViewData Jamal'.
[11:47:42]	Sandra Remez used the 'Paper Stash' vendor.
[11:47:44]	Sandra Remez has lost 2 tokens.
[11:47:44]	Sandra Remez has gained a 'Notepad' #36228.
[11:47:48]	Sandra Remez ran 'Edit' on item 'Notepad' (#36228)
[11:47:48]	CCA.C17-UNION.SqL.72633 used command '/ViewData jamal'.
[11:47:56]	CCA.C17-UNION.SqL.72633 ran 'drop' on item 'Standard Grade Ration' (#36220)
[11:47:56]	CCA.C17-UNION.SqL.72633 has lost a 'Standard Grade Ration' #36220.
[11:47:57]	CCA.C17-GRID.i2.36307 used command '/ViewData jamal'.
[11:48:00]	Jamal White ran 'take' on item 'Standard Grade Ration' (#36220)
[11:48:00]	Jamal White has gained a 'Standard Grade Ration' #36220.
[11:48:16]	Andre Black used command '/Apply'.
[11:48:21]	CCA.C17-UNION.SqL.72633 used command '/ViewData Andre'.
[11:48:25]	CCA.C17-UNION.SqL.72633 ran 'drop' on item 'Standard Grade Ration' (#36221)
[11:48:25]	CCA.C17-UNION.SqL.72633 has lost a 'Standard Grade Ration' #36221.
[11:48:30]	Andre Black ran 'take' on item 'Standard Grade Ration' (#36221)
[11:48:30]	Andre Black has gained a 'Standard Grade Ration' #36221.
[11:48:43]	Andre Black ran 'Open' on item 'Standard Grade Ration' (#36221)
[11:48:43]	Andre Black has gained a 'Standard Grade Citizen Food Product' #36229.
[11:48:43]	Andre Black has gained a 'Standard Grade Citizen Supplements' #36230.
[11:48:43]	Andre Black has gained a 'Breen's Water' #36231.
[11:48:43]	Andre Black has gained 20 tokens.
[11:48:50]	Andre Black ran 'Consume' on item 'Breen's Water' (#36231)
[11:49:03]	Sandra Remez ran 'drop' on item 'Notepad' (#36228)
[11:49:03]	Sandra Remez has lost a 'Notepad' #36228.
[11:49:16]	[OOC] CCA.C17-GRID.i2.36307: CaveCast????
[11:49:31]	CCA.C17-UNION.SqL.72633 used command '/Radio Your move GRID.'.
[11:49:37]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[11:49:47]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[11:50:11]	Ryan Marnett ran 'View' on item 'Notepad' (#36228)
[11:50:31]	CCA.C17-UNION.SqL.72633 used command '/Radio Ending the ration cycle.'.
[11:50:49]	Jamal White ran 'Open' on item 'Standard Grade Ration' (#36220)
[11:50:49]	Jamal White has gained a 'Standard Grade Citizen Food Product' #36231.
[11:50:49]	Jamal White has gained a 'Standard Grade Citizen Supplements' #36232.
[11:50:49]	Jamal White has gained a 'Breen's Water' #36233.
[11:50:49]	Jamal White has gained 20 tokens.
[11:50:54]	[ME] Jamal White: opens his packet of rations
[11:51:09]	[OOC] Jamal White: do you do IC apps
[11:51:13]	[OOC] Ryan Marnett: We do! :)
[11:51:14]	[OOC] CCA.C17-GRID.i2.36307: for what
[11:51:17]	[OOC] Sandra Remez: yes
[11:51:25]	[OOC] CCA.C17-GRID.i2.36307: for cca its forums and i hate it
[11:51:25]	[OOC] Ryan Marnett: well, for CCA and CWU
[11:51:27]	Ryan Marnett used command '/DoorSetHidden true'.
[11:51:39]	[OOC] Ryan Marnett: apps for CCA are IC too, you just still need the LP bruv
[11:51:47]	[OOC] Andre Black: is it 5?
[11:51:50]	[OOC] Ryan Marnett: 10
[11:51:53]	[OOC] Andre Black: bruh
[11:51:59]	[OOC] Sandra Remez: it used to be 15
[11:52:03]	[OOC] Ryan Marnett: ^
[11:52:08]	[ME] Jamal White: rolls his eyes and faces the wall.
[11:52:21]	[ME] CCA.C17-GRID.i2.36307: motions for the other citizen to get out of here
[11:52:28]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[11:52:29]	[LOOC] Ryan Marnett: Hey, I need you not to say the n word.
[11:52:36]	[LOOC] Jamal White: i'm black
[11:52:49]	[ME] CCA.C17-GRID.i2.36307: flicks the stunstick on low
[11:52:56]	[LOOC] Jamal White: dafuq
[11:53:02]	[LOOC] Ryan Marnett: We have no way of knowing that, please don't.
[11:53:16]	[LOOC] CCA.C17-GRID.i2.36307: you gonna fight back or anything or do you just want me to b o n k
[11:53:23]	[LOOC] Jamal White: go ahead
[11:53:26]	[LOOC] CCA.C17-GRID.i2.36307: kk
[11:53:36]	[ME] CCA.C17-GRID.i2.36307: whacks the citizen 3 times on low
[11:53:37]	Jamal White has taken 5 damage from CCA.C17-GRID.i2.36307.
[11:53:40]	[LOOC] CCA.C17-GRID.i2.36307: bonk
[11:53:41]	Jamal White has taken 5 damage from CCA.C17-GRID.i2.36307.
[11:53:42]	[LOOC] CCA.C17-GRID.i2.36307: bonk
[11:53:44]	Jamal White has taken 5 damage from CCA.C17-GRID.i2.36307.
[11:53:46]	[LOOC] CCA.C17-GRID.i2.36307: bonk
[11:53:47]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[11:54:02]	[ME] CCA.C17-UNION.SqL.72633: Reaches under the desk and pulls out a crate filled with various types of canned water bullshit.
[11:54:13]	[ME] CCA.C17-UNION.SqL.72633: Places it down onto the desk and tosses a key at the civvie.
[11:54:24]	[LOOC] CCA.C17-UNION.SqL.72633: I'll put it down for OOC sakes
[11:54:26]	Jamal White used the 'General Store Vendor' vendor.
[11:54:28]	CCA.C17-UNION.SqL.72633 has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[11:54:30]	[ME] Andre Black: catches the keys.
[11:54:31]	[LOOC] CCA.C17-GRID.i2.36307: why is there just a tiny square of missing textures
[11:54:35]	Jamal White has lost 6 tokens.
[11:54:35]	Jamal White has gained a 'Sweatpants' #36234.
[11:54:36]	Jamal White has lost 7 tokens.
[11:54:36]	Jamal White has gained a 'Green Shirt' #36235.
[11:54:37]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[11:54:40]	Jamal White has lost 5 tokens.
[11:54:40]	Jamal White has gained a 'Green Beanie' #36236.
[11:54:41]	[OOC] CCA.C17-GRID.i2.36307: why is there just a tiny square of missing textures
[11:54:47]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[11:54:48]	[OOC] Sandra Remez: idk
[11:54:54]	[OOC] Ryan Marnett: hold on where at
[11:54:57]	[OOC] CCA.C17-GRID.i2.36307: come to me
[11:55:07]	[LOOC] Ryan Marnett: no idea why
[11:55:17]	[LOOC] CCA.C17-GRID.i2.36307: i see them on a lot of maps
[11:55:18]	Jamal White ran 'Equip' on item 'Green Beanie' (#36236)
[11:55:19]	Jamal White ran 'Equip' on item 'Sweatpants' (#36234)
[11:55:19]	Jamal White ran 'Equip' on item 'Green Shirt' (#36235)
[11:55:29]	[LOOC] CCA.C17-UNION.SqL.72633: Code for: do a OOC application.
[11:55:36]	[LOOC] CCA.C17-UNION.SqL.72633: Or wait for IC apps
[11:56:00]	[Y] CCA.C17-UNION.SqL.72633: <:: Stop bickering! ::>
[11:56:01]	[ME] Andre Black: grabs the crate, saying, "See you later."
[11:56:36]	[ME] CCA.C17-UNION.SqL.72633: Reaches under the desk and takes out a stack of posters (five in total to be specific) with a roll of tape.
[11:56:46]	[ME] Sandra Remez: takes items
[11:57:31]	[ME] Andre Black: sets the crate down. He puts the key in the lock and opens the door. He places the cans in the correct order. He then closes the door, locking it. He picks the crate back up.
[11:57:46]	[ME] Sandra Remez: holds up poster and puts tape on it too keep it up
[11:57:48]	Sandra Remez rolled 48 out of 100.
[11:57:48]	Sandra Remez used command '/Roll'.
[11:58:07]	[ME] Sandra Remez: holds up poster and puts tape on it too keep it up
[11:58:54]	[ME] Sandra Remez: holds up poster and puts tape on it too keep it up
[11:59:37]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[11:59:47]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[11:59:54]	[ME] Andre Black: sets down the crate.
[12:00:07]	[ME] Andre Black: tosses the keys.
[12:00:18]	[ME] CCA.C17-UNION.SqL.72633: Catches the keys and places them into his pocket.
[12:00:30]	Andre Black used command '/Apply'.
[12:00:35]	CCA.C17-UNION.SqL.72633 used command '/ViewData Andre'.
[12:00:48]	matt saton loaded the character 'CCA.C08-UNION.i3.12040'
[12:00:50]	CCA.C08-UNION.i3.12040 entered observer.
[12:01:08]	matt saton loaded the character 'Ryan Marnett'
[12:01:08]	Ryan Marnett entered observer.
[12:01:38]	[LOOC] CCA.C17-UNION.SqL.72633: Code for: search dumpsters and shit for contraband and turn it in.
[12:01:44]	[LOOC] Andre Black: nice
[12:01:59]	[ME] Sandra Remez: places remaing tape on table
[12:02:08]	Sandra Remez used command '/Apply'.
[12:02:16]	CCA.C17-UNION.SqL.72633 used command '/ViewData Sandra'.
[12:03:36]	FB|| light ROOM loaded the character 'CCA.C17-QrM.98240'
[12:03:40]	CCA.C17-QrM.98240 used the 'Armory' vendor.
[12:03:48]	CCA.C17-QrM.98240 ran 'Equip' on item 'White Loyalist Armband' (#33877)
[12:03:49]	CCA.C17-QrM.98240 ran 'EquipUn' on item 'White Loyalist Armband' (#33877)
[12:03:50]	CCA.C17-QrM.98240 ran 'drop' on item 'White Loyalist Armband' (#33877)
[12:03:50]	CCA.C17-QrM.98240 has lost a 'White Loyalist Armband' #33877.
[12:03:56]	[OOC] CCA.C17-GRID.i2.36307: afk
[12:03:56]	CCA.C17-QrM.98240 destroyed a 'White Loyalist Armband' #33877.
[12:03:57]	matt saton loaded the character 'Cave Johnson'
