[01:39:21]	japan1793 has connected.
[05:05:38]	hnbug01 (STEAM_0:1:575208276) has disconnected (timed out).
[14:52:09]	Tundra has connected.
[14:52:43]	Tundra loaded the character 'Aletta Brandy'
[14:52:56]	Aletta Brandy opened the '' #1314 container.
[14:52:58]	Aletta Brandy closed the '' #1314 container.
[14:53:48]	Aletta Brandy used command '/ToggleRaise'.
[14:53:49]	Aletta Brandy used command '/ToggleRaise'.
[14:54:37]	Aletta Brandy ran 'EquipUn' on item 'Respirator' (#20894)
[14:55:05]	Aletta Brandy used command '/CharFallOver'.
[14:55:07]	Aletta Brandy used command '/CharGetUp'.
[14:55:13]	Aletta Brandy used command '/CharGetUp'.
[14:55:43]	Aletta Brandy has taken 1 damage from worldspawn.
[14:55:44]	Aletta Brandy has taken 1 damage from worldspawn.
[14:55:45]	Aletta Brandy has taken 1 damage from worldspawn.
[14:55:45]	Aletta Brandy has taken 1 damage from worldspawn.
[14:55:49]	Aletta Brandy ran 'Equip' on item 'Respirator' (#20894)
[14:56:07]	Aletta Brandy opened the '' #1233 container.
[14:56:09]	Aletta Brandy closed the '' #1233 container.
[14:57:05]	Aletta Brandy opened the '' #1316 container.
[14:57:05]	Aletta Brandy closed the '' #1316 container.
[14:57:06]	Aletta Brandy opened the '' #1316 container.
[14:57:07]	Aletta Brandy closed the '' #1316 container.
[14:57:31]	Aletta Brandy opened the '' #1246 container.
[14:57:33]	Aletta Brandy closed the '' #1246 container.
[14:57:35]	Aletta Brandy opened the '' #1244 container.
[14:57:37]	Aletta Brandy closed the '' #1244 container.
[14:59:29]	Aletta Brandy ran 'View' on item 'Paper' (#20836)
[15:00:03]	Aletta Brandy opened the '' #966 container.
[15:00:04]	Aletta Brandy closed the '' #966 container.
[15:00:18]	Aletta Brandy opened the '' #1340 container.
[15:00:19]	Aletta Brandy closed the '' #1340 container.
[15:00:44]	Aletta Brandy used the 'Street Market' vendor.
[15:00:58]	Aletta Brandy used command '/CharFallOver'.
[15:01:05]	Aletta Brandy used command '/CharGetUp'.
[15:06:30]	Aletta Brandy has taken 5 damage from ix_container.
[15:07:13]	Aletta Brandy used command '/CharFallOver'.
[15:07:17]	Aletta Brandy used command '/CharGetUp'.
[15:07:17]	Aletta Brandy used command '/CharGetUp'.
[15:07:18]	Aletta Brandy used command '/CharGetUp'.
[15:08:14]	Aletta Brandy has taken 5 damage from ix_container.
[15:09:25]	Aletta Brandy ran 'EquipUn' on item 'Respirator' (#20894)
[15:09:33]	Aletta Brandy ran 'Equip' on item 'Respirator' (#20894)
[15:09:56]	Aletta Brandy used command '/CharFallOver'.
[15:09:58]	Aletta Brandy used command '/CharGetUp'.
[15:09:58]	Aletta Brandy used command '/CharGetUp'.
[15:09:59]	Aletta Brandy used command '/CharGetUp'.
[15:10:00]	Aletta Brandy used command '/CharGetUp'.
[15:10:00]	Aletta Brandy used command '/CharGetUp'.
[15:10:01]	Aletta Brandy used command '/CharGetUp'.
[15:10:12]	Aletta Brandy used command '/CharFallOver'.
[15:10:13]	Aletta Brandy used command '/CharGetUp'.
[15:10:14]	Aletta Brandy used command '/CharGetUp'.
[15:10:15]	Aletta Brandy used command '/CharGetUp'.
[15:10:16]	Aletta Brandy used command '/CharGetUp'.
[15:10:16]	Aletta Brandy used command '/CharGetUp'.
[15:10:17]	Aletta Brandy used command '/CharGetUp'.
[15:10:18]	Aletta Brandy used command '/CharGetUp'.
[15:12:09]	Aletta Brandy opened the '' #1245 container.
[15:12:11]	Aletta Brandy closed the '' #1245 container.
[15:13:21]	Aletta Brandy used command '/ToggleRaise'.
[15:13:33]	Aletta Brandy opened the '' #1312 container.
[15:13:36]	Aletta Brandy has gained a 'Consulate Water' #20765.
[15:13:37]	Aletta Brandy has gained a 'Empty Glass Bottle' #20694.
[15:13:37]	Aletta Brandy closed the '' #1312 container.
[15:13:45]	Aletta Brandy ran 'Equip' on item 'Empty Glass Bottle' (#20694)
[15:13:48]	Aletta Brandy used command '/ToggleRaise'.
[15:14:21]	Aletta Brandy ran 'EquipUn' on item 'Empty Glass Bottle' (#20694)
[15:14:22]	Aletta Brandy ran 'Equip' on item 'Empty Glass Bottle' (#20694)
[15:14:25]	Aletta Brandy used command '/ToggleRaise'.
[15:14:35]	Aletta Brandy ran 'EquipUn' on item 'Empty Glass Bottle' (#20694)
[15:14:35]	Aletta Brandy ran 'Equip' on item 'Empty Glass Bottle' (#20694)
[15:14:36]	Aletta Brandy ran 'EquipUn' on item 'Empty Glass Bottle' (#20694)
[15:15:20]	Aletta Brandy used command '/DoorBuy'.
[15:15:23]	Aletta Brandy opened the '' #1254 container.
[15:15:25]	Aletta Brandy closed the '' #1254 container.
[15:15:39]	Aletta Brandy opened the '' #1314 container.
[15:15:40]	Aletta Brandy closed the '' #1314 container.
[15:29:13]	(Gamingwep1ay) Materpisser has connected.
[15:33:04]	(Gamingwep1ay) Materpisser created the character 'James Barder'
[15:33:04]	James Barder has gained a 'Suitcase' #20903.
[15:33:04]	James Barder has gained a 'Relocation Coupon' #20904.
[15:33:04]	James Barder has gained a 'Green Citizen Suit' #20905.
[15:33:04]	James Barder has gained a 'Citizen Filter' #20906.
[15:33:04]	(Gamingwep1ay) Materpisser loaded the character 'James Barder'
[15:34:17]	James Barder used command '/Content'.
[15:36:55]	(Gamingwep1ay) Materpisser (STEAM_0:1:537652152) has disconnected.
[15:46:10]	(Gamingwep1ay) Materpisser has connected.
[15:48:23]	(Gamingwep1ay) Materpisser loaded the character 'James Barder'
[15:48:54]	James Barder has taken 250 damage from trigger_hurt.
[15:48:54]	trigger_hurt has killed James Barder.
[15:49:26]	James Barder has taken 250 damage from trigger_hurt.
[15:49:26]	trigger_hurt has killed James Barder.
[15:50:05]	(Gamingwep1ay) Materpisser (STEAM_0:1:537652152) has disconnected.
[15:52:09]	Aletta Brandy ran 'Consume' on item 'Consulate Water' (#20765)
[15:52:16]	Tundra (STEAM_0:1:526457179) has disconnected.
[16:08:56]	Tundra has connected.
[16:09:30]	Tundra loaded the character 'Aletta Brandy'
[16:10:26]	Aletta Brandy opened the '' #1239 container.
[16:10:27]	Aletta Brandy closed the '' #1239 container.
[16:10:37]	Aletta Brandy opened the '' #1245 container.
[16:10:38]	Aletta Brandy closed the '' #1245 container.
[16:11:35]	Nihhut has connected.
[16:14:58]	Aletta Brandy ran 'EquipUn' on item 'Respirator' (#20894)
[16:14:59]	Aletta Brandy opened the '' #1241 container.
[16:15:01]	Aletta Brandy closed the '' #1241 container.
[16:15:08]	Aletta Brandy ran 'Equip' on item 'Respirator' (#20894)
[16:15:14]	Aletta Brandy opened the '' #1240 container.
[16:15:15]	Aletta Brandy closed the '' #1240 container.
[16:15:17]	Aletta Brandy opened the '' #1242 container.
[16:15:18]	Aletta Brandy closed the '' #1242 container.
[16:15:43]	Aletta Brandy opened the '' #1237 container.
[16:15:45]	Aletta Brandy closed the '' #1237 container.
[16:15:52]	Aletta Brandy opened the '' #1238 container.
[16:15:53]	Nihhut loaded the character 'Brandon Miller'
[16:15:53]	Aletta Brandy closed the '' #1238 container.
[16:16:40]	[OOC] Brandon Miller: hello
[16:16:40]	Tundra (STEAM_0:1:526457179) has disconnected.
[16:19:18]	Nihhut (STEAM_0:0:19369750) has disconnected.
