[19:27:22]	DRD has connected.
[19:39:51]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/CinderBlock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:39:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:40:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/cinderblock01a.mdl'.
[19:41:13]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:41:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[19:42:04]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_trainstation/traincar_rack001.mdl'.
[19:42:28]	CCA.C17-GRID.i1.59212 has spawned 'models/combinefortification/combinebunkerroof1.mdl'.
[19:42:33]	CCA.C17-GRID.i1.59212 has spawned 'models/props_combine/combine_bunker01.mdl'.
[19:42:51]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:42:56]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:33]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:33]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:34]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:34]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:35]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:36]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:36]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:37]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:37]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:38]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:38]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:39]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:39]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:40]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:40]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:40]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:41]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:41]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:42]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:42]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:43]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:43]	CCA.C17-GRID.i1.59212 entered observer.
[19:43:44]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:43:44]	CCA.C17-GRID.i1.59212 entered observer.
[19:44:25]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[19:45:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/misc/bunker01.mdl'.
[19:45:24]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:45:24]	CCA.C17-GRID.i1.59212 entered observer.
[19:45:25]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:45:33]	CCA.C17-GRID.i1.59212 entered observer.
[19:45:41]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:45:41]	CCA.C17-GRID.i1.59212 entered observer.
[19:45:45]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:45:45]	CCA.C17-GRID.i1.59212 entered observer.
[19:45:46]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:45:46]	CCA.C17-GRID.i1.59212 has taken 2 damage from CCA.C17-GRID.i1.59212.
[19:45:46]	CCA.C17-GRID.i1.59212 has taken 4 damage from CCA.C17-GRID.i1.59212.
[19:45:46]	CCA.C17-GRID.i1.59212 entered observer.
[19:45:56]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:46:00]	CCA.C17-GRID.i1.59212 entered observer.
[19:46:11]	CCA.C17-GRID.i1.59212 exited observer at their location.
[19:46:11]	CCA.C17-GRID.i1.59212 has taken 2 damage from CCA.C17-GRID.i1.59212.
[19:46:12]	CCA.C17-GRID.i1.59212 entered observer.
[19:48:44]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:48:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[19:49:05]	DRD (STEAM_0:0:193599766) has disconnected.
