[08:45:37]	PhilipIsBored has connected.
[10:21:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[10:26:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[10:31:33]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[10:36:33]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[10:41:33]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[10:46:33]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[10:48:24]	PhilipIsBored (STEAM_0:0:38537787) has disconnected (timed out).
[15:34:10]	¿Vendes Pan? :u has connected.
[15:37:08]	¿Vendes Pan? :u loaded the character 'Gregory Smith'
[15:55:56]	¿Vendes Pan? :u (STEAM_0:0:445640226) has disconnected.
[20:54:21]	FB|| light ROOM has connected.
[21:06:01]	FB|| light ROOM has connected.
[21:07:53]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[21:12:53]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:17:53]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:22:53]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:27:53]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:32:53]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:37:53]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:42:53]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:47:23]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[22:59:05]	matt saton has connected.
[23:02:08]	matt saton loaded the character 'James Albright'
[23:02:17]	James Albright entered observer.
[23:02:32]	James Albright exited observer at their location.
[23:02:33]	James Albright entered observer.
[23:02:33]	James Albright exited observer at their location.
[23:02:33]	James Albright entered observer.
[23:03:31]	James Albright exited observer at their location.
[23:03:35]	James Albright has taken 164 damage from worldspawn.
[23:03:35]	worldspawn has killed James Albright.
[23:03:36]	James Albright entered observer.
[23:03:41]	James Albright entered observer.
[23:03:44]	James Albright exited observer at their location.
[23:03:46]	James Albright entered observer.
[23:03:48]	James Albright exited observer at their location.
[23:03:53]	James Albright entered observer.
[23:03:53]	James Albright exited observer at their location.
[23:03:59]	James Albright entered observer.
[23:04:01]	James Albright exited observer at their location.
[23:04:01]	James Albright entered observer.
[23:04:03]	James Albright exited observer at their location.
[23:04:05]	James Albright entered observer.
[23:04:18]	James Albright exited observer at their location.
[23:04:18]	James Albright entered observer.
[23:04:21]	James Albright exited observer at their location.
[23:04:22]	James Albright entered observer.
[23:04:25]	James Albright exited observer at their location.
[23:04:26]	James Albright entered observer.
[23:04:56]	matt saton loaded the character 'CCA.C14-GRID.i3.69192'
[23:04:57]	CCA.C14-GRID.i3.69192 entered observer.
[23:05:12]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:05:13]	CCA.C14-GRID.i3.69192 entered observer.
[23:05:34]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:05:35]	CCA.C14-GRID.i3.69192 entered observer.
[23:05:38]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:05:38]	CCA.C14-GRID.i3.69192 entered observer.
[23:05:40]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:05:50]	CCA.C14-GRID.i3.69192 has spawned 'models/props_c17/FurnitureShelf001a.mdl'.
[23:07:35]	CCA.C14-GRID.i3.69192 entered observer.
[23:07:43]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:07:43]	CCA.C14-GRID.i3.69192 entered observer.
[23:07:44]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:07:46]	CCA.C14-GRID.i3.69192 has spawned 'models/hlvr/weapons/grenade/w_grenade.mdl'.
[23:07:48]	CCA.C14-GRID.i3.69192 has spawned 'models/hlvr/weapons/ipistol/w_ipistol_hlvr.mdl'.
[23:07:49]	CCA.C14-GRID.i3.69192 has spawned 'models/hlvr/weapons/irifle/w_irifle.mdl'.
[23:07:58]	CCA.C14-GRID.i3.69192 entered observer.
[23:08:10]	CCA.C14-GRID.i3.69192 has spawned 'models/hlvr/weapons/ipistol/w_ipistol_hlvr.mdl'.
[23:08:20]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:09:56]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[23:10:55]	CCA.C14-GRID.i3.69192 entered observer.
[23:11:03]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:11:03]	CCA.C14-GRID.i3.69192 entered observer.
[23:11:03]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:11:04]	CCA.C14-GRID.i3.69192 entered observer.
[23:11:05]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:11:07]	CCA.C14-GRID.i3.69192 entered observer.
[23:11:09]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:11:18]	CCA.C14-GRID.i3.69192 has spawned 'models/hlvr/characters/combine_captain/torch/captain_torch_hlvr.mdl'.
[23:11:47]	CCA.C14-GRID.i3.69192 has spawned 'models/hlvr/characters/combine/suppressor/combine_suppressor_hlvr_player.mdl'.
[23:14:56]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[23:18:48]	CCA.C14-GRID.i3.69192 entered observer.
[23:18:50]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:18:58]	CCA.C14-GRID.i3.69192 entered observer.
[23:19:02]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:19:03]	CCA.C14-GRID.i3.69192 entered observer.
[23:19:09]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:19:09]	CCA.C14-GRID.i3.69192 entered observer.
[23:19:12]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:19:53]	CCA.C14-GRID.i3.69192 entered observer.
[23:19:54]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:19:56]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[23:19:57]	CCA.C14-GRID.i3.69192 entered observer.
[23:20:02]	CCA.C14-GRID.i3.69192 exited observer at their location.
[23:20:33]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [3192][npc_vortigaunt]'.
[23:20:38]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [3194][npc_vortigaunt]'.
[23:24:56]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[23:27:27]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [3192][npc_vortigaunt]'.
[23:27:28]	CCA.C14-GRID.i3.69192 has spawned a 'NPC [3194][npc_vortigaunt]'.
[23:27:39]	matt saton (STEAM_0:1:53097688) has disconnected.
[23:30:03]	matt saton has connected.
[23:31:42]	matt saton loaded the character 'James Albright'
[23:31:49]	James Albright has spawned a 'NPC [3192][npc_zombie]'.
[23:31:51]	James Albright entered observer.
[23:32:00]	James Albright has spawned a 'NPC [3192][npc_vortigaunt]'.
[23:32:01]	James Albright has spawned a 'NPC [3193][npc_vortigaunt]'.
[23:32:02]	James Albright exited observer at their location.
[23:32:07]	James Albright has spawned a 'NPC [3192][npc_vortigaunt]'.
[23:40:48]	James Albright used command '/ToggleRaise'.
[23:40:48]	James Albright entered observer.
[23:41:03]	FB|| light ROOM has connected.
[23:41:58]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[23:42:03]	[OOC] CCA.C14-UNION.EpU.72633: Yo 
[23:42:22]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green. Updating 10-20 to Plaza for a 10-50'.
[23:44:54]	[OOC] James Albright: oh hey lightroom
[23:44:56]	[OOC] James Albright: wb
[23:44:57]	James Albright exited observer at their location.
[23:45:00]	James Albright has spawned a 'NPC [3195][npc_vortigaunt]'.
[23:45:01]	James Albright has spawned a 'NPC [3196][npc_vortigaunt]'.
[23:45:06]	[OOC] James Albright: i take it back, the allx vorts are awesome
[23:45:11]	[OOC] CCA.C14-UNION.EpU.72633: Truly
[23:45:14]	James Albright has spawned a 'NPC [3195][npc_vortigaunt]'.
[23:45:22]	[OOC] James Albright: werid, he's not attakcing you
[23:45:23]	James Albright has spawned a 'NPC [3196][npc_vortigaunt]'.
[23:45:26]	[OOC] James Albright: i made it so vorts attack CPs
[23:45:31]	[OOC] CCA.C14-UNION.EpU.72633: Kinda fucky
[23:45:31]	James Albright used command '/ToggleRaise'.
[23:45:39]	[OOC] James Albright: aslo chekc out what i ganked from the workshop
[23:45:43]	[OOC] CCA.C14-UNION.EpU.72633: BET
[23:45:47]	[OOC] James Albright: problem is
[23:45:50]	[OOC] James Albright: it causes a lag psike
[23:45:51]	[OOC] CCA.C14-UNION.EpU.72633: BET
[23:45:56]	[OOC] CCA.C14-UNION.EpU.72633: I am happy now
[23:46:00]	[OOC] CCA.C14-UNION.EpU.72633: Me is big hap
[23:46:04]	[OOC] James Albright: i need to fix it up a bit
[23:46:06]	[OOC] James Albright: it's not implementerd
[23:46:11]	[OOC] CCA.C14-UNION.EpU.72633: Truly
[23:46:37]	[LOOC] James Albright: can youp lease =take that out for me
[23:46:38]	[LOOC] James Albright: ew, smg
[23:46:41]	[LOOC] James Albright: i'll fix it
[23:46:43]	[LOOC] CCA.C14-UNION.EpU.72633: Kinda fucky
[23:46:44]	[LOOC] James Albright: go ahead nad use it
[23:46:52]	James Albright used command '/ToggleRaise'.
[23:46:58]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[23:47:00]	James Albright entered observer.
[23:47:01]	[LOOC] CCA.C14-UNION.EpU.72633: This is neato as fuck
[23:47:01]	James Albright exited observer at their location.
[23:47:02]	James Albright entered observer.
[23:47:20]	[OOC] CCA.C14-UNION.EpU.72633: Look at the anims lmao
[23:47:25]	James Albright exited observer at their location.
[23:47:30]	[OOC] James Albright: yeah, it's SMG anims
[23:47:39]	[OOC] CCA.C14-UNION.EpU.72633: But I run like I have the stunstick out
[23:47:42]	[OOC] James Albright: oh
[23:47:44]	[OOC] James Albright: you do, wtf lmao
[23:48:07]	[OOC] CCA.C14-UNION.EpU.72633: I CAN DETONATE A MANHACK
[23:48:14]	James Albright used command '/ToggleRaise'.
[23:48:15]	[OOC] CCA.C14-UNION.EpU.72633: Give ammo
[23:48:20]	[OOC] James Albright: i frogot you cna contorl them too
[23:48:21]	James Albright entered observer.
[23:48:26]	[OOC] CCA.C14-UNION.EpU.72633: This is cool as fuck
[23:48:26]	James Albright has spawned a 'NPC [3197][monster_shockroach]'.
[23:48:29]	James Albright has spawned a 'NPC [3197][monster_alien_voltigore]'.
[23:48:31]	James Albright has spawned a 'NPC [3201][monster_shocktrooper]'.
[23:48:31]	James Albright exited observer at their location.
[23:48:32]	James Albright has taken 6 damage from monster_shocktrooper.
[23:48:34]	James Albright entered observer.
[23:48:45]	[OOC] James Albright: tfw server ded
[23:48:49]	James Albright exited observer at their location.
[23:48:51]	[OOC] CCA.C14-UNION.EpU.72633: Sadly so
[23:49:24]	[OOC] CCA.C14-UNION.EpU.72633: But also you just announced a event in "General" so that is kinda fucked
[23:50:17]	[OOC] CCA.C14-UNION.EpU.72633: But also it does seem like most of out followers have shit coming up today so that also is affecting it ;-;
[23:50:21]	[OOC] CCA.C14-UNION.EpU.72633: our*
[23:51:10]	[OOC] CCA.C14-UNION.EpU.72633: brb
[23:51:58]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[23:52:37]	[OOC] CCA.C14-UNION.EpU.72633: Back
[23:53:06]	[OOC] James Albright: yeah
[23:53:08]	[OOC] James Albright: no, i know
[23:53:12]	[OOC] James Albright: plus i was way late
[23:53:17]	[OOC] CCA.C14-UNION.EpU.72633: Truly
[23:53:19]	[OOC] James Albright: it was more of athank you for palying
[23:54:27]	[OOC] CCA.C14-UNION.EpU.72633: Yeah. But on good days we do wonderful. It's just been a little slow. Though i would expect this for most servers who are just starting out and getting a fanbase.
[23:54:46]	[OOC] James Albright: hell yes
[23:54:48]	[OOC] James Albright: no, i agree
[23:54:50]	[OOC] James Albright: i'm not worried aobut it
[23:54:54]	[OOC] James Albright: i ahve 3 more days of work left
[23:54:56]	[OOC] James Albright: then i'm done
[23:54:57]	[OOC] James Albright: with work
[23:54:59]	[OOC] James Albright: entirely
[23:55:00]	James Albright entered observer.
[23:55:02]	[OOC] CCA.C14-UNION.EpU.72633: BET
[23:55:06]	[OOC] James Albright: 5 more shifts
[23:55:07]	[OOC] James Albright: 3 days
[23:55:11]	[OOC] James Albright: i work two doubles in a row
[23:55:17]	[OOC] James Albright: so don't expect any events sunday or monday
[23:55:19]	[OOC] James Albright: especially monday
[23:55:38]	[OOC] CCA.C14-UNION.EpU.72633: I wasn't to begin with. Also are we gonna re-work the whole QrM deal?
[23:56:22]	[OOC] CCA.C14-UNION.EpU.72633: Mostly the supplies being so low that it's fucking with CCA and how affectively they can deal with a situation.
[23:56:35]	[OOC] James Albright: yeah i need to add in supply crafting
[23:56:36]	James Albright used command '/DoorSetHidden true'.
[23:56:40]	[OOC] James Albright: admn give you guys more
[23:56:58]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[23:57:01]	[OOC] CCA.C14-UNION.EpU.72633: have you thought of allowing QrM to start and monitor a workshift that is ammo and gun oriented?
[23:57:23]	Mr. Chief has connected.
[23:57:24]	[OOC] CCA.C14-UNION.EpU.72633: So give us a lot more but only allow us to get more via workshifts.
[23:58:46]	[OOC] James Albright: i would do that but i need to add crafting reicpes
[23:58:48]	[OOC] James Albright: that's the only issue
[23:58:52]	[OOC] James Albright: i put in die cast items
[23:58:54]	[OOC] James Albright: but that's it
[23:58:56]	James Albright exited observer at their location.
[23:58:58]	James Albright used command '/adminspawnmenu'.
[23:59:13]	[OOC] CCA.C14-UNION.EpU.72633: Yee, well once thats finished it would also give QrM a little more to do.
[23:59:18]	James Albright has spawned "4.6x30 Round Die Cast"
[23:59:24]	James Albright has spawned a 'Entity [3206][ix_station_diecaster]'.
[23:59:40]	[OOC] CCA.C14-UNION.EpU.72633: Although we only want him on every now and then it would be good to give him more of a reason to be on.
