[09:50:01]	MLG Painevan has connected.
[19:23:46]	CCA.C14-HELIX.DvL.33698 exited observer at their location.
[19:23:47]	CCA.C14-HELIX.DvL.33698 entered observer.
[19:23:47]	[OOC] Journey Robertson: Bullpup pistols look the exact same as normal pistols and I hate it
[19:23:48]	CCA.C14-HELIX.DvL.33698 exited observer at their location.
[19:23:57]	CCA.C14-HELIX.DvL.33698 entered observer.
[19:24:00]	CCA.C14-HELIX.DvL.33698 exited observer at their location.
[19:24:48]	[OOC] Journey Robertson: Imagine being a HELIX DvL
[19:26:05]	Joseph Kimsler entered observer.
[19:26:06]	Joseph Kimsler exited observer at their location.
[19:27:32]	CCA.C14-HELIX.DvL.33698 entered observer.
[19:27:46]	Joseph Kimsler used command '/ToggleRaise'.
[19:27:48]	Joseph Kimsler used command '/ToggleRaise'.
[19:27:51]	Joseph Kimsler entered observer.
[19:27:52]	Joseph Kimsler exited observer at their location.
[19:27:53]	CCA.C14-HELIX.DvL.33698 exited observer at their location.
[19:27:56]	CCA.C14-HELIX.DvL.33698 entered observer.
[19:27:57]	Joseph Kimsler used command '/ToggleRaise'.
[19:27:58]	Joseph Kimsler used command '/ToggleRaise'.
[19:28:03]	Joseph Kimsler used command '/ToggleRaise'.
[19:28:04]	Joseph Kimsler used command '/ToggleRaise'.
[19:28:16]	Joseph Kimsler has spawned a 'Entity [3201][npc_arrest_citizen_wall]'.
[19:28:16]	CCA.C14-HELIX.DvL.33698 has gained 10 tokens.
[19:28:25]	Joseph Kimsler has spawned a 'NPC [3201][npc_headcrab]'.
[19:28:26]	Joseph Kimsler has taken 5 damage from npc_headcrab.
[19:28:27]	Joseph Kimsler has taken 5 damage from npc_headcrab.
[19:28:29]	CCA.C14-HELIX.DvL.33698 exited observer at their location.
[19:28:42]	[OOC] Journey Robertson: Brb
[19:29:31]	CCA.C14-HELIX.DvL.33698 entered observer.
[19:29:42]	Joseph Kimsler has spawned a 'NPC [3201][npc_headcrab]'.
[19:29:44]	Joseph Kimsler entered observer.
[19:29:49]	Joseph Kimsler exited observer at their location.
[19:29:50]	Joseph Kimsler has spawned a 'NPC [3201][npc_headcrab]'.
[19:31:14]	[OOC] Journey Robertson: Back, mmmmmmmmmmmmmmmmmmmmmmmm triple person event
[19:31:43]	Joseph Kimsler entered observer.
[19:31:44]	Joseph Kimsler has spawned a 'NPC [3204][npc_headcrab]'.
[19:31:47]	Joseph Kimsler exited observer at their location.
[19:31:47]	Joseph Kimsler has spawned a 'NPC [3204][npc_headcrab]'.
[19:31:49]	Joseph Kimsler has spawned a 'NPC [3204][npc_headcrab]'.
[19:31:50]	Joseph Kimsler has taken 5 damage from npc_headcrab.
[19:31:52]	Joseph Kimsler has taken 5 damage from npc_headcrab.
[19:31:54]	Joseph Kimsler entered observer.
[19:31:57]	Joseph Kimsler exited observer at their location.
[19:31:57]	Joseph Kimsler has spawned a 'NPC [3204][npc_fastzombie]'.
[19:32:02]	Joseph Kimsler has spawned a 'NPC [3204][npc_combine_s]'.
[19:32:05]	Joseph Kimsler has spawned a 'NPC [3212][npc_combine_s]'.
[19:32:07]	Joseph Kimsler has spawned a 'NPC [3204][npc_metropolice]'.
[19:32:25]	Joseph Kimsler entered observer.
[19:32:41]	Joseph Kimsler has spawned a 'NPC [3204][npc_clawscanner]'.
[19:33:36]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[19:33:54]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green. Updating 10-20 to Plaza for 10-50'.
[19:33:59]	CCA.C14-HELIX.DvL.33698 used command '/Radio 10-4'.
[19:34:31]	[OOC] CCA.C14-UNION.EpU.72633: The USP can fire .40 ACP you cuck. Increase the damage of the USP and say it fires .40 ACP
[19:34:39]	[OOC] CCA.C14-UNION.EpU.72633: .45 ACP*
[19:34:40]	CCA.C14-HELIX.DvL.33698 exited observer at their location.
[19:34:47]	Ollie Garner loaded the character 'Marc 'Watcher 1' Temple'
[19:34:57]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'MP7U' (#22164)
[19:34:57]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'USP Match' (#18841)
[19:34:59]	Joseph Kimsler has spawned a 'NPC [3207][npc_metropolice]'.
[19:35:04]	Joseph Kimsler exited observer at their location.
[19:35:08]	[OOC] CCA.C14-UNION.EpU.72633: by the way you killed me OOC'ly and i need ammo for it
[19:35:15]	Joseph Kimsler entered observer.
[19:35:42]	[OOC] CCA.C14-UNION.EpU.72633: Thank you gamer godf
[19:35:56]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'Combat Knife' (#19067)
[19:36:19]	Joseph Kimsler has spawned a 'NPC [3212][npc_metropolice]'.
[19:36:22]	Joseph Kimsler exited observer at their location.
[19:36:23]	Joseph Kimsler has spawned a 'NPC [3224][npc_metropolice]'.
[19:36:23]	Joseph Kimsler has spawned a 'NPC [3212][npc_metropolice]'.
[19:36:24]	Joseph Kimsler has spawned a 'NPC [3220][npc_metropolice]'.
[19:36:24]	Joseph Kimsler has spawned a 'NPC [3225][npc_metropolice]'.
[19:36:28]	Joseph Kimsler entered observer.
[19:36:29]	Joseph Kimsler exited observer at their location.
[19:37:09]	[OOC] CCA.C14-UNION.EpU.72633: Who fucked with the QZ gate?
[19:37:12]	Marc 'Watcher 1' Temple entered observer.
[19:37:42]	Joseph Kimsler has spawned a 'NPC [3212][npc_metropolice]'.
[19:37:43]	Joseph Kimsler entered observer.
[19:37:45]	Joseph Kimsler exited observer at their location.
[19:37:51]	Joseph Kimsler has spawned a 'NPC [3212][npc_metropolice]'.
[19:38:24]	Joseph Kimsler has spawned a 'NPC [3212][npc_metropolice]'.
[19:38:25]	Joseph Kimsler entered observer.
[19:38:28]	Joseph Kimsler has spawned a 'NPC [3212][npc_metropolice]'.
[19:38:30]	Joseph Kimsler has spawned a 'NPC [3227][npc_metropolice]'.
[19:38:32]	Joseph Kimsler exited observer at their location.
[19:38:36]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[19:38:37]	Joseph Kimsler entered observer.
[19:38:45]	Joseph Kimsler exited observer at their location.
[19:38:45]	Mr. Chief has connected.
[19:38:48]	Joseph Kimsler has spawned 'models/props_c17/shelfunit01a.mdl'.
[19:38:55]	Joseph Kimsler has spawned a 'NPC [3227][npc_metropolice]'.
[19:38:58]	Joseph Kimsler has spawned a 'NPC [3231][npc_metropolice]'.
[19:39:36]	Joseph Kimsler entered observer.
[19:39:39]	Joseph Kimsler exited observer at their location.
[19:39:40]	Joseph Kimsler entered observer.
[19:39:41]	Joseph Kimsler exited observer at their location.
[19:39:47]	Joseph Kimsler has spawned a 'NPC [3227][monster_alien_slv]'.
[19:40:03]	Joseph Kimsler has spawned a 'NPC [3227][npc_headcrab]'.
[19:41:26]	Joseph Kimsler has spawned a 'NPC [3227][npc_headcrab]'.
[19:41:35]	Joseph Kimsler has spawned a 'NPC [3227][npc_headcrab]'.
[19:41:38]	Joseph Kimsler has spawned a 'NPC [3227][npc_headcrab]'.
[19:41:38]	Joseph Kimsler has taken 5 damage from npc_headcrab.
[19:42:57]	Mr. Chief created the character 'Leman Russ'
[19:42:57]	Leman Russ has gained a 'Suitcase' #25650.
[19:42:57]	Leman Russ has gained a 'Relocation Coupon' #25651.
[19:42:57]	Mr. Chief loaded the character 'Leman Russ'
[19:43:08]	Joseph Kimsler has spawned a 'NPC [3227][npc_headcrab]'.
[19:43:11]	Joseph Kimsler has spawned a 'NPC [3227][npc_headcrab]'.
[19:43:15]	Joseph Kimsler has spawned a 'NPC [3227][npc_headcrab]'.
[19:43:20]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit moving to 10-20 Trainstation for the new arrival.'.
[19:43:21]	Joseph Kimsler has spawned a 'NPC [3227][npc_metropolice]'.
[19:43:26]	Joseph Kimsler entered observer.
[19:43:36]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[19:43:49]	Marc 'Watcher 1' Temple exited observer at their location.
[19:43:52]	Marc 'Watcher 1' Temple entered observer.
[19:44:02]	Joseph Kimsler exited observer at their location.
[19:44:02]	Joseph Kimsler entered observer.
[19:44:09]	Joseph Kimsler exited observer at their location.
[19:44:13]	Joseph Kimsler entered observer.
[19:44:21]	Leman Russ used command '/Apply'.
[19:44:21]	Joseph Kimsler exited observer at their location.
[19:44:22]	Joseph Kimsler entered observer.
[19:44:22]	Joseph Kimsler exited observer at their location.
[19:44:23]	Joseph Kimsler entered observer.
[19:44:24]	Joseph Kimsler exited observer at their location.
[19:44:25]	Joseph Kimsler used command '/ToggleRaise'.
[19:44:29]	Joseph Kimsler entered observer.
[19:44:30]	Joseph Kimsler exited observer at their location.
[19:44:30]	Joseph Kimsler entered observer.
[19:44:31]	Joseph Kimsler exited observer at their location.
[19:44:35]	CCA.C14-UNION.EpU.72633 rolled 22 out of 100.
[19:44:35]	CCA.C14-UNION.EpU.72633 used command '/Roll'.
[19:44:36]	Leman Russ rolled 48 out of 100.
[19:44:36]	Leman Russ used command '/Roll'.
[19:44:38]	Marc 'Watcher 1' Temple rolled 97 out of 100.
[19:44:38]	Marc 'Watcher 1' Temple used command '/Roll'.
[19:44:38]	[LOOC] CCA.C14-UNION.EpU.72633: NOICE
[19:44:46]	Leman Russ ran 'drop' on item 'Relocation Coupon' (#25651)
[19:44:46]	Leman Russ has lost a 'Relocation Coupon' #25651.
[19:44:56]	CCA.C14-UNION.EpU.72633 ran 'take' on item 'Relocation Coupon' (#25651)
[19:44:56]	CCA.C14-UNION.EpU.72633 has gained a 'Relocation Coupon' #25651.
[19:44:58]	Joseph Kimsler entered observer.
[19:44:59]	Marc 'Watcher 1' Temple exited observer at their location.
[19:45:09]	Joseph Kimsler used command '/ToggleRaise'.
[19:45:10]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[19:45:12]	Joseph Kimsler exited observer at their location.
[19:45:14]	CCA.C14-UNION.EpU.72633 ran 'take' on item 'Citizen ID' (#25652)
[19:45:14]	CCA.C14-UNION.EpU.72633 has gained a 'Citizen ID' #25652.
[19:45:16]	Joseph Kimsler used command '/ToggleRaise'.
[19:45:18]	Joseph Kimsler has spawned a 'NPC [3217][npc_hunter]'.
[19:45:18]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[19:45:23]	Joseph Kimsler has spawned a 'NPC [3218][npc_metropolice]'.
[19:45:24]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[19:45:26]	[ME] CCA.C14-UNION.EpU.72633: Holds out a small CID for the civvie
[19:45:30]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Citizen ID' (#25652)
[19:45:30]	CCA.C14-UNION.EpU.72633 has lost a 'Citizen ID' #25652.
[19:45:32]	Leman Russ ran 'take' on item 'Citizen ID' (#25652)
[19:45:32]	Leman Russ has gained a 'Citizen ID' #25652.
[19:45:42]	Joseph Kimsler used command '/adminspawnmenu'.
[19:45:45]	Marc 'Watcher 1' Temple has spawned "Pipe"
[19:45:46]	CCA.C14-UNION.EpU.72633 used command '/OldViewData Leman'.
[19:45:48]	Marc 'Watcher 1' Temple ran 'take' on item 'Pipe' (#25653)
[19:45:59]	Marc 'Watcher 1' Temple ran 'drop' on item 'Wood Scrap' (#6578)
[19:45:59]	Marc 'Watcher 1' Temple has lost a 'Wood Scrap' #6578.
[19:46:00]	Marc 'Watcher 1' Temple ran 'drop' on item 'Wood Scrap' (#6579)
[19:46:00]	Marc 'Watcher 1' Temple has lost a 'Wood Scrap' #6579.
[19:46:04]	Marc 'Watcher 1' Temple ran 'drop' on item 'Wood Scrap' (#6570)
[19:46:04]	Marc 'Watcher 1' Temple has lost a 'Wood Scrap' #6570.
[19:46:11]	Marc 'Watcher 1' Temple ran 'take' on item 'Pipe' (#25653)
[19:46:11]	Marc 'Watcher 1' Temple has gained a 'Pipe' #25653.
[19:46:13]	Marc 'Watcher 1' Temple ran 'Equip' on item 'Pipe' (#25653)
[19:46:21]	[LOOC] CCA.C14-UNION.EpU.72633: Just say random numbers you fuck
[19:46:30]	Marc 'Watcher 1' Temple ran 'drop' on item 'Wood Scrap' (#6580)
[19:46:30]	Marc 'Watcher 1' Temple has lost a 'Wood Scrap' #6580.
[19:46:46]	Marc 'Watcher 1' Temple ran 'take' on item 'Wood Scrap' (#6570)
[19:46:46]	Marc 'Watcher 1' Temple has gained a 'Wood Scrap' #6570.
[19:46:50]	Marc 'Watcher 1' Temple ran 'drop' on item 'Computer Tower' (#6906)
[19:46:50]	Marc 'Watcher 1' Temple has lost a 'Computer Tower' #6906.
[19:47:02]	Marc 'Watcher 1' Temple ran 'take' on item 'Computer Tower' (#6906)
[19:47:02]	Marc 'Watcher 1' Temple has gained a 'Computer Tower' #6906.
[19:47:05]	Marc 'Watcher 1' Temple ran 'drop' on item 'Car Door' (#6456)
[19:47:05]	Marc 'Watcher 1' Temple has lost a 'Car Door' #6456.
[19:47:10]	[LOOC] CCA.C14-UNION.EpU.72633: Your char is a boomer what a fucking loser
[19:47:16]	CCA.C14-UNION.EpU.72633 used command '/OldViewData Leman'.
[19:47:21]	Marc 'Watcher 1' Temple ran 'take' on item 'Car Door' (#6456)
[19:47:21]	Marc 'Watcher 1' Temple has gained a 'Car Door' #6456.
[19:47:21]	[LOOC] Leman Russ:  I SAID RANDOM NUMBERS FUCK YOU
[19:47:31]	Marc 'Watcher 1' Temple ran 'drop' on item 'Jeans' (#6424)
[19:47:31]	Marc 'Watcher 1' Temple has lost a 'Jeans' #6424.
[19:47:34]	Marc 'Watcher 1' Temple ran 'take' on item 'Jeans' (#6424)
[19:47:34]	Marc 'Watcher 1' Temple has gained a 'Jeans' #6424.
[19:47:39]	[LOOC] CCA.C14-UNION.EpU.72633: ME GUMBALL MAN
[19:47:39]	Marc 'Watcher 1' Temple ran 'drop' on item 'Biotic Grade Beverage' (#21995)
[19:47:39]	Marc 'Watcher 1' Temple has lost a 'Biotic Grade Beverage' #21995.
[19:47:48]	CCA.C14-UNION.EpU.72633 used command '/OldViewData Leman'.
[19:47:54]	Marc 'Watcher 1' Temple ran 'take' on item 'Biotic Grade Beverage' (#21995)
[19:47:54]	Marc 'Watcher 1' Temple has gained a 'Biotic Grade Beverage' #21995.
[19:48:23]	sand has connected.
[19:48:25]	CCA.C14-UNION.EpU.72633 used command '/OldViewData Leman'.
[19:48:36]	CCA.C14-UNION.EpU.72633 opened the '' #1805 container.
[19:48:37]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[19:48:40]	Marc 'Watcher 1' Temple ran 'drop' on item 'Health Vial' (#22209)
[19:48:40]	Marc 'Watcher 1' Temple has lost a 'Health Vial' #22209.
[19:48:40]	CCA.C14-UNION.EpU.72633 closed the '' #1805 container.
[19:48:41]	CCA.C14-UNION.EpU.72633 opened the '' #1804 container.
[19:48:44]	CCA.C14-UNION.EpU.72633 closed the '' #1804 container.
[19:48:57]	Marc 'Watcher 1' Temple ran 'take' on item 'Health Vial' (#22209)
[19:48:57]	Marc 'Watcher 1' Temple has gained a 'Health Vial' #22209.
[19:49:01]	sand loaded the character 'CCA.C14-UNION.i5.39867'
[19:49:07]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[19:49:12]	Marc 'Watcher 1' Temple has spawned "Cooked Antlion Meat"
[19:49:15]	env_fire destroyed a 'Cooked Antlion Meat' #25654.
[19:49:19]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[19:49:25]	Marc 'Watcher 1' Temple has spawned "UU Brand Cereal"
[19:49:31]	env_fire destroyed a 'UU Brand Cereal' #25654.
[19:49:35]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[19:49:35]	Joseph Kimsler entered observer.
[19:49:35]	Joseph Kimsler exited observer at their location.
[19:49:46]	Joseph Kimsler entered observer.
[19:49:54]	CCA.C14-UNION.i5.39867 used command '/Radio Functionary U-398 is 10-8.'.
[19:50:09]	CCA.C14-UNION.EpU.72633 used command '/Radio 10-4, move to the trainstation'.
[19:50:12]	Marc 'Watcher 1' Temple ran 'take' on item 'Wood Scrap' (#6580)
[19:50:12]	Marc 'Watcher 1' Temple has gained a 'Wood Scrap' #6580.
[19:50:15]	CCA.C14-UNION.i5.39867 used command '/Radio Already there.'.
[19:50:38]	matt saton loaded the character 'Eric Brown'
[19:50:39]	Eric Brown entered observer.
[19:50:46]	Eric Brown used command '/CharSetModel eric models/tor.mdl'.
[19:50:48]	Eric Brown exited observer at their location.
[19:50:49]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit beginning a 10-50 with Unit designated 39867. Forming PT-Beta.'.
[19:50:52]	CCA.C14-UNION.EpU.72633 ran 'create' on item 'Squad Identification Device' (#18934)
[19:50:55]	CCA.C14-UNION.i5.39867 ran 'join' on item 'Squad Identification Device' (#18891)
[19:50:57]	CCA.C14-UNION.i5.39867 ran 'join' on item 'Squad Identification Device' (#18891)
[19:50:58]	CCA.C14-UNION.EpU.72633 ran 'setcolor' on item 'Squad Identification Device' (#18934)
[19:51:00]	Eric Brown entered observer.
[19:51:02]	CCA.C14-UNION.i5.39867 ran 'setcolor' on item 'Squad Identification Device' (#18891)
[19:51:03]	Eric Brown exited observer at their location.
[19:51:03]	Eric Brown used command '/ToggleRaise'.
[19:51:03]	Marc 'Watcher 1' Temple used command '/PM Eric your picture'.
[19:51:11]	Eric Brown has spawned a 'NPC [3197][npc_metropolice]'.
[19:51:12]	Marc 'Watcher 1' Temple entered observer.
[19:51:13]	Marc 'Watcher 1' Temple exited observer at their location.
[19:51:14]	Marc 'Watcher 1' Temple entered observer.
[19:51:15]	Marc 'Watcher 1' Temple exited observer at their location.
[19:51:15]	Eric Brown has spawned a 'NPC [3197][npc_metropolice]'.
[19:51:15]	Marc 'Watcher 1' Temple entered observer.
[19:51:16]	Marc 'Watcher 1' Temple exited observer at their location.
[19:51:27]	Eric Brown has spawned a 'NPC [3197][npc_metropolice]'.
[19:51:29]	Eric Brown has spawned a 'NPC [3216][npc_metropolice]'.
[19:51:32]	Eric Brown has spawned a 'NPC [3197][npc_metropolice]'.
[19:51:37]	Eric Brown used command '/ToggleRaise'.
[19:51:40]	Eric Brown used command '/ToggleRaise'.
[19:51:45]	Eric Brown has spawned a 'NPC [3197][npc_metropolice]'.
[19:51:50]	Eric Brown used command '/ToggleRaise'.
[19:52:01]	Eric Brown entered observer.
[19:52:07]	[OOC] CCA.C14-UNION.EpU.72633: Me want my manhack back
[19:52:14]	[OOC] CCA.C14-UNION.i5.39867: no
[19:52:26]	[OOC] CCA.C14-UNION.EpU.72633: I mean the bodygroup you fuck
[19:52:27]	[OOC] CCA.C14-UNION.i5.39867: the tor is back
[19:52:32]	Eric Brown used command '/PM i5 4TGREVDFBCHGZBRDFCV'.
[19:52:39]	[OOC] CCA.C14-UNION.i5.39867: i see da model
[19:52:47]	[OOC] Eric Brown: lactating cunt
[19:52:51]	[OOC] CCA.C14-UNION.EpU.72633: rude
[19:52:55]	[OOC] CCA.C14-UNION.i5.39867: 34o44
[19:53:04]	[OOC] CCA.C14-UNION.i5.39867: me waiting to be helix i5
[19:53:11]	[OOC] Leman Russ: you waiting until i3
[19:53:20]	[OOC] CCA.C14-UNION.i5.39867: wdym until i3
[19:53:27]	[OOC] CCA.C14-UNION.i5.39867: 363 joined GRID at i4
[19:53:37]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[19:53:37]	Eric Brown has spawned 'models/props_mining/rock_caves01b.mdl'.
[19:53:39]	Eric Brown has spawned 'models/props_mining/rock_caves01c.mdl'.
[19:53:41]	Eric Brown has spawned 'models/props_mining/rock_caves01.mdl'.
[19:53:46]	Eric Brown has spawned 'models/props_mining/caverocks_cluster01.mdl'.
[19:54:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[19:54:02]	Eric Brown has spawned 'models/props_foliage/rock_coast02e.mdl'.
