[13:11:06]	Bean has connected.
[13:38:48]	[ME] CCA.C08-GRID.i3.39867: looks back up again
[13:39:32]	[ME] CCA.C08-GRID.i3.39867: types something into her PDA, again.
[13:40:37]	CCA.C08-GRID.i3.39867 has gained 10 tokens.
[13:40:52]	[ME] CCA.C08-GRID.i3.39867: nods her head, before typing into her PDA one last time.
[13:41:28]	Alex Palovichov ran 'drop' on item 'Relocation Coupon' (#21317)
[13:41:28]	Alex Palovichov has lost a 'Relocation Coupon' #21317.
[13:41:41]	[ME] CCA.C08-GRID.i3.39867: swips the transfer card off of the counter, before stepping over to the machine in the back.
[13:41:43]	CCA.C08-GRID.i3.39867 ran 'take' on item 'Relocation Coupon' (#21317)
[13:41:43]	CCA.C08-GRID.i3.39867 has gained a 'Relocation Coupon' #21317.
[13:42:02]	CCA.C08-GRID.i3.39867 ran 'take' on item 'Citizen ID' (#21319)
[13:42:02]	CCA.C08-GRID.i3.39867 has gained a 'Citizen ID' #21319.
[13:42:18]	[ME] CCA.C08-GRID.i3.39867: slides the CID through the window. "Welcome to City 8, pal."
[13:42:21]	CCA.C08-GRID.i3.39867 ran 'drop' on item 'Citizen ID' (#21319)
[13:42:21]	CCA.C08-GRID.i3.39867 has lost a 'Citizen ID' #21319.
[13:42:26]	[LOOC] CCA.C08-GRID.i3.39867: sorry
[13:42:30]	[ME] Alex Palovichov: Grabs the CID Before putting it into his pocket
[13:42:50]	[LOOC] Alex Palovichov: I dont have it
[13:42:56]	[LOOC] CCA.C08-GRID.i3.39867: its on the floro somewhere
[13:42:57]	Alex Palovichov ran 'take' on item 'Citizen ID' (#21319)
[13:42:57]	Alex Palovichov has gained a 'Citizen ID' #21319.
[13:42:59]	Alex Palovichov ran 'drop' on item 'Citizen ID' (#21319)
[13:42:59]	Alex Palovichov has lost a 'Citizen ID' #21319.
[13:43:05]	CCA.C08-GRID.i3.39867 ran 'take' on item 'Citizen ID' (#21319)
[13:43:05]	CCA.C08-GRID.i3.39867 has gained a 'Citizen ID' #21319.
[13:43:15]	[ME] CCA.C08-GRID.i3.39867: slides the CID back over.
[13:43:28]	CCA.C08-GRID.i3.39867 ran 'drop' on item 'Relocation Coupon' (#20767)
[13:43:28]	CCA.C08-GRID.i3.39867 has lost a 'Relocation Coupon' #20767.
[13:43:28]	CCA.C08-GRID.i3.39867 ran 'drop' on item 'Citizen ID' (#21319)
[13:43:28]	CCA.C08-GRID.i3.39867 has lost a 'Citizen ID' #21319.
[13:43:31]	CCA.C08-GRID.i3.39867 ran 'drop' on item 'Relocation Coupon' (#20763)
[13:43:31]	CCA.C08-GRID.i3.39867 has lost a 'Relocation Coupon' #20763.
[13:43:37]	[ME] CCA.C08-GRID.i3.39867: slides the coupon back into the machine
[13:43:56]	CCA.C08-GRID.i3.39867 ran 'take' on item 'Citizen ID' (#21320)
[13:43:56]	CCA.C08-GRID.i3.39867 has gained a 'Citizen ID' #21320.
[13:44:15]	[ME] CCA.C08-GRID.i3.39867: makes sure to read the information on the CID twice this this time.
[13:44:37]	[ME] CCA.C08-GRID.i3.39867: slides the CID over, /again/
[13:44:40]	CCA.C08-GRID.i3.39867 ran 'drop' on item 'Citizen ID' (#21320)
[13:44:40]	CCA.C08-GRID.i3.39867 has lost a 'Citizen ID' #21320.
[13:44:43]	Alex Palovichov ran 'take' on item 'Citizen ID' (#21320)
[13:44:43]	Alex Palovichov has gained a 'Citizen ID' #21320.
[13:44:48]	[ME] Alex Palovichov: Grabs the CID Before putting it into his pocket
[13:45:37]	CCA.C08-GRID.i3.39867 has gained 10 tokens.
[13:45:52]	[OOC] CCA.C08-GRID.i3.39867: i got to go now, but to be honest i dont think anyone else will join. this servers kinda dead to put it quite bluntly. everyones waiting for the re-release that's being worked on
[13:46:01]	[OOC] Alex Palovichov: Oh :I
[13:46:03]	[OOC] Alex Palovichov: Welp
[13:46:08]	[OOC] CCA.C08-GRID.i3.39867: yeah i wouldnt expect many people to join
[13:46:19]	[OOC] CCA.C08-GRID.i3.39867: we've been playing the waiting game for the past couple of months
[13:46:31]	[OOC] Alex Palovichov: Huh
[13:47:52]	Alex Palovichov used the 'Yield Turn-In' vendor.
[13:47:59]	Alex Palovichov used the 'Cycle Supply' vendor.
[13:48:06]	Alex Palovichov has gained 0 tokens.
[13:48:06]	Alex Palovichov has gained a 'Blacksmith Tongs' #21321.
[13:48:08]	Alex Palovichov has gained 0 tokens.
[13:48:08]	Alex Palovichov has gained a 'Charred Metal' #21322.
[13:48:09]	Alex Palovichov has gained 0 tokens.
[13:48:09]	Alex Palovichov has gained a 'Charred Metal' #21323.
[13:48:10]	Alex Palovichov has gained 0 tokens.
[13:48:10]	Alex Palovichov has gained a 'Charred Metal' #21324.
[13:48:13]	Alex Palovichov has gained 0 tokens.
[13:48:13]	Alex Palovichov has gained a 'Scrap Electronics' #21325.
[13:48:13]	Alex Palovichov has gained 0 tokens.
[13:48:13]	Alex Palovichov has gained a 'Scrap Electronics' #21326.
[13:48:14]	Alex Palovichov has gained 0 tokens.
[13:48:14]	Alex Palovichov has gained a 'Scrap Electronics' #21327.
[13:48:24]	Alex Palovichov used the 'Yield Turn-In' vendor.
[13:48:36]	Alex Palovichov ran 'drop' on item 'Charred Metal' (#21324)
[13:48:36]	Alex Palovichov has lost a 'Charred Metal' #21324.
[13:48:56]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#21327)
[13:48:56]	Alex Palovichov has lost a 'Scrap Electronics' #21327.
[13:49:11]	Alex Palovichov ran 'take' on item 'Charred Metal' (#21324)
[13:49:11]	Alex Palovichov has gained a 'Charred Metal' #21324.
[13:49:19]	Alex Palovichov has lost a 'Charred Metal' #21323.
[13:49:19]	Alex Palovichov has lost a 'Charred Metal' #21324.
[13:49:19]	Alex Palovichov has gained a 'Scrap Metal' #21328.
[13:49:31]	Alex Palovichov ran 'take' on item 'Scrap Electronics' (#21327)
[13:49:31]	Alex Palovichov has gained a 'Scrap Electronics' #21327.
[13:49:38]	Alex Palovichov has lost a 'Scrap Electronics' #21327.
[13:49:38]	Alex Palovichov has lost a 'Scrap Electronics' #21325.
[13:49:38]	Alex Palovichov has lost a 'Scrap Electronics' #21326.
[13:49:38]	Alex Palovichov has gained a 'Refined Electronics' #21329.
[13:49:42]	Alex Palovichov used the 'Yield Turn-In' vendor.
[13:49:44]	Alex Palovichov has gained 1 token.
[13:49:50]	Alex Palovichov used the 'Cycle Supply' vendor.
[13:49:52]	Alex Palovichov has gained 0 tokens.
[13:49:52]	Alex Palovichov has gained a 'Charred Metal' #21329.
[13:49:53]	Alex Palovichov has gained 0 tokens.
[13:49:53]	Alex Palovichov has gained a 'Charred Metal' #21330.
[13:49:53]	Alex Palovichov has gained 0 tokens.
[13:49:53]	Alex Palovichov has gained a 'Charred Metal' #21331.
[13:49:54]	Alex Palovichov has gained 0 tokens.
[13:49:54]	Alex Palovichov has gained a 'Charred Metal' #21332.
[13:49:54]	Alex Palovichov has gained 0 tokens.
[13:49:54]	Alex Palovichov has gained a 'Charred Metal' #21333.
[13:49:55]	Alex Palovichov has gained 0 tokens.
[13:49:55]	Alex Palovichov has gained a 'Charred Metal' #21334.
[13:49:55]	Alex Palovichov has gained 0 tokens.
[13:49:55]	Alex Palovichov has gained a 'Charred Metal' #21335.
[13:49:56]	Alex Palovichov has gained 0 tokens.
[13:49:56]	Alex Palovichov has gained a 'Charred Metal' #21336.
[13:49:57]	Alex Palovichov has gained 0 tokens.
[13:49:57]	Alex Palovichov has gained a 'Charred Metal' #21337.
[13:49:57]	Alex Palovichov has gained 0 tokens.
[13:49:57]	Alex Palovichov has gained a 'Charred Metal' #21338.
[13:50:05]	Alex Palovichov has lost a 'Charred Metal' #21337.
[13:50:05]	Alex Palovichov has lost a 'Charred Metal' #21331.
[13:50:05]	Alex Palovichov has gained a 'Scrap Metal' #21339.
[13:50:06]	Alex Palovichov has lost a 'Charred Metal' #21335.
[13:50:06]	Alex Palovichov has lost a 'Charred Metal' #21322.
[13:50:06]	Alex Palovichov has gained a 'Scrap Metal' #21340.
[13:50:06]	Alex Palovichov has lost a 'Charred Metal' #21336.
[13:50:06]	Alex Palovichov has lost a 'Charred Metal' #21330.
[13:50:06]	Alex Palovichov has gained a 'Scrap Metal' #21341.
[13:50:06]	Alex Palovichov has lost a 'Charred Metal' #21329.
[13:50:06]	Alex Palovichov has lost a 'Charred Metal' #21333.
[13:50:06]	Alex Palovichov has gained a 'Scrap Metal' #21342.
[13:50:06]	Alex Palovichov has lost a 'Charred Metal' #21338.
[13:50:06]	Alex Palovichov has lost a 'Charred Metal' #21332.
[13:50:06]	Alex Palovichov has gained a 'Scrap Metal' #21343.
[13:50:10]	Alex Palovichov has lost a 'Scrap Metal' #21343.
[13:50:10]	Alex Palovichov has lost a 'Scrap Metal' #21339.
[13:50:10]	Alex Palovichov has lost a 'Scrap Metal' #21340.
[13:50:10]	Alex Palovichov has gained a 'Reclaimed Metal' #21343.
[13:50:11]	Alex Palovichov has lost a 'Scrap Metal' #21328.
[13:50:11]	Alex Palovichov has lost a 'Scrap Metal' #21341.
[13:50:11]	Alex Palovichov has lost a 'Scrap Metal' #21342.
[13:50:11]	Alex Palovichov has gained a 'Reclaimed Metal' #21344.
[13:50:17]	Alex Palovichov used the 'Cycle Supply' vendor.
[13:50:19]	Alex Palovichov has gained 0 tokens.
[13:50:19]	Alex Palovichov has gained a 'Charred Metal' #21345.
[13:50:20]	Alex Palovichov has gained 0 tokens.
[13:50:20]	Alex Palovichov has gained a 'Charred Metal' #21346.
[13:50:20]	Alex Palovichov has gained 0 tokens.
[13:50:20]	Alex Palovichov has gained a 'Charred Metal' #21347.
[13:50:21]	Alex Palovichov has gained 0 tokens.
[13:50:21]	Alex Palovichov has gained a 'Charred Metal' #21348.
[13:50:21]	Alex Palovichov has gained 0 tokens.
[13:50:21]	Alex Palovichov has gained a 'Charred Metal' #21349.
[13:50:22]	Alex Palovichov has gained 0 tokens.
[13:50:22]	Alex Palovichov has gained a 'Charred Metal' #21350.
[13:50:22]	Alex Palovichov has gained 0 tokens.
[13:50:22]	Alex Palovichov has gained a 'Charred Metal' #21351.
[13:50:23]	Alex Palovichov has gained 0 tokens.
[13:50:23]	Alex Palovichov has gained a 'Charred Metal' #21352.
[13:50:23]	Alex Palovichov has gained 0 tokens.
[13:50:23]	Alex Palovichov has gained a 'Charred Metal' #21353.
[13:50:24]	Alex Palovichov has gained 0 tokens.
[13:50:24]	Alex Palovichov has gained a 'Charred Metal' #21354.
[13:50:24]	Alex Palovichov has gained 0 tokens.
[13:50:24]	Alex Palovichov has gained a 'Charred Metal' #21355.
[13:50:25]	Alex Palovichov has gained 0 tokens.
[13:50:25]	Alex Palovichov has gained a 'Charred Metal' #21356.
[13:50:25]	Alex Palovichov has gained 0 tokens.
[13:50:25]	Alex Palovichov has gained a 'Charred Metal' #21357.
[13:50:32]	Alex Palovichov has lost a 'Charred Metal' #21351.
[13:50:32]	Alex Palovichov has lost a 'Charred Metal' #21346.
[13:50:32]	Alex Palovichov has gained a 'Scrap Metal' #21358.
[13:50:32]	Alex Palovichov has lost a 'Charred Metal' #21354.
[13:50:32]	Alex Palovichov has lost a 'Charred Metal' #21352.
[13:50:32]	Alex Palovichov has gained a 'Scrap Metal' #21359.
[13:50:32]	Alex Palovichov has lost a 'Charred Metal' #21347.
[13:50:32]	Alex Palovichov has lost a 'Charred Metal' #21355.
[13:50:32]	Alex Palovichov has gained a 'Scrap Metal' #21360.
[13:50:32]	Alex Palovichov has lost a 'Charred Metal' #21334.
[13:50:32]	Alex Palovichov has lost a 'Charred Metal' #21356.
[13:50:32]	Alex Palovichov has gained a 'Scrap Metal' #21361.
[13:50:32]	Alex Palovichov has lost a 'Charred Metal' #21357.
[13:50:32]	Alex Palovichov has lost a 'Charred Metal' #21350.
[13:50:32]	Alex Palovichov has gained a 'Scrap Metal' #21362.
[13:50:33]	Alex Palovichov has lost a 'Charred Metal' #21345.
[13:50:33]	Alex Palovichov has lost a 'Charred Metal' #21353.
[13:50:33]	Alex Palovichov has gained a 'Scrap Metal' #21363.
[13:50:33]	Alex Palovichov has lost a 'Charred Metal' #21349.
[13:50:33]	Alex Palovichov has lost a 'Charred Metal' #21348.
[13:50:33]	Alex Palovichov has gained a 'Scrap Metal' #21364.
[13:50:35]	Alex Palovichov has lost a 'Scrap Metal' #21363.
[13:50:35]	Alex Palovichov has lost a 'Scrap Metal' #21360.
[13:50:35]	Alex Palovichov has lost a 'Scrap Metal' #21359.
[13:50:35]	Alex Palovichov has gained a 'Reclaimed Metal' #21365.
[13:50:35]	Alex Palovichov has lost a 'Scrap Metal' #21358.
[13:50:35]	Alex Palovichov has lost a 'Scrap Metal' #21364.
[13:50:35]	Alex Palovichov has lost a 'Scrap Metal' #21362.
[13:50:35]	Alex Palovichov has gained a 'Reclaimed Metal' #21366.
[13:50:36]	Alex Palovichov has lost a 'Reclaimed Metal' #21343.
[13:50:36]	Alex Palovichov has lost a 'Reclaimed Metal' #21344.
[13:50:36]	Alex Palovichov has lost a 'Reclaimed Metal' #21365.
[13:50:36]	Alex Palovichov has gained a 'Refined Metal' #21367.
[13:50:37]	CCA.C08-GRID.i3.39867 has gained 10 tokens.
[13:50:47]	Garlic Slut loaded the character 'PFC Emily Brown'
[13:51:22]	Alex Palovichov ran 'EquipUn' on item 'Green Citizen Suit' (#21318)
[13:51:34]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:51:41]	Alex Palovichov used the 'Yield Turn-In' vendor.
[13:51:42]	Alex Palovichov has gained 3 tokens.
[13:51:47]	Alex Palovichov used the 'Cycle Supply' vendor.
[13:51:49]	Alex Palovichov has gained 0 tokens.
[13:51:49]	Alex Palovichov has gained a 'Charred Metal' #21367.
[13:51:50]	Alex Palovichov has gained 0 tokens.
[13:51:50]	Alex Palovichov has gained a 'Charred Metal' #21368.
[13:51:50]	Alex Palovichov has gained 0 tokens.
[13:51:50]	Alex Palovichov has gained a 'Charred Metal' #21369.
[13:51:51]	Alex Palovichov has gained 0 tokens.
[13:51:51]	Alex Palovichov has gained a 'Charred Metal' #21370.
[13:51:51]	Alex Palovichov has gained 0 tokens.
[13:51:51]	Alex Palovichov has gained a 'Charred Metal' #21371.
[13:51:51]	Alex Palovichov has gained 0 tokens.
[13:51:51]	Alex Palovichov has gained a 'Charred Metal' #21372.
[13:51:52]	Alex Palovichov has gained 0 tokens.
[13:51:52]	Alex Palovichov has gained a 'Charred Metal' #21373.
[13:51:52]	Alex Palovichov has gained 0 tokens.
[13:51:52]	Alex Palovichov has gained a 'Charred Metal' #21374.
[13:51:53]	Alex Palovichov has gained 0 tokens.
[13:51:53]	Alex Palovichov has gained a 'Charred Metal' #21375.
[13:51:53]	Alex Palovichov has gained 0 tokens.
[13:51:53]	Alex Palovichov has gained a 'Charred Metal' #21376.
[13:51:54]	Alex Palovichov has gained 0 tokens.
[13:51:54]	Alex Palovichov has gained a 'Charred Metal' #21377.
[13:51:54]	Alex Palovichov has gained 0 tokens.
[13:51:54]	Alex Palovichov has gained a 'Charred Metal' #21378.
[13:51:55]	Alex Palovichov has gained 0 tokens.
[13:51:55]	Alex Palovichov has gained a 'Charred Metal' #21379.
[13:52:03]	Alex Palovichov has lost a 'Charred Metal' #21367.
[13:52:03]	Alex Palovichov has lost a 'Charred Metal' #21376.
[13:52:03]	Alex Palovichov has gained a 'Scrap Metal' #21380.
[13:52:03]	Alex Palovichov has lost a 'Charred Metal' #21375.
[13:52:03]	Alex Palovichov has lost a 'Charred Metal' #21368.
[13:52:03]	Alex Palovichov has gained a 'Scrap Metal' #21381.
[13:52:03]	Alex Palovichov has lost a 'Charred Metal' #21377.
[13:52:03]	Alex Palovichov has lost a 'Charred Metal' #21378.
[13:52:03]	Alex Palovichov has gained a 'Scrap Metal' #21382.
[13:52:03]	Alex Palovichov has lost a 'Charred Metal' #21369.
[13:52:03]	Alex Palovichov has lost a 'Charred Metal' #21371.
[13:52:03]	Alex Palovichov has gained a 'Scrap Metal' #21383.
[13:52:04]	Alex Palovichov has lost a 'Charred Metal' #21374.
[13:52:04]	Alex Palovichov has lost a 'Charred Metal' #21373.
[13:52:04]	Alex Palovichov has gained a 'Scrap Metal' #21384.
[13:52:04]	Alex Palovichov has lost a 'Charred Metal' #21370.
[13:52:04]	Alex Palovichov has lost a 'Charred Metal' #21372.
[13:52:04]	Alex Palovichov has gained a 'Scrap Metal' #21385.
[13:52:05]	Alex Palovichov has lost a 'Scrap Metal' #21384.
[13:52:05]	Alex Palovichov has lost a 'Scrap Metal' #21383.
[13:52:05]	Alex Palovichov has lost a 'Scrap Metal' #21385.
[13:52:05]	Alex Palovichov has gained a 'Reclaimed Metal' #21383.
[13:52:05]	Alex Palovichov has lost a 'Scrap Metal' #21380.
[13:52:05]	Alex Palovichov has lost a 'Scrap Metal' #21381.
[13:52:05]	Alex Palovichov has lost a 'Scrap Metal' #21361.
[13:52:05]	Alex Palovichov has gained a 'Reclaimed Metal' #21384.
[13:52:06]	Alex Palovichov has lost a 'Reclaimed Metal' #21384.
[13:52:06]	Alex Palovichov has lost a 'Reclaimed Metal' #21366.
[13:52:06]	Alex Palovichov has lost a 'Reclaimed Metal' #21383.
[13:52:06]	Alex Palovichov has gained a 'Refined Metal' #21383.
[13:52:13]	Alex Palovichov used the 'Cycle Supply' vendor.
[13:52:15]	Alex Palovichov has gained 0 tokens.
[13:52:15]	Alex Palovichov has gained a 'Charred Metal' #21384.
[13:52:15]	Alex Palovichov has gained 0 tokens.
[13:52:15]	Alex Palovichov has gained a 'Charred Metal' #21385.
[13:52:16]	Alex Palovichov has gained 0 tokens.
[13:52:16]	Alex Palovichov has gained a 'Charred Metal' #21386.
[13:52:17]	Alex Palovichov has gained 0 tokens.
[13:52:17]	Alex Palovichov has gained a 'Charred Metal' #21387.
[13:52:17]	Alex Palovichov has gained 0 tokens.
[13:52:17]	Alex Palovichov has gained a 'Charred Metal' #21388.
[13:52:17]	Alex Palovichov has gained 0 tokens.
[13:52:17]	Alex Palovichov has gained a 'Charred Metal' #21389.
[13:52:18]	Alex Palovichov has gained 0 tokens.
[13:52:18]	Alex Palovichov has gained a 'Charred Metal' #21390.
[13:52:18]	Alex Palovichov has gained 0 tokens.
[13:52:18]	Alex Palovichov has gained a 'Charred Metal' #21391.
[13:52:19]	Alex Palovichov has gained 0 tokens.
[13:52:19]	Alex Palovichov has gained a 'Charred Metal' #21392.
[13:52:19]	Alex Palovichov has gained 0 tokens.
[13:52:19]	Alex Palovichov has gained a 'Charred Metal' #21393.
[13:52:20]	Alex Palovichov has gained 0 tokens.
[13:52:20]	Alex Palovichov has gained a 'Charred Metal' #21394.
[13:52:26]	Alex Palovichov has lost a 'Charred Metal' #21384.
[13:52:26]	Alex Palovichov has lost a 'Charred Metal' #21393.
[13:52:26]	Alex Palovichov has gained a 'Scrap Metal' #21395.
[13:52:27]	Alex Palovichov has lost a 'Charred Metal' #21392.
[13:52:27]	Alex Palovichov has lost a 'Charred Metal' #21385.
[13:52:27]	Alex Palovichov has gained a 'Scrap Metal' #21396.
[13:52:27]	Alex Palovichov has lost a 'Charred Metal' #21391.
[13:52:27]	Alex Palovichov has lost a 'Charred Metal' #21388.
[13:52:27]	Alex Palovichov has gained a 'Scrap Metal' #21397.
[13:52:27]	Alex Palovichov has lost a 'Charred Metal' #21390.
[13:52:27]	Alex Palovichov has lost a 'Charred Metal' #21387.
[13:52:27]	Alex Palovichov has gained a 'Scrap Metal' #21398.
[13:52:27]	Alex Palovichov has lost a 'Charred Metal' #21389.
[13:52:27]	Alex Palovichov has lost a 'Charred Metal' #21394.
[13:52:27]	Alex Palovichov has gained a 'Scrap Metal' #21399.
[13:52:28]	Alex Palovichov has lost a 'Charred Metal' #21386.
[13:52:28]	Alex Palovichov has lost a 'Charred Metal' #21379.
[13:52:28]	Alex Palovichov has gained a 'Scrap Metal' #21400.
[13:52:29]	Alex Palovichov has lost a 'Scrap Metal' #21400.
[13:52:29]	Alex Palovichov has lost a 'Scrap Metal' #21396.
[13:52:29]	Alex Palovichov has lost a 'Scrap Metal' #21397.
[13:52:29]	Alex Palovichov has gained a 'Reclaimed Metal' #21400.
[13:52:29]	Alex Palovichov has lost a 'Scrap Metal' #21395.
[13:52:29]	Alex Palovichov has lost a 'Scrap Metal' #21382.
[13:52:29]	Alex Palovichov has lost a 'Scrap Metal' #21398.
[13:52:29]	Alex Palovichov has gained a 'Reclaimed Metal' #21401.
[13:52:34]	Alex Palovichov used the 'Cycle Supply' vendor.
[13:52:36]	Alex Palovichov has gained 0 tokens.
[13:52:36]	Alex Palovichov has gained a 'Charred Metal' #21402.
[13:52:36]	Alex Palovichov has gained 0 tokens.
[13:52:36]	Alex Palovichov has gained a 'Charred Metal' #21403.
[13:52:37]	Alex Palovichov has gained 0 tokens.
[13:52:37]	Alex Palovichov has gained a 'Charred Metal' #21404.
[13:52:37]	Alex Palovichov has gained 0 tokens.
[13:52:37]	Alex Palovichov has gained a 'Charred Metal' #21405.
[13:52:38]	Alex Palovichov has gained 0 tokens.
[13:52:38]	Alex Palovichov has gained a 'Charred Metal' #21406.
[13:52:39]	Alex Palovichov has gained 0 tokens.
[13:52:39]	Alex Palovichov has gained a 'Charred Metal' #21407.
[13:52:39]	Alex Palovichov has gained 0 tokens.
[13:52:39]	Alex Palovichov has gained a 'Charred Metal' #21408.
[13:52:40]	Alex Palovichov has gained 0 tokens.
[13:52:40]	Alex Palovichov has gained a 'Charred Metal' #21409.
[13:52:42]	Alex Palovichov used the 'Cycle Supply' vendor.
[13:52:43]	Alex Palovichov has gained 0 tokens.
[13:52:43]	Alex Palovichov has gained a 'Charred Metal' #21410.
[13:52:44]	Alex Palovichov has gained 0 tokens.
[13:52:44]	Alex Palovichov has gained a 'Charred Metal' #21411.
[13:52:47]	PFC Emily Brown ran 'EquipUn' on item 'Conscript Hazmat Armor' (#20508)
[13:52:51]	Alex Palovichov has lost a 'Charred Metal' #21409.
[13:52:51]	Alex Palovichov has lost a 'Charred Metal' #21402.
[13:52:51]	Alex Palovichov has gained a 'Scrap Metal' #21412.
[13:52:51]	Alex Palovichov has lost a 'Charred Metal' #21410.
[13:52:51]	Alex Palovichov has lost a 'Charred Metal' #21403.
[13:52:51]	Alex Palovichov has gained a 'Scrap Metal' #21413.
[13:52:51]	Alex Palovichov has lost a 'Charred Metal' #21408.
[13:52:51]	Alex Palovichov has lost a 'Charred Metal' #21404.
[13:52:51]	Alex Palovichov has gained a 'Scrap Metal' #21414.
[13:52:51]	Alex Palovichov has lost a 'Charred Metal' #21407.
[13:52:51]	Alex Palovichov has lost a 'Charred Metal' #21405.
[13:52:51]	Alex Palovichov has gained a 'Scrap Metal' #21415.
[13:52:51]	Alex Palovichov has lost a 'Charred Metal' #21406.
[13:52:51]	Alex Palovichov has lost a 'Charred Metal' #21411.
[13:52:51]	Alex Palovichov has gained a 'Scrap Metal' #21416.
[13:52:52]	Alex Palovichov has lost a 'Scrap Metal' #21416.
[13:52:52]	Alex Palovichov has lost a 'Scrap Metal' #21413.
[13:52:52]	Alex Palovichov has lost a 'Scrap Metal' #21412.
[13:52:52]	Alex Palovichov has gained a 'Reclaimed Metal' #21416.
[13:52:52]	Alex Palovichov has lost a 'Scrap Metal' #21414.
[13:52:52]	Alex Palovichov has lost a 'Scrap Metal' #21415.
