[01:41:18]	Heisenburger has connected.
[14:20:41]	Andrew Cloverman exited observer at their location.
[14:20:41]	Andrew Cloverman entered observer.
[14:21:05]	Andrew Cloverman used command '/ToggleRaise'.
[14:21:06]	Andrew Cloverman used command '/ToggleRaise'.
[14:21:46]	Andrew Cloverman used command '/ToggleRaise'.
[14:21:48]	Andrew Cloverman destroyed a 'Bar of Soap' #30423.
[14:21:48]	Andrew Cloverman destroyed a 'Bar of Soap' #30447.
[14:21:48]	Andrew Cloverman destroyed a 'Power Supply Unit' #30416.
[14:21:49]	Andrew Cloverman destroyed a 'Fingerless Gloves' #30386.
[14:21:49]	Andrew Cloverman destroyed a 'Empty Flavored Consulate Water Can' #30316.
[14:21:50]	Andrew Cloverman destroyed a 'Bar of Soap' #29800.
[14:21:53]	Andrew Cloverman destroyed a 'Pack of Nails' #29544.
[14:21:54]	Andrew Cloverman destroyed a 'Rock' #28146.
[14:22:01]	Andrew Cloverman used command '/ToggleRaise'.
[14:22:01]	Andrew Cloverman entered observer.
[14:22:06]	Andrew Cloverman destroyed a 'Scrap Metal' #30272.
[14:22:06]	Andrew Cloverman destroyed a 'Wires' #29937.
[14:22:06]	Andrew Cloverman destroyed a 'AA Battery' #29936.
[14:22:07]	Andrew Cloverman destroyed a 'Pack of Screws' #30421.
[14:22:07]	Andrew Cloverman destroyed a 'Fingerless Gloves' #30271.
[14:22:09]	Andrew Cloverman destroyed a 'Pack of Screws' #30444.
[14:22:12]	Andrew Cloverman destroyed a 'Nylon Cord' #30222.
[14:22:12]	Andrew Cloverman destroyed a 'Power Supply Unit' #30148.
[14:22:12]	Andrew Cloverman destroyed a 'Cinderblock' #30235.
[14:22:12]	Andrew Cloverman destroyed a 'Wires' #30239.
[14:22:12]	Andrew Cloverman destroyed a 'A Roll of Toilet Paper' #29875.
[14:22:12]	Andrew Cloverman destroyed a 'Cinderblock' #30246.
[14:22:12]	Andrew Cloverman destroyed a 'Circuit Board' #29683.
[14:22:12]	Andrew Cloverman destroyed a 'Empty Cooking Oil Bottle' #30457.
[14:22:13]	Andrew Cloverman destroyed a 'Cloth Scrap' #30390.
[14:22:13]	Andrew Cloverman destroyed a 'Rock' #30106.
[14:22:13]	Andrew Cloverman destroyed a 'Citizen Filter' #30415.
[14:22:13]	Andrew Cloverman destroyed a 'Scrap Metal' #30420.
[14:22:13]	Andrew Cloverman destroyed a 'Spark Plug' #29980.
[14:22:14]	Andrew Cloverman destroyed a 'Spark Plug' #30242.
[14:22:20]	Andrew Cloverman destroyed a 'Insulating Tape' #29887.
[14:22:20]	Andrew Cloverman destroyed a 'Pack of Screws' #29807.
[14:22:20]	Andrew Cloverman destroyed a 'Circuit Board' #30100.
[14:22:20]	Andrew Cloverman destroyed a 'Cinderblock' #29847.
[14:22:21]	Andrew Cloverman destroyed a 'Bar of Soap' #29273.
[14:22:21]	Andrew Cloverman destroyed a 'Cloth Scrap' #30096.
[14:22:21]	Andrew Cloverman destroyed a 'AA Battery' #29144.
[14:22:21]	Andrew Cloverman destroyed a 'Graphics Card' #30364.
[14:22:21]	Andrew Cloverman destroyed a 'Pack of Screws' #29845.
[14:22:21]	Andrew Cloverman destroyed a 'Box of Matches' #30061.
[14:22:24]	Andrew Cloverman destroyed a 'Capacitors' #29885.
[14:22:25]	Andrew Cloverman destroyed a 'Wires' #30424.
[14:22:25]	Andrew Cloverman has taken 1 damage from Andrew Cloverman.
[14:22:38]	Andrew Cloverman used command '/ToggleRaise'.
[14:22:40]	Andrew Cloverman entered observer.
[14:22:42]	Andrew Cloverman destroyed a 'Screwdriver' #30008.
[14:22:42]	Andrew Cloverman destroyed a 'Blood Collecting Syringe' #29743.
[14:22:43]	Andrew Cloverman destroyed a 'Pack of Nails' #29200.
[14:22:45]	Andrew Cloverman destroyed a 'Empty Tin Can' #29402.
[14:22:45]	Andrew Cloverman destroyed a 'AA Battery' #30097.
[14:22:45]	Andrew Cloverman destroyed a 'Broken LCD Monitor' #29729.
[14:22:45]	Andrew Cloverman destroyed a 'Padlock' #29503.
[14:22:45]	Andrew Cloverman destroyed a 'Padlock' #29520.
[14:22:45]	Andrew Cloverman destroyed a 'Bar of Soap' #29259.
[14:22:45]	Andrew Cloverman destroyed a 'Scrap Plastic' #29638.
[14:22:45]	Andrew Cloverman destroyed a 'AA Battery' #29808.
[14:22:46]	Andrew Cloverman destroyed a 'Circuit Board' #30098.
[14:22:46]	Andrew Cloverman destroyed a 'Small Thermos' #30101.
[14:22:46]	Andrew Cloverman destroyed a 'Empty Pill Bottle' #29235.
[14:22:46]	Andrew Cloverman destroyed a 'Empty Sparkling Consulate Water Can' #29236.
[14:22:48]	Andrew Cloverman destroyed a 'Blue Pre-War Shirt' #30425.
[14:22:48]	Andrew Cloverman destroyed a 'Adjustable Wrench' #30387.
[14:22:56]	Andrew Cloverman destroyed a 'Silicone Tube' #30015.
[14:22:56]	Andrew Cloverman destroyed a 'Powercord' #30025.
[14:22:57]	Andrew Cloverman destroyed a 'Scrap Glass' #29817.
[14:22:57]	Andrew Cloverman destroyed a 'Car Battery' #29967.
[14:22:57]	Andrew Cloverman destroyed a 'Boot' #30014.
[14:22:57]	Andrew Cloverman destroyed a 'Screw Nuts' #28541.
[14:22:57]	Andrew Cloverman destroyed a 'Rope' #29990.
[14:22:57]	Andrew Cloverman destroyed a 'Empty Tin Can' #30143.
[14:22:57]	Andrew Cloverman destroyed a 'Circuit Board' #29913.
[14:22:57]	Andrew Cloverman destroyed a 'Empty Pill Bottle' #30118.
[14:22:58]	Andrew Cloverman destroyed a 'Empty Sparkling Consulate Water Can' #29944.
[14:22:58]	Andrew Cloverman destroyed a 'Scrap Glass' #29394.
[14:22:58]	Andrew Cloverman destroyed a 'Empty Tin Can' #30218.
[14:22:58]	Andrew Cloverman has taken 1 damage from Andrew Cloverman.
[14:23:04]	Andrew Cloverman used command '/ToggleRaise'.
[14:23:05]	Andrew Cloverman entered observer.
[14:23:09]	Andrew Cloverman destroyed a 'Empty Consulate Water Can' #30391.
[14:23:09]	Andrew Cloverman destroyed a 'Spark Plug' #30131.
[14:23:09]	Andrew Cloverman destroyed a 'Empty Combine Air Tank' #30414.
[14:23:09]	Andrew Cloverman destroyed a 'AA Battery' #28907.
[14:23:33]	Andrew Cloverman destroyed a 'Broken LCD Monitor' #30207.
[14:23:33]	Andrew Cloverman destroyed a 'Insulating Tape' #30064.
[14:23:35]	Andrew Cloverman destroyed a 'Empty Sparkling Consulate Water Can' #30146.
[14:23:35]	Andrew Cloverman destroyed a 'Scrap Metal' #30193.
[14:23:36]	Andrew Cloverman destroyed a 'Paper' #28687.
[14:23:36]	Andrew Cloverman destroyed a 'Scrap Metal' #30392.
[14:23:36]	Andrew Cloverman destroyed a 'Horse Statue' #30458.
[14:23:36]	Andrew Cloverman destroyed a 'Cinderblock' #30062.
[14:23:36]	Andrew Cloverman destroyed a 'Pan' #30209.
[14:23:36]	Andrew Cloverman destroyed a 'Powercord' #30176.
[14:23:36]	Andrew Cloverman destroyed a 'Screw Nuts' #29789.
[14:23:37]	Andrew Cloverman destroyed a 'Small Thermos' #30194.
[14:23:37]	Andrew Cloverman destroyed a 'Gas Analyser' #30166.
[14:23:37]	Andrew Cloverman destroyed a 'Empty Pill Bottle' #29986.
[14:23:37]	Andrew Cloverman destroyed a 'Piece of Plexiglass' #30031.
[14:23:37]	Andrew Cloverman destroyed a 'Bar of Soap' #30115.
[14:23:37]	Andrew Cloverman destroyed a 'Scrap Glass' #30136.
[14:23:37]	Andrew Cloverman destroyed a 'AA Battery' #30162.
[14:23:37]	Andrew Cloverman destroyed a 'Bar of Soap' #30187.
[14:23:38]	Andrew Cloverman destroyed a 'Piece of Plexiglass' #30154.
[14:23:40]	Andrew Cloverman destroyed a 'Broken LCD Monitor' #30147.
[14:23:40]	Andrew Cloverman has taken 2 damage from Andrew Cloverman.
[14:23:45]	Andrew Cloverman used command '/ToggleRaise'.
[14:23:46]	Andrew Cloverman entered observer.
[14:23:46]	Andrew Cloverman destroyed a 'Broken Clock' #30105.
[14:23:50]	Andrew Cloverman destroyed a 'Empty Soda Bottle' #30313.
[14:23:51]	Andrew Cloverman destroyed a 'AA Battery' #30273.
[14:23:51]	Andrew Cloverman destroyed a 'Scrap Metal' #30377.
[14:23:57]	Andrew Cloverman destroyed a 'Adjustable Wrench' #29193.
[14:23:57]	Andrew Cloverman destroyed a 'Insulating Tape' #30312.
[14:23:59]	Andrew Cloverman destroyed a 'AA Battery' #30448.
[14:24:11]	Andrew Cloverman destroyed a 'Citizen Filter' #29045.
[14:24:11]	Andrew Cloverman destroyed a 'Citizen Filter' #29162.
[14:24:12]	Andrew Cloverman destroyed a 'Cyclopic Citizen Suit' #29069.
[14:24:14]	Andrew Cloverman destroyed a 'Suitcase' #29046.
[14:24:29]	Andrew Cloverman destroyed a 'Empty Flavored Consulate Water Can' #26087.
[14:24:29]	Andrew Cloverman destroyed a 'Empty Consulate Water Can' #26155.
[14:24:29]	Andrew Cloverman destroyed a 'Cloth Scrap' #29014.
[14:24:29]	Andrew Cloverman destroyed a 'Powercord' #24428.
[14:24:29]	Andrew Cloverman destroyed a 'Empty Consulate Water Can' #27151.
[14:24:29]	Andrew Cloverman destroyed a 'Spark Plug' #28831.
[14:24:29]	Andrew Cloverman destroyed a 'Silicone Tube' #28917.
[14:24:29]	Andrew Cloverman destroyed a 'Empty Sparkling Consulate Water Can' #26268.
[14:24:29]	Andrew Cloverman destroyed a 'Pliers' #24278.
[14:24:29]	Andrew Cloverman destroyed a 'Empty Sparkling Consulate Water Can' #26142.
[14:24:29]	Andrew Cloverman destroyed a 'Bolts' #29013.
[14:24:29]	Andrew Cloverman destroyed a 'A Roll of Toilet Paper' #28919.
[14:24:29]	Andrew Cloverman destroyed a 'Capacitors' #29223.
[14:24:29]	Andrew Cloverman destroyed a 'Roubles' #28930.
[14:24:29]	Andrew Cloverman destroyed a 'Capacitors' #29004.
[14:24:36]	Andrew Cloverman destroyed a 'Powercord' #29818.
[14:24:36]	Andrew Cloverman destroyed a 'Power Supply Unit' #30201.
[14:24:36]	Andrew Cloverman destroyed a 'Box of Matches' #29625.
[14:24:36]	Andrew Cloverman destroyed a 'Roubles' #30215.
[14:24:37]	Andrew Cloverman destroyed a 'Spark Plug' #30208.
[14:24:38]	Andrew Cloverman destroyed a 'Blood Collecting Syringe' #30182.
[14:24:57]	Andrew Cloverman exited observer at their location.
[14:24:57]	Andrew Cloverman entered observer.
[14:24:57]	Andrew Cloverman exited observer at their location.
[14:24:58]	Andrew Cloverman entered observer.
[14:25:09]	Andrew Cloverman has gained a 'Padlock' #30468.
[14:25:09]	Andrew Cloverman used command '/CharGiveItem andrew padlock'.
[14:25:11]	Andrew Cloverman ran 'Use' on item 'Padlock' (#30468)
[14:25:40]	Andrew Cloverman used command '/ToggleRaise'.
[14:26:20]	Andrew Cloverman exited observer at their location.
[14:26:25]	Andrew Cloverman has spawned 'models/player/zelpa/male_05.mdl'.
[14:26:32]	Andrew Cloverman has spawned 'models/player/zelpa/male_03.mdl'.
[14:26:33]	Andrew Cloverman has spawned 'models/player/zelpa/male_05.mdl'.
[14:27:14]	Andrew Cloverman entered observer.
[14:28:22]	Andrew Cloverman has spawned 'models/hunter/plates/plate025x025.mdl'.
[14:30:06]	Andrew Cloverman used command '/TextAdd The body is missing its head, it looks like 0.35'.
[14:30:40]	Andrew Cloverman used command '/TextAdd it was destroyed with a heavy force. 0.35'.
[14:31:16]	Andrew Cloverman used command '/TextAdd There are bone fragments and blood scattered on the wall. 0.35'.
[14:33:24]	Andrew Cloverman used command '/TextAdd The cement is very cracked, as if it 0.35'.
[14:33:43]	Andrew Cloverman used command '/TextAdd was hit with a blunt force. 0.35'.
[14:36:27]	Andrew Cloverman used command '/TextAdd There's a large hole in the door. It looks like 0.45'.
[14:36:53]	Andrew Cloverman used command '/TextAdd someone or something busted in from the 0.45'.
[14:37:16]	Andrew Cloverman used command '/TextAdd other side. 0.45'.
[14:38:33]	Andrew Cloverman used command '/TextAdd The hole is vaguely person shaped in that 0.45'.
[14:38:46]	Andrew Cloverman used command '/TextAdd it's much taller than it is wide. 0.45'.
[17:09:21]	TrooperMan99 has connected.
[17:13:36]	Igof Stell has gained a 'Cyclopic Citizen Suit' #30468.
[17:13:36]	Igof Stell has gained a 'Citizen Filter' #30469.
[17:13:36]	TrooperMan99 created the character 'Igof Stell'
[17:13:36]	Igof Stell has gained a 'Suitcase' #30470.
[17:13:36]	Igof Stell has gained a 'Relocation Coupon' #30471.
[17:13:36]	TrooperMan99 loaded the character 'Igof Stell'
[17:13:53]	Igof Stell has taken 1 damage from worldspawn.
[17:13:54]	Igof Stell has taken 1 damage from worldspawn.
[17:13:55]	Igof Stell has taken 1 damage from worldspawn.
[17:13:56]	Igof Stell has taken 1 damage from worldspawn.
[17:13:56]	Igof Stell has taken 1 damage from worldspawn.
[17:13:57]	Igof Stell has taken 1 damage from worldspawn.
[17:13:58]	Igof Stell has taken 1 damage from worldspawn.
[17:13:59]	Igof Stell has taken 1 damage from worldspawn.
[17:14:16]	Igof Stell ran 'Equip' on item 'Cyclopic Citizen Suit' (#30468)
[17:14:19]	Igof Stell has taken 1 damage from worldspawn.
[17:14:20]	Igof Stell has taken 1 damage from worldspawn.
[17:14:20]	Igof Stell has taken 1 damage from worldspawn.
[17:14:21]	Igof Stell has taken 1 damage from worldspawn.
[17:14:22]	Igof Stell has taken 1 damage from worldspawn.
[17:14:23]	Igof Stell has taken 1 damage from worldspawn.
[17:14:23]	Igof Stell has taken 1 damage from worldspawn.
[17:14:24]	Igof Stell has taken 1 damage from worldspawn.
[17:14:25]	Igof Stell has taken 1 damage from worldspawn.
[17:16:51]	Igof Stell has taken 1 damage from worldspawn.
[17:16:51]	Igof Stell has taken 1 damage from worldspawn.
[17:16:52]	Igof Stell has taken 1 damage from worldspawn.
[17:16:53]	Igof Stell has taken 1 damage from worldspawn.
[17:16:54]	Igof Stell has taken 1 damage from worldspawn.
[17:16:54]	Igof Stell has taken 1 damage from worldspawn.
[17:16:55]	Igof Stell has taken 1 damage from worldspawn.
[17:18:04]	Igof Stell ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#30468)
[17:20:19]	[OOC] Igof Stell: im stuck at main gate
[17:22:26]	TrooperMan99 (STEAM_0:0:79359089) has disconnected.
[18:14:33]	Peppermint has connected.
[18:15:48]	Peppermint loaded the character 'Raven'
[18:15:56]	[OOC] Raven: hallo
[18:17:38]	Peppermint (STEAM_0:1:115933392) has disconnected.
[20:07:31]	Peppermint has connected.
[20:08:26]	Peppermint loaded the character 'Raven'
[20:08:46]	[OOC] Raven: You alive?
[20:09:50]	Peppermint (STEAM_0:1:115933392) has disconnected.
[21:12:00]	shaun.newbauer has connected.
[21:15:30]	bobby has gained a 'Green Citizen Suit' #30472.
[21:15:30]	bobby has gained a 'Citizen Filter' #30473.
[21:15:30]	shaun.newbauer created the character 'bobby'
[21:15:30]	bobby has gained a 'Suitcase' #30474.
[21:15:30]	bobby has gained a 'Relocation Coupon' #30475.
[21:15:30]	shaun.newbauer loaded the character 'bobby'
[21:15:35]	bobby has taken 1 damage from worldspawn.
[21:15:36]	bobby has taken 1 damage from worldspawn.
[21:15:37]	bobby has taken 1 damage from worldspawn.
[21:15:37]	bobby has taken 1 damage from worldspawn.
[21:15:38]	bobby has taken 1 damage from worldspawn.
[21:15:39]	bobby has taken 1 damage from worldspawn.
[21:15:40]	bobby has taken 1 damage from worldspawn.
[21:15:57]	bobby ran 'drop' on item 'Citizen Filter' (#30473)
[21:15:57]	bobby has lost a 'Citizen Filter' #30473.
[21:16:06]	bobby has taken 1 damage from worldspawn.
[21:16:07]	bobby has taken 1 damage from worldspawn.
[21:16:08]	bobby has taken 1 damage from worldspawn.
[21:16:08]	bobby has taken 1 damage from worldspawn.
[21:16:09]	bobby has taken 1 damage from worldspawn.
[21:16:17]	bobby has taken 1 damage from worldspawn.
[21:16:17]	bobby has taken 1 damage from worldspawn.
[21:16:18]	bobby has taken 1 damage from worldspawn.
[21:16:19]	bobby has taken 1 damage from worldspawn.
[21:16:41]	shaun.newbauer (STEAM_0:0:31208990) has disconnected.
[21:20:20]	TheBloodMaster has connected.
[21:23:42]	Adam Conor has gained a 'Cyclopic Citizen Suit' #30476.
[21:23:42]	Adam Conor has gained a 'Citizen Filter' #30477.
[21:23:42]	TheBloodMaster created the character 'Adam Conor'
[21:23:42]	Adam Conor has gained a 'Suitcase' #30478.
[21:23:42]	Adam Conor has gained a 'Relocation Coupon' #30479.
[21:23:43]	TheBloodMaster loaded the character 'Adam Conor'
[21:23:49]	[OOC] Adam Conor: Woah, this is surprisingly refined, 
[21:23:51]	Adam Conor used command '/Content'.
[21:24:28]	Adam Conor has taken 1 damage from worldspawn.
[21:24:29]	Adam Conor has taken 1 damage from worldspawn.
[21:24:30]	Adam Conor has taken 1 damage from worldspawn.
[21:24:31]	Adam Conor has taken 1 damage from worldspawn.
[21:24:32]	Adam Conor has taken 1 damage from worldspawn.
[21:24:32]	Adam Conor has taken 1 damage from worldspawn.
[21:24:33]	Adam Conor has taken 1 damage from worldspawn.
[21:24:34]	Adam Conor has taken 1 damage from worldspawn.
[21:24:35]	Adam Conor has taken 1 damage from worldspawn.
[21:24:35]	Adam Conor has taken 1 damage from worldspawn.
[21:24:36]	Adam Conor has taken 1 damage from worldspawn.
[21:24:37]	Adam Conor has taken 1 damage from worldspawn.
[21:24:38]	Adam Conor has taken 1 damage from worldspawn.
[21:24:38]	Adam Conor has taken 1 damage from worldspawn.
[21:24:39]	Adam Conor has taken 1 damage from worldspawn.
[21:24:40]	Adam Conor has taken 1 damage from worldspawn.
[21:24:41]	Adam Conor has taken 1 damage from worldspawn.
[21:24:41]	Adam Conor has taken 1 damage from worldspawn.
[21:24:42]	Adam Conor has taken 1 damage from worldspawn.
[21:24:43]	Adam Conor has taken 1 damage from worldspawn.
[21:24:44]	Adam Conor has taken 1 damage from worldspawn.
[21:24:44]	Adam Conor ran 'Equip' on item 'Cyclopic Citizen Suit' (#30476)
[21:24:44]	Adam Conor has taken 1 damage from worldspawn.
[21:24:45]	Adam Conor has taken 1 damage from worldspawn.
[21:24:46]	Adam Conor ran 'equip' on item 'Citizen Filter' (#30477)
[21:25:02]	[OOC] Adam Conor: Holy shit this is REALLY refined
[21:25:20]	Adam Conor used command '/Discord'.
[21:26:15]	Adam Conor opened the '' #2787 container.
[21:26:24]	Adam Conor has gained a 'Green Citizen Suit' #30343.
[21:26:24]	Adam Conor closed the '' #2787 container.
[21:28:50]	Adam Conor used command '/Content'.
[21:30:05]	TheBloodMaster (STEAM_0:1:15155616) has disconnected.
