[17:03:49]	wheat has connected.
[17:58:58]	CCA.C08-QrM.98240 entered observer.
[17:58:58]	Kermip the Space Frog entered observer.
[17:58:59]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:59]	CCA.C08-QrM.98240 entered observer.
[17:59:00]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:00]	CCA.C08-QrM.98240 entered observer.
[17:59:01]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:01]	CCA.C08-QrM.98240 entered observer.
[17:59:01]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:02]	CCA.C08-QrM.98240 entered observer.
[17:59:02]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:03]	CCA.C08-QrM.98240 entered observer.
[17:59:03]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:03]	CCA.C08-QrM.98240 entered observer.
[17:59:04]	matt saton loaded the character 'Administrative Character'
[17:59:05]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:05]	Administrative Character entered observer.
[17:59:06]	CCA.C08-QrM.98240 entered observer.
[17:59:07]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:07]	CCA.C08-QrM.98240 entered observer.
[17:59:08]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:23]	Administrative Character exited observer at their location.
[17:59:28]	Administrative Character entered observer.
[17:59:29]	Administrative Character exited observer at their location.
[17:59:29]	Administrative Character entered observer.
[17:59:30]	Administrative Character exited observer at their location.
[17:59:30]	Administrative Character entered observer.
[17:59:39]	Administrative Character exited observer at their location.
[17:59:39]	Administrative Character entered observer.
[17:59:39]	[OOC] CCA.C08-QrM.98240: [ERROR] gamemodes/ixhl2rp/plugins/combine_hud.lua:181: bad argument #1 to 'sub' (string expected, got nil)  1. sub - [C]:-1   2. v - gamemodes/ixhl2rp/plugins/combine_hud.lua:181    3. unknown - gamemodes/helix/gamemode/core/libs/sh_plugin.lua:345 (x252
[17:59:39]	Administrative Character exited observer at their location.
[17:59:40]	Administrative Character entered observer.
[17:59:40]	CCA.C08-QrM.98240 entered observer.
[17:59:43]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:43]	CCA.C08-QrM.98240 entered observer.
[17:59:44]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:44]	CCA.C08-QrM.98240 entered observer.
[17:59:44]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:45]	CCA.C08-QrM.98240 entered observer.
[17:59:45]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:45]	CCA.C08-QrM.98240 entered observer.
[17:59:46]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:46]	CCA.C08-QrM.98240 entered observer.
[17:59:47]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:47]	CCA.C08-QrM.98240 entered observer.
[17:59:47]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:47]	CCA.C08-QrM.98240 entered observer.
[17:59:48]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:48]	CCA.C08-QrM.98240 entered observer.
[17:59:49]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:49]	CCA.C08-QrM.98240 entered observer.
[17:59:50]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:50]	CCA.C08-QrM.98240 entered observer.
[17:59:50]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:51]	CCA.C08-QrM.98240 entered observer.
[17:59:51]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:51]	matt saton loaded the character 'CCA.C17-JUDGE.OfC.36012'
[17:59:52]	CCA.C08-QrM.98240 entered observer.
[17:59:52]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:52]	CCA.C08-QrM.98240 entered observer.
[17:59:52]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:53]	CCA.C17-JUDGE.OfC.36012 entered observer.
[17:59:53]	CCA.C08-QrM.98240 entered observer.
[17:59:53]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:53]	CCA.C08-QrM.98240 entered observer.
[17:59:54]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:54]	CCA.C08-QrM.98240 entered observer.
[17:59:55]	CCA.C17-JUDGE.OfC.36012 exited observer at their location.
[17:59:56]	CCA.C08-QrM.98240 exited observer at their location.
[17:59:56]	CCA.C08-QrM.98240 entered observer.
[17:59:58]	CCA.C17-JUDGE.OfC.36012 entered observer.
[17:59:59]	CCA.C17-JUDGE.OfC.36012 exited observer at their location.
[18:00:00]	CCA.C08-QrM.98240 exited observer at their location.
[18:00:00]	CCA.C08-QrM.98240 entered observer.
[18:00:00]	CCA.C08-QrM.98240 exited observer at their location.
[18:00:01]	CCA.C08-QrM.98240 entered observer.
[18:00:01]	CCA.C08-QrM.98240 exited observer at their location.
[18:00:02]	CCA.C17-JUDGE.OfC.36012 entered observer.
[18:00:02]	CCA.C08-QrM.98240 entered observer.
[18:00:02]	CCA.C08-QrM.98240 exited observer at their location.
[18:00:02]	CCA.C17-JUDGE.OfC.36012 exited observer at their location.
[18:00:02]	CCA.C08-QrM.98240 entered observer.
[18:00:03]	CCA.C17-JUDGE.OfC.36012 entered observer.
[18:00:03]	CCA.C17-JUDGE.OfC.36012 exited observer at their location.
[18:00:04]	CCA.C17-JUDGE.OfC.36012 entered observer.
[18:00:05]	CCA.C17-JUDGE.OfC.36012 exited observer at their location.
[18:00:06]	CCA.C17-JUDGE.OfC.36012 entered observer.
[18:00:15]	CCA.C08-QrM.98240 exited observer at their location.
[18:00:16]	CCA.C08-QrM.98240 entered observer.
[18:00:36]	CCA.C08-QrM.98240 exited observer at their location.
[18:00:37]	CCA.C08-QrM.98240 entered observer.
[18:00:37]	CCA.C08-QrM.98240 exited observer at their location.
[18:00:38]	CCA.C08-QrM.98240 entered observer.
[18:00:39]	CCA.C08-QrM.98240 ran 'Equip' on item 'USP Match' (#10354)
[18:00:41]	CCA.C08-QrM.98240 ran 'Equip' on item 'MP7' (#10355)
[18:00:59]	CCA.C08-QrM.98240 exited observer at their location.
[18:00:59]	CCA.C08-QrM.98240 entered observer.
[18:00:59]	CCA.C08-QrM.98240 exited observer at their location.
[18:01:00]	CCA.C08-QrM.98240 entered observer.
[18:01:00]	CCA.C08-QrM.98240 exited observer at their location.
[18:01:01]	CCA.C08-QrM.98240 entered observer.
[18:01:01]	CCA.C08-QrM.98240 exited observer at their location.
[18:01:02]	CCA.C08-QrM.98240 entered observer.
[18:01:02]	CCA.C08-QrM.98240 exited observer at their location.
[18:01:02]	CCA.C08-QrM.98240 entered observer.
[18:01:03]	CCA.C08-QrM.98240 exited observer at their location.
[18:01:03]	CCA.C08-QrM.98240 entered observer.
[18:01:03]	CCA.C08-QrM.98240 exited observer at their location.
[18:01:04]	CCA.C08-QrM.98240 entered observer.
[18:01:04]	CCA.C08-QrM.98240 exited observer at their location.
[18:01:04]	CCA.C08-QrM.98240 entered observer.
[18:01:04]	CCA.C08-QrM.98240 exited observer at their location.
[18:01:05]	CCA.C08-QrM.98240 entered observer.
[18:01:05]	CCA.C08-QrM.98240 exited observer at their location.
[18:01:05]	CCA.C08-QrM.98240 entered observer.
[18:01:06]	CCA.C08-QrM.98240 exited observer at their location.
[18:01:08]	CCA.C08-QrM.98240 entered observer.
[18:01:22]	CCA.C08-QrM.98240 exited observer at their location.
[18:01:23]	CCA.C08-QrM.98240 entered observer.
[18:01:46]	CCA.C17-JUDGE.OfC.36012 exited observer at their location.
[18:01:55]	CCA.C17-JUDGE.OfC.36012 entered observer.
[18:01:55]	CCA.C17-JUDGE.OfC.36012 exited observer at their location.
[18:01:55]	CCA.C17-JUDGE.OfC.36012 entered observer.
[18:02:17]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:18]	matt saton loaded the character 'Odell Cubbage'
[18:02:18]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:19]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:20]	Odell Cubbage entered observer.
[18:02:20]	CCA.C08-QrM.98240 entered observer.
[18:02:22]	Odell Cubbage ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#225)
[18:02:22]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:24]	CCA.C08-QrM.98240 entered observer.
[18:02:26]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:26]	CCA.C08-QrM.98240 entered observer.
[18:02:27]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:27]	CCA.C08-QrM.98240 entered observer.
[18:02:27]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:28]	CCA.C08-QrM.98240 entered observer.
[18:02:28]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:28]	CCA.C08-QrM.98240 entered observer.
[18:02:29]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:29]	CCA.C08-QrM.98240 entered observer.
[18:02:30]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:30]	CCA.C08-QrM.98240 entered observer.
[18:02:30]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:31]	CCA.C08-QrM.98240 entered observer.
[18:02:31]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:31]	CCA.C08-QrM.98240 entered observer.
[18:02:32]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:32]	CCA.C08-QrM.98240 entered observer.
[18:02:32]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:33]	CCA.C08-QrM.98240 entered observer.
[18:02:35]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:38]	CCA.C08-QrM.98240 entered observer.
[18:02:38]	Odell Cubbage has gained a 'OTA Filter' #12415.
[18:02:38]	Odell Cubbage used command '/CharGiveItem odell ota filter'.
[18:02:39]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:40]	CCA.C08-QrM.98240 entered observer.
[18:02:40]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:41]	CCA.C08-QrM.98240 entered observer.
[18:02:41]	Odell Cubbage ran 'drop' on item 'OTA Filter' (#12415)
[18:02:41]	Odell Cubbage has lost a 'OTA Filter' #12415.
[18:02:41]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:41]	CCA.C08-QrM.98240 entered observer.
[18:02:42]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:42]	CCA.C08-QrM.98240 entered observer.
[18:02:43]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:43]	CCA.C08-QrM.98240 entered observer.
[18:02:43]	Odell Cubbage entered observer.
[18:02:45]	Odell Cubbage exited observer at their location.
[18:02:45]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:45]	Odell Cubbage entered observer.
[18:02:46]	Odell Cubbage exited observer at their location.
[18:02:46]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:46]	Odell Cubbage entered observer.
[18:02:47]	Odell Cubbage exited observer at their location.
[18:02:47]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:47]	Odell Cubbage entered observer.
[18:02:47]	Odell Cubbage exited observer at their location.
[18:02:48]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:48]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:49]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:50]	Odell Cubbage ran 'take' on item 'OTA Filter' (#12415)
[18:02:50]	Odell Cubbage has gained a 'OTA Filter' #12415.
[18:02:50]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:50]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:50]	CCA.C08-QrM.98240 entered observer.
[18:02:51]	CCA.C08-QrM.98240 exited observer at their location.
[18:02:51]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:51]	Odell Cubbage ran 'Equip' on item 'Cyclopic Citizen Suit' (#225)
[18:02:52]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:52]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:53]	Odell Cubbage has taken 1 damage from worldspawn.
[18:02:53]	Odell Cubbage ran 'equip' on item 'OTA Filter' (#12415)
[18:02:57]	Odell Cubbage entered observer.
[18:02:58]	CCA.C08-QrM.98240 entered observer.
[18:02:59]	Odell Cubbage exited observer at their location.
[18:03:00]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:01]	CCA.C08-QrM.98240 entered observer.
[18:03:01]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:02]	CCA.C08-QrM.98240 entered observer.
[18:03:02]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:04]	CCA.C08-QrM.98240 entered observer.
[18:03:07]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:13]	CCA.C08-QrM.98240 entered observer.
[18:03:14]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:15]	CCA.C08-QrM.98240 entered observer.
[18:03:16]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:19]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[18:03:24]	CCA.C08-QrM.98240 entered observer.
[18:03:25]	CCA.C08-QrM.98240 has gained 10 tokens.
[18:03:25]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:28]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[18:03:30]	CCA.C08-QrM.98240 entered observer.
[18:03:31]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:33]	CCA.C08-QrM.98240 entered observer.
[18:03:34]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:35]	CCA.C08-QrM.98240 entered observer.
[18:03:35]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:36]	CCA.C08-QrM.98240 entered observer.
[18:03:38]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:38]	CCA.C08-QrM.98240 entered observer.
[18:03:45]	CCA.C08-QrM.98240 exited observer at their location.
[18:03:46]	CCA.C08-QrM.98240 entered observer.
[18:03:55]	CCA.C08-QrM.98240 exited observer at their location.
[18:04:10]	Odell Cubbage entered observer.
[18:04:10]	Odell Cubbage exited observer at their location.
[18:04:19]	Odell Cubbage entered observer.
[18:04:19]	Odell Cubbage exited observer at their location.
[18:04:29]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[18:04:31]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/controlroom_desk001b.mdl'.
[18:04:36]	CCA.C08-QrM.98240 entered observer.
[18:04:38]	Odell Cubbage entered observer.
[18:04:39]	Odell Cubbage exited observer at their location.
[18:04:39]	Odell Cubbage entered observer.
[18:04:42]	Odell Cubbage exited observer at their location.
[18:05:04]	CCA.C08-QrM.98240 exited observer at their location.
[18:05:07]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/controlroom_desk001a.mdl'.
[18:05:14]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/controlroom_filecabinet001a.mdl'.
[18:05:20]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/controlroom_filecabinet001a.mdl'.
[18:05:30]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/controlroom_filecabinet001a.mdl'.
[18:05:35]	CCA.C08-QrM.98240 entered observer.
[18:05:37]	CCA.C08-QrM.98240 exited observer at their location.
[18:05:45]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/kitchen_shelf001a.mdl'.
[18:05:45]	Odell Cubbage entered observer.
[18:05:46]	Odell Cubbage exited observer at their location.
[18:05:46]	Odell Cubbage entered observer.
[18:05:47]	Odell Cubbage exited observer at their location.
[18:05:47]	Odell Cubbage entered observer.
[18:05:48]	Odell Cubbage exited observer at their location.
[18:05:52]	CCA.C08-QrM.98240 entered observer.
[18:05:52]	CCA.C08-QrM.98240 exited observer at their location.
[18:05:53]	Odell Cubbage entered observer.
[18:05:53]	Odell Cubbage exited observer at their location.
[18:05:55]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/kitchen_shelf002a.mdl'.
[18:05:58]	CCA.C08-QrM.98240 entered observer.
[18:05:59]	CCA.C08-QrM.98240 exited observer at their location.
[18:06:00]	CCA.C08-QrM.98240 entered observer.
[18:06:02]	CCA.C08-QrM.98240 exited observer at their location.
[18:06:02]	CCA.C08-QrM.98240 entered observer.
[18:06:03]	CCA.C08-QrM.98240 exited observer at their location.
[18:06:03]	CCA.C08-QrM.98240 entered observer.
[18:06:04]	CCA.C08-QrM.98240 exited observer at their location.
[18:06:11]	CCA.C08-QrM.98240 entered observer.
[18:06:13]	CCA.C08-QrM.98240 exited observer at their location.
[18:06:15]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/laundry_cart002.mdl'.
[18:06:18]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/laundry_cart001.mdl'.
[18:06:20]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/laundry_cart002.mdl'.
[18:06:24]	Odell Cubbage entered observer.
[18:06:30]	Odell Cubbage exited observer at their location.
[18:06:31]	Odell Cubbage entered observer.
[18:06:35]	CCA.C08-QrM.98240 entered observer.
[18:06:38]	Odell Cubbage exited observer at their location.
[18:06:39]	Odell Cubbage entered observer.
[18:06:42]	CCA.C08-QrM.98240 exited observer at their location.
[18:06:47]	Odell Cubbage exited observer at their location.
[18:06:50]	CCA.C08-QrM.98240 entered observer.
[18:06:53]	CCA.C08-QrM.98240 exited observer at their location.
[18:06:54]	CCA.C08-QrM.98240 entered observer.
[18:06:54]	CCA.C08-QrM.98240 exited observer at their location.
[18:06:55]	CCA.C08-QrM.98240 entered observer.
[18:06:59]	CCA.C08-QrM.98240 exited observer at their location.
[18:06:59]	CCA.C08-QrM.98240 entered observer.
[18:07:00]	CCA.C08-QrM.98240 exited observer at their location.
[18:07:01]	CCA.C08-QrM.98240 entered observer.
[18:07:01]	Odell Cubbage entered observer.
[18:07:06]	CCA.C08-QrM.98240 exited observer at their location.
[18:07:08]	Odell Cubbage exited observer at their location.
[18:07:08]	Odell Cubbage entered observer.
[18:07:09]	Odell Cubbage exited observer at their location.
[18:07:09]	CCA.C08-QrM.98240 entered observer.
[18:07:10]	Odell Cubbage entered observer.
[18:07:10]	Odell Cubbage exited observer at their location.
[18:07:18]	CCA.C08-QrM.98240 exited observer at their location.
[18:07:29]	CCA.C08-QrM.98240 entered observer.
[18:07:30]	CCA.C08-QrM.98240 exited observer at their location.
[18:07:31]	CCA.C08-QrM.98240 entered observer.
[18:07:32]	CCA.C08-QrM.98240 exited observer at their location.
[18:07:32]	CCA.C08-QrM.98240 entered observer.
[18:07:34]	Odell Cubbage entered observer.
[18:07:37]	Odell Cubbage exited observer at their location.
[18:07:40]	CCA.C08-QrM.98240 exited observer at their location.
[18:07:42]	Odell Cubbage has spawned 'models/props_interiors/corkboardverticle01.mdl'.
[18:07:43]	CCA.C08-QrM.98240 entered observer.
[18:07:45]	Odell Cubbage has spawned 'models/props/cs_office/offinspc.mdl'.
[18:07:47]	Odell Cubbage has spawned 'models/props/cs_office/offpaintingb.mdl'.
[18:07:50]	CCA.C08-QrM.98240 exited observer at their location.
[18:07:56]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/controlroom_storagecloset001b.mdl'.
[18:08:04]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/controlroom_storagecloset001b.mdl'.
[18:08:07]	CCA.C08-QrM.98240 entered observer.
[18:08:08]	CCA.C08-QrM.98240 exited observer at their location.
[18:08:10]	CCA.C08-QrM.98240 entered observer.
[18:08:10]	CCA.C08-QrM.98240 exited observer at their location.
[18:08:25]	CCA.C08-QrM.98240 has gained 10 tokens.
[18:08:25]	CCA.C08-QrM.98240 has spawned 'models/props_wasteland/controlroom_filecabinet002a.mdl'.
[18:08:27]	Odell Cubbage has spawned 'models/props_combine/health_charger001.mdl'.
[18:08:28]	CCA.C08-QrM.98240 entered observer.
[18:08:29]	CCA.C08-QrM.98240 exited observer at their location.
[18:08:40]	Odell Cubbage has spawned a 'Entity [161][ix_station_poweroutlet]'.
[18:08:47]	CCA.C08-QrM.98240 entered observer.
[18:08:50]	CCA.C08-QrM.98240 exited observer at their location.
[18:08:57]	CCA.C08-QrM.98240 entered observer.
[18:09:05]	CCA.C08-QrM.98240 exited observer at their location.
[18:09:05]	CCA.C08-QrM.98240 entered observer.
[18:09:05]	CCA.C08-QrM.98240 exited observer at their location.
[18:09:14]	CCA.C08-QrM.98240 entered observer.
[18:09:14]	CCA.C08-QrM.98240 exited observer at their location.
[18:09:31]	CCA.C08-QrM.98240 has spawned 'models/props_interiors/dining_table_round.mdl'.
[18:09:32]	Odell Cubbage has spawned 'models/props_c17/furnitureshelf001b.mdl'.
[18:09:38]	CCA.C08-QrM.98240 entered observer.
[18:09:49]	CCA.C08-QrM.98240 exited observer at their location.
[18:10:11]	CCA.C08-QrM.98240 entered observer.
[18:10:16]	CCA.C08-QrM.98240 exited observer at their location.
[18:10:17]	CCA.C08-QrM.98240 entered observer.
[18:10:19]	CCA.C08-QrM.98240 exited observer at their location.
[18:10:19]	CCA.C08-QrM.98240 entered observer.
[18:10:26]	CCA.C08-QrM.98240 exited observer at their location.
[18:10:27]	CCA.C08-QrM.98240 entered observer.
[18:10:48]	CCA.C08-QrM.98240 exited observer at their location.
[18:10:48]	CCA.C08-QrM.98240 entered observer.
[18:10:49]	CCA.C08-QrM.98240 exited observer at their location.
[18:10:56]	CCA.C08-QrM.98240 entered observer.
[18:10:57]	CCA.C08-QrM.98240 exited observer at their location.
[18:10:58]	CCA.C08-QrM.98240 entered observer.
[18:10:59]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:01]	CCA.C08-QrM.98240 entered observer.
[18:11:11]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:11]	CCA.C08-QrM.98240 entered observer.
[18:11:12]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:12]	CCA.C08-QrM.98240 entered observer.
[18:11:13]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:13]	CCA.C08-QrM.98240 entered observer.
[18:11:14]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:15]	CCA.C08-QrM.98240 entered observer.
[18:11:15]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:16]	CCA.C08-QrM.98240 entered observer.
[18:11:16]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:17]	CCA.C08-QrM.98240 entered observer.
[18:11:17]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:18]	CCA.C08-QrM.98240 entered observer.
[18:11:19]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:19]	CCA.C08-QrM.98240 entered observer.
[18:11:19]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:20]	CCA.C08-QrM.98240 entered observer.
[18:11:47]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:47]	CCA.C08-QrM.98240 entered observer.
[18:11:48]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:48]	CCA.C08-QrM.98240 entered observer.
[18:11:48]	CCA.C08-QrM.98240 exited observer at their location.
[18:11:49]	CCA.C08-QrM.98240 entered observer.
[18:12:24]	Odell Cubbage entered observer.
[18:12:24]	Odell Cubbage exited observer at their location.
[18:12:25]	Odell Cubbage entered observer.
[18:12:31]	Odell Cubbage exited observer at their location.
[18:12:31]	Odell Cubbage entered observer.
[18:12:38]	Odell Cubbage exited observer at their location.
[18:12:39]	Odell Cubbage entered observer.
[18:12:40]	Odell Cubbage exited observer at their location.
[18:12:41]	Odell Cubbage entered observer.
[18:12:50]	Odell Cubbage exited observer at their location.
[18:12:50]	Odell Cubbage entered observer.
[18:12:50]	Odell Cubbage exited observer at their location.
[18:13:21]	CCA.C08-QrM.98240 exited observer at their location.
[18:13:24]	CCA.C08-QrM.98240 entered observer.
[18:13:25]	CCA.C08-QrM.98240 has gained 10 tokens.
[18:13:28]	CCA.C08-QrM.98240 exited observer at their location.
[18:13:28]	CCA.C08-QrM.98240 entered observer.
[18:13:29]	CCA.C08-QrM.98240 exited observer at their location.
[18:13:29]	Odell Cubbage entered observer.
[18:13:30]	Odell Cubbage exited observer at their location.
[18:13:30]	[OOC] CCA.C08-QrM.98240: balls
[18:13:37]	[OOC] CCA.C08-QrM.98240: Negative
[18:13:58]	Odell Cubbage entered observer.
[18:14:02]	[OOC] CCA.C08-QrM.98240: My mom hasn't been able to stay at the house for over 4 weeks.
[18:14:05]	Odell Cubbage exited observer at their location.
[18:14:06]	Odell Cubbage entered observer.
[18:14:08]	[OOC] CCA.C08-QrM.98240: Its fine
[18:14:09]	CCA.C08-QrM.98240 entered observer.
[18:14:11]	Odell Cubbage exited observer at their location.
[18:14:11]	Odell Cubbage entered observer.
[18:14:12]	CCA.C08-QrM.98240 exited observer at their location.
[18:14:12]	Odell Cubbage exited observer at their location.
[18:14:13]	Odell Cubbage entered observer.
[18:14:13]	CCA.C08-QrM.98240 entered observer.
[18:14:19]	CCA.C08-QrM.98240 exited observer at their location.
[18:14:25]	[OOC] CCA.C08-QrM.98240: You did this
[18:14:25]	CCA.C08-QrM.98240 entered observer.
[18:14:33]	CCA.C08-QrM.98240 exited observer at their location.
[18:14:33]	CCA.C08-QrM.98240 entered observer.
