[15:07:21]	poggers has connected.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:10]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:16]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/double_wheels2.mdl'.
[16:11:17]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[16:11:21]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/double_wheels.mdl'.
[16:11:24]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/double_wheels2.mdl'.
[16:12:09]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/double_wheels_base.mdl'.
[16:12:26]	CCA.C17-GRID.i1.59212 has spawned 'models/xqm/CoasterTrack/track_guide.mdl'.
[16:12:42]	CCA.C17-GRID.i1.59212 has spawned 'models/XQM/Rails/gumball_1.mdl'.
[16:12:46]	CCA.C17-GRID.i1.59212 has spawned 'models/xqm/Rails/cap.mdl'.
[16:12:48]	CCA.C17-GRID.i1.59212 has spawned 'models/XQM/Rails/trackball_1.mdl'.
[16:12:51]	CCA.C17-GRID.i1.59212 has spawned 'models/xqm/Rails/tunnel_8.mdl'.
[16:13:03]	CCA.C17-GRID.i1.59212 has spawned 'models/mechanics/roboticslarge/claw_hub_8.mdl'.
[16:13:10]	CCA.C17-GRID.i1.59212 has spawned 'models/mechanics/robotics/b1.mdl'.
[16:13:16]	CCA.C17-GRID.i1.59212 has spawned 'models/mechanics/robotics/l1.mdl'.
[16:13:22]	CCA.C17-GRID.i1.59212 has spawned 'models/mechanics/robotics/claw_guide.mdl'.
[16:13:30]	CCA.C17-GRID.i1.59212 has spawned 'models/Mechanics/gears2/gear_18t3.mdl'.
[16:13:33]	CCA.C17-GRID.i1.59212 has spawned 'models/Mechanics/gears2/gear_18t3.mdl'.
[16:13:41]	CCA.C17-GRID.i1.59212 has spawned 'models/Mechanics/gears2/pinion_40t2.mdl'.
[16:13:51]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/mechanics/slider2.mdl'.
[16:13:57]	CCA.C17-GRID.i1.59212 has spawned 'models/Mechanics/gears2/vert_12t1.mdl'.
[16:14:11]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/mechanics/medgear.mdl'.
[16:14:46]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/mechanics/mech1.mdl'.
[16:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/mechanics/solid_steel/box_beam_4.mdl'.
[16:15:02]	CCA.C17-GRID.i1.59212 has spawned 'models/xeon133/slider/slider_12x12x96.mdl'.
[16:15:08]	CCA.C17-GRID.i1.59212 has spawned 'models/xeon133/slider/slider_bar_10x10x96.mdl'.
[16:15:39]	CCA.C17-GRID.i1.59212 has spawned 'models/xeon133/slider/slider_stand_12x12x24.mdl'.
[16:16:16]	CCA.C17-GRID.i1.59212 has spawned 'models/xeon133/slider/slider_12x12x96.mdl'.
[16:16:17]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[16:16:48]	CCA.C17-GRID.i1.59212 has spawned 'models/xeon133/slider/slider_bar_10x10x96.mdl'.
[16:17:39]	CCA.C17-GRID.i1.59212 has taken 500 damage from CCA.C17-GRID.i1.59212.
[16:17:39]	CCA.C17-GRID.i1.59212 has killed CCA.C17-GRID.i1.59212.
[16:19:30]	Johnny Benson has taken 1 damage from worldspawn.
[16:19:31]	Johnny Benson has taken 1 damage from worldspawn.
[16:19:32]	Johnny Benson has taken 1 damage from worldspawn.
[16:19:33]	Johnny Benson has taken 1 damage from worldspawn.
[16:19:33]	Johnny Benson has taken 1 damage from worldspawn.
[16:19:34]	Johnny Benson has taken 1 damage from worldspawn.
[16:19:35]	Johnny Benson has taken 1 damage from worldspawn.
[16:19:35]	Johnny Benson ran 'equip' on item 'Citizen Filter' (#6702)
[16:21:17]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[16:22:06]	DRD (STEAM_0:0:193599766) has disconnected.
[16:25:31]	Johnny Benson used the 'Industrial Grade Oven' vendor.
[16:28:38]	Johnny Benson used the 'General Store Manager' vendor.
[16:29:02]	Johnny Benson used the 'Industrial Grade Oven' vendor.
[16:29:06]	Johnny Benson used the 'Industrial Grade Stove' vendor.
[16:29:09]	Johnny Benson used the 'Industrial Grade Stove' vendor.
[16:29:13]	Johnny Benson used the 'Industrial Grade Oven' vendor.
[16:29:17]	Johnny Benson has gained 0 tokens.
[16:29:17]	Johnny Benson has gained a 'Bread Roll' #6711.
[16:29:19]	Johnny Benson has gained 0 tokens.
[16:38:31]	Johnny Benson ran 'drop' on item 'Rubber Tire' (#5472)
[16:38:31]	Johnny Benson has lost a 'Rubber Tire' #5472.
[16:38:36]	Johnny Benson ran 'take' on item 'Rubber Tire' (#5472)
[16:38:36]	Johnny Benson has gained a 'Rubber Tire' #5472.
[16:38:41]	Johnny Benson ran 'drop' on item 'A Bar of Soap' (#6657)
[16:38:41]	Johnny Benson has lost a 'A Bar of Soap' #6657.
[16:38:58]	Johnny Benson ran 'take' on item 'A Bar of Soap' (#6657)
[16:38:58]	Johnny Benson has gained a 'A Bar of Soap' #6657.
[16:47:09]	poggers (STEAM_0:1:513914177) has disconnected.
[19:14:44]	MilkyWay has connected.
[19:18:03]	MilkyWay loaded the character 'Hyo Jeong'
[19:18:12]	Hyo Jeong opened the '' #477 container.
[19:18:14]	Hyo Jeong closed the '' #477 container.
[19:18:54]	MilkyWay loaded the character 'Andrew Philip'
[19:19:03]	Andrew Philip has taken 5 damage from npc_headcrab.
[19:19:05]	Andrew Philip has taken 5 damage from npc_headcrab.
[19:19:18]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[19:19:18]	Andrew Philip has taken 66 damage from npc_headcrab_poison.
[19:19:21]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[19:19:21]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[19:19:22]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[19:19:22]	npc_poisonzombie has killed Andrew Philip.
[19:19:36]	Andrew Philip ran 'Equip' on item 'Axe' (#6690)
[19:21:04]	Andrew Philip has taken 10 damage from npc_zombine.
[19:21:05]	Andrew Philip has taken 10 damage from npc_zombine.
[19:21:06]	Andrew Philip has taken 10 damage from npc_zombine.
[19:21:07]	Andrew Philip has taken 10 damage from npc_zombine.
[19:21:08]	Andrew Philip has taken 10 damage from npc_zombine.
[19:21:12]	Andrew Philip ran 'take' on item '12-Gauge Shells' (#6711)
[19:21:12]	Andrew Philip has gained a '12-Gauge Shells' #6711.
[19:21:13]	Andrew Philip has taken 76 damage from npc_grenade_frag.
[19:21:13]	npc_grenade_frag has killed Andrew Philip.
[19:23:11]	Andrew Philip ran 'Equip' on item 'Axe' (#6690)
[19:23:47]	Andrew Philip has taken 5 damage from npc_headcrab.
[19:24:09]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:24:10]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:24:10]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:24:13]	Andrew Philip has gained 10 tokens.
[19:24:15]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:24:17]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:24:19]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:24:25]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:24:26]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:24:29]	Andrew Philip has gained 10 tokens.
[19:24:36]	Andrew Philip has taken 10 damage from npc_zombie.
[19:24:38]	Andrew Philip has taken 10 damage from npc_zombie.
[19:24:40]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:24:40]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:24:43]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:24:43]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:24:46]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:24:49]	Andrew Philip has gained 20 tokens.
[19:24:57]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:24:58]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:25:02]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:25:02]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:25:05]	Andrew Philip has gained 20 tokens.
[19:25:17]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:25:18]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:25:19]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:25:20]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:25:23]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:25:35]	Andrew Philip has taken 10 damage from npc_zombie.
[19:25:45]	Andrew Philip destroyed a 'Blue Pre-War Shirt' #6717.
[19:26:01]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[19:26:01]	Andrew Philip has taken 84 damage from npc_headcrab_poison.
[19:26:03]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[19:26:03]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[19:26:29]	Andrew Philip ran 'take' on item 'Padlock' (#6717)
[19:26:29]	Andrew Philip has gained a 'Padlock' #6717.
[19:26:34]	Andrew Philip has taken 10 damage from npc_zombine.
[19:26:36]	Andrew Philip has taken 10 damage from npc_zombine.
[19:26:36]	Andrew Philip has taken 10 damage from npc_zombine.
[19:26:37]	Andrew Philip has taken 200 damage from npc_zombine.
[19:26:37]	npc_zombine has killed Andrew Philip.
[19:28:41]	Andrew Philip has taken 29 damage from trigger_hurt.
[19:28:41]	Andrew Philip has taken 29 damage from trigger_hurt.
[19:28:43]	Andrew Philip has taken 29 damage from trigger_hurt.
[19:28:44]	Andrew Philip has taken 29 damage from trigger_hurt.
[19:28:44]	trigger_hurt has killed Andrew Philip.
[19:30:13]	Andrew Philip ran 'Equip' on item 'Axe' (#6690)
[19:30:57]	Andrew Philip destroyed a 'A Bar of Soap' #6589.
[19:31:52]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:31:54]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:32:01]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[19:32:12]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[19:32:13]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[19:32:15]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[19:32:16]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[19:32:17]	Andrew Philip has taken 10 damage from npc_zombie_torso.
[19:33:44]	Andrew Philip has taken 5 damage from npc_antlion.
[19:33:46]	Andrew Philip has taken 5 damage from npc_antlion.
[19:33:47]	Andrew Philip has taken 5 damage from npc_antlion.
[19:33:48]	Andrew Philip has taken 5 damage from npc_antlion.
[19:33:55]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:33:56]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:33:57]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:33:58]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:34:01]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:34:07]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:08]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:08]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:09]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:10]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:11]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:12]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:12]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:13]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:29]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:51]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:34:55]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:56]	Andrew Philip has taken 5 damage from npc_antlion.
[19:34:58]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:02]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:35:03]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:35:06]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:09]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:10]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:10]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:10]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:11]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:11]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:11]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:12]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:12]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:13]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:14]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:18]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:35:18]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:35:21]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:35:30]	Andrew Philip has taken 5 damage from npc_antlion.
[19:35:32]	Andrew Philip has taken 5 damage from npc_antlion.
[19:38:30]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:39:06]	Andrew Philip has taken 10 damage from npc_zombie.
[19:39:08]	Andrew Philip ran 'take' on item 'Cloth Scrap' (#6719)
[19:39:08]	Andrew Philip has gained a 'Cloth Scrap' #6719.
[19:39:12]	Andrew Philip has taken 10 damage from npc_zombie.
[19:40:21]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:40:22]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:40:23]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:40:33]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:40:33]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:40:33]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:40:35]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:40:36]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[19:40:36]	Andrew Philip has taken 45 damage from npc_headcrab_poison.
[19:40:37]	Andrew Philip has taken 10 damage from npc_zombie.
[19:40:37]	npc_zombie has killed Andrew Philip.
[19:42:00]	Andrew Philip ran 'Equip' on item 'Axe' (#6690)
[19:42:59]	Andrew Philip has taken 10 damage from npc_zombie.
[19:43:00]	Andrew Philip has taken 10 damage from npc_zombie.
[19:43:00]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:43:02]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:43:05]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:43:06]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:43:08]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:43:09]	Andrew Philip has taken 5 damage from npc_headcrab_fast.
[19:43:21]	Andrew Philip has taken 10 damage from npc_zombie.
[19:43:31]	Andrew Philip has taken 5 damage from npc_headcrab_poison.
[19:43:31]	Andrew Philip has taken 34 damage from npc_headcrab_poison.
[19:44:13]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[19:44:19]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[19:44:21]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[19:44:26]	Andrew Philip ran 'take' on item 'Padlock' (#6721)
[19:44:26]	Andrew Philip has gained a 'Padlock' #6721.
[19:44:38]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:44:39]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:44:42]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:44:43]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:44:46]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:46:50]	Andrew Philip has taken 10 damage from monster_bullsquid.
[19:46:52]	Andrew Philip has taken 10 damage from monster_bullsquid.
[19:46:54]	Andrew Philip has taken 10 damage from monster_bullsquid.
[19:46:56]	Andrew Philip has taken 10 damage from monster_bullsquid.
[19:46:57]	Andrew Philip has taken 10 damage from monster_bullsquid.
[19:47:37]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:47:38]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:47:39]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:47:41]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:47:41]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:48:14]	Andrew Philip has taken 10 damage from npc_zombine.
[19:48:15]	Andrew Philip has taken 10 damage from npc_zombine.
[19:48:26]	Andrew Philip has taken 5 damage from npc_fastzombie.
[19:48:27]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:48:27]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:48:30]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:48:30]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:48:30]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:48:34]	Andrew Philip has gained 10 tokens.
[19:48:48]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:48:48]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:48:50]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:48:53]	Andrew Philip has gained 20 tokens.
[19:49:02]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:49:03]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:49:04]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:49:05]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:49:06]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:49:55]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:49:55]	Andrew Philip has taken 3 damage from npc_fastzombie.
[19:50:00]	Andrew Philip has gained 10 tokens.
[19:50:04]	Andrew Philip has taken 10 damage from npc_zombie.
[19:50:10]	Andrew Philip has taken 10 damage from npc_zombine.
[19:50:11]	Andrew Philip has taken 10 damage from npc_zombine.
[19:50:12]	Andrew Philip has taken 10 damage from npc_zombine.
[19:50:13]	Andrew Philip has taken 188 damage from npc_zombine.
[19:50:13]	npc_zombine has killed Andrew Philip.
[19:52:12]	Andrew Philip ran 'Equip' on item 'Axe' (#6690)
[19:52:31]	Andrew Philip has taken 14 damage from monster_hound_eye.
[19:52:33]	Andrew Philip has taken 15 damage from monster_hound_eye.
[19:52:34]	Andrew Philip has taken 15 damage from monster_hound_eye.
[19:52:37]	Andrew Philip has taken 15 damage from monster_hound_eye.
[19:52:44]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:52:45]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
