[11:19:15]	Nums has connected.
[15:32:51]	[OOC] Finan O'Conall: we seems worried often
[15:32:54]	[OOC] Finan O'Conall: he*
[15:33:07]	[OOC] Jonathan Jackson: He is isn't he?
[15:34:36]	[OOC] Jonathan Jackson: I try to get him to add in these NPCs that he already said he wants in like multiple times but he kinda just ignores me, like putting it off
[15:34:37]	[OOC] Finan O'Conall: Very anxious
[15:34:54]	[OOC] Finan O'Conall: Maybe he's just really busy?
[15:35:04]	[OOC] Jonathan Jackson: He made a vending machine
[15:35:12]	[OOC] Jonathan Jackson: It's not hard to add an addon
[15:35:16]	[OOC] Finan O'Conall: Or is it a- That is true.. that probably took longer.
[15:35:30]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[15:35:31]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[15:35:31]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[15:35:34]	[OOC] Jonathan Jackson: He also didn't want to add the community TFA base for the HL:A weapons
[15:35:36]	Finan O'Conall has gained 10 tokens.
[15:36:14]	Finan O'Conall has taken 5 damage from npc_antlion.
[15:36:22]	Finan O'Conall has taken 5 damage from npc_antlion.
[15:37:00]	Finan O'Conall has taken 5 damage from npc_antlion.
[15:37:02]	Finan O'Conall has taken 5 damage from npc_antlion.
[15:37:19]	Finan O'Conall has taken 5 damage from npc_antlion.
[15:37:21]	[OOC] Jonathan Jackson: Back then he focused on RP a lot and making sure people were having a good time now it feels like he doesn't like, add much
[15:37:29]	Finan O'Conall has taken 5 damage from npc_antlion.
[15:37:31]	Finan O'Conall has taken 5 damage from npc_antlion.
[15:37:41]	[OOC] Jonathan Jackson: Then again that could be a staff issue too
[15:37:53]	[OOC] Finan O'Conall: I think he wants a ton of content on the server but he needs to establish a playerbase first lol
[15:37:54]	Finan O'Conall opened the 'Locker' #2853 container.
[15:37:56]	Finan O'Conall closed the 'Locker' #2853 container.
[15:37:58]	Finan O'Conall opened the 'Locker' #2852 container.
[15:38:01]	Finan O'Conall closed the 'Locker' #2852 container.
[15:38:02]	Finan O'Conall opened the 'Locker' #2853 container.
[15:38:04]	Finan O'Conall closed the 'Locker' #2853 container.
[15:38:39]	Finan O'Conall ran 'drop' on item 'Handheld Radio' (#30696)
[15:38:39]	Finan O'Conall has lost a 'Handheld Radio' #30696.
[15:38:41]	[OOC] Jonathan Jackson: Exactly, and the only way he can do that is by introducing RP and getting reasons for people to get on
[15:38:43]	Finan O'Conall ran 'take' on item 'Handheld Radio' (#30696)
[15:38:43]	Finan O'Conall has gained a 'Handheld Radio' #30696.
[15:39:34]	[OOC] Jonathan Jackson: Doesn't even want to ping people more than twice for a event when he literally makes a role on discord for notifications
[15:39:36]	[OOC] Finan O'Conall: Things do need to change if tis wants to be more successful I just hope he sees it
[15:39:51]	[OOC] Jonathan Jackson: I'll have to attempt to talk to him about it
[15:39:59]	[OOC] Jonathan Jackson: Maybe I can talk some sense into him
[15:40:00]	[OOC] Finan O'Conall: Please I back you
[15:40:20]	[OOC] Jonathan Jackson: He might not want to listen but at that point I tried
[15:40:20]	Finan O'Conall destroyed a 'Metal Gas Can' #28947.
[15:42:12]	Finan O'Conall has taken 10 damage from npc_poisonzombie.
[15:42:13]	Finan O'Conall has taken 10 damage from npc_poisonzombie.
[15:42:17]	Finan O'Conall has taken 5 damage from npc_headcrab_poison.
[15:42:17]	Finan O'Conall has taken 30 damage from npc_headcrab_poison.
[15:42:29]	Finan O'Conall has gained 30 tokens.
[15:45:00]	Nums loaded the character 'CCA.C17-UNION.i5.77460'
[15:46:15]	[OOC] Jonathan Jackson: Well I just messaged him
[15:46:28]	[OOC] Jonathan Jackson: Unlikely he will respond for a while
[15:46:35]	[OOC] CCA.C17-UNION.i5.77460: Let me know what goes down
[15:47:52]	Nums loaded the character 'Finan O'Conall'
[15:48:07]	[OOC] Jonathan Jackson: Mhm
[15:52:55]	[OOC] Jonathan Jackson: I also used to be struggling for credits to make ends meet because I had to buy food and water and a respirator but now that I do have Credits I can't see what to use them for
[15:53:13]	[OOC] Jonathan Jackson: No shops are ever open besides mine and the best thing you can buy is a Respirator
[15:53:22]	Jonathan Jackson used the 'Shopkeeper Jim' vendor.
[15:53:50]	Jonathan Jackson has lost 10 tokens.
[15:53:50]	Jonathan Jackson has gained a 'Request Device' #30722.
[16:09:12]	[OOC] Finan O'Conall: Yes this server is completely dead
[16:12:12]	Nums (STEAM_0:1:196547442) has disconnected.
[16:13:04]	Painevan (STEAM_0:0:68118061) has disconnected.
[20:50:08]	Bean has connected.
[20:50:26]	Bean loaded the character 'James McKay'
[20:51:24]	James McKay has gained 5 tokens.
[20:51:50]	James McKay has gained a 'Rock' #30727.
[20:51:54]	James McKay ran 'drop' on item 'Rock' (#30727)
[20:51:54]	James McKay has lost a 'Rock' #30727.
[20:52:04]	James McKay destroyed a 'Empty Paint Can' #30710.
[20:52:08]	James McKay destroyed a 'Bar of Soap' #30619.
[20:52:29]	James McKay has taken 5 damage from npc_headcrab.
[20:53:05]	James McKay has gained a 'Insulating Tape' #30732.
[20:53:06]	James McKay ran 'drop' on item 'Insulating Tape' (#30732)
[20:53:06]	James McKay has lost a 'Insulating Tape' #30732.
[20:54:25]	James McKay ran 'View' on item 'Paper' (#29735)
[20:54:44]	James McKay ran 'take' on item 'Empty Glass Bottle' (#30609)
[20:54:44]	James McKay has gained a 'Empty Glass Bottle' #30609.
[20:54:46]	James McKay ran 'take' on item 'Empty Glass Bottle' (#30608)
[20:54:46]	James McKay has gained a 'Empty Glass Bottle' #30608.
[20:54:48]	James McKay ran 'drop' on item 'Empty Glass Bottle' (#30609)
[20:54:48]	James McKay has lost a 'Empty Glass Bottle' #30609.
[20:54:50]	James McKay ran 'drop' on item 'Empty Glass Bottle' (#30608)
[20:54:50]	James McKay has lost a 'Empty Glass Bottle' #30608.
[20:54:54]	James McKay ran 'take' on item 'Sparkling Consulate Water' (#30501)
[20:54:54]	James McKay has gained a 'Sparkling Consulate Water' #30501.
[20:54:58]	James McKay ran 'take' on item 'Sparkling Consulate Water' (#30503)
[20:54:58]	James McKay has gained a 'Sparkling Consulate Water' #30503.
[20:55:50]	James McKay opened the 'Refrigerator' #2577 container.
[20:55:51]	James McKay closed the 'Refrigerator' #2577 container.
[20:56:00]	Bean (STEAM_0:1:591779303) has disconnected.
