[12:07:54]	Mettaton Ex has connected.
[19:32:28]	Dilly_ has connected.
[19:33:34]	Dilly_ loaded the character 'Crimson'
[19:33:52]	[OOC] Crimson: oh heck that's right I have my overwatch if things get heated, nice
[19:34:05]	[OOC] Anastasia Ivanovich: what are the citizen model path?
[19:34:14]	[OOC] Crimson: wdym?
[19:34:34]	[OOC] Anastasia Ivanovich: am trying to load a specific path but I don't know project revival's default citizen path- Like the folder it'd be under in addons
[19:35:02]	[OOC] Crimson: huh... uhhh I'd have to do some digging but I'm gonna be honest I haven't gotten the slightest idea
[19:35:15]	Anastasia Ivanovich used command '/Content'.
[19:35:31]	[LOOC] Anastasia Ivanovich: models/tnb/citizens/female_02.mdl
[19:37:09]	[OOC] Anastasia Ivanovich: wait there's no submaterials for these models wtf?
[19:38:25]	FB|| light ROOM has connected.
[19:39:20]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[19:39:29]	[OOC] CCA.C08-QrM.98240: Yo
[19:41:30]	matt saton has connected.
[19:41:45]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[19:41:49]	[OOC] Anastasia Ivanovich: Fuck my eyes are purple-textured on this server for some reason
[19:42:39]	matt saton loaded the character 'Lee Maylor'
[19:42:42]	Lee Maylor entered observer.
[19:42:57]	[OOC] Lee Maylor: sup
[19:43:09]	[OOC] Crimson: the sky
[19:43:13]	[OOC] Crimson: ha get it? cuz I'm a bird
[19:44:21]	FB|| light ROOM has connected.
[19:45:18]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[19:45:19]	[OOC] Crimson: 4 people *riot*
[19:45:24]	[OOC] CCA.C08-QrM.98240: Bitch
[19:45:32]	CCA.C08-QrM.98240 opened the '' #971 container.
[19:45:35]	CCA.C08-QrM.98240 closed the '' #971 container.
[19:45:36]	Lee Maylor exited observer at their location.
[19:45:37]	Lee Maylor entered observer.
[19:45:39]	Lee Maylor exited observer at their location.
[19:45:41]	Lee Maylor entered observer.
[19:45:43]	[OOC] CCA.C08-QrM.98240: Holy shit, I forgot about my alcoholic locker.
[19:45:52]	CCA.C08-QrM.98240 opened the '' #971 container.
[19:45:55]	Dilly_ loaded the character 'Carson Copper'
[19:45:57]	CCA.C08-QrM.98240 closed the '' #971 container.
[19:45:59]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:46:22]	[OOC] Carson Copper: *ah*. totally not gonna metagame and take burn the locker filled with precious alcohol 
[19:46:36]	[OOC] Carson Copper: wow I worded that perfectly 
[19:46:48]	[OOC] Lee Maylor: event hype?
[19:46:59]	[OOC] CCA.C08-QrM.98240: Looking at the maps.....yeah.
[19:47:02]	[OOC] Lee Maylor: stfu
[19:47:06]	[OOC] Lee Maylor: don't do that or else you're a slut
[19:47:06]	[OOC] CCA.C08-QrM.98240: Lmao
[19:47:10]	[OOC] Carson Copper: *you weren't supposed to see that*
[19:47:40]	[OOC] CCA.C08-QrM.98240: Also my locker doesn't have any alcohol in it....but the amount of empty Absinthe bottles you will find within it will probably get me a blackmark.
[19:47:50]	CCA.C08-QrM.98240 opened the '' #971 container.
[19:47:54]	Carson Copper opened the '' #1877 container.
[19:47:56]	Carson Copper closed the '' #1877 container.
[19:47:57]	CCA.C08-QrM.98240 closed the '' #971 container.
[19:48:11]	[OOC] CCA.C08-QrM.98240: 13 empty bottles of Absinthe.
[19:48:14]	[OOC] CCA.C08-QrM.98240: Amazing
[19:49:37]	hnbug01 has connected.
[19:50:18]	CCA.C08-QrM.98240 has gained 10 tokens.
[19:51:06]	[OOC] Lee Maylor: can we get a ground unit on
[19:51:10]	hnbug01 loaded the character 'Feng Yi 'Eric' Hseuh'
[19:51:14]	[OOC] CCA.C08-QrM.98240: No, you can't.
[19:51:18]	FB|| light ROOM loaded the character 'CCA.C08-UNION.i2.51514'
[19:51:25]	[OOC] Lee Maylor: wrong answer dickbitch
[19:51:41]	CCA.C08-UNION.i2.51514 used command '/Radio Unit is 10-8, standing by.'.
[19:51:45]	[LOOC] Carson Copper: eyes go brr
[19:51:51]	[OOC] CCA.C08-UNION.i2.51514: My radio is gone, you fucker.
[19:51:54]	[OOC] Carson Copper: f
[19:51:59]	CCA.C08-UNION.i2.51514 has gained a 'Handheld Radio' #20861.
[19:51:59]	Lee Maylor used command '/CharGiveItem i2 handheld radio'.
[19:52:02]	Dilly_ loaded the character 'CCA.C08-UNION.i1.93347'
[19:52:05]	CCA.C08-UNION.i2.51514 ran 'Toggle' on item 'Handheld Radio' (#20861)
[19:52:07]	CCA.C08-UNION.i2.51514 ran 'Frequency' on item 'Handheld Radio' (#20861)
[19:52:09]	CCA.C08-UNION.i2.51514 used command '/SetFreq 145.4'.
[19:52:13]	CCA.C08-UNION.i1.93347 has gained a 'Handheld Radio' #20862.
[19:52:13]	Lee Maylor used command '/CharGiveItem i1 handheld radio'.
[19:52:14]	Anastasia Ivanovich opened the '' #1341 container.
[19:52:17]	Anastasia Ivanovich closed the '' #1341 container.
[19:52:19]	Anastasia Ivanovich used the 'Resin Terminal' vendor.
[19:52:20]	CCA.C08-UNION.i1.93347 ran 'Toggle' on item 'Handheld Radio' (#217)
[19:52:24]	CCA.C08-UNION.i1.93347 ran 'Toggle' on item 'Handheld Radio' (#217)
[19:52:42]	CCA.C08-UNION.i2.51514 ran 'Frequency' on item 'Handheld Radio' (#20861)
[19:52:46]	CCA.C08-UNION.i2.51514 used command '/SetFreq 329.1'.
[19:52:52]	CCA.C08-UNION.i2.51514 ran 'Frequency' on item 'Handheld Radio' (#20861)
[19:52:59]	CCA.C08-UNION.i2.51514 used command '/SetFreq 329.1'.
[19:53:14]	[OOC] CCA.C08-UNION.i2.51514: Frequency not changing, big fuck.
[19:53:21]	[OOC] Lee Maylor: p-pardon
[19:53:26]	CCA.C08-UNION.i1.93347 ran 'EquipUn' on item 'SPAS-12' (#14391)
[19:53:27]	CCA.C08-UNION.i1.93347 ran 'Equip' on item 'SPAS-12' (#14391)
[19:53:29]	Lee Maylor ran 'Toggle' on item 'Handheld Radio' (#20512)
[19:53:30]	CCA.C08-UNION.i1.93347 ran 'use' on item '12-Gauge Shells' (#14392)
[19:53:30]	Lee Maylor ran 'Toggle' on item 'Handheld Radio' (#20512)
[19:53:31]	Lee Maylor ran 'Frequency' on item 'Handheld Radio' (#20512)
[19:53:34]	Lee Maylor used command '/SetFreq 128.7'.
[19:53:37]	Lee Maylor ran 'Toggle' on item 'Handheld Radio' (#20512)
[19:53:38]	Lee Maylor ran 'Toggle' on item 'Handheld Radio' (#20512)
[19:53:39]	Lee Maylor ran 'Toggle' on item 'Handheld Radio' (#20512)
[19:53:40]	Lee Maylor ran 'Toggle' on item 'Handheld Radio' (#20512)
[19:53:41]	Lee Maylor ran 'Frequency' on item 'Handheld Radio' (#20512)
[19:53:46]	Lee Maylor ran 'Frequency' on item 'Handheld Radio' (#20512)
[19:53:51]	[OOC] Lee Maylor: hm. that's a fucm moment
[19:53:52]	[OOC] CCA.C08-UNION.i2.51514: I do the funny frequency, I put the funny number in, I press ok, and it no change.
[19:53:54]	CCA.C08-UNION.i1.93347 ran 'EquipUn' on item 'SPAS-12' (#14391)
[19:54:06]	CCA.C08-UNION.i1.93347 ran 'Frequency' on item 'Handheld Radio' (#217)
[19:54:08]	CCA.C08-UNION.i1.93347 used command '/SetFreq 329.1'.
[19:54:09]	Anastasia Ivanovich ran 'Edit' on item 'Notepad' (#20753)
[19:54:11]	[OOC] Lee Maylor: try now, let me get the error from the rcon
[19:54:16]	CCA.C08-UNION.i2.51514 ran 'Frequency' on item 'Handheld Radio' (#20861)
[19:54:20]	CCA.C08-UNION.i2.51514 used command '/SetFreq 329.1'.
[19:54:23]	[OOC] CCA.C08-UNION.i1.93347: What's the frequency you have it set to?
[19:54:25]	[OOC] CCA.C08-UNION.i2.51514: Did it
[19:54:32]	CCA.C08-UNION.i2.51514 used command '/PM UNION 329.1'.
[19:54:40]	[OOC] Lee Maylor: hm, no error messages. that's worse. that's so much worse
[19:54:42]	CCA.C08-UNION.i1.93347 used command '/PM UNION.i2 ye same'.
[19:54:52]	CCA.C08-UNION.i1.93347 used command '/Radio 10-8 standing by'.
[19:54:53]	Lee Maylor used command '/PlySearch'.
[19:54:58]	CCA.C08-UNION.i1.93347 ran 'Toggle' on item 'Handheld Radio' (#217)
[19:54:59]	CCA.C08-UNION.i1.93347 ran 'Toggle' on item 'Handheld Radio' (#217)
[19:55:01]	CCA.C08-UNION.i1.93347 used command '/Radio 10-8 standing by'.
[19:55:04]	CCA.C08-UNION.i1.93347 ran 'Toggle' on item 'Handheld Radio' (#217)
[19:55:06]	CCA.C08-UNION.i1.93347 ran 'Toggle' on item 'Handheld Radio' (#20862)
[19:55:08]	CCA.C08-UNION.i1.93347 used command '/Radio 10-8 standing by'.
[19:55:09]	Lee Maylor ran 'drop' on item 'Flavored Consulate Water' (#20857)
[19:55:09]	Lee Maylor has lost a 'Flavored Consulate Water' #20857.
[19:55:12]	Lee Maylor entered observer.
[19:55:14]	Lee Maylor ran 'take' on item 'Flavored Consulate Water' (#20857)
[19:55:14]	Lee Maylor has gained a 'Flavored Consulate Water' #20857.
[19:55:16]	Lee Maylor entered observer.
[19:55:26]	[OOC] CCA.C08-UNION.i2.51514: Welp, shit balls.
[19:55:33]	[OOC] CCA.C08-UNION.i1.93347: Interesting I can't use radio messages with them, even while it is toggled *oh well* 
[19:55:36]	[OOC] CCA.C08-UNION.i1.93347: is what it is
[19:55:44]	[OOC] Lee Maylor: i'll bet i know the problem
[19:55:52]	[OOC] Lee Maylor: not a hard fix but it's not one i'm gonna do mid event
[19:56:18]	CCA.C08-UNION.i2.51514 has gained 10 tokens.
[19:56:25]	FB|| light ROOM loaded the character 'Ethan King'
[19:56:29]	[OOC] Ethan King: Life is good.
[19:56:33]	Anastasia Ivanovich opened the '' #1341 container.
[19:56:34]	Anastasia Ivanovich closed the '' #1341 container.
[19:56:37]	[OOC] Ethan King: Hmmmm
[19:56:38]	[OOC] Ethan King: Odd
[19:56:38]	[OOC] Lee Maylor: yes life is good and not at all stressful
[19:56:42]	[OOC] Lee Maylor: although it would be betyter with more-
[19:56:44]	[OOC] Lee Maylor: what.
[19:56:46]	[OOC] Ethan King: My radio on this appears to function.
[19:56:48]	Ethan King used command '/Radio vioeramnb'.
[19:56:49]	[OOC] Lee Maylor: what the shnitting fuck
[19:56:54]	[OOC] Lee Maylor: what the fuck
[19:56:59]	[OOC] Ethan King: Correction, the frequency is there.
[19:57:01]	[OOC] Lee Maylor: ah
[19:57:04]	Anastasia Ivanovich opened the '' #1895 container.
[19:57:05]	[OOC] Ethan King: But the radio itself doesn't work.
[19:57:06]	Anastasia Ivanovich closed the '' #1895 container.
[19:57:11]	[OOC] Lee Maylor: SPOTIFY PLAY MORE EMINEM,
[19:57:13]	Anastasia Ivanovich used the 'Street Market' vendor.
[19:57:48]	Anastasia Ivanovich opened the '' #1268 container.
[19:57:50]	Anastasia Ivanovich closed the '' #1268 container.
[19:58:20]	DRD has connected.
[19:58:29]	Anastasia Ivanovich opened the '' #1233 container.
[19:58:31]	Anastasia Ivanovich closed the '' #1233 container.
[19:58:34]	[OOC] Lee Maylor: sorry, waiting on like
[19:58:36]	[OOC] Lee Maylor: 1 more people
[19:58:37]	[OOC] Lee Maylor: 2 more people
[19:58:44]	[OOC] Ethan King: Aight
[19:58:51]	[OOC] Lee Maylor: theyh're joining but they're not fully connected
[19:58:54]	Anastasia Ivanovich opened the '' #1464 container.
[19:58:56]	Anastasia Ivanovich closed the '' #1464 container.
[19:59:02]	Lee Maylor exited observer at their location.
[19:59:02]	Lee Maylor entered observer.
[19:59:03]	Lee Maylor exited observer at their location.
[19:59:06]	Dilly_ loaded the character 'Carson Copper'
[19:59:08]	Lee Maylor entered observer.
[19:59:08]	Lee Maylor exited observer at their location.
[19:59:09]	Lee Maylor entered observer.
[19:59:21]	Ethan King opened the '' #1846 container.
[19:59:23]	Ethan King closed the '' #1846 container.
[19:59:24]	Ethan King opened the '' #1849 container.
[19:59:26]	Ethan King closed the '' #1849 container.
[19:59:27]	Ethan King opened the '' #1850 container.
[19:59:29]	Ethan King closed the '' #1850 container.
[19:59:30]	Ethan King opened the '' #1847 container.
[19:59:32]	Ethan King closed the '' #1847 container.
[19:59:35]	matt saton loaded the character 'CCA.C08-GRID.i3.08313'
[19:59:36]	CCA.C08-GRID.i3.08313 entered observer.
[19:59:44]	CCA.C08-GRID.i3.08313 exited observer at their location.
[19:59:48]	Anastasia Ivanovich opened the '' #1877 container.
[19:59:50]	Anastasia Ivanovich closed the '' #1877 container.
[20:00:00]	[OOC] Anastasia Ivanovich: wait what-
[20:00:02]	[OOC] CCA.C08-GRID.i3.08313: ?
[20:00:09]	[OOC] Ethan King: Wha
[20:00:11]	[OOC] Anastasia Ivanovich: you're invisible
[20:00:20]	[OOC] Ethan King: Who is invisible.
[20:00:26]	[OOC] Anastasia Ivanovich: cop
[20:00:33]	[OOC] CCA.C08-GRID.i3.08313: i shouldn't be
[20:00:35]	[OOC] Ethan King: Ah
[20:00:38]	[LOOC] Anastasia Ivanovich: ah yes
[20:00:41]	[LOOC] Anastasia Ivanovich: typical Helix moment
[20:00:49]	[LOOC] CCA.C08-GRID.i3.08313: am i invisible you rebel bitch
[20:00:52]	[LOOC] Ethan King: Negatory
[20:00:58]	[LOOC] CCA.C08-GRID.i3.08313: do you have all the content 
[20:01:01]	[LOOC] Anastasia Ivanovich: yes
[20:01:04]	[LOOC] CCA.C08-GRID.i3.08313: fug
[20:01:05]	[LOOC] Anastasia Ivanovich: its a typical helix moment
[20:01:08]	[LOOC] CCA.C08-GRID.i3.08313: big fuck
[20:01:13]	[LOOC] Anastasia Ivanovich: Won't really matter when the event starts
[20:01:15]	[LOOC] Anastasia Ivanovich: I assume
[20:01:18]	[LOOC] CCA.C08-GRID.i3.08313: hopefully
[20:01:24]	[LOOC] CCA.C08-GRID.i3.08313: i'll be doing mostly if not all GMing
[20:01:41]	Ethan King opened the '' #1848 container.
[20:01:43]	[LOOC] Carson Copper: void
[20:01:45]	Ethan King closed the '' #1848 container.
[20:01:45]	[LOOC] CCA.C08-GRID.i3.08313: sorry fuck
[20:01:47]	Ethan King opened the '' #1846 container.
[20:01:50]	[LOOC] Carson Copper: oof
[20:01:51]	Ethan King closed the '' #1846 container.
[20:02:12]	DRD loaded the character 'CCA.C08-GRID.i1.23710'
[20:02:25]	[OOC] CCA.C08-GRID.i3.08313: sup drd
[20:02:30]	[OOC] CCA.C08-GRID.i3.08313: grid gang
[20:02:39]	[OOC] CCA.C08-GRID.i1.23710: grid, fuck yeah!
[20:02:43]	[OOC] Ethan King: Fuck GRID.
[20:02:43]	[OOC] CCA.C08-GRID.i3.08313: nice ikcon
[20:02:57]	[OOC] CCA.C08-GRID.i1.23710: i want my icon to be a png of a drd
[20:03:03]	[OOC] CCA.C08-GRID.i3.08313: no
[20:03:06]	[OOC] CCA.C08-GRID.i3.08313: i am speshul
[20:03:07]	[OOC] CCA.C08-GRID.i1.23710: why
[20:03:08]	[OOC] CCA.C08-GRID.i3.08313: you are nut
[20:03:15]	[OOC] CCA.C08-GRID.i1.23710: i am superior
[20:03:26]	[OOC] Carson Copper: guys guys guys
[20:03:31]	[OOC] CCA.C08-GRID.i1.23710: i will eat your tulips\
[20:03:33]	[OOC] Carson Copper: I think we *all* know
[20:03:40]	[OOC] Carson Copper: i am superior
[20:03:41]	CCA.C08-GRID.i1.23710 entered observer.
[20:03:46]	[OOC] Anastasia Ivanovich: My boy watching Farscape.
[20:03:46]	[OOC] CCA.C08-GRID.i1.23710: ok that works too
[20:04:00]	[OOC] CCA.C08-GRID.i1.23710: i already watched farscape
[20:04:13]	[OOC] Anastasia Ivanovich: who was your favorite character?
[20:04:16]	Anastasia Ivanovich opened the '' #1340 container.
[20:04:17]	Anastasia Ivanovich closed the '' #1340 container.
[20:04:18]	[OOC] CCA.C08-GRID.i1.23710: uhhhhhhhh
[20:04:20]	[OOC] CCA.C08-GRID.i3.08313: the 1812 DRD
[20:04:23]	[OOC] CCA.C08-GRID.i1.23710: probably zhaan
[20:04:24]	[OOC] CCA.C08-GRID.i3.08313: i'm answeirng for him
[20:04:26]	[OOC] CCA.C08-GRID.i1.23710: wait no
[20:04:28]	[OOC] CCA.C08-GRID.i1.23710: chiana
[20:04:31]	[OOC] CCA.C08-GRID.i1.23710: yeah, chiana
[20:04:32]	[OOC] Anastasia Ivanovich: lmao
[20:04:35]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[20:04:43]	[OOC] CCA.C08-GRID.i1.23710: nah my favourite drd is one-eye
[20:04:58]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:04:59]	CCA.C08-GRID.i3.08313 entered observer.
[20:04:59]	CCA.C08-GRID.i3.08313 exited observer at their location.
[20:05:00]	CCA.C08-GRID.i3.08313 entered observer.
[20:05:00]	CCA.C08-GRID.i3.08313 exited observer at their location.
[20:05:17]	Anastasia Ivanovich opened the '' #1540 container.
[20:05:19]	Anastasia Ivanovich closed the '' #1540 container.
[20:05:19]	[OOC] CCA.C08-GRID.i1.23710: anastasia, remember that one episode where they all get psychically linked by mullosks and the cure is drinking each others piss
[20:05:25]	[OOC] Anastasia Ivanovich: oh fuck
[20:05:32]	[OOC] Anastasia Ivanovich: yes
[20:05:41]	[OOC] CCA.C08-GRID.i1.23710: good
[20:05:44]	[OOC] CCA.C08-GRID.i1.23710: do not forget it
[20:05:55]	[OOC] Ethan King: Forget it.
[20:06:00]	[OOC] CCA.C08-GRID.i1.23710: what about that epsiode where rygel fucking exploded
[20:06:02]	[ME] Carson Copper: does the smae
[20:06:03]	[OOC] Anastasia Ivanovich: I vaguely remember all the DRDs getting infected with something along with the ship
[20:06:03]	[OOC] CCA.C08-GRID.i1.23710: that was great
[20:06:06]	[LOOC] Carson Copper: same*
[20:06:07]	[LOOC] Carson Copper: fuck
[20:06:08]	[OOC] Ethan King: Rygel fucking deserved it.
[20:06:16]	CCA.C08-GRID.i3.08313 entered observer.
[20:06:33]	CCA.C08-GRID.i1.23710 entered observer.
[20:06:34]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:06:35]	CCA.C08-GRID.i1.23710 entered observer.
[20:06:36]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:06:36]	CCA.C08-GRID.i1.23710 entered observer.
[20:06:37]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:06:37]	CCA.C08-GRID.i1.23710 entered observer.
[20:06:47]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:06:59]	[OOC] Ethan King: Event when
[20:07:08]	Anastasia Ivanovich used the 'Street Market' vendor.
[20:07:11]	[OOC] Carson Copper: didn't you know? It was already happening
[20:07:12]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[20:07:22]	[OOC] CCA.C08-GRID.i1.23710: farscape event
[20:07:28]	[OOC] Ethan King: Ex-fucking-cuse me?
[20:07:32]	[OOC] CCA.C08-GRID.i1.23710: farscape event
[20:07:36]	[OOC] Ethan King: Not you
[20:07:38]	[OOC] Ethan King: Fuck off
[20:07:49]	CCA.C08-GRID.i1.23710 entered observer.
[20:08:07]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:08:08]	[OOC] Ethan King: Dilly I will stop this event by shooting Citizens, as all good Rebels should do.
[20:08:21]	[OOC] Anastasia Ivanovich: based terrorismRP
[20:08:22]	[OOC] Carson Copper: *hey* some rebels actually do that
[20:08:27]	[OOC] CCA.C08-GRID.i1.23710: passing people in the streets rp
[20:09:00]	[OOC] Ethan King: Now that I think about it, I don't get to look down on rebels who do shitty things.
[20:09:04]	[OOC] Carson Copper: Sometimes just by being near others will threaten their safty n' what not and bang ding shot to death reee
[20:09:22]	[OOC] Ethan King: I have like.....killed the most innocent people on the server, shit.
[20:09:26]	devilsurvivor45 has connected.
[20:09:27]	[Y] Carson Copper: That wasn't me officer- I swear!
[20:09:28]	[OOC] Ethan King: I can't make fun of bad rebels now.
[20:09:35]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[20:09:43]	[OOC] Anastasia Ivanovich: epic making the combine look like the good guys RP
[20:10:09]	CCA.C08-GRID.i1.23710 entered observer.
[20:10:38]	[OOC] Ethan King: Nah
[20:10:39]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:10:49]	CCA.C08-GRID.i1.23710 entered observer.
[20:10:53]	Anastasia Ivanovich opened the '' #1243 container.
[20:10:55]	Anastasia Ivanovich closed the '' #1243 container.
[20:11:08]	CCA.C08-GRID.i3.08313 exited observer at their location.
[20:11:08]	CCA.C08-GRID.i3.08313 entered observer.
[20:11:09]	CCA.C08-GRID.i3.08313 exited observer at their location.
[20:11:09]	CCA.C08-GRID.i3.08313 entered observer.
[20:11:09]	Anastasia Ivanovich opened the '' #1233 container.
[20:11:09]	CCA.C08-GRID.i3.08313 exited observer at their location.
[20:11:11]	Anastasia Ivanovich closed the '' #1233 container.
[20:11:12]	CCA.C08-GRID.i3.08313 entered observer.
[20:11:49]	CCA.C08-GRID.i3.08313 exited observer at their location.
[20:11:53]	[OOC] Ethan King: Imma hop into VC.
[20:12:11]	[LOOC] CCA.C08-GRID.i3.08313: that was in-character
[20:12:12]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[20:12:16]	[LOOC] CCA.C08-GRID.i3.08313: i swear it'll make sense
[20:12:23]	[Y] CCA.C08-GRID.i3.08313: <:: Hop in a blue, now! ::>
[20:12:24]	CCA.C08-GRID.i3.08313 used command '/ToggleRaise'.
[20:12:26]	CCA.C08-GRID.i3.08313 used command '/ToggleRaise'.
[20:12:28]	[LOOC] Anastasia Ivanovich: back
[20:12:41]	[OOC] Ethan King: I AM BLIN-
[20:12:41]	[OOC] CCA.C08-GRID.i3.08313: wrong bind sorry
[20:12:44]	[OOC] Ethan King: Lmao
[20:12:47]	[OOC] Carson Copper: but if you close your eyes
[20:13:02]	CCA.C08-GRID.i3.08313 entered observer.
[20:13:09]	CCA.C08-GRID.i3.08313 exited observer at their location.
[20:13:14]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:13:25]	[OOC] Ethan King: Everytime you press that bind is it canon that the world simply ceases to exist for a moment?
[20:13:29]	[OOC] Anastasia Ivanovich: gonna rejoin to fix invisiCPs
[20:13:30]	[OOC] CCA.C08-GRID.i1.23710: no
[20:13:30]	Spooky Wolf (STEAM_0:1:58209231) has disconnected.
[20:13:33]	[OOC] CCA.C08-GRID.i3.08313: sure, that's canon
[20:13:47]	[OOC] Ethan King: That's due to the universes colliding lmao.
[20:13:49]	[OOC] CCA.C08-GRID.i1.23710: have your eyes ever just really stung for a moment and you had to close them
[20:13:50]	[OOC] CCA.C08-GRID.i3.08313: exactly
[20:13:54]	[OOC] Ethan King: We have small moments of the world just breaking.
[20:13:56]	CCA.C08-GRID.i1.23710 entered observer.
[20:14:07]	[OOC] CCA.C08-GRID.i3.08313: me when i was cutting shallots and my eyes were fine until i flt like somebody was pushing in my eye sockets
[20:14:13]	[OOC] CCA.C08-GRID.i3.08313: for like
[20:14:15]	[OOC] CCA.C08-GRID.i3.08313: a second or two
[20:14:17]	[OOC] CCA.C08-GRID.i3.08313: and then i was fine
[20:14:23]	[OOC] Ethan King: Seems fun
[20:14:24]	[OOC] CCA.C08-GRID.i1.23710: that happens to me when im just
[20:14:27]	[OOC] CCA.C08-GRID.i1.23710: sititng in class
[20:14:35]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[20:14:38]	[OOC] CCA.C08-GRID.i3.08313: that won't haoppen to me randomly but i've been sitting before and just smelled like
[20:14:40]	[OOC] CCA.C08-GRID.i3.08313: pure raw chemicals
[20:14:51]	[OOC] CCA.C08-GRID.i3.08313: like no chemical in particular, it just smells like i'm breathing in burning fiore
[20:15:06]	[ME] Carson Copper: he sort of blanks out for a few moments but regains himself
[20:15:14]	[LOOC] CCA.C08-GRID.i3.08313: that's IC
[20:15:14]	devilsurvivor45 loaded the character 'Nova Wrenrey'
[20:15:19]	Spooky Wolf has connected.
[20:15:23]	[OOC] Carson Copper: I love it
[20:15:25]	CCA.C08-GRID.i3.08313 entered observer.
[20:15:29]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:15:31]	CCA.C08-GRID.i3.08313 exited observer at their location.
[20:15:36]	[Y] CCA.C08-GRID.i3.08313: <:: Citizen. ::>
[20:15:47]	[LOOC] CCA.C08-GRID.i3.08313: this is 100% IC
[20:16:23]	[Y] CCA.C08-GRID.i3.08313: <:: Grid. ::>
[20:16:24]	[Y] CCA.C08-GRID.i3.08313: <:: Grid. ::>
[20:16:24]	[Y] CCA.C08-GRID.i3.08313: <:: Grid. ::>
[20:16:26]	[Y] CCA.C08-GRID.i3.08313: <:: Razor. ::>
[20:16:29]	[Y] CCA.C08-GRID.i3.08313: <:: 10-0, 10-0, viscerator is hunting! ::>
[20:16:33]	[Y] CCA.C08-GRID.i3.08313: <:: 10-0, 10-0, viscerator is hunting! ::>
[20:16:34]	[Y] CCA.C08-GRID.i3.08313: <:: Gridf. ::>
[20:16:36]	[Y] CCA.C08-GRID.i3.08313: <:: Grid. ::>
[20:16:38]	[Y] CCA.C08-GRID.i3.08313: <:: Razor. ::>
[20:16:41]	Spooky Wolf loaded the character 'Anastasia Ivanovich'
[20:16:42]	[LOOC] CCA.C08-GRID.i1.23710: call an ambulance
[20:16:43]	[LOOC] CCA.C08-GRID.i3.08313: this is IC
[20:16:53]	[Y] CCA.C08-GRID.i3.08313: <:: 647e reading. ::>
[20:17:06]	[Y] CCA.C08-GRID.i3.08313: <:: FRESH COLD OF BINTANG AND AN ICY ON THE JESSICA! ::>
[20:17:12]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
