[11:06:46]	Nums has connected.
[12:40:32]	[OOC] OTA.C17-KILO.OSS.66124: Odd 
[12:40:34]	[OOC] Andrew Cloverman: yeah TFA fucked
[12:40:40]	[OOC] OTA.C17-KILO.OSS.66124: Uh, that's interesting 
[12:40:45]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[12:40:53]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[12:40:54]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[12:40:56]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short03a.mdl'.
[12:40:57]	[OOC] OTA.C17-KILO.OSS.66124: I think 7 feet in PAC is 1.124?
[12:40:58]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[12:40:59]	[OOC] OTA.C17-KILO.OSS.66124: lemme check 
[12:41:06]	[OOC] Andrew Cloverman: don't scale yourself 
[12:41:10]	[OOC] Andrew Cloverman: just adjust your bones
[12:41:16]	[OOC] Andrew Cloverman: move your spine2 up
[12:41:20]	[OOC] Andrew Cloverman: move your clavicles outward
[12:41:23]	[OOC] OTA.C17-KILO.OSS.66124: Why, I can get the exact heights via PAC 3 height 
[12:41:25]	[OOC] Andrew Cloverman: move your upper legs up just a little bit
[12:41:34]	[OOC] Andrew Cloverman: because moving your bones looks way fucking better
[12:41:40]	[OOC] OTA.C17-KILO.OSS.66124: That's a lot more work and bones, which can fuck with TP 
[12:41:46]	[OOC] OTA.C17-KILO.OSS.66124: If you have too many that is 
[12:41:46]	Andrew Cloverman entered observer.
[12:41:46]	Andrew Cloverman exited observer at their location.
[12:41:49]	Andrew Cloverman entered observer.
[12:41:49]	Andrew Cloverman exited observer at their location.
[12:41:50]	Andrew Cloverman entered observer.
[12:41:50]	Andrew Cloverman exited observer at their location.
[12:41:50]	Andrew Cloverman entered observer.
[12:41:51]	Andrew Cloverman exited observer at their location.
[12:41:53]	[LOOC] Andrew Cloverman: lookat me
[12:41:57]	[LOOC] Andrew Cloverman: so this is me normally right
[12:42:00]	[LOOC] OTA.C17-KILO.OSS.66124: ahuh 
[12:42:06]	[LOOC] Andrew Cloverman: now watch what happens when i put on my grid i3 pac
[12:42:13]	[LOOC] Andrew Cloverman: see that
[12:42:16]	[LOOC] Andrew Cloverman: i look stronker 
[12:42:17]	[LOOC] Andrew Cloverman: and taller
[12:42:21]	[LOOC] OTA.C17-KILO.OSS.66124: you're still a worker for me 
[12:42:27]	[LOOC] OTA.C17-KILO.OSS.66124: PAC is fucked on my end or something, unsure why 
[12:42:27]	[LOOC] Andrew Cloverman: right, focus on my height
[12:42:33]	[LOOC] OTA.C17-KILO.OSS.66124: you're normal entirely 
[12:42:34]	[LOOC] Andrew Cloverman: strange, other people have been seeing it
[12:42:50]	[LOOC] OTA.C17-KILO.OSS.66124: my problem with doing that 
[12:42:54]	[LOOC] Andrew Cloverman: do i look like a giraffe right now
[12:42:59]	[LOOC] OTA.C17-KILO.OSS.66124: having too many bones can fuck with TP 
[12:43:03]	[LOOC] OTA.C17-KILO.OSS.66124: alos you look normal 
[12:43:07]	[LOOC] Andrew Cloverman: oh yeah oyur pac is fucked then
[12:43:18]	[LOOC] OTA.C17-KILO.OSS.66124: It literally works on every server but this one 
[12:43:35]	[LOOC] Andrew Cloverman: still nothing?
[12:43:37]	[LOOC] OTA.C17-KILO.OSS.66124: nothing 
[12:43:40]	[LOOC] Andrew Cloverman: weird
[12:43:42]	Andrew Cloverman entered observer.
[12:43:43]	Andrew Cloverman exited observer at their location.
[12:43:50]	[LOOC] OTA.C17-KILO.OSS.66124: no idea why, it works on every server 
[12:43:53]	[LOOC] OTA.C17-KILO.OSS.66124: am I bigger on your end?
[12:43:54]	[LOOC] Andrew Cloverman: alright the real lecture is starting be back later
[12:43:59]	[LOOC] Andrew Cloverman: hodl still
[12:44:03]	[LOOC] OTA.C17-KILO.OSS.66124: It should be very noticable 
[12:44:06]	[LOOC] Andrew Cloverman: then no
[12:44:10]	Andrew Cloverman entered observer.
[12:44:14]	[LOOC] OTA.C17-KILO.OSS.66124: I'll show you my actual height IC 
[12:44:14]	Andrew Cloverman exited observer at their location.
[12:45:10]	Andrew Cloverman has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_warningsign.mdl'.
[12:45:28]	Andrew Cloverman entered observer.
[12:45:29]	Andrew Cloverman exited observer at their location.
[12:45:37]	Andrew Cloverman entered observer.
[12:45:38]	Andrew Cloverman exited observer at their location.
[12:45:39]	Andrew Cloverman has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_container.mdl'.
[12:45:43]	Andrew Cloverman entered observer.
[12:45:44]	Andrew Cloverman exited observer at their location.
[12:45:45]	Andrew Cloverman has taken 1 damage from worldspawn.
[12:45:46]	Andrew Cloverman has taken 1 damage from worldspawn.
[12:45:47]	Andrew Cloverman has taken 1 damage from worldspawn.
[12:45:48]	Andrew Cloverman has taken 1 damage from worldspawn.
[12:45:48]	Andrew Cloverman has taken 1 damage from worldspawn.
[12:45:49]	Andrew Cloverman entered observer.
[12:45:52]	Andrew Cloverman has gained a 'OTA Filter' #29427.
[12:45:52]	Andrew Cloverman used command '/CharGiveItem andrew ota filteR'.
[12:45:53]	Andrew Cloverman ran 'equip' on item 'OTA Filter' (#29427)
[12:45:54]	Andrew Cloverman exited observer at their location.
[12:46:27]	[OOC] OTA.C17-KILO.OSS.66124: be back 
[12:46:31]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[12:47:26]	Andrew Cloverman has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_barrel.mdl'.
[12:48:03]	Andrew Cloverman has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_clothe.mdl'.
[12:48:12]	Andrew Cloverman has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_barrel.mdl'.
[12:48:13]	Andrew Cloverman has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_barrel_lock.mdl'.
[12:48:18]	Andrew Cloverman has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_crate.mdl'.
[12:48:54]	Andrew Cloverman has spawned 'models/hunter/blocks/cube075x075x075.mdl'.
[12:49:23]	Andrew Cloverman has spawned 'models/hunter/plates/plate075x075.mdl'.
[12:50:31]	Andrew Cloverman has spawned 'models/combinefortification/combinegatelittle.mdl'.
[12:51:22]	Andrew Cloverman entered observer.
[12:51:23]	Andrew Cloverman exited observer at their location.
[12:51:41]	Andrew Cloverman has spawned 'models/props_combine/combine_intwallunit.mdl'.
[12:52:11]	Andrew Cloverman has spawned 'models/combinecannon/debris.mdl'.
[12:52:25]	Andrew Cloverman has spawned 'models/combinecannon/remnants.mdl'.
[12:52:26]	Andrew Cloverman has spawned 'models/combinecannon/remnants.mdl'.
[12:52:31]	Andrew Cloverman has spawned 'models/combinecannon/debris.mdl'.
[12:53:04]	Andrew Cloverman entered observer.
[12:53:12]	Andrew Cloverman used command '/CharGiveFlag andrew ncrC'.
[12:53:13]	Andrew Cloverman has spawned 'models/combine_advisor_pod/combine_advisor_pod.mdl'.
[12:53:15]	Andrew Cloverman exited observer at their location.
[12:53:17]	Andrew Cloverman entered observer.
[12:53:18]	Andrew Cloverman has spawned 'models/combine_turrets/floor_turret_gib1.mdl'.
[12:53:24]	Andrew Cloverman has spawned 'models/combine_turrets/floor_turret_gib3.mdl'.
[12:53:26]	Andrew Cloverman has spawned 'models/combine_turrets/floor_turret_gib2.mdl'.
[12:53:28]	Andrew Cloverman has spawned 'models/combine_turrets/combine_cannon.mdl'.
[12:53:30]	Andrew Cloverman has spawned 'models/combine_turrets/combine_cannon_gun.mdl'.
[12:53:35]	Andrew Cloverman has spawned 'models/combine_turrets/combine_cannon_powergen.mdl'.
[12:53:47]	Andrew Cloverman has spawned 'models/combine_turrets/combine_cannon_stand.mdl'.
[12:53:57]	Andrew Cloverman exited observer at their location.
[12:54:07]	Andrew Cloverman entered observer.
[12:54:08]	Andrew Cloverman exited observer at their location.
[12:54:09]	Andrew Cloverman entered observer.
[12:54:10]	Andrew Cloverman exited observer at their location.
[12:54:11]	Andrew Cloverman has spawned 'models/props_combine/combine_generator01.mdl'.
[12:55:04]	Andrew Cloverman entered observer.
[12:55:04]	Andrew Cloverman exited observer at their location.
[12:55:11]	Andrew Cloverman entered observer.
[12:55:12]	Andrew Cloverman exited observer at their location.
[12:55:13]	Andrew Cloverman entered observer.
[12:55:13]	Andrew Cloverman exited observer at their location.
[12:55:16]	Andrew Cloverman has spawned 'models/props_combine/combine_generator01.mdl'.
[12:55:22]	Andrew Cloverman entered observer.
[12:55:24]	Andrew Cloverman exited observer at their location.
[12:55:36]	Andrew Cloverman entered observer.
[12:55:44]	Andrew Cloverman exited observer at their location.
[12:55:44]	Andrew Cloverman entered observer.
[12:55:45]	Andrew Cloverman exited observer at their location.
[12:55:46]	Andrew Cloverman entered observer.
[12:55:46]	Andrew Cloverman exited observer at their location.
[12:55:56]	Andrew Cloverman has spawned 'models/props_combine/combineinnerwallcluster1024_001a.mdl'.
[12:56:11]	Andrew Cloverman has spawned 'models/props/industrial17/combinewallprefab3.mdl'.
[12:56:14]	Andrew Cloverman has spawned 'models/props/industrial17/combinewallprefab2.mdl'.
[12:56:16]	Andrew Cloverman has spawned 'models/props/industrial17/combinewallprefab1.mdl'.
[12:56:18]	Andrew Cloverman has spawned 'models/props/industrial17/combinewallprefab3.mdl'.
[12:56:46]	Andrew Cloverman has spawned 'models/props/industrial17/lettersbox.mdl'.
[12:56:47]	Andrew Cloverman entered observer.
[12:56:49]	Andrew Cloverman exited observer at their location.
[12:56:51]	Andrew Cloverman has spawned 'models/props/industrial17/detainmentpod.mdl'.
[12:56:57]	Andrew Cloverman entered observer.
[12:57:01]	Andrew Cloverman exited observer at their location.
[12:57:43]	Andrew Cloverman entered observer.
[12:57:50]	Andrew Cloverman exited observer at their location.
[12:57:52]	Andrew Cloverman entered observer.
[12:57:54]	Andrew Cloverman exited observer at their location.
[12:57:57]	Andrew Cloverman has spawned 'models/combinefortification/combinescreen1.mdl'.
[12:57:57]	Andrew Cloverman entered observer.
[12:57:59]	Andrew Cloverman exited observer at their location.
[12:58:05]	Andrew Cloverman has spawned 'models/combine_room/combine_wire002.mdl'.
[12:58:15]	Andrew Cloverman entered observer.
[12:59:16]	Andrew Cloverman exited observer at their location.
[12:59:34]	Andrew Cloverman entered observer.
[12:59:37]	Andrew Cloverman exited observer at their location.
[12:59:37]	Andrew Cloverman entered observer.
[12:59:38]	Andrew Cloverman exited observer at their location.
[12:59:39]	Andrew Cloverman has spawned 'models/combine_room/combine_wire001.mdl'.
[12:59:41]	Andrew Cloverman has spawned 'models/combine_room/combine_wire001.mdl'.
[12:59:46]	Andrew Cloverman entered observer.
[12:59:57]	Andrew Cloverman exited observer at their location.
[13:00:56]	Andrew Cloverman has spawned 'models/advisorpod_crash/advisor_pod_crash.mdl'.
[13:01:20]	Andrew Cloverman has spawned 'models/props_combine/sphere.mdl'.
[13:01:33]	Andrew Cloverman has spawned 'models/props_lab/tpplugholder_light.mdl'.
[13:01:51]	Andrew Cloverman has spawned 'models/props_silo/silo_server_d.mdl'.
[13:01:53]	Andrew Cloverman has spawned 'models/props_silo/silo_server_d.mdl'.
[13:01:54]	Andrew Cloverman has spawned 'models/props_silo/silo_server_a.mdl'.
[13:01:56]	Andrew Cloverman has spawned 'models/props_silo/silo_server_d.mdl'.
[13:02:33]	agentgollem has connected.
[13:02:41]	Andrew Cloverman has spawned 'models/props_combine/combine_lightning001b.mdl'.
[13:02:43]	Andrew Cloverman has spawned 'models/props_combine/combine_citadelcloud002a.mdl'.
[13:02:45]	Andrew Cloverman has spawned 'models/props_combine/combine_citadelcloudlight001a.mdl'.
[13:02:46]	Andrew Cloverman has spawned 'models/props_combine/advisorpod_docked.mdl'.
[13:02:51]	Andrew Cloverman has spawned 'models/props_combine/combine_lightning001b.mdl'.
