[00:46:29]	Bean has connected.
[06:57:12]	Robbert Garth used command '/CharFallOver 0.1'.
[06:59:57]	Robbert Garth used command '/CharFallOver 0.1'.
[07:00:02]	Robbert Garth used command '/CharFallOver 0.1'.
[07:00:06]	Robbert Garth used command '/CharFallOver 0.1'.
[07:00:09]	Robbert Garth used command '/CharFallOver 0.1'.
[07:00:14]	Robbert Garth used command '/CharFallOver 0.1'.
[07:00:17]	Robbert Garth used command '/CharFallOver 0.1'.
[07:00:23]	Robbert Garth used command '/CharFallOver 0.1'.
[07:00:29]	Robbert Garth used command '/CharFallOver 0.1'.
[07:00:34]	Robbert Garth used command '/CharFallOver 0.1'.
[07:00:38]	Robbert Garth used command '/CharFallOver 0.1'.
[07:00:42]	Robbert Garth used command '/CharFallOver 0.1'.
[07:00:43]	Robbert Garth has taken 50 damage from worldspawn.
[07:00:43]	worldspawn has killed Robbert Garth.
[07:01:57]	Robbert Garth used command '/CharFallOver 0.1'.
[07:02:02]	Robbert Garth used command '/CharFallOver 0.1'.
[07:02:08]	Robbert Garth used command '/CharFallOver 0.1'.
[07:02:29]	Robbert Garth opened the '' #203 container.
[07:02:33]	Robbert Garth closed the '' #203 container.
[07:02:34]	Robbert Garth opened the '' #2498 container.
[07:02:38]	Robbert Garth ran 'View' on item 'Paper' (#23791)
[07:02:52]	Robbert Garth closed the '' #2498 container.
[07:02:55]	[OOC] Robbert Garth: LEl
[07:03:31]	Dilly_ loaded the character 'Crimson'
[07:03:33]	[OOC] Robbert Garth: Someone has been signing off on rebel propaganda
[07:03:34]	Robbert Garth opened the '' #2498 container.
[07:03:36]	Robbert Garth ran 'View' on item 'Paper' (#24892)
[07:03:40]	Crimson opened the '' #2498 container.
[07:03:41]	Crimson opened the '' #2498 container.
[07:03:43]	Crimson opened the '' #2499 container.
[07:03:45]	Crimson closed the '' #2499 container.
[07:03:50]	Robbert Garth ran 'View' on item 'Paper' (#23846)
[07:03:52]	[LOOC] Crimson: lemme see
[07:04:00]	Robbert Garth closed the '' #2498 container.
[07:04:01]	Crimson opened the '' #2498 container.
[07:04:05]	Crimson ran 'View' on item 'Paper' (#23846)
[07:04:07]	Robbert Garth opened the '' #2499 container.
[07:04:09]	Robbert Garth closed the '' #2499 container.
[07:04:10]	Crimson ran 'View' on item 'Paper' (#24892)
[07:04:14]	Crimson ran 'View' on item 'Paper' (#23791)
[07:04:17]	Crimson closed the '' #2498 container.
[07:04:24]	[OOC] Crimson: liam the cp boi now
[07:04:33]	[OOC] Crimson: prob couldn't like.. .do anythin tho cuz data was down
[07:04:37]	Crimson opened the '' #203 container.
[07:04:44]	[OOC] Robbert Garth: f
[07:04:47]	Crimson closed the '' #203 container.
[07:05:42]	Robbert Garth used command '/CharFallOver 0.1'.
[07:05:47]	Robbert Garth used command '/CharFallOver 0.1'.
[07:05:54]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:00]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:05]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:10]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:15]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:19]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:23]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:28]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:32]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:38]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:43]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:48]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:52]	Robbert Garth used command '/CharFallOver 0.1'.
[07:06:57]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:02]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:07]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:11]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:15]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:20]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:25]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:31]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:40]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:45]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:48]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:52]	Robbert Garth used command '/CharFallOver 0.1'.
[07:07:57]	Robbert Garth used command '/CharFallOver 0.1'.
[07:08:01]	Robbert Garth used command '/CharFallOver 0.1'.
[07:08:04]	Robbert Garth used command '/CharFallOver 0.1'.
[07:08:08]	Robbert Garth used command '/CharFallOver 0.1'.
[07:08:11]	Robbert Garth used command '/CharFallOver 0.1'.
[07:08:15]	Robbert Garth used command '/CharFallOver 0.1'.
[07:08:18]	Robbert Garth used command '/CharFallOver 0.1'.
[07:08:37]	Robbert Garth used command '/CharFallOver 0.1'.
[07:08:47]	Robbert Garth used command '/CharFallOver 0.1'.
[07:09:05]	Robbert Garth used command '/CharFallOver 0.1'.
[07:09:14]	Robbert Garth used command '/CharFallOver 0.1'.
[07:11:09]	Crimson has taken 6 damage from Robbert Garth.
[07:11:09]	Robbert Garth has killed Crimson with ix_hands.
[07:12:18]	Robbert Garth used command '/CharFallOver 0.1'.
[07:18:04]	[OOC] Robbert Garth: a
[07:21:11]	Robbert Garth opened the '' #247 container.
[07:21:13]	Robbert Garth closed the '' #247 container.
[07:21:14]	Robbert Garth opened the '' #246 container.
[07:21:16]	Robbert Garth closed the '' #246 container.
[07:21:17]	Robbert Garth opened the '' #249 container.
[07:21:19]	Robbert Garth closed the '' #249 container.
[07:21:20]	Robbert Garth opened the '' #248 container.
[07:21:22]	Robbert Garth closed the '' #248 container.
[07:21:40]	Robbert Garth opened the '' #2532 container.
[07:21:43]	Robbert Garth closed the '' #2532 container.
[07:21:46]	Robbert Garth opened the '' #2532 container.
[07:21:47]	Robbert Garth closed the '' #2532 container.
[07:23:38]	Global Defence Initiative (STEAM_0:0:49504081) has disconnected.
[07:26:58]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[07:29:38]	blob has connected.
[07:52:05]	Kent Foreman has gained a 'Green Citizen Suit' #25195.
[07:52:05]	Kent Foreman has gained a 'Citizen Filter' #25196.
[07:52:05]	blob created the character 'Kent Foreman'
[07:52:05]	Kent Foreman has gained a 'Suitcase' #25197.
[07:52:06]	Kent Foreman has gained a 'Relocation Coupon' #25198.
[07:52:06]	blob loaded the character 'Kent Foreman'
[07:54:34]	blob (STEAM_0:0:99796223) has disconnected.
[07:56:29]	cytoplasm has connected.
[07:57:17]	cytoplasm loaded the character 'Emily Brown'
[07:58:16]	Emily Brown used command '/ToggleRaise'.
[07:58:20]	Emily Brown used command '/ToggleRaise'.
[07:59:03]	Emily Brown has spawned 'models/props_combine/breenbust.mdl'.
[08:00:53]	Emily Brown opened the '' #2526 container.
[08:00:56]	Emily Brown closed the '' #2526 container.
[08:02:14]	Emily Brown used command '/ToggleRaise'.
[08:02:17]	Emily Brown used command '/ToggleRaise'.
[08:02:49]	Emily Brown ran 'EquipUn' on item 'Combine Worker Suit' (#25101)
[08:03:12]	Emily Brown opened the '' #2526 container.
[08:03:12]	Emily Brown closed the '' #2526 container.
[08:28:14]	Emily Brown used command '/ToggleRaise'.
[08:28:15]	Emily Brown used command '/ToggleRaise'.
[08:36:09]	Global Defence Initiative has connected.
[08:49:33]	cytoplasm (STEAM_0:0:38537787) has disconnected.
[08:53:33]	Global Defence Initiative loaded the character 'Robbert Garth'
[09:03:43]	Robbert Garth opened the '' #2456 container.
[09:03:57]	Robbert Garth closed the '' #2456 container.
[09:24:58]	moe has connected.
[09:26:05]	moe loaded the character 'CCA.C17-UNION.i5.07722'
[09:27:20]	[OOC] CCA.C17-UNION.i5.07722: afk
[09:27:31]	CCA.C17-UNION.i5.07722 used command '/Radio Unit 07722 going 10-7.'.
[09:34:36]	CCA.C17-UNION.i5.07722 used command '/Radio Unit 07722 10-8.'.
[09:34:39]	[OOC] CCA.C17-UNION.i5.07722: back
[09:36:05]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[09:37:50]	CCA.C17-UNION.i5.07722 used command '/Radio Unit 07722 going on 10-50. Standard route. Reporting viscon.'.
[09:41:05]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[09:42:23]	cytoplasm has connected.
[09:42:37]	[OOC] CCA.C17-UNION.i5.07722: hellooooooooo
[09:45:22]	[OOC] Robbert Garth: Yes
[09:45:50]	[LOOC] CCA.C17-UNION.i5.07722: void
[09:46:05]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[09:49:43]	[OOC] CCA.C17-UNION.i5.07722: where u at?
[09:50:02]	[OOC] Robbert Garth: in my shop atm
[09:50:05]	CCA.C17-UNION.i5.07722 opened the '' #203 container.
[09:50:17]	CCA.C17-UNION.i5.07722 closed the '' #203 container.
[09:50:23]	CCA.C17-UNION.i5.07722 opened the '' #2499 container.
[09:50:31]	CCA.C17-UNION.i5.07722 closed the '' #2499 container.
[09:50:32]	CCA.C17-UNION.i5.07722 opened the '' #2498 container.
[09:50:40]	CCA.C17-UNION.i5.07722 closed the '' #2498 container.
[09:51:05]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[09:51:40]	Dilly_ has connected.
[09:53:18]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[09:54:28]	Dilly_ has connected.
[09:54:49]	CCA.C17-UNION.i5.07722 ran 'Toggle' on item 'Handheld Radio' (#25115)
[09:54:50]	CCA.C17-UNION.i5.07722 ran 'Toggle' on item 'Handheld Radio' (#25115)
[09:54:53]	CCA.C17-UNION.i5.07722 ran 'unloadAmmo' on item 'USP Match' (#25114)
[09:54:53]	CCA.C17-UNION.i5.07722 has gained a '9mm Pistol Magazine' #25199.
[09:54:59]	CCA.C17-UNION.i5.07722 ran 'use' on item '9mm Pistol Magazine' (#25199)
[09:55:01]	CCA.C17-UNION.i5.07722 ran 'use' on item '9mm Pistol Magazine' (#25132)
[09:55:49]	Dilly_ loaded the character 'Jackson Steere'
[09:56:03]	[OOC] CCA.C17-UNION.i5.07722: so many citizens
[09:56:05]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[09:56:19]	[OOC] CCA.C17-UNION.i5.07722: welp, two civvies now
[09:57:26]	CCA.C17-UNION.i5.07722 used command '/CharDesc'.
[09:57:36]	CCA.C17-UNION.i5.07722 used command '/CharDesc Your everyday civil protection unit, he is taller than most though. He holds his baton tightly in his right hand. His USP match is holstered. A raspy Boston accent comes out of his vocoder.'.
[09:58:32]	[OOC] CCA.C17-UNION.i5.07722: vort apps open
[09:59:21]	moe (STEAM_0:1:426474993) has disconnected.
[09:59:26]	[OOC] Robbert Garth: Nice
[09:59:34]	Robbert Garth opened the '' #2456 container.
[09:59:36]	Robbert Garth closed the '' #2456 container.
[10:16:13]	Gridlock has connected.
[10:16:26]	Jackson Steere used command '/CharFallOver 1'.
[10:16:42]	Robbert Garth used command '/CharFallOver 0.1'.
[10:23:05]	Gridlock loaded the character 'CCA.C17-UNION.i5.12391'
[10:23:17]	[OOC] CCA.C17-UNION.i5.12391: hi
[10:25:35]	CCA.C17-UNION.i5.12391 ran 'use' on item '9mm Pistol Magazine' (#25130)
[10:25:52]	CCA.C17-UNION.i5.12391 used command '/ViewObjectives'.
[10:26:55]	CCA.C17-UNION.i5.12391 used the 'Ration Dispenser' vendor.
[10:26:58]	CCA.C17-UNION.i5.12391 has gained 0 tokens.
[10:26:58]	CCA.C17-UNION.i5.12391 has gained a 'CCA Grade Beverage (Lemon Flavor)' #25199.
[10:27:03]	CCA.C17-UNION.i5.12391 ran 'Consume' on item 'CCA Grade Beverage (Lemon Flavor)' (#25199)
[10:27:05]	CCA.C17-UNION.i5.12391 used the 'Ration Dispenser' vendor.
[10:27:12]	CCA.C17-UNION.i5.12391 has gained 0 tokens.
[10:27:12]	CCA.C17-UNION.i5.12391 has gained a 'CCA Grade Food Product (Beef Jerky Flavor)' #25199.
[10:27:17]	CCA.C17-UNION.i5.12391 ran 'Consume' on item 'CCA Grade Food Product (Beef Jerky Flavor)' (#25199)
[10:27:18]	CCA.C17-UNION.i5.12391 used the 'Ration Dispenser' vendor.
[10:27:20]	CCA.C17-UNION.i5.12391 has gained 0 tokens.
[10:27:20]	CCA.C17-UNION.i5.12391 has gained a 'CCA Grade Supplements (Oatmeal Flavor)' #25199.
[10:27:24]	CCA.C17-UNION.i5.12391 ran 'Consume' on item 'CCA Grade Supplements (Oatmeal Flavor)' (#25199)
[10:27:25]	CCA.C17-UNION.i5.12391 used the 'Ration Dispenser' vendor.
[10:27:27]	CCA.C17-UNION.i5.12391 has gained 0 tokens.
[10:27:27]	CCA.C17-UNION.i5.12391 has gained a 'CCA Grade Beverage (Lemon-Lime Flavor)' #25199.
[10:27:30]	CCA.C17-UNION.i5.12391 ran 'Consume' on item 'CCA Grade Beverage (Lemon-Lime Flavor)' (#25199)
[10:28:05]	CCA.C17-UNION.i5.12391 has gained 10 tokens.
[10:28:47]	CCA.C17-UNION.i5.12391 opened the '' #2366 container.
[10:28:49]	CCA.C17-UNION.i5.12391 closed the '' #2366 container.
[10:29:24]	CCA.C17-UNION.i5.12391 ran 'take' on item 'Suitcase' (#13038)
[10:29:24]	CCA.C17-UNION.i5.12391 has gained a 'Suitcase' #13038.
[10:29:24]	CCA.C17-UNION.i5.12391 has gained a 'Respirator' #19395.
[10:29:24]	CCA.C17-UNION.i5.12391 has gained a 'Flashlight' #13036.
[10:29:24]	CCA.C17-UNION.i5.12391 has gained a 'Handheld Radio' #13992.
[10:29:31]	CCA.C17-UNION.i5.12391 ran 'drop' on item 'Suitcase' (#13038)
[10:29:31]	CCA.C17-UNION.i5.12391 has lost a 'Suitcase' #13038.
[10:29:31]	CCA.C17-UNION.i5.12391 has lost a 'Respirator' #19395.
[10:29:31]	CCA.C17-UNION.i5.12391 has lost a 'Flashlight' #13036.
[10:29:31]	CCA.C17-UNION.i5.12391 has lost a 'Handheld Radio' #13992.
[10:29:34]	CCA.C17-UNION.i5.12391 ran 'take' on item 'Suitcase' (#749)
[10:29:34]	CCA.C17-UNION.i5.12391 has gained a 'Suitcase' #749.
[10:29:34]	CCA.C17-UNION.i5.12391 has gained a 'Notepad' #766.
[10:29:34]	CCA.C17-UNION.i5.12391 has gained a 'Notepad' #765.
[10:29:34]	CCA.C17-UNION.i5.12391 has gained a 'Citizen ID' #755.
[10:29:38]	cytoplasm loaded the character 'Emily Brown'
[10:29:44]	CCA.C17-UNION.i5.12391 ran 'drop' on item 'Suitcase' (#749)
[10:29:44]	CCA.C17-UNION.i5.12391 has lost a 'Suitcase' #749.
[10:29:44]	CCA.C17-UNION.i5.12391 has lost a 'Notepad' #766.
[10:29:44]	CCA.C17-UNION.i5.12391 has lost a 'Notepad' #765.
[10:29:44]	CCA.C17-UNION.i5.12391 has lost a 'Citizen ID' #755.
[10:30:07]	Emily Brown ran 'Equip' on item 'Combine Worker Suit' (#25101)
[10:31:17]	[OOC] CCA.C17-UNION.i5.12391: Prison affair is lowkey poppin
[10:31:43]	CCA.C17-UNION.i5.12391 used command '/ViewCamera'.
[10:32:28]	CCA.C17-UNION.i5.12391 used command '/CharDesc'.
[10:32:46]	CCA.C17-UNION.i5.12391 used command '/CharDesc'.
[10:33:05]	CCA.C17-UNION.i5.12391 has gained 10 tokens.
[10:33:33]	moe has connected.
[10:34:18]	moe loaded the character 'CCA.C17-UNION.i5.07722'
[10:34:47]	CCA.C17-UNION.i5.07722 used command '/Radio Unit 07722 10-8.'.
[10:34:50]	[ME] Emily Brown: yawns under the mask as she leans foward against the table.
[10:34:52]	[ME] CCA.C17-UNION.i5.12391: grabs a broom from under the table
[10:35:16]	[ME] CCA.C17-UNION.i5.12391: hands the broom to the man
[10:35:19]	[LOOC] Emily Brown: the man
[10:35:31]	[ME] Emily Brown: gribs the broom, before waving.
[10:35:55]	CCA.C17-UNION.i5.12391 used command '/PM Emily I cannot tell if you are a male or a female, I do not have you f3'd and the suit of yours hide your gender tbh'.
[10:36:07]	Emily Brown used command '/PM 123 yeah i was joking lmfao dw'.
[10:38:05]	CCA.C17-UNION.i5.12391 has gained 10 tokens.
[10:38:10]	[OOC] CCA.C17-UNION.i5.12391: how to save my desc ?
[10:38:28]	[OOC] CCA.C17-UNION.i5.07722: do /chardesc and then you can change it
[10:38:36]	[OOC] CCA.C17-UNION.i5.07722: and then it saves
[10:38:52]	CCA.C17-UNION.i5.12391 used command '/CharDesc'.
[10:39:18]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[10:39:30]	CCA.C17-UNION.i5.12391 used command '/CharDesc You can see a tall metrocop in front of you, from what you can guess they are around 6'5 '.
[10:40:51]	CCA.C17-UNION.i5.12391 used command '/CharDesc'.
[10:40:56]	CCA.C17-UNION.i5.12391 used command '/CharDesc You can see a tall metrocop in front of you, from what you can guess they are around 6'5 '.
[10:41:06]	[ME] Emily Brown: holds out the broom. "I'm done, yep."
[10:41:22]	[ME] CCA.C17-UNION.i5.12391: takes the broom and puts it on the table behind her
[10:41:31]	[ME] Emily Brown: eyes the officer to her left, before giving a wave. "Hello there."
[10:41:33]	Emily Brown used command '/ApplySay'.
[10:41:48]	[LOOC] CCA.C17-UNION.i5.12391: ah cool I cant do /viewdata
[10:41:56]	[LOOC] CCA.C17-UNION.i5.07722: i got you
[10:42:36]	[ME] CCA.C17-UNION.i5.07722: holsters his stunstick and pulls out his PDA, he logs in and begins typing away.
[10:43:01]	[IT] Emily Brown: "One." the woman butted in.
[10:43:05]	Emily Brown has taken 2 damage from Emily Brown.
[10:43:05]	CCA.C17-UNION.i5.12391 has gained 10 tokens.
[10:43:20]	Emily Brown has taken 2 damage from Emily Brown.
[10:43:27]	Dilly_ loaded the character 'CCA.C17-UNION.i1.93347'
[10:43:31]	[LOOC] CCA.C17-UNION.i5.12391: now f3 since u applied
[10:43:33]	CCA.C17-UNION.i1.93347 used command '/ViewData robbert'.
[10:43:35]	Emily Brown has taken 2 damage from Emily Brown.
[10:43:44]	Dilly_ loaded the character 'Jackson Steere'
[10:43:46]	[LOOC] Emily Brown: im choking one second void this
[10:43:50]	Emily Brown has taken 2 damage from Emily Brown.
[10:44:00]	CCA.C17-UNION.i5.07722 used command '/ViewData Emily Brown'.
[10:44:05]	Emily Brown has taken 2 damage from Emily Brown.
[10:44:18]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[10:44:18]	[OOC] Emily Brown: can one of you come to unlock the vendor i cant buy filters
[10:44:20]	Emily Brown has taken 2 damage from Emily Brown.
[10:44:21]	[OOC] Emily Brown: idk who locked this
[10:44:32]	Emily Brown used the 'Shopkeeper' vendor.
[10:44:35]	Emily Brown has taken 2 damage from Emily Brown.
[10:44:36]	Emily Brown has lost 2 tokens.
[10:44:36]	Emily Brown has gained a 'Citizen Filter' #25199.
[10:44:36]	Emily Brown has lost 2 tokens.
[10:44:36]	Emily Brown has gained a 'Citizen Filter' #25200.
[10:44:37]	Emily Brown has lost 2 tokens.
[10:44:37]	Emily Brown has gained a 'Citizen Filter' #25201.
[10:44:38]	Emily Brown has lost 2 tokens.
[10:44:38]	Emily Brown has gained a 'Citizen Filter' #25202.
[10:44:39]	Emily Brown has lost 2 tokens.
[10:44:39]	Emily Brown has gained a 'Citizen Filter' #25203.
[10:44:43]	[OOC] CCA.C17-UNION.i5.12391: I think the map restarts do that
[10:44:44]	Emily Brown ran 'equip' on item 'Citizen Filter' (#25199)
[10:44:46]	CCA.C17-UNION.i5.12391 ran 'Edit' on item 'Paper' (#24306)
[10:44:47]	Emily Brown ran 'EquipUn' on item 'Combine Worker Suit' (#25101)
[10:44:48]	Emily Brown ran 'Equip' on item 'Combine Worker Suit' (#25101)
[10:44:50]	[OOC] Jackson Steere: does and its a shame :c 
[10:44:50]	Emily Brown has taken 2 damage from Emily Brown.
[10:44:53]	[OOC] Jackson Steere: cp go brr
[10:44:57]	[LOOC] CCA.C17-UNION.i5.07722: hit em
[10:45:01]	[OOC] Emily Brown: i cant put on my filter nice
[10:45:05]	Emily Brown has taken 2 damage from Emily Brown.
[10:45:17]	[LOOC] CCA.C17-UNION.i5.12391: f
[10:45:20]	Emily Brown has taken 2 damage from Emily Brown.
[10:45:21]	[LOOC] CCA.C17-UNION.i5.07722: rip
[10:45:26]	[OOC] Emily Brown: lemme go ask q
[10:45:28]	[LOOC] CCA.C17-UNION.i5.07722: take this
[10:45:30]	CCA.C17-UNION.i5.07722 ran 'drop' on item 'Respirator' (#24970)
[10:45:30]	CCA.C17-UNION.i5.07722 has lost a 'Respirator' #24970.
[10:45:30]	[OOC] CCA.C17-UNION.i5.12391: use a respirator
[10:45:35]	Emily Brown has taken 2 damage from Emily Brown.
[10:45:39]	CCA.C17-UNION.i5.07722 ran 'take' on item 'Respirator' (#24970)
[10:45:39]	CCA.C17-UNION.i5.07722 has gained a 'Respirator' #24970.
[10:45:50]	Emily Brown has taken 2 damage from Emily Brown.
[10:46:04]	[OOC] Emily Brown: wat
[10:46:05]	Emily Brown has taken 2 damage from Emily Brown.
[10:46:08]	Emily Brown used the 'Shopkeeper' vendor.
[10:46:15]	[OOC] Emily Brown: i cant even buy one lmao
[10:46:20]	Emily Brown has taken 2 damage from Emily Brown.
[10:46:23]	[OOC] CCA.C17-UNION.i5.12391: it was in the shop yesterday wtf
[10:46:29]	[OOC] Emily Brown: i dont have enough tokenbs
[10:46:35]	Emily Brown has taken 2 damage from Emily Brown.
[10:46:47]	Emily Brown used the 'Shopkeeper' vendor.
[10:46:50]	Emily Brown has taken 2 damage from Emily Brown.
[10:46:55]	[OOC] CCA.C17-UNION.i5.12391: before I turned my char into a cp I collected 300 tokens, no work done and no rations
[10:46:58]	Emily Brown has lost 4 tokens.
[10:46:58]	Emily Brown has gained a 'UU Brand Corn' #25204.
[10:47:02]	Emily Brown ran 'Consume' on item 'UU Brand Corn' (#25204)
[10:47:05]	CCA.C17-UNION.i5.07722 used command '/Radio Unit 07722, and 12391 going on 10-50. Standard route. Reporting viscon.'.
[10:47:05]	Emily Brown has taken 2 damage from Emily Brown.
[10:47:08]	Emily Brown ran 'equip' on item 'Citizen Filter' (#25201)
[10:47:20]	Emily Brown has taken 2 damage from Emily Brown.
[10:47:20]	[OOC] Emily Brown: i think im dying or thirst actually
[10:47:25]	[OOC] Emily Brown: of*
[10:47:28]	[OOC] CCA.C17-UNION.i5.12391: L
[10:47:31]	Emily Brown has lost 5 tokens.
[10:47:35]	Emily Brown ran 'Consume' on item 'Consulate Water' (#25204)
[10:47:44]	Emily Brown has lost 5 tokens.
[10:47:46]	Emily Brown ran 'Consume' on item 'Consulate Water' (#25205)
[10:47:48]	[OOC] Emily Brown: yep
[10:47:53]	[OOC] Emily Brown: ok im back
[10:48:05]	CCA.C17-UNION.i5.12391 has gained 10 tokens.
[10:48:16]	CCA.C17-UNION.i5.12391 ran 'View' on item 'Paper' (#25193)
[10:48:18]	CCA.C17-UNION.i5.07722 ran 'View' on item 'Paper' (#25193)
[10:49:18]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[10:49:29]	Emily Brown used the 'Shopkeeper' vendor.
[10:49:43]	Emily Brown ran 'place' on item 'Report the Vort Poster' (#25120)
