[00:00:35]	[OOC] Alex Palovichov: brb
[00:31:24]	Marti Verdugo has lost a 'Insulating Tape' #25717.
[00:31:28]	Marti Verdugo ran 'drop' on item 'Cloth Scrap' (#30436)
[00:31:28]	Marti Verdugo has lost a 'Cloth Scrap' #30436.
[00:31:28]	Marti Verdugo ran 'drop' on item 'Cloth Scrap' (#30737)
[00:31:28]	Marti Verdugo has lost a 'Cloth Scrap' #30737.
[00:31:29]	Marti Verdugo ran 'drop' on item 'Bolts' (#29275)
[00:31:29]	Marti Verdugo has lost a 'Bolts' #29275.
[00:31:32]	Marti Verdugo destroyed a 'Bolts' #29275.
[00:31:33]	Marti Verdugo destroyed a 'Cloth Scrap' #30436.
[00:31:33]	Marti Verdugo destroyed a 'Cloth Scrap' #30737.
[00:31:34]	Marti Verdugo destroyed a 'Empty Glass Bottle' #30859.
[00:31:34]	Marti Verdugo destroyed a 'Scrap Glass' #30952.
[00:31:34]	Marti Verdugo destroyed a 'Empty Cooking Oil Bottle' #30844.
[00:31:35]	Marti Verdugo destroyed a 'Empty Glass Bottle' #30613.
[00:31:35]	Marti Verdugo destroyed a 'Empty Glass Bottle' #30609.
[00:31:36]	Marti Verdugo destroyed a 'Empty Glass Bottle' #30608.
[00:31:48]	[OOC] Marti Verdugo: all of the cheese? mine. all of the bread, chocolates? Alcohol? Milk? mine.
[00:32:18]	[ME] Marti Verdugo: steals the variety of chocolates and cigarettes, alongside the massive wheel of cheese and even the alcohol.
[00:32:23]	Marti Verdugo destroyed a 'Insulating Tape' #25717.
[00:32:38]	Marti Verdugo used the 'Shopkeeper Jim' vendor.
[00:32:45]	Marti Verdugo has lost 10 tokens.
[00:32:45]	Marti Verdugo has gained a 'Flashlight' #30952.
[00:32:54]	[OOC] Marti Verdugo: >no cp's on
[00:34:26]	[OOC] Andrew Cloverman: sorry, here
[00:34:37]	[OOC] Andrew Cloverman: let me give youy osme of the items
[00:34:49]	[OOC] Marti Verdugo: stolen food
[00:34:52]	[OOC] Marti Verdugo: aclhoglh
[00:35:33]	Marti Verdugo ran 'drop' on item 'Wires' (#24791)
[00:35:33]	Marti Verdugo has lost a 'Wires' #24791.
[00:35:37]	Marti Verdugo ran 'AHealSelf' on item 'Health Vial' (#30643)
[00:35:38]	Marti Verdugo ran 'Apply' on item 'Health Vial' (#30642)
[00:35:42]	Marti Verdugo destroyed a 'Wires' #24791.
[00:38:39]	Andrew Cloverman has gained a 'UU Brand Chocolate' #30953.
[00:38:39]	Andrew Cloverman has gained a 'UU Brand Chocolate' #30954.
[00:38:39]	Andrew Cloverman has gained a 'UU Brand Chocolate' #30955.
[00:38:39]	Andrew Cloverman used command '/CharGiveItem andrew chocolate 3'.
[00:38:45]	Marti Verdugo has gained a 'UU Brand Chocolate' #30956.
[00:38:45]	Marti Verdugo has gained a 'UU Brand Chocolate' #30957.
[00:38:45]	Marti Verdugo has gained a 'UU Brand Chocolate' #30958.
[00:38:45]	Andrew Cloverman used command '/CharGiveItem marti chocolate 3'.
[00:38:52]	Andrew Cloverman used command '/CharGiveItem andrew cigarettes'.
[00:38:56]	Andrew Cloverman has gained a 'UU Brand Cigarette' #30959.
[00:38:56]	Andrew Cloverman used command '/CharGiveItem andrew cigaret'.
[00:39:00]	Andrew Cloverman has gained a 'UU Brand Cigarette Pack' #30960.
[00:39:00]	Andrew Cloverman used command '/CharGiveItem andrew cigarette pack'.
[00:39:06]	Marti Verdugo has gained a 'UU Brand Cigarette Pack' #30961.
[00:39:06]	Marti Verdugo has gained a 'UU Brand Cigarette Pack' #30962.
[00:39:06]	Marti Verdugo has gained a 'UU Brand Cigarette Pack' #30963.
[00:39:06]	Andrew Cloverman used command '/CharGiveItem marti cigarette pack 3'.
[00:39:15]	Andrew Cloverman has gained a 'UU Brand Cheese' #30964.
[00:39:15]	Andrew Cloverman used command '/CharGiveItem andrew cheese'.
[00:39:20]	[ME] Marti Verdugo: grabs the register, popping it open and PRAYING theres money in it.
[00:39:21]	Marti Verdugo rolled 23 out of 100.
[00:39:21]	Marti Verdugo used command '/Roll'.
[00:39:21]	Marti Verdugo has gained a 'UU Brand Cheese' #30965.
[00:39:21]	Andrew Cloverman used command '/CharGiveItem marti cheese'.
[00:39:33]	Andrew Cloverman has gained a 'UU Gin' #30966.
[00:39:33]	Andrew Cloverman used command '/CharGiveItem andrew gin'.
[00:39:39]	Marti Verdugo has gained a 'UU Gin' #30967.
[00:39:39]	Andrew Cloverman used command '/CharGiveItem marti gin'.
[00:39:41]	Andrew Cloverman has gained a 'UU Lager' #30968.
[00:39:41]	Andrew Cloverman used command '/CharGiveItem andrew lager'.
[00:39:42]	Marti Verdugo ran 'Drink' on item 'UU Gin' (#30967)
[00:39:44]	Marti Verdugo ran 'Eat' on item 'UU Brand Chocolate' (#30957)
[00:39:47]	Marti Verdugo has gained a 'UU Lager' #30969.
[00:39:47]	Marti Verdugo has gained a 'UU Lager' #30970.
[00:39:47]	Andrew Cloverman used command '/CharGiveItem marti lager 2'.
[00:39:48]	Marti Verdugo opened the 'Cash Register' #2526 container.
[00:39:50]	Marti Verdugo closed the 'Cash Register' #2526 container.
[00:40:13]	[LOOC] Marti Verdugo: mmm tasty yummy
[00:40:15]	Marti Verdugo opened the 'Cash Register' #2526 container.
[00:40:16]	Marti Verdugo closed the 'Cash Register' #2526 container.
[00:40:39]	[OOC] Andrew Cloverman: the tooltips for the lager and the gin are borken for whatever reason, i'm looking into the reason why
[00:40:40]	[ME] Marti Verdugo: does everything short of actually beating the register with his hands, trying to figure out how this antique shit works.
[00:40:48]	[OOC] Marti Verdugo: i was too busy drinking it ngl
[00:40:53]	[OOC] Andrew Cloverman: unfortunately i can't fix it now because i had a long day and need to sleep after this
[00:40:56]	Andrew Cloverman opened the 'Cash Register' #2526 container.
[00:40:59]	Andrew Cloverman closed the 'Cash Register' #2526 container.
[00:41:04]	Marti Verdugo opened the 'Cash Register' #2526 container.
[00:41:06]	Marti Verdugo closed the 'Cash Register' #2526 container.
[00:41:35]	[OOC] Marti Verdugo: its gonna be really funny if I open the door and a cop is just standing there
[00:41:45]	Marti Verdugo ran 'Equip' on item 'Pan' (#30595)
[00:41:51]	Marti Verdugo ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#30528)
[00:41:53]	Marti Verdugo ran 'Equip' on item 'Cyclopic Citizen Suit' (#30528)
[00:41:55]	[OOC] Andrew Cloverman: the shop is abandoned, the cops wouldn't even stop you
[00:41:56]	Marti Verdugo ran 'equip' on item 'Citizen Filter' (#30669)
[00:42:08]	[OOC] Marti Verdugo: no jortigaunts
[00:42:20]	Marti Verdugo has gained a 'Paper' #30971.
[00:42:24]	Marti Verdugo ran 'Edit' on item 'Paper' (#30971)
[00:44:12]	Marti Verdugo ran 'View' on item 'Paper' (#23948)
[00:44:21]	Marti Verdugo ran 'Edit' on item 'Paper' (#30971)
[00:45:40]	Apex has connected.
[00:45:40]	Henry Blackwoods has killed Henry Blackwoods.
[00:48:47]	Marti Verdugo ran 'View' on item 'Paper' (#30971)
[00:48:52]	Marti Verdugo ran 'Edit' on item 'Paper' (#30971)
[00:49:53]	Marti Verdugo ran 'drop' on item 'Paper' (#30971)
[00:49:53]	Marti Verdugo has lost a 'Paper' #30971.
[00:50:58]	[OOC] Marti Verdugo: i shall leave
[00:51:00]	[OOC] Marti Verdugo: goodbye
[00:51:05]	SEXMASTER (STEAM_0:1:39081684) has disconnected.
[00:53:17]	Andrew Cloverman used command '/CharSetThirst henry 100'.
[00:53:22]	Andrew Cloverman used command '/CharSetHunger henry 100'.
[00:53:24]	Andrew Cloverman used command '/CharKick henry'.
[00:54:03]	Apex loaded the character 'CCA.C17-UNION.i5.00344'
[00:54:45]	Apex (STEAM_0:0:170921441) has disconnected.
[01:02:10]	Lynch loaded the character 'Henry Blackwoods'
[01:02:44]	[OOC] Henry Blackwoods: Oh darn, looks like I forgot to turn off my computer at night
[01:08:48]	Lynch (STEAM_0:1:626926779) has disconnected.
[02:01:01]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[09:20:13]	matt saton has connected.
[09:42:36]	matt saton loaded the character 'CCA.C17-GRID.i3.10945'
[09:57:45]	Lynch has connected.
[10:00:35]	Lynch loaded the character 'Henry Blackwoods'
[10:01:38]	[OOC] Henry Blackwoods: Oh dam, I died from starvation in my cell.
[10:04:29]	[OOC] CCA.C17-GRID.i3.10945: oh, hey, welcome back
[10:04:45]	[OOC] CCA.C17-GRID.i3.10945: yeah, i kcicked you off your char last night and restored your hunger and thirst, i figured you wouldn't mind
[10:04:45]	CCA.C17-GRID.i3.10945 entered observer.
[10:04:56]	[OOC] CCA.C17-GRID.i3.10945: because i noticed that exact thing was happening
[10:05:26]	[OOC] CCA.C17-GRID.i3.10945: i'm not sure where you were originally but i'm gonna put you in one of the downstairs cells because you're awaiting tiral;
[10:05:42]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:05:43]	CCA.C17-GRID.i3.10945 entered observer.
[10:05:47]	[OOC] Henry Blackwoods: Alright.
[10:05:57]	[OOC] CCA.C17-GRID.i3.10945: give me one second, make sure your cell is stocked with enough food and water so you don't immediately die
[10:06:06]	[OOC] CCA.C17-GRID.i3.10945: sorry to hear about you getting caught, i hope there are no hard feelings there
[10:06:20]	[OOC] Henry Blackwoods: Better call Saul.
[10:06:37]	[OOC] Henry Blackwoods: I will probably be killed or exiled.
[10:06:57]	[OOC] CCA.C17-GRID.i3.10945: i need to go over your list of crimes but given as i don't think you have a bad track record i don't imagine you'll be amputated
[10:06:59]	CCA.C17-GRID.i3.10945 used command '/ViewData henry'.
[10:07:06]	[OOC] CCA.C17-GRID.i3.10945: yeah you've got 15 LP
[10:07:45]	CCA.C17-GRID.i3.10945 has spawned 'models/props/de_inferno/tableantique.mdl'.
[10:07:58]	CCA.C17-GRID.i3.10945 has gained a 'Minimum Grade Food Product (Fish Flavor)' #30972.
[10:07:58]	CCA.C17-GRID.i3.10945 has gained a 'Minimum Grade Food Product (Beet Flavor)' #30973.
[10:07:58]	CCA.C17-GRID.i3.10945 has gained a 'Minimum Grade Food Product (Fish Flavor)' #30974.
[10:07:58]	CCA.C17-GRID.i3.10945 used command '/CharGiveItem grid minimum grade food product 3'.
[10:08:05]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Minimum Grade Food Product (Fish Flavor)' (#30972)
[10:08:05]	CCA.C17-GRID.i3.10945 has lost a 'Minimum Grade Food Product (Fish Flavor)' #30972.
[10:08:15]	CCA.C17-GRID.i3.10945 ran 'take' on item 'Minimum Grade Food Product (Fish Flavor)' (#30972)
[10:08:15]	CCA.C17-GRID.i3.10945 has gained a 'Minimum Grade Food Product (Fish Flavor)' #30972.
[10:08:17]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:08:19]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Minimum Grade Food Product (Fish Flavor)' (#30972)
[10:08:19]	CCA.C17-GRID.i3.10945 has lost a 'Minimum Grade Food Product (Fish Flavor)' #30972.
[10:08:21]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Minimum Grade Food Product (Beet Flavor)' (#30973)
[10:08:21]	CCA.C17-GRID.i3.10945 has lost a 'Minimum Grade Food Product (Beet Flavor)' #30973.
[10:08:23]	CCA.C17-GRID.i3.10945 ran 'take' on item 'Minimum Grade Food Product (Beet Flavor)' (#30973)
[10:08:23]	CCA.C17-GRID.i3.10945 has gained a 'Minimum Grade Food Product (Beet Flavor)' #30973.
[10:08:24]	CCA.C17-GRID.i3.10945 entered observer.
[10:08:27]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Minimum Grade Food Product (Beet Flavor)' (#30973)
[10:08:27]	CCA.C17-GRID.i3.10945 has lost a 'Minimum Grade Food Product (Beet Flavor)' #30973.
[10:08:29]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Minimum Grade Food Product (Fish Flavor)' (#30974)
[10:08:29]	CCA.C17-GRID.i3.10945 has lost a 'Minimum Grade Food Product (Fish Flavor)' #30974.
[10:08:31]	CCA.C17-GRID.i3.10945 ran 'take' on item 'Minimum Grade Food Product (Beet Flavor)' (#30973)
[10:08:31]	CCA.C17-GRID.i3.10945 has gained a 'Minimum Grade Food Product (Beet Flavor)' #30973.
[10:08:33]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Minimum Grade Food Product (Beet Flavor)' (#30973)
[10:08:33]	CCA.C17-GRID.i3.10945 has lost a 'Minimum Grade Food Product (Beet Flavor)' #30973.
[10:08:36]	CCA.C17-GRID.i3.10945 ran 'take' on item 'Minimum Grade Food Product (Beet Flavor)' (#30973)
[10:08:36]	CCA.C17-GRID.i3.10945 has gained a 'Minimum Grade Food Product (Beet Flavor)' #30973.
[10:08:39]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Minimum Grade Food Product (Beet Flavor)' (#30973)
[10:08:39]	CCA.C17-GRID.i3.10945 has lost a 'Minimum Grade Food Product (Beet Flavor)' #30973.
[10:08:45]	CCA.C17-GRID.i3.10945 has gained a 'Empty Consulate Water Can' #30975.
[10:08:45]	CCA.C17-GRID.i3.10945 has gained a 'Empty Consulate Water Can' #30976.
[10:08:45]	CCA.C17-GRID.i3.10945 has gained a 'Empty Consulate Water Can' #30977.
[10:08:45]	CCA.C17-GRID.i3.10945 used command '/CharGiveItem grid consulate water 3'.
[10:08:49]	CCA.C17-GRID.i3.10945 used command '/adminspawnmenu'.
[10:09:19]	CCA.C17-GRID.i3.10945 has spawned "Consulate Water"
[10:09:20]	CCA.C17-GRID.i3.10945 has spawned "Consulate Water"
[10:09:20]	CCA.C17-GRID.i3.10945 has spawned "Consulate Water"
[10:09:23]	CCA.C17-GRID.i3.10945 ran 'take' on item 'Consulate Water' (#30980)
[10:09:23]	CCA.C17-GRID.i3.10945 has gained a 'Consulate Water' #30980.
[10:09:24]	CCA.C17-GRID.i3.10945 ran 'take' on item 'Consulate Water' (#30978)
[10:09:24]	CCA.C17-GRID.i3.10945 has gained a 'Consulate Water' #30978.
[10:09:26]	CCA.C17-GRID.i3.10945 ran 'take' on item 'Consulate Water' (#30979)
[10:09:26]	CCA.C17-GRID.i3.10945 has gained a 'Consulate Water' #30979.
[10:09:32]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Consulate Water' (#30980)
[10:09:32]	CCA.C17-GRID.i3.10945 has lost a 'Consulate Water' #30980.
[10:09:34]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Consulate Water' (#30978)
[10:09:34]	CCA.C17-GRID.i3.10945 has lost a 'Consulate Water' #30978.
[10:09:39]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[10:09:40]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Consulate Water' (#30979)
[10:09:40]	CCA.C17-GRID.i3.10945 has lost a 'Consulate Water' #30979.
[10:09:44]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:09:45]	CCA.C17-GRID.i3.10945 entered observer.
[10:09:49]	CCA.C17-GRID.i3.10945 has spawned a 'Entity [4352][ix_airvent]'.
[10:09:50]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:09:53]	CCA.C17-GRID.i3.10945 entered observer.
[10:10:41]	[OOC] CCA.C17-GRID.i3.10945: beet flavor food product would actually go hard but i know a lot of people don't like beets
[10:12:28]	[OOC] CCA.C17-GRID.i3.10945: you're gonna be hjit with a couple lag spikes here in a second, i figured anyone wouldn't be on so i'm doing some bug fixes
[10:16:00]	CCA.C17-GRID.i3.10945 has spawned 'models/props_junk/wood_crate001a.mdl'.
[10:16:03]	CCA.C17-GRID.i3.10945 has set the password for 'Crate'.
[10:16:08]	CCA.C17-GRID.i3.10945 has removed the password for 'Crate'.
[10:16:11]	CCA.C17-GRID.i3.10945 has set the password for 'Crate'.
[10:16:13]	CCA.C17-GRID.i3.10945 has set the password for 'Crate'.
[10:16:14]	CCA.C17-GRID.i3.10945 has set the password for 'Crate'.
[10:16:15]	CCA.C17-GRID.i3.10945 has set the password for 'Crate'.
[10:16:16]	CCA.C17-GRID.i3.10945 has set the password for 'Crate'.
[10:16:42]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:16:44]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:18:13]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[10:19:26]	Nums has connected.
[10:19:58]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:20:03]	CCA.C17-GRID.i3.10945 entered observer.
[10:20:13]	Nums loaded the character 'CCA.C17-UNION.i5.77460'
[10:20:27]	Nums loaded the character 'Finan O'Conall'
[10:20:54]	Finan O'Conall opened the 'Crate' #2778 container.
[10:21:00]	Finan O'Conall closed the 'Crate' #2778 container.
[10:21:04]	Finan O'Conall opened the 'Item Crate' #2851 container.
[10:21:08]	Finan O'Conall closed the 'Item Crate' #2851 container.
[10:21:34]	[OOC] CCA.C17-GRID.i3.10945: yooooo it be nums
[10:21:39]	Finan O'Conall has gained 10 tokens.
[10:21:43]	[OOC] Finan O'Conall: Yo
[10:21:52]	Finan O'Conall destroyed a 'Empty Glass Bottle' #30886.
[10:22:11]	Finan O'Conall has taken 10 damage from npc_zombine.
[10:22:13]	Finan O'Conall has taken 10 damage from npc_zombine.
[10:22:16]	Finan O'Conall has taken 14 damage from npc_zombine.
[10:22:16]	npc_zombine destroyed a '12-Gauge Shells' #30982.
[10:22:19]	[OOC] CCA.C17-GRID.i3.10945: welcome back!
[10:22:24]	[OOC] Finan O'Conall: Thank ye
[10:23:08]	Finan O'Conall has gained 10 tokens.
[10:23:13]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[10:23:30]	Finan O'Conall has taken 5 damage from npc_fastzombie.
[10:23:31]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[10:23:31]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[10:23:36]	Finan O'Conall has gained 20 tokens.
[10:23:47]	[OOC] CCA.C17-GRID.i3.10945: testing something
[10:23:53]	[OOC] CCA.C17-GRID.i3.10945: hm
[10:23:56]	[OOC] CCA.C17-GRID.i3.10945: that is sitll in
[10:24:19]	Finan O'Conall has taken 5 damage from npc_headcrab_fast.
[10:24:29]	Finan O'Conall has taken 5 damage from npc_headcrab_fast.
[10:24:41]	Finan O'Conall has taken 10 damage from npc_poisonzombie.
[10:24:48]	Finan O'Conall has taken 10 damage from npc_poisonzombie.
[10:25:47]	Finan O'Conall destroyed a 'Scrap Electronics' #30754.
[10:25:48]	Finan O'Conall destroyed a 'Capacitors' #30558.
[10:25:48]	Finan O'Conall destroyed a 'Empty Paint Can' #30753.
[10:25:49]	Finan O'Conall destroyed a 'Capacitors' #30759.
[10:26:13]	Finan O'Conall ran 'equip' on item 'Conscript Filter' (#30708)
[10:26:13]	Finan O'Conall destroyed a 'Circuit Board' #30799.
[10:26:14]	Finan O'Conall destroyed a 'Military Circuit Board' #29909.
[10:26:15]	Finan O'Conall destroyed a 'Sewn Cloth' #30526.
[10:26:19]	Finan O'Conall ran 'take' on item 'UU Brand Cigarette Pack' (#29419)
[10:26:19]	Finan O'Conall has gained a 'UU Brand Cigarette Pack' #29419.
[10:26:23]	Finan O'Conall ran 'View' on item 'UU Brand Cigarette Pack' (#29419)
[10:26:32]	Finan O'Conall ran 'Take' on item 'UU Brand Cigarette Pack' (#29419)
[10:26:36]	Finan O'Conall ran 'Smoke' on item 'UU Brand Cigarette' (#30983)
[10:28:10]	Finan O'Conall opened the 'Crate' #2778 container.
[10:28:13]	Finan O'Conall ran 'AHealSelf' on item 'AI-2 Medikit' (#29360)
[10:28:13]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[10:28:14]	Finan O'Conall closed the 'Crate' #2778 container.
[10:28:16]	Finan O'Conall opened the 'Crate' #2778 container.
[10:28:43]	Finan O'Conall closed the 'Crate' #2778 container.
[10:29:49]	[OOC] CCA.C17-GRID.i3.10945: i've gotta do a lag spike for a bug fix, are you in a safe place at the moment
[10:30:02]	CCA.C17-GRID.i3.10945 opened the 'Item Crate' #2851 container.
[10:30:05]	CCA.C17-GRID.i3.10945 closed the 'Item Crate' #2851 container.
[10:32:33]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:32:35]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:35:16]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:36:23]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:38:46]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:39:55]	Nums (STEAM_0:1:196547442) has disconnected.
[10:41:13]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:42:35]	Lynch (STEAM_0:1:626926779) has disconnected.
[10:45:00]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:45:02]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:45:04]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:45:10]	CCA.C17-GRID.i3.10945 entered observer.
[10:45:11]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:45:13]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:46:51]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[10:49:07]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[10:52:04]	CCA.C17-GRID.i3.10945 has spawned 'models/props_combine/breendesk.mdl'.
[10:52:17]	CCA.C17-GRID.i3.10945 has spawned 'models/props_c17/oildrum001.mdl'.
[10:52:33]	CCA.C17-GRID.i3.10945 has spawned 'models/props_junk/wood_crate001a.mdl'.
[10:52:52]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[10:57:52]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[12:02:10]	Painevan has connected.
[12:03:41]	Painevan loaded the character 'Jonathan Jackson'
[12:05:44]	Jonathan Jackson ran 'take' on item 'Citizen Filter' (#23629)
[12:05:44]	Jonathan Jackson has gained a 'Citizen Filter' #23629.
[12:06:04]	Jonathan Jackson used the 'Shopkeeper Jim' vendor.
[12:06:09]	Jonathan Jackson has lost 2 tokens.
[12:06:09]	Jonathan Jackson has gained a 'Notepad' #30984.
[12:06:14]	Jonathan Jackson used the 'Shopkeeper Jim' vendor.
[12:06:58]	Jonathan Jackson opened the 'Crate' #2726 container.
[12:07:02]	Jonathan Jackson has gained a 'Pin' #29401.
[12:07:03]	Jonathan Jackson closed the 'Crate' #2726 container.
[12:07:17]	Jonathan Jackson opened the 'Crate' #2706 container.
[12:07:30]	Jonathan Jackson closed the 'Crate' #2706 container.
[12:08:05]	Jonathan Jackson ran 'drop' on item 'Notepad' (#30984)
[12:08:05]	Jonathan Jackson has lost a 'Notepad' #30984.
[12:08:08]	Jonathan Jackson ran 'Edit' on item 'Notepad' (#30984)
[12:08:40]	Jonathan Jackson ran 'take' on item 'Notepad' (#30984)
[12:08:40]	Jonathan Jackson has gained a 'Notepad' #30984.
[12:08:51]	Jonathan Jackson ran 'Edit' on item 'Notepad' (#30984)
[12:10:21]	Jonathan Jackson ran 'drop' on item 'Notepad' (#30984)
[12:10:21]	Jonathan Jackson has lost a 'Notepad' #30984.
[12:10:37]	Jonathan Jackson ran 'Attach' on item 'Pin' (#29401)
[12:11:16]	Jonathan Jackson opened the 'Cash Register' #2526 container.
[12:11:17]	Jonathan Jackson closed the 'Cash Register' #2526 container.
[12:11:36]	Lynch has connected.
[12:12:54]	Lynch loaded the character 'Henry Blackwoods'
[12:13:09]	Henry Blackwoods ran 'take' on item 'Consulate Water' (#30979)
[12:13:09]	Henry Blackwoods has gained a 'Consulate Water' #30979.
