[02:39:56]	guswagner937 has connected.
[17:57:39]	[LOOC] CCA.C14-UNION.EpU.72633: Truly F
[17:57:43]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:57:55]	[LOOC] CCA.C14-UNION.EpU.72633: Not gonna lie Mozza sticks are a fucking vibe
[17:57:57]	[LOOC] CCA.C14-UNION.EpU.72633: Brb
[17:58:48]	[LOOC] CCA.C14-GRID.i4.36307: BE BACK IN 5 GONNA MAKE SOME FOOD
[17:59:32]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:02:43]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[18:04:32]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:04:33]	[LOOC] CCA.C14-GRID.i4.36307: K
[18:04:43]	[LOOC] CCA.C14-UNION.EpU.72633: Gamer
[18:04:47]	[LOOC] CCA.C14-UNION.EpU.72633: It's gamer time
[18:04:58]	[LOOC] CCA.C14-GRID.i4.36307: no clue what that means but i agree
[18:05:02]	[LOOC] CCA.C14-UNION.EpU.72633: YES
[18:05:58]	[LOOC] CCA.C14-UNION.EpU.72633: One sec, brb
[18:06:40]	[LOOC] CCA.C14-UNION.EpU.72633: back
[18:07:17]	FB|| light ROOM loaded the character 'CCA.C14-QrM.98240'
[18:07:57]	CCA.C14-QrM.98240 used command '/Radio Unit returning to 10-20 Outpost storm'.
[18:09:08]	[OOC] CCA.C14-GRID.i4.36307: im going to steal the quartermasters trenchcoat
[18:09:22]	[OOC] CCA.C14-QrM.98240: You can try
[18:09:32]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:11:53]	[LOOC] CCA.C14-QrM.98240: You go AFK at the worst times
[18:12:17]	CCA.C14-QrM.98240 has gained 10 tokens.
[18:12:31]	[LOOC] CCA.C14-GRID.i4.36307: got ping ponged on discord
[18:13:19]	[LOOC] CCA.C14-QrM.98240: Alright, sorry
[18:14:32]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:14:46]	[LOOC] CCA.C14-GRID.i4.36307: arent the rooms the same size
[18:14:53]	[LOOC] CCA.C14-QrM.98240: No
[18:16:32]	[LOOC] CCA.C14-GRID.i4.36307: should i bring up the fact we dont have washrooms?
[18:16:38]	[LOOC] CCA.C14-QrM.98240: Do what you want
[18:16:58]	[LOOC] CCA.C14-QrM.98240: ?*
[18:17:17]	CCA.C14-QrM.98240 has gained 10 tokens.
[18:19:07]	ttvgraded550 has connected.
[18:19:19]	[LOOC] CCA.C14-GRID.i4.36307: new guy?!?!
[18:19:25]	[LOOC] CCA.C14-QrM.98240: I think so
[18:19:29]	[LOOC] CCA.C14-GRID.i4.36307: eeeeeeeeeeeee
[18:19:33]	[LOOC] CCA.C14-QrM.98240: i'll get on my Civvie
[18:19:33]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:19:52]	CCA.C14-GRID.i4.36307 used command '/Radio Unit is going 10-8, status green'.
[18:19:56]	CCA.C14-QrM.98240 used command '/Radio Copy that'.
[18:20:01]	FB|| light ROOM loaded the character 'Journey Robertson'
[18:20:14]	CCA.C14-GRID.i4.36307 used command '/Radio Updating 10-20 to train station'.
[18:20:53]	CCA.C14-GRID.i4.36307 used command '/ViewData journ'.
[18:21:03]	[OOC] Journey Robertson: brb, gonna make the food
[18:21:29]	CCA.C14-GRID.i4.36307 used command '/OldViewData journ'.
[18:21:44]	CCA.C14-GRID.i4.36307 used command '/ViewObjectives'.
[18:21:53]	CCA.C14-GRID.i4.36307 used command '/OldViewData journ'.
[18:24:33]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:25:06]	ttvgraded550 (STEAM_0:0:558925622) has disconnected.
[18:29:33]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:32:30]	[OOC] CCA.C14-GRID.i4.36307: :(
[18:34:33]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:36:05]	[OOC] Journey Robertson: back, food has been made
[18:37:13]	FB|| light ROOM loaded the character 'CCA.C14-ECHO.OWC.39412'
[18:37:26]	[OOC] CCA.C14-ECHO.OWC.39412: PassiveRP as a ECHO unit is funny as fuck
[18:37:41]	FB|| light ROOM loaded the character 'Journey Robertson'
[18:37:48]	[OOC] CCA.C14-GRID.i4.36307: how do you passive rp as an echo unit
[18:38:10]	[OOC] Journey Robertson: Two ECHO units guarding the QZ like they should, perfect scenario.
[18:38:15]	[OOC] CCA.C14-GRID.i4.36307: the new guy disconnected :(
[18:38:17]	[OOC] CCA.C14-GRID.i4.36307: ah
[18:38:25]	[OOC] Journey Robertson: F
[18:39:33]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:39:43]	[OOC] Journey Robertson: I remember the amazing conversation. "ECHO:1 - Hey you know who's gay?"
[18:39:56]	Journey Robertson used command '/Radio ECHO:1 - Rebels'.
[18:40:06]	[OOC] Journey Robertson: "ECHO:1 - rebels"
[18:40:17]	[OOC] Journey Robertson: "ECHO:2 - Honestly"
[18:40:40]	[OOC] CCA.C14-GRID.i4.36307: h  m  m
[18:44:33]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:47:32]	[OOC] CCA.C14-GRID.i4.36307: ugh
[18:47:34]	[OOC] CCA.C14-GRID.i4.36307: im bored
[18:47:41]	[OOC] Journey Robertson: Me to
[18:47:55]	[OOC] Journey Robertson: Hopefully we can get the pop we had yesterday, that was fun as fuck
[18:48:10]	[OOC] Journey Robertson: We had six boi's on
[18:49:12]	[OOC] Journey Robertson: brb
[18:49:33]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:49:51]	[OOC] Journey Robertson: back
[18:49:58]	[OOC] Journey Robertson: XYZ is getting on, BET
[18:50:06]	[OOC] CCA.C14-GRID.i4.36307: HOT
[18:54:33]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[18:55:09]	[OOC] Journey Robertson: Check the artwork channel.
[18:55:17]	[OOC] Journey Robertson: It's amazing
[18:59:33]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:00:28]	XYZ509 has connected.
[19:04:33]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:04:48]	XYZ509 loaded the character 'Jimmy 'Watcher 3' John'
[19:05:04]	[OOC] Jimmy 'Watcher 3' John: any admins on
[19:05:06]	[OOC] Journey Robertson: Nope
[19:05:11]	[OOC] Journey Robertson: Pain is getting on soon though
[19:05:12]	Jimmy 'Watcher 3' John opened the '' #1924 container.
[19:05:15]	Jimmy 'Watcher 3' John closed the '' #1924 container.
[19:05:21]	[OOC] Journey Robertson: So soon a admin will be on
[19:05:31]	Jimmy 'Watcher 3' John opened the '' #1924 container.
[19:05:35]	Jimmy 'Watcher 3' John closed the '' #1924 container.
[19:05:47]	XYZ509 loaded the character 'Christopher 'Walker' Poe'
[19:05:52]	Christopher 'Walker' Poe ran 'Equip' on item 'MP7U' (#6346)
[19:05:57]	Christopher 'Walker' Poe ran 'EquipUn' on item 'MP7U' (#6346)
[19:05:58]	Christopher 'Walker' Poe ran 'Equip' on item 'SPAS-12' (#6345)
[19:06:07]	Christopher 'Walker' Poe ran 'Equip' on item 'AR2' (#6324)
[19:06:09]	Christopher 'Walker' Poe ran 'EquipUn' on item 'SPAS-12' (#6345)
[19:06:10]	Christopher 'Walker' Poe ran 'Equip' on item 'AR2' (#6324)
[19:06:34]	[OOC] Journey Robertson: oh shit, if you have OTA armor on......you can't have that fully on now
[19:06:40]	[OOC] Journey Robertson: It's way too heavy
[19:07:03]	[OOC] Christopher 'Walker' Poe: im just fuckin around anyways, this character was taken by gman
[19:07:14]	XYZ509 loaded the character 'CCA.C14-UNION.i4.19691'
[19:07:24]	[OOC] Journey Robertson: Bruh
[19:07:35]	[OOC] Journey Robertson: Is that a UNION i4 i see
[19:07:42]	[OOC] Journey Robertson: BET
[19:07:48]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[19:08:00]	[OOC] CCA.C14-GRID.i4.36307: CCA hours
[19:08:04]	[OOC] CCA.C14-UNION.EpU.72633: BET
[19:09:16]	CCA.C14-UNION.i4.19691 has spawned 'models/breen.mdl'.
[19:09:17]	[CGN] Painevan has connected.
[19:09:33]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:09:44]	FB|| light ROOM loaded the character 'Journey Robertson'
[19:09:51]	[CGN] Painevan loaded the character 'Karl Von Habsburg'
[19:10:03]	[OOC] Journey Robertson: It's gaming time
[19:10:11]	[OOC] Karl Von Habsburg: AAAAAAAAAAAAAAAAAAAAAAAAAAAh
[19:10:22]	[OOC] Journey Robertson: Bruh
[19:10:31]	[OOC] Journey Robertson: Imagine
[19:10:59]	[OOC] Karl Von Habsburg: I'll try and plan a small mini event since I cant do anything big without Q or Ollie
[19:11:18]	XYZ509 loaded the character 'Jimmy 'Watcher 3' John'
[19:11:23]	[OOC] Jimmy 'Watcher 3' John: paine you should tp to me
[19:11:25]	[OOC] Journey Robertson: Bet
[19:11:38]	Karl Von Habsburg entered observer.
[19:11:56]	[LOOC] Jimmy 'Watcher 3' John: i need ammo and armor cause last night i oocly fell into the acid
[19:12:05]	[LOOC] Jimmy 'Watcher 3' John: i had like 100 pulse rifle ammo and 40 magnum ammo
[19:12:12]	[LOOC] Jimmy 'Watcher 3' John: and 100 armor i think
[19:12:15]	[OOC] Journey Robertson: i'm being pestered to get on PS4
[19:12:17]	[OOC] Journey Robertson: Hm
[19:12:19]	[OOC] Journey Robertson: I see
[19:12:21]	[LOOC] Jimmy 'Watcher 3' John: i had it in my gun
[19:12:41]	[LOOC] Jimmy 'Watcher 3' John: didnt work
[19:12:45]	[LOOC] Jimmy 'Watcher 3' John: oh
[19:12:54]	[LOOC] Jimmy 'Watcher 3' John: and i had 40 magnum ammo
[19:13:04]	[LOOC] Jimmy 'Watcher 3' John: thank you
[19:13:06]	[LOOC] Jimmy 'Watcher 3' John: i love you
[19:13:25]	[LOOC] Jimmy 'Watcher 3' John: thaaank you <3
[19:13:30]	[LOOC] Karl Von Habsburg: ok
[19:13:49]	[OOC] Journey Robertson: Pain, the melee pack is OP as shit. Please yell at Q to fix it once he's free to do whatever.
[19:14:02]	[OOC] Karl Von Habsburg: Q has not lived much in a while
[19:14:06]	[OOC] Journey Robertson: F
[19:14:07]	[OOC] Karl Von Habsburg: But I will try
[19:14:34]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:14:39]	[OOC] Journey Robertson: Just saying, he forgets a lot about shit. But if he doesn't want to then of course stop pestering him
[19:14:49]	[OOC] Karl Von Habsburg: Nah its good
[19:15:28]	[OOC] Karl Von Habsburg: Xyz I just realized you existed beforehand
[19:15:33]	[OOC] Journey Robertson: lmao
[19:15:34]	[OOC] Karl Von Habsburg: How you been doing?
[19:15:49]	[OOC] Journey Robertson: I can not get into this vent
[19:15:54]	[OOC] Jimmy 'Watcher 3' John: lmaoo ive been good man, ive just been going to my friends houses all throughout the summer, trying to get the most out of it
[19:16:04]	[OOC] Karl Von Habsburg: yeah thats pretty cool
[19:16:13]	[OOC] Jimmy 'Watcher 3' John: what about you all? you guys been having a good summer?
[19:16:28]	Karl Von Habsburg has spawned a 'NPC [692][npc_headcrab_black]'.
[19:16:33]	Karl Von Habsburg has spawned a 'NPC [3200][npc_headcrab]'.
[19:16:42]	[OOC] CCA.C14-GRID.i4.36307: nope
[19:16:56]	Journey Robertson has taken 5 damage from npc_headcrab.
[19:17:03]	Journey Robertson has taken 5 damage from npc_headcrab.
[19:17:47]	Karl Von Habsburg has spawned a 'NPC [3200][npc_headcrab]'.
[19:19:02]	[LOOC] Journey Robertson: fucked that up
[19:19:05]	Karl Von Habsburg has spawned a 'NPC [3202][npc_manhack]'.
[19:19:29]	[LOOC] Jimmy 'Watcher 3' John: hold up one second
[19:19:34]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:19:36]	[LOOC] Jimmy 'Watcher 3' John: ok back
[19:20:32]	[OOC] Karl Von Habsburg: Correction
[19:20:41]	[ME] Journey Robertson: takes out a big boi hazmat suit
[19:20:43]	[OOC] Karl Von Habsburg: The gasmask will work, but his body is exposed
[19:20:43]	Journey Robertson ran 'drop' on item 'Combine Hazmat Worker Outfit' (#25910)
[19:20:43]	Journey Robertson has lost a 'Combine Hazmat Worker Outfit' #25910.
[19:21:05]	[OOC] Journey Robertson: the shitty gasmask he has will last fucking ten minutes in the QZ.
[19:21:07]	Karl Von Habsburg exited observer at their location.
[19:21:22]	Journey Robertson ran 'take' on item 'Combine Hazmat Worker Outfit' (#25910)
[19:21:22]	Journey Robertson has gained a 'Combine Hazmat Worker Outfit' #25910.
[19:21:24]	[LOOC] CCA.C14-GRID.i4.36307: one sec
[19:21:38]	[LOOC] CCA.C14-GRID.i4.36307: okay what did you say?
[19:21:53]	[LOOC] CCA.C14-GRID.i4.36307: like three quarters
[19:22:05]	[LOOC] Karl Von Habsburg: Just ask me to apply stupid
[19:22:22]	[LOOC] CCA.C14-GRID.i4.36307: wait what did you ask me
[19:22:31]	[LOOC] CCA.C14-GRID.i4.36307: i thought you asked me how much health i had
[19:22:40]	[LOOC] CCA.C14-GRID.i4.36307: i cannot make out a word you're saying
[19:22:40]	[LOOC] Karl Von Habsburg: How much LP do I have?
[19:22:47]	[LOOC] CCA.C14-GRID.i4.36307: oHhHhHhHhHhHhH
[19:22:52]	Karl Von Habsburg used command '/Apply'.
[19:22:57]	CCA.C14-GRID.i4.36307 used command '/OldViewData karl'.
[19:23:29]	Karl Von Habsburg entered observer.
[19:24:34]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:25:19]	[OOC] Karl Von Habsburg: Xyz you have such an old model
[19:25:27]	[OOC] Karl Von Habsburg: We got rid of those ones and replaced them
[19:25:33]	[OOC] Jimmy 'Watcher 3' John: with?
[19:25:36]	[OOC] Karl Von Habsburg: Too bad the new ones dont have gasmasks
[19:25:46]	[OOC] Karl Von Habsburg: So I'll let you roll with it
[19:28:42]	Karl Von Habsburg exited observer at their location.
[19:29:27]	[LOOC] Journey Robertson: I explained that horribly just to see if you can do it.
[19:29:34]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:29:48]	[CGN] Painevan created the character 'Sarah Mundorff'
[19:29:48]	Sarah Mundorff has gained a 'Suitcase' #26019.
[19:29:48]	Sarah Mundorff has gained a 'Relocation Coupon' #26020.
[19:29:52]	[CGN] Painevan loaded the character 'Sarah Mundorff'
[19:29:53]	[LOOC] Jimmy 'Watcher 3' John: err
[19:29:56]	[LOOC] Journey Robertson: Bruh
[19:29:59]	Sarah Mundorff entered observer.
[19:30:06]	[OOC] Journey Robertson: Brb
[19:30:40]	[OOC] Jimmy 'Watcher 3' John: hands swep wont work and this vent refuses to break help
[19:30:55]	[OOC] Jimmy 'Watcher 3' John: nvm
[19:31:32]	[OOC] Journey Robertson: thats on purpose by the way, you wouldn't be able to break a grate with your hands. Also back
[19:31:34]	Sarah Mundorff used command '/CharSetBodygroup mundorff torso 6'.
[19:31:52]	[OOC] Jimmy 'Watcher 3' John: it was already busted
[19:32:20]	Sarah Mundorff used command '/CharSetBodygroup mundorff legs 5'.
[19:32:46]	Sarah Mundorff used command '/CharSetBodygroup mundorff hands 2'.
[19:32:58]	Sarah Mundorff used command '/CharSetBodygroup mundorff beanies 1'.
[19:33:01]	Sarah Mundorff exited observer at their location.
[19:33:25]	Journey Robertson has taken 4 damage from monster_gonome.
[19:33:25]	Journey Robertson has taken 4 damage from monster_gonome.
[19:33:25]	Journey Robertson has taken 4 damage from monster_gonome.
[19:33:25]	Journey Robertson has taken 4 damage from monster_gonome.
[19:33:26]	Sarah Mundorff entered observer.
[19:34:20]	[ME] Journey Robertson: Points toward the hatch
[19:34:34]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:34:44]	[OOC] Sarah Mundorff: Grid you should go patrol
[19:35:14]	[OOC] Sarah Mundorff: Fuck me he is afk
[19:35:21]	Sarah Mundorff exited observer at their location.
[19:35:26]	[CGN] Painevan loaded the character 'CCA.C14-HELIX.i4.50299'
[19:35:29]	[OOC] CCA.C14-GRID.i4.36307: grabbing f o o d
[19:35:33]	[OOC] Journey Robertson: Lmao
[19:35:35]	CCA.C14-HELIX.i4.50299 entered observer.
[19:35:38]	[ME] Jimmy 'Watcher 3' John: pushed the grate open, housting himself out
[19:35:47]	[ME] Jimmy 'Watcher 3' John: closed the grate now, running off
[19:35:58]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:36:06]	Journey Robertson ran 'Take' on item 'UU Brand Cigarette Pack' (#19106)
[19:36:06]	Journey Robertson has gained a 'UU Brand Cigarette' #26021.
[19:36:06]	Journey Robertson ran 'Eat' on item 'UU Brand Cigarette' (#26021)
[19:36:07]	Journey Robertson ran 'Take' on item 'UU Brand Cigarette Pack' (#19106)
[19:36:07]	Journey Robertson has gained a 'UU Brand Cigarette' #26021.
[19:36:07]	Journey Robertson ran 'Eat' on item 'UU Brand Cigarette' (#26021)
[19:36:09]	Journey Robertson ran 'Take' on item 'UU Brand Cigarette Pack' (#19106)
[19:36:09]	Journey Robertson has gained a 'UU Brand Cigarette' #26021.
[19:36:10]	Journey Robertson ran 'Eat' on item 'UU Brand Cigarette' (#26021)
[19:36:19]	CCA.C14-HELIX.i4.50299 used command '/Radio Unit is 10-8, going for a small partol before going to medbay.'.
[19:36:21]	CCA.C14-HELIX.i4.50299 entered observer.
[19:36:22]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:36:25]	CCA.C14-GRID.i4.36307 used command '/Radio 10-4'.
[19:36:26]	CCA.C14-HELIX.i4.50299 entered observer.
[19:36:32]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:36:41]	[OOC] Journey Robertson: Me saying this is the riskiest dumbest shit you could do. 
[19:36:51]	CCA.C14-HELIX.i4.50299 entered observer.
[19:36:52]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:36:59]	[ME] Journey Robertson: Watcher, I will now do this for some reason
[19:37:08]	[OOC] Journey Robertson: Watcher, i will now do this
[19:37:20]	CCA.C14-HELIX.i4.50299 entered observer.
[19:37:25]	[OOC] CCA.C14-GRID.i4.36307: what the fuck
[19:37:27]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:37:28]	CCA.C14-HELIX.i4.50299 entered observer.
[19:37:30]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:37:45]	CCA.C14-GRID.i4.36307 used command '/Radio Someone took the damn Moscow block lock'.
[19:37:56]	CCA.C14-HELIX.i4.50299 used command '/Radio What the hell?'.
[19:38:06]	[OOC] CCA.C14-HELIX.i4.50299: Alright I'll go check it out
[19:38:09]	[OOC] CCA.C14-HELIX.i4.50299: fuck
[19:38:12]	[OOC] Journey Robertson: Lmao
[19:38:13]	[OOC] CCA.C14-HELIX.i4.50299: void
[19:38:15]	[OOC] CCA.C14-GRID.i4.36307: SOMEONE TOOK THE LOCK FOR MOSCOW BLOCK
[19:38:21]	[OOC] Journey Robertson: Imagine
[19:38:22]	CCA.C14-HELIX.i4.50299 used command '/Radio I'll go check it out.'.
[19:38:42]	[OOC] Journey Robertson: Should I flag on?
[19:38:47]	[OOC] CCA.C14-HELIX.i4.50299: no
[19:38:50]	[OOC] Jimmy 'Watcher 3' John: are there any invisible walls on the roofs that will kill me
[19:38:50]	[OOC] Journey Robertson: k
[19:38:56]	[OOC] Journey Robertson: Shouldn't be
[19:39:06]	[OOC] Jimmy 'Watcher 3' John: like if i jump from roof to roof it wont make me hit an invisible wall
[19:39:08]	[OOC] Jimmy 'Watcher 3' John: ok cool
[19:39:11]	[LOOC] CCA.C14-GRID.i4.36307: i got a lock in my inventory but
[19:39:25]	CCA.C14-HELIX.i4.50299 entered observer.
[19:39:26]	[OOC] Journey Robertson: I would advise being smart and observing your surroundings when doing this
[19:39:33]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:39:34]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:39:50]	[LOOC] CCA.C14-GRID.i4.36307: i have a lock no worries
[19:39:54]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_buildings/destroyed_cityblock01g.mdl'.
[19:40:02]	[LOOC] CCA.C14-GRID.i4.36307: the fuck was that
[19:40:02]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_combine/combine_lock01.mdl'.
[19:40:03]	CCA.C14-HELIX.i4.50299 entered observer.
[19:40:26]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[19:40:30]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:40:36]	CCA.C14-GRID.i4.36307 has taken 5 damage from prop_physics.
[19:40:39]	CCA.C14-HELIX.i4.50299 used command '/Radio Where the hell are you?'.
[19:40:51]	CCA.C14-GRID.i4.36307 used command '/Radio Storm, getting a lock'.
[19:40:56]	CCA.C14-HELIX.i4.50299 used command '/Radio Copy.'.
[19:40:58]	CCA.C14-HELIX.i4.50299 entered observer.
[19:40:59]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:41:00]	CCA.C14-HELIX.i4.50299 entered observer.
[19:41:00]	[OOC] CCA.C14-GRID.i4.36307: pain help
[19:41:16]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:42:06]	[OOC] Jimmy 'Watcher 3' John: i am so lost
[19:42:08]	[LOOC] CCA.C14-GRID.i4.36307: i thought it only had one lock
[19:42:20]	CCA.C14-GRID.i4.36307 ran 'Place' on item 'Combine Lock' (#22311)
[19:42:26]	[OOC] Journey Robertson: Maybe doing this wasn't a good idea WATCHER
[19:42:28]	CCA.C14-GRID.i4.36307 ran 'Place' on item 'Combine Lock' (#22311)
[19:42:30]	CCA.C14-HELIX.i4.50299 entered observer.
[19:42:32]	[LOOC] CCA.C14-GRID.i4.36307: the fuck
[19:42:38]	[OOC] CCA.C14-GRID.i4.36307: locks wont go on this door
[19:42:38]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_combine/combine_lock01.mdl'.
[19:42:40]	CCA.C14-GRID.i4.36307 ran 'Place' on item 'Combine Lock' (#22311)
[19:42:42]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:42:55]	[LOOC] CCA.C14-GRID.i4.36307: it worked before
[19:42:58]	CCA.C14-GRID.i4.36307 ran 'drop' on item 'Combine Lock' (#22311)
[19:42:58]	CCA.C14-GRID.i4.36307 has lost a 'Combine Lock' #22311.
