[11:56:31]	Lynch has connected.
[13:06:09]	Stewie Lou closed the 'Padlocked File Cabinet' #245 container.
[13:06:18]	wendigo (STEAM_0:1:429480781) has disconnected.
[13:08:39]	Daniel J. Cutter entered observer.
[13:08:42]	Daniel J. Cutter exited observer at their location.
[13:12:52]	Nums (STEAM_0:1:196547442) has disconnected.
[13:17:39]	Daniel J. Cutter entered observer.
[13:17:40]	Daniel J. Cutter exited observer at their location.
[13:17:41]	Daniel J. Cutter entered observer.
[13:17:46]	Daniel J. Cutter exited observer at their location.
[13:28:00]	Daniel J. Cutter entered observer.
[13:28:02]	Daniel J. Cutter exited observer at their location.
[13:51:58]	Bean (STEAM_0:1:591779303) has disconnected.
[15:24:19]	Painevan loaded the character 'Jonathan Jackson'
[15:25:56]	Jonathan Jackson opened the 'Large Refrigerator' #2808 container.
[15:25:58]	Jonathan Jackson has gained a 'Crowbar' #32132.
[15:26:00]	Jonathan Jackson closed the 'Large Refrigerator' #2808 container.
[15:27:50]	Jonathan Jackson opened the 'Padlocked Crate' #2726 container.
[15:27:55]	Jonathan Jackson has gained a 'Green Citizen Suit' #28351.
[15:27:57]	Jonathan Jackson closed the 'Padlocked Crate' #2726 container.
[15:28:07]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[15:28:08]	Jonathan Jackson ran 'Equip' on item 'Crowbar' (#32132)
[15:30:18]	Jonathan Jackson destroyed a 'Adjustable Wrench' #32040.
[15:30:22]	Jonathan Jackson destroyed a 'Fingerless Gloves' #31327.
[15:30:52]	Jonathan Jackson has taken 10 damage from npc_zombie.
[15:31:13]	Jonathan Jackson has gained 20 tokens.
[15:31:17]	Jonathan Jackson destroyed a 'Circuit Board' #31960.
[15:31:35]	Jonathan Jackson has gained 20 tokens.
[15:31:41]	Jonathan Jackson ran 'EquipUn' on item 'Crowbar' (#32132)
[15:31:42]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[15:33:04]	Jonathan Jackson ran 'take' on item 'Screwdriver' (#31935)
[15:33:04]	Jonathan Jackson has gained a 'Screwdriver' #31935.
[15:33:23]	Jonathan Jackson ran 'Equip' on item 'Crowbar' (#32132)
[15:33:26]	Jonathan Jackson destroyed a 'Fingerless Gloves' #32109.
[15:33:28]	Jonathan Jackson destroyed a 'Shovel' #31810.
[15:33:35]	Jonathan Jackson destroyed a 'Pack of Screws' #32189.
[15:33:52]	Jonathan Jackson destroyed a 'Powercord' #32084.
[15:34:17]	Jonathan Jackson opened the 'Reinforced Padlocked Crate' #2905 container.
[15:34:22]	Jonathan Jackson closed the 'Reinforced Padlocked Crate' #2905 container.
[15:34:31]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[15:35:42]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[15:35:43]	Jonathan Jackson ran 'EquipUn' on item 'Crowbar' (#32132)
[15:35:47]	Jonathan Jackson opened the 'Padlocked Crate' #2726 container.
[15:35:53]	Jonathan Jackson closed the 'Padlocked Crate' #2726 container.
[15:36:38]	Jonathan Jackson opened the 'Metal Cabinet' #2811 container.
[15:36:42]	Jonathan Jackson closed the 'Metal Cabinet' #2811 container.
[15:36:42]	Jonathan Jackson opened the 'Metal Cabinet' #2810 container.
[15:36:49]	Jonathan Jackson closed the 'Metal Cabinet' #2810 container.
[15:36:50]	Jonathan Jackson opened the 'Large Refrigerator' #2808 container.
[15:36:53]	Jonathan Jackson closed the 'Large Refrigerator' #2808 container.
[15:38:19]	Jonathan Jackson used the 'Shopkeeper Jim' vendor.
[15:38:24]	Jonathan Jackson has lost 8 tokens.
[15:38:24]	Jonathan Jackson has gained a 'UU Brand Bandage' #32189.
[15:38:27]	Jonathan Jackson ran 'AHealSelf' on item 'UU Brand Bandage' (#32189)
[15:39:04]	Jonathan Jackson opened the 'Metal Cabinet' #2811 container.
[15:39:06]	Jonathan Jackson closed the 'Metal Cabinet' #2811 container.
[15:39:48]	Painevan (STEAM_0:0:68118061) has disconnected.
[16:23:34]	Painevan has connected.
[16:24:15]	Painevan loaded the character 'Jonathan Jackson'
[16:24:27]	Painevan loaded the character 'Zombie'
[16:24:32]	Painevan loaded the character 'CCA.C17-HELIX.i3.08874'
[16:34:32]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[17:44:32]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[18:23:31]	Painevan (STEAM_0:0:68118061) has disconnected.
[21:45:33]	matt saton has connected.
[22:02:46]	NamRm has connected.
[22:03:17]	NamRm loaded the character 'CCA.C17-UNION.i5.60555'
[22:03:26]	CCA.C17-UNION.i5.60555 used command '/ViewQuotas'.
[22:03:35]	CCA.C17-UNION.i5.60555 used command '/ViewQuotas'.
[22:04:59]	CCA.C17-UNION.i5.60555 used command '/ViewQuotas'.
[22:06:40]	[OOC] CCA.C17-UNION.i5.60555: wow yes i like the /viewquotas its very cool
[22:06:46]	CCA.C17-UNION.i5.60555 used command '/ViewObjectives'.
[22:06:59]	CCA.C17-UNION.i5.60555 used command '/ViewCamera'.
[22:07:09]	CCA.C17-UNION.i5.60555 used command '/ItWasntYourFault'.
[22:07:19]	[OOC] CCA.C17-UNION.i5.60555: have a good time
[22:07:20]	NamRm (STEAM_0:0:69476140) has disconnected.
[22:26:50]	matt saton loaded the character 'Andrew Cloverman'
[22:26:51]	Andrew Cloverman entered observer.
[22:45:06]	Andrew Cloverman exited observer at their location.
[22:45:06]	Andrew Cloverman entered observer.
