[00:00:01]	[LOOC] CCA.C17-UNION.i5.83253: ffs...
[00:07:42]	[OOC] Jacob Williams: 143 ping is a lot but at the same time not much
[00:07:50]	CCA.C17-UNION.i5.83253 used the 'Armory Supply' vendor.
[00:08:25]	CCA.C17-UNION.i5.83253 has gained 10 tokens.
[00:08:35]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:08:39]	[W] Jacob Williams: Can't you see I'm busy?
[00:12:13]	Jacob Williams used command '/CharFallOver'.
[00:12:19]	Jacob Williams used command '/CharGetUp'.
[00:12:38]	[OOC] Jacob Williams: I forgot I have a bind to Charfallover.
[00:12:45]	[OOC] Jacob Williams: why do I have this
[00:14:21]	[OOC] CCA.C17-UNION.i5.83253: Who wouldn't have one
[00:14:32]	[OOC] Jacob Williams: thats fair
[00:15:11]	[W] Jacob Williams: Lets even the odds a little.
[00:16:44]	Jacob Williams used command '/Gasmask'.
[00:17:48]	CCA.C17-UNION.i5.83253 entered observer.
[00:17:52]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:18:30]	[ME] CCA.C17-UNION.i5.83253: Would grab the man by his arm, yanking him alongside
[00:18:54]	[LOOC] Jacob Williams: huh
[00:19:04]	[LOOC] Jacob Williams: didn't know you could open then
[00:19:11]	[LOOC] Jacob Williams: fat finger
[00:19:53]	[ME] CCA.C17-UNION.i5.83253: Would push the man against the wall nearby
[00:20:10]	[ME] CCA.C17-UNION.i5.83253: Would take out a combat knife, cutting the mans zipties off
[00:20:29]	[ME] CCA.C17-UNION.i5.83253: Would then grab onto the bag, harshly ripping it off the mans head
[00:20:47]	CCA.C17-UNION.i5.83253 entered observer.
[00:20:50]	The Wolf (STEAM_0:1:579707499) has disconnected.
[00:20:56]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:21:01]	Bean (STEAM_0:1:591779303) has disconnected.
[03:47:46]	Pandajosh has connected.
[03:54:32]	Dr Tom Panda has gained a 'Cyclopic Citizen Suit' #39985.
[03:54:32]	Dr Tom Panda has gained a 'Citizen Filter' #39986.
[03:54:32]	Pandajosh created the character 'Dr Tom Panda'
[03:54:32]	Dr Tom Panda has gained a 'Suitcase' #39987.
[03:54:32]	Dr Tom Panda has gained a 'Relocation Coupon' #39988.
[03:54:32]	Pandajosh loaded the character 'Dr Tom Panda'
[03:54:40]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:41]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:41]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:42]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:43]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:44]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:44]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:45]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:46]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:47]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:47]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:48]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:49]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:50]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:50]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:51]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:52]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:53]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:53]	Dr Tom Panda ran 'Equip' on item 'Cyclopic Citizen Suit' (#39985)
[03:54:54]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:54]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:55]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:56]	Dr Tom Panda has taken 1 damage from worldspawn.
[03:54:56]	Dr Tom Panda ran 'equip' on item 'Citizen Filter' (#39986)
[03:56:13]	[OOC] Dr Tom Panda: hello?
[03:59:34]	Pandajosh (STEAM_0:1:178866860) has disconnected.
[06:10:59]	Sheeplie has connected.
[06:13:11]	Felix Twain has gained a 'Green Citizen Suit' #39989.
[06:13:11]	Felix Twain has gained a 'Citizen Filter' #39990.
[06:13:11]	Sheeplie created the character 'Felix Twain'
[06:13:11]	Felix Twain has gained a 'Suitcase' #39991.
[06:13:11]	Felix Twain has gained a 'Relocation Coupon' #39992.
[06:13:12]	Sheeplie loaded the character 'Felix Twain'
[06:13:14]	[OOC] Felix Twain: hi
[06:13:42]	Sheeplie (STEAM_0:0:40751468) has disconnected.
[08:57:04]	_DinDon_ has connected.
[09:07:07]	Tommy Gaus has gained a 'Green Citizen Suit' #39993.
[09:07:07]	Tommy Gaus has gained a 'Citizen Filter' #39994.
[09:07:07]	_DinDon_ created the character 'Tommy Gaus'
[09:07:07]	Tommy Gaus has gained a 'Suitcase' #39995.
[09:07:07]	Tommy Gaus has gained a 'Relocation Coupon' #39996.
[09:07:07]	_DinDon_ loaded the character 'Tommy Gaus'
[09:07:14]	Tommy Gaus has taken 1 damage from worldspawn.
[09:07:15]	Tommy Gaus has taken 1 damage from worldspawn.
[09:07:15]	Tommy Gaus has taken 1 damage from worldspawn.
[09:07:16]	Tommy Gaus has taken 1 damage from worldspawn.
[09:07:17]	Tommy Gaus has taken 1 damage from worldspawn.
[09:07:29]	Tommy Gaus ran 'Equip' on item 'Green Citizen Suit' (#39993)
[09:07:31]	Tommy Gaus has taken 1 damage from worldspawn.
[09:07:32]	Tommy Gaus has taken 1 damage from worldspawn.
[09:07:33]	Tommy Gaus has taken 1 damage from worldspawn.
[09:07:34]	Tommy Gaus has taken 1 damage from worldspawn.
[09:07:44]	Tommy Gaus ran 'drop' on item 'Citizen Filter' (#39994)
[09:07:44]	Tommy Gaus has lost a 'Citizen Filter' #39994.
[09:07:47]	Tommy Gaus has taken 1 damage from worldspawn.
[09:07:47]	Tommy Gaus has taken 1 damage from worldspawn.
[09:08:49]	Tommy Gaus has taken 1 damage from worldspawn.
[09:08:50]	Tommy Gaus has taken 1 damage from worldspawn.
[09:08:50]	Tommy Gaus has taken 1 damage from worldspawn.
[09:08:52]	Tommy Gaus has taken 1 damage from worldspawn.
[09:08:52]	Tommy Gaus has taken 1 damage from worldspawn.
[09:08:53]	Tommy Gaus has taken 1 damage from worldspawn.
[09:08:54]	Tommy Gaus has taken 1 damage from worldspawn.
[09:11:24]	_DinDon_ (STEAM_0:0:157314463) has disconnected.
[10:00:53]	Dr. Cranberry (STEAM_0:1:22058736) has disconnected.
[14:11:53]	Nums has connected.
[14:12:49]	Nums loaded the character 'CCA.C17-JUDGE.i4.77460'
[14:13:00]	CCA.C17-JUDGE.i4.77460 opened the 'Metal Cabinet' #2499 container.
[14:13:04]	CCA.C17-JUDGE.i4.77460 closed the 'Metal Cabinet' #2499 container.
[14:13:05]	CCA.C17-JUDGE.i4.77460 opened the 'Metal Cabinet' #2498 container.
[14:13:08]	CCA.C17-JUDGE.i4.77460 has gained a '9mm Pistol Magazine' #27893.
[14:13:09]	CCA.C17-JUDGE.i4.77460 has gained a '9mm Pistol Magazine' #27968.
[14:13:11]	CCA.C17-JUDGE.i4.77460 closed the 'Metal Cabinet' #2498 container.
[14:13:13]	CCA.C17-JUDGE.i4.77460 opened the 'File Cabinet' #203 container.
[14:13:17]	CCA.C17-JUDGE.i4.77460 ran 'drop' on item 'USP Match' (#30687)
[14:13:18]	CCA.C17-JUDGE.i4.77460 ran 'EquipUn' on item 'USP Match' (#29146)
[14:13:26]	CCA.C17-JUDGE.i4.77460 closed the 'File Cabinet' #203 container.
[14:14:53]	Nums loaded the character 'Finan O'Conall'
[14:16:23]	Nums loaded the character 'CCA.C17-JUDGE.i4.77460'
[14:17:28]	Nums loaded the character 'Finan O'Conall'
[14:19:22]	Nums loaded the character 'CCA.C17-JUDGE.i4.77460'
[14:21:09]	CCA.C17-JUDGE.i4.77460 opened the 'File Cabinet' #203 container.
[14:21:13]	CCA.C17-JUDGE.i4.77460 has gained a 'USP Match' #29146.
[14:21:14]	CCA.C17-JUDGE.i4.77460 closed the 'File Cabinet' #203 container.
[14:21:17]	CCA.C17-JUDGE.i4.77460 opened the 'Metal Cabinet' #2499 container.
[14:21:19]	CCA.C17-JUDGE.i4.77460 closed the 'Metal Cabinet' #2499 container.
[14:21:20]	CCA.C17-JUDGE.i4.77460 opened the 'Metal Cabinet' #2498 container.
[14:21:39]	CCA.C17-JUDGE.i4.77460 closed the 'Metal Cabinet' #2498 container.
[14:21:41]	CCA.C17-JUDGE.i4.77460 opened the 'Metal Cabinet' #2499 container.
[14:21:43]	CCA.C17-JUDGE.i4.77460 closed the 'Metal Cabinet' #2499 container.
[14:21:53]	Nums loaded the character 'Élisabeth Morel'
[14:22:23]	Élisabeth Morel ran 'take' on item 'Fingerless Gloves' (#32177)
[14:22:23]	Élisabeth Morel has gained a 'Fingerless Gloves' #32177.
[14:22:28]	Élisabeth Morel ran 'EquipUn' on item 'Green Shirt' (#34287)
[14:22:29]	Élisabeth Morel ran 'Equip' on item 'Green Shirt' (#34287)
[14:22:30]	Élisabeth Morel ran 'EquipUn' on item 'Gloves' (#33933)
[14:22:34]	Élisabeth Morel ran 'Equip' on item 'Fingerless Gloves' (#32177)
[14:22:36]	Élisabeth Morel ran 'EquipUn' on item 'Fingerless Gloves' (#32177)
[14:22:37]	Élisabeth Morel ran 'Equip' on item 'Gloves' (#33933)
[14:22:45]	Élisabeth Morel ran 'EquipUn' on item 'Respirator' (#33937)
[14:22:45]	Élisabeth Morel has taken 1 damage from worldspawn.
[14:22:46]	Élisabeth Morel has taken 1 damage from worldspawn.
[14:22:46]	Élisabeth Morel ran 'Equip' on item 'Respirator' (#33937)
[14:23:06]	Nums loaded the character 'Finan O'Conall'
[14:25:03]	Nums loaded the character 'CCA.C17-JUDGE.i4.77460'
[14:25:10]	CCA.C17-JUDGE.i4.77460 opened the 'File Cabinet' #203 container.
[14:25:19]	CCA.C17-JUDGE.i4.77460 closed the 'File Cabinet' #203 container.
[14:25:55]	CCA.C17-JUDGE.i4.77460 ran 'take' on item 'USP Match' (#30687)
[14:25:55]	CCA.C17-JUDGE.i4.77460 has gained a 'USP Match' #30687.
[14:25:58]	CCA.C17-JUDGE.i4.77460 ran 'Equip' on item 'USP Match' (#30687)
[14:26:04]	CCA.C17-JUDGE.i4.77460 ran 'use' on item '9mm Pistol Magazine' (#27968)
[14:26:05]	CCA.C17-JUDGE.i4.77460 ran 'use' on item '9mm Pistol Magazine' (#27893)
[14:26:24]	Nums loaded the character 'Élisabeth Morel'
[14:26:56]	Élisabeth Morel used the 'Shopkeeper Jim' vendor.
[14:50:20]	Nums (STEAM_0:1:196547442) has disconnected.
[14:56:35]	matt saton has connected.
[15:08:14]	matt saton loaded the character 'CCA.C17-GRID.i3.10945'
[15:08:27]	CCA.C17-GRID.i3.10945 entered observer.
[15:08:28]	CCA.C17-GRID.i3.10945 exited observer at their location.
[15:08:29]	CCA.C17-GRID.i3.10945 entered observer.
[15:08:32]	CCA.C17-GRID.i3.10945 exited observer at their location.
[15:08:37]	CCA.C17-GRID.i3.10945 entered observer.
[15:11:17]	CCA.C17-GRID.i3.10945 exited observer at their location.
[15:12:52]	CCA.C17-GRID.i3.10945 used command '/TextAdd <font=prDINCond3D2DFont>STOP</font>'.
[15:13:14]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[15:13:39]	CCA.C17-GRID.i3.10945 used command '/TextAdd <font=prDINCond3D2DFont>HAVE YOUR IDENTIFICATION READY</font> 0.5'.
[15:14:16]	CCA.C17-GRID.i3.10945 used command '/TextAdd <font=prDINCond3D2DFont>BE READY TO BE SEARCHED</font> 0.5'.
[15:15:47]	CCA.C17-GRID.i3.10945 used command '/TextAdd <font=prDINCond3D2DFont>OBEY PROTECTION TEAMS</font> 0.5'.
[15:15:48]	CCA.C17-GRID.i3.10945 entered observer.
[15:15:49]	CCA.C17-GRID.i3.10945 exited observer at their location.
[15:15:56]	CCA.C17-GRID.i3.10945 entered observer.
[15:15:57]	CCA.C17-GRID.i3.10945 exited observer at their location.
[15:15:58]	CCA.C17-GRID.i3.10945 entered observer.
[15:15:59]	CCA.C17-GRID.i3.10945 exited observer at their location.
[15:16:01]	CCA.C17-GRID.i3.10945 entered observer.
[15:16:02]	CCA.C17-GRID.i3.10945 exited observer at their location.
[15:16:02]	CCA.C17-GRID.i3.10945 entered observer.
[15:23:47]	Lynch has connected.
[15:26:51]	Lynch loaded the character 'PVT Nathan Pierce'
[15:27:05]	[OOC] PVT Nathan Pierce: Why is the sociostability red?
[15:31:19]	fuckus has connected.
[15:34:54]	fuckus loaded the character 'Tony Ricci'
[15:35:35]	fuckus (STEAM_0:1:54861900) has disconnected.
[15:37:56]	fuckus has connected.
[15:38:30]	fuckus loaded the character 'Tony Ricci'
[15:38:41]	[OOC] Tony Ricci: MY FURNITURE
[15:38:45]	[OOC] Tony Ricci: IT ALL GONE
[15:38:55]	Tony Ricci used command '/ru'.
[15:39:46]	Tony Ricci ran 'View' on item 'Paper' (#23948)
[15:39:59]	Tony Ricci ran 'take' on item 'Suitcase' (#39724)
[15:39:59]	Tony Ricci has gained a 'Suitcase' #39724.
[15:40:05]	Tony Ricci ran 'drop' on item 'Suitcase' (#39724)
[15:40:05]	Tony Ricci has lost a 'Suitcase' #39724.
[15:40:07]	Tony Ricci ran 'drop' on item 'Suitcase' (#37462)
[15:40:07]	Tony Ricci has lost a 'Suitcase' #37462.
[15:40:09]	Tony Ricci ran 'take' on item 'Suitcase' (#39724)
[15:40:09]	Tony Ricci has gained a 'Suitcase' #39724.
[15:40:12]	Tony Ricci ran 'take' on item 'Suitcase' (#37462)
[15:40:12]	Tony Ricci has gained a 'Suitcase' #37462.
[15:40:46]	Tony Ricci has gained a 'Empty Paint Can' #39998.
[15:41:04]	Tony Ricci has gained a 'Scrap Metal' #39999.
[15:41:22]	Tony Ricci has gained a 'Notepad' #40000.
[15:41:38]	Tony Ricci has gained a 'Cloth Scrap' #40001.
[15:41:39]	Tony Ricci opened the 'Dumpster' #2684 container.
[15:41:50]	Tony Ricci closed the 'Dumpster' #2684 container.
[15:42:05]	Tony Ricci has gained a 'Bandage' #40001.
[15:43:43]	Tony Ricci opened the 'File Cabinet' #237 container.
[15:43:46]	Tony Ricci closed the 'File Cabinet' #237 container.
[15:43:47]	Tony Ricci opened the 'File Cabinet' #2819 container.
[15:43:49]	Tony Ricci closed the 'File Cabinet' #2819 container.
[15:43:50]	Tony Ricci opened the 'Padlocked Crate' #2872 container.
[15:43:54]	Tony Ricci closed the 'Padlocked Crate' #2872 container.
[15:43:55]	Tony Ricci opened the 'Padlocked Crate' #2881 container.
[15:43:58]	Tony Ricci closed the 'Padlocked Crate' #2881 container.
[15:43:59]	Tony Ricci opened the 'Crate' #2558 container.
[15:44:01]	Tony Ricci closed the 'Crate' #2558 container.
[15:44:57]	fuckus (STEAM_0:1:54861900) has disconnected.
[16:02:50]	Lynch (STEAM_0:1:626926779) has disconnected.
[16:23:30]	Weaponized Turtles has connected.
[16:24:00]	Weaponized Turtles loaded the character 'Jacob Desmone'
[16:24:07]	Jacob Desmone opened the 'Padlocked Crate' #2900 container.
[16:24:09]	Jacob Desmone closed the 'Padlocked Crate' #2900 container.
[16:24:10]	Jacob Desmone opened the 'Crate' #3111 container.
[16:24:10]	Jacob Desmone closed the 'Crate' #3111 container.
[16:24:11]	Jacob Desmone opened the 'Crate' #3111 container.
[16:24:14]	Jacob Desmone closed the 'Crate' #3111 container.
[16:24:15]	Jacob Desmone opened the 'Crate' #3111 container.
[16:24:17]	Jacob Desmone ran 'drop' on item 'MP7' (#10532)
[16:24:18]	Jacob Desmone closed the 'Crate' #3111 container.
[16:24:45]	Jacob Desmone ran 'take' on item 'MP7' (#39046)
[16:24:45]	Jacob Desmone has gained a 'MP7' #39046.
[16:24:51]	Jacob Desmone ran 'drop' on item 'MP7' (#39046)
[16:24:51]	Jacob Desmone has lost a 'MP7' #39046.
[16:26:27]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#39266)
[16:26:27]	Jacob Desmone has gained a 'Scrap Metal' #39266.
[16:26:32]	Jacob Desmone ran 'take' on item 'Electric Drill' (#39686)
[16:26:32]	Jacob Desmone has gained a 'Electric Drill' #39686.
[16:26:36]	Jacob Desmone has gained a 'Weapon Parts' #40002.
[16:26:41]	Jacob Desmone ran 'drop' on item 'Electric Drill' (#39686)
[16:26:41]	Jacob Desmone has lost a 'Electric Drill' #39686.
[16:26:47]	Jacob Desmone ran 'drop' on item 'Weapon Parts' (#40002)
[16:26:47]	Jacob Desmone has lost a 'Weapon Parts' #40002.
[16:27:11]	Jacob Desmone opened the 'Metal Cabinet' #2420 container.
[16:27:14]	Jacob Desmone closed the 'Metal Cabinet' #2420 container.
[16:27:16]	Jacob Desmone opened the 'Crate' #3111 container.
[16:27:18]	Jacob Desmone closed the 'Crate' #3111 container.
[16:27:20]	Jacob Desmone opened the 'Padlocked Crate' #2900 container.
[16:27:23]	Jacob Desmone closed the 'Padlocked Crate' #2900 container.
[16:27:35]	Jacob Desmone has gained a 'Scrap Wood' #40003.
[16:27:46]	Jacob Desmone has gained a 'Empty Cooking Oil Bottle' #40004.
[16:27:49]	Jacob Desmone ran 'drop' on item 'Empty Cooking Oil Bottle' (#40004)
[16:27:49]	Jacob Desmone has lost a 'Empty Cooking Oil Bottle' #40004.
[16:27:55]	Jacob Desmone has gained a 'Resin' #40005.
[16:27:57]	Jacob Desmone ran 'drop' on item 'Resin' (#40005)
[16:27:57]	Jacob Desmone has lost a 'Resin' #40005.
[16:28:04]	Jacob Desmone has gained a 'Empty Consulate Water Can' #40006.
[16:28:06]	Jacob Desmone ran 'drop' on item 'Empty Consulate Water Can' (#40006)
[16:28:06]	Jacob Desmone has lost a 'Empty Consulate Water Can' #40006.
[16:28:16]	Jacob Desmone has gained a 'Pipe' #40007.
[16:28:19]	Jacob Desmone ran 'drop' on item 'Pipe' (#40007)
[16:28:19]	Jacob Desmone has lost a 'Pipe' #40007.
[16:28:30]	Jacob Desmone has gained a 'Car Battery' #40008.
[16:28:32]	Jacob Desmone ran 'drop' on item 'Car Battery' (#40008)
[16:28:32]	Jacob Desmone has lost a 'Car Battery' #40008.
[16:28:35]	[OOC] Jacob Desmone: comforts of these nuts
[16:28:54]	Jacob Desmone has gained a 'AA Battery' #40009.
[16:28:57]	Jacob Desmone ran 'drop' on item 'AA Battery' (#40009)
[16:28:57]	Jacob Desmone has lost a 'AA Battery' #40009.
[16:29:07]	Jacob Desmone has gained a 'Empty Chinese Takeout' #40010.
[16:29:10]	Jacob Desmone ran 'drop' on item 'Empty Chinese Takeout' (#40010)
[16:29:10]	Jacob Desmone has lost a 'Empty Chinese Takeout' #40010.
[16:29:29]	Jacob Desmone has gained a 'Military Circuit Board' #40011.
[16:29:32]	Jacob Desmone ran 'drop' on item 'Military Circuit Board' (#40011)
[16:29:32]	Jacob Desmone has lost a 'Military Circuit Board' #40011.
[16:29:50]	Jacob Desmone has gained a 'Graphics Card' #40012.
[16:29:53]	Jacob Desmone ran 'drop' on item 'Graphics Card' (#40012)
[16:29:53]	Jacob Desmone has lost a 'Graphics Card' #40012.
[16:30:07]	Jacob Desmone has gained a 'Power Supply Unit' #40013.
[16:30:10]	Jacob Desmone ran 'drop' on item 'Power Supply Unit' (#40013)
[16:30:10]	Jacob Desmone has lost a 'Power Supply Unit' #40013.
[16:30:23]	Jacob Desmone has gained a 'Boot' #40014.
[16:30:25]	Jacob Desmone ran 'drop' on item 'Boot' (#40014)
[16:30:25]	Jacob Desmone has lost a 'Boot' #40014.
[16:30:39]	Jacob Desmone has gained a 'Scrap Glass' #40016.
[16:30:45]	Jacob Desmone ran 'drop' on item 'Scrap Glass' (#40016)
[16:30:45]	Jacob Desmone has lost a 'Scrap Glass' #40016.
[16:30:56]	Jacob Desmone has gained a 'Broken LCD Monitor' #40017.
[16:30:58]	Jacob Desmone ran 'drop' on item 'Broken LCD Monitor' (#40017)
[16:30:58]	Jacob Desmone has lost a 'Broken LCD Monitor' #40017.
[16:31:09]	Jacob Desmone has gained a 'Light Bulb' #40018.
[16:31:11]	Jacob Desmone ran 'drop' on item 'Light Bulb' (#40018)
[16:31:11]	Jacob Desmone has lost a 'Light Bulb' #40018.
[16:31:31]	Jacob Desmone has gained a 'Broken LCD Monitor' #40019.
[16:31:33]	Jacob Desmone ran 'drop' on item 'Broken LCD Monitor' (#40019)
[16:31:33]	Jacob Desmone has lost a 'Broken LCD Monitor' #40019.
[16:31:38]	Jacob Desmone has gained a 'Empty Consulate Water Can' #40020.
[16:31:40]	Jacob Desmone ran 'drop' on item 'Empty Consulate Water Can' (#40020)
[16:31:40]	Jacob Desmone has lost a 'Empty Consulate Water Can' #40020.
[16:31:43]	Jacob Desmone has gained a 'Minimum Grade Food Product (Liver Flavor)' #40021.
[16:31:46]	Jacob Desmone ran 'Consume' on item 'Minimum Grade Food Product (Liver Flavor)' (#40021)
[16:31:56]	Jacob Desmone has gained a 'Scrap Plastic' #40021.
[16:31:59]	Jacob Desmone ran 'drop' on item 'Scrap Plastic' (#40021)
[16:31:59]	Jacob Desmone has lost a 'Scrap Plastic' #40021.
[16:32:10]	Jacob Desmone has gained a 'Empty Flavored Consulate Water Can' #40022.
[16:32:12]	Jacob Desmone ran 'drop' on item 'Empty Flavored Consulate Water Can' (#40022)
[16:32:12]	Jacob Desmone has lost a 'Empty Flavored Consulate Water Can' #40022.
[16:32:24]	Jacob Desmone has gained a 'Empty Cooking Oil Bottle' #40023.
[16:32:26]	Jacob Desmone ran 'drop' on item 'Empty Cooking Oil Bottle' (#40023)
[16:32:26]	Jacob Desmone has lost a 'Empty Cooking Oil Bottle' #40023.
[16:32:36]	Jacob Desmone destroyed a 'Blue Pre-War Shirt' #40024.
[16:32:40]	Jacob Desmone has taken 5 damage from npc_headcrab.
[16:32:44]	Jacob Desmone has gained a 'Empty Glass Bottle' #40024.
[16:32:46]	Jacob Desmone ran 'Equip' on item 'Empty Glass Bottle' (#40024)
[16:32:47]	Jacob Desmone ran 'drop' on item 'Empty Glass Bottle' (#40024)
[16:32:47]	Jacob Desmone has lost a 'Empty Glass Bottle' #40024.
[16:33:12]	Jacob Desmone destroyed a 'Empty Paint Can' #40025.
[16:33:28]	Jacob Desmone has taken 5 damage from npc_headcrab.
[16:33:57]	Jacob Desmone opened the 'Refrigerator' #2577 container.
[16:33:59]	Jacob Desmone closed the 'Refrigerator' #2577 container.
[16:34:25]	Jacob Desmone ran 'View' on item 'Notepad' (#29884)
[16:34:46]	Jacob Desmone opened the 'Large Refrigerator' #2808 container.
[16:34:55]	Jacob Desmone closed the 'Large Refrigerator' #2808 container.
[16:35:28]	wendigo has connected.
[16:36:29]	wendigo loaded the character 'Sona la Rona'
[16:36:36]	[OOC] Sona la Rona: work desk time
[16:36:47]	[OOC] Sona la Rona: or not
[16:36:52]	wendigo loaded the character 'Ava Carter'
[16:39:22]	matt saton (STEAM_0:1:53097688) has disconnected.
[16:42:09]	Ava Carter opened the 'Crate' #3111 container.
[16:42:11]	Ava Carter closed the 'Crate' #3111 container.
[16:42:31]	Ava Carter used command '/Radio Daniel you read back?'.
[16:42:33]	Ava Carter ran 'Frequency' on item 'Handheld Radio' (#39922)
[16:42:43]	matt saton has connected.
[16:42:45]	Ava Carter used command '/Radio Ahem i mean... baron'.
[16:44:33]	matt saton loaded the character 'Ephraim 'Loew' Harris'
[16:44:42]	Ephraim 'Loew' Harris entered observer.
[16:44:44]	Ephraim 'Loew' Harris exited observer at their location.
[16:44:54]	Ephraim 'Loew' Harris opened the 'Reinforced Padlocked Toolbox' #2969 container.
[16:44:58]	Ephraim 'Loew' Harris closed the 'Reinforced Padlocked Toolbox' #2969 container.
[16:45:00]	Ephraim 'Loew' Harris opened the 'Infestation Control Footlocker' #2984 container.
[16:45:31]	Ephraim 'Loew' Harris closed the 'Infestation Control Footlocker' #2984 container.
[16:45:34]	Ephraim 'Loew' Harris opened the 'Footlocker' #2972 container.
[16:45:37]	Ephraim 'Loew' Harris closed the 'Footlocker' #2972 container.
[16:46:03]	matt saton (STEAM_0:1:53097688) has disconnected.
[16:46:36]	[OOC] Jacob Desmone: back
[16:46:43]	[OOC] Ava Carter: GET IN THE BASE!
[16:46:49]	[OOC] Ava Carter: i wanna rp!
[16:47:00]	[OOC] Jacob Desmone: hmmm
[16:47:19]	[OOC] Jacob Desmone: im cleaning dishes in the grotto tho
[16:47:25]	Ava Carter used command '/Radio Baron you read?'.
[16:47:32]	[OOC] Jacob Desmone: remember maid by day IRA explosive specialist by night
[16:47:35]	Ava Carter used command '/Radio Hello?'.
[16:48:29]	[ME] Jacob Desmone: Would toss his grenade frame up and down like a baseball
[16:49:02]	[ME] Jacob Desmone: Would toss the grenade
[16:49:10]	[ME] Ava Carter: would catch it
[16:49:18]	matt saton has connected.
[16:49:43]	[ME] Ava Carter: would throw the grenade at jacobs face full force
