[16:35:32]	NamRm has connected.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:49:00]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:49:16]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:49:54]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:49:59]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:50:46]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[16:51:02]	CCA.C17-GRID.i2.36307 has taken 5 damage from prop_physics.
[16:51:02]	CCA.C17-GRID.i2.36307 has taken 5 damage from prop_physics.
[16:51:03]	CCA.C17-GRID.i2.36307 has taken 34 damage from worldspawn.
[16:51:17]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureRadiator001a.mdl'.
[16:51:23]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureRadiator001a.mdl'.
[16:51:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureRadiator001a.mdl'.
[16:51:47]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureRadiator001a.mdl'.
[16:51:50]	Simone Evans has taken 85 damage from worldspawn.
[16:52:05]	CCA.C17-GRID.i2.36307 used command '/kickdoor'.
[16:52:30]	Simone Evans has taken 65 damage from worldspawn.
[16:52:30]	worldspawn has killed Simone Evans.
[16:52:32]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureRadiator001a.mdl'.
[16:52:37]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureRadiator001a.mdl'.
[16:52:40]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureRadiator001a.mdl'.
[16:52:47]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureRadiator001a.mdl'.
[16:52:58]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/gravestone_coffinpiece002a.mdl'.
[16:53:02]	CCA.C17-GRID.i2.36307 has taken 20 damage from prop_physics.
[16:53:05]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[16:53:07]	CCA.C17-GRID.i2.36307 has taken 500 damage from prop_physics.
[16:53:08]	prop_physics has killed CCA.C17-GRID.i2.36307.
[16:55:46]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[16:57:14]	DRD (STEAM_0:0:193599766) has disconnected.
[16:57:31]	NamRm (STEAM_0:0:69476140) has disconnected.
